ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
661;Total male and female;30 years;Standard errors;1997;;;;;;;;;;
662;Total male and female;30 years;Standard errors;1998;;;;;;;;;;
663;Total male and female;30 years;Standard errors;1999;;;;;;;;;;
664;Total male and female;30 years;Standard errors;2000;;;;;;;;;;
665;Total male and female;30 years;Standard errors;2001;;;;;;;;;;
666;Total male and female;30 years;Standard errors;2002;;;;;;;;;;
667;Total male and female;30 years;Standard errors;2003;;;;;;;;;;
668;Total male and female;30 years;Standard errors;2004;;;;;;;;;;
669;Total male and female;30 years;Standard errors;2005;;;;;;;;;;
670;Total male and female;30 years;Standard errors;2006;;;;;;;;;;
671;Total male and female;30 years;Standard errors;2007;;;;;;;;;;
672;Total male and female;30 years;Standard errors;2008;;;;;;;;;;
673;Total male and female;30 years;Standard errors;2009;;;;;;;;;;
674;Total male and female;30 years;Standard errors;2010;;;;;;;;;;
675;Total male and female;30 years;Standard errors;2011;;;;;;;;;;
676;Total male and female;30 years;Standard errors;2012;;;;;;;;;;
677;Total male and female;30 years;Standard errors;2013;;;;;;;;;;
678;Total male and female;30 years;Standard errors;2014;;;;;;;;;;
679;Total male and female;30 years;Standard errors;2015;;;;;;;;;;
680;Total male and female;30 years;Standard errors;2016;;;;;;;;;;
681;Total male and female;30 years;Standard errors;2017;;;;;;;;;;
682;Total male and female;30 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
683;Total male and female;30 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
684;Total male and female;30 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
685;Total male and female;30 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
686;Total male and female;30 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
687;Total male and female;30 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
688;Total male and female;35 years;Percentage/average;1981;;;;;;;;;;
689;Total male and female;35 years;Percentage/average;1982;;;;;;;;;;
690;Total male and female;35 years;Percentage/average;1983;;;;;;;;;;
691;Total male and female;35 years;Percentage/average;1984;;;;;;;;;;
692;Total male and female;35 years;Percentage/average;1985;;;;;;;;;;
693;Total male and female;35 years;Percentage/average;1986;;;;;;;;;;
694;Total male and female;35 years;Percentage/average;1987;;;;;;;;;;
695;Total male and female;35 years;Percentage/average;1988;;;;;;;;;;
696;Total male and female;35 years;Percentage/average;1989;;;;;;;;;;
697;Total male and female;35 years;Percentage/average;1990;;;;;;;;;;
698;Total male and female;35 years;Percentage/average;1991;;;;;;;;;;
699;Total male and female;35 years;Percentage/average;1992;;;;;;;;;;
700;Total male and female;35 years;Percentage/average;1993;;;;;;;;;;
701;Total male and female;35 years;Percentage/average;1994;;;;;;;;;;
702;Total male and female;35 years;Percentage/average;1995;;;;;;;;;;
703;Total male and female;35 years;Percentage/average;1996;;;;;;;;;;
704;Total male and female;35 years;Percentage/average;1997;;;;;;;;;;
705;Total male and female;35 years;Percentage/average;1998;;;;;;;;;;
706;Total male and female;35 years;Percentage/average;1999;;;;;;;;;;
707;Total male and female;35 years;Percentage/average;2000;;;;;;;;;;
708;Total male and female;35 years;Percentage/average;2001;;;;;;;;;;
709;Total male and female;35 years;Percentage/average;2002;;;;;;;;;;
710;Total male and female;35 years;Percentage/average;2003;;;;;;;;;;
711;Total male and female;35 years;Percentage/average;2004;;;;;;;;;;
712;Total male and female;35 years;Percentage/average;2005;;;;;;;;;;
713;Total male and female;35 years;Percentage/average;2006;;;;;;;;;;
714;Total male and female;35 years;Percentage/average;2007;;;;;;;;;;
715;Total male and female;35 years;Percentage/average;2008;;;;;;;;;;
716;Total male and female;35 years;Percentage/average;2009;;;;;;;;;;
717;Total male and female;35 years;Percentage/average;2010;;;;;;;;;;
718;Total male and female;35 years;Percentage/average;2011;;;;;;;;;;
719;Total male and female;35 years;Percentage/average;2012;;;;;;;;;;
720;Total male and female;35 years;Percentage/average;2013;;;;;;;;;;
721;Total male and female;35 years;Percentage/average;2014;;;;;;;;;;
722;Total male and female;35 years;Percentage/average;2015;;;;;;;;;;
723;Total male and female;35 years;Percentage/average;2016;;;;;;;;;;
724;Total male and female;35 years;Percentage/average;2017;;;;;;;;;;
725;Total male and female;35 years;Percentage/average;2018;47.99;33.0;38.8;42.0;26.3;17.4;20.3;42.0;29.1;43.7
726;Total male and female;35 years;Percentage/average;2019;48.28;33.4;39.0;42.2;26.4;17.4;20.1;42.7;28.6;44.1
727;Total male and female;35 years;Percentage/average;2020;47.61;35.0;39.3;42.2;25.8;17.2;19.8;42.1;29.0;44.1
728;Total male and female;35 years;Percentage/average;2021;47.56;34.7;39.8;42.6;25.2;18.0;20.6;41.1;29.2;44.4
729;Total male and female;35 years;Percentage/average;2022;47.85;32.8;38.7;41.9;25.0;17.3;20.0;41.9;28.4;43.7
730;Total male and female;35 years;Percentage/average;2023;48.08;33.1;39.0;42.4;25.1;17.4;19.9;42.0;28.1;43.9
731;Total male and female;35 years;Standard errors;1981;;;;;;;;;;
732;Total male and female;35 years;Standard errors;1982;;;;;;;;;;
733;Total male and female;35 years;Standard errors;1983;;;;;;;;;;
734;Total male and female;35 years;Standard errors;1984;;;;;;;;;;
735;Total male and female;35 years;Standard errors;1985;;;;;;;;;;
736;Total male and female;35 years;Standard errors;1986;;;;;;;;;;
737;Total male and female;35 years;Standard errors;1987;;;;;;;;;;
738;Total male and female;35 years;Standard errors;1988;;;;;;;;;;
739;Total male and female;35 years;Standard errors;1989;;;;;;;;;;
740;Total male and female;35 years;Standard errors;1990;;;;;;;;;;
741;Total male and female;35 years;Standard errors;1991;;;;;;;;;;
742;Total male and female;35 years;Standard errors;1992;;;;;;;;;;
743;Total male and female;35 years;Standard errors;1993;;;;;;;;;;
744;Total male and female;35 years;Standard errors;1994;;;;;;;;;;
745;Total male and female;35 years;Standard errors;1995;;;;;;;;;;
746;Total male and female;35 years;Standard errors;1996;;;;;;;;;;
747;Total male and female;35 years;Standard errors;1997;;;;;;;;;;
748;Total male and female;35 years;Standard errors;1998;;;;;;;;;;
749;Total male and female;35 years;Standard errors;1999;;;;;;;;;;
750;Total male and female;35 years;Standard errors;2000;;;;;;;;;;
751;Total male and female;35 years;Standard errors;2001;;;;;;;;;;
752;Total male and female;35 years;Standard errors;2002;;;;;;;;;;
753;Total male and female;35 years;Standard errors;2003;;;;;;;;;;
754;Total male and female;35 years;Standard errors;2004;;;;;;;;;;
755;Total male and female;35 years;Standard errors;2005;;;;;;;;;;
756;Total male and female;35 years;Standard errors;2006;;;;;;;;;;
757;Total male and female;35 years;Standard errors;2007;;;;;;;;;;
758;Total male and female;35 years;Standard errors;2008;;;;;;;;;;
759;Total male and female;35 years;Standard errors;2009;;;;;;;;;;
760;Total male and female;35 years;Standard errors;2010;;;;;;;;;;
761;Total male and female;35 years;Standard errors;2011;;;;;;;;;;
762;Total male and female;35 years;Standard errors;2012;;;;;;;;;;
763;Total male and female;35 years;Standard errors;2013;;;;;;;;;;
764;Total male and female;35 years;Standard errors;2014;;;;;;;;;;
765;Total male and female;35 years;Standard errors;2015;;;;;;;;;;
766;Total male and female;35 years;Standard errors;2016;;;;;;;;;;
767;Total male and female;35 years;Standard errors;2017;;;;;;;;;;
768;Total male and female;35 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
769;Total male and female;35 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
770;Total male and female;35 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
771;Total male and female;35 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
772;Total male and female;35 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
773;Total male and female;35 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
774;Total male and female;40 years;Percentage/average;1981;;;;;;;;;;
775;Total male and female;40 years;Percentage/average;1982;;;;;;;;;;
776;Total male and female;40 years;Percentage/average;1983;;;;;;;;;;
777;Total male and female;40 years;Percentage/average;1984;;;;;;;;;;
778;Total male and female;40 years;Percentage/average;1985;;;;;;;;;;
779;Total male and female;40 years;Percentage/average;1986;;;;;;;;;;
780;Total male and female;40 years;Percentage/average;1987;;;;;;;;;;
781;Total male and female;40 years;Percentage/average;1988;;;;;;;;;;
782;Total male and female;40 years;Percentage/average;1989;;;;;;;;;;
783;Total male and female;40 years;Percentage/average;1990;;;;;;;;;;
784;Total male and female;40 years;Percentage/average;1991;;;;;;;;;;
785;Total male and female;40 years;Percentage/average;1992;;;;;;;;;;
786;Total male and female;40 years;Percentage/average;1993;;;;;;;;;;
787;Total male and female;40 years;Percentage/average;1994;;;;;;;;;;
788;Total male and female;40 years;Percentage/average;1995;;;;;;;;;;
789;Total male and female;40 years;Percentage/average;1996;;;;;;;;;;
790;Total male and female;40 years;Percentage/average;1997;;;;;;;;;;
791;Total male and female;40 years;Percentage/average;1998;;;;;;;;;;
792;Total male and female;40 years;Percentage/average;1999;;;;;;;;;;
793;Total male and female;40 years;Percentage/average;2000;;;;;;;;;;
794;Total male and female;40 years;Percentage/average;2001;;;;;;;;;;
795;Total male and female;40 years;Percentage/average;2002;;;;;;;;;;
796;Total male and female;40 years;Percentage/average;2003;;;;;;;;;;
797;Total male and female;40 years;Percentage/average;2004;;;;;;;;;;
798;Total male and female;40 years;Percentage/average;2005;;;;;;;;;;
799;Total male and female;40 years;Percentage/average;2006;;;;;;;;;;
800;Total male and female;40 years;Percentage/average;2007;;;;;;;;;;
801;Total male and female;40 years;Percentage/average;2008;;;;;;;;;;
802;Total male and female;40 years;Percentage/average;2009;;;;;;;;;;
803;Total male and female;40 years;Percentage/average;2010;;;;;;;;;;
804;Total male and female;40 years;Percentage/average;2011;;;;;;;;;;
805;Total male and female;40 years;Percentage/average;2012;;;;;;;;;;
806;Total male and female;40 years;Percentage/average;2013;;;;;;;;;;
807;Total male and female;40 years;Percentage/average;2014;;;;;;;;;;
808;Total male and female;40 years;Percentage/average;2015;;;;;;;;;;
809;Total male and female;40 years;Percentage/average;2016;;;;;;;;;;
810;Total male and female;40 years;Percentage/average;2017;;;;;;;;;;
811;Total male and female;40 years;Percentage/average;2018;43.12;29.1;34.3;37.3;22.4;14.5;17.4;37.7;25.4;39.0
812;Total male and female;40 years;Percentage/average;2019;43.41;29.5;34.4;37.5;22.6;14.5;17.1;38.4;24.9;39.5
813;Total male and female;40 years;Percentage/average;2020;42.75;30.9;34.6;37.5;22.0;14.2;16.8;37.9;25.3;39.3
814;Total male and female;40 years;Percentage/average;2021;42.7;30.6;35.1;37.9;21.4;14.9;17.4;36.9;25.2;39.7
815;Total male and female;40 years;Percentage/average;2022;42.99;28.9;34.1;37.1;21.3;14.3;16.9;37.6;24.5;39.0
816;Total male and female;40 years;Percentage/average;2023;43.22;29.1;34.4;37.7;21.4;14.4;16.7;37.8;24.3;39.2
817;Total male and female;40 years;Standard errors;1981;;;;;;;;;;
818;Total male and female;40 years;Standard errors;1982;;;;;;;;;;
819;Total male and female;40 years;Standard errors;1983;;;;;;;;;;
820;Total male and female;40 years;Standard errors;1984;;;;;;;;;;
821;Total male and female;40 years;Standard errors;1985;;;;;;;;;;
822;Total male and female;40 years;Standard errors;1986;;;;;;;;;;
823;Total male and female;40 years;Standard errors;1987;;;;;;;;;;
824;Total male and female;40 years;Standard errors;1988;;;;;;;;;;
825;Total male and female;40 years;Standard errors;1989;;;;;;;;;;
826;Total male and female;40 years;Standard errors;1990;;;;;;;;;;
827;Total male and female;40 years;Standard errors;1991;;;;;;;;;;
828;Total male and female;40 years;Standard errors;1992;;;;;;;;;;
829;Total male and female;40 years;Standard errors;1993;;;;;;;;;;
830;Total male and female;40 years;Standard errors;1994;;;;;;;;;;
831;Total male and female;40 years;Standard errors;1995;;;;;;;;;;
832;Total male and female;40 years;Standard errors;1996;;;;;;;;;;
833;Total male and female;40 years;Standard errors;1997;;;;;;;;;;
834;Total male and female;40 years;Standard errors;1998;;;;;;;;;;
835;Total male and female;40 years;Standard errors;1999;;;;;;;;;;
836;Total male and female;40 years;Standard errors;2000;;;;;;;;;;
837;Total male and female;40 years;Standard errors;2001;;;;;;;;;;
838;Total male and female;40 years;Standard errors;2002;;;;;;;;;;
839;Total male and female;40 years;Standard errors;2003;;;;;;;;;;
840;Total male and female;40 years;Standard errors;2004;;;;;;;;;;
841;Total male and female;40 years;Standard errors;2005;;;;;;;;;;
842;Total male and female;40 years;Standard errors;2006;;;;;;;;;;
843;Total male and female;40 years;Standard errors;2007;;;;;;;;;;
844;Total male and female;40 years;Standard errors;2008;;;;;;;;;;
845;Total male and female;40 years;Standard errors;2009;;;;;;;;;;
846;Total male and female;40 years;Standard errors;2010;;;;;;;;;;
847;Total male and female;40 years;Standard errors;2011;;;;;;;;;;
848;Total male and female;40 years;Standard errors;2012;;;;;;;;;;
849;Total male and female;40 years;Standard errors;2013;;;;;;;;;;
850;Total male and female;40 years;Standard errors;2014;;;;;;;;;;
851;Total male and female;40 years;Standard errors;2015;;;;;;;;;;
852;Total male and female;40 years;Standard errors;2016;;;;;;;;;;
853;Total male and female;40 years;Standard errors;2017;;;;;;;;;;
854;Total male and female;40 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
855;Total male and female;40 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
856;Total male and female;40 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
857;Total male and female;40 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
858;Total male and female;40 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
859;Total male and female;40 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
860;Total male and female;45 years;Percentage/average;1981;;;;;;;;;;
861;Total male and female;45 years;Percentage/average;1982;;;;;;;;;;
862;Total male and female;45 years;Percentage/average;1983;;;;;;;;;;
863;Total male and female;45 years;Percentage/average;1984;;;;;;;;;;
864;Total male and female;45 years;Percentage/average;1985;;;;;;;;;;
865;Total male and female;45 years;Percentage/average;1986;;;;;;;;;;
866;Total male and female;45 years;Percentage/average;1987;;;;;;;;;;
867;Total male and female;45 years;Percentage/average;1988;;;;;;;;;;
868;Total male and female;45 years;Percentage/average;1989;;;;;;;;;;
869;Total male and female;45 years;Percentage/average;1990;;;;;;;;;;
870;Total male and female;45 years;Percentage/average;1991;;;;;;;;;;
871;Total male and female;45 years;Percentage/average;1992;;;;;;;;;;
872;Total male and female;45 years;Percentage/average;1993;;;;;;;;;;
873;Total male and female;45 years;Percentage/average;1994;;;;;;;;;;
874;Total male and female;45 years;Percentage/average;1995;;;;;;;;;;
875;Total male and female;45 years;Percentage/average;1996;;;;;;;;;;
876;Total male and female;45 years;Percentage/average;1997;;;;;;;;;;
877;Total male and female;45 years;Percentage/average;1998;;;;;;;;;;
878;Total male and female;45 years;Percentage/average;1999;;;;;;;;;;
879;Total male and female;45 years;Percentage/average;2000;;;;;;;;;;
880;Total male and female;45 years;Percentage/average;2001;;;;;;;;;;
881;Total male and female;45 years;Percentage/average;2002;;;;;;;;;;
882;Total male and female;45 years;Percentage/average;2003;;;;;;;;;;
883;Total male and female;45 years;Percentage/average;2004;;;;;;;;;;
884;Total male and female;45 years;Percentage/average;2005;;;;;;;;;;
885;Total male and female;45 years;Percentage/average;2006;;;;;;;;;;
886;Total male and female;45 years;Percentage/average;2007;;;;;;;;;;
887;Total male and female;45 years;Percentage/average;2008;;;;;;;;;;
888;Total male and female;45 years;Percentage/average;2009;;;;;;;;;;
889;Total male and female;45 years;Percentage/average;2010;;;;;;;;;;
890;Total male and female;45 years;Percentage/average;2011;;;;;;;;;;
891;Total male and female;45 years;Percentage/average;2012;;;;;;;;;;
892;Total male and female;45 years;Percentage/average;2013;;;;;;;;;;
893;Total male and female;45 years;Percentage/average;2014;;;;;;;;;;
894;Total male and female;45 years;Percentage/average;2015;;;;;;;;;;
895;Total male and female;45 years;Percentage/average;2016;;;;;;;;;;
896;Total male and female;45 years;Percentage/average;2017;;;;;;;;;;
897;Total male and female;45 years;Percentage/average;2018;38.3;25.1;29.7;32.6;18.6;11.8;14.5;33.5;21.6;34.4
898;Total male and female;45 years;Percentage/average;2019;38.6;25.7;29.9;32.8;18.7;11.9;14.4;34.2;21.2;34.9
899;Total male and female;45 years;Percentage/average;2020;37.94;26.9;30.2;32.8;18.4;11.3;13.8;33.7;21.7;34.8
900;Total male and female;45 years;Percentage/average;2021;37.88;26.7;30.5;33.2;17.9;12.3;14.7;32.9;21.6;35.1
901;Total male and female;45 years;Percentage/average;2022;38.18;25.2;29.7;32.5;18.0;11.7;14.2;33.5;21.0;34.5
902;Total male and female;45 years;Percentage/average;2023;38.41;25.2;30.1;33.1;17.9;11.5;13.8;33.7;20.9;34.6
903;Total male and female;45 years;Standard errors;1981;;;;;;;;;;
904;Total male and female;45 years;Standard errors;1982;;;;;;;;;;
905;Total male and female;45 years;Standard errors;1983;;;;;;;;;;
906;Total male and female;45 years;Standard errors;1984;;;;;;;;;;
907;Total male and female;45 years;Standard errors;1985;;;;;;;;;;
908;Total male and female;45 years;Standard errors;1986;;;;;;;;;;
909;Total male and female;45 years;Standard errors;1987;;;;;;;;;;
910;Total male and female;45 years;Standard errors;1988;;;;;;;;;;
911;Total male and female;45 years;Standard errors;1989;;;;;;;;;;
912;Total male and female;45 years;Standard errors;1990;;;;;;;;;;
913;Total male and female;45 years;Standard errors;1991;;;;;;;;;;
914;Total male and female;45 years;Standard errors;1992;;;;;;;;;;
915;Total male and female;45 years;Standard errors;1993;;;;;;;;;;
916;Total male and female;45 years;Standard errors;1994;;;;;;;;;;
917;Total male and female;45 years;Standard errors;1995;;;;;;;;;;
918;Total male and female;45 years;Standard errors;1996;;;;;;;;;;
919;Total male and female;45 years;Standard errors;1997;;;;;;;;;;
920;Total male and female;45 years;Standard errors;1998;;;;;;;;;;
921;Total male and female;45 years;Standard errors;1999;;;;;;;;;;
922;Total male and female;45 years;Standard errors;2000;;;;;;;;;;
923;Total male and female;45 years;Standard errors;2001;;;;;;;;;;
924;Total male and female;45 years;Standard errors;2002;;;;;;;;;;
925;Total male and female;45 years;Standard errors;2003;;;;;;;;;;
926;Total male and female;45 years;Standard errors;2004;;;;;;;;;;
927;Total male and female;45 years;Standard errors;2005;;;;;;;;;;
928;Total male and female;45 years;Standard errors;2006;;;;;;;;;;
929;Total male and female;45 years;Standard errors;2007;;;;;;;;;;
930;Total male and female;45 years;Standard errors;2008;;;;;;;;;;
931;Total male and female;45 years;Standard errors;2009;;;;;;;;;;
932;Total male and female;45 years;Standard errors;2010;;;;;;;;;;
933;Total male and female;45 years;Standard errors;2011;;;;;;;;;;
934;Total male and female;45 years;Standard errors;2012;;;;;;;;;;
935;Total male and female;45 years;Standard errors;2013;;;;;;;;;;
936;Total male and female;45 years;Standard errors;2014;;;;;;;;;;
937;Total male and female;45 years;Standard errors;2015;;;;;;;;;;
938;Total male and female;45 years;Standard errors;2016;;;;;;;;;;
939;Total male and female;45 years;Standard errors;2017;;;;;;;;;;
940;Total male and female;45 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
941;Total male and female;45 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
942;Total male and female;45 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
943;Total male and female;45 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
944;Total male and female;45 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
945;Total male and female;45 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
946;Total male and female;50 years;Percentage/average;1981;;;;;;;;;;
947;Total male and female;50 years;Percentage/average;1982;;;;;;;;;;
948;Total male and female;50 years;Percentage/average;1983;;;;;;;;;;
949;Total male and female;50 years;Percentage/average;1984;;;;;;;;;;
950;Total male and female;50 years;Percentage/average;1985;;;;;;;;;;
951;Total male and female;50 years;Percentage/average;1986;;;;;;;;;;
952;Total male and female;50 years;Percentage/average;1987;;;;;;;;;;
953;Total male and female;50 years;Percentage/average;1988;;;;;;;;;;
954;Total male and female;50 years;Percentage/average;1989;;;;;;;;;;
955;Total male and female;50 years;Percentage/average;1990;;;;;;;;;;
956;Total male and female;50 years;Percentage/average;1991;;;;;;;;;;
957;Total male and female;50 years;Percentage/average;1992;;;;;;;;;;
958;Total male and female;50 years;Percentage/average;1993;;;;;;;;;;
959;Total male and female;50 years;Percentage/average;1994;;;;;;;;;;
960;Total male and female;50 years;Percentage/average;1995;;;;;;;;;;
961;Total male and female;50 years;Percentage/average;1996;;;;;;;;;;
962;Total male and female;50 years;Percentage/average;1997;;;;;;;;;;
963;Total male and female;50 years;Percentage/average;1998;;;;;;;;;;
964;Total male and female;50 years;Percentage/average;1999;;;;;;;;;;
965;Total male and female;50 years;Percentage/average;2000;;;;;;;;;;
966;Total male and female;50 years;Percentage/average;2001;;;;;;;;;;
967;Total male and female;50 years;Percentage/average;2002;;;;;;;;;;
968;Total male and female;50 years;Percentage/average;2003;;;;;;;;;;
969;Total male and female;50 years;Percentage/average;2004;;;;;;;;;;
970;Total male and female;50 years;Percentage/average;2005;;;;;;;;;;
971;Total male and female;50 years;Percentage/average;2006;;;;;;;;;;
972;Total male and female;50 years;Percentage/average;2007;;;;;;;;;;
973;Total male and female;50 years;Percentage/average;2008;;;;;;;;;;
974;Total male and female;50 years;Percentage/average;2009;;;;;;;;;;
975;Total male and female;50 years;Percentage/average;2010;;;;;;;;;;
976;Total male and female;50 years;Percentage/average;2011;;;;;;;;;;
977;Total male and female;50 years;Percentage/average;2012;;;;;;;;;;
978;Total male and female;50 years;Percentage/average;2013;;;;;;;;;;
979;Total male and female;50 years;Percentage/average;2014;;;;;;;;;;
980;Total male and female;50 years;Percentage/average;2015;;;;;;;;;;
981;Total male and female;50 years;Percentage/average;2016;;;;;;;;;;
982;Total male and female;50 years;Percentage/average;2017;;;;;;;;;;
983;Total male and female;50 years;Percentage/average;2018;33.56;21.4;25.3;28.1;15.3;9.2;11.7;29.4;18.3;30.1
984;Total male and female;50 years;Percentage/average;2019;33.85;22.1;25.6;28.3;15.6;9.3;11.6;30.0;17.9;30.4
985;Total male and female;50 years;Percentage/average;2020;33.22;23.1;25.9;28.3;15.3;8.8;11.2;29.4;18.2;30.2
986;Total male and female;50 years;Percentage/average;2021;33.16;22.9;26.2;28.7;15.0;9.8;12.1;28.8;18.0;30.6
987;Total male and female;50 years;Percentage/average;2022;33.46;21.5;25.4;28.1;14.9;9.3;11.5;29.5;17.6;30.0
988;Total male and female;50 years;Percentage/average;2023;33.67;21.7;25.8;28.7;15.0;9.0;11.1;29.7;17.6;30.1
989;Total male and female;50 years;Standard errors;1981;;;;;;;;;;
990;Total male and female;50 years;Standard errors;1982;;;;;;;;;;
991;Total male and female;50 years;Standard errors;1983;;;;;;;;;;
992;Total male and female;50 years;Standard errors;1984;;;;;;;;;;
993;Total male and female;50 years;Standard errors;1985;;;;;;;;;;
994;Total male and female;50 years;Standard errors;1986;;;;;;;;;;
995;Total male and female;50 years;Standard errors;1987;;;;;;;;;;
996;Total male and female;50 years;Standard errors;1988;;;;;;;;;;
997;Total male and female;50 years;Standard errors;1989;;;;;;;;;;
998;Total male and female;50 years;Standard errors;1990;;;;;;;;;;
999;Total male and female;50 years;Standard errors;1991;;;;;;;;;;
1000;Total male and female;50 years;Standard errors;1992;;;;;;;;;;
1001;Total male and female;50 years;Standard errors;1993;;;;;;;;;;
1002;Total male and female;50 years;Standard errors;1994;;;;;;;;;;
1003;Total male and female;50 years;Standard errors;1995;;;;;;;;;;
1004;Total male and female;50 years;Standard errors;1996;;;;;;;;;;
1005;Total male and female;50 years;Standard errors;1997;;;;;;;;;;
1006;Total male and female;50 years;Standard errors;1998;;;;;;;;;;
1007;Total male and female;50 years;Standard errors;1999;;;;;;;;;;
1008;Total male and female;50 years;Standard errors;2000;;;;;;;;;;
1009;Total male and female;50 years;Standard errors;2001;;;;;;;;;;
1010;Total male and female;50 years;Standard errors;2002;;;;;;;;;;
1011;Total male and female;50 years;Standard errors;2003;;;;;;;;;;
1012;Total male and female;50 years;Standard errors;2004;;;;;;;;;;
1013;Total male and female;50 years;Standard errors;2005;;;;;;;;;;
1014;Total male and female;50 years;Standard errors;2006;;;;;;;;;;
1015;Total male and female;50 years;Standard errors;2007;;;;;;;;;;
1016;Total male and female;50 years;Standard errors;2008;;;;;;;;;;
1017;Total male and female;50 years;Standard errors;2009;;;;;;;;;;
1018;Total male and female;50 years;Standard errors;2010;;;;;;;;;;
1019;Total male and female;50 years;Standard errors;2011;;;;;;;;;;
1020;Total male and female;50 years;Standard errors;2012;;;;;;;;;;
1021;Total male and female;50 years;Standard errors;2013;;;;;;;;;;
1022;Total male and female;50 years;Standard errors;2014;;;;;;;;;;
1023;Total male and female;50 years;Standard errors;2015;;;;;;;;;;
1024;Total male and female;50 years;Standard errors;2016;;;;;;;;;;
1025;Total male and female;50 years;Standard errors;2017;;;;;;;;;;
1026;Total male and female;50 years;Standard errors;2018;;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
1027;Total male and female;50 years;Standard errors;2019;;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
1028;Total male and female;50 years;Standard errors;2020;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
1029;Total male and female;50 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.2;0.2;0.2;0.3;0.2
1030;Total male and female;50 years;Standard errors;2022;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1031;Total male and female;50 years;Standard errors;2023;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1032;Total male and female;55 years;Percentage/average;1981;;;;;;;;;;
1033;Total male and female;55 years;Percentage/average;1982;;;;;;;;;;
1034;Total male and female;55 years;Percentage/average;1983;;;;;;;;;;
1035;Total male and female;55 years;Percentage/average;1984;;;;;;;;;;
1036;Total male and female;55 years;Percentage/average;1985;;;;;;;;;;
1037;Total male and female;55 years;Percentage/average;1986;;;;;;;;;;
1038;Total male and female;55 years;Percentage/average;1987;;;;;;;;;;
1039;Total male and female;55 years;Percentage/average;1988;;;;;;;;;;
1040;Total male and female;55 years;Percentage/average;1989;;;;;;;;;;
1041;Total male and female;55 years;Percentage/average;1990;;;;;;;;;;
1042;Total male and female;55 years;Percentage/average;1991;;;;;;;;;;
1043;Total male and female;55 years;Percentage/average;1992;;;;;;;;;;
1044;Total male and female;55 years;Percentage/average;1993;;;;;;;;;;
1045;Total male and female;55 years;Percentage/average;1994;;;;;;;;;;
1046;Total male and female;55 years;Percentage/average;1995;;;;;;;;;;
1047;Total male and female;55 years;Percentage/average;1996;;;;;;;;;;
