ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
4369;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2012;;
4370;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2013;;
4371;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2014;;
4372;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2015;;
4373;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2016;;
4374;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2017;;
4375;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2018;;
4376;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2019;;
4377;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2020;;
4378;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2021;;
4379;Gross annual wage: 20,000 to 29,999 d...;D-E Energy, water, waste treatment;Unclassifiable;2022;;
4380;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2011;110.0;23470.0
4381;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2012;140.0;23350.0
4382;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2013;130.0;23150.0
4383;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2014;120.0;23560.0
4384;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2015;180.0;23540.0
4385;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2016;220.0;23360.0
4386;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2017;280.0;23390.0
4387;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2018;310.0;23630.0
4388;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2019;310.0;23810.0
4389;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2020;380.0;23720.0
4390;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2021;440.0;23910.0
4391;Gross annual wage: 20,000 to 29,999 d...;F Construction;Caribbean Netherlands;2022;420.0;24000.0
4392;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2011;90.0;23460.0
4393;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2012;130.0;23240.0
4394;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2013;120.0;23010.0
4395;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2014;110.0;23230.0
4396;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2015;160.0;23370.0
4397;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2016;210.0;23260.0
4398;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2017;250.0;23190.0
4399;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2018;240.0;23440.0
4400;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2019;260.0;23740.0
4401;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2020;320.0;23470.0
4402;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2021;370.0;23720.0
4403;Gross annual wage: 20,000 to 29,999 d...;F Construction;Bonaire;2022;370.0;23920.0
4404;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2011;10.0;24960.0
4405;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2012;10.0;23880.0
4406;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2013;10.0;24830.0
4407;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2014;10.0;26060.0
4408;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2015;10.0;24720.0
4409;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2016;10.0;25330.0
4410;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2017;20.0;25030.0
4411;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2018;50.0;24500.0
4412;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2019;30.0;24890.0
4413;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2020;40.0;24980.0
4414;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2021;40.0;25300.0
4415;Gross annual wage: 20,000 to 29,999 d...;F Construction;St. Eustatius;2022;30.0;24420.0
4416;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2011;10.0;21240.0
4417;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2012;;
4418;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2013;10.0;23810.0
4419;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2014;;
4420;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2015;20.0;24870.0
4421;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2016;10.0;24780.0
4422;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2017;10.0;24460.0
4423;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2018;20.0;24000.0
4424;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2019;20.0;23350.0
4425;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2020;20.0;25100.0
4426;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2021;20.0;24380.0
4427;Gross annual wage: 20,000 to 29,999 d...;F Construction;Saba;2022;20.0;24850.0
4428;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2011;;
4429;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2012;;
4430;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2013;;
4431;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2014;;
4432;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2015;;
4433;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2016;;
4434;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2017;;
4435;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2018;;
4436;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2019;;
4437;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2020;;
4438;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2021;;
4439;Gross annual wage: 20,000 to 29,999 d...;F Construction;Unclassifiable;2022;;
4440;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2011;160.0;23600.0
4441;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2012;140.0;23800.0
4442;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2013;160.0;23490.0
4443;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2014;200.0;23620.0
4444;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2015;210.0;23780.0
4445;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2016;240.0;23860.0
4446;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2017;300.0;23830.0
4447;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2018;290.0;23610.0
4448;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2019;300.0;23500.0
4449;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2020;300.0;23720.0
4450;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2021;310.0;23980.0
4451;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Caribbean Netherlands;2022;340.0;23720.0
4452;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2011;160.0;23620.0
4453;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2012;130.0;23870.0
4454;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2013;150.0;23570.0
4455;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2014;190.0;23590.0
4456;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2015;180.0;23750.0
4457;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2016;210.0;23860.0
4458;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2017;270.0;23880.0
4459;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2018;250.0;23710.0
4460;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2019;250.0;23500.0
4461;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2020;260.0;23730.0
4462;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2021;270.0;24010.0
4463;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Bonaire;2022;290.0;23700.0
4464;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2011;;
4465;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2012;10.0;22830.0
4466;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2013;10.0;21290.0
4467;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2014;10.0;23140.0
4468;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2015;10.0;23920.0
4469;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2016;10.0;22810.0
4470;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2017;20.0;22800.0
4471;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2018;20.0;22700.0
4472;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2019;30.0;22940.0
4473;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2020;30.0;23090.0
4474;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2021;30.0;23580.0
4475;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;St. Eustatius;2022;30.0;23640.0
4476;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2011;;
4477;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2012;;
4478;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2013;;
4479;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2014;10.0;24870.0
4480;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2015;10.0;24060.0
4481;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2016;10.0;24620.0
4482;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2017;20.0;24070.0
4483;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2018;20.0;23430.0
4484;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2019;20.0;24290.0
4485;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2020;20.0;24470.0
4486;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2021;10.0;24390.0
4487;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Saba;2022;20.0;24050.0
4488;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2011;;
4489;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2012;;
4490;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2013;;
4491;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2014;;
4492;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2015;;
4493;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2016;;
4494;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2017;;
4495;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2018;;
4496;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2019;;
4497;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2020;;
4498;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2021;;
4499;Gross annual wage: 20,000 to 29,999 d...;G Wholesale and retail trade;Unclassifiable;2022;;
4500;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2011;90.0;24970.0
4501;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2012;70.0;24470.0
4502;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2013;100.0;24680.0
4503;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2014;110.0;24790.0
4504;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2015;100.0;24650.0
4505;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2016;120.0;24720.0
4506;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2017;130.0;25170.0
4507;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2018;140.0;25310.0
4508;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2019;140.0;24840.0
4509;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2020;120.0;24380.0
4510;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2021;120.0;24360.0
4511;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Caribbean Netherlands;2022;130.0;24480.0
4512;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2011;70.0;24760.0
4513;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2012;70.0;24480.0
4514;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2013;90.0;24530.0
4515;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2014;100.0;24800.0
4516;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2015;90.0;24350.0
4517;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2016;100.0;24720.0
4518;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2017;110.0;25280.0
4519;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2018;130.0;25330.0
4520;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2019;120.0;24790.0
4521;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2020;110.0;24310.0
4522;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2021;110.0;24210.0
4523;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Bonaire;2022;120.0;24430.0
4524;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2011;20.0;25820.0
4525;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2012;10.0;24350.0
4526;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2013;10.0;25690.0
4527;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2014;10.0;24910.0
4528;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2015;10.0;26870.0
4529;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2016;20.0;25110.0
4530;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2017;20.0;24870.0
4531;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2018;10.0;26100.0
4532;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2019;10.0;25590.0
4533;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2020;;
4534;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2021;;
4535;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;St. Eustatius;2022;10.0;24570.0
4536;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2011;;
4537;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2012;;
4538;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2013;;
4539;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2014;;
4540;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2015;;
4541;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2016;;
4542;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2017;;
4543;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2018;10.0;23770.0
4544;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2019;;
4545;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2020;;
4546;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2021;;
4547;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Saba;2022;;
4548;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2011;;
4549;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2012;;
4550;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2013;;
4551;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2014;;
4552;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2015;;
4553;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2016;;
4554;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2017;;
4555;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2018;;
4556;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2019;;
4557;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2020;;
4558;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2021;;
4559;Gross annual wage: 20,000 to 29,999 d...;H+J Transport, ICT;Unclassifiable;2022;;
4560;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2011;160.0;23910.0
4561;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2012;170.0;23990.0
4562;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2013;170.0;23790.0
4563;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2014;200.0;23800.0
4564;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2015;240.0;23800.0
4565;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2016;250.0;23650.0
4566;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2017;300.0;23600.0
4567;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2018;320.0;23600.0
4568;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2019;380.0;23630.0
4569;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2020;350.0;23610.0
4570;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2021;390.0;23950.0
4571;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Caribbean Netherlands;2022;490.0;23990.0
4572;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2011;150.0;23990.0
4573;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2012;160.0;23980.0
4574;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2013;160.0;23740.0
4575;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2014;180.0;23580.0
4576;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2015;200.0;23630.0
4577;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2016;220.0;23490.0
4578;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2017;280.0;23550.0
4579;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2018;300.0;23640.0
4580;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2019;360.0;23660.0
4581;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2020;320.0;23560.0
4582;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2021;370.0;23980.0
4583;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Bonaire;2022;470.0;24030.0
4584;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2011;10.0;22930.0
4585;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2012;10.0;24520.0
4586;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2013;10.0;25120.0
4587;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2014;20.0;25670.0
4588;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2015;30.0;25170.0
4589;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2016;20.0;25100.0
4590;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2017;10.0;24300.0
4591;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2018;10.0;23960.0
4592;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2019;10.0;24890.0
4593;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2020;;
4594;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2021;;
4595;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;St. Eustatius;2022;;
4596;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2011;;
4597;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2012;;
4598;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2013;;
4599;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2014;;
4600;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2015;10.0;22980.0
4601;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2016;10.0;23760.0
4602;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2017;10.0;24600.0
4603;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2018;10.0;22710.0
4604;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2019;10.0;22280.0
4605;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2020;10.0;24440.0
4606;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2021;10.0;22900.0
4607;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Saba;2022;20.0;23420.0
4608;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2011;;
4609;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2012;;
4610;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2013;;
4611;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2014;;
4612;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2015;;
4613;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2016;;
4614;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2017;;
4615;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2018;;
4616;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2019;;
4617;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2020;;
4618;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2021;;
4619;Gross annual wage: 20,000 to 29,999 d...;I Accommodation and food serving;Unclassifiable;2022;;
4620;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2011;100.0;24020.0
4621;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2012;110.0;24340.0
4622;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2013;100.0;24400.0
4623;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2014;110.0;24420.0
4624;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2015;110.0;24480.0
4625;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2016;120.0;24800.0
4626;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2017;50.0;25510.0
4627;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2018;50.0;24780.0
4628;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2019;50.0;25090.0
4629;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2020;40.0;25000.0
4630;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2021;50.0;25070.0
4631;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Caribbean Netherlands;2022;40.0;24700.0
4632;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Bonaire;2011;90.0;23960.0
4633;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Bonaire;2012;100.0;24190.0
4634;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Bonaire;2013;100.0;24290.0
4635;Gross annual wage: 20,000 to 29,999 d...;K Financial institutions;Bonaire;2014;90.0;24200.0
