ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
2498;Total male and female;Total persons;73-75 Advertising, design and other;2020 4th quarter;146
2499;Total male and female;Total persons;73-75 Advertising, design and other;2020;149
2500;Total male and female;Total persons;73-75 Advertising, design and other;2021 1st quarter;145
2501;Total male and female;Total persons;73-75 Advertising, design and other;2021 2nd quarter;152
2502;Total male and female;Total persons;73-75 Advertising, design and other;2021 3rd quarter;152
2503;Total male and female;Total persons;73-75 Advertising, design and other;2021 4th quarter;161
2504;Total male and female;Total persons;73-75 Advertising, design and other;2021;153
2505;Total male and female;Total persons;73-75 Advertising, design and other;2022 1st quarter;160
2506;Total male and female;Total persons;73-75 Advertising, design and other;2022 2nd quarter;167
2507;Total male and female;Total persons;73-75 Advertising, design and other;2022 3rd quarter;170
2508;Total male and female;Total persons;73-75 Advertising, design and other;2022 4th quarter;177
2509;Total male and female;Total persons;73-75 Advertising, design and other;2022;168
2510;Total male and female;Total persons;73-75 Advertising, design and other;2023 1st quarter;179
2511;Total male and female;Total persons;73-75 Advertising, design and other;2023 2nd quarter;171
2512;Total male and female;Total persons;73-75 Advertising, design and other;2023 3rd quarter;164
2513;Total male and female;Total persons;73-75 Advertising, design and other;2023 4th quarter;183
2514;Total male and female;Total persons;73-75 Advertising, design and other;2023;174
2515;Total male and female;Total persons;73-75 Advertising, design and other;2024 1st quarter;170
2516;Total male and female;Total persons;73-75 Advertising, design and other;2024 2nd quarter;170
2517;Total male and female;Total persons;73-75 Advertising, design and other;2024 3rd quarter;168
2518;Total male and female;Total persons;73-75 Advertising, design and other;2024 4th quarter;177
2519;Total male and female;Total persons;73-75 Advertising, design and other;2024;171
2520;Total male and female;Total persons;N Renting and other business support;2013 1st quarter;449
2521;Total male and female;Total persons;N Renting and other business support;2013 2nd quarter;441
2522;Total male and female;Total persons;N Renting and other business support;2013 3rd quarter;450
2523;Total male and female;Total persons;N Renting and other business support;2013 4th quarter;442
2524;Total male and female;Total persons;N Renting and other business support;2013;445
2525;Total male and female;Total persons;N Renting and other business support;2014 1st quarter;451
2526;Total male and female;Total persons;N Renting and other business support;2014 2nd quarter;463
2527;Total male and female;Total persons;N Renting and other business support;2014 3rd quarter;464
2528;Total male and female;Total persons;N Renting and other business support;2014 4th quarter;474
2529;Total male and female;Total persons;N Renting and other business support;2014;463
2530;Total male and female;Total persons;N Renting and other business support;2015 1st quarter;465
2531;Total male and female;Total persons;N Renting and other business support;2015 2nd quarter;474
2532;Total male and female;Total persons;N Renting and other business support;2015 3rd quarter;479
2533;Total male and female;Total persons;N Renting and other business support;2015 4th quarter;475
2534;Total male and female;Total persons;N Renting and other business support;2015;473
2535;Total male and female;Total persons;N Renting and other business support;2016 1st quarter;501
2536;Total male and female;Total persons;N Renting and other business support;2016 2nd quarter;504
2537;Total male and female;Total persons;N Renting and other business support;2016 3rd quarter;509
2538;Total male and female;Total persons;N Renting and other business support;2016 4th quarter;504
2539;Total male and female;Total persons;N Renting and other business support;2016;505
2540;Total male and female;Total persons;N Renting and other business support;2017 1st quarter;490
2541;Total male and female;Total persons;N Renting and other business support;2017 2nd quarter;498
2542;Total male and female;Total persons;N Renting and other business support;2017 3rd quarter;490
2543;Total male and female;Total persons;N Renting and other business support;2017 4th quarter;491
2544;Total male and female;Total persons;N Renting and other business support;2017;492
2545;Total male and female;Total persons;N Renting and other business support;2018 1st quarter;493
2546;Total male and female;Total persons;N Renting and other business support;2018 2nd quarter;489
2547;Total male and female;Total persons;N Renting and other business support;2018 3rd quarter;521
2548;Total male and female;Total persons;N Renting and other business support;2018 4th quarter;509
2549;Total male and female;Total persons;N Renting and other business support;2018;503
2550;Total male and female;Total persons;N Renting and other business support;2019 1st quarter;521
2551;Total male and female;Total persons;N Renting and other business support;2019 2nd quarter;527
2552;Total male and female;Total persons;N Renting and other business support;2019 3rd quarter;534
2553;Total male and female;Total persons;N Renting and other business support;2019 4th quarter;541
2554;Total male and female;Total persons;N Renting and other business support;2019;531
2555;Total male and female;Total persons;N Renting and other business support;2020 1st quarter;513
2556;Total male and female;Total persons;N Renting and other business support;2020 2nd quarter;511
2557;Total male and female;Total persons;N Renting and other business support;2020 3rd quarter;500
2558;Total male and female;Total persons;N Renting and other business support;2020 4th quarter;465
2559;Total male and female;Total persons;N Renting and other business support;2020;497
2560;Total male and female;Total persons;N Renting and other business support;2021 1st quarter;435
2561;Total male and female;Total persons;N Renting and other business support;2021 2nd quarter;433
2562;Total male and female;Total persons;N Renting and other business support;2021 3rd quarter;436
2563;Total male and female;Total persons;N Renting and other business support;2021 4th quarter;416
2564;Total male and female;Total persons;N Renting and other business support;2021;430
2565;Total male and female;Total persons;N Renting and other business support;2022 1st quarter;430
2566;Total male and female;Total persons;N Renting and other business support;2022 2nd quarter;437
2567;Total male and female;Total persons;N Renting and other business support;2022 3rd quarter;452
2568;Total male and female;Total persons;N Renting and other business support;2022 4th quarter;463
2569;Total male and female;Total persons;N Renting and other business support;2022;446
2570;Total male and female;Total persons;N Renting and other business support;2023 1st quarter;473
2571;Total male and female;Total persons;N Renting and other business support;2023 2nd quarter;467
2572;Total male and female;Total persons;N Renting and other business support;2023 3rd quarter;456
2573;Total male and female;Total persons;N Renting and other business support;2023 4th quarter;458
2574;Total male and female;Total persons;N Renting and other business support;2023;463
2575;Total male and female;Total persons;N Renting and other business support;2024 1st quarter;465
2576;Total male and female;Total persons;N Renting and other business support;2024 2nd quarter;453
2577;Total male and female;Total persons;N Renting and other business support;2024 3rd quarter;441
2578;Total male and female;Total persons;N Renting and other business support;2024 4th quarter;464
2579;Total male and female;Total persons;N Renting and other business support;2024;456
2580;Total male and female;Total persons;O Public administration and services;2013 1st quarter;512
2581;Total male and female;Total persons;O Public administration and services;2013 2nd quarter;504
2582;Total male and female;Total persons;O Public administration and services;2013 3rd quarter;491
2583;Total male and female;Total persons;O Public administration and services;2013 4th quarter;501
2584;Total male and female;Total persons;O Public administration and services;2013;502
2585;Total male and female;Total persons;O Public administration and services;2014 1st quarter;489
2586;Total male and female;Total persons;O Public administration and services;2014 2nd quarter;506
2587;Total male and female;Total persons;O Public administration and services;2014 3rd quarter;492
2588;Total male and female;Total persons;O Public administration and services;2014 4th quarter;492
2589;Total male and female;Total persons;O Public administration and services;2014;495
2590;Total male and female;Total persons;O Public administration and services;2015 1st quarter;492
2591;Total male and female;Total persons;O Public administration and services;2015 2nd quarter;513
2592;Total male and female;Total persons;O Public administration and services;2015 3rd quarter;496
2593;Total male and female;Total persons;O Public administration and services;2015 4th quarter;487
2594;Total male and female;Total persons;O Public administration and services;2015;497
2595;Total male and female;Total persons;O Public administration and services;2016 1st quarter;487
2596;Total male and female;Total persons;O Public administration and services;2016 2nd quarter;472
2597;Total male and female;Total persons;O Public administration and services;2016 3rd quarter;484
2598;Total male and female;Total persons;O Public administration and services;2016 4th quarter;485
2599;Total male and female;Total persons;O Public administration and services;2016;482
2600;Total male and female;Total persons;O Public administration and services;2017 1st quarter;504
2601;Total male and female;Total persons;O Public administration and services;2017 2nd quarter;496
2602;Total male and female;Total persons;O Public administration and services;2017 3rd quarter;509
2603;Total male and female;Total persons;O Public administration and services;2017 4th quarter;512
2604;Total male and female;Total persons;O Public administration and services;2017;505
2605;Total male and female;Total persons;O Public administration and services;2018 1st quarter;495
2606;Total male and female;Total persons;O Public administration and services;2018 2nd quarter;533
2607;Total male and female;Total persons;O Public administration and services;2018 3rd quarter;518
2608;Total male and female;Total persons;O Public administration and services;2018 4th quarter;531
2609;Total male and female;Total persons;O Public administration and services;2018;519
2610;Total male and female;Total persons;O Public administration and services;2019 1st quarter;527
2611;Total male and female;Total persons;O Public administration and services;2019 2nd quarter;539
2612;Total male and female;Total persons;O Public administration and services;2019 3rd quarter;523
2613;Total male and female;Total persons;O Public administration and services;2019 4th quarter;532
2614;Total male and female;Total persons;O Public administration and services;2019;530
2615;Total male and female;Total persons;O Public administration and services;2020 1st quarter;556
2616;Total male and female;Total persons;O Public administration and services;2020 2nd quarter;561
2617;Total male and female;Total persons;O Public administration and services;2020 3rd quarter;562
2618;Total male and female;Total persons;O Public administration and services;2020 4th quarter;574
2619;Total male and female;Total persons;O Public administration and services;2020;563
2620;Total male and female;Total persons;O Public administration and services;2021 1st quarter;601
2621;Total male and female;Total persons;O Public administration and services;2021 2nd quarter;632
2622;Total male and female;Total persons;O Public administration and services;2021 3rd quarter;639
2623;Total male and female;Total persons;O Public administration and services;2021 4th quarter;648
2624;Total male and female;Total persons;O Public administration and services;2021;630
2625;Total male and female;Total persons;O Public administration and services;2022 1st quarter;653
2626;Total male and female;Total persons;O Public administration and services;2022 2nd quarter;652
2627;Total male and female;Total persons;O Public administration and services;2022 3rd quarter;650
2628;Total male and female;Total persons;O Public administration and services;2022 4th quarter;667
2629;Total male and female;Total persons;O Public administration and services;2022;656
2630;Total male and female;Total persons;O Public administration and services;2023 1st quarter;680
2631;Total male and female;Total persons;O Public administration and services;2023 2nd quarter;699
2632;Total male and female;Total persons;O Public administration and services;2023 3rd quarter;692
2633;Total male and female;Total persons;O Public administration and services;2023 4th quarter;702
2634;Total male and female;Total persons;O Public administration and services;2023;693
2635;Total male and female;Total persons;O Public administration and services;2024 1st quarter;712
2636;Total male and female;Total persons;O Public administration and services;2024 2nd quarter;740
2637;Total male and female;Total persons;O Public administration and services;2024 3rd quarter;731
2638;Total male and female;Total persons;O Public administration and services;2024 4th quarter;723
2639;Total male and female;Total persons;O Public administration and services;2024;726
2640;Total male and female;Total persons;P Education;2013 1st quarter;573
2641;Total male and female;Total persons;P Education;2013 2nd quarter;569
2642;Total male and female;Total persons;P Education;2013 3rd quarter;546
2643;Total male and female;Total persons;P Education;2013 4th quarter;549
2644;Total male and female;Total persons;P Education;2013;559
2645;Total male and female;Total persons;P Education;2014 1st quarter;549
2646;Total male and female;Total persons;P Education;2014 2nd quarter;551
2647;Total male and female;Total persons;P Education;2014 3rd quarter;539
2648;Total male and female;Total persons;P Education;2014 4th quarter;549
2649;Total male and female;Total persons;P Education;2014;547
2650;Total male and female;Total persons;P Education;2015 1st quarter;574
2651;Total male and female;Total persons;P Education;2015 2nd quarter;586
2652;Total male and female;Total persons;P Education;2015 3rd quarter;567
2653;Total male and female;Total persons;P Education;2015 4th quarter;579
2654;Total male and female;Total persons;P Education;2015;576
2655;Total male and female;Total persons;P Education;2016 1st quarter;586
2656;Total male and female;Total persons;P Education;2016 2nd quarter;600
2657;Total male and female;Total persons;P Education;2016 3rd quarter;547
2658;Total male and female;Total persons;P Education;2016 4th quarter;572
2659;Total male and female;Total persons;P Education;2016;576
2660;Total male and female;Total persons;P Education;2017 1st quarter;559
2661;Total male and female;Total persons;P Education;2017 2nd quarter;560
2662;Total male and female;Total persons;P Education;2017 3rd quarter;559
2663;Total male and female;Total persons;P Education;2017 4th quarter;582
2664;Total male and female;Total persons;P Education;2017;565
2665;Total male and female;Total persons;P Education;2018 1st quarter;605
2666;Total male and female;Total persons;P Education;2018 2nd quarter;616
2667;Total male and female;Total persons;P Education;2018 3rd quarter;587
2668;Total male and female;Total persons;P Education;2018 4th quarter;603
2669;Total male and female;Total persons;P Education;2018;603
2670;Total male and female;Total persons;P Education;2019 1st quarter;614
2671;Total male and female;Total persons;P Education;2019 2nd quarter;613
2672;Total male and female;Total persons;P Education;2019 3rd quarter;607
2673;Total male and female;Total persons;P Education;2019 4th quarter;617
2674;Total male and female;Total persons;P Education;2019;613
2675;Total male and female;Total persons;P Education;2020 1st quarter;624
2676;Total male and female;Total persons;P Education;2020 2nd quarter;604
2677;Total male and female;Total persons;P Education;2020 3rd quarter;583
2678;Total male and female;Total persons;P Education;2020 4th quarter;621
2679;Total male and female;Total persons;P Education;2020;608
2680;Total male and female;Total persons;P Education;2021 1st quarter;705
2681;Total male and female;Total persons;P Education;2021 2nd quarter;659
2682;Total male and female;Total persons;P Education;2021 3rd quarter;700
2683;Total male and female;Total persons;P Education;2021 4th quarter;727
2684;Total male and female;Total persons;P Education;2021;698
2685;Total male and female;Total persons;P Education;2022 1st quarter;732
2686;Total male and female;Total persons;P Education;2022 2nd quarter;750
2687;Total male and female;Total persons;P Education;2022 3rd quarter;744
2688;Total male and female;Total persons;P Education;2022 4th quarter;758
2689;Total male and female;Total persons;P Education;2022;746
2690;Total male and female;Total persons;P Education;2023 1st quarter;737
2691;Total male and female;Total persons;P Education;2023 2nd quarter;719
2692;Total male and female;Total persons;P Education;2023 3rd quarter;719
2693;Total male and female;Total persons;P Education;2023 4th quarter;748
2694;Total male and female;Total persons;P Education;2023;731
2695;Total male and female;Total persons;P Education;2024 1st quarter;751
2696;Total male and female;Total persons;P Education;2024 2nd quarter;745
2697;Total male and female;Total persons;P Education;2024 3rd quarter;714
2698;Total male and female;Total persons;P Education;2024 4th quarter;762
2699;Total male and female;Total persons;P Education;2024;743
2700;Total male and female;Total persons;Q Health and social work activities;2013 1st quarter;1367
2701;Total male and female;Total persons;Q Health and social work activities;2013 2nd quarter;1371
2702;Total male and female;Total persons;Q Health and social work activities;2013 3rd quarter;1353
2703;Total male and female;Total persons;Q Health and social work activities;2013 4th quarter;1331
2704;Total male and female;Total persons;Q Health and social work activities;2013;1356
2705;Total male and female;Total persons;Q Health and social work activities;2014 1st quarter;1308
2706;Total male and female;Total persons;Q Health and social work activities;2014 2nd quarter;1291
2707;Total male and female;Total persons;Q Health and social work activities;2014 3rd quarter;1289
2708;Total male and female;Total persons;Q Health and social work activities;2014 4th quarter;1303
2709;Total male and female;Total persons;Q Health and social work activities;2014;1298
2710;Total male and female;Total persons;Q Health and social work activities;2015 1st quarter;1300
2711;Total male and female;Total persons;Q Health and social work activities;2015 2nd quarter;1283
2712;Total male and female;Total persons;Q Health and social work activities;2015 3rd quarter;1308
2713;Total male and female;Total persons;Q Health and social work activities;2015 4th quarter;1312
2714;Total male and female;Total persons;Q Health and social work activities;2015;1301
2715;Total male and female;Total persons;Q Health and social work activities;2016 1st quarter;1290
2716;Total male and female;Total persons;Q Health and social work activities;2016 2nd quarter;1289
2717;Total male and female;Total persons;Q Health and social work activities;2016 3rd quarter;1319
2718;Total male and female;Total persons;Q Health and social work activities;2016 4th quarter;1299
2719;Total male and female;Total persons;Q Health and social work activities;2016;1299
2720;Total male and female;Total persons;Q Health and social work activities;2017 1st quarter;1281
2721;Total male and female;Total persons;Q Health and social work activities;2017 2nd quarter;1271
2722;Total male and female;Total persons;Q Health and social work activities;2017 3rd quarter;1294
2723;Total male and female;Total persons;Q Health and social work activities;2017 4th quarter;1290
2724;Total male and female;Total persons;Q Health and social work activities;2017;1284
2725;Total male and female;Total persons;Q Health and social work activities;2018 1st quarter;1271
2726;Total male and female;Total persons;Q Health and social work activities;2018 2nd quarter;1310
2727;Total male and female;Total persons;Q Health and social work activities;2018 3rd quarter;1340
2728;Total male and female;Total persons;Q Health and social work activities;2018 4th quarter;1356
2729;Total male and female;Total persons;Q Health and social work activities;2018;1319
2730;Total male and female;Total persons;Q Health and social work activities;2019 1st quarter;1369
2731;Total male and female;Total persons;Q Health and social work activities;2019 2nd quarter;1375
2732;Total male and female;Total persons;Q Health and social work activities;2019 3rd quarter;1386
2733;Total male and female;Total persons;Q Health and social work activities;2019 4th quarter;1433
2734;Total male and female;Total persons;Q Health and social work activities;2019;1391
2735;Total male and female;Total persons;Q Health and social work activities;2020 1st quarter;1417
2736;Total male and female;Total persons;Q Health and social work activities;2020 2nd quarter;1403
2737;Total male and female;Total persons;Q Health and social work activities;2020 3rd quarter;1424
2738;Total male and female;Total persons;Q Health and social work activities;2020 4th quarter;1458
2739;Total male and female;Total persons;Q Health and social work activities;2020;1425
2740;Total male and female;Total persons;Q Health and social work activities;2021 1st quarter;1536
2741;Total male and female;Total persons;Q Health and social work activities;2021 2nd quarter;1538
2742;Total male and female;Total persons;Q Health and social work activities;2021 3rd quarter;1591
2743;Total male and female;Total persons;Q Health and social work activities;2021 4th quarter;1605
2744;Total male and female;Total persons;Q Health and social work activities;2021;1568
2745;Total male and female;Total persons;Q Health and social work activities;2022 1st quarter;1612
2746;Total male and female;Total persons;Q Health and social work activities;2022 2nd quarter;1611
2747;Total male and female;Total persons;Q Health and social work activities;2022 3rd quarter;1618
2748;Total male and female;Total persons;Q Health and social work activities;2022 4th quarter;1611
2749;Total male and female;Total persons;Q Health and social work activities;2022;1613
2750;Total male and female;Total persons;Q Health and social work activities;2023 1st quarter;1629
2751;Total male and female;Total persons;Q Health and social work activities;2023 2nd quarter;1633
2752;Total male and female;Total persons;Q Health and social work activities;2023 3rd quarter;1673
2753;Total male and female;Total persons;Q Health and social work activities;2023 4th quarter;1709
2754;Total male and female;Total persons;Q Health and social work activities;2023;1661
2755;Total male and female;Total persons;Q Health and social work activities;2024 1st quarter;1683
2756;Total male and female;Total persons;Q Health and social work activities;2024 2nd quarter;1684
2757;Total male and female;Total persons;Q Health and social work activities;2024 3rd quarter;1682
2758;Total male and female;Total persons;Q Health and social work activities;2024 4th quarter;1688
2759;Total male and female;Total persons;Q Health and social work activities;2024;1684
2760;Total male and female;Total persons;86 Human health activities;2013 1st quarter;567
2761;Total male and female;Total persons;86 Human health activities;2013 2nd quarter;574
2762;Total male and female;Total persons;86 Human health activities;2013 3rd quarter;567
2763;Total male and female;Total persons;86 Human health activities;2013 4th quarter;572
2764;Total male and female;Total persons;86 Human health activities;2013;570
2765;Total male and female;Total persons;86 Human health activities;2014 1st quarter;576
2766;Total male and female;Total persons;86 Human health activities;2014 2nd quarter;561
2767;Total male and female;Total persons;86 Human health activities;2014 3rd quarter;551
2768;Total male and female;Total persons;86 Human health activities;2014 4th quarter;560
2769;Total male and female;Total persons;86 Human health activities;2014;562
2770;Total male and female;Total persons;86 Human health activities;2015 1st quarter;574
2771;Total male and female;Total persons;86 Human health activities;2015 2nd quarter;566
2772;Total male and female;Total persons;86 Human health activities;2015 3rd quarter;564
2773;Total male and female;Total persons;86 Human health activities;2015 4th quarter;575
2774;Total male and female;Total persons;86 Human health activities;2015;570
2775;Total male and female;Total persons;86 Human health activities;2016 1st quarter;577
2776;Total male and female;Total persons;86 Human health activities;2016 2nd quarter;566
2777;Total male and female;Total persons;86 Human health activities;2016 3rd quarter;571
2778;Total male and female;Total persons;86 Human health activities;2016 4th quarter;584
2779;Total male and female;Total persons;86 Human health activities;2016;574
2780;Total male and female;Total persons;86 Human health activities;2017 1st quarter;577
2781;Total male and female;Total persons;86 Human health activities;2017 2nd quarter;582
2782;Total male and female;Total persons;86 Human health activities;2017 3rd quarter;594
2783;Total male and female;Total persons;86 Human health activities;2017 4th quarter;589
2784;Total male and female;Total persons;86 Human health activities;2017;585
2785;Total male and female;Total persons;86 Human health activities;2018 1st quarter;579
2786;Total male and female;Total persons;86 Human health activities;2018 2nd quarter;602
2787;Total male and female;Total persons;86 Human health activities;2018 3rd quarter;623
2788;Total male and female;Total persons;86 Human health activities;2018 4th quarter;632
2789;Total male and female;Total persons;86 Human health activities;2018;609
2790;Total male and female;Total persons;86 Human health activities;2019 1st quarter;627
2791;Total male and female;Total persons;86 Human health activities;2019 2nd quarter;628
2792;Total male and female;Total persons;86 Human health activities;2019 3rd quarter;626
2793;Total male and female;Total persons;86 Human health activities;2019 4th quarter;645
2794;Total male and female;Total persons;86 Human health activities;2019;631
2795;Total male and female;Total persons;86 Human health activities;2020 1st quarter;637
2796;Total male and female;Total persons;86 Human health activities;2020 2nd quarter;641
2797;Total male and female;Total persons;86 Human health activities;2020 3rd quarter;636
2798;Total male and female;Total persons;86 Human health activities;2020 4th quarter;680
2799;Total male and female;Total persons;86 Human health activities;2020;648
2800;Total male and female;Total persons;86 Human health activities;2021 1st quarter;698
2801;Total male and female;Total persons;86 Human health activities;2021 2nd quarter;686
2802;Total male and female;Total persons;86 Human health activities;2021 3rd quarter;726
2803;Total male and female;Total persons;86 Human health activities;2021 4th quarter;738
2804;Total male and female;Total persons;86 Human health activities;2021;712
2805;Total male and female;Total persons;86 Human health activities;2022 1st quarter;746
2806;Total male and female;Total persons;86 Human health activities;2022 2nd quarter;740
2807;Total male and female;Total persons;86 Human health activities;2022 3rd quarter;735
2808;Total male and female;Total persons;86 Human health activities;2022 4th quarter;741
2809;Total male and female;Total persons;86 Human health activities;2022;741
2810;Total male and female;Total persons;86 Human health activities;2023 1st quarter;739
2811;Total male and female;Total persons;86 Human health activities;2023 2nd quarter;735
2812;Total male and female;Total persons;86 Human health activities;2023 3rd quarter;743
2813;Total male and female;Total persons;86 Human health activities;2023 4th quarter;762
2814;Total male and female;Total persons;86 Human health activities;2023;745
2815;Total male and female;Total persons;86 Human health activities;2024 1st quarter;745
2816;Total male and female;Total persons;86 Human health activities;2024 2nd quarter;757
2817;Total male and female;Total persons;86 Human health activities;2024 3rd quarter;755
2818;Total male and female;Total persons;86 Human health activities;2024 4th quarter;767
2819;Total male and female;Total persons;86 Human health activities;2024;756
2820;Total male and female;Total persons;87-88 Care and social work;2013 1st quarter;800
2821;Total male and female;Total persons;87-88 Care and social work;2013 2nd quarter;797
2822;Total male and female;Total persons;87-88 Care and social work;2013 3rd quarter;786
2823;Total male and female;Total persons;87-88 Care and social work;2013 4th quarter;760
2824;Total male and female;Total persons;87-88 Care and social work;2013;786
2825;Total male and female;Total persons;87-88 Care and social work;2014 1st quarter;732
2826;Total male and female;Total persons;87-88 Care and social work;2014 2nd quarter;731
2827;Total male and female;Total persons;87-88 Care and social work;2014 3rd quarter;737
2828;Total male and female;Total persons;87-88 Care and social work;2014 4th quarter;743
2829;Total male and female;Total persons;87-88 Care and social work;2014;736
2830;Total male and female;Total persons;87-88 Care and social work;2015 1st quarter;726
2831;Total male and female;Total persons;87-88 Care and social work;2015 2nd quarter;717
2832;Total male and female;Total persons;87-88 Care and social work;2015 3rd quarter;743
2833;Total male and female;Total persons;87-88 Care and social work;2015 4th quarter;737
2834;Total male and female;Total persons;87-88 Care and social work;2015;731
2835;Total male and female;Total persons;87-88 Care and social work;2016 1st quarter;713
2836;Total male and female;Total persons;87-88 Care and social work;2016 2nd quarter;723
2837;Total male and female;Total persons;87-88 Care and social work;2016 3rd quarter;748
2838;Total male and female;Total persons;87-88 Care and social work;2016 4th quarter;715
2839;Total male and female;Total persons;87-88 Care and social work;2016;725
2840;Total male and female;Total persons;87-88 Care and social work;2017 1st quarter;704
2841;Total male and female;Total persons;87-88 Care and social work;2017 2nd quarter;689
2842;Total male and female;Total persons;87-88 Care and social work;2017 3rd quarter;700
2843;Total male and female;Total persons;87-88 Care and social work;2017 4th quarter;702
2844;Total male and female;Total persons;87-88 Care and social work;2017;699
2845;Total male and female;Total persons;87-88 Care and social work;2018 1st quarter;692
2846;Total male and female;Total persons;87-88 Care and social work;2018 2nd quarter;708
2847;Total male and female;Total persons;87-88 Care and social work;2018 3rd quarter;717
2848;Total male and female;Total persons;87-88 Care and social work;2018 4th quarter;724
2849;Total male and female;Total persons;87-88 Care and social work;2018;710
2850;Total male and female;Total persons;87-88 Care and social work;2019 1st quarter;742
2851;Total male and female;Total persons;87-88 Care and social work;2019 2nd quarter;747
2852;Total male and female;Total persons;87-88 Care and social work;2019 3rd quarter;761
2853;Total male and female;Total persons;87-88 Care and social work;2019 4th quarter;788
2854;Total male and female;Total persons;87-88 Care and social work;2019;760
2855;Total male and female;Total persons;87-88 Care and social work;2020 1st quarter;780
2856;Total male and female;Total persons;87-88 Care and social work;2020 2nd quarter;762
2857;Total male and female;Total persons;87-88 Care and social work;2020 3rd quarter;788
2858;Total male and female;Total persons;87-88 Care and social work;2020 4th quarter;778
2859;Total male and female;Total persons;87-88 Care and social work;2020;777
2860;Total male and female;Total persons;87-88 Care and social work;2021 1st quarter;837
2861;Total male and female;Total persons;87-88 Care and social work;2021 2nd quarter;852
2862;Total male and female;Total persons;87-88 Care and social work;2021 3rd quarter;865
2863;Total male and female;Total persons;87-88 Care and social work;2021 4th quarter;867
2864;Total male and female;Total persons;87-88 Care and social work;2021;855
2865;Total male and female;Total persons;87-88 Care and social work;2022 1st quarter;866
2866;Total male and female;Total persons;87-88 Care and social work;2022 2nd quarter;871
2867;Total male and female;Total persons;87-88 Care and social work;2022 3rd quarter;883
2868;Total male and female;Total persons;87-88 Care and social work;2022 4th quarter;870
2869;Total male and female;Total persons;87-88 Care and social work;2022;873
2870;Total male and female;Total persons;87-88 Care and social work;2023 1st quarter;891
2871;Total male and female;Total persons;87-88 Care and social work;2023 2nd quarter;898
2872;Total male and female;Total persons;87-88 Care and social work;2023 3rd quarter;930
2873;Total male and female;Total persons;87-88 Care and social work;2023 4th quarter;947
2874;Total male and female;Total persons;87-88 Care and social work;2023;917
2875;Total male and female;Total persons;87-88 Care and social work;2024 1st quarter;938
2876;Total male and female;Total persons;87-88 Care and social work;2024 2nd quarter;927
2877;Total male and female;Total persons;87-88 Care and social work;2024 3rd quarter;927
2878;Total male and female;Total persons;87-88 Care and social work;2024 4th quarter;922
2879;Total male and female;Total persons;87-88 Care and social work;2024;928
2880;Total male and female;Total persons;R Culture, sports and recreation;2013 1st quarter;173
2881;Total male and female;Total persons;R Culture, sports and recreation;2013 2nd quarter;177
2882;Total male and female;Total persons;R Culture, sports and recreation;2013 3rd quarter;167
2883;Total male and female;Total persons;R Culture, sports and recreation;2013 4th quarter;171
2884;Total male and female;Total persons;R Culture, sports and recreation;2013;172
2885;Total male and female;Total persons;R Culture, sports and recreation;2014 1st quarter;162
2886;Total male and female;Total persons;R Culture, sports and recreation;2014 2nd quarter;163
2887;Total male and female;Total persons;R Culture, sports and recreation;2014 3rd quarter;166
2888;Total male and female;Total persons;R Culture, sports and recreation;2014 4th quarter;168
2889;Total male and female;Total persons;R Culture, sports and recreation;2014;165
2890;Total male and female;Total persons;R Culture, sports and recreation;2015 1st quarter;178
2891;Total male and female;Total persons;R Culture, sports and recreation;2015 2nd quarter;178
2892;Total male and female;Total persons;R Culture, sports and recreation;2015 3rd quarter;176
2893;Total male and female;Total persons;R Culture, sports and recreation;2015 4th quarter;171
2894;Total male and female;Total persons;R Culture, sports and recreation;2015;176
2895;Total male and female;Total persons;R Culture, sports and recreation;2016 1st quarter;173
2896;Total male and female;Total persons;R Culture, sports and recreation;2016 2nd quarter;177
2897;Total male and female;Total persons;R Culture, sports and recreation;2016 3rd quarter;186
2898;Total male and female;Total persons;R Culture, sports and recreation;2016 4th quarter;173
2899;Total male and female;Total persons;R Culture, sports and recreation;2016;177
2900;Total male and female;Total persons;R Culture, sports and recreation;2017 1st quarter;179
2901;Total male and female;Total persons;R Culture, sports and recreation;2017 2nd quarter;178
2902;Total male and female;Total persons;R Culture, sports and recreation;2017 3rd quarter;187
2903;Total male and female;Total persons;R Culture, sports and recreation;2017 4th quarter;177
2904;Total male and female;Total persons;R Culture, sports and recreation;2017;180
2905;Total male and female;Total persons;R Culture, sports and recreation;2018 1st quarter;181
2906;Total male and female;Total persons;R Culture, sports and recreation;2018 2nd quarter;181
2907;Total male and female;Total persons;R Culture, sports and recreation;2018 3rd quarter;183
2908;Total male and female;Total persons;R Culture, sports and recreation;2018 4th quarter;192
2909;Total male and female;Total persons;R Culture, sports and recreation;2018;184
2910;Total male and female;Total persons;R Culture, sports and recreation;2019 1st quarter;202
2911;Total male and female;Total persons;R Culture, sports and recreation;2019 2nd quarter;211
2912;Total male and female;Total persons;R Culture, sports and recreation;2019 3rd quarter;214
2913;Total male and female;Total persons;R Culture, sports and recreation;2019 4th quarter;205
2914;Total male and female;Total persons;R Culture, sports and recreation;2019;208
2915;Total male and female;Total persons;R Culture, sports and recreation;2020 1st quarter;206
2916;Total male and female;Total persons;R Culture, sports and recreation;2020 2nd quarter;200
2917;Total male and female;Total persons;R Culture, sports and recreation;2020 3rd quarter;188
2918;Total male and female;Total persons;R Culture, sports and recreation;2020 4th quarter;180
