ID;ExportFlows;Countries;Periods;Earnings_1;LabourVolumeAttributedToExport_2;ContributionToGrossDomesticProduct_3;ContributionToLabourVolume_4
475;Trade in services (including travel);Belgium;2016;7160;75;1.0;1.0
476;Trade in services (including travel);Belgium;2017;7507;76;1.0;1.0
477;Trade in services (including travel);Belgium;2018;7718;78;1.0;1.0
478;Trade in services (including travel);Belgium;2019;8612;84;1.1;1.1
479;Trade in services (including travel);Belgium;2020;7366;76;0.9;1.0
480;Trade in services (including travel);Brazil;2015;985;9;0.1;0.1
481;Trade in services (including travel);Brazil;2016;845;7;0.1;0.1
482;Trade in services (including travel);Brazil;2017;939;9;0.1;0.1
483;Trade in services (including travel);Brazil;2018;757;7;0.1;0.1
484;Trade in services (including travel);Brazil;2019;674;6;0.1;0.1
485;Trade in services (including travel);Brazil;2020;1118;9;0.1;0.1
486;Trade in services (including travel);Canada;2015;877;8;0.1;0.1
487;Trade in services (including travel);Canada;2016;837;8;0.1;0.1
488;Trade in services (including travel);Canada;2017;1078;10;0.1;0.1
489;Trade in services (including travel);Canada;2018;1320;13;0.2;0.2
490;Trade in services (including travel);Canada;2019;1530;15;0.2;0.2
491;Trade in services (including travel);Canada;2020;1217;12;0.2;0.2
492;Trade in services (including travel);China;2015;1452;14;0.2;0.2
493;Trade in services (including travel);China;2016;1190;12;0.2;0.2
494;Trade in services (including travel);China;2017;1132;11;0.2;0.2
495;Trade in services (including travel);China;2018;1113;11;0.1;0.1
496;Trade in services (including travel);China;2019;1401;14;0.2;0.2
497;Trade in services (including travel);China;2020;1487;16;0.2;0.2
498;Trade in services (including travel);Denmark;2015;1225;12;0.2;0.2
499;Trade in services (including travel);Denmark;2016;1258;13;0.2;0.2
500;Trade in services (including travel);Denmark;2017;1404;14;0.2;0.2
501;Trade in services (including travel);Denmark;2018;2031;22;0.3;0.3
502;Trade in services (including travel);Denmark;2019;1951;20;0.2;0.3
503;Trade in services (including travel);Denmark;2020;1997;20;0.2;0.3
504;Trade in services (including travel);Germany;2015;14915;156;2.2;2.2
505;Trade in services (including travel);Germany;2016;14947;159;2.1;2.2
506;Trade in services (including travel);Germany;2017;16360;171;2.2;2.3
507;Trade in services (including travel);Germany;2018;17572;182;2.3;2.4
508;Trade in services (including travel);Germany;2019;18768;188;2.3;2.4
509;Trade in services (including travel);Germany;2020;15756;168;2.0;2.2
510;Trade in services (including travel);France;2015;5485;53;0.8;0.8
511;Trade in services (including travel);France;2016;4905;49;0.7;0.7
512;Trade in services (including travel);France;2017;5722;57;0.8;0.8
513;Trade in services (including travel);France;2018;6107;60;0.8;0.8
514;Trade in services (including travel);France;2019;6462;62;0.8;0.8
515;Trade in services (including travel);France;2020;6029;62;0.8;0.8
516;Trade in services (including travel);Ireland;2015;2240;22;0.3;0.3
517;Trade in services (including travel);Ireland;2016;2263;22;0.3;0.3
518;Trade in services (including travel);Ireland;2017;2534;26;0.3;0.4
519;Trade in services (including travel);Ireland;2018;2960;29;0.4;0.4
520;Trade in services (including travel);Ireland;2019;3314;31;0.4;0.4
521;Trade in services (including travel);Ireland;2020;3549;36;0.4;0.5
522;Trade in services (including travel);India;2015;503;5;0.1;0.1
523;Trade in services (including travel);India;2016;580;6;0.1;0.1
524;Trade in services (including travel);India;2017;602;6;0.1;0.1
525;Trade in services (including travel);India;2018;662;7;0.1;0.1
526;Trade in services (including travel);India;2019;847;8;0.1;0.1
527;Trade in services (including travel);India;2020;746;7;0.1;0.1
528;Trade in services (including travel);Indonesia;2015;494;5;0.1;0.1
529;Trade in services (including travel);Indonesia;2016;379;4;0.1;0.1
530;Trade in services (including travel);Indonesia;2017;344;3;0.0;0.0
531;Trade in services (including travel);Indonesia;2018;303;3;0.0;0.0
532;Trade in services (including travel);Indonesia;2019;308;3;0.0;0.0
533;Trade in services (including travel);Indonesia;2020;279;3;0.0;0.0
534;Trade in services (including travel);Italy;2015;2181;21;0.3;0.3
535;Trade in services (including travel);Italy;2016;2311;23;0.3;0.3
536;Trade in services (including travel);Italy;2017;2508;25;0.3;0.3
537;Trade in services (including travel);Italy;2018;2766;27;0.4;0.4
538;Trade in services (including travel);Italy;2019;3026;29;0.4;0.4
539;Trade in services (including travel);Italy;2020;2473;27;0.3;0.3
540;Trade in services (including travel);Nigeria;2015;425;4;0.1;0.1
541;Trade in services (including travel);Nigeria;2016;310;3;0.0;0.0
542;Trade in services (including travel);Nigeria;2017;231;2;0.0;0.0
543;Trade in services (including travel);Nigeria;2018;244;2;0.0;0.0
544;Trade in services (including travel);Nigeria;2019;265;2;0.0;0.0
545;Trade in services (including travel);Nigeria;2020;238;2;0.0;0.0
546;Trade in services (including travel);Norway;2015;736;7;0.1;0.1
547;Trade in services (including travel);Norway;2016;692;6;0.1;0.1
548;Trade in services (including travel);Norway;2017;717;7;0.1;0.1
549;Trade in services (including travel);Norway;2018;677;6;0.1;0.1
550;Trade in services (including travel);Norway;2019;665;6;0.1;0.1
551;Trade in services (including travel);Norway;2020;648;6;0.1;0.1
552;Trade in services (including travel);Poland;2015;1302;14;0.2;0.2
553;Trade in services (including travel);Poland;2016;1419;15;0.2;0.2
554;Trade in services (including travel);Poland;2017;1471;16;0.2;0.2
555;Trade in services (including travel);Poland;2018;1652;17;0.2;0.2
556;Trade in services (including travel);Poland;2019;1824;18;0.2;0.2
557;Trade in services (including travel);Poland;2020;1907;21;0.2;0.3
558;Trade in services (including travel);Russia;2015;810;8;0.1;0.1
559;Trade in services (including travel);Russia;2016;644;7;0.1;0.1
560;Trade in services (including travel);Russia;2017;1136;11;0.2;0.2
561;Trade in services (including travel);Russia;2018;983;10;0.1;0.1
562;Trade in services (including travel);Russia;2019;925;9;0.1;0.1
563;Trade in services (including travel);Russia;2020;789;8;0.1;0.1
564;Trade in services (including travel);Singapore;2015;1023;10;0.1;0.1
565;Trade in services (including travel);Singapore;2016;963;9;0.1;0.1
566;Trade in services (including travel);Singapore;2017;943;9;0.1;0.1
567;Trade in services (including travel);Singapore;2018;964;9;0.1;0.1
568;Trade in services (including travel);Singapore;2019;1064;10;0.1;0.1
569;Trade in services (including travel);Singapore;2020;787;8;0.1;0.1
570;Trade in services (including travel);Spain;2015;1798;17;0.3;0.2
571;Trade in services (including travel);Spain;2016;2125;21;0.3;0.3
572;Trade in services (including travel);Spain;2017;2354;23;0.3;0.3
573;Trade in services (including travel);Spain;2018;2514;24;0.3;0.3
574;Trade in services (including travel);Spain;2019;2722;25;0.3;0.3
575;Trade in services (including travel);Spain;2020;2178;22;0.3;0.3
576;Trade in services (including travel);Thailand;2015;436;4;0.1;0.1
577;Trade in services (including travel);Thailand;2016;278;3;0.0;0.0
578;Trade in services (including travel);Thailand;2017;234;2;0.0;0.0
579;Trade in services (including travel);Thailand;2018;232;2;0.0;0.0
580;Trade in services (including travel);Thailand;2019;252;2;0.0;0.0
581;Trade in services (including travel);Thailand;2020;256;3;0.0;0.0
582;Trade in services (including travel);Turkey;2015;555;5;0.1;0.1
583;Trade in services (including travel);Turkey;2016;438;5;0.1;0.1
584;Trade in services (including travel);Turkey;2017;410;4;0.1;0.1
585;Trade in services (including travel);Turkey;2018;396;4;0.1;0.1
586;Trade in services (including travel);Turkey;2019;453;4;0.1;0.1
587;Trade in services (including travel);Turkey;2020;400;4;0.1;0.1
588;Trade in services (including travel);United Kingdom;2015;13312;129;1.9;1.8
589;Trade in services (including travel);United Kingdom;2016;13071;131;1.8;1.8
590;Trade in services (including travel);United Kingdom;2017;14519;145;2.0;2.0
591;Trade in services (including travel);United Kingdom;2018;15094;149;2.0;2.0
592;Trade in services (including travel);United Kingdom;2019;15807;152;1.9;2.0
593;Trade in services (including travel);United Kingdom;2020;13324;135;1.7;1.7
594;Trade in services (including travel);United States;2015;9624;89;1.4;1.3
595;Trade in services (including travel);United States;2016;8893;86;1.3;1.2
596;Trade in services (including travel);United States;2017;8470;80;1.1;1.1
597;Trade in services (including travel);United States;2018;8507;80;1.1;1.1
598;Trade in services (including travel);United States;2019;8628;79;1.1;1.0
599;Trade in services (including travel);United States;2020;7986;80;1.0;1.0
600;Trade in services (including travel);Viet Nam;2015;192;2;0.0;0.0
601;Trade in services (including travel);Viet Nam;2016;138;1;0.0;0.0
602;Trade in services (including travel);Viet Nam;2017;140;1;0.0;0.0
603;Trade in services (including travel);Viet Nam;2018;149;2;0.0;0.0
604;Trade in services (including travel);Viet Nam;2019;138;1;0.0;0.0
605;Trade in services (including travel);Viet Nam;2020;123;1;0.0;0.0
606;Trade in services (including travel);South Africa;2015;322;3;0.0;0.0
607;Trade in services (including travel);South Africa;2016;331;3;0.0;0.0
608;Trade in services (including travel);South Africa;2017;347;3;0.0;0.0
609;Trade in services (including travel);South Africa;2018;348;3;0.0;0.0
610;Trade in services (including travel);South Africa;2019;369;4;0.0;0.0
611;Trade in services (including travel);South Africa;2020;387;4;0.0;0.1
612;Trade in services (including travel);Sweden;2015;2029;20;0.3;0.3
613;Trade in services (including travel);Sweden;2016;1785;18;0.3;0.3
614;Trade in services (including travel);Sweden;2017;2092;21;0.3;0.3
615;Trade in services (including travel);Sweden;2018;2292;23;0.3;0.3
616;Trade in services (including travel);Sweden;2019;2418;23;0.3;0.3
617;Trade in services (including travel);Sweden;2020;2331;23;0.3;0.3
618;Trade in services (including travel);Switzerland;2015;6022;59;0.9;0.8
619;Trade in services (including travel);Switzerland;2016;5113;51;0.7;0.7
620;Trade in services (including travel);Switzerland;2017;4266;41;0.6;0.6
621;Trade in services (including travel);Switzerland;2018;3643;34;0.5;0.4
622;Trade in services (including travel);Switzerland;2019;3657;33;0.4;0.4
623;Trade in services (including travel);Switzerland;2020;3974;37;0.5;0.5
