ID;Geslacht;Leeftijd;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58;LeeftijdWillenDoorwerken_59;LeeftijdInStaatDoorwerken_60
115;Vrouwen;Totaal leeftijd;2012;31.4;39.8;26.1;;;18.3;;;;3.2;;2.6;1.9;20.6;11.2;4.0;7.4;8.5;36.4;3.8;;54.6;59.5;52.9;61.0;43.8;7.4;12.2;12.3;9.0;2.6;22.9;9.8;8.3;0.3;5.9;6.6;10300;5.7;3.5;2.1;2.0;1.5;3.4;1.8;0.5;13.0;13.4;26.6;15.7;9.6;12.0;76.1;79.0;;;;;62.3;61.3
116;Vrouwen;Totaal leeftijd;2013;32.8;41.9;27.7;;;16.9;;;;3.5;;2.7;1.4;21.1;11.6;6.9;9.0;9.0;36.0;3.8;;55.0;59.2;53.0;61.9;43.0;8.9;13.5;13.0;9.0;3.0;22.9;9.1;8.1;0.4;5.6;6.1;10200;5.3;3.2;2.0;2.0;1.5;3.3;1.4;0.5;11.6;12.7;24.8;14.4;8.7;11.2;73.8;78.4;;;;;62.5;61.2
117;Vrouwen;15 tot 25 jaar;2005;44.9;41.7;21.7;28.7;22.0;33.3;32.1;30.8;24.3;4.0;0.9;;;;;;;;;2.4;8.6;;;;;;;;;;;;;;;;;10000;6.4;4.4;2.0;1.9;1.2;4.7;1.1;0.5;;;;;;;70.4;;25.5;25.3;33.4;;;
118;Vrouwen;15 tot 25 jaar;2006;43.4;41.1;24.1;27.5;20.5;32.4;31.3;29.7;23.9;6.2;0.9;;;;;;;;;2.4;8.4;;;;;;;;;;;;;;;;;9900;5.9;2.8;3.2;3.2;1.8;4.4;1.3;0.2;;;;;;;73.8;;34.0;28.9;36.4;;;
119;Vrouwen;15 tot 25 jaar;2007;30.7;31.0;19.7;;;25.0;;;;4.8;;5.6;1.8;;;;;12.1;48.9;2.5;;;;;;;5.0;8.8;9.7;12.6;3.7;21.1;5.3;9.5;0.3;9.7;8.3;13500;6.7;3.7;3.0;2.7;2.1;5.3;1.0;0.3;9.7;9.3;16.0;14.9;6.8;10.0;71.6;75.3;38.1;20.9;36.5;;;
120;Vrouwen;15 tot 25 jaar;2008;29.2;34.2;21.1;;;27.6;;;;3.6;;5.5;;24.1;16.7;4.7;7.8;9.8;39.4;2.7;;40.8;45.3;44.0;49.0;34.4;5.9;10.3;10.0;11.8;5.6;22.0;5.1;11.8;0.2;9.1;6.3;14700;7.7;4.4;3.3;3.0;2.4;6.4;0.8;0.5;11.0;11.1;20.6;15.3;9.5;13.3;74.1;76.4;37.8;23.9;42.4;8.7;;
121;Vrouwen;15 tot 25 jaar;2009;30.8;31.0;20.2;;;26.1;;;;2.6;;4.6;2.4;26.4;17.3;5.8;15.9;10.4;43.1;2.5;;36.5;40.8;42.0;45.3;34.8;5.2;9.1;9.3;16.7;3.4;23.8;4.3;11.6;0.6;12.3;6.4;20100;6.1;4.2;1.9;1.7;1.3;4.5;1.1;0.6;9.7;7.6;16.4;12.9;7.9;9.8;78.3;80.7;43.4;25.8;43.6;10.9;;
122;Vrouwen;15 tot 25 jaar;2010;30.1;30.5;19.8;;;29.1;;;;4.6;;4.0;2.2;27.2;18.8;4.2;8.7;11.3;47.2;2.2;;34.1;38.2;40.1;43.8;34.2;4.9;8.7;8.7;13.9;3.6;20.3;4.6;8.9;0.3;8.4;6.2;14100;7.1;5.1;2.0;1.6;1.2;5.8;1.0;0.3;10.4;11.1;19.9;16.5;8.0;12.4;79.1;78.3;44.6;20.9;40.1;11.5;;
123;Vrouwen;15 tot 25 jaar;2011;28.8;31.1;19.6;;;27.1;;;;3.9;;3.0;1.2;23.5;14.6;4.8;10.2;8.7;43.7;2.2;;32.0;36.8;37.8;42.5;35.0;5.2;9.3;10.9;16.2;3.2;24.0;5.7;8.0;0.2;7.7;6.4;16000;7.2;4.7;2.4;2.1;1.5;5.3;1.0;0.5;9.2;9.4;17.8;15.6;7.7;11.2;77.0;80.6;;;;;58.2;55.9
124;Vrouwen;15 tot 25 jaar;2012;28.4;27.0;20.0;;;25.6;;;;4.0;;2.2;2.8;24.5;15.3;4.0;8.6;8.7;47.0;2.3;;32.0;33.9;34.7;42.7;37.5;5.2;8.1;8.6;15.5;3.0;21.6;6.2;8.3;0.2;5.5;4.1;13300;7.6;5.7;1.9;1.6;0.9;6.2;1.1;0.3;10.7;10.3;18.1;15.8;7.9;11.8;78.5;77.1;;;;;58.4;56.0
125;Vrouwen;15 tot 25 jaar;2013;31.6;29.5;21.4;;;27.0;;;;5.4;;3.8;1.2;24.2;15.9;5.6;10.6;9.9;50.4;1.9;;31.4;31.9;34.5;40.9;36.1;4.8;7.7;9.3;16.0;3.7;25.5;5.4;7.3;0.3;6.4;5.2;8400;6.1;3.9;2.2;2.0;1.3;4.9;0.8;0.4;8.9;7.9;16.0;14.5;6.7;11.1;75.0;77.0;;;;;58.5;55.4
126;Vrouwen;25 tot 35 jaar;2005;47.5;51.1;30.4;39.0;27.9;18.6;21.0;18.2;16.0;4.7;0.7;;;;;;;;;4.3;4.8;;;;;;;;;;;;;;;;;7900;4.8;2.9;2.0;1.9;1.3;2.3;2.0;0.5;;;;;;;71.0;;16.7;41.7;34.2;;;
127;Vrouwen;25 tot 35 jaar;2006;47.3;52.8;32.4;39.7;28.9;19.7;21.8;19.5;15.7;3.9;1.2;;;;;;;;;4.4;5.1;;;;;;;;;;;;;;;;;5300;4.3;2.3;2.0;1.9;1.6;2.4;1.4;0.4;;;;;;;72.3;;20.1;43.4;33.2;;;
128;Vrouwen;25 tot 35 jaar;2007;36.9;47.2;30.1;;;17.3;;;;2.7;;3.0;1.5;;;;;9.3;35.3;4.4;;;;;;;9.2;13.5;14.5;9.2;4.0;24.4;9.4;9.2;0.2;7.5;7.1;13100;6.0;3.0;3.0;2.8;2.0;3.9;1.4;0.7;12.3;13.3;25.0;16.1;8.8;11.4;71.8;76.3;29.0;35.4;37.8;;;
129;Vrouwen;25 tot 35 jaar;2008;33.4;45.0;29.4;;;17.7;;;;3.1;;2.8;;17.5;12.3;4.4;8.0;9.6;33.4;4.6;;60.7;65.9;58.0;68.5;42.3;8.7;13.4;12.6;10.1;4.1;23.4;9.1;9.0;0.3;6.8;8.0;13400;6.3;3.4;2.9;2.6;2.2;3.4;2.1;0.7;12.8;12.7;25.5;16.5;9.9;11.6;73.5;76.3;31.3;37.0;39.2;7.5;;
130;Vrouwen;25 tot 35 jaar;2009;33.0;41.9;27.5;;;15.3;;;;3.0;;2.6;1.6;15.8;11.1;5.0;10.3;8.0;30.6;4.5;;59.3;65.6;58.8;69.7;42.9;9.7;15.6;14.0;10.1;2.9;24.4;9.2;9.0;0.2;7.2;8.0;7500;4.9;2.5;2.4;2.1;1.8;2.8;1.8;0.3;12.9;13.8;25.2;16.1;9.3;11.4;73.0;77.0;37.2;40.7;40.7;9.1;;
131;Vrouwen;25 tot 35 jaar;2010;35.7;45.8;30.0;;;19.3;;;;3.3;;3.0;2.1;17.2;9.8;3.5;9.4;8.8;32.9;4.5;;58.7;65.0;57.9;69.6;42.0;9.6;15.8;14.2;11.1;3.9;21.6;7.5;10.4;0.5;6.5;5.8;11600;5.7;3.4;2.3;2.2;1.7;3.5;1.8;0.4;13.7;15.0;27.6;17.6;9.8;12.3;76.0;76.9;38.1;36.9;39.4;8.2;;
132;Vrouwen;25 tot 35 jaar;2011;33.9;44.5;29.1;;;16.9;;;;3.8;;2.9;1.8;18.6;9.6;4.9;9.2;9.8;33.1;4.7;;55.4;62.9;54.9;70.0;40.7;10.6;16.0;14.7;9.8;3.8;26.0;8.9;9.6;0.5;6.8;7.1;9800;4.7;2.3;2.4;2.3;2.0;2.7;1.6;0.5;13.3;14.0;23.5;17.2;10.0;11.9;72.3;75.8;;;;;62.3;59.7
133;Vrouwen;25 tot 35 jaar;2012;32.4;45.1;29.6;;;18.1;;;;3.2;;3.0;2.4;16.7;10.5;4.9;8.2;8.7;30.8;4.5;;54.7;62.8;52.9;66.3;40.6;8.8;13.8;13.3;9.6;3.6;22.9;7.4;9.7;0.4;5.8;6.7;9000;5.2;3.1;2.2;2.1;1.6;2.9;1.8;0.5;14.3;14.3;27.1;17.7;10.2;12.0;74.0;75.8;;;;;62.6;60.1
134;Vrouwen;25 tot 35 jaar;2013;33.1;45.5;32.2;;;17.4;;;;3.7;;2.4;1.8;17.2;11.0;6.7;10.0;9.9;31.2;4.4;;54.2;60.5;52.5;67.4;39.3;11.2;15.8;15.4;10.0;4.1;22.5;7.4;10.1;0.4;4.6;6.7;15400;5.6;3.7;1.9;1.7;1.3;3.3;1.7;0.6;13.4;14.2;26.0;18.2;9.9;13.0;71.2;74.8;;;;;62.6;59.8
135;Vrouwen;35 tot 45 jaar;2005;45.6;49.0;31.1;36.6;29.4;19.3;22.5;20.3;17.0;4.1;1.3;;;;;;;;;3.9;4.3;;;;;;;;;;;;;;;;;9600;4.7;2.9;1.8;1.7;1.4;2.8;1.5;0.4;;;;;;;72.6;;20.7;42.0;33.1;;;
136;Vrouwen;35 tot 45 jaar;2006;46.3;51.7;32.3;38.2;29.5;19.1;22.7;20.5;17.1;3.7;0.8;;;;;;;;;4.0;4.3;;;;;;;;;;;;;;;;;5100;4.0;2.1;1.9;1.7;1.3;2.1;1.4;0.5;;;;;;;72.4;;24.6;43.9;36.0;;;
137;Vrouwen;35 tot 45 jaar;2007;35.2;44.5;26.0;;;15.0;;;;2.4;;3.3;1.4;;;;;8.7;34.7;4.1;;;;;;;7.8;13.9;12.0;7.1;3.1;22.8;11.2;8.0;0.2;5.8;7.0;7600;4.6;2.6;1.9;1.8;1.8;3.0;1.2;0.4;9.3;11.3;24.5;11.4;6.1;9.1;74.6;78.5;33.0;41.3;39.3;;;
138;Vrouwen;35 tot 45 jaar;2008;33.4;44.2;27.5;;;16.6;;;;2.6;;3.2;;18.6;10.6;3.9;7.6;9.0;34.3;4.2;;64.1;69.4;60.9;67.7;49.0;8.9;13.1;11.9;7.3;2.5;21.2;9.4;8.6;0.5;5.5;6.7;14600;5.2;3.1;2.2;2.0;1.6;2.9;2.0;0.3;10.6;13.0;26.8;12.5;8.1;9.1;78.4;80.0;36.0;42.9;38.3;7.2;;
139;Vrouwen;35 tot 45 jaar;2009;34.1;43.3;26.0;;;13.6;;;;2.8;;2.6;1.1;16.2;9.9;5.2;9.4;7.5;30.9;4.3;;64.1;69.9;62.4;69.8;50.1;8.2;12.8;13.1;7.2;2.9;21.0;9.9;7.9;0.2;6.1;6.4;8300;5.4;2.8;2.6;2.5;2.1;3.2;1.6;0.6;10.0;11.4;24.7;12.0;7.5;9.5;76.7;80.2;40.9;47.3;39.4;9.8;;
140;Vrouwen;35 tot 45 jaar;2010;35.8;43.7;28.3;;;16.0;;;;2.6;;3.0;1.6;18.6;10.9;4.0;6.9;8.0;35.5;4.4;;63.5;69.4;61.0;68.6;49.9;7.6;12.2;12.3;6.7;2.7;18.9;8.4;6.8;0.3;5.4;5.8;10100;4.8;2.6;2.2;2.1;1.7;2.8;1.4;0.5;11.2;12.8;27.1;13.8;7.9;9.6;79.2;80.8;40.6;47.5;36.2;9.5;;
141;Vrouwen;35 tot 45 jaar;2011;33.6;43.0;28.0;;;14.0;;;;2.3;;2.6;1.0;17.3;9.9;4.3;7.1;7.9;32.3;4.5;;62.9;69.5;63.1;69.0;49.0;8.8;13.4;13.4;6.3;3.1;20.6;9.4;6.6;0.4;5.1;6.3;8700;4.8;2.7;2.2;2.0;1.9;2.8;1.6;0.3;11.8;13.2;25.0;14.0;9.2;10.4;74.5;77.9;;;;;62.1;61.7
142;Vrouwen;35 tot 45 jaar;2012;32.1;40.9;27.9;;;15.1;;;;3.1;;2.3;1.9;17.1;10.1;3.3;6.8;7.8;34.3;4.5;;61.6;67.3;59.9;68.8;47.6;7.5;11.5;12.7;7.3;2.6;22.1;10.3;7.2;0.3;5.7;7.1;11200;4.8;3.0;1.8;1.8;1.4;2.5;1.8;0.5;12.4;13.2;26.1;15.1;8.7;10.3;76.4;79.8;;;;;62.3;62.2
143;Vrouwen;35 tot 45 jaar;2013;32.8;44.0;29.2;;;12.9;;;;2.9;;2.6;1.5;17.3;9.1;6.4;8.1;7.7;32.2;4.5;;62.9;67.5;59.1;69.2;47.3;8.9;13.3;12.1;7.5;3.2;21.2;9.5;6.9;0.3;5.3;6.2;7400;4.9;2.9;2.0;1.9;1.7;3.1;1.2;0.6;11.4;12.3;25.0;12.9;8.1;9.3;74.4;79.0;;;;;62.7;62.2
144;Vrouwen;45 tot 55 jaar;2005;44.8;48.6;30.3;36.2;29.4;20.6;24.0;22.3;18.0;4.0;0.8;;;;;;;;;3.3;3.9;;;;;;;;;;;;;;;;;13800;5.0;2.8;2.1;2.1;1.8;2.5;2.0;0.4;;;;;;;70.3;;19.5;33.7;34.9;;;
145;Vrouwen;45 tot 55 jaar;2006;46.3;51.4;33.1;39.1;30.8;22.0;25.2;22.6;19.5;5.1;0.8;;;;;;;;;3.5;4.2;;;;;;;;;;;;;;;;;7500;5.0;2.8;2.1;2.1;1.9;2.5;2.3;0.3;;;;;;;69.8;;26.5;36.0;38.7;;;
146;Vrouwen;45 tot 55 jaar;2007;35.4;45.1;26.9;;;15.0;;;;2.4;;2.2;1.1;;;;;10.0;34.6;3.6;;;;;;;9.0;16.8;15.1;7.2;1.9;25.2;12.3;7.3;0.2;6.8;7.5;7400;5.1;2.6;2.4;2.4;2.0;3.0;1.7;0.3;11.8;13.6;28.7;12.7;9.1;10.9;72.6;79.4;34.4;41.0;44.3;;;
147;Vrouwen;45 tot 55 jaar;2008;33.6;42.2;27.1;;;16.4;;;;2.7;;2.8;;19.7;9.9;3.7;7.4;8.9;35.0;3.7;;61.4;64.2;56.4;64.3;46.5;9.6;16.0;14.4;6.9;1.8;25.9;10.8;9.2;0.3;7.4;6.6;9200;5.5;2.8;2.6;2.5;2.2;3.0;1.9;0.6;12.7;13.7;29.4;13.3;9.6;11.3;76.3;79.3;36.8;43.4;42.2;9.5;;
148;Vrouwen;45 tot 55 jaar;2009;35.3;44.0;27.4;;;15.2;;;;3.1;;2.9;1.1;19.9;10.8;5.6;9.6;9.3;33.6;3.8;;62.6;65.7;58.2;65.9;46.4;9.3;16.7;15.2;6.7;1.9;24.4;12.0;8.3;0.4;7.0;7.4;9000;5.8;3.2;2.6;2.5;2.0;3.5;1.8;0.4;13.6;14.5;30.4;14.4;10.8;11.8;74.3;81.2;41.1;42.0;43.1;10.3;;
149;Vrouwen;45 tot 55 jaar;2010;35.9;45.9;28.0;;;17.6;;;;2.8;;2.9;1.7;20.2;9.7;3.9;7.6;9.2;37.4;3.8;;60.9;65.0;57.6;64.9;46.9;9.6;14.9;14.6;6.7;1.7;22.7;12.0;7.1;0.3;5.8;6.2;9700;6.2;3.4;2.8;2.7;2.5;3.1;2.5;0.5;13.9;15.2;31.2;14.3;10.7;12.5;77.2;80.1;42.8;44.2;44.2;11.0;;
150;Vrouwen;45 tot 55 jaar;2011;33.8;44.2;28.8;;;17.0;;;;2.5;;2.8;0.9;23.1;11.8;5.7;7.9;11.0;38.1;3.8;;62.0;65.4;59.4;64.5;46.6;9.4;14.9;14.6;6.5;2.0;24.1;11.8;7.6;0.2;5.4;6.6;9500;5.8;2.9;2.9;2.8;2.4;3.5;1.8;0.5;12.9;14.1;28.2;13.1;9.6;11.2;74.9;79.8;;;;;62.9;62.6
151;Vrouwen;45 tot 55 jaar;2012;32.9;41.5;26.2;;;17.6;;;;2.8;;2.8;1.5;23.7;11.1;4.2;7.8;8.8;37.2;3.8;;60.3;64.1;56.0;61.1;46.4;7.3;12.9;12.1;7.6;2.0;23.8;12.0;8.6;0.2;5.9;7.3;8600;5.5;3.2;2.3;2.2;1.8;3.1;1.9;0.6;12.8;14.0;30.0;14.5;9.5;12.4;75.7;80.7;;;;;63.2;62.8
152;Vrouwen;45 tot 55 jaar;2013;33.4;44.3;26.9;;;15.4;;;;3.1;;2.5;1.3;23.9;12.0;7.5;8.4;9.3;35.5;3.9;;61.3;65.5;56.6;63.2;45.5;9.1;14.4;13.3;7.0;2.4;23.5;11.7;8.0;0.4;5.7;6.1;10400;5.2;2.9;2.3;2.3;1.8;2.9;1.9;0.4;11.9;14.6;27.0;13.6;8.5;11.3;74.3;80.2;;;;;63.3;63.1
153;Vrouwen;55 tot 65 jaar;2005;38.1;44.5;27.8;30.8;25.5;17.4;20.6;18.8;15.6;4.5;0.7;;;;;;;;;3.2;3.6;;;;;;;;;;;;;;;;;11200;5.4;2.9;2.5;2.5;2.1;2.7;2.0;0.4;;;;;;;70.3;;24.1;38.8;25.8;;;
154;Vrouwen;55 tot 65 jaar;2006;38.7;44.6;24.9;30.4;24.4;17.6;20.4;17.6;14.9;3.5;0.4;;;;;;;;;3.3;3.7;;;;;;;;;;;;;;;;;4800;3.3;1.5;1.8;1.7;1.3;1.7;1.3;0.3;;;;;;;72.9;;26.2;43.0;28.1;;;
155;Vrouwen;55 tot 65 jaar;2007;32.8;40.7;24.3;;;11.0;;;;3.2;;1.4;1.0;;;;;8.8;33.2;3.3;;;;;;;7.9;15.8;15.9;4.0;1.2;20.7;11.5;5.8;0.2;7.5;7.9;8700;5.5;3.0;2.4;2.4;2.3;2.7;2.1;0.6;10.9;11.6;27.6;10.5;9.1;10.3;71.8;79.7;37.5;46.8;34.0;;;
156;Vrouwen;55 tot 65 jaar;2008;31.3;40.4;24.2;;;15.2;;;;3.2;;2.2;;19.4;9.1;3.9;6.7;8.8;34.4;3.5;;62.4;64.4;58.0;62.9;47.1;8.8;16.4;14.1;5.0;1.0;21.5;11.1;7.0;0.0;6.5;6.8;17000;6.4;3.8;2.6;2.5;2.3;3.7;1.8;0.7;12.5;13.0;30.1;12.0;10.6;11.9;77.6;83.0;38.4;48.5;33.4;11.6;;
157;Vrouwen;55 tot 65 jaar;2009;31.8;41.8;25.1;;;12.6;;;;3.8;;2.1;1.3;18.1;9.3;4.3;8.5;9.4;33.0;3.4;;62.8;65.6;58.0;63.5;45.6;9.5;17.5;14.3;4.9;1.1;22.2;12.9;7.1;0.2;8.7;7.3;8400;5.5;2.7;2.8;2.7;2.3;3.3;1.9;0.3;12.3;13.6;29.5;12.3;10.8;11.2;73.1;80.4;42.3;50.5;35.0;12.8;;
158;Vrouwen;55 tot 65 jaar;2010;32.5;41.2;24.3;;;16.4;;;;2.1;;2.7;0.8;21.0;9.2;3.3;5.8;9.4;35.9;3.6;;65.1;66.5;61.0;63.3;49.1;9.7;16.5;14.6;5.9;1.4;22.3;11.0;7.6;0.3;6.4;5.6;9600;6.7;4.2;2.5;2.5;2.2;3.4;2.5;0.7;12.4;12.8;29.4;11.9;10.8;11.0;78.2;82.9;47.0;53.2;33.8;14.2;;
159;Vrouwen;55 tot 65 jaar;2011;33.0;40.6;24.9;;;13.9;;;;2.5;;2.6;0.9;21.0;9.9;5.7;7.7;9.4;33.2;3.6;;61.0;63.8;56.3;62.8;45.9;9.2;14.0;14.4;5.3;1.2;24.2;12.4;7.4;0.2;6.0;7.3;15300;6.2;3.5;2.7;2.6;2.3;3.5;2.0;0.5;12.2;13.3;28.3;13.3;10.7;11.9;74.3;80.1;;;;;63.9;64.2
160;Vrouwen;55 tot 65 jaar;2012;29.4;41.1;24.6;;;16.9;;;;2.7;;2.3;0.9;22.9;9.4;3.7;5.1;8.7;35.1;3.6;;59.0;62.8;56.7;60.2;45.3;7.6;14.4;14.4;5.9;1.6;23.8;12.8;7.2;0.2;6.9;7.0;10300;5.6;2.9;2.7;2.6;2.1;2.8;2.2;0.6;14.8;15.1;31.0;15.1;12.4;14.0;76.4;81.5;;;;;64.2;64.4
161;Vrouwen;55 tot 65 jaar;2013;33.0;42.9;26.7;;;13.6;;;;2.9;;2.6;1.0;24.5;11.3;8.0;8.3;8.2;34.6;3.6;;59.1;63.1;58.0;62.9;45.4;9.5;15.1;14.8;5.5;1.2;22.6;10.7;8.1;0.4;6.5;6.3;8800;4.7;2.8;1.8;1.7;1.3;2.8;1.3;0.5;12.0;13.3;28.5;12.3;10.5;11.7;74.4;81.3;;;;;64.5;64.6
