ID;Sex;InFormalEducation;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;TemporaryEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;PartTime_11;LessThan20WorkingHoursAWeek_12;LessThan12WorkingHoursAWeek_13;k_12To19WorkingHoursAWeek_14;k_20To34WorkingHoursAWeek_15;k_20To27WorkingHoursAWeek_16;k_28To34WorkingHoursAWeek_17;FullTime_18;UnemployedLabourForce_19;UnemploymentRate_20;NotInTheLabourForce_21;GrossLabourParticipationRate_22;NetLabourParticipationRate_23
192;Female;Not in formal education;Caribbean Netherlands;2012;540;430;390;390;250;140;0;0;0;0;90;20;20;0;70;30;40;300;40;9.6;110;79.9;72.2
193;Female;Not in formal education;Caribbean Netherlands;2014;650;530;420;390;230;160;30;10;0;20;110;30;30;0;80;70;10;310;110;20.8;120;81.8;64.8
194;Female;Not in formal education;Caribbean Netherlands;2016;570;480;400;400;250;160;0;0;0;0;90;10;10;0;80;10;60;310;80;;90;84.7;71.0
195;Female;Not in formal education;Caribbean Netherlands;2018;580;470;450;430;230;200;10;10;0;0;150;0;0;0;150;90;60;300;30;5.7;100;81.9;77.3
196;Female;Not in formal education;Caribbean Netherlands;2020;530;350;310;310;160;150;0;0;0;0;50;0;0;0;50;30;20;260;40;12.1;180;66.5;58.5
197;Female;Not in formal education;Caribbean Netherlands;2022;550;470;450;430;320;110;20;20;0;0;50;0;0;0;50;30;20;410;20;;80;;
198;Female;Not in formal education;Bonaire;2012;420;360;320;320;210;110;0;0;0;0;50;10;10;0;40;20;30;270;40;;70;;
199;Female;Not in formal education;Bonaire;2014;540;440;340;320;190;130;20;0;0;20;70;20;20;0;50;40;10;270;110;;100;;
200;Female;Not in formal education;Bonaire;2016;470;420;360;360;230;130;0;0;0;0;70;10;10;0;50;0;50;290;60;;60;;
201;Female;Not in formal education;Bonaire;2018;470;380;350;340;210;130;10;10;0;0;110;0;0;0;110;60;50;240;30;;90;;
202;Female;Not in formal education;Bonaire;2020;420;270;240;240;120;120;0;0;0;0;30;0;0;0;30;10;20;210;30;;150;;
203;Female;Not in formal education;Bonaire;2022;460;420;400;380;290;90;20;20;0;0;50;0;0;0;50;30;20;360;10;;50;;
204;Female;Not in formal education;St. Eustatius;2012;70;40;40;40;20;20;0;0;0;0;20;0;0;0;20;10;10;20;0;;30;;
205;Female;Not in formal education;St. Eustatius;2014;50;40;40;20;20;0;10;10;0;0;30;0;0;0;30;30;0;10;0;;10;;
206;Female;Not in formal education;St. Eustatius;2016;60;40;20;20;20;10;0;0;0;0;10;0;0;0;10;0;10;10;20;;20;;
207;Female;Not in formal education;St. Eustatius;2018;50;40;40;40;0;30;0;0;0;0;20;0;0;0;20;20;10;10;0;;10;;
208;Female;Not in formal education;St. Eustatius;2020;60;50;40;40;20;20;0;0;0;0;20;0;0;0;20;10;0;20;10;;10;;
209;Female;Not in formal education;St. Eustatius;2022;70;40;40;30;30;10;0;0;0;0;0;0;0;0;0;0;0;40;10;;30;;
210;Female;Not in formal education;Saba;2012;50;30;30;30;30;10;0;0;0;0;10;0;0;0;10;10;10;20;0;;20;;
211;Female;Not in formal education;Saba;2014;60;50;50;50;20;30;0;0;0;0;10;0;0;0;10;0;0;40;0;;10;;
212;Female;Not in formal education;Saba;2016;30;30;20;20;0;20;0;0;0;0;20;0;0;0;20;10;0;10;0;;10;;
213;Female;Not in formal education;Saba;2018;60;60;60;60;20;30;0;0;0;0;20;0;0;0;20;10;10;40;0;;0;;
214;Female;Not in formal education;Saba;2020;50;30;30;30;20;10;0;0;0;0;10;0;0;0;10;0;0;30;0;;20;;
215;Female;Not in formal education;Saba;2022;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;;
