ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
1204;5232 + 5233 Chemist's, medical articles;1994 December;125.0;;;;;
1205;5232 + 5233 Chemist's, medical articles;1994 4th quarter;108.0;;;;;
1206;5232 + 5233 Chemist's, medical articles;1994;98.0;;;;;
1207;5232 + 5233 Chemist's, medical articles;1995 January;84.0;;;;;
1208;5232 + 5233 Chemist's, medical articles;1995 February;88.0;;;;;
1209;5232 + 5233 Chemist's, medical articles;1995 March;97.0;;;;;
1210;5232 + 5233 Chemist's, medical articles;1995 1st quarter;90.0;;;;;
1211;5232 + 5233 Chemist's, medical articles;1995 April;92.0;;;;;
1212;5232 + 5233 Chemist's, medical articles;1995 May;107.0;;;;;
1213;5232 + 5233 Chemist's, medical articles;1995 June;108.0;;;;;
1214;5232 + 5233 Chemist's, medical articles;1995 2nd quarter;102.0;;;;;
1215;5232 + 5233 Chemist's, medical articles;1995 July;102.0;;;;;
1216;5232 + 5233 Chemist's, medical articles;1995 August;96.0;;;;;
1217;5232 + 5233 Chemist's, medical articles;1995 September;97.0;;;;;
1218;5232 + 5233 Chemist's, medical articles;1995 3rd quarter;98.0;;;;;
1219;5232 + 5233 Chemist's, medical articles;1995 October;96.0;;;;;
1220;5232 + 5233 Chemist's, medical articles;1995 November;104.0;;;;;
1221;5232 + 5233 Chemist's, medical articles;1995 December;126.0;;;;;
1222;5232 + 5233 Chemist's, medical articles;1995 4th quarter;109.0;;;;;
1223;5232 + 5233 Chemist's, medical articles;1995;100.0;;;2.6;;
1224;5232 + 5233 Chemist's, medical articles;1996 January;92.0;;;;;
1225;5232 + 5233 Chemist's, medical articles;1996 February;95.0;;;;;
1226;5232 + 5233 Chemist's, medical articles;1996 March;100.0;;;;;
1227;5232 + 5233 Chemist's, medical articles;1996 1st quarter;96.0;;;;;
1228;5232 + 5233 Chemist's, medical articles;1996 April;97.0;;;;;
1229;5232 + 5233 Chemist's, medical articles;1996 May;109.0;;;;;
1230;5232 + 5233 Chemist's, medical articles;1996 June;110.0;;;;;
1231;5232 + 5233 Chemist's, medical articles;1996 2nd quarter;105.0;;;;;
1232;5232 + 5233 Chemist's, medical articles;1996 July;104.0;;;;;
1233;5232 + 5233 Chemist's, medical articles;1996 August;102.0;;;;;
1234;5232 + 5233 Chemist's, medical articles;1996 September;95.0;;;;;
1235;5232 + 5233 Chemist's, medical articles;1996 3rd quarter;100.0;;;;;
1236;5232 + 5233 Chemist's, medical articles;1996 October;105.0;;;9.6;;
1237;5232 + 5233 Chemist's, medical articles;1996 November;108.0;;;3.8;;
1238;5232 + 5233 Chemist's, medical articles;1996 December;126.0;;;-0.6;;
1239;5232 + 5233 Chemist's, medical articles;1996 4th quarter;113.0;;;3.9;;
1240;5232 + 5233 Chemist's, medical articles;1996;103.0;;;3.4;;
1241;5232 + 5233 Chemist's, medical articles;1997 January;102.0;;;11.3;;
1242;5232 + 5233 Chemist's, medical articles;1997 February;96.0;;;0.8;;
1243;5232 + 5233 Chemist's, medical articles;1997 March;101.0;;;0.6;;
1244;5232 + 5233 Chemist's, medical articles;1997 1st quarter;100.0;;;4.2;;
1245;5232 + 5233 Chemist's, medical articles;1997 April;106.0;;;8.5;;
1246;5232 + 5233 Chemist's, medical articles;1997 May;123.0;;;13.1;;
1247;5232 + 5233 Chemist's, medical articles;1997 June;113.0;;;3.0;;
1248;5232 + 5233 Chemist's, medical articles;1997 2nd quarter;114.0;;;8.2;;
1249;5232 + 5233 Chemist's, medical articles;1997 July;114.0;;;9.0;;
1250;5232 + 5233 Chemist's, medical articles;1997 August;106.0;;;4.5;;
1251;5232 + 5233 Chemist's, medical articles;1997 September;107.0;;;13.1;;
1252;5232 + 5233 Chemist's, medical articles;1997 3rd quarter;109.0;;;8.8;;
1253;5232 + 5233 Chemist's, medical articles;1997 October;115.0;;;10.1;;
1254;5232 + 5233 Chemist's, medical articles;1997 November;116.0;;;7.7;;
1255;5232 + 5233 Chemist's, medical articles;1997 December;144.0;;;14.3;;
1256;5232 + 5233 Chemist's, medical articles;1997 4th quarter;125.0;;;10.9;;
1257;5232 + 5233 Chemist's, medical articles;1997;112.0;;;8.2;;
1258;5232 + 5233 Chemist's, medical articles;1998 January;114.0;;;10.9;;
1259;5232 + 5233 Chemist's, medical articles;1998 February;108.0;;;11.7;;
1260;5232 + 5233 Chemist's, medical articles;1998 March;110.0;;;7.6;;
1261;5232 + 5233 Chemist's, medical articles;1998 1st quarter;111.0;;;10.1;;
1262;5232 + 5233 Chemist's, medical articles;1998 April;118.0;;;10.9;;
1263;5232 + 5233 Chemist's, medical articles;1998 May;133.0;;;7.5;;
1264;5232 + 5233 Chemist's, medical articles;1998 June;128.0;;;12.3;;
1265;5232 + 5233 Chemist's, medical articles;1998 2nd quarter;126.0;;;10.1;;
1266;5232 + 5233 Chemist's, medical articles;1998 July;136.0;;;18.1;;
1267;5232 + 5233 Chemist's, medical articles;1998 August;119.0;;;11.1;;
1268;5232 + 5233 Chemist's, medical articles;1998 September;121.0;;;11.5;;
1269;5232 + 5233 Chemist's, medical articles;1998 3rd quarter;125.0;;;13.6;;
1270;5232 + 5233 Chemist's, medical articles;1998 October;131.0;;;12.1;;
1271;5232 + 5233 Chemist's, medical articles;1998 November;130.0;;;10.8;;
1272;5232 + 5233 Chemist's, medical articles;1998 December;167.0;;;15.0;;
1273;5232 + 5233 Chemist's, medical articles;1998 4th quarter;143.0;;;12.8;;
1274;5232 + 5233 Chemist's, medical articles;1998;126.0;;;11.7;;
1275;5232 + 5233 Chemist's, medical articles;1999 January;116.0;;;1.3;;
1276;5232 + 5233 Chemist's, medical articles;1999 February;117.0;;;8.2;;
1277;5232 + 5233 Chemist's, medical articles;1999 March;128.0;;;16.6;;
1278;5232 + 5233 Chemist's, medical articles;1999 1st quarter;120.0;;;8.6;;
1279;5232 + 5233 Chemist's, medical articles;1999 April;130.0;;;10.1;;
1280;5232 + 5233 Chemist's, medical articles;1999 May;141.0;;;6.1;;
1281;5232 + 5233 Chemist's, medical articles;1999 June;150.0;;;17.5;;
1282;5232 + 5233 Chemist's, medical articles;1999 2nd quarter;141.0;;;11.2;;
1283;5232 + 5233 Chemist's, medical articles;1999 July;151.0;;;10.9;;
1284;5232 + 5233 Chemist's, medical articles;1999 August;127.0;;;6.7;;
1285;5232 + 5233 Chemist's, medical articles;1999 September;135.0;;;11.4;;
1286;5232 + 5233 Chemist's, medical articles;1999 3rd quarter;138.0;;;9.7;;
1287;5232 + 5233 Chemist's, medical articles;1999 October;143.0;;;9.4;;
1288;5232 + 5233 Chemist's, medical articles;1999 November;149.0;;;14.6;;
1289;5232 + 5233 Chemist's, medical articles;1999 December;185.0;;;10.3;;
1290;5232 + 5233 Chemist's, medical articles;1999 4th quarter;159.0;;;11.3;;
1291;5232 + 5233 Chemist's, medical articles;1999;139.0;;;10.3;;
1292;5232 + 5233 Chemist's, medical articles;2000 January;130.0;;;12.4;;
1293;5232 + 5233 Chemist's, medical articles;2000 February;133.0;;;14.3;;
1294;5232 + 5233 Chemist's, medical articles;2000 March;142.0;;;11.4;;
1295;5232 + 5233 Chemist's, medical articles;2000 1st quarter;135.0;;;12.7;;
1296;5232 + 5233 Chemist's, medical articles;2000 April;138.0;;;6.4;;
1297;5232 + 5233 Chemist's, medical articles;2000 May;155.0;;;9.6;;
1298;5232 + 5233 Chemist's, medical articles;2000 June;154.0;;;2.5;;
1299;5232 + 5233 Chemist's, medical articles;2000 2nd quarter;149.0;;;6.0;;
1300;5232 + 5233 Chemist's, medical articles;2000 July;151.0;;;0.0;;
1301;5232 + 5233 Chemist's, medical articles;2000 August;145.0;;;13.9;;
1302;5232 + 5233 Chemist's, medical articles;2000 September;150.0;;;11.4;;
1303;5232 + 5233 Chemist's, medical articles;2000 3rd quarter;149.0;;;8.0;;
1304;5232 + 5233 Chemist's, medical articles;2000 October;145.0;;;1.1;;
1305;5232 + 5233 Chemist's, medical articles;2000 November;161.0;;;7.6;;
1306;5232 + 5233 Chemist's, medical articles;2000 December;191.0;;;3.3;;
1307;5232 + 5233 Chemist's, medical articles;2000 4th quarter;165.0;;;4.0;;
1308;5232 + 5233 Chemist's, medical articles;2000;150.0;;;7.4;;
1309;5232.1 Chemist's articles;1994 January;86.0;99.0;87.0;;;
1310;5232.1 Chemist's articles;1994 February;87.0;100.0;87.0;;;
1311;5232.1 Chemist's articles;1994 March;96.0;100.0;96.0;;;
1312;5232.1 Chemist's articles;1994 1st quarter;90.0;100.0;90.0;;;
1313;5232.1 Chemist's articles;1994 April;95.0;99.0;96.0;;;
1314;5232.1 Chemist's articles;1994 May;97.0;100.0;97.0;;;
1315;5232.1 Chemist's articles;1994 June;105.0;100.0;105.0;;;
1316;5232.1 Chemist's articles;1994 2nd quarter;99.0;100.0;99.0;;;
1317;5232.1 Chemist's articles;1994 July;105.0;100.0;105.0;;;
1318;5232.1 Chemist's articles;1994 August;93.0;100.0;93.0;;;
1319;5232.1 Chemist's articles;1994 September;94.0;101.0;93.0;;;
1320;5232.1 Chemist's articles;1994 3rd quarter;97.0;100.0;97.0;;;
1321;5232.1 Chemist's articles;1994 October;96.0;100.0;96.0;;;
1322;5232.1 Chemist's articles;1994 November;103.0;100.0;103.0;;;
1323;5232.1 Chemist's articles;1994 December;121.0;100.0;121.0;;;
1324;5232.1 Chemist's articles;1994 4th quarter;107.0;100.0;107.0;;;
1325;5232.1 Chemist's articles;1994;98.0;100.0;98.0;;;
1326;5232.1 Chemist's articles;1995 January;86.0;100.0;86.0;;;
1327;5232.1 Chemist's articles;1995 February;89.0;100.0;89.0;;;
1328;5232.1 Chemist's articles;1995 March;97.0;100.0;97.0;;;
1329;5232.1 Chemist's articles;1995 1st quarter;91.0;100.0;91.0;1.8;0.6;1.2
1330;5232.1 Chemist's articles;1995 April;92.0;101.0;92.0;;;
1331;5232.1 Chemist's articles;1995 May;108.0;100.0;108.0;;;
1332;5232.1 Chemist's articles;1995 June;109.0;100.0;109.0;;;
1333;5232.1 Chemist's articles;1995 2nd quarter;103.0;100.0;103.0;4.2;0.4;3.8
1334;5232.1 Chemist's articles;1995 July;103.0;100.0;103.0;;;
1335;5232.1 Chemist's articles;1995 August;97.0;100.0;97.0;;;
1336;5232.1 Chemist's articles;1995 September;97.0;100.0;97.0;;;
1337;5232.1 Chemist's articles;1995 3rd quarter;99.0;100.0;99.0;2.4;-0.1;2.5
1338;5232.1 Chemist's articles;1995 October;95.0;100.0;94.0;;;
1339;5232.1 Chemist's articles;1995 November;104.0;100.0;104.0;;;
1340;5232.1 Chemist's articles;1995 December;123.0;100.0;123.0;;;
1341;5232.1 Chemist's articles;1995 4th quarter;107.0;100.0;107.0;1.6;0.6;1.1
1342;5232.1 Chemist's articles;1995;100.0;100.0;100.0;2.5;0.4;2.1
1343;5232.1 Chemist's articles;1996 January;93.0;100.0;93.0;5.9;0.5;5.4
1344;5232.1 Chemist's articles;1996 February;96.0;100.0;96.0;7.3;0.4;6.8
1345;5232.1 Chemist's articles;1996 March;101.0;100.0;101.0;3.9;0.4;3.5
1346;5232.1 Chemist's articles;1996 1st quarter;97.0;100.0;97.0;5.4;0.4;4.9
1347;5232.1 Chemist's articles;1996 April;98.0;100.0;98.0;6.5;0.4;6.1
1348;5232.1 Chemist's articles;1996 May;109.0;100.0;109.0;0.9;0.4;0.5
1349;5232.1 Chemist's articles;1996 June;111.0;100.0;111.0;1.6;0.5;1.2
1350;5232.1 Chemist's articles;1996 2nd quarter;106.0;100.0;106.0;2.8;0.4;2.4
1351;5232.1 Chemist's articles;1996 July;105.0;101.0;105.0;1.5;0.7;0.8
1352;5232.1 Chemist's articles;1996 August;103.0;100.0;103.0;7.5;-0.6;8.1
1353;5232.1 Chemist's articles;1996 September;93.0;100.0;93.0;-3.9;0.7;-4.5
1354;5232.1 Chemist's articles;1996 3rd quarter;100.0;100.0;100.0;1.8;0.3;1.5
1355;5232.1 Chemist's articles;1996 October;104.0;100.0;104.0;9.4;-0.5;10.0
1356;5232.1 Chemist's articles;1996 November;107.0;100.0;107.0;2.9;-0.4;3.3
1357;5232.1 Chemist's articles;1996 December;120.0;100.0;120.0;-3.2;0.2;-3.3
1358;5232.1 Chemist's articles;1996 4th quarter;110.0;100.0;110.0;2.4;-0.2;2.6
1359;5232.1 Chemist's articles;1996;103.0;100.0;103.0;3.0;0.2;2.8
1360;5232.1 Chemist's articles;1997 January;103.0;100.0;103.0;11.0;-0.1;11.2
1361;5232.1 Chemist's articles;1997 February;95.0;101.0;95.0;-0.9;0.5;-1.4
1362;5232.1 Chemist's articles;1997 March;100.0;101.0;99.0;-1.5;0.5;-1.9
1363;5232.1 Chemist's articles;1997 1st quarter;99.0;101.0;99.0;2.9;0.3;2.6
1364;5232.1 Chemist's articles;1997 April;104.0;101.0;103.0;5.7;0.7;5.0
1365;5232.1 Chemist's articles;1997 May;122.0;101.0;120.0;11.5;1.1;10.3
1366;5232.1 Chemist's articles;1997 June;110.0;101.0;109.0;-1.1;1.0;-2.1
1367;5232.1 Chemist's articles;1997 2nd quarter;112.0;101.0;111.0;5.4;0.9;4.4
1368;5232.1 Chemist's articles;1997 July;111.0;101.0;110.0;5.5;0.5;4.9
1369;5232.1 Chemist's articles;1997 August;105.0;102.0;103.0;1.8;1.6;0.2
1370;5232.1 Chemist's articles;1997 September;105.0;101.0;103.0;12.1;1.1;10.9
1371;5232.1 Chemist's articles;1997 3rd quarter;107.0;101.0;105.0;6.5;1.1;5.3
1372;5232.1 Chemist's articles;1997 October;113.0;102.0;111.0;7.9;1.4;6.4
1373;5232.1 Chemist's articles;1997 November;114.0;102.0;112.0;6.0;1.9;4.0
1374;5232.1 Chemist's articles;1997 December;137.0;102.0;134.0;13.8;2.0;11.6
1375;5232.1 Chemist's articles;1997 4th quarter;121.0;102.0;119.0;9.4;1.8;7.5
1376;5232.1 Chemist's articles;1997;110.0;101.0;108.0;6.1;1.0;5.0
1377;5232.1 Chemist's articles;1998 January;113.0;102.0;110.0;9.3;2.3;6.8
1378;5232.1 Chemist's articles;1998 February;104.0;103.0;101.0;9.1;2.3;6.6
1379;5232.1 Chemist's articles;1998 March;104.0;103.0;101.0;4.2;2.4;1.8
1380;5232.1 Chemist's articles;1998 1st quarter;107.0;103.0;104.0;7.5;2.3;5.1
1381;5232.1 Chemist's articles;1998 April;113.0;103.0;110.0;9.0;2.0;6.9
1382;5232.1 Chemist's articles;1998 May;130.0;104.0;125.0;6.7;2.3;4.3
1383;5232.1 Chemist's articles;1998 June;122.0;104.0;118.0;11.2;2.6;8.4
1384;5232.1 Chemist's articles;1998 2nd quarter;122.0;103.0;118.0;8.9;2.3;6.5
1385;5232.1 Chemist's articles;1998 July;131.0;104.0;126.0;17.5;2.6;14.5
1386;5232.1 Chemist's articles;1998 August;115.0;104.0;111.0;9.9;2.1;7.7
1387;5232.1 Chemist's articles;1998 September;114.0;104.0;110.0;9.2;2.8;6.2
1388;5232.1 Chemist's articles;1998 3rd quarter;120.0;104.0;115.0;12.3;2.5;9.6
1389;5232.1 Chemist's articles;1998 October;125.0;105.0;120.0;11.1;2.9;8.1
1390;5232.1 Chemist's articles;1998 November;124.0;105.0;118.0;8.8;2.8;5.9
1391;5232.1 Chemist's articles;1998 December;157.0;105.0;149.0;14.5;3.0;11.1
1392;5232.1 Chemist's articles;1998 4th quarter;135.0;105.0;129.0;11.7;2.9;8.5
1393;5232.1 Chemist's articles;1998;121.0;104.0;117.0;10.2;2.5;7.5
1394;5232.1 Chemist's articles;1999 January;112.0;106.0;106.0;-0.6;3.1;-3.6
1395;5232.1 Chemist's articles;1999 February;113.0;106.0;107.0;9.0;2.7;6.1
1396;5232.1 Chemist's articles;1999 March;122.0;106.0;115.0;17.2;3.0;13.8
1397;5232.1 Chemist's articles;1999 1st quarter;116.0;106.0;109.0;8.3;2.9;5.2
1398;5232.1 Chemist's articles;1999 April;127.0;106.0;120.0;11.9;2.8;8.9
1399;5232.1 Chemist's articles;1999 May;137.0;106.0;129.0;5.7;2.8;2.8
1400;5232.1 Chemist's articles;1999 June;145.0;106.0;136.0;18.3;2.6;15.3
1401;5232.1 Chemist's articles;1999 2nd quarter;136.0;106.0;128.0;11.9;2.7;8.9
1402;5232.1 Chemist's articles;1999 July;146.0;107.0;137.0;11.9;2.7;8.9
1403;5232.1 Chemist's articles;1999 August;122.0;107.0;114.0;6.3;3.3;2.8
1404;5232.1 Chemist's articles;1999 September;130.0;107.0;121.0;13.3;2.9;10.1
1405;5232.1 Chemist's articles;1999 3rd quarter;133.0;107.0;124.0;10.5;3.0;7.3
1406;5232.1 Chemist's articles;1999 October;140.0;107.0;130.0;11.7;2.6;8.9
1407;5232.1 Chemist's articles;1999 November;144.0;108.0;134.0;16.2;2.8;13.0
1408;5232.1 Chemist's articles;1999 December;171.0;108.0;158.0;9.0;2.6;6.2
1409;5232.1 Chemist's articles;1999 4th quarter;152.0;108.0;141.0;12.0;2.7;9.1
1410;5232.1 Chemist's articles;1999;134.0;107.0;126.0;10.8;2.8;7.7
1411;5232.1 Chemist's articles;2000 January;128.0;108.0;118.0;14.3;2.5;11.5
1412;5232.1 Chemist's articles;2000 February;129.0;108.0;120.0;14.1;1.9;12.0
1413;5232.1 Chemist's articles;2000 March;136.0;108.0;126.0;11.9;1.3;10.4
1414;5232.1 Chemist's articles;2000 1st quarter;131.0;108.0;122.0;13.4;1.9;11.3
1415;5232.1 Chemist's articles;2000 April;133.0;107.0;124.0;4.8;1.4;3.3
1416;5232.1 Chemist's articles;2000 May;147.0;108.0;136.0;7.3;1.3;5.9
1417;5232.1 Chemist's articles;2000 June;149.0;108.0;138.0;2.7;1.5;1.1
1418;5232.1 Chemist's articles;2000 2nd quarter;143.0;108.0;133.0;4.9;1.4;3.4
1419;5232.1 Chemist's articles;2000 July;146.0;108.0;135.0;-0.3;1.5;-1.8
1420;5232.1 Chemist's articles;2000 August;140.0;108.0;129.0;14.4;1.0;13.3
1421;5232.1 Chemist's articles;2000 September;143.0;109.0;132.0;10.6;1.4;9.1
1422;5232.1 Chemist's articles;2000 3rd quarter;143.0;108.0;132.0;7.7;1.3;6.4
1423;5232.1 Chemist's articles;2000 October;138.0;109.0;126.0;-1.7;1.9;-3.5
1424;5232.1 Chemist's articles;2000 November;153.0;110.0;139.0;5.9;1.7;4.1
1425;5232.1 Chemist's articles;2000 December;174.0;110.0;159.0;1.8;1.7;0.1
1426;5232.1 Chemist's articles;2000 4th quarter;155.0;110.0;141.0;2.0;1.7;0.3
1427;5232.1 Chemist's articles;2000;143.0;108.0;132.0;6.6;1.6;4.9
1428;5233 Perfumes and cosmetics;1994 January;;;;;;
1429;5233 Perfumes and cosmetics;1994 February;;;;;;
1430;5233 Perfumes and cosmetics;1994 March;;;;;;
1431;5233 Perfumes and cosmetics;1994 1st quarter;;;;;;
1432;5233 Perfumes and cosmetics;1994 April;;;;;;
1433;5233 Perfumes and cosmetics;1994 May;;;;;;
1434;5233 Perfumes and cosmetics;1994 June;;;;;;
1435;5233 Perfumes and cosmetics;1994 2nd quarter;;;;;;
1436;5233 Perfumes and cosmetics;1994 July;;;;;;
1437;5233 Perfumes and cosmetics;1994 August;;;;;;
1438;5233 Perfumes and cosmetics;1994 September;;;;;;
1439;5233 Perfumes and cosmetics;1994 3rd quarter;;;;;;
1440;5233 Perfumes and cosmetics;1994 October;;;;;;
1441;5233 Perfumes and cosmetics;1994 November;;;;;;
1442;5233 Perfumes and cosmetics;1994 December;;;;;;
1443;5233 Perfumes and cosmetics;1994 4th quarter;;;;;;
1444;5233 Perfumes and cosmetics;1994;;;;;;
1445;5233 Perfumes and cosmetics;1995 January;;;;;;
1446;5233 Perfumes and cosmetics;1995 February;;;;;;
1447;5233 Perfumes and cosmetics;1995 March;;;;;;
1448;5233 Perfumes and cosmetics;1995 1st quarter;;;;;;
1449;5233 Perfumes and cosmetics;1995 April;;;;;;
1450;5233 Perfumes and cosmetics;1995 May;;;;;;
1451;5233 Perfumes and cosmetics;1995 June;;;;;;
1452;5233 Perfumes and cosmetics;1995 2nd quarter;;;;;;
1453;5233 Perfumes and cosmetics;1995 July;;;;;;
1454;5233 Perfumes and cosmetics;1995 August;;;;;;
1455;5233 Perfumes and cosmetics;1995 September;;;;;;
1456;5233 Perfumes and cosmetics;1995 3rd quarter;;;;;;
1457;5233 Perfumes and cosmetics;1995 October;;;;;;
1458;5233 Perfumes and cosmetics;1995 November;;;;;;
1459;5233 Perfumes and cosmetics;1995 December;;;;;;
1460;5233 Perfumes and cosmetics;1995 4th quarter;;;;;;
1461;5233 Perfumes and cosmetics;1995;;;;;;
1462;5233 Perfumes and cosmetics;1996 January;;;;;;
1463;5233 Perfumes and cosmetics;1996 February;;;;;;
1464;5233 Perfumes and cosmetics;1996 March;;;;;;
1465;5233 Perfumes and cosmetics;1996 1st quarter;;;;;;
1466;5233 Perfumes and cosmetics;1996 April;;;;;;
1467;5233 Perfumes and cosmetics;1996 May;;;;;;
1468;5233 Perfumes and cosmetics;1996 June;;;;;;
1469;5233 Perfumes and cosmetics;1996 2nd quarter;;;;;;
1470;5233 Perfumes and cosmetics;1996 July;;;;;;
1471;5233 Perfumes and cosmetics;1996 August;;;;;;
1472;5233 Perfumes and cosmetics;1996 September;;;;;;
1473;5233 Perfumes and cosmetics;1996 3rd quarter;;;;;;
1474;5233 Perfumes and cosmetics;1996 October;;;;;;
1475;5233 Perfumes and cosmetics;1996 November;;;;;;
1476;5233 Perfumes and cosmetics;1996 December;;;;;;
1477;5233 Perfumes and cosmetics;1996 4th quarter;;;;;;
1478;5233 Perfumes and cosmetics;1996;;;;;;
1479;5233 Perfumes and cosmetics;1997 January;;;;;;
1480;5233 Perfumes and cosmetics;1997 February;;;;;;
1481;5233 Perfumes and cosmetics;1997 March;;;;;;
1482;5233 Perfumes and cosmetics;1997 1st quarter;;;;;;
1483;5233 Perfumes and cosmetics;1997 April;;;;;;
1484;5233 Perfumes and cosmetics;1997 May;;;;;;
1485;5233 Perfumes and cosmetics;1997 June;;;;;;
1486;5233 Perfumes and cosmetics;1997 2nd quarter;;;;;;
1487;5233 Perfumes and cosmetics;1997 July;;;;;;
1488;5233 Perfumes and cosmetics;1997 August;;;;;;
1489;5233 Perfumes and cosmetics;1997 September;;;;;;
1490;5233 Perfumes and cosmetics;1997 3rd quarter;;;;;;
1491;5233 Perfumes and cosmetics;1997 October;;;;;;
1492;5233 Perfumes and cosmetics;1997 November;;;;;;
1493;5233 Perfumes and cosmetics;1997 December;;;;;;
1494;5233 Perfumes and cosmetics;1997 4th quarter;;;;;;
1495;5233 Perfumes and cosmetics;1997;;;;;;
1496;5233 Perfumes and cosmetics;1998 January;;;;;;
1497;5233 Perfumes and cosmetics;1998 February;;;;;;
1498;5233 Perfumes and cosmetics;1998 March;;;;;;
1499;5233 Perfumes and cosmetics;1998 1st quarter;129.0;102.0;126.0;30.6;3.6;26.1
1500;5233 Perfumes and cosmetics;1998 April;;;;;;
1501;5233 Perfumes and cosmetics;1998 May;;;;;;
1502;5233 Perfumes and cosmetics;1998 June;;;;;;
1503;5233 Perfumes and cosmetics;1998 2nd quarter;162.0;103.0;157.0;22.2;3.8;17.8
1504;5233 Perfumes and cosmetics;1998 July;;;;;;
1505;5233 Perfumes and cosmetics;1998 August;;;;;;
1506;5233 Perfumes and cosmetics;1998 September;;;;;;
1507;5233 Perfumes and cosmetics;1998 3rd quarter;159.0;104.0;152.0;22.6;4.5;17.4
1508;5233 Perfumes and cosmetics;1998 October;;;;;;
1509;5233 Perfumes and cosmetics;1998 November;;;;;;
1510;5233 Perfumes and cosmetics;1998 December;;;;;;
1511;5233 Perfumes and cosmetics;1998 4th quarter;195.0;106.0;185.0;16.0;4.7;10.8
1512;5233 Perfumes and cosmetics;1998;161.0;104.0;155.0;21.9;4.1;17.1
1513;5233 Perfumes and cosmetics;1999 January;;;;;;
1514;5233 Perfumes and cosmetics;1999 February;;;;;;
1515;5233 Perfumes and cosmetics;1999 March;;;;;;
1516;5233 Perfumes and cosmetics;1999 1st quarter;133.0;107.0;125.0;3.3;4.6;-1.3
1517;5233 Perfumes and cosmetics;1999 April;;;;;;
1518;5233 Perfumes and cosmetics;1999 May;;;;;;
1519;5233 Perfumes and cosmetics;1999 June;;;;;;
1520;5233 Perfumes and cosmetics;1999 2nd quarter;170.0;107.0;159.0;5.4;4.0;1.3
1521;5233 Perfumes and cosmetics;1999 July;;;;;;
1522;5233 Perfumes and cosmetics;1999 August;;;;;;
1523;5233 Perfumes and cosmetics;1999 September;;;;;;
1524;5233 Perfumes and cosmetics;1999 3rd quarter;160.0;108.0;148.0;0.7;3.6;-2.8
1525;5233 Perfumes and cosmetics;1999 October;;;;;;
1526;5233 Perfumes and cosmetics;1999 November;;;;;;
1527;5233 Perfumes and cosmetics;1999 December;;;;;;
1528;5233 Perfumes and cosmetics;1999 4th quarter;212.0;109.0;195.0;8.8;3.2;5.4
1529;5233 Perfumes and cosmetics;1999;169.0;108.0;157.0;4.8;3.8;1.0
1530;5233 Perfumes and cosmetics;2000 January;140.0;110.0;128.0;11.8;3.1;8.5
1531;5233 Perfumes and cosmetics;2000 February;154.0;109.0;141.0;19.4;1.9;17.1
1532;5233 Perfumes and cosmetics;2000 March;167.0;109.0;153.0;14.5;1.6;12.7
1533;5233 Perfumes and cosmetics;2000 1st quarter;154.0;109.0;141.0;15.2;2.2;12.7
1534;5233 Perfumes and cosmetics;2000 April;175.0;109.0;161.0;16.2;1.6;14.4
1535;5233 Perfumes and cosmetics;2000 May;213.0;109.0;195.0;16.6;1.7;14.7
1536;5233 Perfumes and cosmetics;2000 June;198.0;109.0;181.0;11.2;1.7;9.3
1537;5233 Perfumes and cosmetics;2000 2nd quarter;195.0;109.0;179.0;14.6;1.7;12.7
1538;5233 Perfumes and cosmetics;2000 July;189.0;110.0;172.0;9.1;1.7;7.3
1539;5233 Perfumes and cosmetics;2000 August;177.0;110.0;161.0;16.5;1.3;15.0
1540;5233 Perfumes and cosmetics;2000 September;186.0;110.0;169.0;19.5;1.8;17.4
1541;5233 Perfumes and cosmetics;2000 3rd quarter;184.0;110.0;167.0;14.8;1.6;13.0
1542;5233 Perfumes and cosmetics;2000 October;184.0;111.0;165.0;11.1;2.5;8.4
1543;5233 Perfumes and cosmetics;2000 November;210.0;111.0;189.0;19.4;1.8;17.3
1544;5233 Perfumes and cosmetics;2000 December;341.0;111.0;307.0;15.4;1.8;13.4
1545;5233 Perfumes and cosmetics;2000 4th quarter;245.0;111.0;220.0;15.4;2.0;13.1
1546;5233 Perfumes and cosmetics;2000;194.0;110.0;177.0;15.0;1.9;12.9
1547;5241+ 5242 Textiles,ex.furnishing text.;1994 January;;;;;;
1548;5241+ 5242 Textiles,ex.furnishing text.;1994 February;;;;;;
1549;5241+ 5242 Textiles,ex.furnishing text.;1994 March;;;;;;
1550;5241+ 5242 Textiles,ex.furnishing text.;1994 1st quarter;;;;;;
1551;5241+ 5242 Textiles,ex.furnishing text.;1994 April;;;;;;
1552;5241+ 5242 Textiles,ex.furnishing text.;1994 May;;;;;;
1553;5241+ 5242 Textiles,ex.furnishing text.;1994 June;;;;;;
1554;5241+ 5242 Textiles,ex.furnishing text.;1994 2nd quarter;;;;;;
1555;5241+ 5242 Textiles,ex.furnishing text.;1994 July;;;;;;
1556;5241+ 5242 Textiles,ex.furnishing text.;1994 August;;;;;;
1557;5241+ 5242 Textiles,ex.furnishing text.;1994 September;;;;;;
1558;5241+ 5242 Textiles,ex.furnishing text.;1994 3rd quarter;;;;;;
1559;5241+ 5242 Textiles,ex.furnishing text.;1994 October;;;;;;
1560;5241+ 5242 Textiles,ex.furnishing text.;1994 November;;;;;;
1561;5241+ 5242 Textiles,ex.furnishing text.;1994 December;;;;;;
