ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
1055;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: Indian;2015;;
1056;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: Indian;2016;;
1057;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2010;;
1058;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2011;;
1059;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2012;;
1060;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2013;;
1061;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2014;;
1062;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2015;;
1063;Total domestic and foreign;0 to 49 employees;300 Higher education;Nationality: other;2016;;
1064;Total domestic and foreign;50 to 249 employees;Total;Total ;2010;1437.0;1142.0
1065;Total domestic and foreign;50 to 249 employees;Total;Total ;2011;1466.0;1160.0
1066;Total domestic and foreign;50 to 249 employees;Total;Total ;2012;1436.0;1135.0
1067;Total domestic and foreign;50 to 249 employees;Total;Total ;2013;1385.0;1097.0
1068;Total domestic and foreign;50 to 249 employees;Total;Total ;2014;1387.0;1099.0
1069;Total domestic and foreign;50 to 249 employees;Total;Total ;2015;1404.0;1113.0
1070;Total domestic and foreign;50 to 249 employees;Total;Total ;2016;1430.0;1138.0
1071;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2010;433.0;300.0
1072;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2011;449.0;309.0
1073;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2012;444.0;303.0
1074;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2013;429.0;294.0
1075;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2014;443.0;304.0
1076;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2015;480.0;331.0
1077;Total domestic and foreign;50 to 249 employees;Total;Type of contract: specified time;2016;502.0;350.0
1078;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2010;1000.0;839.0
1079;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2011;1013.0;848.0
1080;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2012;988.0;829.0
1081;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2013;953.0;800.0
1082;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2014;941.0;792.0
1083;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2015;921.0;779.0
1084;Total domestic and foreign;50 to 249 employees;Total;Type of contract: unspecified time;2016;925.0;784.0
1085;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2010;4.0;4.0
1086;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2011;4.0;4.0
1087;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2012;4.0;4.0
1088;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2013;4.0;3.0
1089;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2014;3.0;3.0
1090;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2015;3.0;3.0
1091;Total domestic and foreign;50 to 249 employees;Total;Type of contract: other;2016;4.0;3.0
1092;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2010;845.0;746.0
1093;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2011;869.0;764.0
1094;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2012;848.0;745.0
1095;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2013;811.0;716.0
1096;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2014;812.0;716.0
1097;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2015;825.0;726.0
1098;Total domestic and foreign;50 to 249 employees;Total;Sex: Male;2016;836.0;737.0
1099;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2010;591.0;396.0
1100;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2011;597.0;397.0
1101;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2012;588.0;390.0
1102;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2013;574.0;382.0
1103;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2014;574.0;383.0
1104;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2015;579.0;387.0
1105;Total domestic and foreign;50 to 249 employees;Total;Sex: Female;2016;595.0;400.0
1106;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2010;530.0;394.0
1107;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2011;537.0;396.0
1108;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2012;520.0;380.0
1109;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2013;496.0;363.0
1110;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2014;494.0;360.0
1111;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2015;503.0;366.0
1112;Total domestic and foreign;50 to 249 employees;Total;Age: 15 to 34 years;2016;515.0;377.0
1113;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2010;684.0;571.0
1114;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2011;692.0;577.0
1115;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2012;675.0;565.0
1116;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2013;650.0;545.0
1117;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2014;648.0;543.0
1118;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2015;645.0;542.0
1119;Total domestic and foreign;50 to 249 employees;Total;Age: 35 to 54 years;2016;650.0;547.0
1120;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2010;223.0;177.0
1121;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2011;237.0;187.0
1122;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2012;241.0;190.0
1123;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2013;239.0;189.0
1124;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2014;245.0;196.0
1125;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2015;256.0;205.0
1126;Total domestic and foreign;50 to 249 employees;Total;Age: 55 years or older;2016;266.0;213.0
1127;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2010;128.0;65.0
1128;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2011;137.0;67.0
1129;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2012;145.0;71.0
1130;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2013;138.0;70.0
1131;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2014;128.0;65.0
1132;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2015;129.0;66.0
1133;Total domestic and foreign;50 to 249 employees;Total;Wage: low (among lowest 30 percent);2016;122.0;62.0
1134;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2010;902.0;712.0
1135;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2011;913.0;719.0
1136;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2012;892.0;704.0
1137;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2013;859.0;677.0
1138;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2014;860.0;674.0
1139;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2015;866.0;677.0
1140;Total domestic and foreign;50 to 249 employees;Total;Wage: middle;2016;886.0;692.0
1141;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2010;406.0;365.0
1142;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2011;415.0;374.0
1143;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2012;399.0;360.0
1144;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2013;388.0;350.0
1145;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2014;399.0;360.0
1146;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2015;409.0;370.0
1147;Total domestic and foreign;50 to 249 employees;Total;Wage: high (among highest 20 percent);2016;423.0;384.0
1148;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2010;1340.0;1063.0
1149;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2011;1362.0;1075.0
1150;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2012;1331.0;1049.0
1151;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2013;1286.0;1015.0
1152;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2014;1285.0;1014.0
1153;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2015;1295.0;1022.0
1154;Total domestic and foreign;50 to 249 employees;Total;Nationality: Dutch;2016;1319.0;1043.0
1155;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2010;5.0;4.0
1156;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2011;5.0;4.0
1157;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2012;5.0;5.0
1158;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2013;5.0;4.0
1159;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2014;5.0;4.0
1160;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2015;5.0;4.0
1161;Total domestic and foreign;50 to 249 employees;Total;Nationality: Belgian;2016;5.0;4.0
1162;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2010;6.0;5.0
1163;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2011;6.0;5.0
1164;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2012;6.0;5.0
1165;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2013;5.0;5.0
1166;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2014;5.0;4.0
1167;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2015;5.0;5.0
1168;Total domestic and foreign;50 to 249 employees;Total;Nationality: British;2016;6.0;5.0
1169;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2010;14.0;12.0
1170;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2011;14.0;12.0
1171;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2012;13.0;11.0
1172;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2013;11.0;9.0
1173;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2014;10.0;9.0
1174;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2015;10.0;9.0
1175;Total domestic and foreign;50 to 249 employees;Total;Nationality: German;2016;10.0;9.0
1176;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2010;27.0;22.0
1177;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2011;31.0;25.0
1178;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2012;34.0;28.0
1179;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2013;24.0;20.0
1180;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2014;27.0;23.0
1181;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2015;28.0;23.0
1182;Total domestic and foreign;50 to 249 employees;Total;Nationality: Polish;2016;28.0;23.0
1183;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2010;1.0;1.0
1184;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2011;2.0;1.0
1185;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2012;1.0;1.0
1186;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2013;1.0;1.0
1187;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2014;1.0;1.0
1188;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2015;1.0;1.0
1189;Total domestic and foreign;50 to 249 employees;Total;Nationality: Indian;2016;1.0;1.0
1190;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2010;43.0;35.0
1191;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2011;46.0;38.0
1192;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2012;46.0;38.0
1193;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2013;54.0;44.0
1194;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2014;54.0;45.0
1195;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2015;59.0;49.0
1196;Total domestic and foreign;50 to 249 employees;Total;Nationality: other;2016;62.0;51.0
1197;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2010;;
1198;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2011;;
1199;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2012;;
1200;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2013;329.0;261.0
1201;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2014;325.0;258.0
1202;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2015;321.0;254.0
1203;Total domestic and foreign;50 to 249 employees;100 Lower education;Total ;2016;326.0;259.0
1204;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2010;;
1205;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2011;;
1206;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2012;;
1207;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2013;108.0;74.0
1208;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2014;112.0;77.0
1209;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2015;117.0;81.0
1210;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: specified time;2016;125.0;87.0
1211;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2010;;
1212;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2011;;
1213;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2012;;
1214;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2013;217.0;182.0
1215;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2014;208.0;175.0
1216;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2015;199.0;168.0
1217;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: unspecified time;2016;194.0;164.0
1218;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2010;;
1219;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2011;;
1220;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2012;;
1221;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2013;;
1222;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2014;;
1223;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2015;;
1224;Total domestic and foreign;50 to 249 employees;100 Lower education;Type of contract: other;2016;;
1225;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2010;;
1226;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2011;;
1227;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2012;;
1228;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2013;208.0;184.0
1229;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2014;207.0;182.0
1230;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2015;205.0;180.0
1231;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Male;2016;208.0;184.0
1232;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2010;;
1233;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2011;;
1234;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2012;;
1235;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2013;121.0;81.0
1236;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2014;119.0;79.0
1237;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2015;117.0;78.0
1238;Total domestic and foreign;50 to 249 employees;100 Lower education;Sex: Female;2016;118.0;80.0
1239;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2010;;
1240;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2011;;
1241;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2012;;
1242;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2013;109.0;80.0
1243;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2014;109.0;79.0
1244;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2015;107.0;78.0
1245;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 15 to 34 years;2016;111.0;81.0
1246;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2010;;
1247;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2011;;
1248;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2012;;
1249;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2013;144.0;120.0
1250;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2014;141.0;118.0
1251;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2015;134.0;113.0
1252;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 35 to 54 years;2016;132.0;111.0
1253;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2010;;
1254;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2011;;
1255;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2012;;
1256;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2013;77.0;61.0
1257;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2014;76.0;60.0
1258;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2015;80.0;64.0
1259;Total domestic and foreign;50 to 249 employees;100 Lower education;Age: 55 years or older;2016;83.0;66.0
1260;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2010;;
1261;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2011;;
1262;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2012;;
1263;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2013;42.0;22.0
1264;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2014;40.0;20.0
1265;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2015;39.0;20.0
1266;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: low (among lowest 30 percent);2016;38.0;20.0
1267;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2010;;
1268;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2011;;
1269;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2012;;
1270;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2013;223.0;176.0
1271;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2014;219.0;171.0
1272;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2015;214.0;167.0
1273;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: middle;2016;214.0;167.0
1274;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2010;;
1275;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2011;;
1276;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2012;;
1277;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2013;35.0;32.0
1278;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2014;36.0;33.0
1279;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2015;37.0;33.0
1280;Total domestic and foreign;50 to 249 employees;100 Lower education;Wage: high (among highest 20 percent);2016;37.0;33.0
1281;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2010;;
1282;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2011;;
1283;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2012;;
1284;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2013;297.0;234.0
1285;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2014;291.0;229.0
1286;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2015;288.0;227.0
1287;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Dutch;2016;291.0;230.0
1288;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2010;;
1289;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2011;;
1290;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2012;;
1291;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2013;;
1292;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2014;;
1293;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2015;;
1294;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Belgian;2016;;
1295;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2010;;
1296;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2011;;
1297;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2012;;
1298;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2013;;
1299;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2014;;
1300;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2015;;
1301;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: British;2016;;
1302;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2010;;
1303;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2011;;
1304;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2012;;
1305;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2013;;
1306;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2014;;
1307;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2015;;
1308;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: German;2016;;
1309;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2010;;
1310;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2011;;
1311;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2012;;
1312;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2013;;
1313;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2014;;
1314;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2015;;
1315;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Polish;2016;;
1316;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2010;;
1317;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2011;;
1318;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2012;;
1319;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2013;;
1320;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2014;;
1321;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2015;;
1322;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: Indian;2016;;
1323;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2010;;
1324;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2011;;
1325;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2012;;
1326;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2013;;
1327;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2014;;
1328;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2015;;
1329;Total domestic and foreign;50 to 249 employees;100 Lower education;Nationality: other;2016;;
1330;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2010;;
1331;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2011;;
1332;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2012;;
1333;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2013;631.0;500.0
1334;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2014;629.0;498.0
1335;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2015;638.0;506.0
1336;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Total ;2016;654.0;520.0
1337;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2010;;
1338;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2011;;
1339;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2012;;
1340;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2013;204.0;140.0
1341;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2014;211.0;145.0
1342;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2015;230.0;159.0
1343;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: specified time;2016;239.0;167.0
1344;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2010;;
1345;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2011;;
1346;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2012;;
1347;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2013;421.0;354.0
1348;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2014;410.0;345.0
1349;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2015;399.0;338.0
1350;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: unspecified time;2016;408.0;346.0
1351;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2010;;
1352;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2011;;
1353;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2012;;
1354;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2013;;
1355;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2014;;
1356;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2015;;
1357;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Type of contract: other;2016;1.0;1.0
1358;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2010;;
