ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;SpeaksOneLanguage_1;SpeaksMoreThanOneLanguage_2;Papiamentu_3;English_4;Dutch_5;Spanish_6;Other_7;Papiamentu_8;English_9;Dutch_10;Spanish_11;Other_12
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;15.6;84.4;51.5;92.0;62.2;50.8;39.5;23.4;35.0;32.0;7.8;
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;15.1;84.9;52.3;96.5;65.7;44.8;39.3;23.5;41.2;28.4;2.6;4.4
194;Level of education: High;Percentage/average;Bonaire;2013;6.3;93.7;71.8;89.1;76.7;60.8;36.2;35.7;11.4;42.3;10.0;
195;Level of education: High;Percentage/average;Bonaire;2017/2018;4.2;95.9;79.4;96.0;86.4;60.2;35.4;40.5;14.7;41.1;2.4;
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;29.4;70.6;28.2;96.2;49.6;38.2;34.2;;71.9;14.3;8.0;
198;Level of education: High;Percentage/average;Saba;2013;36.1;63.9;12.1;100.0;25.6;21.4;44.6;;92.8;;;
199;Level of education: High;Percentage/average;Saba;2017/2018;29.7;70.3;9.4;97.8;31.8;16.4;50.5;;78.7;9.8;;10.9
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;5.4;5.4;7.4;4.0;7.2;7.4;7.3;6.3;7.1;6.9;4.0;
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;4.0;4.0;5.6;2.1;5.3;5.6;5.5;4.8;5.5;5.1;1.8;2.3
202;Level of education: High;Reliability margin;Bonaire;2013;4.5;4.5;8.3;5.8;7.8;9.1;8.9;8.9;5.9;9.2;5.6;
203;Level of education: High;Reliability margin;Bonaire;2017/2018;3.0;3.0;6.0;2.9;5.1;7.3;7.1;7.3;5.3;7.3;2.3;
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;13.1;13.1;12.9;5.5;14.3;13.9;13.6;;12.9;10.0;7.8;
206;Level of education: High;Reliability margin;Saba;2013;12.6;12.6;8.5;;11.3;10.6;12.9;;6.8;;;
207;Level of education: High;Reliability margin;Saba;2017/2018;9.9;9.9;6.3;3.2;10.1;8.0;10.8;;8.8;6.4;;6.7
