ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
429;Health expenditure for residents;HP72: Social health insurance agencies;2021;1797
430;Health expenditure for residents;HP72: Social health insurance agencies;2022;1849
431;Health expenditure for residents;HP72: Social health insurance agencies;2023;1939
432;Health expenditure for residents;HP73: Providers of health insurance;2021;462
433;Health expenditure for residents;HP73: Providers of health insurance;2022;488
434;Health expenditure for residents;HP73: Providers of health insurance;2023;492
435;Health expenditure for residents;HP79: Other administration agencies;2021;34
436;Health expenditure for residents;HP79: Other administration agencies;2022;38
437;Health expenditure for residents;HP79: Other administration agencies;2023;43
438;Health expenditure for residents;HP8: Rest of economy;2021;2777
439;Health expenditure for residents;HP8: Rest of economy;2022;2751
440;Health expenditure for residents;HP8: Rest of economy;2023;2685
441;Health expenditure for residents;HP81: Households prov. home health care;2021;157
442;Health expenditure for residents;HP81: Households prov. home health care;2022;139
443;Health expenditure for residents;HP81: Households prov. home health care;2023;145
444;Health expenditure for residents;HP82: Secondary providers of health care;2021;2620
445;Health expenditure for residents;HP82: Secondary providers of health care;2022;2612
446;Health expenditure for residents;HP82: Secondary providers of health care;2023;2540
447;Health expenditure for residents;HP9: Rest of the world;2021;597
448;Health expenditure for residents;HP9: Rest of the world;2022;645
449;Health expenditure for residents;HP9: Rest of the world;2023;607
450;Total health related expenditure;Total health care providers;2021;10517
451;Total health related expenditure;Total health care providers;2022;10858
452;Total health related expenditure;Total health care providers;2023;11813
453;Total health related expenditure;HP1: Hospitals;2021;1583
454;Total health related expenditure;HP1: Hospitals;2022;1695
455;Total health related expenditure;HP1: Hospitals;2023;1910
456;Total health related expenditure;HP11: General and university hospitals;2021;75
457;Total health related expenditure;HP11: General and university hospitals;2022;79
458;Total health related expenditure;HP11: General and university hospitals;2023;86
459;Total health related expenditure;HP12: Mental health institutions,;2021;1508
460;Total health related expenditure;HP12: Mental health institutions,;2022;1615
461;Total health related expenditure;HP12: Mental health institutions,;2023;1823
462;Total health related expenditure;HP13: Specialised hospitals;2021;0
463;Total health related expenditure;HP13: Specialised hospitals;2022;1
464;Total health related expenditure;HP13: Specialised hospitals;2023;1
465;Total health related expenditure;HP2: Nursing and residential care facil.;2021;5499
466;Total health related expenditure;HP2: Nursing and residential care facil.;2022;5579
467;Total health related expenditure;HP2: Nursing and residential care facil.;2023;6057
468;Total health related expenditure;HP21: Nursing care facilities;2021;1946
469;Total health related expenditure;HP21: Nursing care facilities;2022;1930
470;Total health related expenditure;HP21: Nursing care facilities;2023;2109
471;Total health related expenditure;HP22-29: Facilities for the disabled;2021;3554
472;Total health related expenditure;HP22-29: Facilities for the disabled;2022;3649
473;Total health related expenditure;HP22-29: Facilities for the disabled;2023;3948
474;Total health related expenditure;HP3: Providers of ambulatory health care;2021;523
475;Total health related expenditure;HP3: Providers of ambulatory health care;2022;627
476;Total health related expenditure;HP3: Providers of ambulatory health care;2023;587
477;Total health related expenditure;HP31: Medical practices;2021;0
478;Total health related expenditure;HP31: Medical practices;2022;0
479;Total health related expenditure;HP31: Medical practices;2023;0
480;Total health related expenditure;HP32: Dental practices;2021;0
481;Total health related expenditure;HP32: Dental practices;2022;0
482;Total health related expenditure;HP32: Dental practices;2023;0
483;Total health related expenditure;HP33 : Other health care practitioners;2021;54
484;Total health related expenditure;HP33 : Other health care practitioners;2022;51
485;Total health related expenditure;HP33 : Other health care practitioners;2023;54
486;Total health related expenditure;HP34: Ambulatory health care centres;2021;148
487;Total health related expenditure;HP34: Ambulatory health care centres;2022;163
488;Total health related expenditure;HP34: Ambulatory health care centres;2023;178
489;Total health related expenditure;HP35: Providers home healthcare services;2021;321
490;Total health related expenditure;HP35: Providers home healthcare services;2022;413
491;Total health related expenditure;HP35: Providers home healthcare services;2023;355
492;Total health related expenditure;HP4: Providers of ancillary services;2021;0
493;Total health related expenditure;HP4: Providers of ancillary services;2022;0
494;Total health related expenditure;HP4: Providers of ancillary services;2023;0
495;Total health related expenditure;HP41: Patient transportation, emergency;2021;0
496;Total health related expenditure;HP41: Patient transportation, emergency;2022;0
497;Total health related expenditure;HP41: Patient transportation, emergency;2023;0
498;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2021;0
499;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2022;0
500;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2023;0
501;Total health related expenditure;HP5: Retailers of medical goods;2021;662
502;Total health related expenditure;HP5: Retailers of medical goods;2022;694
503;Total health related expenditure;HP5: Retailers of medical goods;2023;784
504;Total health related expenditure;HP51: Pharmacies;2021;0
505;Total health related expenditure;HP51: Pharmacies;2022;0
506;Total health related expenditure;HP51: Pharmacies;2023;0
507;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2021;662
508;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2022;694
509;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2023;784
510;Total health related expenditure;HP6: Providers of preventive care;2021;17
511;Total health related expenditure;HP6: Providers of preventive care;2022;4
512;Total health related expenditure;HP6: Providers of preventive care;2023;17
513;Total health related expenditure;HP7: Healthcare adm. and financ.;2021;17
514;Total health related expenditure;HP7: Healthcare adm. and financ.;2022;15
515;Total health related expenditure;HP7: Healthcare adm. and financ.;2023;15
516;Total health related expenditure;HP71: Government health administration;2021;0
517;Total health related expenditure;HP71: Government health administration;2022;0
518;Total health related expenditure;HP71: Government health administration;2023;0
519;Total health related expenditure;HP72: Social health insurance agencies;2021;0
520;Total health related expenditure;HP72: Social health insurance agencies;2022;0
521;Total health related expenditure;HP72: Social health insurance agencies;2023;0
522;Total health related expenditure;HP73: Providers of health insurance;2021;0
523;Total health related expenditure;HP73: Providers of health insurance;2022;0
524;Total health related expenditure;HP73: Providers of health insurance;2023;0
525;Total health related expenditure;HP79: Other administration agencies;2021;17
526;Total health related expenditure;HP79: Other administration agencies;2022;15
527;Total health related expenditure;HP79: Other administration agencies;2023;15
528;Total health related expenditure;HP8: Rest of economy;2021;2217
529;Total health related expenditure;HP8: Rest of economy;2022;2244
530;Total health related expenditure;HP8: Rest of economy;2023;2442
531;Total health related expenditure;HP81: Households prov. home health care;2021;1497
532;Total health related expenditure;HP81: Households prov. home health care;2022;1553
533;Total health related expenditure;HP81: Households prov. home health care;2023;1663
534;Total health related expenditure;HP82: Secondary providers of health care;2021;719
535;Total health related expenditure;HP82: Secondary providers of health care;2022;691
536;Total health related expenditure;HP82: Secondary providers of health care;2023;779
537;Total health related expenditure;HP9: Rest of the world;2021;0
538;Total health related expenditure;HP9: Rest of the world;2022;0
539;Total health related expenditure;HP9: Rest of the world;2023;0
540;HCR1: Long-term care (social);Total health care providers;2021;10517
541;HCR1: Long-term care (social);Total health care providers;2022;10858
542;HCR1: Long-term care (social);Total health care providers;2023;11813
543;HCR1: Long-term care (social);HP1: Hospitals;2021;1583
544;HCR1: Long-term care (social);HP1: Hospitals;2022;1695
545;HCR1: Long-term care (social);HP1: Hospitals;2023;1910
546;HCR1: Long-term care (social);HP11: General and university hospitals;2021;75
547;HCR1: Long-term care (social);HP11: General and university hospitals;2022;79
548;HCR1: Long-term care (social);HP11: General and university hospitals;2023;86
549;HCR1: Long-term care (social);HP12: Mental health institutions,;2021;1508
550;HCR1: Long-term care (social);HP12: Mental health institutions,;2022;1615
551;HCR1: Long-term care (social);HP12: Mental health institutions,;2023;1823
552;HCR1: Long-term care (social);HP13: Specialised hospitals;2021;0
553;HCR1: Long-term care (social);HP13: Specialised hospitals;2022;1
554;HCR1: Long-term care (social);HP13: Specialised hospitals;2023;1
555;HCR1: Long-term care (social);HP2: Nursing and residential care facil.;2021;5499
556;HCR1: Long-term care (social);HP2: Nursing and residential care facil.;2022;5579
557;HCR1: Long-term care (social);HP2: Nursing and residential care facil.;2023;6057
558;HCR1: Long-term care (social);HP21: Nursing care facilities;2021;1946
559;HCR1: Long-term care (social);HP21: Nursing care facilities;2022;1930
560;HCR1: Long-term care (social);HP21: Nursing care facilities;2023;2109
561;HCR1: Long-term care (social);HP22-29: Facilities for the disabled;2021;3554
562;HCR1: Long-term care (social);HP22-29: Facilities for the disabled;2022;3649
563;HCR1: Long-term care (social);HP22-29: Facilities for the disabled;2023;3948
564;HCR1: Long-term care (social);HP3: Providers of ambulatory health care;2021;523
565;HCR1: Long-term care (social);HP3: Providers of ambulatory health care;2022;627
566;HCR1: Long-term care (social);HP3: Providers of ambulatory health care;2023;587
567;HCR1: Long-term care (social);HP31: Medical practices;2021;0
568;HCR1: Long-term care (social);HP31: Medical practices;2022;0
569;HCR1: Long-term care (social);HP31: Medical practices;2023;0
570;HCR1: Long-term care (social);HP32: Dental practices;2021;0
571;HCR1: Long-term care (social);HP32: Dental practices;2022;0
572;HCR1: Long-term care (social);HP32: Dental practices;2023;0
573;HCR1: Long-term care (social);HP33 : Other health care practitioners;2021;54
574;HCR1: Long-term care (social);HP33 : Other health care practitioners;2022;51
575;HCR1: Long-term care (social);HP33 : Other health care practitioners;2023;54
576;HCR1: Long-term care (social);HP34: Ambulatory health care centres;2021;148
577;HCR1: Long-term care (social);HP34: Ambulatory health care centres;2022;163
578;HCR1: Long-term care (social);HP34: Ambulatory health care centres;2023;178
579;HCR1: Long-term care (social);HP35: Providers home healthcare services;2021;321
580;HCR1: Long-term care (social);HP35: Providers home healthcare services;2022;413
581;HCR1: Long-term care (social);HP35: Providers home healthcare services;2023;355
582;HCR1: Long-term care (social);HP4: Providers of ancillary services;2021;0
583;HCR1: Long-term care (social);HP4: Providers of ancillary services;2022;0
584;HCR1: Long-term care (social);HP4: Providers of ancillary services;2023;0
585;HCR1: Long-term care (social);HP41: Patient transportation, emergency;2021;0
586;HCR1: Long-term care (social);HP41: Patient transportation, emergency;2022;0
587;HCR1: Long-term care (social);HP41: Patient transportation, emergency;2023;0
588;HCR1: Long-term care (social);HP42-49: Laboratories, other anc. serv.;2021;0
589;HCR1: Long-term care (social);HP42-49: Laboratories, other anc. serv.;2022;0
590;HCR1: Long-term care (social);HP42-49: Laboratories, other anc. serv.;2023;0
591;HCR1: Long-term care (social);HP5: Retailers of medical goods;2021;662
592;HCR1: Long-term care (social);HP5: Retailers of medical goods;2022;694
593;HCR1: Long-term care (social);HP5: Retailers of medical goods;2023;784
594;HCR1: Long-term care (social);HP51: Pharmacies;2021;0
595;HCR1: Long-term care (social);HP51: Pharmacies;2022;0
596;HCR1: Long-term care (social);HP51: Pharmacies;2023;0
597;HCR1: Long-term care (social);HP52-59 : Suppl. med. appliances, other;2021;662
598;HCR1: Long-term care (social);HP52-59 : Suppl. med. appliances, other;2022;694
599;HCR1: Long-term care (social);HP52-59 : Suppl. med. appliances, other;2023;784
600;HCR1: Long-term care (social);HP6: Providers of preventive care;2021;17
601;HCR1: Long-term care (social);HP6: Providers of preventive care;2022;4
602;HCR1: Long-term care (social);HP6: Providers of preventive care;2023;17
603;HCR1: Long-term care (social);HP7: Healthcare adm. and financ.;2021;17
604;HCR1: Long-term care (social);HP7: Healthcare adm. and financ.;2022;15
605;HCR1: Long-term care (social);HP7: Healthcare adm. and financ.;2023;15
606;HCR1: Long-term care (social);HP71: Government health administration;2021;0
607;HCR1: Long-term care (social);HP71: Government health administration;2022;0
608;HCR1: Long-term care (social);HP71: Government health administration;2023;0
609;HCR1: Long-term care (social);HP72: Social health insurance agencies;2021;0
610;HCR1: Long-term care (social);HP72: Social health insurance agencies;2022;0
611;HCR1: Long-term care (social);HP72: Social health insurance agencies;2023;0
612;HCR1: Long-term care (social);HP73: Providers of health insurance;2021;0
613;HCR1: Long-term care (social);HP73: Providers of health insurance;2022;0
614;HCR1: Long-term care (social);HP73: Providers of health insurance;2023;0
615;HCR1: Long-term care (social);HP79: Other administration agencies;2021;17
616;HCR1: Long-term care (social);HP79: Other administration agencies;2022;15
617;HCR1: Long-term care (social);HP79: Other administration agencies;2023;15
618;HCR1: Long-term care (social);HP8: Rest of economy;2021;2217
619;HCR1: Long-term care (social);HP8: Rest of economy;2022;2244
620;HCR1: Long-term care (social);HP8: Rest of economy;2023;2442
621;HCR1: Long-term care (social);HP81: Households prov. home health care;2021;1497
622;HCR1: Long-term care (social);HP81: Households prov. home health care;2022;1553
623;HCR1: Long-term care (social);HP81: Households prov. home health care;2023;1663
624;HCR1: Long-term care (social);HP82: Secondary providers of health care;2021;719
625;HCR1: Long-term care (social);HP82: Secondary providers of health care;2022;691
626;HCR1: Long-term care (social);HP82: Secondary providers of health care;2023;779
627;HCR1: Long-term care (social);HP9: Rest of the world;2021;0
628;HCR1: Long-term care (social);HP9: Rest of the world;2022;0
629;HCR1: Long-term care (social);HP9: Rest of the world;2023;0
630;HCR11:In-kind long-term social care;Total health care providers;2021;8825
631;HCR11:In-kind long-term social care;Total health care providers;2022;9134
632;HCR11:In-kind long-term social care;Total health care providers;2023;9989
633;HCR11:In-kind long-term social care;HP1: Hospitals;2021;1569
634;HCR11:In-kind long-term social care;HP1: Hospitals;2022;1684
635;HCR11:In-kind long-term social care;HP1: Hospitals;2023;1898
636;HCR11:In-kind long-term social care;HP11: General and university hospitals;2021;75
637;HCR11:In-kind long-term social care;HP11: General and university hospitals;2022;79
638;HCR11:In-kind long-term social care;HP11: General and university hospitals;2023;86
639;HCR11:In-kind long-term social care;HP12: Mental health institutions,;2021;1494
640;HCR11:In-kind long-term social care;HP12: Mental health institutions,;2022;1605
641;HCR11:In-kind long-term social care;HP12: Mental health institutions,;2023;1811
642;HCR11:In-kind long-term social care;HP13: Specialised hospitals;2021;0
643;HCR11:In-kind long-term social care;HP13: Specialised hospitals;2022;1
644;HCR11:In-kind long-term social care;HP13: Specialised hospitals;2023;1
645;HCR11:In-kind long-term social care;HP2: Nursing and residential care facil.;2021;5462
646;HCR11:In-kind long-term social care;HP2: Nursing and residential care facil.;2022;5548
647;HCR11:In-kind long-term social care;HP2: Nursing and residential care facil.;2023;6032
648;HCR11:In-kind long-term social care;HP21: Nursing care facilities;2021;1929
649;HCR11:In-kind long-term social care;HP21: Nursing care facilities;2022;1916
650;HCR11:In-kind long-term social care;HP21: Nursing care facilities;2023;2096
651;HCR11:In-kind long-term social care;HP22-29: Facilities for the disabled;2021;3532
652;HCR11:In-kind long-term social care;HP22-29: Facilities for the disabled;2022;3632
653;HCR11:In-kind long-term social care;HP22-29: Facilities for the disabled;2023;3936
654;HCR11:In-kind long-term social care;HP3: Providers of ambulatory health care;2021;448
655;HCR11:In-kind long-term social care;HP3: Providers of ambulatory health care;2022;563
656;HCR11:In-kind long-term social care;HP3: Providers of ambulatory health care;2023;526
657;HCR11:In-kind long-term social care;HP31: Medical practices;2021;0
658;HCR11:In-kind long-term social care;HP31: Medical practices;2022;0
659;HCR11:In-kind long-term social care;HP31: Medical practices;2023;0
660;HCR11:In-kind long-term social care;HP32: Dental practices;2021;0
661;HCR11:In-kind long-term social care;HP32: Dental practices;2022;0
662;HCR11:In-kind long-term social care;HP32: Dental practices;2023;0
663;HCR11:In-kind long-term social care;HP33 : Other health care practitioners;2021;40
664;HCR11:In-kind long-term social care;HP33 : Other health care practitioners;2022;39
665;HCR11:In-kind long-term social care;HP33 : Other health care practitioners;2023;42
666;HCR11:In-kind long-term social care;HP34: Ambulatory health care centres;2021;138
667;HCR11:In-kind long-term social care;HP34: Ambulatory health care centres;2022;155
668;HCR11:In-kind long-term social care;HP34: Ambulatory health care centres;2023;170
669;HCR11:In-kind long-term social care;HP35: Providers home healthcare services;2021;271
670;HCR11:In-kind long-term social care;HP35: Providers home healthcare services;2022;369
671;HCR11:In-kind long-term social care;HP35: Providers home healthcare services;2023;314
672;HCR11:In-kind long-term social care;HP4: Providers of ancillary services;2021;0
673;HCR11:In-kind long-term social care;HP4: Providers of ancillary services;2022;0
674;HCR11:In-kind long-term social care;HP4: Providers of ancillary services;2023;0
675;HCR11:In-kind long-term social care;HP41: Patient transportation, emergency;2021;0
676;HCR11:In-kind long-term social care;HP41: Patient transportation, emergency;2022;0
677;HCR11:In-kind long-term social care;HP41: Patient transportation, emergency;2023;0
678;HCR11:In-kind long-term social care;HP42-49: Laboratories, other anc. serv.;2021;0
679;HCR11:In-kind long-term social care;HP42-49: Laboratories, other anc. serv.;2022;0
680;HCR11:In-kind long-term social care;HP42-49: Laboratories, other anc. serv.;2023;0
681;HCR11:In-kind long-term social care;HP5: Retailers of medical goods;2021;662
682;HCR11:In-kind long-term social care;HP5: Retailers of medical goods;2022;694
683;HCR11:In-kind long-term social care;HP5: Retailers of medical goods;2023;784
684;HCR11:In-kind long-term social care;HP51: Pharmacies;2021;0
685;HCR11:In-kind long-term social care;HP51: Pharmacies;2022;0
686;HCR11:In-kind long-term social care;HP51: Pharmacies;2023;0
687;HCR11:In-kind long-term social care;HP52-59 : Suppl. med. appliances, other;2021;662
688;HCR11:In-kind long-term social care;HP52-59 : Suppl. med. appliances, other;2022;694
689;HCR11:In-kind long-term social care;HP52-59 : Suppl. med. appliances, other;2023;784
690;HCR11:In-kind long-term social care;HP6: Providers of preventive care;2021;14
691;HCR11:In-kind long-term social care;HP6: Providers of preventive care;2022;2
692;HCR11:In-kind long-term social care;HP6: Providers of preventive care;2023;15
693;HCR11:In-kind long-term social care;HP7: Healthcare adm. and financ.;2021;8
694;HCR11:In-kind long-term social care;HP7: Healthcare adm. and financ.;2022;8
695;HCR11:In-kind long-term social care;HP7: Healthcare adm. and financ.;2023;9
696;HCR11:In-kind long-term social care;HP71: Government health administration;2021;0
697;HCR11:In-kind long-term social care;HP71: Government health administration;2022;0
698;HCR11:In-kind long-term social care;HP71: Government health administration;2023;0
699;HCR11:In-kind long-term social care;HP72: Social health insurance agencies;2021;0
700;HCR11:In-kind long-term social care;HP72: Social health insurance agencies;2022;0
701;HCR11:In-kind long-term social care;HP72: Social health insurance agencies;2023;0
702;HCR11:In-kind long-term social care;HP73: Providers of health insurance;2021;0
703;HCR11:In-kind long-term social care;HP73: Providers of health insurance;2022;0
704;HCR11:In-kind long-term social care;HP73: Providers of health insurance;2023;0
705;HCR11:In-kind long-term social care;HP79: Other administration agencies;2021;8
706;HCR11:In-kind long-term social care;HP79: Other administration agencies;2022;8
707;HCR11:In-kind long-term social care;HP79: Other administration agencies;2023;9
708;HCR11:In-kind long-term social care;HP8: Rest of economy;2021;662
709;HCR11:In-kind long-term social care;HP8: Rest of economy;2022;635
710;HCR11:In-kind long-term social care;HP8: Rest of economy;2023;725
711;HCR11:In-kind long-term social care;HP81: Households prov. home health care;2021;8
712;HCR11:In-kind long-term social care;HP81: Households prov. home health care;2022;0
713;HCR11:In-kind long-term social care;HP81: Households prov. home health care;2023;0
714;HCR11:In-kind long-term social care;HP82: Secondary providers of health care;2021;654
715;HCR11:In-kind long-term social care;HP82: Secondary providers of health care;2022;635
716;HCR11:In-kind long-term social care;HP82: Secondary providers of health care;2023;725
717;HCR11:In-kind long-term social care;HP9: Rest of the world;2021;0
718;HCR11:In-kind long-term social care;HP9: Rest of the world;2022;0
719;HCR11:In-kind long-term social care;HP9: Rest of the world;2023;0
720;HCR12: Long-term soc. care cash benefits;Total health care providers;2021;1692
721;HCR12: Long-term soc. care cash benefits;Total health care providers;2022;1724
722;HCR12: Long-term soc. care cash benefits;Total health care providers;2023;1824
723;HCR12: Long-term soc. care cash benefits;HP1: Hospitals;2021;13
724;HCR12: Long-term soc. care cash benefits;HP1: Hospitals;2022;11
725;HCR12: Long-term soc. care cash benefits;HP1: Hospitals;2023;12
726;HCR12: Long-term soc. care cash benefits;HP11: General and university hospitals;2021;0
727;HCR12: Long-term soc. care cash benefits;HP11: General and university hospitals;2022;0
728;HCR12: Long-term soc. care cash benefits;HP11: General and university hospitals;2023;0
729;HCR12: Long-term soc. care cash benefits;HP12: Mental health institutions,;2021;13
730;HCR12: Long-term soc. care cash benefits;HP12: Mental health institutions,;2022;11
731;HCR12: Long-term soc. care cash benefits;HP12: Mental health institutions,;2023;12
732;HCR12: Long-term soc. care cash benefits;HP13: Specialised hospitals;2021;0
733;HCR12: Long-term soc. care cash benefits;HP13: Specialised hospitals;2022;0
734;HCR12: Long-term soc. care cash benefits;HP13: Specialised hospitals;2023;0
735;HCR12: Long-term soc. care cash benefits;HP2: Nursing and residential care facil.;2021;38
736;HCR12: Long-term soc. care cash benefits;HP2: Nursing and residential care facil.;2022;31
737;HCR12: Long-term soc. care cash benefits;HP2: Nursing and residential care facil.;2023;25
738;HCR12: Long-term soc. care cash benefits;HP21: Nursing care facilities;2021;16
739;HCR12: Long-term soc. care cash benefits;HP21: Nursing care facilities;2022;14
740;HCR12: Long-term soc. care cash benefits;HP21: Nursing care facilities;2023;13
741;HCR12: Long-term soc. care cash benefits;HP22-29: Facilities for the disabled;2021;21
742;HCR12: Long-term soc. care cash benefits;HP22-29: Facilities for the disabled;2022;17
743;HCR12: Long-term soc. care cash benefits;HP22-29: Facilities for the disabled;2023;12
744;HCR12: Long-term soc. care cash benefits;HP3: Providers of ambulatory health care;2021;75
745;HCR12: Long-term soc. care cash benefits;HP3: Providers of ambulatory health care;2022;64
746;HCR12: Long-term soc. care cash benefits;HP3: Providers of ambulatory health care;2023;61
747;HCR12: Long-term soc. care cash benefits;HP31: Medical practices;2021;0
748;HCR12: Long-term soc. care cash benefits;HP31: Medical practices;2022;0
749;HCR12: Long-term soc. care cash benefits;HP31: Medical practices;2023;0
750;HCR12: Long-term soc. care cash benefits;HP32: Dental practices;2021;0
751;HCR12: Long-term soc. care cash benefits;HP32: Dental practices;2022;0
752;HCR12: Long-term soc. care cash benefits;HP32: Dental practices;2023;0
753;HCR12: Long-term soc. care cash benefits;HP33 : Other health care practitioners;2021;14
754;HCR12: Long-term soc. care cash benefits;HP33 : Other health care practitioners;2022;12
755;HCR12: Long-term soc. care cash benefits;HP33 : Other health care practitioners;2023;12
756;HCR12: Long-term soc. care cash benefits;HP34: Ambulatory health care centres;2021;10
757;HCR12: Long-term soc. care cash benefits;HP34: Ambulatory health care centres;2022;9
758;HCR12: Long-term soc. care cash benefits;HP34: Ambulatory health care centres;2023;8
759;HCR12: Long-term soc. care cash benefits;HP35: Providers home healthcare services;2021;51
760;HCR12: Long-term soc. care cash benefits;HP35: Providers home healthcare services;2022;43
761;HCR12: Long-term soc. care cash benefits;HP35: Providers home healthcare services;2023;41
762;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2021;0
763;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2022;0
764;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2023;0
765;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2021;0
766;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2022;0
767;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2023;0
768;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2021;0
769;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2022;0
770;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2023;0
771;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2021;0
772;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2022;0
773;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2023;0
774;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2021;0
775;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2022;0
776;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2023;0
777;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2021;0
778;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2022;0
779;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2023;0
780;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2021;3
781;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2022;2
782;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2023;2
783;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2021;9
784;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2022;6
785;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2023;6
786;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2021;0
787;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2022;0
788;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2023;0
789;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2021;0
790;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2022;0
791;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2023;0
792;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2021;0
793;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2022;0
794;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2023;0
795;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2021;9
796;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2022;6
797;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2023;6
798;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2021;1554
799;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2022;1609
800;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2023;1717
801;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2021;1489
802;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2022;1553
803;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2023;1663
804;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2021;65
805;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2022;57
806;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2023;55
807;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2021;0
808;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2022;0
809;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2023;0
810;HCR2: Health promotion multi-sector;Total health care providers;2021;0
811;HCR2: Health promotion multi-sector;Total health care providers;2022;0
812;HCR2: Health promotion multi-sector;Total health care providers;2023;0
813;HCR2: Health promotion multi-sector;HP1: Hospitals;2021;0
814;HCR2: Health promotion multi-sector;HP1: Hospitals;2022;0
815;HCR2: Health promotion multi-sector;HP1: Hospitals;2023;0
816;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2021;0
817;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2022;0
818;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2023;0
819;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2021;0
820;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2022;0
821;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2023;0
822;HCR2: Health promotion multi-sector;HP13: Specialised hospitals;2021;0
823;HCR2: Health promotion multi-sector;HP13: Specialised hospitals;2022;0
824;HCR2: Health promotion multi-sector;HP13: Specialised hospitals;2023;0
825;HCR2: Health promotion multi-sector;HP2: Nursing and residential care facil.;2021;0
826;HCR2: Health promotion multi-sector;HP2: Nursing and residential care facil.;2022;0
827;HCR2: Health promotion multi-sector;HP2: Nursing and residential care facil.;2023;0
828;HCR2: Health promotion multi-sector;HP21: Nursing care facilities;2021;0
829;HCR2: Health promotion multi-sector;HP21: Nursing care facilities;2022;0
830;HCR2: Health promotion multi-sector;HP21: Nursing care facilities;2023;0
831;HCR2: Health promotion multi-sector;HP22-29: Facilities for the disabled;2021;0
832;HCR2: Health promotion multi-sector;HP22-29: Facilities for the disabled;2022;0
833;HCR2: Health promotion multi-sector;HP22-29: Facilities for the disabled;2023;0
