ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
556;Total expenditure on health and care;HP71: Government health administration;2004;410
557;Total expenditure on health and care;HP71: Government health administration;2005;381
558;Total expenditure on health and care;HP71: Government health administration;2006;361
559;Total expenditure on health and care;HP71: Government health administration;2007;579
560;Total expenditure on health and care;HP71: Government health administration;2008;603
561;Total expenditure on health and care;HP71: Government health administration;2009;607
562;Total expenditure on health and care;HP71: Government health administration;2010;593
563;Total expenditure on health and care;HP71: Government health administration;2011;650
564;Total expenditure on health and care;HP71: Government health administration;2012;624
565;Total expenditure on health and care;HP71: Government health administration;2013;642
566;Total expenditure on health and care;HP71: Government health administration;2014;658
567;Total expenditure on health and care;HP71: Government health administration;2015;708
568;Total expenditure on health and care;HP71: Government health administration;2016;742
569;Total expenditure on health and care;HP71: Government health administration;2017;751
570;Total expenditure on health and care;HP71: Government health administration;2018;796
571;Total expenditure on health and care;HP71: Government health administration;2019;837
572;Total expenditure on health and care;HP71: Government health administration;2020;1256
573;Total expenditure on health and care;HP71: Government health administration;2021;1302
574;Total expenditure on health and care;HP71: Government health administration;2022;1221
575;Total expenditure on health and care;HP72: Social health insurance agencies;1998;573
576;Total expenditure on health and care;HP72: Social health insurance agencies;1999;595
577;Total expenditure on health and care;HP72: Social health insurance agencies;2000;624
578;Total expenditure on health and care;HP72: Social health insurance agencies;2001;678
579;Total expenditure on health and care;HP72: Social health insurance agencies;2002;667
580;Total expenditure on health and care;HP72: Social health insurance agencies;2003;696
581;Total expenditure on health and care;HP72: Social health insurance agencies;2004;704
582;Total expenditure on health and care;HP72: Social health insurance agencies;2005;933
583;Total expenditure on health and care;HP72: Social health insurance agencies;2006;1775
584;Total expenditure on health and care;HP72: Social health insurance agencies;2007;1685
585;Total expenditure on health and care;HP72: Social health insurance agencies;2008;1584
586;Total expenditure on health and care;HP72: Social health insurance agencies;2009;1516
587;Total expenditure on health and care;HP72: Social health insurance agencies;2010;1493
588;Total expenditure on health and care;HP72: Social health insurance agencies;2011;1552
589;Total expenditure on health and care;HP72: Social health insurance agencies;2012;1555
590;Total expenditure on health and care;HP72: Social health insurance agencies;2013;1602
591;Total expenditure on health and care;HP72: Social health insurance agencies;2014;1700
592;Total expenditure on health and care;HP72: Social health insurance agencies;2015;1691
593;Total expenditure on health and care;HP72: Social health insurance agencies;2016;1613
594;Total expenditure on health and care;HP72: Social health insurance agencies;2017;1604
595;Total expenditure on health and care;HP72: Social health insurance agencies;2018;1597
596;Total expenditure on health and care;HP72: Social health insurance agencies;2019;1679
597;Total expenditure on health and care;HP72: Social health insurance agencies;2020;1672
598;Total expenditure on health and care;HP72: Social health insurance agencies;2021;1712
599;Total expenditure on health and care;HP72: Social health insurance agencies;2022;1772
600;Total expenditure on health and care;HP73: Providers of health insurance;1998;629
601;Total expenditure on health and care;HP73: Providers of health insurance;1999;683
602;Total expenditure on health and care;HP73: Providers of health insurance;2000;720
603;Total expenditure on health and care;HP73: Providers of health insurance;2001;804
604;Total expenditure on health and care;HP73: Providers of health insurance;2002;882
605;Total expenditure on health and care;HP73: Providers of health insurance;2003;908
606;Total expenditure on health and care;HP73: Providers of health insurance;2004;962
607;Total expenditure on health and care;HP73: Providers of health insurance;2005;1099
608;Total expenditure on health and care;HP73: Providers of health insurance;2006;510
609;Total expenditure on health and care;HP73: Providers of health insurance;2007;518
610;Total expenditure on health and care;HP73: Providers of health insurance;2008;514
611;Total expenditure on health and care;HP73: Providers of health insurance;2009;559
612;Total expenditure on health and care;HP73: Providers of health insurance;2010;579
613;Total expenditure on health and care;HP73: Providers of health insurance;2011;601
614;Total expenditure on health and care;HP73: Providers of health insurance;2012;598
615;Total expenditure on health and care;HP73: Providers of health insurance;2013;603
616;Total expenditure on health and care;HP73: Providers of health insurance;2014;597
617;Total expenditure on health and care;HP73: Providers of health insurance;2015;536
618;Total expenditure on health and care;HP73: Providers of health insurance;2016;516
619;Total expenditure on health and care;HP73: Providers of health insurance;2017;504
620;Total expenditure on health and care;HP73: Providers of health insurance;2018;502
621;Total expenditure on health and care;HP73: Providers of health insurance;2019;502
622;Total expenditure on health and care;HP73: Providers of health insurance;2020;478
623;Total expenditure on health and care;HP73: Providers of health insurance;2021;479
624;Total expenditure on health and care;HP73: Providers of health insurance;2022;505
625;Total expenditure on health and care;HP79: Other administration agencies;1998;552
626;Total expenditure on health and care;HP79: Other administration agencies;1999;595
627;Total expenditure on health and care;HP79: Other administration agencies;2000;621
628;Total expenditure on health and care;HP79: Other administration agencies;2001;664
629;Total expenditure on health and care;HP79: Other administration agencies;2002;794
630;Total expenditure on health and care;HP79: Other administration agencies;2003;831
631;Total expenditure on health and care;HP79: Other administration agencies;2004;784
632;Total expenditure on health and care;HP79: Other administration agencies;2005;873
633;Total expenditure on health and care;HP79: Other administration agencies;2006;896
634;Total expenditure on health and care;HP79: Other administration agencies;2007;937
635;Total expenditure on health and care;HP79: Other administration agencies;2008;906
636;Total expenditure on health and care;HP79: Other administration agencies;2009;1016
637;Total expenditure on health and care;HP79: Other administration agencies;2010;1049
638;Total expenditure on health and care;HP79: Other administration agencies;2011;1090
639;Total expenditure on health and care;HP79: Other administration agencies;2012;1015
640;Total expenditure on health and care;HP79: Other administration agencies;2013;1017
641;Total expenditure on health and care;HP79: Other administration agencies;2014;1024
642;Total expenditure on health and care;HP79: Other administration agencies;2015;1029
643;Total expenditure on health and care;HP79: Other administration agencies;2016;1066
644;Total expenditure on health and care;HP79: Other administration agencies;2017;1071
645;Total expenditure on health and care;HP79: Other administration agencies;2018;1148
646;Total expenditure on health and care;HP79: Other administration agencies;2019;1261
647;Total expenditure on health and care;HP79: Other administration agencies;2020;1336
648;Total expenditure on health and care;HP79: Other administration agencies;2021;1397
649;Total expenditure on health and care;HP79: Other administration agencies;2022;1536
650;Total expenditure on health and care;HP8: Rest of economy;1998;1597
651;Total expenditure on health and care;HP8: Rest of economy;1999;1805
652;Total expenditure on health and care;HP8: Rest of economy;2000;2017
653;Total expenditure on health and care;HP8: Rest of economy;2001;2336
654;Total expenditure on health and care;HP8: Rest of economy;2002;2507
655;Total expenditure on health and care;HP8: Rest of economy;2003;2684
656;Total expenditure on health and care;HP8: Rest of economy;2004;2763
657;Total expenditure on health and care;HP8: Rest of economy;2005;2873
658;Total expenditure on health and care;HP8: Rest of economy;2006;3093
659;Total expenditure on health and care;HP8: Rest of economy;2007;3478
660;Total expenditure on health and care;HP8: Rest of economy;2008;3900
661;Total expenditure on health and care;HP8: Rest of economy;2009;4691
662;Total expenditure on health and care;HP8: Rest of economy;2010;5173
663;Total expenditure on health and care;HP8: Rest of economy;2011;5266
664;Total expenditure on health and care;HP8: Rest of economy;2012;5560
665;Total expenditure on health and care;HP8: Rest of economy;2013;5570
666;Total expenditure on health and care;HP8: Rest of economy;2014;5693
667;Total expenditure on health and care;HP8: Rest of economy;2015;6738
668;Total expenditure on health and care;HP8: Rest of economy;2016;6825
669;Total expenditure on health and care;HP8: Rest of economy;2017;6861
670;Total expenditure on health and care;HP8: Rest of economy;2018;7053
671;Total expenditure on health and care;HP8: Rest of economy;2019;7301
672;Total expenditure on health and care;HP8: Rest of economy;2020;8005
673;Total expenditure on health and care;HP8: Rest of economy;2021;8554
674;Total expenditure on health and care;HP8: Rest of economy;2022;9884
675;Total expenditure on health and care;HP81: Households prov. home health care;1998;66
676;Total expenditure on health and care;HP81: Households prov. home health care;1999;73
677;Total expenditure on health and care;HP81: Households prov. home health care;2000;100
678;Total expenditure on health and care;HP81: Households prov. home health care;2001;169
679;Total expenditure on health and care;HP81: Households prov. home health care;2002;282
680;Total expenditure on health and care;HP81: Households prov. home health care;2003;407
681;Total expenditure on health and care;HP81: Households prov. home health care;2004;501
682;Total expenditure on health and care;HP81: Households prov. home health care;2005;610
683;Total expenditure on health and care;HP81: Households prov. home health care;2006;787
684;Total expenditure on health and care;HP81: Households prov. home health care;2007;974
685;Total expenditure on health and care;HP81: Households prov. home health care;2008;1210
686;Total expenditure on health and care;HP81: Households prov. home health care;2009;1435
687;Total expenditure on health and care;HP81: Households prov. home health care;2010;1640
688;Total expenditure on health and care;HP81: Households prov. home health care;2011;1751
689;Total expenditure on health and care;HP81: Households prov. home health care;2012;1908
690;Total expenditure on health and care;HP81: Households prov. home health care;2013;1915
691;Total expenditure on health and care;HP81: Households prov. home health care;2014;1985
692;Total expenditure on health and care;HP81: Households prov. home health care;2015;1864
693;Total expenditure on health and care;HP81: Households prov. home health care;2016;1749
694;Total expenditure on health and care;HP81: Households prov. home health care;2017;1918
695;Total expenditure on health and care;HP81: Households prov. home health care;2018;2012
696;Total expenditure on health and care;HP81: Households prov. home health care;2019;2148
697;Total expenditure on health and care;HP81: Households prov. home health care;2020;2316
698;Total expenditure on health and care;HP81: Households prov. home health care;2021;2407
699;Total expenditure on health and care;HP81: Households prov. home health care;2022;2458
700;Total expenditure on health and care;HP82: Secondary providers of health care;1998;1531
701;Total expenditure on health and care;HP82: Secondary providers of health care;1999;1732
702;Total expenditure on health and care;HP82: Secondary providers of health care;2000;1917
703;Total expenditure on health and care;HP82: Secondary providers of health care;2001;2167
704;Total expenditure on health and care;HP82: Secondary providers of health care;2002;2225
705;Total expenditure on health and care;HP82: Secondary providers of health care;2003;2277
706;Total expenditure on health and care;HP82: Secondary providers of health care;2004;2262
707;Total expenditure on health and care;HP82: Secondary providers of health care;2005;2263
708;Total expenditure on health and care;HP82: Secondary providers of health care;2006;2306
709;Total expenditure on health and care;HP82: Secondary providers of health care;2007;2504
710;Total expenditure on health and care;HP82: Secondary providers of health care;2008;2690
711;Total expenditure on health and care;HP82: Secondary providers of health care;2009;3256
712;Total expenditure on health and care;HP82: Secondary providers of health care;2010;3533
713;Total expenditure on health and care;HP82: Secondary providers of health care;2011;3515
714;Total expenditure on health and care;HP82: Secondary providers of health care;2012;3652
715;Total expenditure on health and care;HP82: Secondary providers of health care;2013;3655
716;Total expenditure on health and care;HP82: Secondary providers of health care;2014;3708
717;Total expenditure on health and care;HP82: Secondary providers of health care;2015;4875
718;Total expenditure on health and care;HP82: Secondary providers of health care;2016;5076
719;Total expenditure on health and care;HP82: Secondary providers of health care;2017;4944
720;Total expenditure on health and care;HP82: Secondary providers of health care;2018;5042
721;Total expenditure on health and care;HP82: Secondary providers of health care;2019;5153
722;Total expenditure on health and care;HP82: Secondary providers of health care;2020;5689
723;Total expenditure on health and care;HP82: Secondary providers of health care;2021;6147
724;Total expenditure on health and care;HP82: Secondary providers of health care;2022;7426
725;Total expenditure on health and care;HP9: Rest of the world;1998;156
726;Total expenditure on health and care;HP9: Rest of the world;1999;184
727;Total expenditure on health and care;HP9: Rest of the world;2000;207
728;Total expenditure on health and care;HP9: Rest of the world;2001;238
729;Total expenditure on health and care;HP9: Rest of the world;2002;258
730;Total expenditure on health and care;HP9: Rest of the world;2003;299
731;Total expenditure on health and care;HP9: Rest of the world;2004;360
732;Total expenditure on health and care;HP9: Rest of the world;2005;411
733;Total expenditure on health and care;HP9: Rest of the world;2006;476
734;Total expenditure on health and care;HP9: Rest of the world;2007;514
735;Total expenditure on health and care;HP9: Rest of the world;2008;528
736;Total expenditure on health and care;HP9: Rest of the world;2009;574
737;Total expenditure on health and care;HP9: Rest of the world;2010;599
738;Total expenditure on health and care;HP9: Rest of the world;2011;630
739;Total expenditure on health and care;HP9: Rest of the world;2012;616
740;Total expenditure on health and care;HP9: Rest of the world;2013;593
741;Total expenditure on health and care;HP9: Rest of the world;2014;589
742;Total expenditure on health and care;HP9: Rest of the world;2015;611
743;Total expenditure on health and care;HP9: Rest of the world;2016;594
744;Total expenditure on health and care;HP9: Rest of the world;2017;599
745;Total expenditure on health and care;HP9: Rest of the world;2018;599
746;Total expenditure on health and care;HP9: Rest of the world;2019;622
747;Total expenditure on health and care;HP9: Rest of the world;2020;603
748;Total expenditure on health and care;HP9: Rest of the world;2021;646
749;Total expenditure on health and care;HP9: Rest of the world;2022;685
750;Total expenditure on health and care;Welfare, children's day care;1998;2357
751;Total expenditure on health and care;Welfare, children's day care;1999;2761
752;Total expenditure on health and care;Welfare, children's day care;2000;3103
753;Total expenditure on health and care;Welfare, children's day care;2001;3521
754;Total expenditure on health and care;Welfare, children's day care;2002;3698
755;Total expenditure on health and care;Welfare, children's day care;2003;3950
756;Total expenditure on health and care;Welfare, children's day care;2004;3867
757;Total expenditure on health and care;Welfare, children's day care;2005;3966
758;Total expenditure on health and care;Welfare, children's day care;2006;4139
759;Total expenditure on health and care;Welfare, children's day care;2007;4760
760;Total expenditure on health and care;Welfare, children's day care;2008;5551
761;Total expenditure on health and care;Welfare, children's day care;2009;6002
762;Total expenditure on health and care;Welfare, children's day care;2010;6125
763;Total expenditure on health and care;Welfare, children's day care;2011;6081
764;Total expenditure on health and care;Welfare, children's day care;2012;5817
765;Total expenditure on health and care;Welfare, children's day care;2013;5405
766;Total expenditure on health and care;Welfare, children's day care;2014;5103
767;Total expenditure on health and care;Welfare, children's day care;2015;4433
768;Total expenditure on health and care;Welfare, children's day care;2016;4827
769;Total expenditure on health and care;Welfare, children's day care;2017;5218
770;Total expenditure on health and care;Welfare, children's day care;2018;5752
771;Total expenditure on health and care;Welfare, children's day care;2019;6397
772;Total expenditure on health and care;Welfare, children's day care;2020;6776
773;Total expenditure on health and care;Welfare, children's day care;2021;7316
774;Total expenditure on health and care;Welfare, children's day care;2022;8185
775;Social work and child day care;Total health and social care providers;1998;4400
776;Social work and child day care;Total health and social care providers;1999;5022
777;Social work and child day care;Total health and social care providers;2000;5604
778;Social work and child day care;Total health and social care providers;2001;6361
779;Social work and child day care;Total health and social care providers;2002;6958
780;Social work and child day care;Total health and social care providers;2003;7502
781;Social work and child day care;Total health and social care providers;2004;7412
782;Social work and child day care;Total health and social care providers;2005;7474
783;Social work and child day care;Total health and social care providers;2006;6960
784;Social work and child day care;Total health and social care providers;2007;7738
785;Social work and child day care;Total health and social care providers;2008;8729
786;Social work and child day care;Total health and social care providers;2009;9607
787;Social work and child day care;Total health and social care providers;2010;9925
788;Social work and child day care;Total health and social care providers;2011;9881
789;Social work and child day care;Total health and social care providers;2012;9643
790;Social work and child day care;Total health and social care providers;2013;9230
791;Social work and child day care;Total health and social care providers;2014;8900
792;Social work and child day care;Total health and social care providers;2015;8718
793;Social work and child day care;Total health and social care providers;2016;9532
794;Social work and child day care;Total health and social care providers;2017;9838
795;Social work and child day care;Total health and social care providers;2018;10389
796;Social work and child day care;Total health and social care providers;2019;11205
797;Social work and child day care;Total health and social care providers;2020;11886
798;Social work and child day care;Total health and social care providers;2021;12746
799;Social work and child day care;Total health and social care providers;2022;14875
800;Social work and child day care;Total health care providers;1998;2043
801;Social work and child day care;Total health care providers;1999;2261
802;Social work and child day care;Total health care providers;2000;2500
803;Social work and child day care;Total health care providers;2001;2840
804;Social work and child day care;Total health care providers;2002;3261
805;Social work and child day care;Total health care providers;2003;3552
806;Social work and child day care;Total health care providers;2004;3545
807;Social work and child day care;Total health care providers;2005;3507
808;Social work and child day care;Total health care providers;2006;2821
809;Social work and child day care;Total health care providers;2007;2978
810;Social work and child day care;Total health care providers;2008;3178
811;Social work and child day care;Total health care providers;2009;3606
812;Social work and child day care;Total health care providers;2010;3800
813;Social work and child day care;Total health care providers;2011;3800
814;Social work and child day care;Total health care providers;2012;3826
815;Social work and child day care;Total health care providers;2013;3825
816;Social work and child day care;Total health care providers;2014;3797
817;Social work and child day care;Total health care providers;2015;4285
818;Social work and child day care;Total health care providers;2016;4705
819;Social work and child day care;Total health care providers;2017;4620
820;Social work and child day care;Total health care providers;2018;4637
821;Social work and child day care;Total health care providers;2019;4807
822;Social work and child day care;Total health care providers;2020;5137
823;Social work and child day care;Total health care providers;2021;5441
824;Social work and child day care;Total health care providers;2022;6692
825;Social work and child day care;HP1: Hospitals;1998;0
826;Social work and child day care;HP1: Hospitals;1999;0
827;Social work and child day care;HP1: Hospitals;2000;0
828;Social work and child day care;HP1: Hospitals;2001;10
829;Social work and child day care;HP1: Hospitals;2002;25
830;Social work and child day care;HP1: Hospitals;2003;50
831;Social work and child day care;HP1: Hospitals;2004;50
832;Social work and child day care;HP1: Hospitals;2005;57
833;Social work and child day care;HP1: Hospitals;2006;72
834;Social work and child day care;HP1: Hospitals;2007;86
835;Social work and child day care;HP1: Hospitals;2008;99
836;Social work and child day care;HP1: Hospitals;2009;100
837;Social work and child day care;HP1: Hospitals;2010;113
838;Social work and child day care;HP1: Hospitals;2011;123
839;Social work and child day care;HP1: Hospitals;2012;136
840;Social work and child day care;HP1: Hospitals;2013;147
841;Social work and child day care;HP1: Hospitals;2014;146
842;Social work and child day care;HP1: Hospitals;2015;179
843;Social work and child day care;HP1: Hospitals;2016;191
844;Social work and child day care;HP1: Hospitals;2017;181
845;Social work and child day care;HP1: Hospitals;2018;190
846;Social work and child day care;HP1: Hospitals;2019;192
847;Social work and child day care;HP1: Hospitals;2020;204
848;Social work and child day care;HP1: Hospitals;2021;209
849;Social work and child day care;HP1: Hospitals;2022;207
850;Social work and child day care;HP11: General and university hospitals;1998;0
851;Social work and child day care;HP11: General and university hospitals;1999;0
852;Social work and child day care;HP11: General and university hospitals;2000;0
853;Social work and child day care;HP11: General and university hospitals;2001;0
854;Social work and child day care;HP11: General and university hospitals;2002;0
855;Social work and child day care;HP11: General and university hospitals;2003;0
856;Social work and child day care;HP11: General and university hospitals;2004;0
857;Social work and child day care;HP11: General and university hospitals;2005;0
858;Social work and child day care;HP11: General and university hospitals;2006;0
859;Social work and child day care;HP11: General and university hospitals;2007;0
860;Social work and child day care;HP11: General and university hospitals;2008;0
861;Social work and child day care;HP11: General and university hospitals;2009;0
862;Social work and child day care;HP11: General and university hospitals;2010;0
863;Social work and child day care;HP11: General and university hospitals;2011;0
864;Social work and child day care;HP11: General and university hospitals;2012;0
865;Social work and child day care;HP11: General and university hospitals;2013;0
866;Social work and child day care;HP11: General and university hospitals;2014;0
867;Social work and child day care;HP11: General and university hospitals;2015;0
868;Social work and child day care;HP11: General and university hospitals;2016;0
869;Social work and child day care;HP11: General and university hospitals;2017;0
870;Social work and child day care;HP11: General and university hospitals;2018;0
871;Social work and child day care;HP11: General and university hospitals;2019;0
872;Social work and child day care;HP11: General and university hospitals;2020;0
873;Social work and child day care;HP11: General and university hospitals;2021;0
874;Social work and child day care;HP11: General and university hospitals;2022;0
875;Social work and child day care;HP12: Mental health institutions,;1998;0
876;Social work and child day care;HP12: Mental health institutions,;1999;0
877;Social work and child day care;HP12: Mental health institutions,;2000;0
878;Social work and child day care;HP12: Mental health institutions,;2001;10
879;Social work and child day care;HP12: Mental health institutions,;2002;25
880;Social work and child day care;HP12: Mental health institutions,;2003;50
881;Social work and child day care;HP12: Mental health institutions,;2004;50
882;Social work and child day care;HP12: Mental health institutions,;2005;57
883;Social work and child day care;HP12: Mental health institutions,;2006;72
884;Social work and child day care;HP12: Mental health institutions,;2007;86
885;Social work and child day care;HP12: Mental health institutions,;2008;99
886;Social work and child day care;HP12: Mental health institutions,;2009;100
887;Social work and child day care;HP12: Mental health institutions,;2010;113
888;Social work and child day care;HP12: Mental health institutions,;2011;123
889;Social work and child day care;HP12: Mental health institutions,;2012;136
890;Social work and child day care;HP12: Mental health institutions,;2013;147
891;Social work and child day care;HP12: Mental health institutions,;2014;146
892;Social work and child day care;HP12: Mental health institutions,;2015;179
893;Social work and child day care;HP12: Mental health institutions,;2016;191
894;Social work and child day care;HP12: Mental health institutions,;2017;181
895;Social work and child day care;HP12: Mental health institutions,;2018;190
896;Social work and child day care;HP12: Mental health institutions,;2019;192
897;Social work and child day care;HP12: Mental health institutions,;2020;204
898;Social work and child day care;HP12: Mental health institutions,;2021;209
899;Social work and child day care;HP12: Mental health institutions,;2022;207
900;Social work and child day care;HP13: Specialised hospitals;1998;0
901;Social work and child day care;HP13: Specialised hospitals;1999;0
902;Social work and child day care;HP13: Specialised hospitals;2000;0
903;Social work and child day care;HP13: Specialised hospitals;2001;0
904;Social work and child day care;HP13: Specialised hospitals;2002;0
905;Social work and child day care;HP13: Specialised hospitals;2003;0
906;Social work and child day care;HP13: Specialised hospitals;2004;0
907;Social work and child day care;HP13: Specialised hospitals;2005;0
908;Social work and child day care;HP13: Specialised hospitals;2006;0
909;Social work and child day care;HP13: Specialised hospitals;2007;0
910;Social work and child day care;HP13: Specialised hospitals;2008;0
911;Social work and child day care;HP13: Specialised hospitals;2009;0
912;Social work and child day care;HP13: Specialised hospitals;2010;0
913;Social work and child day care;HP13: Specialised hospitals;2011;0
914;Social work and child day care;HP13: Specialised hospitals;2012;0
915;Social work and child day care;HP13: Specialised hospitals;2013;0
916;Social work and child day care;HP13: Specialised hospitals;2014;0
917;Social work and child day care;HP13: Specialised hospitals;2015;0
918;Social work and child day care;HP13: Specialised hospitals;2016;0
919;Social work and child day care;HP13: Specialised hospitals;2017;0
920;Social work and child day care;HP13: Specialised hospitals;2018;0
921;Social work and child day care;HP13: Specialised hospitals;2019;0
922;Social work and child day care;HP13: Specialised hospitals;2020;0
923;Social work and child day care;HP13: Specialised hospitals;2021;0
924;Social work and child day care;HP13: Specialised hospitals;2022;0
925;Social work and child day care;HP2: Nursing and residential care facil.;1998;0
926;Social work and child day care;HP2: Nursing and residential care facil.;1999;0
927;Social work and child day care;HP2: Nursing and residential care facil.;2000;0
928;Social work and child day care;HP2: Nursing and residential care facil.;2001;10
929;Social work and child day care;HP2: Nursing and residential care facil.;2002;25
930;Social work and child day care;HP2: Nursing and residential care facil.;2003;65
931;Social work and child day care;HP2: Nursing and residential care facil.;2004;100
932;Social work and child day care;HP2: Nursing and residential care facil.;2005;133
933;Social work and child day care;HP2: Nursing and residential care facil.;2006;122
934;Social work and child day care;HP2: Nursing and residential care facil.;2007;88
935;Social work and child day care;HP2: Nursing and residential care facil.;2008;74
936;Social work and child day care;HP2: Nursing and residential care facil.;2009;75
937;Social work and child day care;HP2: Nursing and residential care facil.;2010;100
938;Social work and child day care;HP2: Nursing and residential care facil.;2011;120
939;Social work and child day care;HP2: Nursing and residential care facil.;2012;147
940;Social work and child day care;HP2: Nursing and residential care facil.;2013;169
941;Social work and child day care;HP2: Nursing and residential care facil.;2014;165
942;Social work and child day care;HP2: Nursing and residential care facil.;2015;63
943;Social work and child day care;HP2: Nursing and residential care facil.;2016;162
944;Social work and child day care;HP2: Nursing and residential care facil.;2017;189
945;Social work and child day care;HP2: Nursing and residential care facil.;2018;196
946;Social work and child day care;HP2: Nursing and residential care facil.;2019;226
947;Social work and child day care;HP2: Nursing and residential care facil.;2020;279
948;Social work and child day care;HP2: Nursing and residential care facil.;2021;268
949;Social work and child day care;HP2: Nursing and residential care facil.;2022;270
950;Social work and child day care;HP21: Nursing care facilities;1998;0
951;Social work and child day care;HP21: Nursing care facilities;1999;0
952;Social work and child day care;HP21: Nursing care facilities;2000;0
953;Social work and child day care;HP21: Nursing care facilities;2001;0
954;Social work and child day care;HP21: Nursing care facilities;2002;0
955;Social work and child day care;HP21: Nursing care facilities;2003;25
956;Social work and child day care;HP21: Nursing care facilities;2004;45
957;Social work and child day care;HP21: Nursing care facilities;2005;63
958;Social work and child day care;HP21: Nursing care facilities;2006;40
959;Social work and child day care;HP21: Nursing care facilities;2007;9
960;Social work and child day care;HP21: Nursing care facilities;2008;9
961;Social work and child day care;HP21: Nursing care facilities;2009;9
962;Social work and child day care;HP21: Nursing care facilities;2010;9
963;Social work and child day care;HP21: Nursing care facilities;2011;9
964;Social work and child day care;HP21: Nursing care facilities;2012;49
965;Social work and child day care;HP21: Nursing care facilities;2013;50
966;Social work and child day care;HP21: Nursing care facilities;2014;50
967;Social work and child day care;HP21: Nursing care facilities;2015;33
968;Social work and child day care;HP21: Nursing care facilities;2016;48
969;Social work and child day care;HP21: Nursing care facilities;2017;62
970;Social work and child day care;HP21: Nursing care facilities;2018;69
971;Social work and child day care;HP21: Nursing care facilities;2019;94
972;Social work and child day care;HP21: Nursing care facilities;2020;148
973;Social work and child day care;HP21: Nursing care facilities;2021;134
974;Social work and child day care;HP21: Nursing care facilities;2022;136
975;Social work and child day care;HP22-29: Facilities for the disabled;1998;0
976;Social work and child day care;HP22-29: Facilities for the disabled;1999;0
977;Social work and child day care;HP22-29: Facilities for the disabled;2000;0
978;Social work and child day care;HP22-29: Facilities for the disabled;2001;10
979;Social work and child day care;HP22-29: Facilities for the disabled;2002;25
980;Social work and child day care;HP22-29: Facilities for the disabled;2003;40
981;Social work and child day care;HP22-29: Facilities for the disabled;2004;55
982;Social work and child day care;HP22-29: Facilities for the disabled;2005;70
983;Social work and child day care;HP22-29: Facilities for the disabled;2006;82
984;Social work and child day care;HP22-29: Facilities for the disabled;2007;79
985;Social work and child day care;HP22-29: Facilities for the disabled;2008;65
986;Social work and child day care;HP22-29: Facilities for the disabled;2009;66
987;Social work and child day care;HP22-29: Facilities for the disabled;2010;91
988;Social work and child day care;HP22-29: Facilities for the disabled;2011;111
989;Social work and child day care;HP22-29: Facilities for the disabled;2012;98
990;Social work and child day care;HP22-29: Facilities for the disabled;2013;119
991;Social work and child day care;HP22-29: Facilities for the disabled;2014;115
992;Social work and child day care;HP22-29: Facilities for the disabled;2015;31
993;Social work and child day care;HP22-29: Facilities for the disabled;2016;114
994;Social work and child day care;HP22-29: Facilities for the disabled;2017;127
995;Social work and child day care;HP22-29: Facilities for the disabled;2018;127
996;Social work and child day care;HP22-29: Facilities for the disabled;2019;132
997;Social work and child day care;HP22-29: Facilities for the disabled;2020;132
998;Social work and child day care;HP22-29: Facilities for the disabled;2021;134
999;Social work and child day care;HP22-29: Facilities for the disabled;2022;134
1000;Social work and child day care;HP3: Providers of ambulatory health care;1998;0
1001;Social work and child day care;HP3: Providers of ambulatory health care;1999;0
1002;Social work and child day care;HP3: Providers of ambulatory health care;2000;0
1003;Social work and child day care;HP3: Providers of ambulatory health care;2001;0
1004;Social work and child day care;HP3: Providers of ambulatory health care;2002;0
1005;Social work and child day care;HP3: Providers of ambulatory health care;2003;0
1006;Social work and child day care;HP3: Providers of ambulatory health care;2004;0
1007;Social work and child day care;HP3: Providers of ambulatory health care;2005;0
1008;Social work and child day care;HP3: Providers of ambulatory health care;2006;0
1009;Social work and child day care;HP3: Providers of ambulatory health care;2007;0
1010;Social work and child day care;HP3: Providers of ambulatory health care;2008;0
1011;Social work and child day care;HP3: Providers of ambulatory health care;2009;0
1012;Social work and child day care;HP3: Providers of ambulatory health care;2010;0
1013;Social work and child day care;HP3: Providers of ambulatory health care;2011;0
1014;Social work and child day care;HP3: Providers of ambulatory health care;2012;0
1015;Social work and child day care;HP3: Providers of ambulatory health care;2013;0
1016;Social work and child day care;HP3: Providers of ambulatory health care;2014;0
1017;Social work and child day care;HP3: Providers of ambulatory health care;2015;0
1018;Social work and child day care;HP3: Providers of ambulatory health care;2016;0
1019;Social work and child day care;HP3: Providers of ambulatory health care;2017;0
1020;Social work and child day care;HP3: Providers of ambulatory health care;2018;0
1021;Social work and child day care;HP3: Providers of ambulatory health care;2019;0
1022;Social work and child day care;HP3: Providers of ambulatory health care;2020;0
1023;Social work and child day care;HP3: Providers of ambulatory health care;2021;0
1024;Social work and child day care;HP3: Providers of ambulatory health care;2022;0
1025;Social work and child day care;HP31: Medical practices;1998;0
1026;Social work and child day care;HP31: Medical practices;1999;0
1027;Social work and child day care;HP31: Medical practices;2000;0
1028;Social work and child day care;HP31: Medical practices;2001;0
1029;Social work and child day care;HP31: Medical practices;2002;0
1030;Social work and child day care;HP31: Medical practices;2003;0
1031;Social work and child day care;HP31: Medical practices;2004;0
1032;Social work and child day care;HP31: Medical practices;2005;0
1033;Social work and child day care;HP31: Medical practices;2006;0
1034;Social work and child day care;HP31: Medical practices;2007;0
1035;Social work and child day care;HP31: Medical practices;2008;0
