ID;CharRegionalBusinessClassification;Periods;SicknessAbsenceRateTotal_1;SicknessAbsenceRate1stYear_2;SicknessAbsenceRate2ndYear_3;SicknessAbsenceRateTotal_4;SicknessAbsenceRate17Days_5;SicknessAbsenceRate842Days_6;SicknessAbsenceRate4391Days_7;SicknessAbsenceRate92182Days_8;SicknessAbsenceRate183365Days_9;SicknessAbsenceRate366730Days_10;SickLeaveFrequency_11;AverageDurationOfAbsenceTotal_12;AverageDurationOfAbsence1Year_13;AvgDurationOfAbsence1YrAnd2yr_14
471;Marital state: married;2004 2nd quarter*;4.6;4.6;;4.6;0.6;1.4;1.1;1.0;0.6;;0.94;19.3;19.3;
472;Marital state: married;2004 3rd quarter*;4.0;4.0;;4.0;0.5;1.1;0.8;0.9;0.7;;0.78;22.1;22.1;
473;Marital state: married;2004 4th quarter*;4.6;4.6;;4.6;0.8;1.5;1.1;0.7;0.5;;1.21;20.3;20.3;
474;Marital state: married;2004 annual figure*;4.6;4.6;;4.6;0.7;1.3;0.9;0.8;1.0;;1.06;19.8;19.8;
475;Marital state: married;2005 1st quarter*;5.6;5.5;0.1;5.6;1.1;1.7;1.0;0.9;0.7;0.2;1.44;13.9;13.9;0.0
476;Marital state: married;2005 2nd quarter*;4.5;4.4;0.1;4.5;0.6;1.2;0.9;0.8;0.7;0.3;0.87;19.0;18.8;0.3
477;Marital state: married;2005 3rd quarter*;3.9;3.9;0.1;3.9;0.4;1.0;0.7;0.7;0.7;0.4;0.7;22.4;21.7;0.7
478;Marital state: married;2005 4th quarter*;4.5;4.4;0.1;4.5;0.7;1.3;0.9;0.7;0.5;0.5;1.0;29.1;26.5;2.6
479;Marital state: married;2005 annual figure*;4.6;4.6;0.1;4.6;0.7;1.2;0.7;0.7;0.8;0.6;1.0;21.1;20.2;0.9
480;Marital state: widowed;2002 1st quarter*;7.6;7.6;;7.6;1.0;2.2;1.6;1.6;1.3;;1.46;24.3;24.3;
481;Marital state: widowed;2002 2nd quarter*;6.5;6.5;;6.5;0.7;1.8;1.2;1.5;1.3;;1.05;27.1;27.1;
482;Marital state: widowed;2002 3rd quarter*;5.8;5.8;;5.8;0.6;1.4;1.2;1.2;1.4;;0.92;29.9;29.9;
483;Marital state: widowed;2002 4th quarter*;6.1;6.1;;6.1;0.9;1.8;1.2;1.1;1.1;;1.31;21.0;21.0;
484;Marital state: widowed;2002 annual figure*;6.5;6.5;;6.5;0.7;1.5;0.9;1.1;2.3;;1.18;25.1;25.1;
485;Marital state: widowed;2003 1st quarter*;5.8;5.8;;5.8;1.1;2.0;1.2;0.9;0.7;;1.56;19.2;19.2;
486;Marital state: widowed;2003 2nd quarter*;5.4;5.4;;5.4;0.7;1.7;1.2;1.2;0.6;;1.1;21.0;21.0;
487;Marital state: widowed;2003 3rd quarter*;5.0;5.0;;5.0;0.6;1.5;1.0;1.1;0.8;;0.98;22.6;22.6;
488;Marital state: widowed;2003 4th quarter*;6.2;6.2;;6.2;1.0;1.9;1.3;1.2;0.9;;1.44;16.6;16.6;
489;Marital state: widowed;2003 annual figure*;5.6;5.6;;5.6;0.8;1.4;0.8;0.9;1.8;;1.27;19.6;19.6;
490;Marital state: widowed;2004 1st quarter*;7.3;7.3;;7.3;0.8;2.1;1.6;1.5;1.2;;1.33;26.3;26.3;
491;Marital state: widowed;2004 2nd quarter*;6.0;6.0;;6.0;0.5;1.6;1.4;1.4;1.0;;0.94;26.4;26.4;
492;Marital state: widowed;2004 3rd quarter*;5.0;5.0;;5.0;0.4;1.3;1.0;1.1;1.1;;0.79;27.8;27.8;
493;Marital state: widowed;2004 4th quarter*;5.4;5.4;;5.4;0.8;1.8;1.3;0.8;0.8;;1.17;26.3;26.3;
494;Marital state: widowed;2004 annual figure*;5.9;5.9;;5.9;0.6;1.5;1.1;1.1;1.6;;1.06;26.6;26.6;
495;Marital state: widowed;2005 1st quarter*;7.9;7.8;0.2;7.9;0.9;2.2;1.5;1.7;1.3;0.4;1.4;19.9;19.8;0.1
496;Marital state: widowed;2005 2nd quarter*;6.2;6.1;0.1;6.2;0.5;1.5;1.1;1.2;1.3;0.6;0.89;26.8;26.4;0.4
497;Marital state: widowed;2005 3rd quarter*;5.3;5.2;0.1;5.3;0.4;1.2;1.0;1.0;1.0;0.7;0.75;29.5;28.2;1.3
498;Marital state: widowed;2005 4th quarter*;5.8;5.6;0.1;5.8;0.6;1.6;1.1;0.9;0.7;0.8;1.0;38.9;34.8;4.1
499;Marital state: widowed;2005 annual figure*;6.3;6.2;0.1;6.3;0.6;1.4;1.0;1.0;1.2;1.0;1.01;28.8;27.3;1.5
500;Marital state: divorced;2002 1st quarter*;9.6;9.6;;9.6;1.3;2.8;2.0;1.9;1.5;;1.92;22.3;22.3;
501;Marital state: divorced;2002 2nd quarter*;8.4;8.4;;8.4;1.0;2.3;1.7;1.9;1.5;;1.52;23.2;23.2;
502;Marital state: divorced;2002 3rd quarter*;7.4;7.4;;7.4;0.9;2.0;1.4;1.5;1.6;;1.32;25.1;25.1;
503;Marital state: divorced;2002 4th quarter*;8.1;8.1;;8.1;1.2;2.5;1.7;1.4;1.3;;1.78;19.4;19.4;
504;Marital state: divorced;2002 annual figure*;8.4;8.4;;8.4;1.0;2.0;1.2;1.4;2.8;;1.63;22.3;22.3;
505;Marital state: divorced;2003 1st quarter*;7.8;7.8;;7.8;1.4;2.5;1.6;1.3;1.0;;2.04;18.3;18.3;
506;Marital state: divorced;2003 2nd quarter*;7.2;7.2;;7.2;1.0;2.2;1.6;1.5;0.9;;1.52;19.2;19.2;
507;Marital state: divorced;2003 3rd quarter*;6.7;6.7;;6.7;0.9;1.9;1.3;1.5;1.1;;1.37;20.1;20.1;
508;Marital state: divorced;2003 4th quarter*;7.9;7.9;;7.9;1.3;2.4;1.6;1.4;1.2;;1.87;16.3;16.3;
509;Marital state: divorced;2003 annual figure*;7.4;7.4;;7.4;1.1;1.8;1.0;1.0;2.4;;1.7;18.3;18.3;
510;Marital state: divorced;2004 1st quarter*;7.6;7.6;;7.6;1.1;2.4;1.7;1.3;1.1;;1.71;20.3;20.3;
511;Marital state: divorced;2004 2nd quarter*;6.6;6.6;;6.6;0.8;1.9;1.6;1.3;0.9;;1.31;20.4;20.4;
512;Marital state: divorced;2004 3rd quarter*;5.9;5.9;;5.9;0.7;1.7;1.2;1.3;1.0;;1.14;22.8;22.8;
513;Marital state: divorced;2004 4th quarter*;6.3;6.3;;6.3;1.1;2.1;1.4;1.0;0.7;;1.54;21.8;21.8;
514;Marital state: divorced;2004 annual figure*;6.6;6.6;;6.6;0.9;1.8;1.2;1.2;1.5;;1.43;21.2;21.2;
515;Marital state: divorced;2005 1st quarter*;7.8;7.7;0.1;7.8;1.3;2.4;1.5;1.3;1.1;0.3;1.79;15.5;15.5;0.0
516;Marital state: divorced;2005 2nd quarter*;6.6;6.4;0.1;6.6;0.7;1.7;1.3;1.2;1.1;0.5;1.2;20.1;19.8;0.3
517;Marital state: divorced;2005 3rd quarter*;5.8;5.7;0.1;5.8;0.6;1.5;1.1;1.1;0.9;0.6;1.03;23.8;23.0;0.8
518;Marital state: divorced;2005 4th quarter*;6.4;6.3;0.1;6.4;0.8;1.8;1.3;1.0;0.8;0.7;1.31;32.7;29.5;3.1
519;Marital state: divorced;2005 annual figure*;6.7;6.5;0.1;6.7;0.8;1.7;1.0;1.1;1.1;0.9;1.33;23.0;22.0;1.1
520;Origin: total;2002 1st quarter*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
521;Origin: total;2002 2nd quarter*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
522;Origin: total;2002 3rd quarter*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
523;Origin: total;2002 4th quarter*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
524;Origin: total;2002 annual figure*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
525;Origin: total;2003 1st quarter*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
526;Origin: total;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
527;Origin: total;2003 3rd quarter*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
528;Origin: total;2003 4th quarter*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
529;Origin: total;2003 annual figure*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
530;Origin: total;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
531;Origin: total;2004 2nd quarter*;4.0;4.0;;4.0;0.6;1.2;0.9;0.8;0.5;;0.95;16.8;16.8;
532;Origin: total;2004 3rd quarter*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.8;18.7;18.7;
533;Origin: total;2004 4th quarter*;4.0;4.0;;4.0;0.9;1.3;0.9;0.6;0.4;;1.19;17.7;17.7;
534;Origin: total;2004 annual figure*;4.0;4.0;;4.0;0.7;1.1;0.7;0.7;0.8;;1.05;17.3;17.3;
535;Origin: total;2005 1st quarter*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.38;12.6;12.6;0.0
536;Origin: total;2005 2nd quarter*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.7;0.6;0.3;0.87;16.5;16.3;0.2
537;Origin: total;2005 3rd quarter*;3.4;3.4;0.1;3.4;0.5;0.9;0.6;0.6;0.5;0.3;0.73;19.2;18.7;0.6
538;Origin: total;2005 4th quarter*;3.9;3.8;0.1;3.9;0.7;1.1;0.8;0.6;0.4;0.4;0.98;25.3;23.2;2.1
539;Origin: total;2005 annual figure*;4.0;4.0;0.1;4.0;0.7;1.0;0.6;0.6;0.6;0.5;0.99;18.4;17.7;0.7
540;Origin: native Dutch;2002 1st quarter*;5.9;5.9;;5.9;1.1;1.7;1.2;1.1;0.8;;1.47;17.8;17.8;
541;Origin: native Dutch;2002 2nd quarter*;5.1;5.1;;5.1;0.7;1.4;1.0;1.1;0.8;;1.1;19.2;19.2;
542;Origin: native Dutch;2002 3rd quarter*;4.4;4.4;;4.4;0.6;1.2;0.9;0.9;0.8;;0.93;21.2;21.2;
543;Origin: native Dutch;2002 4th quarter*;5.1;5.1;;5.1;1.0;1.5;1.0;0.9;0.7;;1.36;15.5;15.5;
544;Origin: native Dutch;2002 annual figure*;5.1;5.1;;5.1;0.8;1.2;0.7;0.8;1.5;;1.21;18.1;18.1;
545;Origin: native Dutch;2003 1st quarter*;4.8;4.8;;4.8;1.1;1.5;0.9;0.7;0.5;;1.56;14.2;14.2;
546;Origin: native Dutch;2003 2nd quarter*;4.4;4.4;;4.4;0.7;1.3;1.0;0.9;0.4;;1.1;15.9;15.9;
547;Origin: native Dutch;2003 3rd quarter*;4.0;4.0;;4.0;0.7;1.1;0.8;0.8;0.6;;0.99;16.5;16.5;
548;Origin: native Dutch;2003 4th quarter*;5.0;5.0;;5.0;1.0;1.5;1.0;0.9;0.7;;1.45;12.9;12.9;
549;Origin: native Dutch;2003 annual figure*;4.5;4.5;;4.5;0.9;1.1;0.6;0.6;1.3;;1.28;14.6;14.6;
550;Origin: native Dutch;2004 1st quarter*;4.6;4.6;;4.6;0.9;1.2;0.7;0.7;1.0;;1.24;16.2;16.2;
551;Origin: native Dutch;2004 2nd quarter*;3.9;3.9;;3.9;0.6;1.0;0.7;0.7;0.9;;0.91;17.1;17.1;
552;Origin: native Dutch;2004 3rd quarter*;3.4;3.4;;3.4;0.5;0.8;0.6;0.7;0.8;;0.77;19.1;19.1;
553;Origin: native Dutch;2004 4th quarter*;3.9;3.9;;3.9;0.8;1.2;0.9;0.6;0.4;;1.16;17.9;17.9;
554;Origin: native Dutch;2004 annual figure*;3.9;3.9;;3.9;0.7;1.1;0.7;0.7;0.8;;1.02;17.5;17.5;
555;Origin: native Dutch;2005 1st quarter*;4.8;4.7;0.1;4.8;1.0;1.4;0.8;0.8;0.6;0.2;1.36;12.7;12.6;0.0
556;Origin: native Dutch;2005 2nd quarter*;3.8;3.8;0.1;3.8;0.5;1.0;0.8;0.7;0.6;0.3;0.83;16.9;16.6;0.2
557;Origin: native Dutch;2005 3rd quarter*;3.4;3.3;0.1;3.4;0.4;0.9;0.6;0.6;0.5;0.3;0.7;19.5;19.0;0.6
558;Origin: native Dutch;2005 4th quarter*;3.8;3.7;0.1;3.8;0.7;1.1;0.8;0.5;0.4;0.3;0.96;25.4;23.3;2.1
559;Origin: native Dutch;2005 annual figure*;3.9;3.9;0.1;3.9;0.7;1.0;0.6;0.6;0.6;0.5;0.96;18.6;17.9;0.7
560;Origin: western foreigners;2002 1st quarter*;6.4;6.4;;6.4;1.2;1.9;1.3;1.2;0.9;;1.66;17.1;17.1;
561;Origin: western foreigners;2002 2nd quarter*;5.6;5.6;;5.6;0.9;1.6;1.1;1.2;0.9;;1.28;17.7;17.7;
562;Origin: western foreigners;2002 3rd quarter*;4.9;4.9;;4.9;0.7;1.3;0.9;1.0;0.9;;1.1;19.8;19.8;
563;Origin: western foreigners;2002 4th quarter*;5.6;5.6;;5.6;1.1;1.7;1.1;0.9;0.8;;1.52;15.1;15.1;
564;Origin: western foreigners;2002 annual figure*;5.6;5.6;;5.6;0.9;1.4;0.8;0.9;1.6;;1.39;17.2;17.2;
565;Origin: western foreigners;2003 1st quarter*;5.3;5.3;;5.3;1.3;1.7;1.0;0.8;0.6;;1.73;14.0;14.0;
566;Origin: western foreigners;2003 2nd quarter*;4.8;4.8;;4.8;0.9;1.5;1.0;1.0;0.5;;1.26;15.2;15.2;
567;Origin: western foreigners;2003 3rd quarter*;4.5;4.5;;4.5;0.8;1.2;0.8;0.9;0.7;;1.15;15.4;15.4;
568;Origin: western foreigners;2003 4th quarter*;5.5;5.5;;5.5;1.2;1.6;1.0;1.0;0.7;;1.61;12.8;12.8;
569;Origin: western foreigners;2003 annual figure*;5.0;5.0;;5.0;1.0;1.2;0.6;0.7;1.5;;1.44;14.2;14.2;
570;Origin: western foreigners;2004 1st quarter*;5.0;5.0;;5.0;1.0;1.3;0.8;0.8;1.1;;1.41;15.6;15.6;
571;Origin: western foreigners;2004 2nd quarter*;4.3;4.3;;4.3;0.7;1.1;0.7;0.7;1.0;;1.07;16.0;16.0;
572;Origin: western foreigners;2004 3rd quarter*;3.7;3.7;;3.7;0.6;0.9;0.7;0.8;0.8;;0.91;17.7;17.7;
573;Origin: western foreigners;2004 4th quarter*;4.2;4.2;;4.2;0.9;1.4;0.9;0.5;0.4;;1.31;16.9;16.9;
574;Origin: western foreigners;2004 annual figure*;4.3;4.3;;4.3;0.8;1.2;0.8;0.7;0.8;;1.17;16.5;16.5;
575;Origin: western foreigners;2005 1st quarter*;5.1;5.0;0.1;5.1;1.1;1.5;0.9;0.8;0.6;0.2;1.49;12.2;12.2;0.0
576;Origin: western foreigners;2005 2nd quarter*;4.1;4.0;0.1;4.1;0.6;1.1;0.8;0.7;0.6;0.3;0.96;15.6;15.4;0.2
577;Origin: western foreigners;2005 3rd quarter*;3.6;3.5;0.1;3.6;0.5;0.9;0.7;0.6;0.5;0.4;0.82;18.3;17.7;0.6
578;Origin: western foreigners;2005 4th quarter*;4.1;4.0;0.1;4.1;0.7;1.1;0.8;0.6;0.4;0.4;1.09;24.7;22.5;2.2
579;Origin: western foreigners;2005 annual figure*;4.2;4.1;0.1;4.2;0.7;1.1;0.6;0.6;0.6;0.5;1.09;17.7;17.0;0.8
580;Western foreigners, 1st generation;2002 1st quarter*;6.6;6.6;;6.6;1.2;2.0;1.3;1.2;0.9;;1.66;17.3;17.3;
581;Western foreigners, 1st generation;2002 2nd quarter*;5.8;5.8;;5.8;0.9;1.7;1.1;1.2;0.9;;1.31;17.7;17.7;
582;Western foreigners, 1st generation;2002 3rd quarter*;5.1;5.1;;5.1;0.7;1.4;0.9;1.0;1.0;;1.11;20.3;20.3;
583;Western foreigners, 1st generation;2002 4th quarter*;5.8;5.8;;5.8;1.1;1.8;1.1;0.9;0.8;;1.52;15.7;15.7;
584;Western foreigners, 1st generation;2002 annual figure*;5.8;5.8;;5.8;0.9;1.5;0.8;0.9;1.7;;1.4;17.5;17.5;
585;Western foreigners, 1st generation;2003 1st quarter*;5.5;5.5;;5.5;1.2;1.8;1.0;0.8;0.6;;1.72;14.6;14.6;
586;Western foreigners, 1st generation;2003 2nd quarter*;5.0;5.0;;5.0;0.9;1.5;1.0;1.0;0.6;;1.26;15.5;15.5;
587;Western foreigners, 1st generation;2003 3rd quarter*;4.6;4.6;;4.6;0.8;1.3;0.8;1.0;0.7;;1.15;16.2;16.2;
588;Western foreigners, 1st generation;2003 4th quarter*;5.7;5.7;;5.7;1.1;1.7;1.1;1.1;0.8;;1.6;13.3;13.3;
589;Western foreigners, 1st generation;2003 annual figure*;5.2;5.2;;5.2;1.0;1.3;0.6;0.7;1.6;;1.43;14.7;14.7;
590;Western foreigners, 1st generation;2004 1st quarter*;5.1;5.1;;5.1;1.0;1.4;0.8;0.8;1.2;;1.4;16.2;16.2;
591;Western foreigners, 1st generation;2004 2nd quarter*;4.4;4.4;;4.4;0.7;1.1;0.7;0.7;1.1;;1.08;16.1;16.1;
592;Western foreigners, 1st generation;2004 3rd quarter*;3.8;3.8;;3.8;0.6;0.9;0.7;0.8;0.8;;0.91;17.8;17.8;
593;Western foreigners, 1st generation;2004 4th quarter*;4.2;4.2;;4.2;0.9;1.4;0.9;0.5;0.5;;1.3;17.3;17.3;
594;Western foreigners, 1st generation;2004 annual figure*;4.4;4.4;;4.4;0.8;1.2;0.8;0.7;0.9;;1.17;16.8;16.8;
595;Western foreigners, 1st generation;2005 1st quarter*;5.1;5.0;0.1;5.1;1.1;1.5;0.9;0.8;0.6;0.2;1.44;12.4;12.3;0.0
596;Western foreigners, 1st generation;2005 2nd quarter*;4.2;4.1;0.1;4.2;0.6;1.1;0.8;0.7;0.7;0.3;0.96;15.7;15.4;0.2
597;Western foreigners, 1st generation;2005 3rd quarter*;3.7;3.6;0.1;3.7;0.5;0.9;0.6;0.6;0.6;0.4;0.82;18.8;18.1;0.6
598;Western foreigners, 1st generation;2005 4th quarter*;4.2;4.1;0.1;4.2;0.7;1.2;0.8;0.6;0.5;0.5;1.09;26.1;23.7;2.5
599;Western foreigners, 1st generation;2005 annual figure*;4.3;4.2;0.1;4.3;0.7;1.1;0.6;0.6;0.7;0.6;1.08;18.2;17.4;0.8
600;Western foreigners, 2nd generation;2002 1st quarter*;6.3;6.3;;6.3;1.2;1.9;1.2;1.1;0.8;;1.66;17.0;17.0;
601;Western foreigners, 2nd generation;2002 2nd quarter*;5.4;5.4;;5.4;0.9;1.6;1.0;1.2;0.8;;1.26;17.7;17.7;
602;Western foreigners, 2nd generation;2002 3rd quarter*;4.8;4.8;;4.8;0.7;1.3;0.9;0.9;0.9;;1.09;19.5;19.5;
603;Western foreigners, 2nd generation;2002 4th quarter*;5.4;5.4;;5.4;1.1;1.6;1.1;0.9;0.8;;1.51;14.7;14.7;
604;Western foreigners, 2nd generation;2002 annual figure*;5.5;5.5;;5.5;0.9;1.3;0.8;0.9;1.6;;1.38;17.0;17.0;
605;Western foreigners, 2nd generation;2003 1st quarter*;5.2;5.2;;5.2;1.3;1.7;1.0;0.7;0.5;;1.74;13.7;13.7;
606;Western foreigners, 2nd generation;2003 2nd quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.9;0.5;;1.26;15.0;15.0;
607;Western foreigners, 2nd generation;2003 3rd quarter*;4.4;4.4;;4.4;0.8;1.2;0.8;0.9;0.6;;1.15;15.0;15.0;
608;Western foreigners, 2nd generation;2003 4th quarter*;5.4;5.4;;5.4;1.2;1.6;1.0;0.9;0.7;;1.61;12.5;12.5;
609;Western foreigners, 2nd generation;2003 annual figure*;4.9;4.9;;4.9;1.0;1.2;0.6;0.7;1.5;;1.44;13.9;13.9;
610;Western foreigners, 2nd generation;2004 1st quarter*;4.9;4.9;;4.9;1.0;1.3;0.8;0.8;1.1;;1.41;15.2;15.2;
611;Western foreigners, 2nd generation;2004 2nd quarter*;4.2;4.2;;4.2;0.7;1.1;0.7;0.7;1.0;;1.06;16.0;16.0;
612;Western foreigners, 2nd generation;2004 3rd quarter*;3.7;3.7;;3.7;0.6;0.9;0.6;0.7;0.8;;0.9;17.7;17.7;
613;Western foreigners, 2nd generation;2004 4th quarter*;4.1;4.1;;4.1;1.0;1.3;0.9;0.5;0.4;;1.31;16.7;16.7;
614;Western foreigners, 2nd generation;2004 annual figure*;4.2;4.2;;4.2;0.8;1.2;0.8;0.7;0.8;;1.17;16.3;16.3;
615;Western foreigners, 2nd generation;2005 1st quarter*;5.1;5.0;0.1;5.1;1.1;1.5;0.9;0.8;0.6;0.2;1.51;12.1;12.1;0.0
616;Western foreigners, 2nd generation;2005 2nd quarter*;4.0;4.0;0.1;4.0;0.6;1.1;0.8;0.7;0.6;0.3;0.96;15.6;15.4;0.2
617;Western foreigners, 2nd generation;2005 3rd quarter*;3.6;3.5;0.1;3.6;0.5;0.9;0.7;0.6;0.5;0.3;0.82;18.0;17.5;0.5
618;Western foreigners, 2nd generation;2005 4th quarter*;4.0;4.0;0.1;4.0;0.7;1.1;0.8;0.6;0.4;0.4;1.09;23.9;21.9;2.1
619;Western foreigners, 2nd generation;2005 annual figure*;4.2;4.1;0.1;4.2;0.7;1.1;0.7;0.6;0.6;0.5;1.09;17.4;16.7;0.7
620;Origin: non-western foreigners;2002 1st quarter*;8.0;8.0;;8.0;1.4;2.5;1.6;1.5;1.1;;1.87;18.6;18.6;
621;Origin: non-western foreigners;2002 2nd quarter*;7.2;7.2;;7.2;1.1;2.3;1.4;1.3;1.0;;1.66;18.0;18.0;
622;Origin: non-western foreigners;2002 3rd quarter*;6.3;6.3;;6.3;1.0;1.9;1.2;1.1;1.1;;1.42;19.1;19.1;
623;Origin: non-western foreigners;2002 4th quarter*;6.8;6.8;;6.8;1.2;2.3;1.4;1.1;0.9;;1.71;16.3;16.3;
624;Origin: non-western foreigners;2002 annual figure*;7.1;7.1;;7.1;1.1;1.9;1.0;1.1;1.9;;1.66;18.0;18.0;
625;Origin: non-western foreigners;2003 1st quarter*;6.5;6.5;;6.5;1.4;2.2;1.2;1.0;0.7;;1.89;15.8;15.8;
626;Origin: non-western foreigners;2003 2nd quarter*;6.0;6.0;;6.0;1.1;2.0;1.2;1.1;0.7;;1.57;15.9;15.9;
627;Origin: non-western foreigners;2003 3rd quarter*;5.3;5.3;;5.3;0.9;1.7;1.0;1.0;0.7;;1.38;15.6;15.6;
628;Origin: non-western foreigners;2003 4th quarter*;6.3;6.3;;6.3;1.2;2.0;1.2;1.1;0.8;;1.71;13.9;13.9;
629;Origin: non-western foreigners;2003 annual figure*;6.0;6.0;;6.0;1.1;1.7;0.8;0.8;1.7;;1.64;15.3;15.3;
630;Origin: non-western foreigners;2004 1st quarter*;5.4;5.4;;5.4;1.0;1.6;0.9;0.8;1.2;;1.43;16.5;16.5;
631;Origin: non-western foreigners;2004 2nd quarter*;4.8;4.8;;4.8;0.8;1.4;0.8;0.7;1.0;;1.22;15.6;15.6;
632;Origin: non-western foreigners;2004 3rd quarter*;4.0;4.0;;4.0;0.6;1.2;0.7;0.7;0.7;;1.03;16.6;16.6;
633;Origin: non-western foreigners;2004 4th quarter*;4.5;4.5;;4.5;0.9;1.6;1.0;0.6;0.4;;1.34;16.9;16.9;
634;Origin: non-western foreigners;2004 annual figure*;4.7;4.7;;4.7;0.8;1.5;0.9;0.7;0.8;;1.25;16.4;16.4;
635;Origin: non-western foreigners;2005 1st quarter*;5.4;5.3;0.1;5.4;1.1;1.8;1.0;0.8;0.6;0.2;1.47;12.8;12.8;0.0
636;Origin: non-western foreigners;2005 2nd quarter*;4.6;4.5;0.1;4.6;0.8;1.4;0.9;0.7;0.6;0.3;1.1;15.2;15.0;0.2
637;Origin: non-western foreigners;2005 3rd quarter*;4.0;3.9;0.1;4.0;0.6;1.2;0.8;0.6;0.5;0.3;0.96;17.7;17.2;0.4
638;Origin: non-western foreigners;2005 4th quarter*;4.4;4.3;0.1;4.4;0.7;1.4;0.9;0.6;0.4;0.4;1.12;24.3;22.4;1.9
639;Origin: non-western foreigners;2005 annual figure*;4.6;4.5;0.1;4.6;0.8;1.3;0.7;0.7;0.6;0.5;1.16;17.5;16.8;0.6
640;Non-western foreigners 1st generation;2002 1st quarter*;8.7;8.7;;8.7;1.4;2.8;1.8;1.6;1.2;;1.92;19.8;19.8;
641;Non-western foreigners 1st generation;2002 2nd quarter*;7.8;7.8;;7.8;1.2;2.5;1.5;1.5;1.2;;1.7;19.2;19.2;
642;Non-western foreigners 1st generation;2002 3rd quarter*;6.8;6.8;;6.8;1.0;2.1;1.3;1.2;1.2;;1.45;20.4;20.4;
643;Non-western foreigners 1st generation;2002 4th quarter*;7.4;7.4;;7.4;1.2;2.5;1.6;1.2;1.0;;1.74;17.4;17.4;
644;Non-western foreigners 1st generation;2002 annual figure*;7.7;7.7;;7.7;1.1;2.1;1.1;1.2;2.1;;1.7;19.1;19.1;
645;Non-western foreigners 1st generation;2003 1st quarter*;7.0;7.0;;7.0;1.4;2.4;1.3;1.1;0.8;;1.92;16.8;16.8;
646;Non-western foreigners 1st generation;2003 2nd quarter*;6.5;6.5;;6.5;1.1;2.2;1.3;1.2;0.7;;1.6;17.1;17.1;
647;Non-western foreigners 1st generation;2003 3rd quarter*;5.7;5.7;;5.7;1.0;1.8;1.0;1.1;0.8;;1.4;16.8;16.8;
648;Non-western foreigners 1st generation;2003 4th quarter*;6.8;6.8;;6.8;1.2;2.2;1.3;1.2;0.9;;1.73;14.9;14.9;
649;Non-western foreigners 1st generation;2003 annual figure*;6.5;6.5;;6.5;1.1;1.8;0.9;0.8;1.9;;1.66;16.4;16.4;
650;Non-western foreigners 1st generation;2004 1st quarter*;6.0;6.0;;6.0;1.0;1.8;1.0;0.9;1.3;;1.48;17.8;17.8;
651;Non-western foreigners 1st generation;2004 2nd quarter*;5.3;5.3;;5.3;0.8;1.6;0.9;0.8;1.1;;1.27;16.7;16.7;
652;Non-western foreigners 1st generation;2004 3rd quarter*;4.5;4.5;;4.5;0.7;1.4;0.8;0.8;0.8;;1.08;18.0;18.0;
653;Non-western foreigners 1st generation;2004 4th quarter*;5.0;5.0;;5.0;1.0;1.8;1.1;0.6;0.4;;1.38;18.2;18.2;
654;Non-western foreigners 1st generation;2004 annual figure*;5.2;5.2;;5.2;0.9;1.6;1.0;0.8;0.9;;1.3;17.7;17.7;
655;Non-western foreigners 1st generation;2005 1st quarter*;5.9;5.8;0.1;5.9;1.1;2.0;1.1;0.9;0.7;0.2;1.5;13.7;13.7;0.0
656;Non-western foreigners 1st generation;2005 2nd quarter*;5.0;5.0;0.1;5.0;0.8;1.5;1.0;0.8;0.7;0.3;1.13;16.4;16.1;0.2
657;Non-western foreigners 1st generation;2005 3rd quarter*;4.4;4.4;0.1;4.4;0.6;1.3;0.8;0.7;0.6;0.4;0.98;19.0;18.5;0.5
658;Non-western foreigners 1st generation;2005 4th quarter*;4.9;4.8;0.1;4.9;0.7;1.5;1.0;0.7;0.5;0.4;1.13;26.8;24.6;2.2
659;Non-western foreigners 1st generation;2005 annual figure*;5.0;5.0;0.1;5.0;0.8;1.5;0.8;0.7;0.7;0.6;1.19;19.0;18.2;0.7
660;Non-western foreigners 2nd generation;2002 1st quarter*;5.3;5.3;;5.3;1.3;1.6;1.0;0.9;0.6;;1.68;13.3;13.3;
