ID;Geslacht;Leeftijd;KenmerkenPersonen;Marges;Perioden;ErvarenGezondheidGoedOfZeerGoed_1;PsychischOngezond12JaarOfOuder_2;MondgezondheidZeerGoed15OfOuder_3;k_1OfMeerLangdurigeAandoeningen_4;DiabetesSuikerziekteTotaal_5;DiabetesSuikerziekteType1_6;DiabetesSuikerziekteType2_7;BeroerteHersenbloedingHerseninfarct_8;Hartinfarct_9;Hartaandoening_10;Kanker_11;MigraineOfErnstigeHoofdpijn_12;Astma_13;COPDChronischeBronchitisLongemfyseem_14;Psoriasis_15;ChronischeEczeem_16;DarmstoornissenLangerDan3Maanden_17;ChronischeGewrichtsontsteking_18;Rugaandoening_19;AandoeningVanDeNekOfSchouder_20;AandoeningElleboogPolsOfHand_21;Allergie_22;HogeBloeddruk_23;VernauwingBloedvatenInBuikOfBenen_24;DuizeligheidMetVallen_25;IncontinentieUrineverlies_26;GewrichtsslijtageVanHeupenOfKnieen_27;Levercirrose_28;Nieraandoening_29;Depressie_30;OverigeAandoeningen_31;BeroerteHersenbloedingHerseninfarct_32;Hartinfarct_33;Kanker_34;Verkoudheid_35;BronchitisOfLongontsteking_36;Oorontsteking_37;InfectieOfOntstekingNierenOfBlaas_38;DiarreeMinimaal3MaalIn24Uur_39;BrakenMinimaal3MaalIn24Uur_40;PersonenMetEenGALIBeperking_41;Slaapproblemen12JaarOfOuder_42;BelemmerdDoorPijn12JaarOfOuder_43;PersonenMetMinstens1Beperking_44;BeperkingenPerPersoon_45;PersonenMetBeperkingInHoren_46;PersonenMetBeperkingInZien_47;PersonenMetBeperkingInBewegen_48;HulpmiddelVoorHoren4JaarOfOuder_49;HulpmiddelVoorZien4JaarOfOuder_50;HulpmiddelVoorBewegen12JrOfOuder_51;HulpmiddelVoorAnatomie12JrOfOuder_52;HulpmiddelIncontinentie12JrOfOuder_53;PersonenMetVoorgeschrevenMedicijnen_54;PersonenNietVoorgeschrevenMedicijnen_55;PersonenMetMinimaal1Contact_56;ContactenPerPersoon_57;PersonenMetMinimaal1Contact_58;ContactenPerPersoon_59;PersonenMetMinimaal1Contact_60;ContactenPerPersoon_61;ContactMetMondhygienist12OfOuder_62;ContactMetOrthodontist8OfOuder_63;PersonenMetMinimaal1Contact_64;ContactenPerPersoon_65;PersonenMetMinimaal1Contact_66;ContactenPerPersoon_67;PersonenBehDoorAlternatiefGenezer_68;PersonenMetOvernachtingen_69;PersonenMetDagopname_70;PersonenDieThuiszorgOntvingen_71;PersonenMetZorgInHetBuitenland_72;MantelzorgOntvangen_73;UrenOntvangenMantelzorgPerWeek_74;NormscoreFysiek_75;NormscorePsychisch_76;Uitstekend_77;ZeerGoed_78;Goed_79;Matig_80;Slecht_81;ErnstigBeperkt_82;EenBeetjeBeperkt_83;HelemaalNietBeperkt_84;ErnstigBeperkt_85;EenBeetjeBeperkt_86;HelemaalNietBeperkt_87;Ja_88;Nee_89;Ja_90;Nee_91;Ja_92;Nee_93;Ja_94;Nee_95;HelemaalNiet_96;EenBeetje_97;Nogal_98;Veel_99;HeelVeel_100;Voortdurend_101;Meestal_102;Vaak_103;Soms_104;Zelden_105;Nooit_106;Voortdurend_107;Meestal_108;Vaak_109;Soms_110;Zelden_111;Nooit_112;Voortdurend_113;Meestal_114;Vaak_115;Soms_116;Zelden_117;Nooit_118;Voortdurend_119;Meestal_120;Soms_121;Zelden_122;Nooit_123
549;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2016/2017;60.5;21.3;;54.3;9.7;2.7;7.7;1.6;1.3;4.3;2.7;26.9;10.6;11.5;5.0;7.0;11.0;17.1;19.5;22.4;16.2;24.0;24.2;5.2;10.9;10.7;26.5;1.7;3.5;16.6;18.4;7.3;8.1;10.5;41.7;6.1;5.2;4.3;13.8;3.9;50.5;;26.6;25.1;0.5;6.1;7.0;20.0;6.0;88.0;8.7;9.7;5.3;59.4;44.7;78.5;8.7;49.5;6.5;78.6;3.1;34.8;4.0;36.5;6.3;13.7;2.0;6.9;10.1;10.1;7.8;4.9;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2018/2019;64.0;19.7;;53.0;10.5;2.8;8.3;2.3;1.4;3.7;3.7;22.3;10.8;11.0;;;11.8;16.4;21.6;21.2;;25.9;28.5;;;10.7;27.5;1.0;3.5;12.9;21.2;6.0;5.5;11.3;;;;;;;50.7;33.6;28.3;25.0;0.5;6.6;7.1;20.2;6.1;88.1;;;;62.5;49.0;76.9;8.6;52.5;6.7;77.9;3.9;39.2;4.3;34.9;5.6;14.0;1.6;6.8;11.8;15.1;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2020/2021;69.4;23.6;66.4;49.5;12.7;4.4;9.9;1.9;2.0;5.1;4.3;26.1;10.4;11.0;;;8.5;14.1;18.4;21.2;;27.3;28.3;;;11.2;27.0;2.6;3.3;16.7;20.8;8.0;7.0;11.8;;;;;;;50.3;33.4;23.8;25.0;0.5;7.9;10.7;16.7;6.5;91.4;;;;58.5;47.9;75.8;8.0;43.4;6.2;79.1;3.6;46.2;5.7;36.7;5.3;12.0;2.1;7.6;10.5;11.5;8.8;;;;47.6;50.6;13.9;24.3;51.7;21.2;6.9;12.9;31.5;67.3;12.5;27.8;71.1;34.4;74.0;33.8;74.6;21.3;85.8;18.9;87.8;58.2;30.7;13.3;8.7;6.1;16.8;50.4;18.3;18.6;11.5;5.0;3.3;7.3;10.6;25.2;30.2;43.7;13.7;32.7;24.0;29.1;13.0;9.0;10.1;9.4;22.8;23.4;52.4
552;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2014/2015;71.1;11.6;;40.0;7.0;2.2;4.6;0.1;0.6;1.7;2.3;17.2;5.3;6.6;4.1;4.3;4.7;10.2;11.4;13.2;8.9;16.5;20.0;2.0;4.3;5.9;18.8;0.2;1.8;9.9;11.9;3.0;3.8;7.7;33.3;1.7;1.7;2.9;8.5;2.6;34.9;;13.5;13.5;0.2;3.8;4.2;9.0;3.9;88.6;;;;51.2;38.1;69.0;5.5;43.7;3.9;80.8;3.1;32.6;1.8;25.5;4.7;8.3;0.8;6.6;8.4;9.1;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2016/2017;72.3;10.9;;42.2;6.3;1.2;5.1;0.5;0.6;2.0;2.0;17.3;6.2;6.5;4.3;5.4;4.7;8.9;12.2;13.2;9.9;19.1;24.1;3.0;5.8;6.3;16.8;0.2;1.8;7.0;14.3;3.5;3.7;8.0;31.8;1.1;2.5;2.8;9.7;2.7;34.7;;16.0;12.8;0.2;2.7;3.6;9.5;2.6;87.6;4.0;6.1;3.9;50.7;41.9;69.8;5.4;39.8;3.8;84.7;2.9;40.2;3.2;30.5;4.6;7.5;0.7;6.7;7.7;8.3;2.6;1.9;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2018/2019;70.8;12.0;;40.9;7.6;0.9;6.7;0.2;0.4;2.0;2.5;15.4;4.7;4.8;;;6.3;9.9;15.1;14.2;;20.7;20.1;;;8.6;19.7;0.1;1.9;8.7;14.7;3.0;2.7;10.0;;;;;;;37.5;22.6;16.0;12.1;0.2;2.3;3.8;9.2;3.4;88.8;;;;49.3;41.0;69.1;5.9;41.5;3.5;82.4;3.3;42.7;2.8;32.6;4.6;8.2;1.0;6.2;6.7;8.9;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2020/2021;75.2;10.9;69.1;40.0;7.5;1.9;5.6;0.1;0.3;1.6;2.0;14.9;6.0;5.3;;;5.2;10.4;14.6;13.3;;18.1;19.2;;;6.0;21.3;0.1;1.0;7.7;14.5;2.2;3.3;5.5;;;;;;;33.8;20.4;12.7;13.2;0.2;3.5;4.7;8.1;2.6;89.7;;;;47.4;43.0;67.1;5.3;37.7;3.4;84.1;3.4;42.8;3.5;30.4;3.7;9.0;1.0;5.9;5.1;8.2;2.0;;;;49.2;51.8;14.6;26.2;46.2;11.1;1.8;5.4;19.4;75.2;4.7;18.0;77.3;20.1;79.9;20.5;79.5;12.0;88.0;10.6;89.4;59.1;28.2;7.0;4.2;1.5;16.1;50.1;16.4;11.8;3.4;2.2;1.1;2.1;2.7;19.4;29.6;45.0;11.7;39.0;21.7;18.6;5.4;3.6;3.2;4.0;16.1;17.5;59.2
556;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2014/2015;68.2;9.5;;36.9;5.3;1.3;3.3;0.0;0.1;0.8;1.3;14.8;3.8;5.0;2.8;3.0;3.3;8.2;9.4;11.0;7.1;14.1;17.5;1.1;3.0;4.4;16.3;0.0;1.0;8.0;9.8;1.9;2.6;6.0;30.3;0.9;0.8;1.9;6.7;1.6;31.9;;11.3;11.1;0.2;2.4;2.8;7.0;2.6;86.5;;;;48.0;35.0;66.1;4.6;40.5;3.0;78.2;2.4;29.6;1.0;22.7;3.8;6.6;0.5;5.0;6.6;7.2;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2016/2017;69.5;8.9;;39.1;4.7;0.5;3.7;0.1;0.1;1.1;1.1;14.9;4.7;5.0;3.0;3.9;3.3;7.1;10.2;11.0;8.0;16.6;21.4;2.0;4.3;4.7;14.4;0.0;1.0;5.4;12.1;2.3;2.5;6.3;28.9;0.4;1.5;1.8;7.8;1.7;31.7;;13.7;10.7;0.2;1.7;2.4;7.6;1.6;85.5;2.8;4.6;2.7;47.6;38.8;66.9;4.7;36.7;3.1;82.4;2.5;37.1;2.1;27.6;3.8;5.9;0.5;5.1;6.0;6.6;1.6;1.0;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2018/2019;67.9;9.9;;37.7;5.9;0.3;5.1;0.0;0.0;1.1;1.5;13.1;3.4;3.5;;;4.8;8.0;12.8;12.0;;18.1;17.5;;;6.8;17.1;0.0;1.0;6.9;12.4;1.9;1.7;8.1;;;;;;;34.4;19.9;13.7;10.1;0.2;1.4;2.6;7.4;2.3;86.8;;;;46.1;37.8;66.2;4.9;38.4;2.9;79.9;2.7;39.5;1.7;29.6;3.8;6.5;0.6;4.7;5.1;7.1;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2020/2021;72.0;8.9;65.7;36.6;5.8;1.1;4.2;0.0;0.1;0.9;1.2;12.5;4.5;3.9;;;3.8;8.4;12.2;11.1;;15.5;16.6;;;4.5;18.5;0.0;0.5;6.0;12.2;1.4;2.2;4.1;;;;;;;30.5;17.7;10.5;10.9;0.2;2.4;3.4;6.3;1.7;87.2;;;;43.8;39.4;63.6;4.5;34.3;2.5;81.2;2.8;39.2;2.5;27.2;2.9;7.2;0.6;4.4;3.8;6.4;1.3;;;;48.5;51.1;12.3;23.2;42.6;9.1;1.1;4.0;16.8;71.9;3.4;15.4;74.1;17.4;76.8;17.8;76.4;9.8;85.5;8.6;87.0;55.5;25.1;5.4;2.9;0.8;13.6;46.5;14.0;9.6;2.3;1.4;0.6;1.2;1.7;16.7;26.5;41.4;9.6;35.6;18.9;15.9;4.0;2.4;2.1;2.8;13.6;15.0;55.6
560;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2014/2015;74.0;13.6;;43.1;8.6;3.2;5.9;0.3;1.1;2.5;3.3;19.6;6.7;8.2;5.3;5.6;6.0;12.1;13.4;15.4;10.8;18.8;22.6;2.9;5.7;7.4;21.3;0.4;2.7;11.8;14.0;4.1;5.1;9.4;36.4;2.6;2.5;4.0;10.3;3.6;38.0;;15.7;15.9;0.3;5.1;5.6;11.1;5.1;90.6;;;;54.4;41.2;72.0;6.4;46.9;4.8;83.3;3.8;35.6;2.7;28.3;5.6;10.1;1.0;8.1;10.2;10.9;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2016/2017;75.1;12.9;;45.3;7.8;1.9;6.4;1.0;1.1;2.8;2.9;19.6;7.7;8.1;5.5;6.8;6.0;10.7;14.3;15.3;11.8;21.5;26.8;4.1;7.2;7.8;19.1;0.4;2.6;8.6;16.5;4.7;4.9;9.7;34.7;1.7;3.5;3.9;11.5;3.7;37.7;;18.3;14.9;0.3;3.7;4.7;11.3;3.6;89.7;5.3;7.6;5.1;53.9;45.0;72.6;6.1;42.9;4.5;87.0;3.3;43.2;4.3;33.4;5.4;9.2;0.9;8.3;9.4;10.0;3.6;2.7;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2018/2019;73.7;14.1;;44.0;9.3;1.5;8.3;0.5;0.8;2.9;3.5;17.7;6.1;6.2;;;7.9;11.8;17.3;16.5;;23.3;22.6;;;10.3;22.2;0.3;2.7;10.5;17.0;4.1;3.7;11.9;;;;;;;40.6;25.3;18.4;14.2;0.3;3.3;5.0;11.1;4.6;90.8;;;;52.5;44.1;72.1;6.8;44.7;4.1;84.8;4.0;45.8;3.8;35.6;5.5;10.0;1.4;7.8;8.3;10.8;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2020/2021;78.2;13.5;72.4;43.6;9.7;3.3;7.5;0.6;1.1;2.7;3.2;17.6;8.0;7.2;;;7.1;12.7;17.3;15.9;;21.0;22.2;;;7.8;24.3;0.7;1.9;9.8;17.2;3.6;4.9;7.2;;;;;;;37.3;23.5;15.3;15.9;0.3;5.0;6.6;10.3;3.9;91.8;;;;51.0;46.5;70.4;6.0;41.3;4.2;86.6;3.9;46.3;5.0;33.8;4.4;11.2;1.4;7.9;6.9;10.3;3.3;;;;49.9;52.4;17.3;29.5;49.8;13.6;3.0;7.3;22.4;78.1;6.6;20.9;80.2;23.2;82.6;23.6;82.2;14.5;90.2;13.0;91.4;62.6;31.5;9.1;6.0;2.6;18.9;53.7;19.3;14.4;5.1;3.5;2.1;3.5;4.3;22.4;33.0;48.6;14.2;42.6;24.8;21.6;7.2;5.2;4.7;5.7;18.9;20.4;62.7
564;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2014/2015;76.1;10.3;;38.2;5.0;0.5;4.5;0.3;0.2;1.5;2.5;16.6;6.0;6.5;3.6;5.1;3.6;8.5;11.7;11.9;9.2;17.9;20.6;1.8;3.6;5.2;16.1;0.4;1.6;6.0;12.0;2.9;2.4;7.3;28.7;2.1;2.2;2.8;7.4;2.3;31.3;;13.7;11.1;0.2;2.2;3.9;6.3;3.9;89.0;;;;52.1;36.9;70.7;5.2;42.2;3.6;84.3;2.8;37.3;3.1;28.6;4.4;7.1;0.7;6.6;7.2;9.4;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2016/2017;75.3;9.9;;35.2;4.8;0.6;4.1;0.3;0.2;1.4;2.2;16.4;4.5;4.5;4.1;4.0;4.3;8.3;11.1;13.8;7.2;16.8;18.8;1.7;3.4;5.6;16.9;0.5;1.7;7.5;13.1;1.9;2.3;8.5;33.3;1.5;2.7;3.1;8.8;2.1;31.7;;14.8;9.2;0.1;2.5;2.9;5.5;2.3;89.1;2.7;5.7;2.5;48.1;40.0;68.9;5.6;42.3;3.6;86.7;3.2;43.6;2.4;32.2;4.7;8.4;0.8;8.1;6.6;9.6;1.7;2.7;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2018/2019;76.6;9.5;;36.6;6.4;0.9;5.4;0.6;0.6;2.3;2.1;15.3;5.3;4.5;;;4.1;7.3;9.5;12.7;;17.4;18.8;;;5.4;16.4;0.4;1.5;6.4;12.8;3.0;2.6;7.7;;;;;;;32.0;18.7;11.9;8.7;0.1;2.3;2.0;5.3;3.5;88.1;;;;46.5;40.6;69.2;5.1;41.8;3.8;88.2;3.3;44.2;4.0;32.7;3.9;8.3;0.6;6.5;6.0;9.7;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2020/2021;81.8;10.0;69.6;37.4;4.3;0.9;3.3;0.4;0.2;1.4;2.4;16.3;5.3;4.5;;;5.0;8.6;8.7;9.8;;19.7;17.3;;;6.2;17.5;0.2;1.1;5.6;14.8;2.4;2.0;7.9;;;;;;;29.6;20.7;10.6;8.7;0.1;2.1;3.2;5.1;4.2;91.4;;;;43.8;43.8;63.2;5.1;39.5;4.2;86.4;3.0;49.3;3.4;28.3;3.2;8.1;0.8;7.3;4.7;8.2;2.2;;;;50.1;51.9;15.6;28.7;45.7;8.4;1.5;3.9;17.1;79.0;3.5;15.8;80.7;17.7;82.3;17.0;83.0;11.2;88.8;10.2;89.8;64.1;25.3;6.6;2.5;1.5;13.7;53.7;18.3;8.7;3.8;1.9;0.8;1.4;3.6;17.2;31.9;45.2;10.6;38.5;25.6;16.2;7.0;2.1;3.0;3.6;14.0;18.6;60.8
568;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2014/2015;73.8;8.6;;35.5;3.8;0.1;3.4;0.0;0.0;0.9;1.7;14.6;4.7;5.2;2.6;3.9;2.6;7.0;9.9;10.1;7.6;15.8;18.4;1.1;2.6;4.0;14.1;0.0;1.0;4.7;10.3;2.0;1.6;5.9;26.2;1.3;1.4;1.9;6.0;1.5;28.8;;11.8;9.2;0.1;1.4;2.7;4.9;2.8;87.3;;;;49.4;34.3;68.2;4.5;39.5;3.1;82.3;2.4;34.7;2.2;26.1;3.8;5.7;0.5;5.3;5.8;7.8;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2016/2017;72.9;8.3;;32.6;3.7;0.2;3.0;0.0;0.0;0.8;1.4;14.4;3.4;3.3;3.0;2.9;3.2;6.8;9.4;11.9;5.8;14.8;16.7;1.0;2.4;4.4;14.9;0.1;1.0;6.1;11.3;1.2;1.5;7.0;30.7;0.8;1.8;2.2;7.3;1.3;29.2;;12.9;7.6;0.1;1.7;2.0;4.3;1.5;87.4;1.8;4.4;1.6;45.4;37.4;66.4;5.0;39.7;2.8;84.8;2.9;40.9;1.6;29.6;3.9;6.9;0.5;6.7;5.3;8.0;1.0;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2018/2019;74.3;8.0;;34.0;5.1;0.4;4.2;0.2;0.2;1.5;1.4;13.4;4.1;3.4;;;3.1;5.9;7.9;10.9;;15.4;16.7;;;4.2;14.4;0.0;0.9;5.1;11.0;2.1;1.7;6.3;;;;;;;29.5;16.6;10.2;7.2;0.1;1.5;1.3;4.1;2.6;86.4;;;;43.8;38.0;66.7;4.6;39.2;3.1;86.5;2.9;41.6;3.0;30.2;3.4;6.8;0.4;5.2;4.7;8.2;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2020/2021;79.4;8.4;66.8;34.6;3.2;0.5;2.4;0.1;0.1;0.8;1.7;14.3;4.2;3.5;;;3.9;7.1;7.3;8.2;;17.5;15.2;;;5.0;15.4;0.1;0.6;4.4;12.9;1.7;1.3;6.5;;;;;;;27.0;18.5;9.0;7.2;0.1;1.4;2.3;4.0;3.2;89.6;;;;41.0;40.9;60.4;4.4;36.7;3.3;84.3;2.6;46.4;2.5;25.8;2.7;6.7;0.5;6.0;3.6;6.8;1.5;;;;49.6;51.4;13.6;26.2;42.8;7.0;1.0;2.9;15.1;76.5;2.6;13.8;78.3;15.6;80.0;15.0;80.7;9.5;86.8;8.5;88.0;61.3;22.9;5.3;1.7;0.9;11.8;50.8;16.1;7.2;2.8;1.2;0.4;0.9;2.6;15.1;29.2;42.3;8.9;35.7;23.1;14.2;5.7;1.4;2.1;2.7;12.1;16.5;57.9
572;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2014/2015;78.5;11.9;;40.8;6.2;0.9;5.6;0.6;0.4;2.2;3.4;18.7;7.3;7.9;4.6;6.3;4.7;10.1;13.4;13.7;10.7;20.0;22.8;2.5;4.6;6.4;18.1;0.7;2.3;7.3;13.8;3.8;3.3;8.7;31.1;2.9;3.0;3.7;8.9;3.1;33.8;;15.6;12.9;0.2;3.1;5.0;7.7;4.9;90.7;;;;54.8;39.5;73.2;5.8;44.9;4.2;86.3;3.1;40.0;4.0;31.1;5.0;8.5;0.9;8.0;8.6;11.0;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2016/2017;77.6;11.5;;37.8;6.0;1.1;5.2;0.5;0.4;2.0;3.0;18.4;5.7;5.6;5.1;5.0;5.4;9.8;12.8;15.7;8.6;18.8;20.9;2.4;4.4;6.8;18.9;0.9;2.4;8.9;14.9;2.6;3.2;10.0;35.8;2.2;3.6;4.0;10.4;2.9;34.2;;16.7;10.8;0.2;3.4;3.9;6.8;3.1;90.8;3.6;6.9;3.3;50.8;42.6;71.4;6.2;45.0;4.3;88.5;3.6;46.3;3.3;34.7;5.5;9.8;1.1;9.6;8.0;11.2;2.4;3.6;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2018/2019;78.8;11.1;;39.1;7.7;1.5;6.6;1.0;1.0;3.1;2.9;17.2;6.5;5.6;;;5.2;8.7;11.0;14.5;;19.4;20.8;;;6.6;18.4;0.7;2.2;7.7;14.6;3.9;3.4;9.1;;;;;;;34.5;20.8;13.6;10.2;0.2;3.1;2.7;6.5;4.5;89.8;;;;49.1;43.2;71.6;5.6;44.4;4.5;89.9;3.7;46.9;5.0;35.2;4.5;9.8;0.7;7.8;7.2;11.3;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2020/2021;83.9;11.9;72.2;40.2;5.6;1.6;4.6;0.9;0.6;2.3;3.5;18.6;6.8;5.9;;;6.5;10.3;10.5;11.7;;22.1;19.6;;;7.8;19.8;1.0;1.9;7.2;17.0;3.4;3.0;9.6;;;;;;;32.3;23.2;12.5;10.6;0.2;3.2;4.4;6.5;5.5;93.0;;;;46.7;46.7;66.0;5.9;42.4;5.1;88.4;3.5;52.2;4.6;31.0;3.7;9.8;1.1;9.0;6.1;9.9;3.2;;;;50.7;52.4;17.8;31.4;48.6;10.2;2.5;5.2;19.4;81.2;4.8;18.0;82.9;20.0;84.4;19.3;85.0;13.2;90.5;12.0;91.5;66.8;27.9;8.2;3.5;2.4;15.8;56.6;20.6;10.5;5.2;2.8;1.6;2.3;4.9;19.6;34.6;48.1;12.5;41.4;28.2;18.5;8.7;3.1;4.2;4.9;16.1;21.0;63.6
576;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2014/2015;84.1;6.4;;30.7;3.6;0.6;3.0;0.1;0.4;1.2;1.8;12.8;4.1;3.7;3.0;4.0;4.0;5.9;9.4;10.4;7.0;15.0;17.7;1.5;1.3;4.6;14.5;0.0;1.0;4.6;10.7;2.1;2.8;8.7;29.8;1.1;1.9;2.2;8.0;2.5;25.0;;9.3;7.4;0.1;1.2;2.5;4.5;2.5;91.5;;;;45.7;41.0;66.7;4.2;39.5;3.0;89.3;3.1;40.2;3.1;30.9;3.9;6.8;0.5;7.7;6.5;7.2;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2016/2017;83.5;7.4;;32.1;4.6;0.7;3.9;0.3;0.3;1.1;1.9;11.9;3.9;2.9;2.4;4.7;3.8;6.3;8.6;11.1;7.0;16.5;18.0;1.6;1.7;4.6;13.9;0.2;1.6;5.1;11.2;2.1;1.9;8.4;29.2;1.2;1.9;2.7;8.8;2.0;24.7;;8.9;6.1;0.1;1.7;1.7;3.5;3.4;92.1;2.4;4.6;2.3;46.2;40.6;67.8;5.0;38.9;3.3;89.1;3.3;45.2;3.9;32.8;4.2;8.4;0.8;8.3;5.3;7.8;1.4;2.6;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Totaal mannen en vrouwen;53715;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2018/2019;83.5;6.0;;31.4;2.9;0.7;2.1;0.1;0.3;1.5;2.3;11.2;5.2;3.0;;;3.6;6.7;8.2;10.0;;18.0;16.8;;;6.0;13.9;0.0;0.8;3.6;12.1;1.8;2.2;8.8;;;;;;;26.0;18.3;8.5;5.8;0.1;1.7;1.9;3.0;3.4;91.0;;;;44.7;44.7;67.4;4.4;41.6;3.3;90.7;3.3;50.4;4.0;33.9;4.0;6.3;0.6;6.7;5.0;8.6;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
