ID;SectorBranchesSIC2008;Periods;TurnoverIndicesOnlineSales_1;TurnoverYearOnYearChange_2
461;4791 Retail sale via internet;2018 4th quarter;191.4;9.6
462;4791 Retail sale via internet;2018;163.8;12.9
463;4791 Retail sale via internet;2019 January;174.8;11.4
464;4791 Retail sale via internet;2019 February;152.7;11.9
465;4791 Retail sale via internet;2019 March;174.8;13.6
466;4791 Retail sale via internet;2019 1st quarter;167.5;12.3
467;4791 Retail sale via internet;2019 April;168.2;13.4
468;4791 Retail sale via internet;2019 May;187.0;19.4
469;4791 Retail sale via internet;2019 June;182.9;11.8
470;4791 Retail sale via internet;2019 2nd quarter;179.3;14.9
471;4791 Retail sale via internet;2019 July;184.7;15.3
472;4791 Retail sale via internet;2019 August;175.6;12.7
473;4791 Retail sale via internet;2019 September;186.7;16.8
474;4791 Retail sale via internet;2019 3rd quarter;182.4;14.9
475;4791 Retail sale via internet;2019 October;185.8;10.3
476;4791 Retail sale via internet;2019 November;221.6;9.8
477;4791 Retail sale via internet;2019 December;248.9;22.2
478;4791 Retail sale via internet;2019 4th quarter;218.8;14.3
479;4791 Retail sale via internet;2019;187.0;14.1
480;4791 Retail sale via internet;2020 January;196.6;12.5
481;4791 Retail sale via internet;2020 February;177.6;16.3
482;4791 Retail sale via internet;2020 March;221.7;26.8
483;4791 Retail sale via internet;2020 1st quarter;198.7;18.6
484;4791 Retail sale via internet;2020 April;257.1;52.9
485;4791 Retail sale via internet;2020 May;267.0;42.8
486;4791 Retail sale via internet;2020 June ;260.0;42.2
487;4791 Retail sale via internet;2020 2nd quarter;261.3;45.7
488;4791 Retail sale via internet;2020 July;241.3;30.6
489;4791 Retail sale via internet;2020 August;236.3;34.6
490;4791 Retail sale via internet;2020 September;242.9;30.0
491;4791 Retail sale via internet;2020 3rd quarter;240.2;31.7
492;4791 Retail sale via internet;2020 October;271.3;46.0
493;4791 Retail sale via internet;2020 November;324.9;46.6
494;4791 Retail sale via internet;2020 December;348.8;40.1
495;4791 Retail sale via internet;2020 4th quarter;315.0;44.0
496;4791 Retail sale via internet;2020;253.8;35.7
497;4791 Retail sale via internet;2021 January;321.6;63.6
498;4791 Retail sale via internet;2021 February;292.8;64.8
499;4791 Retail sale via internet;2021 March;331.6;49.6
500;4791 Retail sale via internet;2021 1st quarter;315.3;58.7
501;4791 Retail sale via internet;2021 April;303.6;18.1
502;4791 Retail sale via internet;2021 May;308.3;15.5
503;4791 Retail sale via internet;2021 June;301.1;15.8
504;4791 Retail sale via internet;2021 2nd quarter;304.3;16.5
505;4791 Retail sale via internet;2021 July;274.2;13.6
506;4791 Retail sale via internet;2021 August;264.6;12.0
507;4791 Retail sale via internet;2021 September;275.5;13.4
508;4791 Retail sale via internet;2021 3rd quarter;271.4;13.0
509;4791 Retail sale via internet;2021 October;282.6;4.2
510;4791 Retail sale via internet;2021 November;359.0;10.5
511;4791 Retail sale via internet;2021 December;375.3;7.6
512;4791 Retail sale via internet;2021 4th quarter;338.9;7.6
513;4791 Retail sale via internet;2021;307.5;21.2
514;4791 Retail sale via internet;2022 January;316.7;-1.5
515;4791 Retail sale via internet;2022 February;261.7;-10.6
516;4791 Retail sale via internet;2022 March;287.1;-13.4
517;4791 Retail sale via internet;2022 1st quarter;288.5;-8.5
518;4791 Retail sale via internet;2022 April;274.1;-9.7
519;4791 Retail sale via internet;2022 May;302.9;-1.7
520;4791 Retail sale via internet;2022 June;295.7;-1.8
521;4791 Retail sale via internet;2022 2nd quarter;290.9;-4.4
522;4791 Retail sale via internet;2022 July;286.9;4.6
523;4791 Retail sale via internet;2022 August;272.9;3.1
524;4791 Retail sale via internet;2022 September;290.0;5.3
525;4791 Retail sale via internet;2022 3rd quarter;283.3;4.4
526;4791 Retail sale via internet;2022 October;302.4;7.0
527;4791 Retail sale via internet;2022 November;379.3;5.7
528;4791 Retail sale via internet;2022 December;359.8;-4.1
529;4791 Retail sale via internet;2022 4th quarter;347.2;2.4
530;4791 Retail sale via internet;2022;302.5;-1.6
531;4791 Retail sale via internet;2023 January;317.2;0.2
532;4791 Retail sale via internet;2023 February;279.4;6.7
533;4791 Retail sale via internet;2023 March;316.2;10.1
534;4791 Retail sale via internet;2023 1st quarter;304.3;5.5
535;4791 Retail sale via internet;2023 April;283.8;3.6
536;4791 Retail sale via internet;2023 May;311.3;2.8
537;4791 Retail sale via internet;2023 June;300.6;1.7
538;4791 Retail sale via internet;2023 2nd quarter;298.6;2.6
539;4791 Retail sale via internet;2023 July;293.0;2.1
540;4791 Retail sale via internet;2023 August;281.4;3.1
541;4791 Retail sale via internet;2023 September;301.4;3.9
542;4791 Retail sale via internet;2023 3rd quarter;292.0;3.1
543;4791 Retail sale via internet;2023 October;323.0;6.8
544;4791 Retail sale via internet;2023 November;392.5;3.5
545;4791 Retail sale via internet;2023 December;360.1;0.1
546;4791 Retail sale via internet;2023 4th quarter;358.5;3.3
547;4791 Retail sale via internet;2023;313.3;3.6
548;4791 Retail sale via internet;2024 January;328.5;3.6
549;4791 Retail sale via internet;2024 February;303.6;8.7
550;4791 Retail sale via internet;2024 March;328.1;3.8
551;4791 Retail sale via internet;2024 1st quarter;320.1;5.2
552;4791 Retail sale via internet;2024 April;317.1;11.7
553;4791 Retail sale via internet;2024 May;333.0;7.0
554;4791 Retail sale via internet;2024 June;327.4;8.9
555;4791 Retail sale via internet;2024 2th quarter;325.8;9.1
556;4791 Retail sale via internet;2024 July;328.0;11.9
557;4791 Retail sale via internet;2024 August;311.3;10.6
558;4791 Retail sale via internet;2024 September;335.9;11.4
559;4791 Retail sale via internet;2024 3th quarter;325.1;11.3
560;4791 Retail sale via internet;2024 October;351.7;8.9
561;4791 Retail sale via internet;2024 November;406.9;3.7
562;4791 Retail sale via internet;2024 December;412.5;14.5
563;4791 Retail sale via internet;2024 4th quarter;390.4;8.9
564;4791 Retail sale via internet;2024;340.3;8.6
565;4791 Retail sale via internet;2025 January;347.5;5.8
566;4791 Retail sale via internet;2025 February;324.6;6.9
567;Retail sale of food and drugstore items;2014 January;;
568;Retail sale of food and drugstore items;2014 February;;
569;Retail sale of food and drugstore items;2014 March;;
570;Retail sale of food and drugstore items;2014 1st quarter;;
571;Retail sale of food and drugstore items;2014 April;;
572;Retail sale of food and drugstore items;2014 May;;
573;Retail sale of food and drugstore items;2014 June;;
574;Retail sale of food and drugstore items;2014 2nd quarter;;
575;Retail sale of food and drugstore items;2014 July;;
576;Retail sale of food and drugstore items;2014 August;;
577;Retail sale of food and drugstore items;2014 September;;
578;Retail sale of food and drugstore items;2014 3rd quarter;;
579;Retail sale of food and drugstore items;2014 October;;
580;Retail sale of food and drugstore items;2014 November;;
581;Retail sale of food and drugstore items;2014 December;;
582;Retail sale of food and drugstore items;2014 4th quarter;;
583;Retail sale of food and drugstore items;2014;;
584;Retail sale of food and drugstore items;2015 January;86.9;
585;Retail sale of food and drugstore items;2015 February;81.1;
586;Retail sale of food and drugstore items;2015 March;89.4;
587;Retail sale of food and drugstore items;2015 1st quarter;85.8;
588;Retail sale of food and drugstore items;2015 April;94.2;
589;Retail sale of food and drugstore items;2015 May;92.1;
590;Retail sale of food and drugstore items;2015 June;98.4;
591;Retail sale of food and drugstore items;2015 2nd quarter;94.9;
592;Retail sale of food and drugstore items;2015 July;96.1;
593;Retail sale of food and drugstore items;2015 August;94.0;
594;Retail sale of food and drugstore items;2015 September;109.5;
595;Retail sale of food and drugstore items;2015 3rd quarter;99.9;
596;Retail sale of food and drugstore items;2015 October;114.0;
597;Retail sale of food and drugstore items;2015 November;115.6;
598;Retail sale of food and drugstore items;2015 December;128.8;
599;Retail sale of food and drugstore items;2015 4th quarter;119.5;
600;Retail sale of food and drugstore items;2015;100.0;
601;Retail sale of food and drugstore items;2016 January;122.5;41.1
602;Retail sale of food and drugstore items;2016 February;113.2;39.6
603;Retail sale of food and drugstore items;2016 March;131.1;46.7
604;Retail sale of food and drugstore items;2016 1st quarter;122.3;42.6
605;Retail sale of food and drugstore items;2016 April;121.0;28.5
606;Retail sale of food and drugstore items;2016 May;119.6;29.8
607;Retail sale of food and drugstore items;2016 June;123.2;25.2
608;Retail sale of food and drugstore items;2016 2nd quarter;121.3;27.8
609;Retail sale of food and drugstore items;2016 July;112.9;17.6
610;Retail sale of food and drugstore items;2016 August;112.9;20.0
611;Retail sale of food and drugstore items;2016 September;124.1;13.3
612;Retail sale of food and drugstore items;2016 3rd quarter;116.6;16.8
613;Retail sale of food and drugstore items;2016 October;136.5;19.8
614;Retail sale of food and drugstore items;2016 November;146.3;26.5
615;Retail sale of food and drugstore items;2016 December;154.0;19.6
616;Retail sale of food and drugstore items;2016 4th quarter;145.6;21.9
617;Retail sale of food and drugstore items;2016;126.4;26.4
618;Retail sale of food and drugstore items;2017 January;151.2;23.4
619;Retail sale of food and drugstore items;2017 February;138.8;22.7
620;Retail sale of food and drugstore items;2017 March;158.2;20.7
621;Retail sale of food and drugstore items;2017 1st quarter;149.4;22.2
622;Retail sale of food and drugstore items;2017 April;159.3;31.6
623;Retail sale of food and drugstore items;2017 May;166.6;39.3
624;Retail sale of food and drugstore items;2017 June;166.6;35.3
625;Retail sale of food and drugstore items;2017 2nd quarter;164.2;35.4
626;Retail sale of food and drugstore items;2017 July;153.4;35.8
627;Retail sale of food and drugstore items;2017 August;156.3;38.5
628;Retail sale of food and drugstore items;2017 September;169.6;36.7
629;Retail sale of food and drugstore items;2017 3rd quarter;159.8;37.0
630;Retail sale of food and drugstore items;2017 October;190.7;39.7
631;Retail sale of food and drugstore items;2017 November;207.2;41.6
632;Retail sale of food and drugstore items;2017 December;215.4;39.9
633;Retail sale of food and drugstore items;2017 4th quarter;204.4;40.4
634;Retail sale of food and drugstore items;2017;169.5;34.0
635;Retail sale of food and drugstore items;2018 January;207.5;37.2
636;Retail sale of food and drugstore items;2018 February;188.7;35.9
637;Retail sale of food and drugstore items;2018 March;221.5;40.0
638;Retail sale of food and drugstore items;2018 1st quarter;205.9;37.8
639;Retail sale of food and drugstore items;2018 April;209.3;31.4
640;Retail sale of food and drugstore items;2018 May;213.6;28.2
641;Retail sale of food and drugstore items;2018 June;210.8;26.5
642;Retail sale of food and drugstore items;2018 2nd quarter;211.2;28.7
643;Retail sale of food and drugstore items;2018 July;198.7;29.5
644;Retail sale of food and drugstore items;2018 August;185.0;18.4
645;Retail sale of food and drugstore items;2018 September;207.2;22.2
646;Retail sale of food and drugstore items;2018 3rd quarter;197.0;23.3
647;Retail sale of food and drugstore items;2018 October;234.7;23.1
648;Retail sale of food and drugstore items;2018 November;257.2;24.2
649;Retail sale of food and drugstore items;2018 December;242.9;12.8
650;Retail sale of food and drugstore items;2018 4th quarter;244.9;19.8
651;Retail sale of food and drugstore items;2018;214.8;26.7
652;Retail sale of food and drugstore items;2019 January;251.3;21.1
653;Retail sale of food and drugstore items;2019 February;236.4;25.3
654;Retail sale of food and drugstore items;2019 March;268.5;21.2
655;Retail sale of food and drugstore items;2019 1st quarter;252.1;22.4
656;Retail sale of food and drugstore items;2019 April;268.9;28.5
657;Retail sale of food and drugstore items;2019 May;273.7;28.1
658;Retail sale of food and drugstore items;2019 June;273.3;29.6
659;Retail sale of food and drugstore items;2019 2nd quarter;271.9;28.7
660;Retail sale of food and drugstore items;2019 July;245.3;23.4
661;Retail sale of food and drugstore items;2019 August;248.3;34.2
662;Retail sale of food and drugstore items;2019 September;274.8;32.6
663;Retail sale of food and drugstore items;2019 3rd quarter;256.1;30.0
664;Retail sale of food and drugstore items;2019 October;296.4;26.3
665;Retail sale of food and drugstore items;2019 November;316.8;23.2
666;Retail sale of food and drugstore items;2019 December;318.2;31.0
667;Retail sale of food and drugstore items;2019 4th quarter;310.5;26.8
668;Retail sale of food and drugstore items;2019;272.7;27.0
669;Retail sale of food and drugstore items;2020 January;305.7;21.6
670;Retail sale of food and drugstore items;2020 February;292.7;23.8
671;Retail sale of food and drugstore items;2020 March;385.4;43.5
672;Retail sale of food and drugstore items;2020 1st quarter;327.9;30.1
673;Retail sale of food and drugstore items;2020 April;414.7;54.2
674;Retail sale of food and drugstore items;2020 May;441.3;61.2
675;Retail sale of food and drugstore items;2020 June ;432.9;58.4
676;Retail sale of food and drugstore items;2020 2nd quarter;429.6;58.0
677;Retail sale of food and drugstore items;2020 July;399.6;62.9
678;Retail sale of food and drugstore items;2020 August;377.0;51.8
679;Retail sale of food and drugstore items;2020 September;412.1;50.0
680;Retail sale of food and drugstore items;2020 3rd quarter;396.2;54.7
681;Retail sale of food and drugstore items;2020 October;467.3;57.6
682;Retail sale of food and drugstore items;2020 November;504.4;59.2
683;Retail sale of food and drugstore items;2020 December;544.6;71.2
684;Retail sale of food and drugstore items;2020 4th quarter;505.4;62.8
685;Retail sale of food and drugstore items;2020;414.8;52.1
686;Retail sale of food and drugstore items;2021 January;546.8;78.9
687;Retail sale of food and drugstore items;2021 February;522.5;78.5
688;Retail sale of food and drugstore items;2021 March;598.8;55.4
689;Retail sale of food and drugstore items;2021 1st quarter;556.0;69.6
690;Retail sale of food and drugstore items;2021 April;564.2;36.1
691;Retail sale of food and drugstore items;2021 May;547.8;24.1
692;Retail sale of food and drugstore items;2021 June;544.8;25.9
693;Retail sale of food and drugstore items;2021 2nd quarter;552.3;28.6
694;Retail sale of food and drugstore items;2021 July;472.2;18.2
695;Retail sale of food and drugstore items;2021 August;439.7;16.6
696;Retail sale of food and drugstore items;2021 September;470.2;14.1
697;Retail sale of food and drugstore items;2021 3rd quarter;460.7;16.3
698;Retail sale of food and drugstore items;2021 October;504.8;8.0
699;Retail sale of food and drugstore items;2021 November;559.5;10.9
700;Retail sale of food and drugstore items;2021 December;580.2;6.5
701;Retail sale of food and drugstore items;2021 4th quarter;548.2;8.5
702;Retail sale of food and drugstore items;2021;529.3;27.6
703;Retail sale of food and drugstore items;2022 January;570.4;4.3
704;Retail sale of food and drugstore items;2022 February;530.5;1.5
705;Retail sale of food and drugstore items;2022 March;593.6;-0.9
706;Retail sale of food and drugstore items;2022 1st quarter;564.8;1.6
707;Retail sale of food and drugstore items;2022 April;552.4;-2.1
708;Retail sale of food and drugstore items;2022 May;539.4;-1.5
709;Retail sale of food and drugstore items;2022 June;542.6;-0.4
710;Retail sale of food and drugstore items;2022 2nd quarter;544.8;-1.3
711;Retail sale of food and drugstore items;2022 July;492.9;4.4
712;Retail sale of food and drugstore items;2022 August;468.3;6.5
713;Retail sale of food and drugstore items;2022 September;519.4;10.5
714;Retail sale of food and drugstore items;2022 3rd quarter;493.5;7.1
715;Retail sale of food and drugstore items;2022 October;557.5;10.5
716;Retail sale of food and drugstore items;2022 November;620.4;10.9
717;Retail sale of food and drugstore items;2022 December;643.3;10.9
718;Retail sale of food and drugstore items;2022 4th quarter;607.1;10.8
719;Retail sale of food and drugstore items;2022;552.6;4.4
720;Retail sale of food and drugstore items;2023 January;598.4;4.9
721;Retail sale of food and drugstore items;2023 February;547.0;3.1
722;Retail sale of food and drugstore items;2023 March;638.9;7.6
723;Retail sale of food and drugstore items;2023 1st quarter;594.7;5.3
724;Retail sale of food and drugstore items;2023 April;584.8;5.9
725;Retail sale of food and drugstore items;2023 May;619.9;14.9
726;Retail sale of food and drugstore items;2023 June;624.0;15.0
727;Retail sale of food and drugstore items;2023 2nd quarter;609.6;11.9
728;Retail sale of food and drugstore items;2023 July;560.3;13.7
729;Retail sale of food and drugstore items;2023 August;558.1;19.2
730;Retail sale of food and drugstore items;2023 September;584.7;12.6
731;Retail sale of food and drugstore items;2023 3rd quarter;567.7;15.0
732;Retail sale of food and drugstore items;2023 October;622.1;11.6
733;Retail sale of food and drugstore items;2023 November;676.3;9.0
734;Retail sale of food and drugstore items;2023 December;642.9;-0.1
735;Retail sale of food and drugstore items;2023 4th quarter;647.1;6.6
736;Retail sale of food and drugstore items;2023;604.8;9.5
737;Retail sale of food and drugstore items;2024 January;676.9;13.1
738;Retail sale of food and drugstore items;2024 February;614.8;12.4
739;Retail sale of food and drugstore items;2024 March;670.0;4.9
740;Retail sale of food and drugstore items;2024 1st quarter;653.9;10.0
741;Retail sale of food and drugstore items;2024 April;660.7;13.0
742;Retail sale of food and drugstore items;2024 May;656.3;5.9
743;Retail sale of food and drugstore items;2024 June;647.4;3.7
744;Retail sale of food and drugstore items;2024 2th quarter;654.8;7.4
745;Retail sale of food and drugstore items;2024 July;621.2;10.9
746;Retail sale of food and drugstore items;2024 August;609.4;9.2
747;Retail sale of food and drugstore items;2024 September;656.3;12.3
748;Retail sale of food and drugstore items;2024 3th quarter;629.0;10.8
749;Retail sale of food and drugstore items;2024 October;701.5;12.8
750;Retail sale of food and drugstore items;2024 November;745.6;10.2
751;Retail sale of food and drugstore items;2024 December;697.4;8.5
752;Retail sale of food and drugstore items;2024 4th quarter;714.9;10.5
753;Retail sale of food and drugstore items;2024;663.1;9.7
754;Retail sale of food and drugstore items;2025 January;717.1;6.0
755;Retail sale of food and drugstore items;2025 February;681.1;10.8
756;Retail sale of consumer electronics;2014 January;;
757;Retail sale of consumer electronics;2014 February;;
758;Retail sale of consumer electronics;2014 March;;
759;Retail sale of consumer electronics;2014 1st quarter;;
760;Retail sale of consumer electronics;2014 April;;
761;Retail sale of consumer electronics;2014 May;;
762;Retail sale of consumer electronics;2014 June;;
763;Retail sale of consumer electronics;2014 2nd quarter;;
764;Retail sale of consumer electronics;2014 July;;
765;Retail sale of consumer electronics;2014 August;;
766;Retail sale of consumer electronics;2014 September;;
767;Retail sale of consumer electronics;2014 3rd quarter;;
768;Retail sale of consumer electronics;2014 October;;
769;Retail sale of consumer electronics;2014 November;;
770;Retail sale of consumer electronics;2014 December;;
771;Retail sale of consumer electronics;2014 4th quarter;;
772;Retail sale of consumer electronics;2014;;
773;Retail sale of consumer electronics;2015 January;105.7;
774;Retail sale of consumer electronics;2015 February;85.0;
775;Retail sale of consumer electronics;2015 March;86.1;
776;Retail sale of consumer electronics;2015 1st quarter;92.3;
777;Retail sale of consumer electronics;2015 April;88.2;
778;Retail sale of consumer electronics;2015 May;85.9;
779;Retail sale of consumer electronics;2015 June;96.8;
780;Retail sale of consumer electronics;2015 2nd quarter;90.3;
781;Retail sale of consumer electronics;2015 July;99.8;
782;Retail sale of consumer electronics;2015 August;103.0;
783;Retail sale of consumer electronics;2015 September;100.5;
784;Retail sale of consumer electronics;2015 3rd quarter;101.1;
785;Retail sale of consumer electronics;2015 October;100.9;
786;Retail sale of consumer electronics;2015 November;108.3;
787;Retail sale of consumer electronics;2015 December;140.0;
788;Retail sale of consumer electronics;2015 4th quarter;116.4;
789;Retail sale of consumer electronics;2015;100.0;
790;Retail sale of consumer electronics;2016 January;133.0;25.9
791;Retail sale of consumer electronics;2016 February;112.6;32.4
792;Retail sale of consumer electronics;2016 March;110.0;27.7
793;Retail sale of consumer electronics;2016 1st quarter;118.5;28.4
794;Retail sale of consumer electronics;2016 April;98.1;11.3
795;Retail sale of consumer electronics;2016 May;116.1;35.2
796;Retail sale of consumer electronics;2016 June;129.0;33.3
797;Retail sale of consumer electronics;2016 2nd quarter;114.4;26.7
798;Retail sale of consumer electronics;2016 July;122.7;22.9
799;Retail sale of consumer electronics;2016 August;126.0;22.4
800;Retail sale of consumer electronics;2016 September;127.2;26.6
801;Retail sale of consumer electronics;2016 3rd quarter;125.3;23.9
802;Retail sale of consumer electronics;2016 October;124.4;23.4
803;Retail sale of consumer electronics;2016 November;139.8;29.0
804;Retail sale of consumer electronics;2016 December;152.5;8.9
805;Retail sale of consumer electronics;2016 4th quarter;138.9;19.3
806;Retail sale of consumer electronics;2016;124.3;24.3
807;Retail sale of consumer electronics;2017 January;162.0;21.8
808;Retail sale of consumer electronics;2017 February;118.4;5.2
809;Retail sale of consumer electronics;2017 March;127.1;15.6
810;Retail sale of consumer electronics;2017 1st quarter;135.9;14.6
811;Retail sale of consumer electronics;2017 April;116.4;18.6
812;Retail sale of consumer electronics;2017 May;141.6;22.0
813;Retail sale of consumer electronics;2017 June;142.5;10.4
814;Retail sale of consumer electronics;2017 2nd quarter;133.5;16.6
815;Retail sale of consumer electronics;2017 July;151.8;23.8
816;Retail sale of consumer electronics;2017 August;149.9;19.0
817;Retail sale of consumer electronics;2017 September;144.6;13.7
818;Retail sale of consumer electronics;2017 3rd quarter;148.8;18.7
819;Retail sale of consumer electronics;2017 October;143.9;15.6
820;Retail sale of consumer electronics;2017 November;172.3;23.3
821;Retail sale of consumer electronics;2017 December;178.5;17.1
822;Retail sale of consumer electronics;2017 4th quarter;164.9;18.7
823;Retail sale of consumer electronics;2017;145.7;17.3
824;Retail sale of consumer electronics;2018 January;194.1;19.8
825;Retail sale of consumer electronics;2018 February;131.1;10.7
826;Retail sale of consumer electronics;2018 March;153.8;21.0
827;Retail sale of consumer electronics;2018 1st quarter;159.7;17.5
828;Retail sale of consumer electronics;2018 April;139.1;19.6
829;Retail sale of consumer electronics;2018 May;166.8;17.8
830;Retail sale of consumer electronics;2018 June;175.4;23.1
831;Retail sale of consumer electronics;2018 2nd quarter;160.4;20.2
832;Retail sale of consumer electronics;2018 July;171.9;13.3
833;Retail sale of consumer electronics;2018 August;182.4;21.7
834;Retail sale of consumer electronics;2018 September;163.2;12.9
835;Retail sale of consumer electronics;2018 3rd quarter;172.5;16.0
836;Retail sale of consumer electronics;2018 October;174.4;21.2
837;Retail sale of consumer electronics;2018 November;227.8;32.2
838;Retail sale of consumer electronics;2018 December;208.1;16.6
839;Retail sale of consumer electronics;2018 4th quarter;203.5;23.4
840;Retail sale of consumer electronics;2018;174.0;19.4
841;Retail sale of consumer electronics;2019 January;223.7;15.3
842;Retail sale of consumer electronics;2019 February;155.3;18.5
843;Retail sale of consumer electronics;2019 March;194.8;26.6
844;Retail sale of consumer electronics;2019 1st quarter;191.3;19.8
845;Retail sale of consumer electronics;2019 April;161.3;16.0
846;Retail sale of consumer electronics;2019 May;207.2;24.2
847;Retail sale of consumer electronics;2019 June;189.7;8.1
848;Retail sale of consumer electronics;2019 2nd quarter;186.1;16.0
849;Retail sale of consumer electronics;2019 July;202.3;17.6
850;Retail sale of consumer electronics;2019 August;197.9;8.5
851;Retail sale of consumer electronics;2019 September;190.5;16.7
852;Retail sale of consumer electronics;2019 3rd quarter;196.9;14.1
853;Retail sale of consumer electronics;2019 October;206.7;18.5
854;Retail sale of consumer electronics;2019 November;240.1;5.4
855;Retail sale of consumer electronics;2019 December;275.8;32.5
856;Retail sale of consumer electronics;2019 4th quarter;240.8;18.4
857;Retail sale of consumer electronics;2019;203.8;17.1
858;Retail sale of consumer electronics;2020 January;241.7;8.0
859;Retail sale of consumer electronics;2020 February;175.5;13.1
860;Retail sale of consumer electronics;2020 March;251.9;29.4
861;Retail sale of consumer electronics;2020 1st quarter;223.0;16.6
862;Retail sale of consumer electronics;2020 April;290.8;80.3
863;Retail sale of consumer electronics;2020 May;298.5;44.0
864;Retail sale of consumer electronics;2020 June ;283.8;49.6
865;Retail sale of consumer electronics;2020 2nd quarter;291.0;56.4
866;Retail sale of consumer electronics;2020 July;251.8;24.5
867;Retail sale of consumer electronics;2020 August;258.0;30.4
868;Retail sale of consumer electronics;2020 September;241.8;27.0
869;Retail sale of consumer electronics;2020 3rd quarter;250.6;27.3
870;Retail sale of consumer electronics;2020 October;279.4;35.2
871;Retail sale of consumer electronics;2020 November;380.6;58.6
872;Retail sale of consumer electronics;2020 December;392.5;42.3
873;Retail sale of consumer electronics;2020 4th quarter;350.8;45.7
874;Retail sale of consumer electronics;2020;278.9;36.9
875;Retail sale of consumer electronics;2021 January;419.9;73.8
876;Retail sale of consumer electronics;2021 February;342.5;95.1
877;Retail sale of consumer electronics;2021 March;377.5;49.9
878;Retail sale of consumer electronics;2021 1st quarter;380.0;70.4
879;Retail sale of consumer electronics;2021 April;305.8;5.2
880;Retail sale of consumer electronics;2021 May;295.9;-0.8
881;Retail sale of consumer electronics;2021 June;286.7;1.0
882;Retail sale of consumer electronics;2021 2nd quarter;296.2;1.8
883;Retail sale of consumer electronics;2021 July;253.0;0.4
884;Retail sale of consumer electronics;2021 August;254.1;-1.5
885;Retail sale of consumer electronics;2021 September;254.0;5.1
886;Retail sale of consumer electronics;2021 3rd quarter;253.7;1.3
887;Retail sale of consumer electronics;2021 October;257.0;-8.0
888;Retail sale of consumer electronics;2021 November;375.7;-1.3
889;Retail sale of consumer electronics;2021 December;356.4;-9.2
890;Retail sale of consumer electronics;2021 4th quarter;329.7;-6.0
891;Retail sale of consumer electronics;2021;314.9;12.9
892;Retail sale of consumer electronics;2022 January;365.4;-13.0
893;Retail sale of consumer electronics;2022 February;239.1;-30.2
894;Retail sale of consumer electronics;2022 March;257.6;-31.7
895;Retail sale of consumer electronics;2022 1st quarter;287.4;-24.4
896;Retail sale of consumer electronics;2022 April;236.5;-22.7
897;Retail sale of consumer electronics;2022 May;264.4;-10.7
898;Retail sale of consumer electronics;2022 June;269.2;-6.1
899;Retail sale of consumer electronics;2022 2nd quarter;256.7;-13.3
900;Retail sale of consumer electronics;2022 July;261.3;3.3
901;Retail sale of consumer electronics;2022 August;266.0;4.7
902;Retail sale of consumer electronics;2022 September;277.0;9.0
903;Retail sale of consumer electronics;2022 3rd quarter;268.1;5.7
904;Retail sale of consumer electronics;2022 October;290.8;13.2
905;Retail sale of consumer electronics;2022 November;397.1;5.7
906;Retail sale of consumer electronics;2022 December;295.3;-17.1
907;Retail sale of consumer electronics;2022 4th quarter;327.7;-0.6
908;Retail sale of consumer electronics;2022;285.0;-9.5
909;Retail sale of consumer electronics;2023 January;308.3;-15.6
910;Retail sale of consumer electronics;2023 February;242.8;1.6
911;Retail sale of consumer electronics;2023 March;268.2;4.1
912;Retail sale of consumer electronics;2023 1st quarter;273.1;-5.0
913;Retail sale of consumer electronics;2023 April;222.2;-6.0
914;Retail sale of consumer electronics;2023 May;270.3;2.3
915;Retail sale of consumer electronics;2023 June;267.8;-0.5
916;Retail sale of consumer electronics;2023 2nd quarter;253.4;-1.3
917;Retail sale of consumer electronics;2023 July;241.0;-7.8
918;Retail sale of consumer electronics;2023 August;247.2;-7.1
919;Retail sale of consumer electronics;2023 September;265.8;-4.0
920;Retail sale of consumer electronics;2023 3rd quarter;251.3;-6.2
921;Retail sale of consumer electronics;2023 October;271.8;-6.5
922;Retail sale of consumer electronics;2023 November;380.4;-4.2
923;Retail sale of consumer electronics;2023 December;286.9;-2.8
924;Retail sale of consumer electronics;2023 4th quarter;313.0;-4.5
925;Retail sale of consumer electronics;2023;272.7;-4.3
926;Retail sale of consumer electronics;2024 January;289.7;-6.0
927;Retail sale of consumer electronics;2024 February;235.0;-3.2
928;Retail sale of consumer electronics;2024 March;258.2;-3.7
929;Retail sale of consumer electronics;2024 1st quarter;260.9;-4.5
930;Retail sale of consumer electronics;2024 April;239.9;8.0
931;Retail sale of consumer electronics;2024 May;263.5;-2.5
932;Retail sale of consumer electronics;2024 June;263.5;-1.6
933;Retail sale of consumer electronics;2024 2th quarter;255.6;0.9
934;Retail sale of consumer electronics;2024 July;271.2;12.5
935;Retail sale of consumer electronics;2024 August;269.8;9.2
936;Retail sale of consumer electronics;2024 September;279.5;5.2
937;Retail sale of consumer electronics;2024 3th quarter;273.5;8.8
938;Retail sale of consumer electronics;2024 October;280.0;3.0
939;Retail sale of consumer electronics;2024 November;384.3;1.0
940;Retail sale of consumer electronics;2024 December;346.9;20.9
941;Retail sale of consumer electronics;2024 4th quarter;337.1;7.7
942;Retail sale of consumer electronics;2024;281.8;3.3
943;Retail sale of consumer electronics;2025 January;304.9;5.3
944;Retail sale of consumer electronics;2025 February;247.1;5.2
945;Retail sale of clothes and fashion items;2014 January;;
946;Retail sale of clothes and fashion items;2014 February;;
947;Retail sale of clothes and fashion items;2014 March;;
948;Retail sale of clothes and fashion items;2014 1st quarter;;
