ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
1213;All gifts;All gifts;Age: 45 to 64 years;Wealth: 3rd 20%-group;2020;4.7;376.3;80.6;40.0;8.1;1.7;0.0;368.2;78.8;40.0
1214;All gifts;All gifts;Age: 45 to 64 years;Wealth: 3rd 20%-group;2021;6.0;590.9;99.3;50.0;14.7;2.5;0.0;576.2;96.8;50.0
1215;All gifts;All gifts;Age: 45 to 64 years;Wealth: 3rd 20%-group;2022;8.6;573.4;66.5;46.0;10.4;1.2;0.0;563.0;65.3;45.0
1216;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2007;5.2;177.7;34.4;22.0;10.5;2.0;0.5;167.2;32.4;22.0
1217;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2008;4.8;174.0;36.2;22.4;10.9;2.3;0.8;163.0;33.9;22.4
1218;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2009;5.3;197.5;37.3;26.8;12.0;2.3;1.1;185.5;35.0;25.5
1219;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2010;3.6;167.8;46.5;25.0;8.7;2.4;0.0;159.1;44.1;24.0
1220;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2011;3.6;233.1;65.3;26.2;11.7;3.3;0.0;221.3;62.0;26.2
1221;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2012;2.9;184.6;62.9;27.2;9.3;3.2;0.0;175.3;59.8;26.2
1222;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2013;4.5;309.5;69.1;45.0;7.9;1.8;0.0;301.6;67.4;44.6
1223;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2014;8.0;568.6;71.1;50.0;6.6;0.8;0.0;562.0;70.3;50.0
1224;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2015;2.8;204.0;73.9;30.0;8.2;3.0;0.0;195.8;70.9;30.0
1225;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2016;2.8;215.7;77.2;30.0;7.4;2.6;0.0;208.3;74.6;30.0
1226;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2017;4.4;341.2;78.0;47.0;7.8;1.8;0.0;333.3;76.2;47.0
1227;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2018;3.4;330.0;95.7;45.7;9.1;2.6;0.0;320.9;93.1;45.0
1228;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2019;3.4;337.6;99.6;45.0;12.3;3.6;0.0;325.4;96.0;44.6
1229;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2020;3.9;392.7;100.6;50.0;15.2;3.9;0.0;377.6;96.7;45.6
1230;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2021;4.8;738.1;154.6;50.0;28.6;6.0;0.0;709.5;148.6;50.0
1231;All gifts;All gifts;Age: 45 to 64 years;Wealth: 4th 20%-group;2022;5.9;454.5;76.9;46.0;15.3;2.6;0.0;439.2;74.4;45.0
1232;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2007;8.2;412.2;50.3;25.0;32.5;4.0;1.0;379.7;46.3;24.0
1233;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2008;7.6;400.2;52.9;26.1;40.0;5.3;1.1;360.2;47.6;25.0
1234;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2009;8.9;447.9;50.3;31.1;38.7;4.3;1.3;409.2;45.9;29.4
1235;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2010;5.5;605.7;109.7;38.0;68.4;12.4;1.7;537.3;97.3;35.0
1236;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2011;6.4;551.3;86.3;50.0;31.8;5.0;0.5;519.5;81.3;45.5
1237;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2012;5.6;541.0;96.4;50.0;28.7;5.1;0.5;512.3;91.3;50.0
1238;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2013;6.6;986.7;148.6;50.0;32.3;4.9;0.0;954.4;143.7;50.0
1239;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2014;10.6;1022.0;96.8;60.0;27.4;2.6;0.0;994.7;94.2;60.0
1240;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2015;5.0;791.4;157.4;50.0;29.0;5.8;0.2;762.4;151.7;50.0
1241;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2016;5.1;780.5;152.3;50.0;32.8;6.4;0.0;747.7;145.9;50.0
1242;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2017;7.5;1146.6;152.3;70.0;45.2;6.0;0.0;1101.4;146.3;65.4
1243;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2018;6.7;1230.1;184.6;77.0;44.8;6.7;0.0;1185.3;177.9;75.0
1244;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2019;7.1;1544.3;216.1;95.0;68.0;9.5;0.1;1476.3;206.6;87.5
1245;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2020;8.3;2121.2;256.8;96.5;103.5;12.5;0.0;2017.7;244.2;88.4
1246;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2021;10.5;2550.3;243.0;100.0;114.1;10.9;0.0;2436.2;232.1;100.0
1247;All gifts;All gifts;Age: 45 to 64 years;Wealth: 5th 20%-group;2022;16.9;1819.7;107.7;70.0;82.9;4.9;0.0;1736.7;102.8;66.4
1248;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2007;0.1;;;;;;;;;
1249;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2008;0.1;;;;;;;;;
1250;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2009;0.1;;;;;;;;;
1251;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2010;0.1;;;;;;;;;
1252;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2011;0.1;;;;;;;;;
1253;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2012;0.1;;;;;;;;;
1254;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2013;0.1;;;;;;;;;
1255;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2014;0.1;;;;;;;;;
1256;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2015;0.0;;;;;;;;;
1257;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2016;0.0;;;;;;;;;
1258;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2017;0.1;;;;;;;;;
1259;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2018;0.1;;;;;;;;;
1260;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2019;0.1;;;;;;;;;
1261;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2020;0.1;;;;;;;;;
1262;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2021;0.1;;;;;;;;;
1263;All gifts;All gifts;Age: 45 to 64 years;Wealth: income unknown;2022;0.1;6.0;55.3;27.2;0.2;2.0;0.0;5.8;53.4;27.2
1264;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2007;2.0;82.7;40.7;22.0;7.3;3.6;0.0;75.3;37.1;22.0
1265;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2008;1.7;63.8;36.8;22.4;5.0;2.9;0.4;58.8;33.9;22.4
1266;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2009;1.8;69.7;38.9;27.2;4.9;2.7;1.1;64.8;36.2;26.1
1267;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2010;1.0;42.0;41.2;24.0;2.8;2.7;0.0;39.2;38.5;24.0
1268;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2011;0.6;37.9;65.5;24.1;2.9;5.1;0.0;34.9;60.5;24.1
1269;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2012;0.5;65.8;128.1;24.1;3.0;5.9;0.0;62.8;122.2;24.1
1270;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2013;0.6;43.6;70.4;40.0;2.7;4.4;0.0;40.9;66.1;38.8
1271;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2014;0.9;62.2;66.3;50.0;1.9;2.0;0.0;60.3;64.3;50.0
1272;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2015;0.4;35.5;90.6;50.0;2.8;7.0;1.0;32.7;83.5;46.2
1273;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2016;0.4;39.1;94.1;31.7;4.2;10.0;0.0;35.0;84.0;30.3
1274;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2017;0.6;53.8;92.7;49.0;3.7;6.3;0.0;50.1;86.4;47.0
1275;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2018;0.4;38.1;87.9;50.0;2.7;6.3;0.4;35.3;81.6;50.0
1276;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2019;0.4;72.7;163.3;50.0;3.0;6.7;0.0;69.7;156.5;50.0
1277;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2020;0.4;49.4;112.1;35.5;4.7;10.6;0.2;44.7;101.5;32.5
1278;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2021;0.5;56.3;121.0;59.0;4.2;9.0;0.5;52.1;112.0;50.0
1279;All gifts;All gifts;Age: 45 to 64 years;Wealth: unknown;2022;0.6;50.3;78.7;27.2;3.2;5.0;0.0;47.1;73.8;27.2
1280;All gifts;All gifts;Age: 65 years or older;All recipients;2007;63.7;2739.0;43.0;26.4;247.1;3.9;1.1;2491.8;39.1;25.0
1281;All gifts;All gifts;Age: 65 years or older;All recipients;2008;61.5;3089.5;50.2;26.9;243.6;4.0;1.1;2845.9;46.3;25.6
1282;All gifts;All gifts;Age: 65 years or older;All recipients;2009;69.2;2981.4;43.1;27.3;246.0;3.6;1.1;2735.4;39.6;26.2
1283;All gifts;All gifts;Age: 65 years or older;All recipients;2010;34.8;2346.5;67.4;31.6;217.5;6.2;2.6;2129.0;61.1;28.5
1284;All gifts;All gifts;Age: 65 years or older;All recipients;2011;32.2;2323.6;72.1;37.5;192.8;6.0;3.0;2130.8;66.1;33.8
1285;All gifts;All gifts;Age: 65 years or older;All recipients;2012;33.1;3013.5;91.1;39.6;238.6;7.2;3.3;2774.9;83.9;35.1
1286;All gifts;All gifts;Age: 65 years or older;All recipients;2013;75.0;5083.6;67.8;46.7;247.2;3.3;0.1;4836.4;64.5;45.0
1287;All gifts;All gifts;Age: 65 years or older;All recipients;2014;117.4;7590.5;64.7;50.0;233.4;2.0;0.0;7357.0;62.7;50.0
1288;All gifts;All gifts;Age: 65 years or older;All recipients;2015;37.3;3280.7;88.1;40.0;250.5;6.7;2.8;3030.2;81.3;36.5
1289;All gifts;All gifts;Age: 65 years or older;All recipients;2016;39.0;3702.2;94.8;43.9;281.2;7.2;3.0;3420.9;87.6;40.0
1290;All gifts;All gifts;Age: 65 years or older;All recipients;2017;48.3;3989.5;82.6;50.0;293.3;6.1;2.5;3696.2;76.6;45.7
1291;All gifts;All gifts;Age: 65 years or older;All recipients;2018;47.5;4376.2;92.1;50.0;320.4;6.7;3.2;4055.8;85.4;45.5
1292;All gifts;All gifts;Age: 65 years or older;All recipients;2019;50.3;4841.3;96.3;50.0;346.2;6.9;3.5;4495.1;89.4;50.0
1293;All gifts;All gifts;Age: 65 years or older;All recipients;2020;58.0;5708.7;98.4;53.2;435.5;7.5;3.6;5273.3;90.9;50.0
1294;All gifts;All gifts;Age: 65 years or older;All recipients;2021;66.1;7311.3;110.6;60.0;497.7;7.5;4.0;6813.6;103.1;54.3
1295;All gifts;All gifts;Age: 65 years or older;All recipients;2022;68.2;5856.9;85.8;55.7;441.1;6.5;2.9;5415.8;79.4;50.7
1296;All gifts;All gifts;Age: 65 years or older;Sex: man;2007;29.1;1356.5;46.6;26.4;128.3;4.4;1.1;1228.3;42.2;25.2
1297;All gifts;All gifts;Age: 65 years or older;Sex: man;2008;28.3;1343.6;47.5;26.9;133.4;4.7;1.1;1210.2;42.8;25.7
1298;All gifts;All gifts;Age: 65 years or older;Sex: man;2009;31.9;1446.8;45.3;27.3;122.5;3.8;1.1;1324.4;41.5;26.2
1299;All gifts;All gifts;Age: 65 years or older;Sex: man;2010;16.3;1200.4;73.8;32.2;96.5;5.9;2.5;1103.9;67.9;29.0
1300;All gifts;All gifts;Age: 65 years or older;Sex: man;2011;15.4;1319.1;85.8;38.6;91.2;5.9;2.8;1227.8;79.9;35.0
1301;All gifts;All gifts;Age: 65 years or older;Sex: man;2012;15.8;1686.7;106.8;40.0;113.0;7.2;3.0;1573.7;99.7;36.5
1302;All gifts;All gifts;Age: 65 years or older;Sex: man;2013;36.6;2700.0;73.8;47.0;117.0;3.2;0.0;2583.0;70.6;45.0
1303;All gifts;All gifts;Age: 65 years or older;Sex: man;2014;58.1;3963.7;68.3;50.0;116.7;2.0;0.0;3846.9;66.3;50.0
1304;All gifts;All gifts;Age: 65 years or older;Sex: man;2015;18.0;1797.7;100.1;40.0;120.0;6.7;2.6;1677.7;93.4;36.5
1305;All gifts;All gifts;Age: 65 years or older;Sex: man;2016;18.9;1926.4;101.7;43.3;133.7;7.1;2.7;1792.7;94.6;40.0
1306;All gifts;All gifts;Age: 65 years or older;Sex: man;2017;23.5;2094.0;89.2;50.0;139.9;6.0;2.2;1954.0;83.2;45.5
1307;All gifts;All gifts;Age: 65 years or older;Sex: man;2018;23.2;2416.8;104.2;50.0;161.3;7.0;2.7;2255.5;97.2;45.5
1308;All gifts;All gifts;Age: 65 years or older;Sex: man;2019;24.4;2603.3;106.7;50.0;171.4;7.0;3.1;2431.9;99.7;49.7
1309;All gifts;All gifts;Age: 65 years or older;Sex: man;2020;28.2;3020.8;107.2;52.0;210.2;7.5;3.3;2810.6;99.7;50.0
1310;All gifts;All gifts;Age: 65 years or older;Sex: man;2021;32.4;3939.8;121.7;58.1;234.2;7.2;3.6;3705.7;114.5;53.2
1311;All gifts;All gifts;Age: 65 years or older;Sex: man;2022;33.6;3087.6;91.9;55.5;221.8;6.6;2.5;2865.8;85.3;50.7
1312;All gifts;All gifts;Age: 65 years or older;Sex: woman;2007;27.3;1058.9;38.8;26.1;87.8;3.2;1.1;971.2;35.5;25.0
1313;All gifts;All gifts;Age: 65 years or older;Sex: woman;2008;26.6;1312.1;49.3;26.5;83.6;3.1;1.1;1228.5;46.1;25.4
1314;All gifts;All gifts;Age: 65 years or older;Sex: woman;2009;30.2;1222.6;40.5;27.3;94.4;3.1;1.1;1128.2;37.4;26.2
1315;All gifts;All gifts;Age: 65 years or older;Sex: woman;2010;15.6;941.8;60.5;30.0;97.4;6.3;2.6;844.4;54.2;27.5
1316;All gifts;All gifts;Age: 65 years or older;Sex: woman;2011;14.8;867.9;58.6;35.0;87.5;5.9;3.0;780.4;52.7;32.0
1317;All gifts;All gifts;Age: 65 years or older;Sex: woman;2012;15.2;1155.6;76.1;37.2;106.1;7.0;3.3;1049.5;69.1;33.3
1318;All gifts;All gifts;Age: 65 years or older;Sex: woman;2013;35.0;2150.6;61.4;45.8;111.8;3.2;0.3;2038.8;58.2;45.0
1319;All gifts;All gifts;Age: 65 years or older;Sex: woman;2014;54.4;3282.6;60.3;50.0;98.2;1.8;0.0;3184.4;58.5;50.0
1320;All gifts;All gifts;Age: 65 years or older;Sex: woman;2015;17.2;1323.5;76.9;40.0;112.4;6.5;3.0;1211.1;70.4;36.5
1321;All gifts;All gifts;Age: 65 years or older;Sex: woman;2016;17.9;1608.3;89.8;42.5;129.2;7.2;3.1;1479.1;82.6;38.5
1322;All gifts;All gifts;Age: 65 years or older;Sex: woman;2017;22.5;1708.6;76.1;50.0;136.0;6.1;2.5;1572.7;70.0;45.5
1323;All gifts;All gifts;Age: 65 years or older;Sex: woman;2018;22.1;1771.6;80.1;50.0;140.7;6.4;3.4;1630.9;73.8;45.5
1324;All gifts;All gifts;Age: 65 years or older;Sex: woman;2019;23.6;2035.4;86.4;50.0;155.3;6.6;3.5;1880.1;79.8;49.0
1325;All gifts;All gifts;Age: 65 years or older;Sex: woman;2020;27.4;2385.9;87.1;52.4;200.9;7.3;3.8;2185.0;79.8;50.0
1326;All gifts;All gifts;Age: 65 years or older;Sex: woman;2021;31.0;3021.6;97.5;59.4;229.9;7.4;4.2;2791.7;90.1;53.4
1327;All gifts;All gifts;Age: 65 years or older;Sex: woman;2022;32.0;2528.7;78.9;55.7;194.2;6.1;3.2;2334.4;72.9;50.7
1328;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2007;7.3;323.5;44.5;26.5;31.1;4.3;1.1;292.4;40.2;25.4
1329;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2008;6.6;433.8;65.4;26.9;26.7;4.0;1.1;407.1;61.4;25.7
1330;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2009;7.0;311.9;44.4;27.7;29.1;4.1;1.3;282.8;40.3;26.2
1331;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2010;3.0;204.3;68.2;37.2;23.6;7.9;3.7;180.7;60.3;33.0
1332;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2011;2.1;136.6;66.2;40.0;14.1;6.8;3.8;122.5;59.4;36.5
1333;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2012;2.1;171.2;80.8;43.9;19.5;9.2;4.1;151.7;71.7;39.2
1334;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2013;3.4;233.1;69.1;50.0;18.4;5.5;2.0;214.7;63.7;45.5
1335;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2014;4.9;344.2;70.4;50.0;18.5;3.8;0.0;325.7;66.6;50.0
1336;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2015;2.1;159.5;76.7;50.0;18.1;8.7;4.5;141.5;68.0;45.5
1337;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2016;2.2;167.4;76.6;52.7;18.3;8.4;5.0;149.1;68.2;50.0
1338;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2017;2.3;186.9;79.9;55.0;17.4;7.4;4.5;169.5;72.5;50.0
1339;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2018;2.2;187.8;85.0;60.5;18.4;8.3;5.0;169.3;76.7;53.2
1340;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2019;2.3;202.6;87.8;65.1;19.5;8.4;5.3;183.1;79.3;59.1
1341;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2020;2.5;302.0;123.0;75.0;24.3;9.9;6.3;277.7;113.1;68.1
1342;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2021;2.8;349.8;127.0;77.0;33.5;12.2;6.8;316.2;114.8;69.7
1343;All gifts;All gifts;Age: 65 years or older;Sex: unknown;2022;2.6;240.6;92.6;74.8;25.1;9.7;6.0;215.5;83.0;66.7
1344;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2007;2.3;48.2;21.0;12.5;6.1;2.7;0.9;42.1;18.3;11.5
1345;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2008;2.2;55.0;25.0;11.5;7.6;3.5;0.9;47.4;21.5;10.4
1346;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2009;2.6;78.9;30.4;16.9;11.2;4.3;1.1;67.7;26.1;15.4
1347;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2010;1.3;35.8;26.7;7.6;5.9;4.4;0.7;29.9;22.4;6.6
1348;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2011;1.2;37.9;31.3;11.4;6.0;5.0;0.7;31.8;26.3;10.0
1349;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2012;1.1;29.1;25.3;9.8;4.3;3.7;0.7;24.8;21.6;8.4
1350;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2013;1.6;50.7;32.3;11.7;4.6;3.0;0.1;46.1;29.4;10.0
1351;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2014;2.1;94.8;44.4;24.9;4.8;2.3;0.0;90.0;42.2;22.1
1352;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2015;1.3;63.8;48.3;11.7;7.1;5.4;1.2;56.7;42.9;10.0
1353;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2016;1.3;51.6;41.3;11.7;8.3;6.6;1.0;43.3;34.6;10.0
1354;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2017;1.9;98.2;51.1;26.4;7.1;3.7;0.2;91.2;47.4;25.0
1355;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2018;1.7;102.1;58.6;25.0;7.5;4.3;0.5;94.6;54.3;23.0
1356;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2019;2.1;109.5;52.1;25.0;9.5;4.5;0.5;100.0;47.6;23.1
1357;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2020;2.5;222.5;87.9;23.9;22.7;9.0;0.5;199.8;78.9;20.0
1358;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2021;3.1;192.4;61.4;29.8;13.2;4.2;0.2;179.2;57.2;26.9
1359;All gifts;All gifts;Age: 65 years or older;Age: 0 to 24 years;2022;4.1;223.7;54.0;32.3;12.8;3.1;0.0;210.9;50.9;30.0
1360;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2007;24.8;1155.2;46.6;26.1;100.9;4.1;1.1;1054.3;42.5;25.0
1361;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2008;23.8;1272.0;53.5;26.5;106.1;4.5;1.1;1165.8;49.1;25.3
1362;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2009;27.3;1291.6;47.4;27.3;107.6;3.9;1.1;1184.0;43.4;26.2
1363;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2010;14.1;1081.9;76.8;30.0;78.1;5.5;2.2;1003.9;71.3;27.5
1364;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2011;13.6;1184.4;87.4;35.6;73.3;5.4;2.2;1111.1;82.0;33.0
1365;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2012;13.3;1598.8;120.6;39.5;96.4;7.3;2.2;1502.4;113.4;35.6
1366;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2013;30.9;2419.0;78.2;50.0;80.9;2.6;0.0;2338.1;75.6;45.5
1367;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2014;52.1;3639.2;69.9;50.0;94.3;1.8;0.0;3544.9;68.0;50.0
1368;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2015;14.6;1708.1;116.7;40.0;89.5;6.1;1.6;1618.6;110.6;36.5
1369;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2016;15.3;1887.9;123.1;37.5;104.7;6.8;1.2;1783.1;116.3;35.0
1370;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2017;21.5;2034.4;94.7;50.0;98.5;4.6;0.0;1935.9;90.1;47.0
1371;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2018;19.2;2027.4;105.9;50.0;103.4;5.4;0.3;1924.0;100.5;47.6
1372;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2019;19.9;2168.7;109.1;50.0;103.9;5.2;0.5;2064.8;103.9;50.0
1373;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2020;23.3;2641.0;113.4;50.0;135.7;5.8;0.3;2505.3;107.6;50.0
1374;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2021;26.8;3532.0;131.8;54.8;155.8;5.8;0.0;3376.2;126.0;50.2
1375;All gifts;All gifts;Age: 65 years or older;Age: 25 to 44 years;2022;29.6;2610.1;88.1;50.0;124.8;4.2;0.0;2485.3;83.9;50.0
1376;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2007;28.0;1157.9;41.3;26.5;98.9;3.5;1.1;1059.0;37.8;25.4
1377;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2008;27.8;1283.1;46.2;26.9;96.3;3.5;1.1;1186.8;42.7;25.7
1378;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2009;31.0;1249.0;40.3;27.3;91.6;3.0;1.1;1157.4;37.3;26.2
1379;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2010;15.4;969.2;62.9;36.0;101.0;6.6;3.3;868.1;56.4;32.3
1380;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2011;14.5;914.6;63.2;40.7;91.3;6.3;3.8;823.3;56.9;36.5
1381;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2012;15.5;1161.1;74.9;43.6;108.9;7.0;3.9;1052.2;67.8;38.8
1382;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2013;36.9;2275.2;61.7;47.0;131.1;3.6;1.1;2144.1;58.1;45.0
1383;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2014;55.6;3359.2;60.4;50.0;105.4;1.9;0.0;3253.8;58.5;50.0
1384;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2015;18.0;1276.8;70.8;44.6;125.7;7.0;4.0;1151.0;63.8;40.1
1385;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2016;19.0;1517.2;79.9;50.0;138.0;7.3;4.5;1379.2;72.6;45.5
1386;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2017;21.1;1579.4;74.9;50.0;152.4;7.2;4.5;1427.0;67.7;45.5
1387;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2018;22.7;1966.9;86.5;50.4;176.2;7.7;4.7;1790.8;78.7;45.6
1388;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2019;24.2;2265.8;93.5;55.0;197.3;8.1;5.0;2068.5;85.4;50.0
1389;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2020;27.7;2423.4;87.6;56.0;232.1;8.4;5.1;2191.3;79.2;50.5
1390;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2021;31.1;3098.0;99.5;67.6;272.8;8.8;6.2;2825.2;90.7;60.9
1391;All gifts;All gifts;Age: 65 years or older;Age: 45 to 64 years;2022;29.5;2635.1;89.4;70.0;255.7;8.7;6.6;2379.3;80.7;63.6
1392;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2007;1.3;54.2;42.2;26.5;10.1;7.9;2.9;44.0;34.3;24.9
1393;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2008;1.2;45.6;38.7;26.9;6.9;5.8;2.4;38.7;32.9;25.0
1394;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2009;1.3;50.0;39.4;27.3;6.5;5.1;2.5;43.5;34.3;25.0
1395;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2010;1.0;55.3;54.7;30.0;9.0;8.9;4.7;46.3;45.8;25.0
