ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;k_1WerkzamePersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100WerkzamePersonenOfMeer_9;NatuurlijkePersonen_10;Rechtspersonen_11
3457;47522 Winkels in verf en behang;2008;485;120;130;135;70;25;0;0;0;375;110
3458;47522 Winkels in verf en behang;2009;475;115;125;115;95;25;5;0;0;365;115
3459;47522 Winkels in verf en behang;2010;460;115;125;105;90;25;5;0;0;345;115
3460;47523 Winkels in houten bouwmaterialen;2006;155;50;45;30;25;10;0;0;0;115;40
3461;47523 Winkels in houten bouwmaterialen;2007;165;60;35;40;20;10;0;0;0;125;40
3462;47523 Winkels in houten bouwmaterialen;2008;165;65;35;35;20;5;0;0;0;125;45
3463;47523 Winkels in houten bouwmaterialen;2009;170;70;35;30;20;10;0;0;0;125;45
3464;47523 Winkels in houten bouwmaterialen;2010;170;70;40;30;20;10;0;0;0;125;50
3465;47524 Winkels in tegels;2006;165;55;45;30;20;10;5;0;0;105;60
3466;47524 Winkels in tegels;2007;165;50;40;30;25;15;5;0;0;100;65
3467;47524 Winkels in tegels;2008;170;60;45;25;20;15;5;0;0;100;65
3468;47524 Winkels in tegels;2009;190;75;50;20;25;15;5;0;0;110;85
3469;47524 Winkels in tegels;2010;190;75;55;20;25;15;5;0;0;105;85
3470;47525 Winkels in keukens;2006;565;115;125;125;110;55;25;10;0;245;315
3471;47525 Winkels in keukens;2007;580;115;115;130;120;65;30;10;5;255;330
3472;47525 Winkels in keukens;2008;615;155;135;130;110;55;20;5;5;250;360
3473;47525 Winkels in keukens;2009;630;165;125;140;115;55;25;5;5;250;380
3474;47525 Winkels in keukens;2010;620;160;125;135;115;55;20;5;5;240;375
3475;47526 Winkels in vloeren;2006;455;200;125;60;45;20;5;0;0;375;80
3476;47526 Winkels in vloeren;2007;470;220;100;70;55;25;5;0;0;385;85
3477;47526 Winkels in vloeren;2008;510;255;130;55;50;20;5;0;0;415;95
3478;47526 Winkels in vloeren;2009;535;260;120;90;45;15;0;0;0;430;105
3479;47526 Winkels in vloeren;2010;520;255;115;85;40;15;0;0;0;415;105
3480;47527 Winkels in overig bouwmateriaal;2006;355;115;95;65;60;20;5;0;0;215;140
3481;47527 Winkels in overig bouwmateriaal;2007;385;130;80;85;65;20;5;0;0;230;160
3482;47527 Winkels in overig bouwmateriaal;2008;400;140;90;80;60;20;10;0;0;230;170
3483;47527 Winkels in overig bouwmateriaal;2009;425;145;100;85;60;25;10;5;0;245;185
3484;47527 Winkels in overig bouwmateriaal;2010;415;150;95;75;55;20;10;5;0;230;185
3485;47528 Bouwmarkten;2006;955;130;190;210;205;105;80;15;15;530;425
3486;47528 Bouwmarkten;2007;945;140;155;200;225;120;85;10;15;530;420
3487;47528 Bouwmarkten;2008;910;150;160;190;205;110;70;10;15;475;435
3488;47528 Bouwmarkten;2009;880;135;140;185;215;115;70;5;15;450;430
3489;47528 Bouwmarkten;2010;880;140;145;180;205;115;70;5;15;440;435
3490;4753 Winkels in tapijt en gordijnen;2006;1040;245;335;265;150;40;5;0;5;785;255
3491;4753 Winkels in tapijt en gordijnen;2007;1035;260;265;270;190;40;10;0;5;785;250
3492;4753 Winkels in tapijt en gordijnen;2008;1010;320;275;225;145;30;5;5;5;780;230
3493;4753 Winkels in tapijt en gordijnen;2009;1000;300;270;235;160;25;5;5;5;775;230
3494;4753 Winkels in tapijt en gordijnen;2010;970;290;265;225;155;25;5;5;5;740;230
3495;47541 Winkels in witgoed;2006;200;55;70;35;35;5;0;0;0;160;45
3496;47541 Winkels in witgoed;2007;210;65;55;40;40;5;0;0;0;160;50
3497;47541 Winkels in witgoed;2008;210;75;55;45;30;5;0;0;0;160;50
3498;47541 Winkels in witgoed;2009;215;75;55;45;30;5;0;0;0;165;50
3499;47541 Winkels in witgoed;2010;215;75;55;45;30;5;0;0;0;160;50
3500;47542 Winkels in naai- en breimachines;2006;155;45;75;25;10;0;0;0;0;135;15
3501;47542 Winkels in naai- en breimachines;2007;150;45;60;35;10;0;0;0;0;135;15
3502;47542 Winkels in naai- en breimachines;2008;140;55;55;25;10;0;0;0;0;125;15
3503;47542 Winkels in naai- en breimachines;2009;140;50;55;25;5;0;0;0;0;125;15
3504;47542 Winkels in naai- en breimachines;2010;135;50;55;25;5;0;0;0;0;120;15
3505;47543 Winkels overige huishoudapparatuur;2006;100;40;30;20;5;5;0;0;0;80;20
3506;47543 Winkels overige huishoudapparatuur;2007;95;45;15;20;10;5;0;0;0;70;20
3507;47543 Winkels overige huishoudapparatuur;2008;100;55;20;15;5;5;0;0;0;80;20
3508;47543 Winkels overige huishoudapparatuur;2009;100;50;25;15;5;5;0;0;0;75;25
3509;47543 Winkels overige huishoudapparatuur;2010;100;50;25;15;5;5;0;0;0;75;25
3510;47544 Winkels in elektrische onderdelen;2006;165;65;60;25;10;0;0;0;0;150;15
3511;47544 Winkels in elektrische onderdelen;2007;170;75;50;25;15;0;0;0;0;155;15
3512;47544 Winkels in elektrische onderdelen;2008;175;90;40;30;10;0;0;0;0;155;20
3513;47544 Winkels in elektrische onderdelen;2009;175;90;50;20;10;0;0;0;0;160;15
3514;47544 Winkels in elektrische onderdelen;2010;170;90;50;20;10;0;0;0;0;155;15
3515;47591 Winkels in meubels;2006;1855;505;595;345;245;95;50;10;15;1180;680
3516;47591 Winkels in meubels;2007;1875;560;455;385;310;90;50;10;15;1185;695
3517;47591 Winkels in meubels;2008;1910;680;485;355;250;80;45;10;10;1200;710
3518;47591 Winkels in meubels;2009;1940;690;480;355;260;90;40;10;15;1195;745
3519;47591 Winkels in meubels;2010;1905;680;490;340;250;85;40;10;15;1175;730
3520;47592 Winkels in verlichtingsartikelen;2006;260;65;110;60;15;5;5;0;0;205;55
3521;47592 Winkels in verlichtingsartikelen;2007;265;80;85;70;25;5;5;0;0;210;55
3522;47592 Winkels in verlichtingsartikelen;2008;270;95;90;45;25;0;5;0;0;215;55
3523;47592 Winkels in verlichtingsartikelen;2009;270;100;95;55;15;0;5;0;0;215;55
3524;47592 Winkels in verlichtingsartikelen;2010;260;105;85;50;15;0;5;0;0;200;60
3525;47593 Winkels woninginrichting algemeen;2006;1125;260;335;250;190;55;20;5;5;735;390
3526;47593 Winkels woninginrichting algemeen;2007;1170;280;275;275;240;65;25;5;5;770;405
3527;47593 Winkels woninginrichting algemeen;2008;1210;365;285;290;185;60;10;5;5;800;410
3528;47593 Winkels woninginrichting algemeen;2009;1235;385;290;265;215;55;15;5;5;825;410
3529;47593 Winkels woninginrichting algemeen;2010;1225;390;290;255;210;55;15;5;5;810;410
3530;47594 Winkels in muziekinstrumenten;2006;350;140;125;45;20;15;5;0;0;270;80
3531;47594 Winkels in muziekinstrumenten;2007;360;155;105;50;30;15;5;0;0;275;80
3532;47594 Winkels in muziekinstrumenten;2008;350;180;95;40;30;5;5;0;0;275;80
3533;47594 Winkels in muziekinstrumenten;2009;340;170;90;40;25;10;5;0;0;260;75
3534;47594 Winkels in muziekinstrumenten;2010;330;165;90;35;25;10;5;0;0;260;70
3535;47595 Winkels in porselein en aardewerk;2006;265;110;90;40;15;10;0;0;0;220;45
3536;47595 Winkels in porselein en aardewerk;2007;260;120;65;45;20;5;5;0;0;220;45
3537;47595 Winkels in porselein en aardewerk;2008;260;140;60;40;15;5;5;0;0;215;45
3538;47595 Winkels in porselein en aardewerk;2009;255;130;75;30;15;10;0;0;0;215;40
3539;47595 Winkels in porselein en aardewerk;2010;250;125;75;25;15;10;0;0;0;205;40
3540;47596 Winkels in overige huishoudwaren;2006;115;35;40;20;15;0;0;0;0;100;20
3541;47596 Winkels in overige huishoudwaren;2007;115;45;30;20;15;5;0;0;0;100;15
3542;47596 Winkels in overige huishoudwaren;2008;110;50;30;15;15;5;0;0;0;95;15
3543;47596 Winkels in overige huishoudwaren;2009;110;50;30;15;15;5;0;0;0;90;20
3544;47596 Winkels in overige huishoudwaren;2010;110;45;30;15;15;5;0;0;0;85;25
3545;47597 Winkels in huishoudwaren algemeen;2006;665;160;220;135;105;25;10;0;5;560;105
3546;47597 Winkels in huishoudwaren algemeen;2007;665;190;165;145;120;30;10;5;5;565;100
3547;47597 Winkels in huishoudwaren algemeen;2008;635;190;180;130;105;15;5;0;5;535;100
3548;47597 Winkels in huishoudwaren algemeen;2009;605;180;170;115;105;20;5;0;5;500;100
3549;47597 Winkels in huishoudwaren algemeen;2010;595;180;165;115;100;20;5;0;5;495;100
3550;476 Winkels in recreatie-artikelen;2006;6090;1710;1930;1395;775;185;60;15;15;5010;1080
3551;476 Winkels in recreatie-artikelen;2007;6240;1955;1505;1475;975;230;65;20;15;5120;1115
3552;476 Winkels in recreatie-artikelen;2008;6185;2205;1625;1325;770;175;55;15;20;5050;1135
3553;476 Winkels in recreatie-artikelen;2009;6195;2155;1590;1325;850;175;60;15;20;5025;1170
3554;476 Winkels in recreatie-artikelen;2010;6100;2135;1575;1285;840;175;60;15;20;4900;1200
3555;4761 Boekenwinkels;2006;520;165;155;95;65;20;10;5;5;380;135
3556;4761 Boekenwinkels;2007;505;175;115;95;75;20;10;5;5;370;135
3557;4761 Boekenwinkels;2008;495;195;125;75;65;10;10;5;5;365;130
3558;4761 Boekenwinkels;2009;495;195;115;75;75;10;10;5;5;360;135
3559;4761 Boekenwinkels;2010;490;200;115;75;70;10;5;5;5;355;130
3560;4762 Winkels in lectuur en schrijfwaren;2006;1095;200;275;345;200;60;15;5;0;855;240
3561;4762 Winkels in lectuur en schrijfwaren;2007;1145;230;210;370;250;65;15;5;0;895;250
3562;4762 Winkels in lectuur en schrijfwaren;2008;1115;270;260;320;200;55;10;5;0;870;240
3563;4762 Winkels in lectuur en schrijfwaren;2009;1095;255;240;320;230;40;10;5;0;850;245
3564;4762 Winkels in lectuur en schrijfwaren;2010;1075;245;240;305;230;40;10;5;0;830;250
3565;4763 Winkels in audio- en video-opnamen;2006;405;180;150;40;25;5;5;0;5;345;60
3566;4763 Winkels in audio- en video-opnamen;2007;390;190;115;45;20;5;5;0;5;335;55
3567;4763 Winkels in audio- en video-opnamen;2008;360;185;100;40;15;5;5;5;5;310;50
3568;4763 Winkels in audio- en video-opnamen;2009;335;170;95;40;15;5;5;5;5;290;45
3569;4763 Winkels in audio- en video-opnamen;2010;320;165;90;35;15;5;5;5;0;275;45
3570;47641 Winkels in fietsen en bromfietsen;2006;1800;420;610;480;240;45;5;0;0;1580;220
3571;47641 Winkels in fietsen en bromfietsen;2007;1835;485;475;490;320;60;5;0;0;1605;230
3572;47641 Winkels in fietsen en bromfietsen;2008;1835;565;515;460;250;40;5;0;0;1595;240
3573;47641 Winkels in fietsen en bromfietsen;2009;1850;550;505;465;270;50;5;0;0;1600;250
3574;47641 Winkels in fietsen en bromfietsen;2010;1855;550;520;460;270;50;5;0;0;1585;270
3575;47642 Winkels in watersportartikelen;2006;305;130;105;40;25;5;5;0;0;230;75
3576;47642 Winkels in watersportartikelen;2007;350;155;85;65;35;5;5;0;0;260;90
3577;47642 Winkels in watersportartikelen;2008;365;180;100;55;25;5;5;0;0;265;100
3578;47642 Winkels in watersportartikelen;2009;400;200;105;55;30;5;5;0;0;290;110
3579;47642 Winkels in watersportartikelen;2010;395;200;105;55;30;5;0;0;0;285;110
3580;47643 Winkels in sportartikelen;2006;1210;360;385;250;150;40;15;5;5;955;255
3581;47643 Winkels in sportartikelen;2007;1235;410;310;260;180;50;20;5;5;975;260
3582;47643 Winkels in sportartikelen;2008;1230;460;325;235;130;50;20;5;5;955;275
3583;47643 Winkels in sportartikelen;2009;1240;455;335;230;145;50;20;0;5;955;285
3584;47643 Winkels in sportartikelen;2010;1210;445;330;220;140;45;20;5;5;915;300
3585;47644 Winkels in kampeerartikelen;2006;45;5;5;15;5;5;5;0;0;20;20
3586;47644 Winkels in kampeerartikelen;2007;45;10;5;10;10;5;5;0;0;25;20
3587;47644 Winkels in kampeerartikelen;2008;45;10;10;10;10;5;5;0;0;25;20
3588;47644 Winkels in kampeerartikelen;2009;45;10;5;10;10;5;5;0;0;25;20
3589;47644 Winkels in kampeerartikelen;2010;50;10;5;10;10;5;5;0;0;30;20
3590;4765 Speelgoedwinkels;2006;710;250;245;130;70;10;5;0;5;640;70
3591;4765 Speelgoedwinkels;2007;735;300;190;135;85;20;5;0;5;660;75
3592;4765 Speelgoedwinkels;2008;740;340;190;125;70;10;5;0;5;665;75
3593;4765 Speelgoedwinkels;2009;730;325;185;130;75;10;0;0;5;650;80
3594;4765 Speelgoedwinkels;2010;705;320;170;125;70;10;5;0;5;630;75
3595;477 Winkels in overige artikelen;2006;26855;8380;8675;5050;2745;1265;525;105;110;21615;5240
3596;477 Winkels in overige artikelen;2007;27630;9290;7100;5700;3370;1385;575;105;115;22155;5480
3597;477 Winkels in overige artikelen;2008;27430;10835;7145;4745;2825;1215;445;105;110;21785;5640
3598;477 Winkels in overige artikelen;2009;27505;10685;7000;4805;2990;1275;505;125;120;21655;5850
3599;477 Winkels in overige artikelen;2010;27085;10635;6955;4620;2895;1235;495;120;125;21185;5900
3600;47711 Winkels in herenkleding;2006;840;145;315;220;95;40;15;5;0;570;275
3601;47711 Winkels in herenkleding;2007;845;145;260;245;130;40;20;5;0;570;275
3602;47711 Winkels in herenkleding;2008;825;195;275;195;105;30;15;5;5;550;275
3603;47711 Winkels in herenkleding;2009;800;200;240;205;105;35;10;5;5;540;260
3604;47711 Winkels in herenkleding;2010;785;200;235;200;105;30;10;5;5;525;255
3605;47712 Winkels in dameskleding;2006;2630;790;895;560;235;80;45;10;10;2080;555
3606;47712 Winkels in dameskleding;2007;2670;760;765;690;295;85;50;10;15;2110;560
3607;47712 Winkels in dameskleding;2008;2655;1000;740;515;270;75;35;15;10;2085;570
3608;47712 Winkels in dameskleding;2009;2685;990;750;540;260;85;30;15;10;2125;560
3609;47712 Winkels in dameskleding;2010;2655;1005;735;515;255;85;30;15;10;2090;560
3610;47713 Winkels in bovenkleding algemeen;2006;2445;635;765;515;285;120;70;25;35;1750;695
3611;47713 Winkels in bovenkleding algemeen;2007;2590;680;690;600;350;130;75;30;35;1840;750
3612;47713 Winkels in bovenkleding algemeen;2008;2635;885;740;460;300;125;60;30;35;1835;800
3613;47713 Winkels in bovenkleding algemeen;2009;2700;900;710;500;315;120;80;30;40;1840;855
3614;47713 Winkels in bovenkleding algemeen;2010;2680;925;705;475;305;120;80;30;40;1815;865
3615;47714 Winkels in baby- en kinderkleding;2006;905;375;375;105;35;10;0;0;0;850;55
3616;47714 Winkels in baby- en kinderkleding;2007;980;420;345;155;45;10;0;0;0;920;60
3617;47714 Winkels in baby- en kinderkleding;2008;1000;510;325;115;35;15;0;0;0;935;70
3618;47714 Winkels in baby- en kinderkleding;2009;1015;520;315;120;40;10;5;0;0;945;70
3619;47714 Winkels in baby- en kinderkleding;2010;940;490;305;100;30;10;0;0;0;880;60
3620;47715 Winkels in babyartikelen algemeen;2006;180;60;50;40;5;5;5;0;0;145;30
3621;47715 Winkels in babyartikelen algemeen;2007;190;60;55;40;20;5;10;0;0;160;30
3622;47715 Winkels in babyartikelen algemeen;2008;200;75;60;35;15;5;5;0;0;170;30
3623;47715 Winkels in babyartikelen algemeen;2009;210;80;55;45;15;10;5;0;5;175;35
3624;47715 Winkels in babyartikelen algemeen;2010;205;80;50;40;15;5;5;0;5;170;30
3625;47716 Winkels in onderkleding;2006;575;170;200;130;45;15;15;0;0;480;95
3626;47716 Winkels in onderkleding;2007;600;195;165;140;70;15;10;0;0;510;90
3627;47716 Winkels in onderkleding;2008;610;245;160;120;55;15;10;0;0;510;100
3628;47716 Winkels in onderkleding;2009;595;230;165;115;65;15;10;0;0;500;100
3629;47716 Winkels in onderkleding;2010;595;230;170;110;65;10;10;0;0;490;110
3630;47717 Winkels in mode-artikelen;2006;425;190;145;50;30;10;0;0;0;370;60
3631;47717 Winkels in mode-artikelen;2007;500;230;145;75;35;10;0;0;0;430;70
3632;47717 Winkels in mode-artikelen;2008;565;305;140;70;35;10;0;0;0;475;90
3633;47717 Winkels in mode-artikelen;2009;570;295;145;70;35;15;5;0;0;470;105
3634;47717 Winkels in mode-artikelen;2010;545;285;140;65;35;10;5;0;0;450;95
3635;47718 Textielsupermarkten;2006;305;95;100;55;30;10;5;0;5;245;55
3636;47718 Textielsupermarkten;2007;295;100;75;65;30;15;5;0;5;240;55
3637;47718 Textielsupermarkten;2008;265;105;65;50;25;10;5;0;5;210;55
3638;47718 Textielsupermarkten;2009;260;100;65;45;30;10;0;0;5;200;60
3639;47718 Textielsupermarkten;2010;255;95;70;45;30;10;0;0;5;195;60
3640;47721 Winkels in schoenen;2006;1250;205;385;355;190;65;25;15;10;940;310
3641;47721 Winkels in schoenen;2007;1290;220;295;415;220;80;30;10;15;965;325
3642;47721 Winkels in schoenen;2008;1285;290;340;355;180;70;30;10;10;930;355
3643;47721 Winkels in schoenen;2009;1340;315;335;360;205;65;30;15;15;950;395
3644;47721 Winkels in schoenen;2010;1305;310;325;350;205;65;30;15;15;910;400
3645;47722 Winkels in lederwaren;2006;255;65;85;65;30;10;5;0;0;190;65
3646;47722 Winkels in lederwaren;2007;255;65;60;75;35;10;5;0;0;195;60
3647;47722 Winkels in lederwaren;2008;260;90;70;60;25;10;0;5;0;200;60
3648;47722 Winkels in lederwaren;2009;265;95;70;60;30;10;0;0;0;205;60
3649;47722 Winkels in lederwaren;2010;260;100;70;55;30;10;0;0;0;205;55
3650;4773 Apotheken;2006;1210;130;95;55;300;470;140;15;10;405;800
3651;4773 Apotheken;2007;1265;150;85;75;280;505;150;15;10;395;870
3652;4773 Apotheken;2008;1185;145;65;75;295;460;120;10;10;340;840
3653;4773 Apotheken;2009;1230;160;65;80;260;485;160;10;15;320;910
3654;4773 Apotheken;2010;1200;155;75;75;245;465;155;10;15;310;890
3655;47741 Drogisterijen;2006;1195;155;300;385;255;60;25;0;5;960;235
3656;47741 Drogisterijen;2007;1180;175;210;370;310;75;30;0;5;935;240
3657;47741 Drogisterijen;2008;1120;215;245;320;245;65;20;0;5;865;255
3658;47741 Drogisterijen;2009;1095;210;230;315;235;75;20;0;5;825;265
3659;47741 Drogisterijen;2010;1060;205;230;300;225;70;20;0;5;790;275
3660;47742 Winkels in orthopedische artikelen;2006;170;55;50;25;20;10;5;5;5;100;70
3661;47742 Winkels in orthopedische artikelen;2007;195;70;45;30;25;10;5;0;5;120;75
3662;47742 Winkels in orthopedische artikelen;2008;185;80;45;25;15;10;5;0;5;115;70
3663;47742 Winkels in orthopedische artikelen;2009;195;90;40;30;15;10;5;0;5;115;80
3664;47742 Winkels in orthopedische artikelen;2010;195;90;45;25;15;10;5;0;5;120;75
3665;4775 Winkels in parfums en cosmetica;2006;255;100;70;40;30;15;5;0;5;210;45
3666;4775 Winkels in parfums en cosmetica;2007;260;110;50;40;35;15;5;0;5;215;45
3667;4775 Winkels in parfums en cosmetica;2008;265;130;55;40;25;10;5;0;5;220;45
3668;4775 Winkels in parfums en cosmetica;2009;270;115;60;50;30;10;5;0;5;220;50
3669;4775 Winkels in parfums en cosmetica;2010;270;115;55;45;30;10;5;0;5;210;60
3670;47761 Winkels in bloemen en planten;2006;3075;805;1070;740;365;75;10;0;0;2910;165
3671;47761 Winkels in bloemen en planten;2007;3120;905;845;800;470;85;15;0;0;2960;165
3672;47761 Winkels in bloemen en planten;2008;3045;1090;825;680;365;70;10;0;0;2875;170
3673;47761 Winkels in bloemen en planten;2009;3005;1050;795;665;405;70;15;0;0;2830;170
3674;47761 Winkels in bloemen en planten;2010;2960;1045;785;655;390;70;15;0;0;2780;180
3675;47762 Tuincentra;2006;600;70;140;100;105;100;70;10;5;400;200
3676;47762 Tuincentra;2007;605;90;100;105;115;100;80;10;5;395;210
3677;47762 Tuincentra;2008;580;100;100;115;105;80;65;10;5;375;205
3678;47762 Tuincentra;2009;570;95;100;90;115;85;55;25;5;365;205
3679;47762 Tuincentra;2010;560;95;105;85;110;85;55;25;5;350;210
3680;47763 Winkels in dierbenodigdheden;2006;1300;385;535;255;100;20;5;0;0;1210;90
3681;47763 Winkels in dierbenodigdheden;2007;1335;460;430;295;125;20;5;0;0;1245;90
3682;47763 Winkels in dierbenodigdheden;2008;1350;555;450;240;85;20;0;0;0;1250;105
3683;47763 Winkels in dierbenodigdheden;2009;1360;560;425;255;100;15;5;0;0;1255;105
3684;47763 Winkels in dierbenodigdheden;2010;1350;550;430;250;100;15;5;0;0;1240;105
3685;4777 Juweliers;2006;1465;405;530;350;135;25;10;0;5;1210;250
3686;4777 Juweliers;2007;1515;495;420;360;195;35;10;0;5;1245;265
3687;4777 Juweliers;2008;1495;560;410;335;155;20;10;0;5;1220;275
3688;4777 Juweliers;2009;1480;540;405;345;155;20;5;5;5;1210;270
3689;4777 Juweliers;2010;1470;525;410;340;155;20;5;5;5;1185;280
3690;47781 Winkels in fotografische artikelen;2006;560;110;205;140;70;20;10;0;0;430;130
3691;47781 Winkels in fotografische artikelen;2007;535;125;140;150;85;15;10;0;0;405;130
3692;47781 Winkels in fotografische artikelen;2008;500;140;145;110;70;20;5;0;0;370;130
3693;47781 Winkels in fotografische artikelen;2009;485;135;150;110;70;15;5;0;0;355;130
3694;47781 Winkels in fotografische artikelen;2010;465;130;140;105;65;15;5;0;0;340;125
3695;47782 Winkels in optische artikelen;2006;1175;175;355;380;195;40;25;0;5;745;430
3696;47782 Winkels in optische artikelen;2007;1175;180;285;380;255;50;25;5;5;735;440
3697;47782 Winkels in optische artikelen;2008;1160;220;325;330;220;45;15;0;0;710;450
3698;47782 Winkels in optische artikelen;2009;1195;210;310;345;265;45;20;0;0;705;490
3699;47782 Winkels in optische artikelen;2010;1190;215;310;335;260;45;20;0;0;680;510
3700;47783 Winkels in kunstvoorwerpen;2006;1040;645;320;55;10;5;0;0;0;925;115
3701;47783 Winkels in kunstvoorwerpen;2007;1050;700;260;75;15;5;0;0;0;930;125
3702;47783 Winkels in kunstvoorwerpen;2008;1030;710;245;60;10;5;0;0;0;900;130
3703;47783 Winkels in kunstvoorwerpen;2009;1030;700;255;45;25;5;0;0;0;905;125
3704;47783 Winkels in kunstvoorwerpen;2010;1040;710;250;45;25;5;0;0;0;905;130
3705;47789 Winkels overige artikelen (rest);2006;2260;1045;790;260;100;40;20;5;0;1995;265
3706;47789 Winkels overige artikelen (rest);2007;2390;1205;685;300;125;50;20;5;0;2105;285
3707;47789 Winkels overige artikelen (rest);2008;2430;1340;680;245;110;30;15;5;0;2130;300
3708;47789 Winkels overige artikelen (rest);2009;2445;1315;700;250;130;30;15;5;5;2150;300
3709;47789 Winkels overige artikelen (rest);2010;2450;1320;715;235;125;30;15;5;5;2140;305
3710;47791 Winkels in antiek;2006;1175;675;415;60;20;5;0;0;0;1090;85
3711;47791 Winkels in antiek;2007;1155;725;310;85;30;5;0;0;0;1070;85
3712;47791 Winkels in antiek;2008;1125;750;285;65;20;5;0;0;0;1040;80
3713;47791 Winkels in antiek;2009;1060;700;265;65;25;5;0;0;0;980;80
3714;47791 Winkels in antiek;2010;1025;675;260;65;25;5;0;0;0;955;75
3715;47792 Winkels in tweedehands kleding;2006;255;160;85;5;0;0;0;0;0;250;5
3716;47792 Winkels in tweedehands kleding;2007;270;175;80;10;0;0;0;0;0;265;5
3717;47792 Winkels in tweedehands kleding;2008;270;190;65;15;0;0;0;0;0;265;5
3718;47792 Winkels in tweedehands kleding;2009;275;190;65;15;5;0;0;0;0;270;5
3719;47792 Winkels in tweedehands kleding;2010;265;180;60;15;5;0;0;0;0;260;5
3720;47793 Winkels tweedehands (geen kleding);2006;1305;740;390;90;55;20;10;5;0;1155;155
3721;47793 Winkels tweedehands (geen kleding);2007;1360;845;300;115;65;20;10;5;0;1200;165
3722;47793 Winkels tweedehands (geen kleding);2008;1395;920;285;105;55;15;10;5;0;1220;180
3723;47793 Winkels tweedehands (geen kleding);2009;1370;900;280;90;50;25;15;5;0;1195;170
3724;47793 Winkels tweedehands (geen kleding);2010;1365;900;280;90;50;25;15;5;0;1190;175
3725;478 Markthandel;2006;7320;4050;2435;570;220;40;5;0;0;7190;130
3726;478 Markthandel;2007;7620;4670;1800;795;290;55;5;0;0;7490;130
3727;478 Markthandel;2008;7755;4910;1870;695;235;40;5;0;0;7620;135
3728;478 Markthandel;2009;7915;4990;1930;665;270;50;10;0;0;7765;155
3729;478 Markthandel;2010;7795;4905;1920;655;265;50;5;0;0;7645;155
3730;47811 Markthandel in groenten en fruit;2006;700;230;265;145;50;10;0;0;0;685;15
3731;47811 Markthandel in groenten en fruit;2007;690;260;190;155;70;15;0;0;0;680;10
3732;47811 Markthandel in groenten en fruit;2008;695;275;210;140;65;10;0;0;0;680;15
3733;47811 Markthandel in groenten en fruit;2009;705;285;215;125;70;10;0;0;0;690;15
3734;47811 Markthandel in groenten en fruit;2010;705;295;210;125;70;10;0;0;0;690;15
3735;47819 Markthandel in overige voeding;2006;1545;530;605;260;120;25;0;0;0;1495;50
3736;47819 Markthandel in overige voeding;2007;1585;610;475;300;160;35;0;0;0;1530;55
3737;47819 Markthandel in overige voeding;2008;1600;670;505;275;120;25;5;0;0;1545;55
3738;47819 Markthandel in overige voeding;2009;1650;680;520;275;145;30;5;0;0;1590;60
3739;47819 Markthandel in overige voeding;2010;1660;690;525;270;145;30;5;0;0;1600;60
3740;4782 Markthandel in textiel en kleding;2006;2005;1230;695;65;15;5;0;0;0;1985;25
3741;4782 Markthandel in textiel en kleding;2007;2045;1380;490;150;20;0;0;0;0;2020;25
3742;4782 Markthandel in textiel en kleding;2008;2020;1380;505;110;20;0;0;0;0;1995;25
3743;4782 Markthandel in textiel en kleding;2009;2020;1375;515;110;15;5;0;0;0;1990;30
3744;4782 Markthandel in textiel en kleding;2010;1955;1330;500;110;15;5;0;0;0;1925;30
3745;47891 Markthandel in bloemen en planten;2006;465;210;180;50;20;0;0;0;0;455;10
3746;47891 Markthandel in bloemen en planten;2007;500;260;135;75;30;0;0;0;0;490;10
3747;47891 Markthandel in bloemen en planten;2008;505;275;135;70;20;5;0;0;0;495;10
3748;47891 Markthandel in bloemen en planten;2009;505;260;150;70;25;5;0;0;0;495;10
3749;47891 Markthandel in bloemen en planten;2010;505;255;155;70;25;5;0;0;0;495;10
3750;47892 Markthandel tweedehands goederen;2006;805;580;215;10;0;0;0;0;0;795;10
3751;47892 Markthandel tweedehands goederen;2007;820;645;145;30;0;0;0;0;0;810;10
3752;47892 Markthandel tweedehands goederen;2008;855;680;150;25;5;0;0;0;0;850;5
3753;47892 Markthandel tweedehands goederen;2009;850;670;155;25;0;0;0;0;0;840;5
3754;47892 Markthandel tweedehands goederen;2010;815;640;150;20;0;0;0;0;0;805;5
3755;47899 Markthandel in overige goederen;2006;1800;1270;475;45;10;0;0;0;0;1775;25
3756;47899 Markthandel in overige goederen;2007;1975;1510;365;90;10;0;0;0;0;1955;20
3757;47899 Markthandel in overige goederen;2008;2080;1630;370;75;5;0;0;0;0;2055;25
3758;47899 Markthandel in overige goederen;2009;2185;1725;380;65;10;0;0;0;0;2155;30
3759;47899 Markthandel in overige goederen;2010;2155;1695;385;60;10;0;0;0;0;2125;30
3760;479 Detailhandel, geen winkel of markt;2006;5940;3690;1715;285;140;60;25;10;15;5425;520
3761;479 Detailhandel, geen winkel of markt;2007;7100;4800;1565;445;170;70;30;10;10;6525;575
3762;479 Detailhandel, geen winkel of markt;2008;8330;5865;1760;445;145;65;30;10;10;7665;670
3763;479 Detailhandel, geen winkel of markt;2009;9825;6895;2165;465;175;70;30;5;10;9065;765
