ID;CaoSector;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
356;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 January;103.2;103.0;103.2;103.0;102.7;102.7;100.0;2.5;2.2;2.5;2.2;1.4;1.4;0.0;100.0
357;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 February;103.2;103.0;103.2;103.0;102.7;102.7;100.0;2.5;2.2;2.5;2.2;1.4;1.4;0.0;100.0
358;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 March;103.2;103.0;103.2;103.0;102.7;102.7;100.0;2.5;2.2;2.5;2.2;1.4;1.4;0.0;100.0
359;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 1st quarter;103.2;103.0;103.2;103.0;102.7;102.7;100.0;2.5;2.2;2.5;2.2;1.4;1.4;0.0;100.0
360;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 April;103.3;103.1;103.3;103.1;102.8;102.8;100.0;2.1;1.9;2.1;1.9;1.1;1.1;0.0;100.0
361;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 May;103.3;103.1;103.3;103.1;102.8;102.8;100.0;2.1;1.8;2.1;1.8;1.0;1.0;0.0;100.0
362;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 June;103.3;103.1;103.3;103.1;102.8;102.8;100.0;2.1;1.8;2.1;1.8;1.0;1.0;0.0;100.0
363;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 2nd quarter;103.3;103.1;103.3;103.1;102.8;102.8;100.0;2.1;1.8;2.1;1.8;1.0;1.0;0.0;100.0
364;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 July;104.2;104.0;104.2;104.0;103.8;103.8;100.0;2.8;2.6;2.8;2.6;1.8;1.8;0.0;100.0
365;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 August;104.2;104.0;104.2;104.0;103.8;103.8;100.0;2.8;2.6;2.8;2.6;3.6;3.6;0.0;100.0
366;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 September;104.2;104.0;104.2;104.0;103.8;103.8;100.0;2.8;2.6;2.8;2.6;3.6;3.6;0.0;100.0
367;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 3rd quarter;104.2;104.0;104.2;104.0;103.8;103.8;100.0;2.8;2.6;2.8;2.6;3.0;3.0;0.0;100.0
368;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 October;104.9;104.7;104.9;104.7;104.6;104.6;100.0;3.5;3.3;3.5;3.3;4.4;4.4;0.0;100.0
369;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 November;104.9;104.7;104.9;104.7;104.6;104.6;100.0;3.5;3.3;3.5;3.3;4.4;4.4;0.0;100.0
370;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 December;104.9;104.7;104.9;104.7;104.6;104.6;100.0;3.5;3.3;3.5;3.3;4.4;4.4;0.0;100.0
371;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 4th quarter;104.9;104.7;104.9;104.7;104.6;104.6;100.0;3.5;3.3;3.5;3.3;4.4;4.4;0.0;100.0
372;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2022 year;103.9;103.7;103.9;103.7;103.5;103.5;100.0;2.7;2.5;2.7;2.5;2.5;2.5;0.0;100.0
373;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 January;108.1;107.9;108.1;107.9;107.7;107.7;100.0;4.7;4.8;4.7;4.8;4.9;4.9;0.0;100.0
374;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 February;108.1;107.9;108.1;107.9;107.7;107.7;100.0;4.7;4.8;4.7;4.8;4.9;4.9;0.0;100.0
375;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 March;109.3;109.1;109.3;109.1;109.0;109.0;100.0;5.9;5.9;5.9;5.9;6.1;6.1;0.0;100.0
376;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 1st quarter;108.5;108.3;108.5;108.3;108.1;108.1;100.0;5.1;5.1;5.1;5.1;5.3;5.3;0.0;100.0
377;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 April;109.3;109.1;109.3;109.1;109.0;109.0;100.0;5.8;5.8;5.8;5.8;6.0;6.0;0.0;100.0
378;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 May;109.3;109.1;109.3;109.1;109.0;109.0;100.0;5.8;5.8;5.8;5.8;6.0;6.0;0.0;100.0
379;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 June;109.3;109.1;109.3;109.1;109.0;109.0;100.0;5.8;5.8;5.8;5.8;6.0;6.0;0.0;100.0
380;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 2nd quarter;109.3;109.1;109.3;109.1;109.0;109.0;100.0;5.8;5.8;5.8;5.8;6.0;6.0;0.0;100.0
381;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 July;110.5;110.3;110.5;110.3;110.3;110.3;100.0;6.0;6.1;6.0;6.1;6.3;6.3;0.0;100.0
382;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 August;110.5;110.3;110.5;110.3;110.3;110.3;100.0;6.0;6.1;6.0;6.1;6.3;6.3;0.0;100.0
383;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 September;110.6;110.4;110.6;110.4;110.4;110.4;100.0;6.1;6.2;6.1;6.2;6.4;6.4;0.0;100.0
384;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 3rd quarter;110.6;110.4;110.6;110.4;110.3;110.3;100.0;6.1;6.2;6.1;6.2;6.3;6.3;0.0;100.0
385;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 October;110.6;110.4;110.6;110.4;110.4;110.4;100.0;5.4;5.4;5.4;5.4;5.5;5.5;0.0;100.0
386;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 November;110.7;110.5;110.7;110.5;110.4;110.4;100.0;5.5;5.5;5.5;5.5;5.5;5.5;0.0;100.0
387;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 December;110.7;110.5;110.7;110.5;110.4;110.4;100.0;5.5;5.5;5.5;5.5;5.5;5.5;0.0;100.0
388;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 4th quarter;110.7;110.5;110.7;110.5;110.4;110.4;100.0;5.5;5.5;5.5;5.5;5.5;5.5;0.0;100.0
389;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2023 year;109.7;109.5;109.7;109.5;109.5;109.5;100.0;5.6;5.6;5.6;5.6;5.8;5.8;0.0;100.0
390;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 January;117.5;117.2;117.5;117.2;117.6;117.6;100.0;8.7;8.6;8.7;8.6;9.2;9.2;0.0;100.0
391;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 February;117.5;117.2;117.5;117.2;117.6;117.6;100.0;8.7;8.6;8.7;8.6;9.2;9.2;0.0;100.0
392;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 March;117.5;117.2;117.5;117.2;117.6;117.6;100.0;7.5;7.4;7.5;7.4;7.9;7.9;0.0;100.0
393;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 1st quarter;117.5;117.2;117.5;117.2;117.6;117.6;100.0;8.3;8.2;8.3;8.2;8.8;8.8;0.0;100.0
394;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 April;117.5;117.2;117.5;117.2;117.6;117.6;100.0;7.5;7.4;7.5;7.4;7.9;7.9;0.0;100.0
395;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 May;117.6;117.4;117.6;117.4;117.7;117.7;100.0;7.6;7.6;7.6;7.6;8.0;8.0;0.0;100.0
396;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 June;117.7;117.4;117.7;117.4;117.7;117.7;100.0;7.7;7.6;7.7;7.6;8.0;8.0;0.0;100.0
397;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 2nd quarter;117.6;117.3;117.6;117.3;117.7;117.7;100.0;7.6;7.5;7.6;7.5;8.0;8.0;0.0;100.0
398;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 July;119.4;119.1;119.4;119.1;119.6;119.6;100.0;8.1;8.0;8.1;8.0;8.4;8.4;0.0;100.0
399;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 August;119.4;119.1;119.4;119.1;119.6;119.6;100.0;8.1;8.0;8.1;8.0;8.4;8.4;0.0;100.0
400;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 September;119.4;119.1;119.4;119.1;119.6;119.6;100.0;8.0;7.9;8.0;7.9;8.3;8.3;0.0;100.0
401;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 3rd quarter;119.4;119.1;119.4;119.1;119.6;119.6;100.0;8.0;7.9;8.0;7.9;8.4;8.4;0.0;100.0
402;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 October;119.4;119.1;119.4;119.1;119.6;119.6;100.0;8.0;7.9;8.0;7.9;8.3;8.3;0.0;100.0
403;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 November;119.5;119.2;119.5;119.2;119.6;119.6;100.0;7.9;7.9;7.9;7.9;8.3;8.3;0.0;100.0
404;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 December;119.5;119.2;119.5;119.2;119.6;119.6;100.0;7.9;7.9;7.9;7.9;8.3;8.3;0.0;100.0
405;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 4th quarter;119.4;119.1;119.4;119.1;119.6;119.6;100.0;7.9;7.8;7.9;7.8;8.3;8.3;0.0;100.0
406;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2024 year;118.5;118.2;118.5;118.2;118.6;118.6;100.0;8.0;7.9;8.0;7.9;8.3;8.3;0.0;100.0
407;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2025 January;122.6;122.3;122.6;122.3;122.8;122.8;100.0;4.3;4.4;4.3;4.4;4.4;4.4;0.0;100.0
408;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2025 February;122.6;122.3;122.6;122.3;122.8;122.8;100.0;4.3;4.4;4.3;4.4;4.4;4.4;0.0;100.0
409;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2025 March;122.6;122.3;122.6;122.3;122.8;122.8;100.0;4.3;4.4;4.3;4.4;4.4;4.4;0.0;100.0
410;Total collective labour agreement sector;A Agriculture, forestry and fishing;Current figures;2025 1st quarter;122.6;122.3;122.6;122.3;122.8;122.8;100.0;4.3;4.4;4.3;4.4;4.4;4.4;0.0;100.0
411;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1972 year;;;;;;;;;;;;;;;
412;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1973 year;;;;;;;;;;;;;;;
413;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1974 year;;;;;;;;;;;;;;;
414;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1975 year;;;;;;;;;;;;;;;
415;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1976 year;;;;;;;;;;;;;;;
416;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1977 year;;;;;;;;;;;;;;;
417;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1978 year;;;;;;;;;;;;;;;
418;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1979 year;;;;;;;;;;;;;;;
419;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1980 year;;;;;;;;;;;;;;;
420;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1981 year;;;;;;;;;;;;;;;
421;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1982 year;;;;;;;;;;;;;;;
422;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1983 year;;;;;;;;;;;;;;;
423;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1984 year;;;;;;;;;;;;;;;
424;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1985 year;;;;;;;;;;;;;;;
425;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1986 year;;;;;;;;;;;;;;;
426;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1987 year;;;;;;;;;;;;;;;
427;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1988 year;;;;;;;;;;;;;;;
428;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1989 year;;;;;;;;;;;;;;;
429;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1990 year;;;;;;;;;;;;;;;
430;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1991 year;;;;;;;;;;;;;;;
431;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1992 year;;;;;;;;;;;;;;;
432;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1993 year;;;;;;;;;;;;;;;
433;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1994 year;;;;;;;;;;;;;;;
434;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1995 year;;;;;;;;;;;;;;;
435;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1996 year;;;;;;;;;;;;;;;
436;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1997 year;;;;;;;;;;;;;;;
437;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1998 year;;;;;;;;;;;;;;;
438;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;1999 year;;;;;;;;;;;;;;;
439;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2000 year;;;;;;;;;;;;;;;
440;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2001 year;;;;;;;;;;;;;;;
441;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2002 year;;;;;;;;;;;;;;;
442;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2003 year;;;;;;;;;;;;;;;
443;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2004 year;;;;;;;;;;;;;;;
444;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2005 year;;;;;;;;;;;;;;;
445;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2006 year;;;;;;;;;;;;;;;
446;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2007 year;;;;;;;;;;;;;;;
447;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2008 year;;;;;;;;;;;;;;;
448;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2009 year;;;;;;;;;;;;;;;
449;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2010 year;;;;;;;;;;;;;;;
450;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2011 year;;;;;;;;;;;;;;;
451;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2012 year;;;;;;;;;;;;;;;
452;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2013 year;;;;;;;;;;;;;;;
453;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2014 year;;;;;;;;;;;;;;;
454;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2015 year;;;;;;;;;;;;;;;
455;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2016 year;;;;;;;;;;;;;;;
456;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2017 year;;;;;;;;;;;;;;;
457;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2018 year;;;;;;;;;;;;;;;
458;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2019 year;;;;;;;;;;;;;;;
459;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 January;99.6;99.6;99.6;99.6;99.6;99.6;100.0;;;;;;;;100.0
460;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 February;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
461;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 March;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
462;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 1st quarter;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
463;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 April;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
464;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 May;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
465;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 June;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
466;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 2nd quarter;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
467;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 July;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
468;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 August;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
469;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 September;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
470;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 3rd quarter;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
471;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 October;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
472;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 November;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
473;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 December;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
474;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 4th quarter;100.3;100.3;100.3;100.3;100.3;100.3;100.0;;;;;;;;100.0
475;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2020 year;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;;;;;100.0
476;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 January;100.7;100.8;100.7;100.8;101.3;101.3;100.0;;;;;;;;100.0
477;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 February;100.7;100.8;100.7;100.8;101.3;101.3;100.0;;;;;;;;100.0
478;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 March;100.7;100.8;100.7;100.8;101.3;101.3;100.0;;;;;;;;100.0
479;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 1st quarter;100.7;100.8;100.7;100.8;101.3;101.3;100.0;;;;;;;;100.0
480;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 April;101.2;101.2;101.2;101.2;101.7;101.7;100.0;;;;;;;;100.0
481;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 May;101.2;101.3;101.2;101.3;101.8;101.8;100.0;;;;;;;;100.0
482;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 June;101.2;101.3;101.2;101.3;101.8;101.8;100.0;;;;;;;;100.0
483;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 2nd quarter;101.2;101.3;101.2;101.3;101.8;101.8;100.0;;;;;;;;100.0
484;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 July;101.4;101.4;101.4;101.4;102.0;102.0;100.0;;;;;;;;100.0
485;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 August;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
486;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 September;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
487;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 3rd quarter;101.4;101.4;101.4;101.4;100.8;100.8;100.0;;;;;;;;100.0
488;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 October;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
489;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 November;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
490;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 December;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
491;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 4th quarter;101.4;101.4;101.4;101.4;100.2;100.2;100.0;;;;;;;;100.0
492;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2021 year;101.2;101.2;101.2;101.2;101.0;101.0;100.0;;;;;;;;100.0
493;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 January;103.2;103.0;103.2;103.0;102.7;102.7;100.0;;;;;;;;100.0
494;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 February;103.2;103.0;103.2;103.0;102.7;102.7;100.0;;;;;;;;100.0
495;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 March;103.2;103.0;103.2;103.0;102.7;102.7;100.0;;;;;;;;100.0
496;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 1st quarter;103.2;103.0;103.2;103.0;102.7;102.7;100.0;;;;;;;;100.0
497;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 April;103.3;103.1;103.3;103.1;102.8;102.8;100.0;;;;;;;;100.0
498;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 May;103.3;103.1;103.3;103.1;102.8;102.8;100.0;;;;;;;;100.0
499;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 June;103.3;103.1;103.3;103.1;102.8;102.8;100.0;;;;;;;;100.0
500;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 2nd quarter;103.3;103.1;103.3;103.1;102.8;102.8;100.0;;;;;;;;100.0
501;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 July;104.2;104.0;104.2;104.0;103.8;103.8;100.0;;;;;;;;100.0
502;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 August;104.2;104.0;104.2;104.0;103.8;103.8;100.0;;;;;;;;100.0
503;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 September;104.2;104.0;104.2;104.0;103.8;103.8;100.0;;;;;;;;100.0
504;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 3rd quarter;104.2;104.0;104.2;104.0;103.8;103.8;100.0;;;;;;;;100.0
505;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 October;104.9;104.7;104.9;104.7;104.6;104.6;100.0;;;;;;;;100.0
506;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 November;104.9;104.7;104.9;104.7;104.6;104.6;100.0;;;;;;;;100.0
507;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 December;104.9;104.7;104.9;104.7;104.6;104.6;100.0;;;;;;;;100.0
508;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 4th quarter;104.9;104.7;104.9;104.7;104.6;104.6;100.0;;;;;;;;100.0
509;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2022 year;103.9;103.7;103.9;103.7;103.5;103.5;100.0;;;;;;;;100.0
510;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 January;108.1;107.9;108.1;107.9;107.7;107.7;100.0;;;;;;;;100.0
511;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 February;108.1;107.9;108.1;107.9;107.7;107.7;100.0;;;;;;;;100.0
512;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 March;109.3;109.1;109.3;109.1;109.0;109.0;100.0;;;;;;;;100.0
513;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 1st quarter;108.5;108.3;108.5;108.3;108.1;108.1;100.0;;;;;;;;100.0
514;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 April;109.3;109.1;109.3;109.1;109.0;109.0;100.0;;;;;;;;100.0
515;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 May;109.3;109.1;109.3;109.1;109.0;109.0;100.0;;;;;;;;100.0
516;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 June;109.3;109.1;109.3;109.1;109.0;109.0;100.0;;;;;;;;100.0
517;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 2nd quarter;109.3;109.1;109.3;109.1;109.0;109.0;100.0;;;;;;;;100.0
518;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 July;110.5;110.3;110.5;110.3;110.3;110.3;100.0;;;;;;;;100.0
519;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 August;110.5;110.3;110.5;110.3;110.3;110.3;100.0;;;;;;;;100.0
520;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 September;110.6;110.4;110.6;110.4;110.3;110.3;100.0;;;;;;;;100.0
521;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 3rd quarter;110.5;110.3;110.5;110.3;110.3;110.3;100.0;;;;;;;;100.0
522;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 October;110.6;110.4;110.6;110.4;110.3;110.3;100.0;;;;;;;;100.0
523;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 November;110.6;110.4;110.6;110.4;110.4;110.4;100.0;;;;;;;;100.0
524;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 December;110.6;110.4;110.6;110.4;110.4;110.4;100.0;;;;;;;;100.0
525;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 4th quarter;110.6;110.4;110.6;110.4;110.4;110.4;100.0;;;;;;;;100.0
526;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2023 year;109.7;109.5;109.7;109.5;109.4;109.4;100.0;;;;;;;;100.0
527;Total collective labour agreement sector;A Agriculture, forestry and fishing;First-published figures;2024 January;117.5;117.1;117.5;117.1;117.5;117.5;100.0;;;;;;;;61.0
