ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
1453;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2019;111.2
1454;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2020;81.4
1455;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2021;87.7
1456;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2022;95.0
1457;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2023;101.8
1458;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;13.5
1459;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;13.6
1460;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;10.1
1461;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;10.7
1462;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;12.0
1463;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;12.4
1464;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;27.1
1465;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;27.0
1466;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;20.0
1467;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;21.3
1468;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;22.9
1469;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;24.6
1470;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2018;49.1
1471;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2019;48.8
1472;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2020;35.0
1473;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2021;37.8
1474;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2022;40.6
1475;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2023;43.6
1476;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;24.2
1477;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;24.7
1478;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;18.4
1479;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;20.2
1480;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;21.9
1481;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;23.6
1482;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2018;3.9
1483;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2019;4.4
1484;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2020;3.3
1485;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2021;3.6
1486;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2022;4.0
1487;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2023;3.4
1488;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2018;5.5
1489;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2019;5.9
1490;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2020;4.5
1491;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2021;4.6
1492;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2022;5.1
1493;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2023;5.4
1494;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2018;4.7
1495;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2019;4.1
1496;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2020;2.8
1497;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2021;3.1
1498;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2022;3.5
1499;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2023;4.3
1500;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2018;8.7
1501;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2019;8.2
1502;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2020;6.2
1503;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2021;7.0
1504;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2022;7.2
1505;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2023;7.7
1506;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2018;3.6
1507;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2019;3.4
1508;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2020;2.8
1509;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2021;2.9
1510;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2022;3.1
1511;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2023;3.5
1512;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2018;15.5
1513;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2019;16.2
1514;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2020;11.6
1515;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2021;12.2
1516;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2022;13.2
1517;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2023;14.1
1518;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2018;9.1
1519;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2019;10.0
1520;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2020;6.8
1521;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2021;7.0
1522;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2022;7.7
1523;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2023;8.3
1524;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2018;17.1
1525;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2019;16.0
1526;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2020;11.2
1527;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2021;12.8
1528;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2022;13.9
1529;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2023;14.5
1530;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;21.7
1531;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;21.2
1532;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;15.9
1533;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;16.3
1534;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;17.6
1535;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;18.9
1536;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2018;2.8
1537;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2019;3.2
1538;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2020;2.2
1539;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2021;2.9
1540;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2022;2.6
1541;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2023;3.2
1542;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;17.7
1543;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;18.4
1544;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;13.0
1545;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;14.6
1546;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;15.8
1547;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;17.4
1548;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2018;6.9
1549;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2019;6.7
1550;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2020;5.7
1551;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2021;6.0
1552;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2022;6.5
1553;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2023;6.5
1554;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2018;20.3
1555;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2019;19.7
1556;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2020;14.6
1557;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2021;16.0
1558;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2022;18.0
1559;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2023;18.5
1560;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2018;35.4
1561;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2019;34.5
1562;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2020;25.5
1563;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2021;27.2
1564;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2022;28.9
1565;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2023;30.5
1566;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2018;18.8
1567;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2019;19.7
1568;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2020;14.0
1569;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2021;14.5
1570;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2022;16.8
1571;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Moderately urbanised;2023;18.8
1572;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2018;29.0
1573;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2019;28.6
1574;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2020;21.0
1575;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2021;23.1
1576;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2022;25.2
1577;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Hardly urbanised;2023;27.0
1578;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2018;11.0
1579;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2019;12.3
1580;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2020;8.8
1581;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2021;9.5
1582;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2022;8.9
1583;Passenger car (driver);Population: 12 years or older;Upper bound 95% confidence interval;Not urbanised;2023;9.9
1584;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2018;38.7
1585;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2019;39.0
1586;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2020;25.8
1587;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2021;30.2
1588;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2022;32.7
1589;Passenger car (passenger);Population 6 years or older;Value;The Netherlands;2023;36.5
1590;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2018;4.8
1591;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2019;5.3
1592;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2020;3.0
1593;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2021;3.7
1594;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2022;3.8
1595;Passenger car (passenger);Population 6 years or older;Value;Noord-Nederland (LD);2023;3.9
1596;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2018;8.8
1597;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2019;8.4
1598;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2020;5.7
1599;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2021;6.9
1600;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2022;7.7
1601;Passenger car (passenger);Population 6 years or older;Value;Oost-Nederland (LD);2023;8.8
1602;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2018;17.0
1603;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2019;17.3
1604;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2020;11.8
1605;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2021;14.1
1606;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2022;14.6
1607;Passenger car (passenger);Population 6 years or older;Value;West-Nederland (LD);2023;16.1
1608;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2018;8.1
1609;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2019;8.0
1610;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2020;5.3
1611;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2021;5.4
1612;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2022;6.7
1613;Passenger car (passenger);Population 6 years or older;Value;Zuid-Nederland (LD);2023;7.8
1614;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2018;1.6
1615;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2019;1.6
1616;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2020;0.9
1617;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2021;1.2
1618;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2022;1.3
1619;Passenger car (passenger);Population 6 years or older;Value;Groningen (PV);2023;1.2
1620;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2018;1.9
1621;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2019;2.3
1622;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2020;1.0
1623;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2021;1.5
1624;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2022;1.5
1625;Passenger car (passenger);Population 6 years or older;Value;Fryslân (PV);2023;1.5
1626;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2018;1.4
1627;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2019;1.4
1628;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2020;1.0
1629;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2021;1.1
1630;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2022;1.0
1631;Passenger car (passenger);Population 6 years or older;Value;Drenthe (PV);2023;1.2
1632;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2018;2.8
1633;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2019;2.9
1634;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2020;1.6
1635;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2021;2.0
1636;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2022;2.2
1637;Passenger car (passenger);Population 6 years or older;Value;Overijssel (PV);2023;2.8
1638;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2018;1.0
1639;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2019;1.1
1640;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2020;0.8
1641;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2021;1.1
1642;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2022;1.2
1643;Passenger car (passenger);Population 6 years or older;Value;Flevoland (PV);2023;1.0
1644;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2018;5.0
1645;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2019;4.3
1646;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2020;3.3
1647;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2021;3.8
1648;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2022;4.3
1649;Passenger car (passenger);Population 6 years or older;Value;Gelderland (PV);2023;5.0
1650;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2018;3.0
1651;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2019;3.6
1652;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2020;2.1
1653;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2021;2.6
1654;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2022;2.8
1655;Passenger car (passenger);Population 6 years or older;Value;Utrecht (PV);2023;3.1
1656;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2018;6.0
1657;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2019;5.2
1658;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2020;3.9
1659;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2021;4.7
1660;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2022;5.0
1661;Passenger car (passenger);Population 6 years or older;Value;Noord-Holland (PV);2023;5.2
1662;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2018;7.2
1663;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2019;7.5
1664;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2020;5.2
1665;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2021;6.2
1666;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2022;6.1
1667;Passenger car (passenger);Population 6 years or older;Value;Zuid-Holland (PV);2023;7.0
1668;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2018;0.7
1669;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2019;1.1
1670;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2020;0.7
1671;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2021;0.7
1672;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2022;0.7
1673;Passenger car (passenger);Population 6 years or older;Value;Zeeland (PV);2023;0.8
1674;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2018;5.5
1675;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2019;5.5
1676;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2020;3.7
1677;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2021;3.8
1678;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2022;4.7
1679;Passenger car (passenger);Population 6 years or older;Value;Noord-Brabant (PV);2023;5.8
1680;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2018;2.6
1681;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2019;2.5
1682;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2020;1.6
1683;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2021;1.6
1684;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2022;2.0
1685;Passenger car (passenger);Population 6 years or older;Value;Limburg (PV);2023;2.0
1686;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2018;7.4
1687;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2019;6.8
1688;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2020;5.4
1689;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2021;6.5
1690;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2022;7.1
1691;Passenger car (passenger);Population 6 years or older;Value;Extremely urbanised;2023;7.4
1692;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2018;11.5
1693;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2019;12.1
1694;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2020;7.7
1695;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2021;9.6
1696;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2022;9.7
1697;Passenger car (passenger);Population 6 years or older;Value;Strongly urbanised;2023;11.3
1698;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2018;6.2
1699;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2019;6.6
1700;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2020;4.5
1701;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2021;4.9
1702;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2022;5.5
1703;Passenger car (passenger);Population 6 years or older;Value;Moderately urbanised;2023;6.6
1704;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2018;10.1
1705;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2019;9.8
1706;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2020;5.9
1707;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2021;6.9
1708;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2022;8.1
1709;Passenger car (passenger);Population 6 years or older;Value;Hardly urbanised;2023;8.2
1710;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2018;3.4
1711;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2019;3.7
1712;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2020;2.3
1713;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2021;2.3
1714;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2022;2.3
1715;Passenger car (passenger);Population 6 years or older;Value;Not urbanised;2023;3.0
1716;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2018;37.1
1717;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2019;37.1
1718;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2020;24.6
1719;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2021;28.9
1720;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2022;31.3
1721;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;The Netherlands;2023;34.9
1722;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;4.2
1723;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;4.4
1724;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;2.6
1725;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;3.1
1726;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;3.2
1727;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;3.3
1728;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;8.0
1729;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;7.6
1730;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;5.1
1731;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;6.2
1732;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;7.0
1733;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;8.0
1734;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2018;15.9
1735;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2019;16.1
1736;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2020;11.0
1737;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2021;13.3
1738;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2022;13.7
1739;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2023;15.1
1740;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;7.4
1741;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;7.1
1742;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;4.7
1743;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;4.9
1744;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;6.0
