ID;Sex;PersonalCharacteristics;RegisteredEmploymentUWV;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;PartTime_7;LessThan20HoursAWeek_8;LessThan12HoursAWeek_9;k_12To19HoursAWeek_10;k_20To34HoursAWeek_11;FullTime_12;Unknown_13;NotInTheLabourForce_14;AvailableToWorkButNotSeeking_15;BecauseOfDiscouragement_16;BecauseOfOtherReason_17;SeekingWorkButNotAvailable_18;NotSeekingWorkNotAvailable_19;WantToWork_20;DoesnTWantToOrCanTWork_21;BecauseOfFamilyHouseholdCare_22;BecauseOfEducation_23;BecauseOfRetirementOldAge_24;BecauseOfIllnessDisability_25;BecauseOfOtherReason_26
2801;Total male and female;1 Primary, lower secondary;Registered at an employment office;2021 2nd quarter;424.0;128.0;10.0;118.0;296.0;48.0;22.0;4.0;1.0;3.0;18.0;21.0;5.0;248.0;21.0;3.0;18.0;15.0;212.0;;;22.0;20.0;15.0;133.0;23.0
2802;Total male and female;1 Primary, lower secondary;Registered at an employment office;2021 3rd quarter;407.0;133.0;13.0;120.0;273.0;33.0;18.0;6.0;1.0;4.0;13.0;13.0;2.0;240.0;17.0;3.0;14.0;16.0;207.0;;;18.0;16.0;16.0;143.0;13.0
2803;Total male and female;1 Primary, lower secondary;Registered at an employment office;2021 4th quarter;397.0;126.0;12.0;114.0;271.0;35.0;19.0;4.0;1.0;3.0;15.0;11.0;4.0;236.0;14.0;3.0;11.0;11.0;212.0;;;20.0;13.0;12.0;150.0;16.0
2804;Total male and female;1 Primary, lower secondary;Registered at an employment office;2021;414.0;126.0;13.0;113.0;288.0;42.0;22.0;4.0;1.0;3.0;17.0;16.0;4.0;245.0;18.0;3.0;15.0;14.0;213.0;;;20.0;16.0;15.0;139.0;23.0
2805;Total male and female;1 Primary, lower secondary;Registered at an employment office;2022 1st quarter;400.0;122.0;12.0;110.0;278.0;36.0;19.0;5.0;1.0;4.0;14.0;13.0;5.0;241.0;14.0;3.0;11.0;17.0;211.0;;;25.0;12.0;12.0;149.0;14.0
2806;Total male and female;1 Primary, lower secondary;Registered at an employment office;2022 2nd quarter;383.0;113.0;11.0;103.0;270.0;26.0;15.0;3.0;0.0;2.0;12.0;9.0;2.0;244.0;15.0;1.0;14.0;14.0;215.0;;;24.0;10.0;14.0;152.0;15.0
2807;Total male and female;1 Primary, lower secondary;Registered at an employment office;2022 3rd quarter;375.0;104.0;12.0;92.0;271.0;27.0;18.0;3.0;1.0;2.0;14.0;6.0;4.0;244.0;12.0;2.0;10.0;17.0;215.0;;;25.0;11.0;13.0;154.0;12.0
2808;Total male and female;1 Primary, lower secondary;Registered at an employment office;2022 4th quarter;372.0;106.0;11.0;95.0;266.0;30.0;18.0;4.0;2.0;2.0;14.0;9.0;2.0;236.0;10.0;2.0;8.0;15.0;211.0;;;25.0;13.0;11.0;151.0;11.0
2809;Total male and female;1 Primary, lower secondary;Registered at an employment office;2022;382.0;111.0;11.0;100.0;271.0;30.0;17.0;4.0;1.0;3.0;14.0;9.0;4.0;241.0;13.0;2.0;11.0;16.0;213.0;;;25.0;12.0;12.0;151.0;13.0
2810;Total male and female;1 Primary, lower secondary;Registered at an employment office;2023 1st quarter;379.0;107.0;13.0;94.0;272.0;30.0;15.0;4.0;1.0;3.0;11.0;12.0;3.0;242.0;10.0;1.0;8.0;12.0;221.0;;;25.0;17.0;13.0;152.0;14.0
2811;Total male and female;1 Primary, lower secondary;Registered at an employment office;2023 2nd quarter;389.0;113.0;11.0;102.0;276.0;26.0;13.0;4.0;1.0;3.0;10.0;10.0;3.0;250.0;12.0;1.0;11.0;14.0;224.0;;;23.0;16.0;12.0;156.0;17.0
2812;Total male and female;1 Primary, lower secondary;Registered at an employment office;2023 3rd quarter;385.0;102.0;8.0;94.0;283.0;27.0;13.0;2.0;0.0;2.0;11.0;12.0;2.0;256.0;12.0;1.0;11.0;10.0;234.0;;;25.0;19.0;10.0;162.0;17.0
2813;Total male and female;1 Primary, lower secondary;Registered at an employment office;2023 4th quarter;382.0;103.0;7.0;96.0;279.0;32.0;17.0;3.0;1.0;3.0;13.0;12.0;3.0;247.0;10.0;1.0;9.0;11.0;225.0;;;25.0;16.0;12.0;158.0;14.0
2814;Total male and female;1 Primary, lower secondary;Registered at an employment office;2023;384.0;106.0;10.0;96.0;277.0;29.0;15.0;3.0;1.0;2.0;11.0;11.0;3.0;249.0;11.0;1.0;10.0;12.0;226.0;;;25.0;17.0;12.0;157.0;15.0
2815;Total male and female;1 Primary, lower secondary;Registered at an employment office;2024 1st quarter;388.0;100.0;9.0;91.0;288.0;32.0;18.0;4.0;2.0;2.0;15.0;11.0;3.0;256.0;12.0;0.0;12.0;15.0;229.0;;;21.0;17.0;13.0;165.0;13.0
2816;Total male and female;1 Primary, lower secondary;Registered at an employment office;2024 2nd quarter;381.0;105.0;10.0;95.0;276.0;30.0;17.0;5.0;2.0;3.0;12.0;12.0;2.0;246.0;8.0;1.0;7.0;15.0;223.0;;;23.0;19.0;13.0;154.0;15.0
2817;Total male and female;1 Primary, lower secondary;Registered at an employment office;2024 3rd quarter;383.0;106.0;8.0;97.0;277.0;29.0;16.0;4.0;1.0;3.0;13.0;12.0;1.0;248.0;13.0;1.0;12.0;12.0;223.0;;;26.0;23.0;13.0;148.0;13.0
2818;Total male and female;1 Primary, lower secondary;Registered at an employment office;2024 4th quarter;390.0;103.0;7.0;96.0;287.0;28.0;18.0;4.0;1.0;3.0;14.0;9.0;2.0;259.0;14.0;1.0;13.0;13.0;232.0;;;24.0;19.0;12.0;161.0;16.0
2819;Total male and female;1 Primary, lower secondary;Registered at an employment office;2024;385.0;103.0;9.0;95.0;282.0;30.0;17.0;4.0;1.0;3.0;13.0;11.0;2.0;252.0;12.0;1.0;11.0;14.0;227.0;;;24.0;19.0;13.0;157.0;14.0
2820;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2821;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2822;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2823;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2824;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
2825;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2826;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2827;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2828;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2829;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
2830;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2831;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2832;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2833;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2834;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
2835;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2836;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2837;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2838;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2839;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
2840;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2841;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2842;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2843;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2844;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
2845;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2018 1st quarter;83.0;44.0;11.0;33.0;39.0;25.0;13.0;2.0;1.0;1.0;10.0;12.0;1.0;14.0;2.0;1.0;2.0;6.0;6.0;1.0;5.0;0.0;0.0;1.0;3.0;0.0
2846;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2018 2nd quarter;78.0;44.0;11.0;34.0;33.0;20.0;9.0;2.0;0.0;2.0;7.0;9.0;2.0;13.0;1.0;0.0;0.0;7.0;6.0;1.0;5.0;0.0;0.0;2.0;2.0;1.0
2847;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2018 3rd quarter;70.0;37.0;8.0;30.0;32.0;18.0;9.0;2.0;0.0;2.0;7.0;7.0;2.0;15.0;2.0;0.0;1.0;5.0;8.0;2.0;6.0;0.0;0.0;2.0;3.0;1.0
2848;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2018 4th quarter;69.0;37.0;8.0;30.0;31.0;18.0;11.0;3.0;1.0;2.0;9.0;6.0;1.0;13.0;1.0;0.0;1.0;6.0;6.0;1.0;5.0;0.0;0.0;2.0;2.0;0.0
2849;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2018;75.0;41.0;9.0;31.0;34.0;20.0;10.0;2.0;1.0;2.0;8.0;8.0;1.0;14.0;1.0;0.0;1.0;6.0;6.0;1.0;5.0;0.0;0.0;2.0;3.0;1.0
2850;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2019 1st quarter;64.0;31.0;5.0;26.0;33.0;20.0;9.0;1.0;0.0;1.0;7.0;10.0;2.0;13.0;2.0;0.0;2.0;4.0;7.0;1.0;6.0;0.0;0.0;2.0;3.0;1.0
2851;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2019 2nd quarter;68.0;35.0;6.0;29.0;33.0;19.0;8.0;2.0;1.0;1.0;6.0;10.0;1.0;14.0;2.0;0.0;2.0;5.0;7.0;1.0;6.0;0.0;0.0;2.0;2.0;1.0
2852;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2019 3rd quarter;52.0;28.0;3.0;25.0;24.0;14.0;7.0;1.0;0.0;1.0;5.0;5.0;2.0;11.0;2.0;0.0;1.0;4.0;4.0;0.0;4.0;1.0;0.0;1.0;2.0;0.0
2853;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2019 4th quarter;44.0;21.0;4.0;17.0;23.0;17.0;8.0;2.0;0.0;2.0;6.0;8.0;1.0;6.0;0.0;0.0;0.0;4.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0
2854;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2019;57.0;29.0;5.0;24.0;28.0;17.0;8.0;2.0;0.0;1.0;6.0;8.0;1.0;11.0;1.0;0.0;1.0;4.0;5.0;1.0;4.0;0.0;0.0;2.0;2.0;1.0
2855;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2020 1st quarter;51.0;23.0;4.0;20.0;28.0;16.0;8.0;2.0;0.0;2.0;6.0;7.0;1.0;12.0;2.0;0.0;1.0;6.0;5.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0
2856;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2020 2nd quarter;66.0;33.0;6.0;27.0;33.0;23.0;9.0;1.0;0.0;1.0;8.0;13.0;2.0;10.0;2.0;0.0;2.0;4.0;4.0;1.0;3.0;0.0;0.0;0.0;2.0;1.0
2857;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2020 3rd quarter;61.0;29.0;5.0;25.0;32.0;23.0;9.0;2.0;1.0;1.0;7.0;13.0;1.0;9.0;2.0;0.0;2.0;2.0;6.0;1.0;4.0;1.0;1.0;0.0;2.0;0.0
2858;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2020 4th quarter;59.0;30.0;6.0;24.0;29.0;21.0;8.0;1.0;1.0;0.0;8.0;13.0;0.0;8.0;1.0;0.0;1.0;3.0;4.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0
2859;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2020;59.0;29.0;5.0;24.0;31.0;21.0;9.0;1.0;0.0;1.0;7.0;11.0;1.0;10.0;2.0;0.0;1.0;4.0;5.0;1.0;3.0;0.0;0.0;0.0;2.0;1.0
2860;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2021 1st quarter;58.0;20.0;2.0;17.0;38.0;21.0;8.0;1.0;1.0;0.0;7.0;12.0;2.0;17.0;5.0;0.0;5.0;4.0;8.0;;;1.0;1.0;2.0;3.0;1.0
2861;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2021 2nd quarter;59.0;24.0;4.0;20.0;34.0;18.0;9.0;1.0;0.0;1.0;9.0;8.0;1.0;16.0;3.0;0.0;2.0;5.0;9.0;;;0.0;2.0;1.0;4.0;1.0
2862;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2021 3rd quarter;50.0;21.0;2.0;19.0;30.0;13.0;6.0;2.0;0.0;2.0;4.0;6.0;1.0;17.0;2.0;1.0;2.0;5.0;9.0;;;1.0;1.0;1.0;6.0;1.0
2863;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2021 4th quarter;44.0;22.0;4.0;18.0;23.0;11.0;6.0;1.0;0.0;0.0;6.0;4.0;1.0;11.0;1.0;0.0;1.0;3.0;7.0;;;0.0;1.0;1.0;5.0;0.0
2864;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2021;53.0;21.0;3.0;19.0;31.0;16.0;7.0;1.0;0.0;1.0;6.0;7.0;1.0;15.0;3.0;0.0;2.0;4.0;8.0;;;1.0;1.0;1.0;5.0;1.0
2865;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2022 1st quarter;45.0;21.0;4.0;17.0;24.0;13.0;8.0;1.0;0.0;1.0;7.0;4.0;1.0;10.0;1.0;0.0;1.0;4.0;6.0;;;1.0;1.0;1.0;3.0;0.0
2866;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2022 2nd quarter;35.0;17.0;2.0;15.0;18.0;8.0;5.0;1.0;0.0;1.0;4.0;2.0;1.0;10.0;2.0;0.0;2.0;3.0;4.0;;;1.0;0.0;1.0;2.0;0.0
2867;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2022 3rd quarter;33.0;16.0;3.0;13.0;17.0;7.0;5.0;1.0;0.0;1.0;4.0;2.0;1.0;9.0;1.0;0.0;0.0;3.0;6.0;;;1.0;0.0;1.0;3.0;0.0
2868;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2022 4th quarter;33.0;14.0;1.0;12.0;19.0;9.0;5.0;1.0;1.0;0.0;5.0;3.0;0.0;10.0;1.0;0.0;1.0;2.0;7.0;;;0.0;1.0;1.0;5.0;1.0
2869;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2022;36.0;17.0;3.0;14.0;19.0;9.0;6.0;1.0;0.0;1.0;5.0;3.0;1.0;10.0;1.0;0.0;1.0;3.0;6.0;;;1.0;0.0;1.0;3.0;0.0
2870;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2023 1st quarter;33.0;17.0;3.0;13.0;16.0;9.0;5.0;1.0;0.0;1.0;4.0;3.0;0.0;7.0;0.0;0.0;0.0;2.0;5.0;;;1.0;0.0;1.0;2.0;1.0
2871;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2023 2nd quarter;35.0;21.0;3.0;18.0;15.0;5.0;3.0;1.0;0.0;0.0;2.0;2.0;0.0;9.0;1.0;0.0;1.0;3.0;5.0;;;0.0;1.0;2.0;2.0;1.0
2872;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2023 3rd quarter;31.0;14.0;1.0;13.0;17.0;7.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;11.0;2.0;0.0;2.0;3.0;5.0;;;0.0;0.0;2.0;3.0;0.0
2873;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2023 4th quarter;34.0;15.0;2.0;14.0;18.0;9.0;4.0;0.0;0.0;0.0;4.0;4.0;1.0;9.0;1.0;0.0;0.0;4.0;4.0;;;1.0;0.0;1.0;2.0;1.0
2874;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2023;33.0;17.0;2.0;14.0;17.0;7.0;4.0;1.0;0.0;0.0;3.0;3.0;0.0;9.0;1.0;0.0;1.0;3.0;5.0;;;0.0;0.0;1.0;2.0;1.0
2875;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2024 1st quarter;36.0;14.0;2.0;12.0;21.0;9.0;5.0;1.0;0.0;0.0;4.0;4.0;1.0;12.0;2.0;0.0;2.0;4.0;7.0;;;1.0;0.0;1.0;4.0;0.0
2876;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2024 2nd quarter;37.0;16.0;3.0;13.0;21.0;10.0;5.0;1.0;0.0;1.0;4.0;5.0;0.0;11.0;1.0;0.0;1.0;3.0;8.0;;;1.0;0.0;1.0;4.0;1.0
2877;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2024 3rd quarter;34.0;14.0;1.0;13.0;19.0;7.0;4.0;1.0;0.0;1.0;3.0;3.0;0.0;13.0;1.0;0.0;1.0;3.0;9.0;;;1.0;1.0;1.0;5.0;0.0
2878;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2024 4th quarter;38.0;16.0;1.0;15.0;22.0;10.0;5.0;1.0;0.0;1.0;4.0;4.0;0.0;12.0;1.0;0.0;1.0;2.0;9.0;;;1.0;0.0;1.0;6.0;1.0
2879;Total male and female;1 Primary, lower secondary;Registered at UWV, with WW benefit ;2024;36.0;15.0;2.0;13.0;21.0;9.0;5.0;1.0;0.0;1.0;4.0;4.0;0.0;12.0;1.0;0.0;1.0;3.0;8.0;;;1.0;0.0;1.0;5.0;1.0
2880;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2881;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2882;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2883;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2884;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
2885;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2886;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2887;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2888;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2889;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
2890;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2891;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2892;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2893;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2894;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
2895;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2896;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2897;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2898;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2899;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
2900;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2901;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2902;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2903;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
2904;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
2905;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2018 1st quarter;317.0;92.0;15.0;77.0;224.0;36.0;18.0;6.0;2.0;4.0;12.0;17.0;1.0;188.0;25.0;8.0;16.0;13.0;150.0;22.0;128.0;12.0;6.0;4.0;94.0;12.0
2906;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2018 2nd quarter;339.0;101.0;16.0;85.0;237.0;34.0;17.0;3.0;1.0;2.0;14.0;15.0;2.0;203.0;16.0;4.0;11.0;12.0;175.0;29.0;147.0;13.0;7.0;7.0;103.0;16.0
2907;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2018 3rd quarter;314.0;94.0;16.0;78.0;220.0;25.0;14.0;2.0;0.0;2.0;12.0;10.0;2.0;195.0;20.0;10.0;11.0;13.0;162.0;25.0;137.0;10.0;8.0;8.0;100.0;10.0
2908;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2018 4th quarter;312.0;90.0;15.0;75.0;222.0;28.0;14.0;2.0;0.0;2.0;12.0;13.0;2.0;193.0;15.0;7.0;7.0;12.0;167.0;22.0;145.0;11.0;5.0;6.0;110.0;12.0
2909;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2018;320.0;94.0;16.0;79.0;226.0;31.0;16.0;3.0;1.0;2.0;12.0;14.0;2.0;195.0;19.0;7.0;11.0;12.0;164.0;24.0;139.0;11.0;7.0;6.0;102.0;13.0
2910;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2019 1st quarter;316.0;89.0;17.0;72.0;227.0;30.0;16.0;3.0;1.0;2.0;13.0;12.0;2.0;197.0;15.0;8.0;7.0;12.0;170.0;23.0;147.0;12.0;5.0;8.0;109.0;13.0
2911;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2019 2nd quarter;316.0;102.0;19.0;84.0;214.0;25.0;12.0;2.0;1.0;1.0;10.0;12.0;1.0;189.0;17.0;7.0;10.0;14.0;158.0;22.0;136.0;12.0;6.0;10.0;94.0;13.0
2912;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2019 3rd quarter;323.0;103.0;18.0;85.0;219.0;27.0;14.0;3.0;2.0;1.0;10.0;13.0;1.0;192.0;15.0;4.0;11.0;15.0;162.0;19.0;143.0;14.0;5.0;9.0;105.0;10.0
2913;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2019 4th quarter;332.0;99.0;15.0;84.0;233.0;24.0;13.0;3.0;2.0;2.0;9.0;11.0;1.0;209.0;16.0;7.0;9.0;13.0;181.0;33.0;147.0;12.0;6.0;6.0;113.0;11.0
2914;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2019;322.0;98.0;17.0;81.0;223.0;26.0;13.0;3.0;2.0;1.0;11.0;12.0;1.0;197.0;15.0;6.0;9.0;14.0;168.0;25.0;143.0;13.0;5.0;8.0;105.0;12.0
2915;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2020 1st quarter;324.0;96.0;12.0;84.0;228.0;27.0;17.0;1.0;1.0;0.0;15.0;9.0;1.0;201.0;21.0;8.0;13.0;11.0;170.0;22.0;147.0;12.0;5.0;4.0;115.0;12.0
2916;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2020 2nd quarter;320.0;82.0;10.0;72.0;238.0;22.0;12.0;1.0;0.0;1.0;11.0;9.0;1.0;216.0;28.0;12.0;16.0;13.0;174.0;19.0;156.0;13.0;6.0;7.0;115.0;14.0
2917;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2020 3rd quarter;316.0;74.0;11.0;63.0;241.0;30.0;16.0;3.0;0.0;3.0;12.0;13.0;2.0;211.0;23.0;12.0;11.0;14.0;174.0;19.0;155.0;11.0;9.0;4.0;120.0;12.0
2918;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2020 4th quarter;313.0;90.0;18.0;72.0;223.0;27.0;11.0;3.0;1.0;2.0;8.0;15.0;1.0;196.0;18.0;9.0;9.0;10.0;168.0;19.0;149.0;14.0;7.0;6.0;112.0;11.0
2919;Total male and female;1 Primary, lower secondary;Registered at UWV, no WW benefit;2020;318.0;86.0;13.0;73.0;233.0;27.0;14.0;2.0;1.0;2.0;12.0;11.0;1.0;206.0;23.0;10.0;12.0;12.0;172.0;20.0;152.0;12.0;7.0;5.0;115.0;12.0
