ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
2784;Total male and female;Age: 85 to 94 years;1.2. Real estate;2007;5.6;1364.6;242.8;175.9
2785;Total male and female;Age: 85 to 94 years;1.2. Real estate;2008;6.2;1477.2;237.0;175.0
2786;Total male and female;Age: 85 to 94 years;1.2. Real estate;2009;6.6;1500.5;225.9;172.6
2787;Total male and female;Age: 85 to 94 years;1.2. Real estate;2010;7.8;2097.1;269.5;208.8
2788;Total male and female;Age: 85 to 94 years;1.2. Real estate;2011;7.1;1729.1;245.2;193.0
2789;Total male and female;Age: 85 to 94 years;1.2. Real estate;2012;7.9;1826.2;230.7;181.2
2790;Total male and female;Age: 85 to 94 years;1.2. Real estate;2013;8.5;1859.7;219.0;174.0
2791;Total male and female;Age: 85 to 94 years;1.2. Real estate;2014;8.9;1903.7;213.0;169.0
2792;Total male and female;Age: 85 to 94 years;1.2. Real estate;2015;9.9;2064.3;208.2;164.0
2793;Total male and female;Age: 85 to 94 years;1.2. Real estate;2016;10.4;2311.8;221.3;174.0
2794;Total male and female;Age: 85 to 94 years;1.2. Real estate;2017;11.2;2464.7;220.7;174.0
2795;Total male and female;Age: 85 to 94 years;1.2. Real estate;2018;11.6;2706.6;233.0;185.0
2796;Total male and female;Age: 85 to 94 years;1.2. Real estate;2019;12.1;2966.5;245.2;199.0
2797;Total male and female;Age: 85 to 94 years;1.2. Real estate;2020;13.6;3616.8;265.6;213.0
2798;Total male and female;Age: 85 to 94 years;1.2. Real estate;2021;14.0;3932.0;281.5;228.5
2799;Total male and female;Age: 85 to 94 years;1.2. Real estate;2022;14.9;4579.1;307.6;257.0
2800;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2007;5.2;1143.4;220.5;175.0
2801;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2008;5.8;1268.1;220.3;175.0
2802;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2009;6.1;1306.5;213.1;172.0
2803;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2010;7.4;1875.5;255.0;207.0
2804;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2011;6.7;1584.4;237.0;192.5
2805;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2012;7.5;1648.3;218.9;180.5
2806;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2013;8.0;1669.9;208.4;173.0
2807;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2014;8.5;1727.1;203.2;169.0
2808;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2015;9.4;1872.5;199.0;163.4
2809;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2016;10.0;2091.8;208.9;171.6
2810;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2017;10.7;2245.0;210.0;173.0
2811;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2018;11.1;2485.6;223.1;184.0
2812;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2019;11.6;2729.3;234.9;198.0
2813;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2020;13.0;3257.8;250.2;211.0
2814;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2021;13.4;3653.3;273.5;228.0
2815;Total male and female;Age: 85 to 94 years;1.2.1 Principal residence;2022;14.4;4334.2;301.8;258.0
2816;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2007;1.1;221.3;204.1;73.7
2817;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2008;1.2;209.0;181.3;67.5
2818;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2009;1.2;193.9;156.4;64.4
2819;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2010;1.2;221.5;178.9;63.9
2820;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2011;1.0;144.6;140.1;49.0
2821;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2012;1.1;177.9;155.8;59.1
2822;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2013;1.3;189.8;149.9;54.0
2823;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2014;1.3;176.6;140.6;48.1
2824;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2015;1.4;191.8;134.4;44.5
2825;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2016;1.5;219.9;151.0;47.9
2826;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2017;1.5;219.7;148.7;43.3
2827;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2018;1.5;220.9;145.2;43.8
2828;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2019;1.6;237.2;151.8;45.0
2829;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2020;1.9;359.0;191.6;65.0
2830;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2021;1.8;278.6;155.2;46.0
2831;Total male and female;Age: 85 to 94 years;1.2.2 Other real estate;2022;1.6;244.9;150.8;40.3
2832;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2007;0.4;108.2;276.9;41.1
2833;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2008;0.4;124.0;301.8;56.6
2834;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2009;0.4;206.6;500.3;55.1
2835;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2010;0.5;196.3;391.8;65.5
2836;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2011;0.2;146.2;699.3;116.5
2837;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2012;0.2;73.5;374.9;82.2
2838;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2013;0.2;113.6;588.7;134.4
2839;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2014;0.2;105.6;505.2;130.8
2840;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2015;0.2;125.4;540.7;91.4
2841;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2016;0.2;302.3;1343.6;122.6
2842;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2017;0.3;442.7;1621.6;195.7
2843;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2018;0.3;234.9;757.7;158.3
2844;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2019;0.4;332.2;885.8;233.5
2845;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2020;0.4;593.5;1358.1;255.1
2846;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2021;0.5;675.6;1281.9;321.6
2847;Total male and female;Age: 85 to 94 years;1.3 Enterprise capital;2022;0.5;392.4;778.5;268.7
2848;Total male and female;Age: 85 to 94 years;1.5 Other assets;2007;10.6;310.6;29.3;2.3
2849;Total male and female;Age: 85 to 94 years;1.5 Other assets;2008;11.3;336.7;29.8;2.5
2850;Total male and female;Age: 85 to 94 years;1.5 Other assets;2009;11.7;370.5;31.7;2.5
2851;Total male and female;Age: 85 to 94 years;1.5 Other assets;2010;9.5;320.3;33.9;2.9
2852;Total male and female;Age: 85 to 94 years;1.5 Other assets;2011;8.8;259.3;29.4;2.6
2853;Total male and female;Age: 85 to 94 years;1.5 Other assets;2012;9.5;314.7;33.2;2.5
2854;Total male and female;Age: 85 to 94 years;1.5 Other assets;2013;9.8;281.9;28.9;2.5
2855;Total male and female;Age: 85 to 94 years;1.5 Other assets;2014;9.9;290.8;29.3;2.5
2856;Total male and female;Age: 85 to 94 years;1.5 Other assets;2015;10.6;307.1;28.9;2.5
2857;Total male and female;Age: 85 to 94 years;1.5 Other assets;2016;9.8;273.9;28.1;3.0
2858;Total male and female;Age: 85 to 94 years;1.5 Other assets;2017;10.8;302.2;27.9;2.7
2859;Total male and female;Age: 85 to 94 years;1.5 Other assets;2018;11.6;360.1;31.1;2.6
2860;Total male and female;Age: 85 to 94 years;1.5 Other assets;2019;11.6;316.0;27.3;2.7
2861;Total male and female;Age: 85 to 94 years;1.5 Other assets;2020;14.1;396.9;28.2;2.5
2862;Total male and female;Age: 85 to 94 years;1.5 Other assets;2021;14.3;463.0;32.3;2.7
2863;Total male and female;Age: 85 to 94 years;1.5 Other assets;2022;15.6;484.3;31.1;2.8
2864;Total male and female;Age: 85 to 94 years;2 Liabilities;2007;10.5;509.6;48.4;4.6
2865;Total male and female;Age: 85 to 94 years;2 Liabilities;2008;8.1;417.9;51.7;4.4
2866;Total male and female;Age: 85 to 94 years;2 Liabilities;2009;8.6;490.1;57.0;5.3
2867;Total male and female;Age: 85 to 94 years;2 Liabilities;2010;9.5;482.3;51.0;4.6
2868;Total male and female;Age: 85 to 94 years;2 Liabilities;2011;10.1;327.5;32.3;2.0
2869;Total male and female;Age: 85 to 94 years;2 Liabilities;2012;10.9;342.9;31.5;2.5
2870;Total male and female;Age: 85 to 94 years;2 Liabilities;2013;12.0;369.5;30.9;2.3
2871;Total male and female;Age: 85 to 94 years;2 Liabilities;2014;11.3;436.2;38.6;3.0
2872;Total male and female;Age: 85 to 94 years;2 Liabilities;2015;11.8;454.5;38.7;3.6
2873;Total male and female;Age: 85 to 94 years;2 Liabilities;2016;12.3;497.6;40.3;3.1
2874;Total male and female;Age: 85 to 94 years;2 Liabilities;2017;12.4;616.3;49.6;4.5
2875;Total male and female;Age: 85 to 94 years;2 Liabilities;2018;13.1;579.4;44.4;3.8
2876;Total male and female;Age: 85 to 94 years;2 Liabilities;2019;11.9;615.2;51.6;7.4
2877;Total male and female;Age: 85 to 94 years;2 Liabilities;2020;13.7;894.7;65.5;9.8
2878;Total male and female;Age: 85 to 94 years;2 Liabilities;2021;13.9;887.7;64.0;10.5
2879;Total male and female;Age: 85 to 94 years;2 Liabilities;2022;14.9;913.6;61.4;11.4
2880;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2007;1.8;99.0;54.6;33.5
2881;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2008;2.0;112.7;56.8;34.6
2882;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2009;2.2;129.6;58.2;35.6
2883;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2010;2.6;216.0;83.6;47.6
2884;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2011;1.8;102.2;56.6;31.9
2885;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2012;2.3;139.9;60.8;35.3
2886;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2013;2.3;148.8;64.0;37.8
2887;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2014;2.5;153.8;60.9;37.5
2888;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2015;2.8;172.3;60.7;39.7
2889;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2016;3.0;192.6;63.4;40.3
2890;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2017;3.5;220.3;62.2;41.0
2891;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2018;3.6;215.3;59.4;42.0
2892;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2019;3.9;249.6;63.6;42.6
2893;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2020;4.7;311.7;66.0;45.4
2894;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2021;4.9;335.1;68.6;48.8
2895;Total male and female;Age: 85 to 94 years;2.1 Principal residence loans;2022;5.4;378.6;69.6;50.0
2896;Total male and female;Age: 85 to 94 years;2.3 Other loans;2007;9.6;410.7;42.9;2.5
2897;Total male and female;Age: 85 to 94 years;2.3 Other loans;2008;6.8;305.3;44.8;1.5
2898;Total male and female;Age: 85 to 94 years;2.3 Other loans;2009;7.2;360.5;50.4;1.7
2899;Total male and female;Age: 85 to 94 years;2.3 Other loans;2010;7.8;266.3;34.1;2.2
2900;Total male and female;Age: 85 to 94 years;2.3 Other loans;2011;9.2;225.3;24.6;1.4
2901;Total male and female;Age: 85 to 94 years;2.3 Other loans;2012;9.6;203.1;21.2;1.5
2902;Total male and female;Age: 85 to 94 years;2.3 Other loans;2013;10.7;220.7;20.7;1.4
2903;Total male and female;Age: 85 to 94 years;2.3 Other loans;2014;9.9;282.5;28.6;1.7
2904;Total male and female;Age: 85 to 94 years;2.3 Other loans;2015;10.0;282.1;28.1;1.8
2905;Total male and female;Age: 85 to 94 years;2.3 Other loans;2016;10.5;305.0;29.1;1.5
2906;Total male and female;Age: 85 to 94 years;2.3 Other loans;2017;10.2;396.1;38.8;1.7
2907;Total male and female;Age: 85 to 94 years;2.3 Other loans;2018;10.7;364.1;33.9;1.4
2908;Total male and female;Age: 85 to 94 years;2.3 Other loans;2019;9.3;365.6;39.4;1.8
2909;Total male and female;Age: 85 to 94 years;2.3 Other loans;2020;10.5;583.0;55.6;2.0
2910;Total male and female;Age: 85 to 94 years;2.3 Other loans;2021;10.6;552.6;52.0;2.0
2911;Total male and female;Age: 85 to 94 years;2.3 Other loans;2022;11.3;535.0;47.4;1.8
2912;Total male and female;Age: 95 years or older;Wealth;2007;4.4;386.1;88.4;10.7
2913;Total male and female;Age: 95 years or older;Wealth;2008;5.0;461.4;92.7;11.7
2914;Total male and female;Age: 95 years or older;Wealth;2009;5.0;449.6;89.0;11.9
2915;Total male and female;Age: 95 years or older;Wealth;2010;5.4;622.0;114.7;22.5
2916;Total male and female;Age: 95 years or older;Wealth;2011;5.4;571.4;106.0;23.1
2917;Total male and female;Age: 95 years or older;Wealth;2012;5.9;536.7;90.7;20.2
2918;Total male and female;Age: 95 years or older;Wealth;2013;6.2;613.8;99.3;21.0
2919;Total male and female;Age: 95 years or older;Wealth;2014;6.1;578.8;95.2;19.2
2920;Total male and female;Age: 95 years or older;Wealth;2015;6.6;727.2;111.0;20.5
2921;Total male and female;Age: 95 years or older;Wealth;2016;6.9;707.4;102.0;19.3
2922;Total male and female;Age: 95 years or older;Wealth;2017;7.6;804.7;105.8;20.1
2923;Total male and female;Age: 95 years or older;Wealth;2018;7.8;954.8;122.6;21.6
2924;Total male and female;Age: 95 years or older;Wealth;2019;7.8;878.0;112.3;21.9
2925;Total male and female;Age: 95 years or older;Wealth;2020;8.7;1074.6;123.3;24.1
2926;Total male and female;Age: 95 years or older;Wealth;2021;8.7;1242.2;143.0;26.6
2927;Total male and female;Age: 95 years or older;Wealth;2022;9.1;1279.8;141.0;28.3
2928;Total male and female;Age: 95 years or older;1 Assets;2007;4.4;435.6;99.7;11.2
2929;Total male and female;Age: 95 years or older;1 Assets;2008;5.0;518.0;104.1;11.7
2930;Total male and female;Age: 95 years or older;1 Assets;2009;5.0;494.5;97.9;11.9
2931;Total male and female;Age: 95 years or older;1 Assets;2010;5.4;681.2;125.6;22.9
2932;Total male and female;Age: 95 years or older;1 Assets;2011;5.4;608.9;113.0;23.4
2933;Total male and female;Age: 95 years or older;1 Assets;2012;5.9;572.4;96.8;20.5
2934;Total male and female;Age: 95 years or older;1 Assets;2013;6.2;659.7;106.8;21.4
2935;Total male and female;Age: 95 years or older;1 Assets;2014;6.1;649.6;106.9;19.5
2936;Total male and female;Age: 95 years or older;1 Assets;2015;6.6;778.0;118.8;20.9
2937;Total male and female;Age: 95 years or older;1 Assets;2016;6.9;762.1;109.9;19.7
2938;Total male and female;Age: 95 years or older;1 Assets;2017;7.6;864.1;113.6;20.4
2939;Total male and female;Age: 95 years or older;1 Assets;2018;7.8;1037.6;133.3;22.0
2940;Total male and female;Age: 95 years or older;1 Assets;2019;7.8;958.1;122.5;22.5
2941;Total male and female;Age: 95 years or older;1 Assets;2020;8.7;1166.6;133.8;24.6
2942;Total male and female;Age: 95 years or older;1 Assets;2021;8.7;1339.9;154.2;26.9
2943;Total male and female;Age: 95 years or older;1 Assets;2022;9.1;1376.0;151.6;28.6
2944;Total male and female;Age: 95 years or older;1.1 Financial assets;2007;3.9;264.8;68.7;11.6
2945;Total male and female;Age: 95 years or older;1.1 Financial assets;2008;4.4;312.0;70.7;11.7
2946;Total male and female;Age: 95 years or older;1.1 Financial assets;2009;4.5;303.9;67.5;12.0
2947;Total male and female;Age: 95 years or older;1.1 Financial assets;2010;4.9;401.4;81.4;23.0
2948;Total male and female;Age: 95 years or older;1.1 Financial assets;2011;5.0;394.8;79.0;23.0
2949;Total male and female;Age: 95 years or older;1.1 Financial assets;2012;5.7;394.7;69.2;19.4
2950;Total male and female;Age: 95 years or older;1.1 Financial assets;2013;5.9;450.9;76.4;20.0
2951;Total male and female;Age: 95 years or older;1.1 Financial assets;2014;5.8;435.0;74.4;17.9
2952;Total male and female;Age: 95 years or older;1.1 Financial assets;2015;6.4;503.6;78.9;18.9
2953;Total male and female;Age: 95 years or older;1.1 Financial assets;2016;6.8;503.2;74.5;18.3
2954;Total male and female;Age: 95 years or older;1.1 Financial assets;2017;7.4;551.2;74.3;18.7
2955;Total male and female;Age: 95 years or older;1.1 Financial assets;2018;7.6;644.6;84.5;19.6
2956;Total male and female;Age: 95 years or older;1.1 Financial assets;2019;7.7;574.5;74.9;19.8
2957;Total male and female;Age: 95 years or older;1.1 Financial assets;2020;8.6;689.4;80.6;21.5
2958;Total male and female;Age: 95 years or older;1.1 Financial assets;2021;8.6;707.0;82.5;23.3
2959;Total male and female;Age: 95 years or older;1.1 Financial assets;2022;8.9;753.4;84.3;24.5
2960;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2007;3.8;167.2;43.5;11.2
2961;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2008;4.4;216.2;49.0;11.7
2962;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2009;4.5;213.7;47.5;11.9
2963;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2010;4.9;284.8;58.0;21.6
2964;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2011;5.0;273.3;54.8;21.5
2965;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2012;5.7;290.4;51.0;18.3
2966;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2013;5.9;300.1;50.9;18.9
2967;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2014;5.8;274.5;47.0;16.7
2968;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2015;6.4;311.9;48.9;17.9
2969;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2016;6.8;322.8;47.8;17.5
2970;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2017;7.4;363.4;49.0;17.7
2971;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2018;7.6;422.6;55.5;18.6
2972;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2019;7.7;401.2;52.3;18.7
2973;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2020;8.6;478.2;55.9;20.3
2974;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2021;8.6;489.6;57.2;21.9
2975;Total male and female;Age: 95 years or older;1.1.1 Bank and savings credits;2022;8.9;525.9;58.8;23.0
2976;Total male and female;Age: 95 years or older;1.1.2. Securities;2007;0.5;97.6;203.3;58.0
2977;Total male and female;Age: 95 years or older;1.1.2. Securities;2008;0.6;95.8;165.1;51.9
2978;Total male and female;Age: 95 years or older;1.1.2. Securities;2009;0.6;90.3;158.6;46.3
2979;Total male and female;Age: 95 years or older;1.1.2. Securities;2010;0.6;116.5;182.4;49.2
2980;Total male and female;Age: 95 years or older;1.1.2. Securities;2011;0.6;121.5;219.4;59.1
2981;Total male and female;Age: 95 years or older;1.1.2. Securities;2012;0.6;104.3;175.3;49.8
2982;Total male and female;Age: 95 years or older;1.1.2. Securities;2013;0.6;150.8;256.5;56.8
2983;Total male and female;Age: 95 years or older;1.1.2. Securities;2014;0.6;160.6;274.0;58.2
2984;Total male and female;Age: 95 years or older;1.1.2. Securities;2015;0.6;191.7;341.7;62.3
2985;Total male and female;Age: 95 years or older;1.1.2. Securities;2016;0.6;180.4;304.3;57.4
2986;Total male and female;Age: 95 years or older;1.1.2. Securities;2017;0.6;187.9;291.7;71.8
2987;Total male and female;Age: 95 years or older;1.1.2. Securities;2018;0.7;222.0;330.9;78.1
2988;Total male and female;Age: 95 years or older;1.1.2. Securities;2019;0.6;173.3;270.8;73.2
2989;Total male and female;Age: 95 years or older;1.1.2. Securities;2020;0.7;211.1;288.8;56.4
2990;Total male and female;Age: 95 years or older;1.1.2. Securities;2021;0.8;217.5;279.9;75.1
2991;Total male and female;Age: 95 years or older;1.1.2. Securities;2022;0.8;227.5;278.5;73.8
2992;Total male and female;Age: 95 years or older;1.2. Real estate;2007;0.5;120.8;254.9;185.6
2993;Total male and female;Age: 95 years or older;1.2. Real estate;2008;0.6;158.0;274.2;179.0
2994;Total male and female;Age: 95 years or older;1.2. Real estate;2009;0.6;138.5;239.3;178.0
2995;Total male and female;Age: 95 years or older;1.2. Real estate;2010;0.7;230.2;307.3;241.3
2996;Total male and female;Age: 95 years or older;1.2. Real estate;2011;0.6;173.7;303.1;227.3
2997;Total male and female;Age: 95 years or older;1.2. Real estate;2012;0.6;147.8;254.0;200.0
2998;Total male and female;Age: 95 years or older;1.2. Real estate;2013;0.7;171.7;249.9;186.0
2999;Total male and female;Age: 95 years or older;1.2. Real estate;2014;0.7;170.0;233.5;185.2
3000;Total male and female;Age: 95 years or older;1.2. Real estate;2015;0.8;207.2;245.2;183.0
3001;Total male and female;Age: 95 years or older;1.2. Real estate;2016;0.8;202.8;247.0;195.0
3002;Total male and female;Age: 95 years or older;1.2. Real estate;2017;1.0;259.1;253.3;199.2
3003;Total male and female;Age: 95 years or older;1.2. Real estate;2018;1.1;312.2;279.0;210.0
3004;Total male and female;Age: 95 years or older;1.2. Real estate;2019;1.1;311.7;279.5;226.3
3005;Total male and female;Age: 95 years or older;1.2. Real estate;2020;1.3;388.2;303.0;251.0
3006;Total male and female;Age: 95 years or older;1.2. Real estate;2021;1.3;451.4;338.4;282.8
3007;Total male and female;Age: 95 years or older;1.2. Real estate;2022;1.5;546.7;361.4;295.0
3008;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2007;0.4;99.9;238.4;180.0
3009;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2008;0.5;121.5;236.9;176.0
3010;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2009;0.5;119.2;228.7;177.3
3011;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2010;0.7;200.7;289.2;243.6
3012;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2011;0.5;145.9;284.3;228.0
3013;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2012;0.5;131.8;251.6;205.8
3014;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2013;0.6;152.4;245.0;191.8
3015;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2014;0.7;153.8;226.5;184.0
3016;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2015;0.8;180.0;232.8;184.7
3017;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2016;0.8;181.7;235.7;195.0
3018;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2017;1.0;229.9;240.0;198.6
3019;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2018;1.1;286.7;271.0;214.0
3020;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2019;1.0;285.6;272.2;229.0
3021;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2020;1.2;358.1;300.1;252.0
3022;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2021;1.3;412.7;329.9;285.0
3023;Total male and female;Age: 95 years or older;1.2.1 Principal residence;2022;1.4;521.9;362.7;298.0
3024;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2007;0.1;20.9;186.9;90.4
3025;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2008;0.1;36.4;298.6;81.3
3026;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2009;0.1;19.4;158.9;75.5
3027;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2010;0.1;29.5;225.0;100.1
3028;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2011;0.1;27.8;222.4;93.0
3029;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2012;0.1;16.0;137.6;65.7
3030;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2013;0.1;19.3;152.1;45.5
3031;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2014;0.1;16.2;123.9;50.0
3032;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2015;0.2;27.3;174.8;55.0
3033;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2016;0.1;21.1;148.3;50.2
3034;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2017;0.2;29.2;162.3;45.0
3035;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2018;0.1;25.5;176.0;46.0
3036;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2019;0.2;26.1;163.0;62.0
3037;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2020;0.2;30.1;151.2;52.7
3038;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2021;0.2;38.7;201.7;68.0
3039;Total male and female;Age: 95 years or older;1.2.2 Other real estate;2022;0.2;24.8;124.8;34.0
3040;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2007;0.0;;;
3041;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2008;0.0;;;
3042;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2009;0.0;;;
3043;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2010;0.1;;;
3044;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2011;0.0;;;
3045;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2012;0.0;;;
3046;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2013;0.0;;;
3047;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2014;0.0;;;
3048;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2015;0.0;;;
3049;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2016;0.0;;;
3050;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2017;0.0;;;
3051;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2018;0.0;;;
3052;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2019;0.0;;;
3053;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2020;0.0;;;
3054;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2021;0.0;;;
3055;Total male and female;Age: 95 years or older;1.3 Enterprise capital;2022;0.0;;;
3056;Total male and female;Age: 95 years or older;1.5 Other assets;2007;1.2;43.4;34.7;1.9
3057;Total male and female;Age: 95 years or older;1.5 Other assets;2008;1.4;37.2;25.8;2.0
3058;Total male and female;Age: 95 years or older;1.5 Other assets;2009;1.5;39.8;26.9;2.3
3059;Total male and female;Age: 95 years or older;1.5 Other assets;2010;1.2;29.4;24.6;2.6
3060;Total male and female;Age: 95 years or older;1.5 Other assets;2011;1.1;27.5;24.2;2.2
3061;Total male and female;Age: 95 years or older;1.5 Other assets;2012;1.2;29.3;24.6;2.1
3062;Total male and female;Age: 95 years or older;1.5 Other assets;2013;1.3;25.8;19.8;2.2
3063;Total male and female;Age: 95 years or older;1.5 Other assets;2014;1.2;24.8;19.9;2.2
3064;Total male and female;Age: 95 years or older;1.5 Other assets;2015;1.4;32.7;22.7;2.1
3065;Total male and female;Age: 95 years or older;1.5 Other assets;2016;1.2;39.3;31.9;2.5
3066;Total male and female;Age: 95 years or older;1.5 Other assets;2017;1.5;33.4;22.2;2.3
3067;Total male and female;Age: 95 years or older;1.5 Other assets;2018;1.8;65.8;37.3;2.2
3068;Total male and female;Age: 95 years or older;1.5 Other assets;2019;1.7;48.6;28.7;2.2
