ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
674;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018;11.2
675;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 1st quarter;11.5
676;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 2nd quarter;12.1
677;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 3rd quarter;12.2
678;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 4th quarter;12.6
679;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019;12.1
680;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 1st quarter;12.3
681;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 2nd quarter;11.8
682;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 3rd quarter;11.9
683;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 4th quarter;12.1
684;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020;12.0
685;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2021 1st quarter;11.8
686;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2021 2nd quarter;12.8
687;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2021 3rd quarter;13.4
688;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2021 4th quarter;14.5
689;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2021;13.1
690;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2022 1st quarter;14.9
691;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2022 2nd quarter;16.0
692;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2022 3rd quarter;16.4
693;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2022 4th quarter;17.4
694;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2022;16.2
695;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2023 1st quarter;17.6
696;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2023 2nd quarter;18.5
697;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2023 3rd quarter;18.8
698;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2023 4th quarter;20.0
699;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2023;18.7
700;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 1st quarter;4.8
701;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 2nd quarter;5.4
702;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 3rd quarter;5.6
703;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 4th quarter;5.2
704;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010;5.3
705;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 1st quarter;5.4
706;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 2nd quarter;5.5
707;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 3rd quarter;5.5
708;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 4th quarter;5.4
709;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011;5.5
710;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 1st quarter;5.2
711;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 2nd quarter;5.4
712;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 3rd quarter;5.5
713;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 4th quarter;5.6
714;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012;5.4
715;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 1st quarter;5.6
716;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 2nd quarter;5.9
717;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 3rd quarter;5.9
718;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 4th quarter;6.0
719;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013;5.9
720;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 1st quarter;6.9
721;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 2nd quarter;8.7
722;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 3rd quarter;9.5
723;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 4th quarter;9.6
724;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014;8.7
725;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 1st quarter;9.7
726;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 2nd quarter;11.9
727;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 3rd quarter;13.1
728;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 4th quarter;12.7
729;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015;11.8
730;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 1st quarter;12.7
731;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 2nd quarter;15.8
732;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 3rd quarter;17.8
733;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 4th quarter;18.0
734;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016;16.1
735;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 1st quarter;18.1
736;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 2nd quarter;23.1
737;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 3rd quarter;25.5
738;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 4th quarter;26.8
739;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017;23.4
740;Total jobs;Total employees;A-U All economic activities;Total;Romania;2018 1st quarter;27.1
741;Total jobs;Total employees;A-U All economic activities;Total;Romania;2018 2nd quarter;33.8
742;Total jobs;Total employees;A-U All economic activities;Total;Romania;2018 3rd quarter;36.5
743;Total jobs;Total employees;A-U All economic activities;Total;Romania;2018 4th quarter;37.7
744;Total jobs;Total employees;A-U All economic activities;Total;Romania;2018;33.8
745;Total jobs;Total employees;A-U All economic activities;Total;Romania;2019 1st quarter;37.2
746;Total jobs;Total employees;A-U All economic activities;Total;Romania;2019 2nd quarter;43.6
747;Total jobs;Total employees;A-U All economic activities;Total;Romania;2019 3rd quarter;45.4
748;Total jobs;Total employees;A-U All economic activities;Total;Romania;2019 4th quarter;45.7
749;Total jobs;Total employees;A-U All economic activities;Total;Romania;2019;43.0
750;Total jobs;Total employees;A-U All economic activities;Total;Romania;2020 1st quarter;42.9
751;Total jobs;Total employees;A-U All economic activities;Total;Romania;2020 2nd quarter;43.8
752;Total jobs;Total employees;A-U All economic activities;Total;Romania;2020 3rd quarter;46.4
753;Total jobs;Total employees;A-U All economic activities;Total;Romania;2020 4th quarter;44.9
754;Total jobs;Total employees;A-U All economic activities;Total;Romania;2020;44.5
755;Total jobs;Total employees;A-U All economic activities;Total;Romania;2021 1st quarter;42.9
756;Total jobs;Total employees;A-U All economic activities;Total;Romania;2021 2nd quarter;51.4
757;Total jobs;Total employees;A-U All economic activities;Total;Romania;2021 3rd quarter;55.1
758;Total jobs;Total employees;A-U All economic activities;Total;Romania;2021 4th quarter;56.4
759;Total jobs;Total employees;A-U All economic activities;Total;Romania;2021;51.5
760;Total jobs;Total employees;A-U All economic activities;Total;Romania;2022 1st quarter;55.0
761;Total jobs;Total employees;A-U All economic activities;Total;Romania;2022 2nd quarter;63.1
762;Total jobs;Total employees;A-U All economic activities;Total;Romania;2022 3rd quarter;64.1
763;Total jobs;Total employees;A-U All economic activities;Total;Romania;2022 4th quarter;62.9
764;Total jobs;Total employees;A-U All economic activities;Total;Romania;2022;61.3
765;Total jobs;Total employees;A-U All economic activities;Total;Romania;2023 1st quarter;59.9
766;Total jobs;Total employees;A-U All economic activities;Total;Romania;2023 2nd quarter;67.4
767;Total jobs;Total employees;A-U All economic activities;Total;Romania;2023 3rd quarter;67.3
768;Total jobs;Total employees;A-U All economic activities;Total;Romania;2023 4th quarter;67.2
769;Total jobs;Total employees;A-U All economic activities;Total;Romania;2023;65.4
770;Total jobs;Total employees;A-U All economic activities;Total;Spain;2010 1st quarter;6.2
771;Total jobs;Total employees;A-U All economic activities;Total;Spain;2010 2nd quarter;6.4
772;Total jobs;Total employees;A-U All economic activities;Total;Spain;2010 3rd quarter;6.3
773;Total jobs;Total employees;A-U All economic activities;Total;Spain;2010 4th quarter;6.4
774;Total jobs;Total employees;A-U All economic activities;Total;Spain;2010;6.3
775;Total jobs;Total employees;A-U All economic activities;Total;Spain;2011 1st quarter;6.6
776;Total jobs;Total employees;A-U All economic activities;Total;Spain;2011 2nd quarter;6.8
777;Total jobs;Total employees;A-U All economic activities;Total;Spain;2011 3rd quarter;6.7
778;Total jobs;Total employees;A-U All economic activities;Total;Spain;2011 4th quarter;6.8
779;Total jobs;Total employees;A-U All economic activities;Total;Spain;2011;6.7
780;Total jobs;Total employees;A-U All economic activities;Total;Spain;2012 1st quarter;6.9
781;Total jobs;Total employees;A-U All economic activities;Total;Spain;2012 2nd quarter;7.2
782;Total jobs;Total employees;A-U All economic activities;Total;Spain;2012 3rd quarter;7.3
783;Total jobs;Total employees;A-U All economic activities;Total;Spain;2012 4th quarter;7.6
784;Total jobs;Total employees;A-U All economic activities;Total;Spain;2012;7.3
785;Total jobs;Total employees;A-U All economic activities;Total;Spain;2013 1st quarter;7.6
786;Total jobs;Total employees;A-U All economic activities;Total;Spain;2013 2nd quarter;7.9
787;Total jobs;Total employees;A-U All economic activities;Total;Spain;2013 3rd quarter;8.1
788;Total jobs;Total employees;A-U All economic activities;Total;Spain;2013 4th quarter;8.4
789;Total jobs;Total employees;A-U All economic activities;Total;Spain;2013;8.0
790;Total jobs;Total employees;A-U All economic activities;Total;Spain;2014 1st quarter;8.5
791;Total jobs;Total employees;A-U All economic activities;Total;Spain;2014 2nd quarter;8.8
792;Total jobs;Total employees;A-U All economic activities;Total;Spain;2014 3rd quarter;8.8
793;Total jobs;Total employees;A-U All economic activities;Total;Spain;2014 4th quarter;9.1
794;Total jobs;Total employees;A-U All economic activities;Total;Spain;2014;8.8
795;Total jobs;Total employees;A-U All economic activities;Total;Spain;2015 1st quarter;9.1
796;Total jobs;Total employees;A-U All economic activities;Total;Spain;2015 2nd quarter;9.4
797;Total jobs;Total employees;A-U All economic activities;Total;Spain;2015 3rd quarter;9.5
798;Total jobs;Total employees;A-U All economic activities;Total;Spain;2015 4th quarter;9.7
799;Total jobs;Total employees;A-U All economic activities;Total;Spain;2015;9.4
800;Total jobs;Total employees;A-U All economic activities;Total;Spain;2016 1st quarter;9.7
801;Total jobs;Total employees;A-U All economic activities;Total;Spain;2016 2nd quarter;10.0
802;Total jobs;Total employees;A-U All economic activities;Total;Spain;2016 3rd quarter;10.0
803;Total jobs;Total employees;A-U All economic activities;Total;Spain;2016 4th quarter;10.4
804;Total jobs;Total employees;A-U All economic activities;Total;Spain;2016;10.0
805;Total jobs;Total employees;A-U All economic activities;Total;Spain;2017 1st quarter;10.5
806;Total jobs;Total employees;A-U All economic activities;Total;Spain;2017 2nd quarter;10.9
807;Total jobs;Total employees;A-U All economic activities;Total;Spain;2017 3rd quarter;11.2
808;Total jobs;Total employees;A-U All economic activities;Total;Spain;2017 4th quarter;11.9
809;Total jobs;Total employees;A-U All economic activities;Total;Spain;2017;11.1
810;Total jobs;Total employees;A-U All economic activities;Total;Spain;2018 1st quarter;12.0
811;Total jobs;Total employees;A-U All economic activities;Total;Spain;2018 2nd quarter;12.5
812;Total jobs;Total employees;A-U All economic activities;Total;Spain;2018 3rd quarter;12.9
813;Total jobs;Total employees;A-U All economic activities;Total;Spain;2018 4th quarter;14.0
814;Total jobs;Total employees;A-U All economic activities;Total;Spain;2018;12.9
815;Total jobs;Total employees;A-U All economic activities;Total;Spain;2019 1st quarter;13.8
816;Total jobs;Total employees;A-U All economic activities;Total;Spain;2019 2nd quarter;14.2
817;Total jobs;Total employees;A-U All economic activities;Total;Spain;2019 3rd quarter;14.3
818;Total jobs;Total employees;A-U All economic activities;Total;Spain;2019 4th quarter;15.0
819;Total jobs;Total employees;A-U All economic activities;Total;Spain;2019;14.3
820;Total jobs;Total employees;A-U All economic activities;Total;Spain;2020 1st quarter;14.6
821;Total jobs;Total employees;A-U All economic activities;Total;Spain;2020 2nd quarter;13.9
822;Total jobs;Total employees;A-U All economic activities;Total;Spain;2020 3rd quarter;14.2
823;Total jobs;Total employees;A-U All economic activities;Total;Spain;2020 4th quarter;15.0
824;Total jobs;Total employees;A-U All economic activities;Total;Spain;2020;14.4
825;Total jobs;Total employees;A-U All economic activities;Total;Spain;2021 1st quarter;14.8
826;Total jobs;Total employees;A-U All economic activities;Total;Spain;2021 2nd quarter;15.6
827;Total jobs;Total employees;A-U All economic activities;Total;Spain;2021 3rd quarter;16.9
828;Total jobs;Total employees;A-U All economic activities;Total;Spain;2021 4th quarter;19.2
829;Total jobs;Total employees;A-U All economic activities;Total;Spain;2021;16.6
830;Total jobs;Total employees;A-U All economic activities;Total;Spain;2022 1st quarter;19.3
831;Total jobs;Total employees;A-U All economic activities;Total;Spain;2022 2nd quarter;20.5
832;Total jobs;Total employees;A-U All economic activities;Total;Spain;2022 3rd quarter;21.1
833;Total jobs;Total employees;A-U All economic activities;Total;Spain;2022 4th quarter;22.5
834;Total jobs;Total employees;A-U All economic activities;Total;Spain;2022;20.9
835;Total jobs;Total employees;A-U All economic activities;Total;Spain;2023 1st quarter;22.2
836;Total jobs;Total employees;A-U All economic activities;Total;Spain;2023 2nd quarter;22.9
837;Total jobs;Total employees;A-U All economic activities;Total;Spain;2023 3rd quarter;23.0
838;Total jobs;Total employees;A-U All economic activities;Total;Spain;2023 4th quarter;24.2
839;Total jobs;Total employees;A-U All economic activities;Total;Spain;2023;23.1
840;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2010 1st quarter;20.0
841;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2010 2nd quarter;20.3
842;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2010 3rd quarter;20.2
843;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2010 4th quarter;20.3
844;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2010;20.2
845;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2011 1st quarter;20.2
846;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2011 2nd quarter;20.5
847;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2011 3rd quarter;20.4
848;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2011 4th quarter;20.4
849;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2011;20.4
850;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2012 1st quarter;20.0
851;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2012 2nd quarter;20.1
852;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2012 3rd quarter;19.9
853;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2012 4th quarter;19.8
854;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2012;20.0
855;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2013 1st quarter;19.3
856;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2013 2nd quarter;19.4
857;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2013 3rd quarter;19.2
858;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2013 4th quarter;19.3
859;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2013;19.3
860;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2014 1st quarter;19.0
861;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2014 2nd quarter;19.3
862;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2014 3rd quarter;19.2
863;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2014 4th quarter;19.4
864;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2014;19.2
865;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2015 1st quarter;19.2
866;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2015 2nd quarter;19.5
867;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2015 3rd quarter;19.3
868;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2015 4th quarter;19.5
869;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2015;19.4
870;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2016 1st quarter;19.5
871;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2016 2nd quarter;19.7
872;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2016 3rd quarter;19.5
873;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2016 4th quarter;19.8
874;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2016;19.6
875;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2017 1st quarter;19.7
876;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2017 2nd quarter;20.2
877;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2017 3rd quarter;20.4
878;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2017 4th quarter;20.9
879;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2017;20.3
880;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2018 1st quarter;21.2
881;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2018 2nd quarter;21.8
882;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2018 3rd quarter;22.0
883;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2018 4th quarter;22.6
884;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2018;21.9
885;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2019 1st quarter;22.8
886;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2019 2nd quarter;23.5
887;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2019 3rd quarter;23.6
888;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2019 4th quarter;24.1
889;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2019;23.5
890;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2020 1st quarter;23.9
891;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2020 2nd quarter;23.0
892;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2020 3rd quarter;23.1
893;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2020 4th quarter;23.4
894;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2020;23.4
895;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2021 1st quarter;23.0
896;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2021 2nd quarter;23.3
897;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2021 3rd quarter;23.4
898;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2021 4th quarter;23.7
899;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2021;23.3
900;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2022 1st quarter;23.6
901;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2022 2nd quarter;24.0
902;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2022 3rd quarter;23.8
903;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2022 4th quarter;24.2
904;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2022;23.9
905;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2023 1st quarter;24.5
906;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2023 2nd quarter;24.7
907;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2023 3rd quarter;24.4
908;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2023 4th quarter;24.5
909;Total jobs;Total employees;A-U All economic activities;Total;United Kingdom;2023;24.5
910;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2010 1st quarter;342.3
911;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2010 2nd quarter;348.9
912;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2010 3rd quarter;348.4
913;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2010 4th quarter;347.5
914;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2010;346.8
915;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2011 1st quarter;341.3
916;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2011 2nd quarter;347.8
917;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2011 3rd quarter;346.1
918;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2011 4th quarter;343.9
919;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2011;344.8
920;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2012 1st quarter;336.7
921;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2012 2nd quarter;341.2
922;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2012 3rd quarter;338.0
923;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2012 4th quarter;335.0
924;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2012;337.7
925;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2013 1st quarter;326.0
926;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2013 2nd quarter;327.3
927;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2013 3rd quarter;323.8
928;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2013 4th quarter;321.9
929;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2013;324.7
930;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2014 1st quarter;314.7
931;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2014 2nd quarter;319.0
932;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2014 3rd quarter;319.5
933;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2014 4th quarter;320.9
934;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2014;318.5
935;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2015 1st quarter;316.6
936;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2015 2nd quarter;322.2
937;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2015 3rd quarter;323.6
938;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2015 4th quarter;326.7
939;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2015;322.3
940;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2016 1st quarter;321.8
941;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2016 2nd quarter;330.3
942;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2016 3rd quarter;334.4
943;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2016 4th quarter;340.8
944;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2016;331.9
945;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2017 1st quarter;340.6
946;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2017 2nd quarter;351.9
947;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2017 3rd quarter;359.1
948;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2017 4th quarter;369.4
949;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2017;355.3
950;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2018 1st quarter;371.1
951;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2018 2nd quarter;384.9
952;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2018 3rd quarter;393.5
953;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2018 4th quarter;406.3
954;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2018;389.0
955;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2019 1st quarter;407.3
956;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2019 2nd quarter;420.7
957;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2019 3rd quarter;427.2
958;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2019 4th quarter;438.0
959;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2019;423.4
960;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2020 1st quarter;434.9
961;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2020 2nd quarter;418.5
962;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2020 3rd quarter;423.6
963;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2020 4th quarter;427.8
964;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2020;426.2
965;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2021 1st quarter;420.5
966;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2021 2nd quarter;435.7
967;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2021 3rd quarter;453.3
968;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2021 4th quarter;471.6
969;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2021;445.5
970;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2022 1st quarter;477.9
971;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2022 2nd quarter;499.1
972;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2022 3rd quarter;509.9
973;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2022 4th quarter;525.4
974;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2022;503.2
975;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2023 1st quarter;532.6
976;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2023 2nd quarter;546.3
977;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2023 3rd quarter;551.1
978;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2023 4th quarter;563.4
979;Total jobs;Total employees;A-U All economic activities;Total;Outside Europe;2023;548.4
980;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2010 1st quarter;32.6
981;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2010 2nd quarter;33.3
982;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2010 3rd quarter;33.6
983;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2010 4th quarter;33.3
984;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2010;33.2
985;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2011 1st quarter;32.1
986;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2011 2nd quarter;32.6
987;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2011 3rd quarter;32.7
988;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2011 4th quarter;32.2
989;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2011;32.4
990;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2012 1st quarter;30.9
991;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2012 2nd quarter;31.2
992;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2012 3rd quarter;31.1
993;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2012 4th quarter;30.5
994;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2012;30.9
995;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2013 1st quarter;29.2
996;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2013 2nd quarter;29.2
997;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2013 3rd quarter;28.8
