ID;Benefits;Periods;SocialBenefits_1
654;Compensation to Pensioners for Loss o...;2001;0
655;Compensation to Pensioners for Loss o...;2002;0
656;Compensation to Pensioners for Loss o...;2003;0
657;Compensation to Pensioners for Loss o...;2004;0
658;Compensation to Pensioners for Loss o...;2005;252
659;Compensation to Pensioners for Loss o...;2006;299
660;Compensation to Pensioners for Loss o...;2007;439
661;Compensation to Pensioners for Loss o...;2008;483
662;Compensation to Pensioners for Loss o...;2009;1217
663;Compensation to Pensioners for Loss o...;2010;1178
664;Compensation to Pensioners for Loss o...;2011;1108
665;Compensation to Pensioners for Loss o...;2012;1124
666;Compensation to Pensioners for Loss o...;2013;1198
667;Compensation to Pensioners for Loss o...;2014;986
668;Compensation to Pensioners for Loss o...;2015;1
669;Compensation to Pensioners for Loss o...;2016;1
670;Compensation to Pensioners for Loss o...;2017;0
671;Compensation to Pensioners for Loss o...;2018;0
672;Compensation to Pensioners for Loss o...;2019;0
673;Compensation to Pensioners for Loss o...;2020;0
674;Compensation to Pensioners for Loss o...;2021;0
675;Coronavirus testing;1995;0
676;Coronavirus testing;1996;0
677;Coronavirus testing;1997;0
678;Coronavirus testing;1998;0
679;Coronavirus testing;1999;0
680;Coronavirus testing;2000;0
681;Coronavirus testing;2001;0
682;Coronavirus testing;2002;0
683;Coronavirus testing;2003;0
684;Coronavirus testing;2004;0
685;Coronavirus testing;2005;0
686;Coronavirus testing;2006;0
687;Coronavirus testing;2007;0
688;Coronavirus testing;2008;0
689;Coronavirus testing;2009;0
690;Coronavirus testing;2010;0
691;Coronavirus testing;2011;0
692;Coronavirus testing;2012;0
693;Coronavirus testing;2013;0
694;Coronavirus testing;2014;0
695;Coronavirus testing;2015;0
696;Coronavirus testing;2016;0
697;Coronavirus testing;2017;0
698;Coronavirus testing;2018;0
699;Coronavirus testing;2019;0
700;Coronavirus testing;2020;0
701;Coronavirus testing;2021;1166
702;Disability Assistance Act for Handica...;1995;0
703;Disability Assistance Act for Handica...;1996;0
704;Disability Assistance Act for Handica...;1997;0
705;Disability Assistance Act for Handica...;1998;1007
706;Disability Assistance Act for Handica...;1999;982
707;Disability Assistance Act for Handica...;2000;1024
708;Disability Assistance Act for Handica...;2001;1132
709;Disability Assistance Act for Handica...;2002;1135
710;Disability Assistance Act for Handica...;2003;1283
711;Disability Assistance Act for Handica...;2004;1326
712;Disability Assistance Act for Handica...;2005;1419
713;Disability Assistance Act for Handica...;2006;1525
714;Disability Assistance Act for Handica...;2007;1716
715;Disability Assistance Act for Handica...;2008;1894
716;Disability Assistance Act for Handica...;2009;2085
717;Disability Assistance Act for Handica...;2010;2230
718;Disability Assistance Act for Handica...;2011;2381
719;Disability Assistance Act for Handica...;2012;2523
720;Disability Assistance Act for Handica...;2013;2713
721;Disability Assistance Act for Handica...;2014;2879
722;Disability Assistance Act for Handica...;2015;3010
723;Disability Assistance Act for Handica...;2016;3090
724;Disability Assistance Act for Handica...;2017;3163
725;Disability Assistance Act for Handica...;2018;3168
726;Disability Assistance Act for Handica...;2019;3237
727;Disability Assistance Act for Handica...;2020;3413
728;Disability Assistance Act for Handica...;2021;3500
729;Early childhood education and care;1995;42
730;Early childhood education and care;1996;43
731;Early childhood education and care;1997;48
732;Early childhood education and care;1998;54
733;Early childhood education and care;1999;59
734;Early childhood education and care;2000;65
735;Early childhood education and care;2001;98
736;Early childhood education and care;2002;134
737;Early childhood education and care;2003;136
738;Early childhood education and care;2004;136
739;Early childhood education and care;2005;124
740;Early childhood education and care;2006;123
741;Early childhood education and care;2007;128
742;Early childhood education and care;2008;146
743;Early childhood education and care;2009;136
744;Early childhood education and care;2010;139
745;Early childhood education and care;2011;143
746;Early childhood education and care;2012;153
747;Early childhood education and care;2013;163
748;Early childhood education and care;2014;156
749;Early childhood education and care;2015;155
750;Early childhood education and care;2016;157
751;Early childhood education and care;2017;185
752;Early childhood education and care;2018;189
753;Early childhood education and care;2019;193
754;Early childhood education and care;2020;198
755;Early childhood education and care;2021;204
756;Educational assistance to academic ho...;1995;282
757;Educational assistance to academic ho...;1996;211
758;Educational assistance to academic ho...;1997;223
759;Educational assistance to academic ho...;1998;241
760;Educational assistance to academic ho...;1999;257
761;Educational assistance to academic ho...;2000;270
762;Educational assistance to academic ho...;2001;280
763;Educational assistance to academic ho...;2002;323
764;Educational assistance to academic ho...;2003;331
765;Educational assistance to academic ho...;2004;335
766;Educational assistance to academic ho...;2005;343
767;Educational assistance to academic ho...;2006;346
768;Educational assistance to academic ho...;2007;358
769;Educational assistance to academic ho...;2008;371
770;Educational assistance to academic ho...;2009;390
771;Educational assistance to academic ho...;2010;378
772;Educational assistance to academic ho...;2011;399
773;Educational assistance to academic ho...;2012;395
774;Educational assistance to academic ho...;2013;405
775;Educational assistance to academic ho...;2014;418
776;Educational assistance to academic ho...;2015;420
777;Educational assistance to academic ho...;2016;444
778;Educational assistance to academic ho...;2017;455
779;Educational assistance to academic ho...;2018;456
780;Educational assistance to academic ho...;2019;467
781;Educational assistance to academic ho...;2020;480
782;Educational assistance to academic ho...;2021;514
783;Educational assistance to medical fac...;1995;0
784;Educational assistance to medical fac...;1996;0
785;Educational assistance to medical fac...;1997;0
786;Educational assistance to medical fac...;1998;0
787;Educational assistance to medical fac...;1999;0
788;Educational assistance to medical fac...;2000;0
789;Educational assistance to medical fac...;2001;0
790;Educational assistance to medical fac...;2002;43
791;Educational assistance to medical fac...;2003;85
792;Educational assistance to medical fac...;2004;99
793;Educational assistance to medical fac...;2005;111
794;Educational assistance to medical fac...;2006;158
795;Educational assistance to medical fac...;2007;175
796;Educational assistance to medical fac...;2008;203
797;Educational assistance to medical fac...;2009;221
798;Educational assistance to medical fac...;2010;234
799;Educational assistance to medical fac...;2011;228
800;Educational assistance to medical fac...;2012;218
801;Educational assistance to medical fac...;2013;239
802;Educational assistance to medical fac...;2014;223
803;Educational assistance to medical fac...;2015;236
804;Educational assistance to medical fac...;2016;246
805;Educational assistance to medical fac...;2017;249
806;Educational assistance to medical fac...;2018;258
807;Educational assistance to medical fac...;2019;273
808;Educational assistance to medical fac...;2020;287
809;Educational assistance to medical fac...;2021;300
810;General Family Allowance Act (AKW);1995;2955
811;General Family Allowance Act (AKW);1996;2898
812;General Family Allowance Act (AKW);1997;2832
813;General Family Allowance Act (AKW);1998;2868
814;General Family Allowance Act (AKW);1999;2828
815;General Family Allowance Act (AKW);2000;2911
816;General Family Allowance Act (AKW);2001;3001
817;General Family Allowance Act (AKW);2002;3118
818;General Family Allowance Act (AKW);2003;3199
819;General Family Allowance Act (AKW);2004;3232
820;General Family Allowance Act (AKW);2005;3191
821;General Family Allowance Act (AKW);2006;3263
822;General Family Allowance Act (AKW);2007;3348
823;General Family Allowance Act (AKW);2008;3390
824;General Family Allowance Act (AKW);2009;3401
825;General Family Allowance Act (AKW);2010;3371
826;General Family Allowance Act (AKW);2011;3346
827;General Family Allowance Act (AKW);2012;3236
828;General Family Allowance Act (AKW);2013;3229
829;General Family Allowance Act (AKW);2014;3203
830;General Family Allowance Act (AKW);2015;3216
831;General Family Allowance Act (AKW);2016;3310
832;General Family Allowance Act (AKW);2017;3330
833;General Family Allowance Act (AKW);2018;3349
834;General Family Allowance Act (AKW);2019;3628
835;General Family Allowance Act (AKW);2020;3657
836;General Family Allowance Act (AKW);2021;3680
837;Health care allowance;1995;0
838;Health care allowance;1996;0
839;Health care allowance;1997;0
840;Health care allowance;1998;0
841;Health care allowance;1999;0
842;Health care allowance;2000;0
843;Health care allowance;2001;0
844;Health care allowance;2002;0
845;Health care allowance;2003;0
846;Health care allowance;2004;0
847;Health care allowance;2005;0
848;Health care allowance;2006;2503
849;Health care allowance;2007;2706
850;Health care allowance;2008;3357
851;Health care allowance;2009;3570
852;Health care allowance;2010;3835
853;Health care allowance;2011;4714
854;Health care allowance;2012;4589
855;Health care allowance;2013;5137
856;Health care allowance;2014;4030
857;Health care allowance;2015;3899
858;Health care allowance;2016;4204
859;Health care allowance;2017;4240
860;Health care allowance;2018;4594
861;Health care allowance;2019;4909
862;Health care allowance;2020;5230
863;Health care allowance;2021;5473
864;Health care providers;1995;48
865;Health care providers;1996;49
866;Health care providers;1997;53
867;Health care providers;1998;60
868;Health care providers;1999;66
869;Health care providers;2000;72
870;Health care providers;2001;109
871;Health care providers;2002;150
872;Health care providers;2003;153
873;Health care providers;2004;153
874;Health care providers;2005;139
875;Health care providers;2006;139
876;Health care providers;2007;144
877;Health care providers;2008;164
878;Health care providers;2009;153
879;Health care providers;2010;156
880;Health care providers;2011;161
881;Health care providers;2012;172
882;Health care providers;2013;182
883;Health care providers;2014;175
884;Health care providers;2015;174
885;Health care providers;2016;177
886;Health care providers;2017;208
887;Health care providers;2018;217
888;Health care providers;2019;225
889;Health care providers;2020;238
890;Health care providers;2021;245
891;Home-ownership premium benefit;1995;264
892;Home-ownership premium benefit;1996;223
893;Home-ownership premium benefit;1997;181
894;Home-ownership premium benefit;1998;143
895;Home-ownership premium benefit;1999;110
896;Home-ownership premium benefit;2000;83
897;Home-ownership premium benefit;2001;61
898;Home-ownership premium benefit;2002;51
899;Home-ownership premium benefit;2003;41
900;Home-ownership premium benefit;2004;36
901;Home-ownership premium benefit;2005;26
902;Home-ownership premium benefit;2006;22
903;Home-ownership premium benefit;2007;16
904;Home-ownership premium benefit;2008;5
905;Home-ownership premium benefit;2009;16
906;Home-ownership premium benefit;2010;28
907;Home-ownership premium benefit;2011;8
908;Home-ownership premium benefit;2012;38
909;Home-ownership premium benefit;2013;30
910;Home-ownership premium benefit;2014;20
911;Home-ownership premium benefit;2015;10
912;Home-ownership premium benefit;2016;6
913;Home-ownership premium benefit;2017;5
914;Home-ownership premium benefit;2018;4
915;Home-ownership premium benefit;2019;4
916;Home-ownership premium benefit;2020;3
917;Home-ownership premium benefit;2021;3
918;Investing in Young People Act (WIJ);1995;0
919;Investing in Young People Act (WIJ);1996;0
920;Investing in Young People Act (WIJ);1997;0
921;Investing in Young People Act (WIJ);1998;0
922;Investing in Young People Act (WIJ);1999;0
923;Investing in Young People Act (WIJ);2000;0
924;Investing in Young People Act (WIJ);2001;0
925;Investing in Young People Act (WIJ);2002;0
926;Investing in Young People Act (WIJ);2003;0
927;Investing in Young People Act (WIJ);2004;0
928;Investing in Young People Act (WIJ);2005;0
929;Investing in Young People Act (WIJ);2006;0
930;Investing in Young People Act (WIJ);2007;0
931;Investing in Young People Act (WIJ);2008;0
932;Investing in Young People Act (WIJ);2009;9
933;Investing in Young People Act (WIJ);2010;270
934;Investing in Young People Act (WIJ);2011;435
935;Investing in Young People Act (WIJ);2012;0
936;Investing in Young People Act (WIJ);2013;0
937;Investing in Young People Act (WIJ);2014;0
938;Investing in Young People Act (WIJ);2015;0
939;Investing in Young People Act (WIJ);2016;0
940;Investing in Young People Act (WIJ);2017;0
941;Investing in Young People Act (WIJ);2018;0
942;Investing in Young People Act (WIJ);2019;0
943;Investing in Young People Act (WIJ);2020;0
944;Investing in Young People Act (WIJ);2021;0
945;Legal Assistance Act;1995;163
946;Legal Assistance Act;1996;152
947;Legal Assistance Act;1997;162
948;Legal Assistance Act;1998;167
949;Legal Assistance Act;1999;173
950;Legal Assistance Act;2000;206
951;Legal Assistance Act;2001;256
952;Legal Assistance Act;2002;295
953;Legal Assistance Act;2003;316
954;Legal Assistance Act;2004;334
955;Legal Assistance Act;2005;340
956;Legal Assistance Act;2006;345
957;Legal Assistance Act;2007;355
958;Legal Assistance Act;2008;382
959;Legal Assistance Act;2009;402
960;Legal Assistance Act;2010;416
961;Legal Assistance Act;2011;416
962;Legal Assistance Act;2012;443
963;Legal Assistance Act;2013;443
964;Legal Assistance Act;2014;431
965;Legal Assistance Act;2015;435
966;Legal Assistance Act;2016;403
967;Legal Assistance Act;2017;362
968;Legal Assistance Act;2018;346
969;Legal Assistance Act;2019;389
970;Legal Assistance Act;2020;406
971;Legal Assistance Act;2021;426
972;Mental health care (GGZ);1995;25
973;Mental health care (GGZ);1996;26
974;Mental health care (GGZ);1997;29
975;Mental health care (GGZ);1998;32
976;Mental health care (GGZ);1999;36
977;Mental health care (GGZ);2000;39
978;Mental health care (GGZ);2001;58
979;Mental health care (GGZ);2002;80
980;Mental health care (GGZ);2003;82
981;Mental health care (GGZ);2004;82
982;Mental health care (GGZ);2005;74
983;Mental health care (GGZ);2006;74
984;Mental health care (GGZ);2007;77
985;Mental health care (GGZ);2008;88
986;Mental health care (GGZ);2009;82
987;Mental health care (GGZ);2010;83
988;Mental health care (GGZ);2011;86
989;Mental health care (GGZ);2012;92
990;Mental health care (GGZ);2013;98
991;Mental health care (GGZ);2014;93
992;Mental health care (GGZ);2015;92
993;Mental health care (GGZ);2016;94
994;Mental health care (GGZ);2017;111
995;Mental health care (GGZ);2018;116
996;Mental health care (GGZ);2019;121
997;Mental health care (GGZ);2020;128
998;Mental health care (GGZ);2021;67
999;Nursing Homes Act;1995;1524
1000;Nursing Homes Act;1996;1500
1001;Nursing Homes Act;1997;0
1002;Nursing Homes Act;1998;0
1003;Nursing Homes Act;1999;0
1004;Nursing Homes Act;2000;0
1005;Nursing Homes Act;2001;0
1006;Nursing Homes Act;2002;0
1007;Nursing Homes Act;2003;0
1008;Nursing Homes Act;2004;0
1009;Nursing Homes Act;2005;0
1010;Nursing Homes Act;2006;0
1011;Nursing Homes Act;2007;0
1012;Nursing Homes Act;2008;0
1013;Nursing Homes Act;2009;0
1014;Nursing Homes Act;2010;0
1015;Nursing Homes Act;2011;0
1016;Nursing Homes Act;2012;0
1017;Nursing Homes Act;2013;0
1018;Nursing Homes Act;2014;0
1019;Nursing Homes Act;2015;0
1020;Nursing Homes Act;2016;0
1021;Nursing Homes Act;2017;0
1022;Nursing Homes Act;2018;0
1023;Nursing Homes Act;2019;0
1024;Nursing Homes Act;2020;0
1025;Nursing Homes Act;2021;0
1026;Reintegration benefits;1995;39
1027;Reintegration benefits;1996;88
1028;Reintegration benefits;1997;156
1029;Reintegration benefits;1998;234
1030;Reintegration benefits;1999;244
1031;Reintegration benefits;2000;394
1032;Reintegration benefits;2001;403
1033;Reintegration benefits;2002;466
1034;Reintegration benefits;2003;535
1035;Reintegration benefits;2004;583
1036;Reintegration benefits;2005;635
1037;Reintegration benefits;2006;424
1038;Reintegration benefits;2007;415
1039;Reintegration benefits;2008;343
1040;Reintegration benefits;2009;337
1041;Reintegration benefits;2010;333
1042;Reintegration benefits;2011;267
1043;Reintegration benefits;2012;166
1044;Reintegration benefits;2013;180
1045;Reintegration benefits;2014;174
1046;Reintegration benefits;2015;163
1047;Reintegration benefits;2016;177
1048;Reintegration benefits;2017;213
1049;Reintegration benefits;2018;224
1050;Reintegration benefits;2019;212
1051;Reintegration benefits;2020;194
1052;Reintegration benefits;2021;197
1053;Reintegration Fund (REA);1995;0
1054;Reintegration Fund (REA);1996;0
1055;Reintegration Fund (REA);1997;0
1056;Reintegration Fund (REA);1998;54
1057;Reintegration Fund (REA);1999;85
1058;Reintegration Fund (REA);2000;221
1059;Reintegration Fund (REA);2001;244
1060;Reintegration Fund (REA);2002;300
1061;Reintegration Fund (REA);2003;308
1062;Reintegration Fund (REA);2004;256
1063;Reintegration Fund (REA);2005;190
1064;Reintegration Fund (REA);2006;99
1065;Reintegration Fund (REA);2007;62
1066;Reintegration Fund (REA);2008;11
1067;Reintegration Fund (REA);2009;6
1068;Reintegration Fund (REA);2010;2
1069;Reintegration Fund (REA);2011;0
1070;Reintegration Fund (REA);2012;0
1071;Reintegration Fund (REA);2013;0
1072;Reintegration Fund (REA);2014;0
1073;Reintegration Fund (REA);2015;0
1074;Reintegration Fund (REA);2016;0
1075;Reintegration Fund (REA);2017;0
1076;Reintegration Fund (REA);2018;0
1077;Reintegration Fund (REA);2019;0
1078;Reintegration Fund (REA);2020;0
1079;Reintegration Fund (REA);2021;0
1080;Rent benefit;1995;924
1081;Rent benefit;1996;1021
1082;Rent benefit;1997;1185
1083;Rent benefit;1998;1364
1084;Rent benefit;1999;1459
1085;Rent benefit;2000;1462
1086;Rent benefit;2001;1505
1087;Rent benefit;2002;1717
1088;Rent benefit;2003;1603
1089;Rent benefit;2004;1649
1090;Rent benefit;2005;1686
1091;Rent benefit;2006;2026
1092;Rent benefit;2007;2148
1093;Rent benefit;2008;2159
1094;Rent benefit;2009;2135
1095;Rent benefit;2010;2213
1096;Rent benefit;2011;2311
1097;Rent benefit;2012;2288
1098;Rent benefit;2013;2435
1099;Rent benefit;2014;2814
1100;Rent benefit;2015;3094
1101;Rent benefit;2016;3339
1102;Rent benefit;2017;3434
1103;Rent benefit;2018;3504
1104;Rent benefit;2019;3551
1105;Rent benefit;2020;3811
1106;Rent benefit;2021;4001
1107;Social Support Act (Wmo);1995;0
1108;Social Support Act (Wmo);1996;0
1109;Social Support Act (Wmo);1997;0
1110;Social Support Act (Wmo);1998;0
1111;Social Support Act (Wmo);1999;0
1112;Social Support Act (Wmo);2000;0
1113;Social Support Act (Wmo);2001;0
1114;Social Support Act (Wmo);2002;0
1115;Social Support Act (Wmo);2003;0
1116;Social Support Act (Wmo);2004;0
1117;Social Support Act (Wmo);2005;0
1118;Social Support Act (Wmo);2006;0
1119;Social Support Act (Wmo);2007;1915
1120;Social Support Act (Wmo);2008;1993
1121;Social Support Act (Wmo);2009;2154
1122;Social Support Act (Wmo);2010;2340
1123;Social Support Act (Wmo);2011;2291
1124;Social Support Act (Wmo);2012;2233
1125;Social Support Act (Wmo);2013;2027
1126;Social Support Act (Wmo);2014;1835
1127;Social Support Act (Wmo);2015;5265
1128;Social Support Act (Wmo);2016;5338
1129;Social Support Act (Wmo);2017;5481
1130;Social Support Act (Wmo);2018;5880
1131;Social Support Act (Wmo);2019;6341
1132;Social Support Act (Wmo);2020;6552
1133;Social Support Act (Wmo);2021;6515
1134;Student finance;1995;1691
1135;Student finance;1996;1538
1136;Student finance;1997;1458
1137;Student finance;1998;1252
1138;Student finance;1999;1167
1139;Student finance;2000;1087
1140;Student finance;2001;1005
1141;Student finance;2002;770
1142;Student finance;2003;1288
1143;Student finance;2004;1589
1144;Student finance;2005;2083
1145;Student finance;2006;2471
1146;Student finance;2007;2495
1147;Student finance;2008;2501
1148;Student finance;2009;2388
1149;Student finance;2010;2342
1150;Student finance;2011;2501
1151;Student finance;2012;2870
1152;Student finance;2013;2900
1153;Student finance;2014;3100
1154;Student finance;2015;3002
1155;Student finance;2016;2666
1156;Student finance;2017;2466
1157;Student finance;2018;2503
1158;Student finance;2019;2374
1159;Student finance;2020;2212
1160;Student finance;2021;2621
1161;Supplementary Fund (Tf);1995;300
1162;Supplementary Fund (Tf);1996;292
1163;Supplementary Fund (Tf);1997;284
1164;Supplementary Fund (Tf);1998;282
1165;Supplementary Fund (Tf);1999;302
1166;Supplementary Fund (Tf);2000;289
1167;Supplementary Fund (Tf);2001;274
1168;Supplementary Fund (Tf);2002;287
1169;Supplementary Fund (Tf);2003;303
1170;Supplementary Fund (Tf);2004;336
1171;Supplementary Fund (Tf);2005;331
1172;Supplementary Fund (Tf);2006;372
1173;Supplementary Fund (Tf);2007;356
1174;Supplementary Fund (Tf);2008;363
1175;Supplementary Fund (Tf);2009;768
1176;Supplementary Fund (Tf);2010;801
1177;Supplementary Fund (Tf);2011;820
1178;Supplementary Fund (Tf);2012;859
1179;Supplementary Fund (Tf);2013;981
1180;Supplementary Fund (Tf);2014;885
1181;Supplementary Fund (Tf);2015;792
1182;Supplementary Fund (Tf);2016;828
1183;Supplementary Fund (Tf);2017;731
1184;Supplementary Fund (Tf);2018;739
1185;Supplementary Fund (Tf);2019;754
1186;Supplementary Fund (Tf);2020;799
1187;Supplementary Fund (Tf);2021;770
1188;Supplementary income for the elderly ...;1995;0
1189;Supplementary income for the elderly ...;1996;0
1190;Supplementary income for the elderly ...;1997;0
1191;Supplementary income for the elderly ...;1998;0
1192;Supplementary income for the elderly ...;1999;0
1193;Supplementary income for the elderly ...;2000;0
1194;Supplementary income for the elderly ...;2001;0
1195;Supplementary income for the elderly ...;2002;0
1196;Supplementary income for the elderly ...;2003;0
1197;Supplementary income for the elderly ...;2004;0
1198;Supplementary income for the elderly ...;2005;0
1199;Supplementary income for the elderly ...;2006;0
1200;Supplementary income for the elderly ...;2007;0
1201;Supplementary income for the elderly ...;2008;0
1202;Supplementary income for the elderly ...;2009;0
1203;Supplementary income for the elderly ...;2010;202
1204;Supplementary income for the elderly ...;2011;212
1205;Supplementary income for the elderly ...;2012;200
1206;Supplementary income for the elderly ...;2013;195
1207;Supplementary income for the elderly ...;2014;216
1208;Supplementary income for the elderly ...;2015;234
1209;Supplementary income for the elderly ...;2016;239
1210;Supplementary income for the elderly ...;2017;268
1211;Supplementary income for the elderly ...;2018;296
1212;Supplementary income for the elderly ...;2019;308
1213;Supplementary income for the elderly ...;2020;330
1214;Supplementary income for the elderly ...;2021;350
1215;Welfare;1995;4713
1216;Welfare;1996;4879
1217;Welfare;1997;4718
1218;Welfare;1998;4546
1219;Welfare;1999;4202
1220;Welfare;2000;4097
1221;Welfare;2001;4127
1222;Welfare;2002;4225
1223;Welfare;2003;4458
1224;Welfare;2004;4475
1225;Welfare;2005;4485
1226;Welfare;2006;4377
1227;Welfare;2007;4186
1228;Welfare;2008;4109
1229;Welfare;2009;4336
1230;Welfare;2010;4352
1231;Welfare;2011;4429
1232;Welfare;2012;4955
1233;Welfare;2013;5345
1234;Welfare;2014;5928
1235;Welfare;2015;5789
1236;Welfare;2016;6181
1237;Welfare;2017;6293
1238;Welfare;2018;6089
1239;Welfare;2019;5938
1240;Welfare;2020;6099
1241;Welfare;2021;6138
1242;Youth Act;1995;568
1243;Youth Act;1996;532
1244;Youth Act;1997;572
1245;Youth Act;1998;734
1246;Youth Act;1999;843
1247;Youth Act;2000;944
1248;Youth Act;2001;1044
1249;Youth Act;2002;1046
1250;Youth Act;2003;1029
1251;Youth Act;2004;909
1252;Youth Act;2005;871
1253;Youth Act;2006;928
1254;Youth Act;2007;1032
1255;Youth Act;2008;1047
1256;Youth Act;2009;1386
1257;Youth Act;2010;1490
1258;Youth Act;2011;1436
1259;Youth Act;2012;1457
1260;Youth Act;2013;1435
1261;Youth Act;2014;1481
1262;Youth Act;2015;2663
1263;Youth Act;2016;2738
1264;Youth Act;2017;2936
1265;Youth Act;2018;3283
1266;Youth Act;2019;3642
1267;Youth Act;2020;3803
1268;Youth Act;2021;4131
1269;Other social assistance benefits;1995;655
1270;Other social assistance benefits;1996;631
1271;Other social assistance benefits;1997;658
1272;Other social assistance benefits;1998;810
1273;Other social assistance benefits;1999;929
1274;Other social assistance benefits;2000;1029
1275;Other social assistance benefits;2001;1165
1276;Other social assistance benefits;2002;1174
1277;Other social assistance benefits;2003;1006
1278;Other social assistance benefits;2004;934
1279;Other social assistance benefits;2005;852
1280;Other social assistance benefits;2006;751
1281;Other social assistance benefits;2007;803
1282;Other social assistance benefits;2008;1059
1283;Other social assistance benefits;2009;789
1284;Other social assistance benefits;2010;1257
1285;Other social assistance benefits;2011;1251
1286;Other social assistance benefits;2012;1244
1287;Other social assistance benefits;2013;892
1288;Other social assistance benefits;2014;837
1289;Other social assistance benefits;2015;518
1290;Other social assistance benefits;2016;423
1291;Other social assistance benefits;2017;540
1292;Other social assistance benefits;2018;561
1293;Other social assistance benefits;2019;547
1294;Other social assistance benefits;2020;629
1295;Other social assistance benefits;2021;725
