ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
3070;Total males and females;Total;Total;El Salvador;Total;Two parents born abroad;2023;688.0
3071;Total males and females;Total;Total;El Salvador;Total;Two parents born abroad;2024;771.0
3072;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Total;2022;341.0
3073;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Total;2023;354.0
3074;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Total;2024;366.0
3075;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3076;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3077;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3078;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;One parent born in NL, one born abroad;2022;239.0
3079;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;One parent born in NL, one born abroad;2023;249.0
3080;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;One parent born in NL, one born abroad;2024;259.0
3081;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born abroad;2022;102.0
3082;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born abroad;2023;105.0
3083;Total males and females;Total;Total;El Salvador;Person born in the Netherlands;Two parents born abroad;2024;107.0
3084;Total males and females;Total;Total;El Salvador;Person born abroad;Total;2022;620.0
3085;Total males and females;Total;Total;El Salvador;Person born abroad;Total;2023;670.0
3086;Total males and females;Total;Total;El Salvador;Person born abroad;Total;2024;748.0
3087;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born in the Netherlands;2022;38.0
3088;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born in the Netherlands;2023;38.0
3089;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born in the Netherlands;2024;37.0
3090;Total males and females;Total;Total;El Salvador;Person born abroad;One parent born in NL, one born abroad;2022;49.0
3091;Total males and females;Total;Total;El Salvador;Person born abroad;One parent born in NL, one born abroad;2023;49.0
3092;Total males and females;Total;Total;El Salvador;Person born abroad;One parent born in NL, one born abroad;2024;47.0
3093;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born abroad;2022;533.0
3094;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born abroad;2023;583.0
3095;Total males and females;Total;Total;El Salvador;Person born abroad;Two parents born abroad;2024;664.0
3096;Total males and females;Total;Total;Equatorial Guinea;Total;Total;2022;91.0
3097;Total males and females;Total;Total;Equatorial Guinea;Total;Total;2023;94.0
3098;Total males and females;Total;Total;Equatorial Guinea;Total;Total;2024;108.0
3099;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born in the Netherlands;2022;0.0
3100;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born in the Netherlands;2023;0.0
3101;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born in the Netherlands;2024;0.0
3102;Total males and females;Total;Total;Equatorial Guinea;Total;One parent born in NL, one born abroad;2022;25.0
3103;Total males and females;Total;Total;Equatorial Guinea;Total;One parent born in NL, one born abroad;2023;25.0
3104;Total males and females;Total;Total;Equatorial Guinea;Total;One parent born in NL, one born abroad;2024;26.0
3105;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born abroad;2022;66.0
3106;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born abroad;2023;69.0
3107;Total males and females;Total;Total;Equatorial Guinea;Total;Two parents born abroad;2024;82.0
3108;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Total;2022;26.0
3109;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Total;2023;26.0
3110;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Total;2024;26.0
3111;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3112;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3113;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3114;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;One parent born in NL, one born abroad;2022;22.0
3115;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;One parent born in NL, one born abroad;2023;22.0
3116;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;One parent born in NL, one born abroad;2024;23.0
3117;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born abroad;2022;4.0
3118;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born abroad;2023;4.0
3119;Total males and females;Total;Total;Equatorial Guinea;Person born in the Netherlands;Two parents born abroad;2024;3.0
3120;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Total;2022;65.0
3121;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Total;2023;68.0
3122;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Total;2024;82.0
3123;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born in the Netherlands;2022;0.0
3124;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born in the Netherlands;2023;0.0
3125;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born in the Netherlands;2024;0.0
3126;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;One parent born in NL, one born abroad;2022;3.0
3127;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;One parent born in NL, one born abroad;2023;3.0
3128;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;One parent born in NL, one born abroad;2024;3.0
3129;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born abroad;2022;62.0
3130;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born abroad;2023;65.0
3131;Total males and females;Total;Total;Equatorial Guinea;Person born abroad;Two parents born abroad;2024;79.0
3132;Total males and females;Total;Total;Eritrea;Total;Total;2022;25081.0
3133;Total males and females;Total;Total;Eritrea;Total;Total;2023;26719.0
3134;Total males and females;Total;Total;Eritrea;Total;Total;2024;28842.0
3135;Total males and females;Total;Total;Eritrea;Total;Two parents born in the Netherlands;2022;1.0
3136;Total males and females;Total;Total;Eritrea;Total;Two parents born in the Netherlands;2023;1.0
3137;Total males and females;Total;Total;Eritrea;Total;Two parents born in the Netherlands;2024;1.0
3138;Total males and females;Total;Total;Eritrea;Total;One parent born in NL, one born abroad;2022;103.0
3139;Total males and females;Total;Total;Eritrea;Total;One parent born in NL, one born abroad;2023;108.0
3140;Total males and females;Total;Total;Eritrea;Total;One parent born in NL, one born abroad;2024;119.0
3141;Total males and females;Total;Total;Eritrea;Total;Two parents born abroad;2022;24977.0
3142;Total males and females;Total;Total;Eritrea;Total;Two parents born abroad;2023;26610.0
3143;Total males and females;Total;Total;Eritrea;Total;Two parents born abroad;2024;28722.0
3144;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Total;2022;4038.0
3145;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Total;2023;4668.0
3146;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Total;2024;5402.0
3147;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3148;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3149;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3150;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;One parent born in NL, one born abroad;2022;93.0
3151;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;One parent born in NL, one born abroad;2023;101.0
3152;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;One parent born in NL, one born abroad;2024;112.0
3153;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born abroad;2022;3945.0
3154;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born abroad;2023;4567.0
3155;Total males and females;Total;Total;Eritrea;Person born in the Netherlands;Two parents born abroad;2024;5290.0
3156;Total males and females;Total;Total;Eritrea;Person born abroad;Total;2022;21043.0
3157;Total males and females;Total;Total;Eritrea;Person born abroad;Total;2023;22051.0
3158;Total males and females;Total;Total;Eritrea;Person born abroad;Total;2024;23440.0
3159;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born in the Netherlands;2022;1.0
3160;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born in the Netherlands;2023;1.0
3161;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born in the Netherlands;2024;1.0
3162;Total males and females;Total;Total;Eritrea;Person born abroad;One parent born in NL, one born abroad;2022;10.0
3163;Total males and females;Total;Total;Eritrea;Person born abroad;One parent born in NL, one born abroad;2023;7.0
3164;Total males and females;Total;Total;Eritrea;Person born abroad;One parent born in NL, one born abroad;2024;7.0
3165;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born abroad;2022;21032.0
3166;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born abroad;2023;22043.0
3167;Total males and females;Total;Total;Eritrea;Person born abroad;Two parents born abroad;2024;23432.0
3168;Total males and females;Total;Total;Estonia;Total;Total;2022;2539.0
3169;Total males and females;Total;Total;Estonia;Total;Total;2023;2798.0
3170;Total males and females;Total;Total;Estonia;Total;Total;2024;2957.0
3171;Total males and females;Total;Total;Estonia;Total;Two parents born in the Netherlands;2022;5.0
3172;Total males and females;Total;Total;Estonia;Total;Two parents born in the Netherlands;2023;4.0
3173;Total males and females;Total;Total;Estonia;Total;Two parents born in the Netherlands;2024;5.0
3174;Total males and females;Total;Total;Estonia;Total;One parent born in NL, one born abroad;2022;472.0
3175;Total males and females;Total;Total;Estonia;Total;One parent born in NL, one born abroad;2023;486.0
3176;Total males and females;Total;Total;Estonia;Total;One parent born in NL, one born abroad;2024;499.0
3177;Total males and females;Total;Total;Estonia;Total;Two parents born abroad;2022;2062.0
3178;Total males and females;Total;Total;Estonia;Total;Two parents born abroad;2023;2308.0
3179;Total males and females;Total;Total;Estonia;Total;Two parents born abroad;2024;2453.0
3180;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Total;2022;640.0
3181;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Total;2023;669.0
3182;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Total;2024;686.0
3183;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3184;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3185;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3186;Total males and females;Total;Total;Estonia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;434.0
3187;Total males and females;Total;Total;Estonia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;448.0
3188;Total males and females;Total;Total;Estonia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;455.0
3189;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born abroad;2022;206.0
3190;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born abroad;2023;221.0
3191;Total males and females;Total;Total;Estonia;Person born in the Netherlands;Two parents born abroad;2024;231.0
3192;Total males and females;Total;Total;Estonia;Person born abroad;Total;2022;1899.0
3193;Total males and females;Total;Total;Estonia;Person born abroad;Total;2023;2129.0
3194;Total males and females;Total;Total;Estonia;Person born abroad;Total;2024;2271.0
3195;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born in the Netherlands;2022;5.0
3196;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born in the Netherlands;2023;4.0
3197;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born in the Netherlands;2024;5.0
3198;Total males and females;Total;Total;Estonia;Person born abroad;One parent born in NL, one born abroad;2022;38.0
3199;Total males and females;Total;Total;Estonia;Person born abroad;One parent born in NL, one born abroad;2023;38.0
3200;Total males and females;Total;Total;Estonia;Person born abroad;One parent born in NL, one born abroad;2024;44.0
3201;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born abroad;2022;1856.0
3202;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born abroad;2023;2087.0
3203;Total males and females;Total;Total;Estonia;Person born abroad;Two parents born abroad;2024;2222.0
3204;Total males and females;Total;Total;Eswatini;Total;Total;2022;185.0
3205;Total males and females;Total;Total;Eswatini;Total;Total;2023;199.0
3206;Total males and females;Total;Total;Eswatini;Total;Total;2024;199.0
3207;Total males and females;Total;Total;Eswatini;Total;Two parents born in the Netherlands;2022;26.0
3208;Total males and females;Total;Total;Eswatini;Total;Two parents born in the Netherlands;2023;26.0
3209;Total males and females;Total;Total;Eswatini;Total;Two parents born in the Netherlands;2024;25.0
3210;Total males and females;Total;Total;Eswatini;Total;One parent born in NL, one born abroad;2022;93.0
3211;Total males and females;Total;Total;Eswatini;Total;One parent born in NL, one born abroad;2023;101.0
3212;Total males and females;Total;Total;Eswatini;Total;One parent born in NL, one born abroad;2024;102.0
3213;Total males and females;Total;Total;Eswatini;Total;Two parents born abroad;2022;66.0
3214;Total males and females;Total;Total;Eswatini;Total;Two parents born abroad;2023;72.0
3215;Total males and females;Total;Total;Eswatini;Total;Two parents born abroad;2024;72.0
3216;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Total;2022;84.0
3217;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Total;2023;91.0
3218;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Total;2024;92.0
3219;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3220;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3221;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3222;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;One parent born in NL, one born abroad;2022;74.0
3223;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;One parent born in NL, one born abroad;2023;81.0
3224;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;One parent born in NL, one born abroad;2024;82.0
3225;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born abroad;2022;10.0
3226;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born abroad;2023;10.0
3227;Total males and females;Total;Total;Eswatini;Person born in the Netherlands;Two parents born abroad;2024;10.0
3228;Total males and females;Total;Total;Eswatini;Person born abroad;Total;2022;101.0
3229;Total males and females;Total;Total;Eswatini;Person born abroad;Total;2023;108.0
3230;Total males and females;Total;Total;Eswatini;Person born abroad;Total;2024;107.0
3231;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born in the Netherlands;2022;26.0
3232;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born in the Netherlands;2023;26.0
3233;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born in the Netherlands;2024;25.0
3234;Total males and females;Total;Total;Eswatini;Person born abroad;One parent born in NL, one born abroad;2022;19.0
3235;Total males and females;Total;Total;Eswatini;Person born abroad;One parent born in NL, one born abroad;2023;20.0
3236;Total males and females;Total;Total;Eswatini;Person born abroad;One parent born in NL, one born abroad;2024;20.0
3237;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born abroad;2022;56.0
3238;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born abroad;2023;62.0
3239;Total males and females;Total;Total;Eswatini;Person born abroad;Two parents born abroad;2024;62.0
3240;Total males and females;Total;Total;Ethiopia;Total;Total;2022;29896.0
3241;Total males and females;Total;Total;Ethiopia;Total;Total;2023;31078.0
3242;Total males and females;Total;Total;Ethiopia;Total;Total;2024;32404.0
3243;Total males and females;Total;Total;Ethiopia;Total;Two parents born in the Netherlands;2022;1261.0
3244;Total males and females;Total;Total;Ethiopia;Total;Two parents born in the Netherlands;2023;1252.0
3245;Total males and females;Total;Total;Ethiopia;Total;Two parents born in the Netherlands;2024;1249.0
3246;Total males and females;Total;Total;Ethiopia;Total;One parent born in NL, one born abroad;2022;1922.0
3247;Total males and females;Total;Total;Ethiopia;Total;One parent born in NL, one born abroad;2023;1998.0
3248;Total males and females;Total;Total;Ethiopia;Total;One parent born in NL, one born abroad;2024;2073.0
3249;Total males and females;Total;Total;Ethiopia;Total;Two parents born abroad;2022;26713.0
3250;Total males and females;Total;Total;Ethiopia;Total;Two parents born abroad;2023;27828.0
3251;Total males and females;Total;Total;Ethiopia;Total;Two parents born abroad;2024;29082.0
3252;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Total;2022;9516.0
3253;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Total;2023;10234.0
3254;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Total;2024;10869.0
3255;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3256;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3257;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3258;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1717.0
3259;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;1783.0
3260;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1857.0
3261;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born abroad;2022;7799.0
3262;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born abroad;2023;8451.0
3263;Total males and females;Total;Total;Ethiopia;Person born in the Netherlands;Two parents born abroad;2024;9012.0
3264;Total males and females;Total;Total;Ethiopia;Person born abroad;Total;2022;20380.0
3265;Total males and females;Total;Total;Ethiopia;Person born abroad;Total;2023;20844.0
3266;Total males and females;Total;Total;Ethiopia;Person born abroad;Total;2024;21535.0
3267;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born in the Netherlands;2022;1261.0
3268;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born in the Netherlands;2023;1252.0
3269;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born in the Netherlands;2024;1249.0
3270;Total males and females;Total;Total;Ethiopia;Person born abroad;One parent born in NL, one born abroad;2022;205.0
3271;Total males and females;Total;Total;Ethiopia;Person born abroad;One parent born in NL, one born abroad;2023;215.0
3272;Total males and females;Total;Total;Ethiopia;Person born abroad;One parent born in NL, one born abroad;2024;216.0
3273;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born abroad;2022;18914.0
3274;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born abroad;2023;19377.0
3275;Total males and females;Total;Total;Ethiopia;Person born abroad;Two parents born abroad;2024;20070.0
3276;Total males and females;Total;Total;Faroe Islands;Total;Total;2022;18.0
3277;Total males and females;Total;Total;Faroe Islands;Total;Total;2023;17.0
3278;Total males and females;Total;Total;Faroe Islands;Total;Total;2024;14.0
3279;Total males and females;Total;Total;Faroe Islands;Total;Two parents born in the Netherlands;2022;0.0
3280;Total males and females;Total;Total;Faroe Islands;Total;Two parents born in the Netherlands;2023;0.0
3281;Total males and females;Total;Total;Faroe Islands;Total;Two parents born in the Netherlands;2024;0.0
3282;Total males and females;Total;Total;Faroe Islands;Total;One parent born in NL, one born abroad;2022;1.0
3283;Total males and females;Total;Total;Faroe Islands;Total;One parent born in NL, one born abroad;2023;2.0
3284;Total males and females;Total;Total;Faroe Islands;Total;One parent born in NL, one born abroad;2024;1.0
3285;Total males and females;Total;Total;Faroe Islands;Total;Two parents born abroad;2022;17.0
3286;Total males and females;Total;Total;Faroe Islands;Total;Two parents born abroad;2023;15.0
3287;Total males and females;Total;Total;Faroe Islands;Total;Two parents born abroad;2024;13.0
3288;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Total;2022;3.0
3289;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Total;2023;4.0
3290;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Total;2024;3.0
3291;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3292;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3293;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3294;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1.0
3295;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;One parent born in NL, one born abroad;2023;2.0
3296;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1.0
3297;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born abroad;2022;2.0
3298;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born abroad;2023;2.0
3299;Total males and females;Total;Total;Faroe Islands;Person born in the Netherlands;Two parents born abroad;2024;2.0
3300;Total males and females;Total;Total;Faroe Islands;Person born abroad;Total;2022;15.0
3301;Total males and females;Total;Total;Faroe Islands;Person born abroad;Total;2023;13.0
3302;Total males and females;Total;Total;Faroe Islands;Person born abroad;Total;2024;11.0
3303;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born in the Netherlands;2022;0.0
3304;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born in the Netherlands;2023;0.0
3305;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born in the Netherlands;2024;0.0
3306;Total males and females;Total;Total;Faroe Islands;Person born abroad;One parent born in NL, one born abroad;2022;0.0
3307;Total males and females;Total;Total;Faroe Islands;Person born abroad;One parent born in NL, one born abroad;2023;0.0
3308;Total males and females;Total;Total;Faroe Islands;Person born abroad;One parent born in NL, one born abroad;2024;0.0
3309;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born abroad;2022;15.0
3310;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born abroad;2023;13.0
3311;Total males and females;Total;Total;Faroe Islands;Person born abroad;Two parents born abroad;2024;11.0
3312;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Total;2022;6.0
3313;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Total;2023;6.0
3314;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Total;2024;7.0
3315;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born in the Netherlands;2022;0.0
3316;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born in the Netherlands;2023;0.0
3317;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born in the Netherlands;2024;0.0
3318;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;One parent born in NL, one born abroad;2022;4.0
3319;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;One parent born in NL, one born abroad;2023;4.0
3320;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;One parent born in NL, one born abroad;2024;4.0
3321;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born abroad;2022;2.0
3322;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born abroad;2023;2.0
3323;Total males and females;Total;Total;Falkland Islands (Malvinas);Total;Two parents born abroad;2024;3.0
3324;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Total;2022;4.0
3325;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Total;2023;4.0
3326;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Total;2024;4.0
3327;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born in the Netherlands;2022;
3328;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born in the Netherlands;2023;
3329;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born in the Netherlands;2024;
3330;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;One parent born in NL, one born abroad;2022;4.0
3331;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;One parent born in NL, one born abroad;2023;4.0
3332;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;One parent born in NL, one born abroad;2024;4.0
3333;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born abroad;2022;0.0
3334;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born abroad;2023;0.0
3335;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born in the Netherlands;Two parents born abroad;2024;0.0
3336;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Total;2022;2.0
3337;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Total;2023;2.0
3338;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Total;2024;3.0
3339;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born in the Netherlands;2022;0.0
3340;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born in the Netherlands;2023;0.0
3341;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born in the Netherlands;2024;0.0
3342;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;One parent born in NL, one born abroad;2022;0.0
3343;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;One parent born in NL, one born abroad;2023;0.0
3344;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;One parent born in NL, one born abroad;2024;0.0
3345;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born abroad;2022;2.0
3346;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born abroad;2023;2.0
3347;Total males and females;Total;Total;Falkland Islands (Malvinas);Person born abroad;Two parents born abroad;2024;3.0
3348;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Total;2022;
3349;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Total;2023;
3350;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Total;2024;
3351;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born in the Netherlands;2022;
3352;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born in the Netherlands;2023;
3353;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born in the Netherlands;2024;
3354;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;One parent born in NL, one born abroad;2022;
3355;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;One parent born in NL, one born abroad;2023;
3356;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;One parent born in NL, one born abroad;2024;
3357;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born abroad;2022;
3358;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born abroad;2023;
3359;Total males and females;Total;Total;Federal Republic of Yugoslavia;Total;Two parents born abroad;2024;
3360;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Total;2022;
3361;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Total;2023;
3362;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Total;2024;
3363;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3364;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3365;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3366;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;
