ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
2733;Total taxes and social contributions;Other local government;2008;1267
2734;Total taxes and social contributions;Other local government;2009 1st quarter;316
2735;Total taxes and social contributions;Other local government;2009 2nd quarter;338
2736;Total taxes and social contributions;Other local government;2009 3rd quarter;308
2737;Total taxes and social contributions;Other local government;2009 4th quarter;345
2738;Total taxes and social contributions;Other local government;2009;1307
2739;Total taxes and social contributions;Other local government;2010 1st quarter;394
2740;Total taxes and social contributions;Other local government;2010 2nd quarter;286
2741;Total taxes and social contributions;Other local government;2010 3rd quarter;320
2742;Total taxes and social contributions;Other local government;2010 4th quarter;306
2743;Total taxes and social contributions;Other local government;2010;1306
2744;Total taxes and social contributions;Other local government;2011 1st quarter;326
2745;Total taxes and social contributions;Other local government;2011 2nd quarter;343
2746;Total taxes and social contributions;Other local government;2011 3rd quarter;323
2747;Total taxes and social contributions;Other local government;2011 4th quarter;335
2748;Total taxes and social contributions;Other local government;2011;1327
2749;Total taxes and social contributions;Other local government;2012 1st quarter;317
2750;Total taxes and social contributions;Other local government;2012 2nd quarter;314
2751;Total taxes and social contributions;Other local government;2012 3rd quarter;315
2752;Total taxes and social contributions;Other local government;2012 4th quarter;314
2753;Total taxes and social contributions;Other local government;2012;1260
2754;Total taxes and social contributions;Other local government;2013 1st quarter;279
2755;Total taxes and social contributions;Other local government;2013 2nd quarter;277
2756;Total taxes and social contributions;Other local government;2013 3rd quarter;276
2757;Total taxes and social contributions;Other local government;2013 4th quarter;275
2758;Total taxes and social contributions;Other local government;2013;1107
2759;Total taxes and social contributions;Other local government;2014 1st quarter;267
2760;Total taxes and social contributions;Other local government;2014 2nd quarter;307
2761;Total taxes and social contributions;Other local government;2014 3rd quarter;275
2762;Total taxes and social contributions;Other local government;2014 4th quarter;303
2763;Total taxes and social contributions;Other local government;2014;1152
2764;Total taxes and social contributions;Other local government;2015 1st quarter;283
2765;Total taxes and social contributions;Other local government;2015 2nd quarter;304
2766;Total taxes and social contributions;Other local government;2015 3rd quarter;290
2767;Total taxes and social contributions;Other local government;2015 4th quarter;311
2768;Total taxes and social contributions;Other local government;2015;1188
2769;Total taxes and social contributions;Other local government;2016 1st quarter;263
2770;Total taxes and social contributions;Other local government;2016 2nd quarter;273
2771;Total taxes and social contributions;Other local government;2016 3rd quarter;267
2772;Total taxes and social contributions;Other local government;2016 4th quarter;281
2773;Total taxes and social contributions;Other local government;2016;1084
2774;Total taxes and social contributions;Other local government;2017 1st quarter;262
2775;Total taxes and social contributions;Other local government;2017 2nd quarter;291
2776;Total taxes and social contributions;Other local government;2017 3rd quarter;270
2777;Total taxes and social contributions;Other local government;2017 4th quarter;285
2778;Total taxes and social contributions;Other local government;2017;1108
2779;Total taxes and social contributions;Other local government;2018 1st quarter;279
2780;Total taxes and social contributions;Other local government;2018 2nd quarter;273
2781;Total taxes and social contributions;Other local government;2018 3rd quarter;262
2782;Total taxes and social contributions;Other local government;2018 4th quarter;292
2783;Total taxes and social contributions;Other local government;2018;1106
2784;Total taxes and social contributions;Other local government;2019 1st quarter;291
2785;Total taxes and social contributions;Other local government;2019 2nd quarter;299
2786;Total taxes and social contributions;Other local government;2019 3rd quarter;289
2787;Total taxes and social contributions;Other local government;2019 4th quarter;301
2788;Total taxes and social contributions;Other local government;2019;1180
2789;Total taxes and social contributions;Other local government;2020 1st quarter;309
2790;Total taxes and social contributions;Other local government;2020 2nd quarter;317
2791;Total taxes and social contributions;Other local government;2020 3rd quarter;276
2792;Total taxes and social contributions;Other local government;2020 4th quarter;307
2793;Total taxes and social contributions;Other local government;2020;1209
2794;Total taxes and social contributions;Other local government;2021 1st quarter;308
2795;Total taxes and social contributions;Other local government;2021 2nd quarter;302
2796;Total taxes and social contributions;Other local government;2021 3rd quarter;309
2797;Total taxes and social contributions;Other local government;2021 4th quarter;372
2798;Total taxes and social contributions;Other local government;2021;1291
2799;Total taxes and social contributions;Other local government;2022 1st quarter;390
2800;Total taxes and social contributions;Other local government;2022 2nd quarter;371
2801;Total taxes and social contributions;Other local government;2022 3rd quarter;373
2802;Total taxes and social contributions;Other local government;2022 4th quarter;422
2803;Total taxes and social contributions;Other local government;2022;1556
2804;Total taxes and social contributions;Other local government;2023 1st quarter;409
2805;Total taxes and social contributions;Other local government;2023 2nd quarter;365
2806;Total taxes and social contributions;Other local government;2023 3rd quarter;386
2807;Total taxes and social contributions;Other local government;2023 4th quarter;450
2808;Total taxes and social contributions;Other local government;2023;1610
2809;Total taxes and social contributions;Other local government;2024 1st quarter;432
2810;Total taxes and social contributions;Other local government;2024 2nd quarter;412
2811;Total taxes and social contributions;Other local government;2024 3rd quarter;399
2812;Total taxes and social contributions;Other local government;2024 4th quarter;444
2813;Total taxes and social contributions;Other local government;2024;1687
2814;Total taxes and social contributions;Social security funds;1995;49853
2815;Total taxes and social contributions;Social security funds;1996;49995
2816;Total taxes and social contributions;Social security funds;1997;52802
2817;Total taxes and social contributions;Social security funds;1998;56281
2818;Total taxes and social contributions;Social security funds;1999 1st quarter;15215
2819;Total taxes and social contributions;Social security funds;1999 2nd quarter;16643
2820;Total taxes and social contributions;Social security funds;1999 3rd quarter;14393
2821;Total taxes and social contributions;Social security funds;1999 4th quarter;15737
2822;Total taxes and social contributions;Social security funds;1999;61988
2823;Total taxes and social contributions;Social security funds;2000 1st quarter;15804
2824;Total taxes and social contributions;Social security funds;2000 2nd quarter;18211
2825;Total taxes and social contributions;Social security funds;2000 3rd quarter;15273
2826;Total taxes and social contributions;Social security funds;2000 4th quarter;17234
2827;Total taxes and social contributions;Social security funds;2000;66522
2828;Total taxes and social contributions;Social security funds;2001 1st quarter;16559
2829;Total taxes and social contributions;Social security funds;2001 2nd quarter;17211
2830;Total taxes and social contributions;Social security funds;2001 3rd quarter;14782
2831;Total taxes and social contributions;Social security funds;2001 4th quarter;16613
2832;Total taxes and social contributions;Social security funds;2001;65165
2833;Total taxes and social contributions;Social security funds;2002 1st quarter;17193
2834;Total taxes and social contributions;Social security funds;2002 2nd quarter;15732
2835;Total taxes and social contributions;Social security funds;2002 3rd quarter;15528
2836;Total taxes and social contributions;Social security funds;2002 4th quarter;16497
2837;Total taxes and social contributions;Social security funds;2002;64950
2838;Total taxes and social contributions;Social security funds;2003 1st quarter;18246
2839;Total taxes and social contributions;Social security funds;2003 2nd quarter;18227
2840;Total taxes and social contributions;Social security funds;2003 3rd quarter;15560
2841;Total taxes and social contributions;Social security funds;2003 4th quarter;18317
2842;Total taxes and social contributions;Social security funds;2003;70350
2843;Total taxes and social contributions;Social security funds;2004 1st quarter;18308
2844;Total taxes and social contributions;Social security funds;2004 2nd quarter;16905
2845;Total taxes and social contributions;Social security funds;2004 3rd quarter;16846
2846;Total taxes and social contributions;Social security funds;2004 4th quarter;18683
2847;Total taxes and social contributions;Social security funds;2004;70742
2848;Total taxes and social contributions;Social security funds;2005 1st quarter;18192
2849;Total taxes and social contributions;Social security funds;2005 2nd quarter;16919
2850;Total taxes and social contributions;Social security funds;2005 3rd quarter;16474
2851;Total taxes and social contributions;Social security funds;2005 4th quarter;20293
2852;Total taxes and social contributions;Social security funds;2005;71878
2853;Total taxes and social contributions;Social security funds;2006 1st quarter;20334
2854;Total taxes and social contributions;Social security funds;2006 2nd quarter;19434
2855;Total taxes and social contributions;Social security funds;2006 3rd quarter;18902
2856;Total taxes and social contributions;Social security funds;2006 4th quarter;22939
2857;Total taxes and social contributions;Social security funds;2006;81609
2858;Total taxes and social contributions;Social security funds;2007 1st quarter;21181
2859;Total taxes and social contributions;Social security funds;2007 2nd quarter;19424
2860;Total taxes and social contributions;Social security funds;2007 3rd quarter;18694
2861;Total taxes and social contributions;Social security funds;2007 4th quarter;22753
2862;Total taxes and social contributions;Social security funds;2007;82052
2863;Total taxes and social contributions;Social security funds;2008 1st quarter;23722
2864;Total taxes and social contributions;Social security funds;2008 2nd quarter;21218
2865;Total taxes and social contributions;Social security funds;2008 3rd quarter;16276
2866;Total taxes and social contributions;Social security funds;2008 4th quarter;24657
2867;Total taxes and social contributions;Social security funds;2008;85873
2868;Total taxes and social contributions;Social security funds;2009 1st quarter;22475
2869;Total taxes and social contributions;Social security funds;2009 2nd quarter;18189
2870;Total taxes and social contributions;Social security funds;2009 3rd quarter;19839
2871;Total taxes and social contributions;Social security funds;2009 4th quarter;22812
2872;Total taxes and social contributions;Social security funds;2009;83315
2873;Total taxes and social contributions;Social security funds;2010 1st quarter;22099
2874;Total taxes and social contributions;Social security funds;2010 2nd quarter;21270
2875;Total taxes and social contributions;Social security funds;2010 3rd quarter;19882
2876;Total taxes and social contributions;Social security funds;2010 4th quarter;24709
2877;Total taxes and social contributions;Social security funds;2010;87960
2878;Total taxes and social contributions;Social security funds;2011 1st quarter;23645
2879;Total taxes and social contributions;Social security funds;2011 2nd quarter;19729
2880;Total taxes and social contributions;Social security funds;2011 3rd quarter;21429
2881;Total taxes and social contributions;Social security funds;2011 4th quarter;24482
2882;Total taxes and social contributions;Social security funds;2011;89285
2883;Total taxes and social contributions;Social security funds;2012 1st quarter;24168
2884;Total taxes and social contributions;Social security funds;2012 2nd quarter;21488
2885;Total taxes and social contributions;Social security funds;2012 3rd quarter;21525
2886;Total taxes and social contributions;Social security funds;2012 4th quarter;25447
2887;Total taxes and social contributions;Social security funds;2012;92628
2888;Total taxes and social contributions;Social security funds;2013 1st quarter;25228
2889;Total taxes and social contributions;Social security funds;2013 2nd quarter;23062
2890;Total taxes and social contributions;Social security funds;2013 3rd quarter;23012
2891;Total taxes and social contributions;Social security funds;2013 4th quarter;24752
2892;Total taxes and social contributions;Social security funds;2013;96054
2893;Total taxes and social contributions;Social security funds;2014 1st quarter;25342
2894;Total taxes and social contributions;Social security funds;2014 2nd quarter;22167
2895;Total taxes and social contributions;Social security funds;2014 3rd quarter;22640
2896;Total taxes and social contributions;Social security funds;2014 4th quarter;26482
2897;Total taxes and social contributions;Social security funds;2014;96631
2898;Total taxes and social contributions;Social security funds;2015 1st quarter;25098
2899;Total taxes and social contributions;Social security funds;2015 2nd quarter;19206
2900;Total taxes and social contributions;Social security funds;2015 3rd quarter;23053
2901;Total taxes and social contributions;Social security funds;2015 4th quarter;28213
2902;Total taxes and social contributions;Social security funds;2015;95570
2903;Total taxes and social contributions;Social security funds;2016 1st quarter;26405
2904;Total taxes and social contributions;Social security funds;2016 2nd quarter;24435
2905;Total taxes and social contributions;Social security funds;2016 3rd quarter;25298
2906;Total taxes and social contributions;Social security funds;2016 4th quarter;27831
2907;Total taxes and social contributions;Social security funds;2016;103969
2908;Total taxes and social contributions;Social security funds;2017 1st quarter;24948
2909;Total taxes and social contributions;Social security funds;2017 2nd quarter;25160
2910;Total taxes and social contributions;Social security funds;2017 3rd quarter;26430
2911;Total taxes and social contributions;Social security funds;2017 4th quarter;28352
2912;Total taxes and social contributions;Social security funds;2017;104890
2913;Total taxes and social contributions;Social security funds;2018 1st quarter;26161
2914;Total taxes and social contributions;Social security funds;2018 2nd quarter;30629
2915;Total taxes and social contributions;Social security funds;2018 3rd quarter;25947
2916;Total taxes and social contributions;Social security funds;2018 4th quarter;28769
2917;Total taxes and social contributions;Social security funds;2018;111506
2918;Total taxes and social contributions;Social security funds;2019 1st quarter;25445
2919;Total taxes and social contributions;Social security funds;2019 2nd quarter;32167
2920;Total taxes and social contributions;Social security funds;2019 3rd quarter;27066
2921;Total taxes and social contributions;Social security funds;2019 4th quarter;30031
2922;Total taxes and social contributions;Social security funds;2019;114709
2923;Total taxes and social contributions;Social security funds;2020 1st quarter;23487
2924;Total taxes and social contributions;Social security funds;2020 2nd quarter;34812
2925;Total taxes and social contributions;Social security funds;2020 3rd quarter;26079
2926;Total taxes and social contributions;Social security funds;2020 4th quarter;30017
2927;Total taxes and social contributions;Social security funds;2020;114395
2928;Total taxes and social contributions;Social security funds;2021 1st quarter;25537
2929;Total taxes and social contributions;Social security funds;2021 2nd quarter;37996
2930;Total taxes and social contributions;Social security funds;2021 3rd quarter;24548
2931;Total taxes and social contributions;Social security funds;2021 4th quarter;28849
2932;Total taxes and social contributions;Social security funds;2021;116930
2933;Total taxes and social contributions;Social security funds;2022 1st quarter;26716
2934;Total taxes and social contributions;Social security funds;2022 2nd quarter;37463
2935;Total taxes and social contributions;Social security funds;2022 3rd quarter;28389
2936;Total taxes and social contributions;Social security funds;2022 4th quarter;32002
2937;Total taxes and social contributions;Social security funds;2022;124570
2938;Total taxes and social contributions;Social security funds;2023 1st quarter;27770
2939;Total taxes and social contributions;Social security funds;2023 2nd quarter;39470
2940;Total taxes and social contributions;Social security funds;2023 3rd quarter;28263
2941;Total taxes and social contributions;Social security funds;2023 4th quarter;33812
2942;Total taxes and social contributions;Social security funds;2023;129315
2943;Total taxes and social contributions;Social security funds;2024 1st quarter;30015
2944;Total taxes and social contributions;Social security funds;2024 2nd quarter;39351
2945;Total taxes and social contributions;Social security funds;2024 3rd quarter;29433
2946;Total taxes and social contributions;Social security funds;2024 4th quarter;36653
2947;Total taxes and social contributions;Social security funds;2024;135452
2948;Taxes and actual social contributions;General government;1995;122590
2949;Taxes and actual social contributions;General government;1996;128452
2950;Taxes and actual social contributions;General government;1997;134809
2951;Taxes and actual social contributions;General government;1998;143015
2952;Taxes and actual social contributions;General government;1999 1st quarter;36972
2953;Taxes and actual social contributions;General government;1999 2nd quarter;39598
2954;Taxes and actual social contributions;General government;1999 3rd quarter;37369
2955;Taxes and actual social contributions;General government;1999 4th quarter;42287
2956;Taxes and actual social contributions;General government;1999;156226
2957;Taxes and actual social contributions;General government;2000 1st quarter;38224
2958;Taxes and actual social contributions;General government;2000 2nd quarter;43671
2959;Taxes and actual social contributions;General government;2000 3rd quarter;38969
2960;Taxes and actual social contributions;General government;2000 4th quarter;45957
2961;Taxes and actual social contributions;General government;2000;166821
2962;Taxes and actual social contributions;General government;2001 1st quarter;41193
2963;Taxes and actual social contributions;General government;2001 2nd quarter;43961
2964;Taxes and actual social contributions;General government;2001 3rd quarter;41205
2965;Taxes and actual social contributions;General government;2001 4th quarter;46302
2966;Taxes and actual social contributions;General government;2001;172661
2967;Taxes and actual social contributions;General government;2002 1st quarter;43208
2968;Taxes and actual social contributions;General government;2002 2nd quarter;45663
2969;Taxes and actual social contributions;General government;2002 3rd quarter;41424
2970;Taxes and actual social contributions;General government;2002 4th quarter;47092
2971;Taxes and actual social contributions;General government;2002;177387
2972;Taxes and actual social contributions;General government;2003 1st quarter;44361
2973;Taxes and actual social contributions;General government;2003 2nd quarter;46428
2974;Taxes and actual social contributions;General government;2003 3rd quarter;41519
2975;Taxes and actual social contributions;General government;2003 4th quarter;48351
2976;Taxes and actual social contributions;General government;2003;180659
2977;Taxes and actual social contributions;General government;2004 1st quarter;44367
2978;Taxes and actual social contributions;General government;2004 2nd quarter;46966
2979;Taxes and actual social contributions;General government;2004 3rd quarter;43804
2980;Taxes and actual social contributions;General government;2004 4th quarter;51132
2981;Taxes and actual social contributions;General government;2004;186269
2982;Taxes and actual social contributions;General government;2005 1st quarter;46360
2983;Taxes and actual social contributions;General government;2005 2nd quarter;48683
2984;Taxes and actual social contributions;General government;2005 3rd quarter;46311
2985;Taxes and actual social contributions;General government;2005 4th quarter;53782
2986;Taxes and actual social contributions;General government;2005;195136
2987;Taxes and actual social contributions;General government;2006 1st quarter;50678
2988;Taxes and actual social contributions;General government;2006 2nd quarter;52462
2989;Taxes and actual social contributions;General government;2006 3rd quarter;50336
2990;Taxes and actual social contributions;General government;2006 4th quarter;59139
2991;Taxes and actual social contributions;General government;2006;212615
2992;Taxes and actual social contributions;General government;2007 1st quarter;53709
2993;Taxes and actual social contributions;General government;2007 2nd quarter;55425
2994;Taxes and actual social contributions;General government;2007 3rd quarter;50542
2995;Taxes and actual social contributions;General government;2007 4th quarter;62080
2996;Taxes and actual social contributions;General government;2007;221756
2997;Taxes and actual social contributions;General government;2008 1st quarter;57942
2998;Taxes and actual social contributions;General government;2008 2nd quarter;59243
2999;Taxes and actual social contributions;General government;2008 3rd quarter;54644
3000;Taxes and actual social contributions;General government;2008 4th quarter;63172
3001;Taxes and actual social contributions;General government;2008;235001
3002;Taxes and actual social contributions;General government;2009 1st quarter;57113
3003;Taxes and actual social contributions;General government;2009 2nd quarter;55169
3004;Taxes and actual social contributions;General government;2009 3rd quarter;51689
3005;Taxes and actual social contributions;General government;2009 4th quarter;58572
3006;Taxes and actual social contributions;General government;2009;222543
3007;Taxes and actual social contributions;General government;2010 1st quarter;56608
3008;Taxes and actual social contributions;General government;2010 2nd quarter;59582
3009;Taxes and actual social contributions;General government;2010 3rd quarter;51826
3010;Taxes and actual social contributions;General government;2010 4th quarter;62084
3011;Taxes and actual social contributions;General government;2010;230100
3012;Taxes and actual social contributions;General government;2011 1st quarter;59304
3013;Taxes and actual social contributions;General government;2011 2nd quarter;58467
3014;Taxes and actual social contributions;General government;2011 3rd quarter;54953
3015;Taxes and actual social contributions;General government;2011 4th quarter;60778
3016;Taxes and actual social contributions;General government;2011;233502
3017;Taxes and actual social contributions;General government;2012 1st quarter;59189
3018;Taxes and actual social contributions;General government;2012 2nd quarter;60111
3019;Taxes and actual social contributions;General government;2012 3rd quarter;53821
3020;Taxes and actual social contributions;General government;2012 4th quarter;62216
3021;Taxes and actual social contributions;General government;2012;235337
3022;Taxes and actual social contributions;General government;2013 1st quarter;61052
3023;Taxes and actual social contributions;General government;2013 2nd quarter;62342
3024;Taxes and actual social contributions;General government;2013 3rd quarter;57099
3025;Taxes and actual social contributions;General government;2013 4th quarter;61521
3026;Taxes and actual social contributions;General government;2013;242014
3027;Taxes and actual social contributions;General government;2014 1st quarter;63318
3028;Taxes and actual social contributions;General government;2014 2nd quarter;64775
3029;Taxes and actual social contributions;General government;2014 3rd quarter;58688
3030;Taxes and actual social contributions;General government;2014 4th quarter;65439
3031;Taxes and actual social contributions;General government;2014;252220
3032;Taxes and actual social contributions;General government;2015 1st quarter;66267
3033;Taxes and actual social contributions;General government;2015 2nd quarter;64704
3034;Taxes and actual social contributions;General government;2015 3rd quarter;59183
3035;Taxes and actual social contributions;General government;2015 4th quarter;67533
3036;Taxes and actual social contributions;General government;2015;257687
3037;Taxes and actual social contributions;General government;2016 1st quarter;70191
3038;Taxes and actual social contributions;General government;2016 2nd quarter;70479
3039;Taxes and actual social contributions;General government;2016 3rd quarter;64515
3040;Taxes and actual social contributions;General government;2016 4th quarter;69660
3041;Taxes and actual social contributions;General government;2016;274845
3042;Taxes and actual social contributions;General government;2017 1st quarter;75477
3043;Taxes and actual social contributions;General government;2017 2nd quarter;72184
3044;Taxes and actual social contributions;General government;2017 3rd quarter;67027
3045;Taxes and actual social contributions;General government;2017 4th quarter;73573
3046;Taxes and actual social contributions;General government;2017;288261
3047;Taxes and actual social contributions;General government;2018 1st quarter;80812
3048;Taxes and actual social contributions;General government;2018 2nd quarter;75555
3049;Taxes and actual social contributions;General government;2018 3rd quarter;70430
3050;Taxes and actual social contributions;General government;2018 4th quarter;75903
3051;Taxes and actual social contributions;General government;2018;302700
3052;Taxes and actual social contributions;General government;2019 1st quarter;86558
3053;Taxes and actual social contributions;General government;2019 2nd quarter;79764
3054;Taxes and actual social contributions;General government;2019 3rd quarter;73957
3055;Taxes and actual social contributions;General government;2019 4th quarter;80986
3056;Taxes and actual social contributions;General government;2019;321265
3057;Taxes and actual social contributions;General government;2020 1st quarter;87658
3058;Taxes and actual social contributions;General government;2020 2nd quarter;75307
3059;Taxes and actual social contributions;General government;2020 3rd quarter;74387
3060;Taxes and actual social contributions;General government;2020 4th quarter;83569
3061;Taxes and actual social contributions;General government;2020;320921
3062;Taxes and actual social contributions;General government;2021 1st quarter;87868
3063;Taxes and actual social contributions;General government;2021 2nd quarter;85377
3064;Taxes and actual social contributions;General government;2021 3rd quarter;79951
3065;Taxes and actual social contributions;General government;2021 4th quarter;92121
3066;Taxes and actual social contributions;General government;2021;345317
3067;Taxes and actual social contributions;General government;2022 1st quarter;94858
3068;Taxes and actual social contributions;General government;2022 2nd quarter;94612
3069;Taxes and actual social contributions;General government;2022 3rd quarter;84446
3070;Taxes and actual social contributions;General government;2022 4th quarter;100376
3071;Taxes and actual social contributions;General government;2022;374292
3072;Taxes and actual social contributions;General government;2023 1st quarter;99766
3073;Taxes and actual social contributions;General government;2023 2nd quarter;106838
3074;Taxes and actual social contributions;General government;2023 3rd quarter;94451
3075;Taxes and actual social contributions;General government;2023 4th quarter;106372
3076;Taxes and actual social contributions;General government;2023;407427
3077;Taxes and actual social contributions;General government;2024 1st quarter;103950
3078;Taxes and actual social contributions;General government;2024 2nd quarter;115862
3079;Taxes and actual social contributions;General government;2024 3rd quarter;103361
3080;Taxes and actual social contributions;General government;2024 4th quarter;109435
3081;Taxes and actual social contributions;General government;2024;432608
3082;Taxes and actual social contributions;Central government;1995;68777
3083;Taxes and actual social contributions;Central government;1996;74024
3084;Taxes and actual social contributions;Central government;1997;77270
3085;Taxes and actual social contributions;Central government;1998;81651
3086;Taxes and actual social contributions;Central government;1999 1st quarter;20429
3087;Taxes and actual social contributions;Central government;1999 2nd quarter;21660
3088;Taxes and actual social contributions;Central government;1999 3rd quarter;21645
3089;Taxes and actual social contributions;Central government;1999 4th quarter;25278
3090;Taxes and actual social contributions;Central government;1999;89012
3091;Taxes and actual social contributions;Central government;2000 1st quarter;20993
3092;Taxes and actual social contributions;Central government;2000 2nd quarter;24062
3093;Taxes and actual social contributions;Central government;2000 3rd quarter;22274
3094;Taxes and actual social contributions;Central government;2000 4th quarter;27312
3095;Taxes and actual social contributions;Central government;2000;94641
3096;Taxes and actual social contributions;Central government;2001 1st quarter;23132
3097;Taxes and actual social contributions;Central government;2001 2nd quarter;25250
3098;Taxes and actual social contributions;Central government;2001 3rd quarter;24910
3099;Taxes and actual social contributions;Central government;2001 4th quarter;28166
3100;Taxes and actual social contributions;Central government;2001;101458
3101;Taxes and actual social contributions;Central government;2002 1st quarter;24420
3102;Taxes and actual social contributions;Central government;2002 2nd quarter;28336
3103;Taxes and actual social contributions;Central government;2002 3rd quarter;24286
3104;Taxes and actual social contributions;Central government;2002 4th quarter;28970
3105;Taxes and actual social contributions;Central government;2002;106012
3106;Taxes and actual social contributions;Central government;2003 1st quarter;24413
3107;Taxes and actual social contributions;Central government;2003 2nd quarter;26487
3108;Taxes and actual social contributions;Central government;2003 3rd quarter;24250
3109;Taxes and actual social contributions;Central government;2003 4th quarter;28263
3110;Taxes and actual social contributions;Central government;2003;103413
3111;Taxes and actual social contributions;Central government;2004 1st quarter;24255
3112;Taxes and actual social contributions;Central government;2004 2nd quarter;28244
3113;Taxes and actual social contributions;Central government;2004 3rd quarter;25139
3114;Taxes and actual social contributions;Central government;2004 4th quarter;30566
3115;Taxes and actual social contributions;Central government;2004;108204
3116;Taxes and actual social contributions;Central government;2005 1st quarter;26272
3117;Taxes and actual social contributions;Central government;2005 2nd quarter;29850
3118;Taxes and actual social contributions;Central government;2005 3rd quarter;27914
3119;Taxes and actual social contributions;Central government;2005 4th quarter;31499
3120;Taxes and actual social contributions;Central government;2005;115535
3121;Taxes and actual social contributions;Central government;2006 1st quarter;28628
3122;Taxes and actual social contributions;Central government;2006 2nd quarter;31266
3123;Taxes and actual social contributions;Central government;2006 3rd quarter;29674
3124;Taxes and actual social contributions;Central government;2006 4th quarter;34393
3125;Taxes and actual social contributions;Central government;2006;123961
3126;Taxes and actual social contributions;Central government;2007 1st quarter;30807
3127;Taxes and actual social contributions;Central government;2007 2nd quarter;34226
3128;Taxes and actual social contributions;Central government;2007 3rd quarter;29979
3129;Taxes and actual social contributions;Central government;2007 4th quarter;37328
3130;Taxes and actual social contributions;Central government;2007;132340
3131;Taxes and actual social contributions;Central government;2008 1st quarter;32324
3132;Taxes and actual social contributions;Central government;2008 2nd quarter;36077
3133;Taxes and actual social contributions;Central government;2008 3rd quarter;36404
3134;Taxes and actual social contributions;Central government;2008 4th quarter;36555
3135;Taxes and actual social contributions;Central government;2008;141360
3136;Taxes and actual social contributions;Central government;2009 1st quarter;32680
3137;Taxes and actual social contributions;Central government;2009 2nd quarter;34969
3138;Taxes and actual social contributions;Central government;2009 3rd quarter;29851
3139;Taxes and actual social contributions;Central government;2009 4th quarter;33601
3140;Taxes and actual social contributions;Central government;2009;131101
3141;Taxes and actual social contributions;Central government;2010 1st quarter;32489
3142;Taxes and actual social contributions;Central government;2010 2nd quarter;36274
3143;Taxes and actual social contributions;Central government;2010 3rd quarter;29820
3144;Taxes and actual social contributions;Central government;2010 4th quarter;35175
3145;Taxes and actual social contributions;Central government;2010;133758
3146;Taxes and actual social contributions;Central government;2011 1st quarter;33529
3147;Taxes and actual social contributions;Central government;2011 2nd quarter;36559
3148;Taxes and actual social contributions;Central government;2011 3rd quarter;31361
3149;Taxes and actual social contributions;Central government;2011 4th quarter;34112
3150;Taxes and actual social contributions;Central government;2011;135561
3151;Taxes and actual social contributions;Central government;2012 1st quarter;32867
3152;Taxes and actual social contributions;Central government;2012 2nd quarter;36429
3153;Taxes and actual social contributions;Central government;2012 3rd quarter;30048
3154;Taxes and actual social contributions;Central government;2012 4th quarter;34424
3155;Taxes and actual social contributions;Central government;2012;133768
3156;Taxes and actual social contributions;Central government;2013 1st quarter;33613
3157;Taxes and actual social contributions;Central government;2013 2nd quarter;36985
3158;Taxes and actual social contributions;Central government;2013 3rd quarter;31830
3159;Taxes and actual social contributions;Central government;2013 4th quarter;34411
3160;Taxes and actual social contributions;Central government;2013;136839
3161;Taxes and actual social contributions;Central government;2014 1st quarter;35679
3162;Taxes and actual social contributions;Central government;2014 2nd quarter;40262
3163;Taxes and actual social contributions;Central government;2014 3rd quarter;33670
3164;Taxes and actual social contributions;Central government;2014 4th quarter;36561
3165;Taxes and actual social contributions;Central government;2014;146172
3166;Taxes and actual social contributions;Central government;2015 1st quarter;38760
3167;Taxes and actual social contributions;Central government;2015 2nd quarter;43050
3168;Taxes and actual social contributions;Central government;2015 3rd quarter;33697
3169;Taxes and actual social contributions;Central government;2015 4th quarter;36886
3170;Taxes and actual social contributions;Central government;2015;152393
3171;Taxes and actual social contributions;Central government;2016 1st quarter;41317
3172;Taxes and actual social contributions;Central government;2016 2nd quarter;43548
3173;Taxes and actual social contributions;Central government;2016 3rd quarter;36734
3174;Taxes and actual social contributions;Central government;2016 4th quarter;39345
3175;Taxes and actual social contributions;Central government;2016;160944
3176;Taxes and actual social contributions;Central government;2017 1st quarter;47994
3177;Taxes and actual social contributions;Central government;2017 2nd quarter;44461
3178;Taxes and actual social contributions;Central government;2017 3rd quarter;38029
3179;Taxes and actual social contributions;Central government;2017 4th quarter;42675
3180;Taxes and actual social contributions;Central government;2017;173159
3181;Taxes and actual social contributions;Central government;2018 1st quarter;52061
3182;Taxes and actual social contributions;Central government;2018 2nd quarter;42310
3183;Taxes and actual social contributions;Central government;2018 3rd quarter;41843
3184;Taxes and actual social contributions;Central government;2018 4th quarter;44484
3185;Taxes and actual social contributions;Central government;2018;180698
3186;Taxes and actual social contributions;Central government;2019 1st quarter;58427
3187;Taxes and actual social contributions;Central government;2019 2nd quarter;44851
3188;Taxes and actual social contributions;Central government;2019 3rd quarter;44113
3189;Taxes and actual social contributions;Central government;2019 4th quarter;48233
3190;Taxes and actual social contributions;Central government;2019;195624
3191;Taxes and actual social contributions;Central government;2020 1st quarter;61397
3192;Taxes and actual social contributions;Central government;2020 2nd quarter;37704
3193;Taxes and actual social contributions;Central government;2020 3rd quarter;45476
3194;Taxes and actual social contributions;Central government;2020 4th quarter;50744
3195;Taxes and actual social contributions;Central government;2020;195321
3196;Taxes and actual social contributions;Central government;2021 1st quarter;59459
3197;Taxes and actual social contributions;Central government;2021 2nd quarter;44464
3198;Taxes and actual social contributions;Central government;2021 3rd quarter;52436
