ID;Geslacht;PositieInDeWerkkring;Persoonskenmerken;Thuiswerken;Perioden;WerkzameBeroepsbevolking_1
1744;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal of soms thuiswerken;2021;34
1745;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal of soms thuiswerken;2022;33
1746;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal of soms thuiswerken;2023;34
1747;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal of soms thuiswerken;2024;30
1748;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal thuiswerken;2021;6
1749;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal thuiswerken;2022;5
1750;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal thuiswerken;2023;5
1751;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Meestal thuiswerken;2024;3
1752;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Soms thuiswerken;2021;28
1753;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Soms thuiswerken;2022;27
1754;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Soms thuiswerken;2023;30
1755;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Soms thuiswerken;2024;27
1756;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Niet thuiswerken;2021;248
1757;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Niet thuiswerken;2022;255
1758;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Niet thuiswerken;2023;250
1759;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;Niet thuiswerken;2024;253
1760;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Totaal;2021;235
1761;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Totaal;2022;240
1762;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Totaal;2023;243
1763;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Totaal;2024;224
1764;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal of soms thuiswerken;2021;9
1765;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal of soms thuiswerken;2022;12
1766;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal of soms thuiswerken;2023;9
1767;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal of soms thuiswerken;2024;10
1768;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal thuiswerken;2021;2
1769;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal thuiswerken;2022;2
1770;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal thuiswerken;2023;1
1771;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Meestal thuiswerken;2024;1
1772;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Soms thuiswerken;2021;7
1773;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Soms thuiswerken;2022;10
1774;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Soms thuiswerken;2023;8
1775;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Soms thuiswerken;2024;8
1776;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Niet thuiswerken;2021;226
1777;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Niet thuiswerken;2022;228
1778;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Niet thuiswerken;2023;235
1779;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;Niet thuiswerken;2024;214
1780;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Totaal;2021;51
1781;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Totaal;2022;42
1782;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Totaal;2023;42
1783;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Totaal;2024;19
1784;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal of soms thuiswerken;2021;18
1785;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal of soms thuiswerken;2022;14
1786;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal of soms thuiswerken;2023;11
1787;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal of soms thuiswerken;2024;6
1788;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal thuiswerken;2021;7
1789;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal thuiswerken;2022;5
1790;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal thuiswerken;2023;4
1791;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Meestal thuiswerken;2024;1
1792;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Soms thuiswerken;2021;11
1793;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Soms thuiswerken;2022;9
1794;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Soms thuiswerken;2023;7
1795;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Soms thuiswerken;2024;4
1796;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Niet thuiswerken;2021;33
1797;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Niet thuiswerken;2022;28
1798;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Niet thuiswerken;2023;31
1799;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;Niet thuiswerken;2024;13
1800;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Totaal;2021;2580
1801;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Totaal;2022;2692
1802;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Totaal;2023;2735
1803;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Totaal;2024;2682
1804;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal of soms thuiswerken;2021;858
1805;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal of soms thuiswerken;2022;848
1806;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal of soms thuiswerken;2023;804
1807;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal of soms thuiswerken;2024;775
1808;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal thuiswerken;2021;377
1809;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal thuiswerken;2022;255
1810;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal thuiswerken;2023;193
1811;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Meestal thuiswerken;2024;173
1812;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Soms thuiswerken;2021;482
1813;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Soms thuiswerken;2022;593
1814;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Soms thuiswerken;2023;611
1815;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Soms thuiswerken;2024;602
1816;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Niet thuiswerken;2021;1722
1817;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Niet thuiswerken;2022;1843
1818;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Niet thuiswerken;2023;1932
1819;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;Niet thuiswerken;2024;1907
1820;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Totaal;2021;1199
1821;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Totaal;2022;1259
1822;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Totaal;2023;1282
1823;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Totaal;2024;1279
1824;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2021;205
1825;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2022;204
1826;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2023;186
1827;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2024;178
1828;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2021;94
1829;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2022;61
1830;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2023;49
1831;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2024;47
1832;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2021;110
1833;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2022;142
1834;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2023;137
1835;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2024;131
1836;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2021;994
1837;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2022;1055
1838;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2023;1096
1839;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2024;1101
1840;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Totaal;2021;615
1841;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Totaal;2022;622
1842;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Totaal;2023;637
1843;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Totaal;2024;612
1844;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2021;329
1845;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2022;316
1846;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2023;309
1847;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2024;296
1848;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2021;144
1849;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2022;95
1850;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2023;68
1851;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2024;55
1852;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2021;184
1853;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2022;222
1854;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2023;241
1855;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2024;241
1856;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2021;287
1857;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2022;306
1858;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2023;328
1859;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2024;316
1860;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Totaal;2021;282
1861;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Totaal;2022;317
1862;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Totaal;2023;317
1863;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Totaal;2024;314
1864;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2021;139
1865;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2022;155
1866;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2023;139
1867;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2024;141
1868;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2021;59
1869;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2022;48
1870;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2023;33
1871;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2024;30
1872;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2021;80
1873;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2022;107
1874;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2023;106
1875;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2024;111
1876;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2021;143
1877;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2022;162
1878;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2023;178
1879;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2024;173
1880;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Totaal;2021;248
1881;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Totaal;2022;247
1882;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Totaal;2023;238
1883;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Totaal;2024;218
1884;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2021;106
1885;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2022;96
1886;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2023;94
1887;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2024;83
1888;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2021;47
1889;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2022;24
1890;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2023;21
1891;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2024;18
1892;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2021;59
1893;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2022;72
1894;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2023;72
1895;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2024;65
1896;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2021;142
1897;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2022;151
1898;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2023;144
1899;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2024;135
1900;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Totaal;2021;167
1901;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Totaal;2022;176
1902;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Totaal;2023;180
1903;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Totaal;2024;171
1904;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2021;60
1905;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2022;61
1906;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2023;57
1907;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2024;52
1908;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2021;24
1909;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2022;20
1910;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2023;15
1911;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2024;12
1912;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2021;36
1913;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2022;41
1914;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2023;42
1915;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2024;39
1916;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2021;107
1917;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2022;115
1918;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2023;123
1919;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2024;119
1920;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Totaal;2021;68
1921;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Totaal;2022;71
1922;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Totaal;2023;81
1923;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Totaal;2024;89
1924;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2021;20
1925;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2022;16
1926;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2023;20
1927;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2024;26
1928;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2021;8
1929;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2022;7
1930;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2023;7
1931;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2024;12
1932;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2021;12
1933;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2022;9
1934;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2023;12
1935;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2024;14
1936;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2021;49
1937;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2022;54
1938;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2023;62
1939;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2024;63
1940;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Totaal;2021;728
1941;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Totaal;2022;795
1942;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Totaal;2023;858
1943;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Totaal;2024;848
1944;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2021;68
1945;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2022;71
1946;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2023;76
