ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
2023;Total male and female;Total persons;27 Manufacture of electric equipment;2004 3rd quarter;19
2024;Total male and female;Total persons;27 Manufacture of electric equipment;2004 4th quarter;20
2025;Total male and female;Total persons;27 Manufacture of electric equipment;2004;21
2026;Total male and female;Total persons;27 Manufacture of electric equipment;2005 1st quarter;19
2027;Total male and female;Total persons;27 Manufacture of electric equipment;2005 2nd quarter;17
2028;Total male and female;Total persons;27 Manufacture of electric equipment;2005 3rd quarter;16
2029;Total male and female;Total persons;27 Manufacture of electric equipment;2005 4th quarter;17
2030;Total male and female;Total persons;27 Manufacture of electric equipment;2005;17
2031;Total male and female;Total persons;27 Manufacture of electric equipment;2006 1st quarter;15
2032;Total male and female;Total persons;27 Manufacture of electric equipment;2006 2nd quarter;15
2033;Total male and female;Total persons;27 Manufacture of electric equipment;2006 3rd quarter;16
2034;Total male and female;Total persons;27 Manufacture of electric equipment;2006 4th quarter;17
2035;Total male and female;Total persons;27 Manufacture of electric equipment;2006;16
2036;Total male and female;Total persons;27 Manufacture of electric equipment;2007 1st quarter;17
2037;Total male and female;Total persons;27 Manufacture of electric equipment;2007 2nd quarter;17
2038;Total male and female;Total persons;27 Manufacture of electric equipment;2007 3rd quarter;16
2039;Total male and female;Total persons;27 Manufacture of electric equipment;2007 4th quarter;17
2040;Total male and female;Total persons;27 Manufacture of electric equipment;2007;16
2041;Total male and female;Total persons;27 Manufacture of electric equipment;2008 1st quarter;18
2042;Total male and female;Total persons;27 Manufacture of electric equipment;2008 2nd quarter;17
2043;Total male and female;Total persons;27 Manufacture of electric equipment;2008 3rd quarter;19
2044;Total male and female;Total persons;27 Manufacture of electric equipment;2008 4th quarter;20
2045;Total male and female;Total persons;27 Manufacture of electric equipment;2008;19
2046;Total male and female;Total persons;27 Manufacture of electric equipment;2009 1st quarter;18
2047;Total male and female;Total persons;27 Manufacture of electric equipment;2009 2nd quarter;17
2048;Total male and female;Total persons;27 Manufacture of electric equipment;2009 3rd quarter;19
2049;Total male and female;Total persons;27 Manufacture of electric equipment;2009 4th quarter;17
2050;Total male and female;Total persons;27 Manufacture of electric equipment;2009;18
2051;Total male and female;Total persons;27 Manufacture of electric equipment;2010 1st quarter;18
2052;Total male and female;Total persons;27 Manufacture of electric equipment;2010 2nd quarter;16
2053;Total male and female;Total persons;27 Manufacture of electric equipment;2010 3rd quarter;20
2054;Total male and female;Total persons;27 Manufacture of electric equipment;2010 4th quarter;21
2055;Total male and female;Total persons;27 Manufacture of electric equipment;2010;19
2056;Total male and female;Total persons;27 Manufacture of electric equipment;2011 1st quarter;20
2057;Total male and female;Total persons;27 Manufacture of electric equipment;2011 2nd quarter;19
2058;Total male and female;Total persons;27 Manufacture of electric equipment;2011 3rd quarter;17
2059;Total male and female;Total persons;27 Manufacture of electric equipment;2011 4th quarter;17
2060;Total male and female;Total persons;27 Manufacture of electric equipment;2011;18
2061;Total male and female;Total persons;27 Manufacture of electric equipment;2012 1st quarter;17
2062;Total male and female;Total persons;27 Manufacture of electric equipment;2012 2nd quarter;17
2063;Total male and female;Total persons;27 Manufacture of electric equipment;2012 3rd quarter;18
2064;Total male and female;Total persons;27 Manufacture of electric equipment;2012 4th quarter;19
2065;Total male and female;Total persons;27 Manufacture of electric equipment;2012;18
2066;Total male and female;Total persons;27 Manufacture of electric equipment;2013 1st quarter;21
2067;Total male and female;Total persons;27 Manufacture of electric equipment;2013 2nd quarter;22
2068;Total male and female;Total persons;27 Manufacture of electric equipment;2013 3rd quarter;21
2069;Total male and female;Total persons;27 Manufacture of electric equipment;2013 4th quarter;20
2070;Total male and female;Total persons;27 Manufacture of electric equipment;2013;21
2071;Total male and female;Total persons;27 Manufacture of electric equipment;2014 1st quarter;21
2072;Total male and female;Total persons;27 Manufacture of electric equipment;2014 2nd quarter;19
2073;Total male and female;Total persons;27 Manufacture of electric equipment;2014 3rd quarter;20
2074;Total male and female;Total persons;27 Manufacture of electric equipment;2014 4th quarter;18
2075;Total male and female;Total persons;27 Manufacture of electric equipment;2014;20
2076;Total male and female;Total persons;27 Manufacture of electric equipment;2015 1st quarter;19
2077;Total male and female;Total persons;27 Manufacture of electric equipment;2015 2nd quarter;22
2078;Total male and female;Total persons;27 Manufacture of electric equipment;2015 3rd quarter;23
2079;Total male and female;Total persons;27 Manufacture of electric equipment;2015 4th quarter;23
2080;Total male and female;Total persons;27 Manufacture of electric equipment;2015;22
2081;Total male and female;Total persons;27 Manufacture of electric equipment;2016 1st quarter;25
2082;Total male and female;Total persons;27 Manufacture of electric equipment;2016 2nd quarter;26
2083;Total male and female;Total persons;27 Manufacture of electric equipment;2016 3rd quarter;26
2084;Total male and female;Total persons;27 Manufacture of electric equipment;2016 4th quarter;24
2085;Total male and female;Total persons;27 Manufacture of electric equipment;2016;25
2086;Total male and female;Total persons;27 Manufacture of electric equipment;2017 1st quarter;24
2087;Total male and female;Total persons;27 Manufacture of electric equipment;2017 2nd quarter;24
2088;Total male and female;Total persons;27 Manufacture of electric equipment;2017 3rd quarter;25
2089;Total male and female;Total persons;27 Manufacture of electric equipment;2017 4th quarter;23
2090;Total male and female;Total persons;27 Manufacture of electric equipment;2017;24
2091;Total male and female;Total persons;27 Manufacture of electric equipment;2018 1st quarter;22
2092;Total male and female;Total persons;27 Manufacture of electric equipment;2018 2nd quarter;25
2093;Total male and female;Total persons;27 Manufacture of electric equipment;2018 3rd quarter;25
2094;Total male and female;Total persons;27 Manufacture of electric equipment;2018 4th quarter;21
2095;Total male and female;Total persons;27 Manufacture of electric equipment;2018;23
2096;Total male and female;Total persons;27 Manufacture of electric equipment;2019 1st quarter;25
2097;Total male and female;Total persons;27 Manufacture of electric equipment;2019 2nd quarter;24
2098;Total male and female;Total persons;27 Manufacture of electric equipment;2019 3rd quarter;23
2099;Total male and female;Total persons;27 Manufacture of electric equipment;2019 4th quarter;25
2100;Total male and female;Total persons;27 Manufacture of electric equipment;2019;25
2101;Total male and female;Total persons;27 Manufacture of electric equipment;2020 1st quarter;23
2102;Total male and female;Total persons;27 Manufacture of electric equipment;2020 2nd quarter;24
2103;Total male and female;Total persons;27 Manufacture of electric equipment;2020 3rd quarter;24
2104;Total male and female;Total persons;27 Manufacture of electric equipment;2020 4th quarter;24
2105;Total male and female;Total persons;27 Manufacture of electric equipment;2020;24
2106;Total male and female;Total persons;27 Manufacture of electric equipment;2021 1st quarter;25
2107;Total male and female;Total persons;27 Manufacture of electric equipment;2021 2nd quarter;26
2108;Total male and female;Total persons;27 Manufacture of electric equipment;2021 3rd quarter;30
2109;Total male and female;Total persons;27 Manufacture of electric equipment;2021 4th quarter;26
2110;Total male and female;Total persons;27 Manufacture of electric equipment;2021;27
2111;Total male and female;Total persons;27 Manufacture of electric equipment;2022 1st quarter;29
2112;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2003 1st quarter;85
2113;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2003 2nd quarter;90
2114;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2003 3rd quarter;83
2115;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2003 4th quarter;90
2116;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2003;87
2117;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2004 1st quarter;85
2118;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2004 2nd quarter;80
2119;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2004 3rd quarter;79
2120;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2004 4th quarter;88
2121;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2004;83
2122;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2005 1st quarter;80
2123;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2005 2nd quarter;83
2124;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2005 3rd quarter;80
2125;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2005 4th quarter;75
2126;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2005;80
2127;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2006 1st quarter;60
2128;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2006 2nd quarter;63
2129;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2006 3rd quarter;67
2130;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2006 4th quarter;72
2131;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2006;65
2132;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2007 1st quarter;74
2133;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2007 2nd quarter;77
2134;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2007 3rd quarter;78
2135;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2007 4th quarter;75
2136;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2007;76
2137;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2008 1st quarter;79
2138;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2008 2nd quarter;82
2139;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2008 3rd quarter;85
2140;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2008 4th quarter;83
2141;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2008;82
2142;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2009 1st quarter;81
2143;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2009 2nd quarter;76
2144;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2009 3rd quarter;71
2145;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2009 4th quarter;71
2146;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2009;75
2147;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2010 1st quarter;74
2148;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2010 2nd quarter;77
2149;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2010 3rd quarter;73
2150;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2010 4th quarter;77
2151;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2010;75
2152;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2011 1st quarter;77
2153;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2011 2nd quarter;75
2154;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2011 3rd quarter;74
2155;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2011 4th quarter;74
2156;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2011;75
2157;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2012 1st quarter;74
2158;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2012 2nd quarter;75
2159;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2012 3rd quarter;79
2160;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2012 4th quarter;75
2161;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2012;76
2162;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2013 1st quarter;72
2163;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2013 2nd quarter;75
2164;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2013 3rd quarter;78
2165;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2013 4th quarter;75
2166;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2013;75
2167;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2014 1st quarter;74
2168;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2014 2nd quarter;78
2169;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2014 3rd quarter;82
2170;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2014 4th quarter;82
2171;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2014;79
2172;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2015 1st quarter;85
2173;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2015 2nd quarter;82
2174;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2015 3rd quarter;80
2175;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2015 4th quarter;84
2176;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2015;83
2177;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2016 1st quarter;79
2178;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2016 2nd quarter;77
2179;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2016 3rd quarter;79
2180;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2016 4th quarter;81
2181;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2016;79
2182;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2017 1st quarter;80
2183;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2017 2nd quarter;80
2184;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2017 3rd quarter;87
2185;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2017 4th quarter;89
2186;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2017;84
2187;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2018 1st quarter;90
2188;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2018 2nd quarter;91
2189;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2018 3rd quarter;90
2190;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2018 4th quarter;95
2191;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2018;92
2192;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2019 1st quarter;97
2193;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2019 2nd quarter;101
2194;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2019 3rd quarter;96
2195;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2019 4th quarter;89
2196;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2019;95
2197;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2020 1st quarter;89
2198;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2020 2nd quarter;83
2199;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2020 3rd quarter;91
2200;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2020 4th quarter;90
2201;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2020;88
2202;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2021 1st quarter;100
2203;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2021 2nd quarter;95
2204;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2021 3rd quarter;106
2205;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2021 4th quarter;94
2206;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2021;99
2207;Total male and female;Total persons;28 Manufacture of machinery n.e.c.;2022 1st quarter;102
2208;Total male and female;Total persons;29-30 Transport equipment;2003 1st quarter;44
2209;Total male and female;Total persons;29-30 Transport equipment;2003 2nd quarter;48
2210;Total male and female;Total persons;29-30 Transport equipment;2003 3rd quarter;44
2211;Total male and female;Total persons;29-30 Transport equipment;2003 4th quarter;40
2212;Total male and female;Total persons;29-30 Transport equipment;2003;44
2213;Total male and female;Total persons;29-30 Transport equipment;2004 1st quarter;42
2214;Total male and female;Total persons;29-30 Transport equipment;2004 2nd quarter;43
2215;Total male and female;Total persons;29-30 Transport equipment;2004 3rd quarter;47
2216;Total male and female;Total persons;29-30 Transport equipment;2004 4th quarter;46
2217;Total male and female;Total persons;29-30 Transport equipment;2004;45
2218;Total male and female;Total persons;29-30 Transport equipment;2005 1st quarter;47
2219;Total male and female;Total persons;29-30 Transport equipment;2005 2nd quarter;47
2220;Total male and female;Total persons;29-30 Transport equipment;2005 3rd quarter;46
2221;Total male and female;Total persons;29-30 Transport equipment;2005 4th quarter;45
2222;Total male and female;Total persons;29-30 Transport equipment;2005;46
2223;Total male and female;Total persons;29-30 Transport equipment;2006 1st quarter;47
2224;Total male and female;Total persons;29-30 Transport equipment;2006 2nd quarter;51
2225;Total male and female;Total persons;29-30 Transport equipment;2006 3rd quarter;53
2226;Total male and female;Total persons;29-30 Transport equipment;2006 4th quarter;51
2227;Total male and female;Total persons;29-30 Transport equipment;2006;50
2228;Total male and female;Total persons;29-30 Transport equipment;2007 1st quarter;52
2229;Total male and female;Total persons;29-30 Transport equipment;2007 2nd quarter;55
2230;Total male and female;Total persons;29-30 Transport equipment;2007 3rd quarter;52
2231;Total male and female;Total persons;29-30 Transport equipment;2007 4th quarter;51
2232;Total male and female;Total persons;29-30 Transport equipment;2007;52
2233;Total male and female;Total persons;29-30 Transport equipment;2008 1st quarter;52
2234;Total male and female;Total persons;29-30 Transport equipment;2008 2nd quarter;52
2235;Total male and female;Total persons;29-30 Transport equipment;2008 3rd quarter;51
2236;Total male and female;Total persons;29-30 Transport equipment;2008 4th quarter;50
2237;Total male and female;Total persons;29-30 Transport equipment;2008;51
2238;Total male and female;Total persons;29-30 Transport equipment;2009 1st quarter;49
2239;Total male and female;Total persons;29-30 Transport equipment;2009 2nd quarter;50
2240;Total male and female;Total persons;29-30 Transport equipment;2009 3rd quarter;47
2241;Total male and female;Total persons;29-30 Transport equipment;2009 4th quarter;44
2242;Total male and female;Total persons;29-30 Transport equipment;2009;47
2243;Total male and female;Total persons;29-30 Transport equipment;2010 1st quarter;37
2244;Total male and female;Total persons;29-30 Transport equipment;2010 2nd quarter;40
2245;Total male and female;Total persons;29-30 Transport equipment;2010 3rd quarter;39
2246;Total male and female;Total persons;29-30 Transport equipment;2010 4th quarter;42
2247;Total male and female;Total persons;29-30 Transport equipment;2010;40
2248;Total male and female;Total persons;29-30 Transport equipment;2011 1st quarter;40
2249;Total male and female;Total persons;29-30 Transport equipment;2011 2nd quarter;39
2250;Total male and female;Total persons;29-30 Transport equipment;2011 3rd quarter;42
2251;Total male and female;Total persons;29-30 Transport equipment;2011 4th quarter;42
2252;Total male and female;Total persons;29-30 Transport equipment;2011;40
2253;Total male and female;Total persons;29-30 Transport equipment;2012 1st quarter;39
2254;Total male and female;Total persons;29-30 Transport equipment;2012 2nd quarter;41
2255;Total male and female;Total persons;29-30 Transport equipment;2012 3rd quarter;38
2256;Total male and female;Total persons;29-30 Transport equipment;2012 4th quarter;43
2257;Total male and female;Total persons;29-30 Transport equipment;2012;40
2258;Total male and female;Total persons;29-30 Transport equipment;2013 1st quarter;45
2259;Total male and female;Total persons;29-30 Transport equipment;2013 2nd quarter;43
2260;Total male and female;Total persons;29-30 Transport equipment;2013 3rd quarter;42
2261;Total male and female;Total persons;29-30 Transport equipment;2013 4th quarter;44
2262;Total male and female;Total persons;29-30 Transport equipment;2013;44
2263;Total male and female;Total persons;29-30 Transport equipment;2014 1st quarter;44
2264;Total male and female;Total persons;29-30 Transport equipment;2014 2nd quarter;44
2265;Total male and female;Total persons;29-30 Transport equipment;2014 3rd quarter;41
2266;Total male and female;Total persons;29-30 Transport equipment;2014 4th quarter;39
2267;Total male and female;Total persons;29-30 Transport equipment;2014;42
2268;Total male and female;Total persons;29-30 Transport equipment;2015 1st quarter;43
2269;Total male and female;Total persons;29-30 Transport equipment;2015 2nd quarter;44
2270;Total male and female;Total persons;29-30 Transport equipment;2015 3rd quarter;45
2271;Total male and female;Total persons;29-30 Transport equipment;2015 4th quarter;48
2272;Total male and female;Total persons;29-30 Transport equipment;2015;45
2273;Total male and female;Total persons;29-30 Transport equipment;2016 1st quarter;51
2274;Total male and female;Total persons;29-30 Transport equipment;2016 2nd quarter;53
2275;Total male and female;Total persons;29-30 Transport equipment;2016 3rd quarter;49
2276;Total male and female;Total persons;29-30 Transport equipment;2016 4th quarter;42
2277;Total male and female;Total persons;29-30 Transport equipment;2016;48
2278;Total male and female;Total persons;29-30 Transport equipment;2017 1st quarter;43
2279;Total male and female;Total persons;29-30 Transport equipment;2017 2nd quarter;46
2280;Total male and female;Total persons;29-30 Transport equipment;2017 3rd quarter;46
2281;Total male and female;Total persons;29-30 Transport equipment;2017 4th quarter;47
2282;Total male and female;Total persons;29-30 Transport equipment;2017;45
2283;Total male and female;Total persons;29-30 Transport equipment;2018 1st quarter;49
2284;Total male and female;Total persons;29-30 Transport equipment;2018 2nd quarter;51
2285;Total male and female;Total persons;29-30 Transport equipment;2018 3rd quarter;49
2286;Total male and female;Total persons;29-30 Transport equipment;2018 4th quarter;51
2287;Total male and female;Total persons;29-30 Transport equipment;2018;50
2288;Total male and female;Total persons;29-30 Transport equipment;2019 1st quarter;46
2289;Total male and female;Total persons;29-30 Transport equipment;2019 2nd quarter;49
2290;Total male and female;Total persons;29-30 Transport equipment;2019 3rd quarter;50
2291;Total male and female;Total persons;29-30 Transport equipment;2019 4th quarter;49
2292;Total male and female;Total persons;29-30 Transport equipment;2019;49
2293;Total male and female;Total persons;29-30 Transport equipment;2020 1st quarter;45
2294;Total male and female;Total persons;29-30 Transport equipment;2020 2nd quarter;44
2295;Total male and female;Total persons;29-30 Transport equipment;2020 3rd quarter;44
2296;Total male and female;Total persons;29-30 Transport equipment;2020 4th quarter;44
2297;Total male and female;Total persons;29-30 Transport equipment;2020;44
2298;Total male and female;Total persons;29-30 Transport equipment;2021 1st quarter;47
2299;Total male and female;Total persons;29-30 Transport equipment;2021 2nd quarter;36
2300;Total male and female;Total persons;29-30 Transport equipment;2021 3rd quarter;43
2301;Total male and female;Total persons;29-30 Transport equipment;2021 4th quarter;43
2302;Total male and female;Total persons;29-30 Transport equipment;2021;42
2303;Total male and female;Total persons;29-30 Transport equipment;2022 1st quarter;44
2304;Total male and female;Total persons;31-33 Other manufacturing and repair;2003 1st quarter;191
2305;Total male and female;Total persons;31-33 Other manufacturing and repair;2003 2nd quarter;187
2306;Total male and female;Total persons;31-33 Other manufacturing and repair;2003 3rd quarter;189
2307;Total male and female;Total persons;31-33 Other manufacturing and repair;2003 4th quarter;191
2308;Total male and female;Total persons;31-33 Other manufacturing and repair;2003;189
2309;Total male and female;Total persons;31-33 Other manufacturing and repair;2004 1st quarter;194
2310;Total male and female;Total persons;31-33 Other manufacturing and repair;2004 2nd quarter;190
2311;Total male and female;Total persons;31-33 Other manufacturing and repair;2004 3rd quarter;193
2312;Total male and female;Total persons;31-33 Other manufacturing and repair;2004 4th quarter;193
2313;Total male and female;Total persons;31-33 Other manufacturing and repair;2004;192
2314;Total male and female;Total persons;31-33 Other manufacturing and repair;2005 1st quarter;189
2315;Total male and female;Total persons;31-33 Other manufacturing and repair;2005 2nd quarter;188
2316;Total male and female;Total persons;31-33 Other manufacturing and repair;2005 3rd quarter;180
2317;Total male and female;Total persons;31-33 Other manufacturing and repair;2005 4th quarter;181
2318;Total male and female;Total persons;31-33 Other manufacturing and repair;2005;184
2319;Total male and female;Total persons;31-33 Other manufacturing and repair;2006 1st quarter;211
2320;Total male and female;Total persons;31-33 Other manufacturing and repair;2006 2nd quarter;198
2321;Total male and female;Total persons;31-33 Other manufacturing and repair;2006 3rd quarter;189
2322;Total male and female;Total persons;31-33 Other manufacturing and repair;2006 4th quarter;187
2323;Total male and female;Total persons;31-33 Other manufacturing and repair;2006;196
2324;Total male and female;Total persons;31-33 Other manufacturing and repair;2007 1st quarter;175
2325;Total male and female;Total persons;31-33 Other manufacturing and repair;2007 2nd quarter;177
2326;Total male and female;Total persons;31-33 Other manufacturing and repair;2007 3rd quarter;180
2327;Total male and female;Total persons;31-33 Other manufacturing and repair;2007 4th quarter;182
2328;Total male and female;Total persons;31-33 Other manufacturing and repair;2007;179
2329;Total male and female;Total persons;31-33 Other manufacturing and repair;2008 1st quarter;179
2330;Total male and female;Total persons;31-33 Other manufacturing and repair;2008 2nd quarter;187
2331;Total male and female;Total persons;31-33 Other manufacturing and repair;2008 3rd quarter;194
2332;Total male and female;Total persons;31-33 Other manufacturing and repair;2008 4th quarter;200
2333;Total male and female;Total persons;31-33 Other manufacturing and repair;2008;190
2334;Total male and female;Total persons;31-33 Other manufacturing and repair;2009 1st quarter;202
2335;Total male and female;Total persons;31-33 Other manufacturing and repair;2009 2nd quarter;197
2336;Total male and female;Total persons;31-33 Other manufacturing and repair;2009 3rd quarter;203
2337;Total male and female;Total persons;31-33 Other manufacturing and repair;2009 4th quarter;190
2338;Total male and female;Total persons;31-33 Other manufacturing and repair;2009;198
2339;Total male and female;Total persons;31-33 Other manufacturing and repair;2010 1st quarter;199
2340;Total male and female;Total persons;31-33 Other manufacturing and repair;2010 2nd quarter;197
2341;Total male and female;Total persons;31-33 Other manufacturing and repair;2010 3rd quarter;181
2342;Total male and female;Total persons;31-33 Other manufacturing and repair;2010 4th quarter;182
2343;Total male and female;Total persons;31-33 Other manufacturing and repair;2010;190
2344;Total male and female;Total persons;31-33 Other manufacturing and repair;2011 1st quarter;181
2345;Total male and female;Total persons;31-33 Other manufacturing and repair;2011 2nd quarter;183
2346;Total male and female;Total persons;31-33 Other manufacturing and repair;2011 3rd quarter;186
2347;Total male and female;Total persons;31-33 Other manufacturing and repair;2011 4th quarter;193
2348;Total male and female;Total persons;31-33 Other manufacturing and repair;2011;186
2349;Total male and female;Total persons;31-33 Other manufacturing and repair;2012 1st quarter;183
2350;Total male and female;Total persons;31-33 Other manufacturing and repair;2012 2nd quarter;191
2351;Total male and female;Total persons;31-33 Other manufacturing and repair;2012 3rd quarter;201
2352;Total male and female;Total persons;31-33 Other manufacturing and repair;2012 4th quarter;191
2353;Total male and female;Total persons;31-33 Other manufacturing and repair;2012;192
2354;Total male and female;Total persons;31-33 Other manufacturing and repair;2013 1st quarter;177
2355;Total male and female;Total persons;31-33 Other manufacturing and repair;2013 2nd quarter;179
2356;Total male and female;Total persons;31-33 Other manufacturing and repair;2013 3rd quarter;180
2357;Total male and female;Total persons;31-33 Other manufacturing and repair;2013 4th quarter;181
2358;Total male and female;Total persons;31-33 Other manufacturing and repair;2013;179
2359;Total male and female;Total persons;31-33 Other manufacturing and repair;2014 1st quarter;175
2360;Total male and female;Total persons;31-33 Other manufacturing and repair;2014 2nd quarter;179
2361;Total male and female;Total persons;31-33 Other manufacturing and repair;2014 3rd quarter;185
2362;Total male and female;Total persons;31-33 Other manufacturing and repair;2014 4th quarter;175
2363;Total male and female;Total persons;31-33 Other manufacturing and repair;2014;179
2364;Total male and female;Total persons;31-33 Other manufacturing and repair;2015 1st quarter;168
2365;Total male and female;Total persons;31-33 Other manufacturing and repair;2015 2nd quarter;168
2366;Total male and female;Total persons;31-33 Other manufacturing and repair;2015 3rd quarter;171
2367;Total male and female;Total persons;31-33 Other manufacturing and repair;2015 4th quarter;177
2368;Total male and female;Total persons;31-33 Other manufacturing and repair;2015;171
2369;Total male and female;Total persons;31-33 Other manufacturing and repair;2016 1st quarter;179
2370;Total male and female;Total persons;31-33 Other manufacturing and repair;2016 2nd quarter;182
2371;Total male and female;Total persons;31-33 Other manufacturing and repair;2016 3rd quarter;189
2372;Total male and female;Total persons;31-33 Other manufacturing and repair;2016 4th quarter;180
2373;Total male and female;Total persons;31-33 Other manufacturing and repair;2016;182
2374;Total male and female;Total persons;31-33 Other manufacturing and repair;2017 1st quarter;182
2375;Total male and female;Total persons;31-33 Other manufacturing and repair;2017 2nd quarter;180
2376;Total male and female;Total persons;31-33 Other manufacturing and repair;2017 3rd quarter;177
2377;Total male and female;Total persons;31-33 Other manufacturing and repair;2017 4th quarter;183
2378;Total male and female;Total persons;31-33 Other manufacturing and repair;2017;181
2379;Total male and female;Total persons;31-33 Other manufacturing and repair;2018 1st quarter;184
2380;Total male and female;Total persons;31-33 Other manufacturing and repair;2018 2nd quarter;189
2381;Total male and female;Total persons;31-33 Other manufacturing and repair;2018 3rd quarter;186
2382;Total male and female;Total persons;31-33 Other manufacturing and repair;2018 4th quarter;179
