ID;SIC93;Periods;Production_1;AverageDailyProduction_2;ProductionSeasonallyAdjusted_3;DevelopmentProduction_4;DevelopmentAverageDailyProduction_5;DevelopmentSeasonallyAdjusted_6;ShortTermDevelopmentAverageDaily_7;ShortTermDevelopmentSeasonallyAdj_8;TotalTurnover_9;DomesticSales_10;InternationalSales_11;TotalOrders_12;DomesticOrders_13;ForeignOrders_14
2410;17 Textile industry;1996 November;88.4;88.6;;-2.6;0.0;;;;90.6;94.5;88.0;93.8;95.3;92.8
2411;17 Textile industry;1996 December;74.7;77.6;;0.2;-0.5;;;;75.7;78.3;74.1;80.1;86.9;75.5
2412;17 Textile industry;1996 4th quarter;85.0;85.1;84.5;1.2;0.1;-3.1;;;88.2;91.9;85.7;91.1;94.2;89.1
2413;17 Textile industry;1996;82.8;82.8;82.8;0.9;0.9;0.9;;;86.4;90.6;83.6;88.8;91.3;87.1
2414;17 Textile industry;1997 January;82.7;79.5;;5.9;3.0;;;;93.9;95.8;92.7;100.2;99.9;100.5
2415;17 Textile industry;1997 February;82.8;83.3;;3.7;7.9;;;;94.1;97.0;92.1;97.3;98.3;96.7
2416;17 Textile industry;1997 March;84.3;90.3;;-0.1;4.5;;;;95.4;97.9;93.8;97.5;98.8;96.6
2417;17 Textile industry;1997 1st quarter;83.3;84.4;82.2;3.1;5.2;-2.7;;;94.5;96.9;92.9;98.3;99.0;97.9
2418;17 Textile industry;1997 April;87.5;84.5;;12.0;7.4;;;;98.2;102.7;95.2;99.1;104.9;95.2
2419;17 Textile industry;1997 May;80.9;81.0;;-7.2;-3.9;;;;90.1;93.5;87.9;97.7;95.6;99.1
2420;17 Textile industry;1997 June;88.7;89.9;;4.6;2.0;;;;101.2;103.7;99.5;103.0;105.1;101.6
2421;17 Textile industry;1997 2nd quarter;85.7;85.1;83.2;2.8;1.7;1.2;;;96.5;100.0;94.2;99.9;101.9;98.6
2422;17 Textile industry;1997 July;80.2;79.6;;2.9;-1.3;;;;90.1;90.8;89.6;93.1;90.2;95.1
2423;17 Textile industry;1997 August;76.0;76.6;;-4.5;2.1;;;;81.2;78.7;82.8;80.6;77.0;83.0
2424;17 Textile industry;1997 September;91.9;90.9;;3.8;0.2;;;;105.0;104.0;105.7;101.6;100.2;102.5
2425;17 Textile industry;1997 3rd quarter;82.7;82.4;87.1;0.8;0.3;4.7;;;92.1;91.2;92.7;91.8;89.1;93.5
2426;17 Textile industry;1997 October;96.2;91.8;;4.8;2.9;;;;114.4;114.6;114.3;111.5;112.9;110.6
2427;17 Textile industry;1997 November;87.3;91.6;;-1.2;3.5;;;;99.4;98.6;100.0;97.3;98.1;96.8
2428;17 Textile industry;1997 December;76.2;75.7;;2.0;-2.4;;;;84.8;89.1;82.0;84.2;95.8;76.4
2429;17 Textile industry;1997 4th quarter;86.6;86.4;85.8;1.9;1.5;-1.5;;;99.5;100.8;98.8;97.7;102.3;94.6
2430;17 Textile industry;1997;84.6;84.6;84.6;2.1;2.1;2.1;;;95.7;97.2;94.6;96.9;98.1;96.2
2431;17 Textile industry;1998 January;88.8;88.7;;7.4;11.6;;;;91.5;89.9;92.6;101.0;97.5;103.3
2432;17 Textile industry;1998 February;91.5;92.2;;10.5;10.7;;;;93.6;94.4;93.2;95.9;95.7;96.0
2433;17 Textile industry;1998 March;103.4;105.2;;22.6;16.5;;;;106.2;104.6;107.3;109.3;108.4;109.9
2434;17 Textile industry;1998 1st quarter;94.6;95.4;93.0;13.6;13.1;8.4;;;97.1;96.3;97.7;102.1;100.5;103.1
2435;17 Textile industry;1998 April;95.0;93.9;;8.6;11.2;;;;96.8;99.5;94.9;96.9;97.5;96.6
2436;17 Textile industry;1998 May;91.4;92.7;;12.9;14.4;;;;92.1;94.1;90.8;96.4;97.2;95.9
2437;17 Textile industry;1998 June;96.9;97.8;;9.2;8.7;;;;99.8;98.8;100.4;102.8;99.3;105.2
2438;17 Textile industry;1998 2nd quarter;94.4;94.8;93.1;10.1;11.4;0.1;;;96.2;97.5;95.4;98.7;98.0;99.2
2439;17 Textile industry;1998 July;93.5;88.7;;16.5;11.4;;;;93.4;92.4;94.1;96.9;89.5;101.8
2440;17 Textile industry;1998 August;74.5;79.2;;-2.0;3.4;;;;72.6;71.7;73.3;69.1;69.2;69.0
2441;17 Textile industry;1998 September;100.4;98.2;;9.3;8.0;;;;103.2;101.8;104.2;100.0;97.7;101.5
2442;17 Textile industry;1998 3rd quarter;89.5;88.7;93.3;8.2;7.7;0.3;;;89.7;88.6;90.5;88.7;85.5;90.8
2443;17 Textile industry;1998 October;101.9;101.1;;6.0;10.1;;;;103.0;103.8;102.5;101.4;103.3;100.1
2444;17 Textile industry;1998 November;96.3;99.0;;10.3;8.1;;;;98.8;97.0;100.0;97.7;102.2;94.7
2445;17 Textile industry;1998 December;82.3;79.1;;8.0;4.5;;;;81.4;81.6;81.2;81.2;84.5;79.1
2446;17 Textile industry;1998 4th quarter;93.5;93.1;92.5;8.0;7.7;-0.9;;;94.4;94.1;94.6;93.4;96.7;91.3
2447;17 Textile industry;1998;93.0;93.0;93.0;10.0;10.0;10.0;;;94.4;94.1;94.5;95.7;95.2;96.1
2448;17 Textile industry;1999 January;93.2;97.1;;5.0;9.4;;;;92.2;94.0;91.1;101.2;103.3;99.8
2449;17 Textile industry;1999 February;91.9;92.9;;0.5;0.8;;;;89.9;91.5;88.8;93.0;89.4;95.3
2450;17 Textile industry;1999 March;110.2;107.8;;6.5;2.5;;;;109.0;111.0;107.7;107.2;107.6;106.9
2451;17 Textile industry;1999 1st quarter;98.4;99.3;96.9;4.1;4.1;4.8;;;97.0;98.8;95.9;100.5;100.1;100.7
2452;17 Textile industry;1999 April;95.0;93.7;;0.1;-0.3;;;;93.1;96.3;91.0;90.5;94.2;88.1
2453;17 Textile industry;1999 May;91.1;97.2;;-0.3;4.8;;;;88.4;88.1;88.6;93.2;91.5;94.3
2454;17 Textile industry;1999 June;103.3;100.5;;6.7;2.8;;;;102.0;99.0;104.0;101.8;96.9;105.1
2455;17 Textile industry;1999 2nd quarter;96.5;97.1;95.5;2.2;2.4;-1.4;;;94.5;94.5;94.5;95.2;94.2;95.8
2456;17 Textile industry;1999 July;92.6;88.0;;-0.9;-0.9;;;;89.2;86.8;90.8;90.9;86.4;93.9
2457;17 Textile industry;1999 August;77.9;82.1;;4.5;3.7;;;;72.8;66.1;77.1;72.5;66.3;76.7
2458;17 Textile industry;1999 September;106.0;105.9;;5.5;7.8;;;;103.3;97.2;107.4;100.5;94.1;104.7
2459;17 Textile industry;1999 3rd quarter;92.2;92.0;96.3;3.0;3.7;0.8;;;88.4;83.4;91.8;88.0;82.3;91.8
2460;17 Textile industry;1999 October;102.2;105.6;;0.2;4.4;;;;98.7;96.2;100.4;99.5;99.9;99.1
2461;17 Textile industry;1999 November;105.0;104.8;;9.0;5.9;;;;103.2;100.1;105.2;102.8;105.7;100.9
2462;17 Textile industry;1999 December;93.2;86.1;;13.2;8.9;;;;88.5;90.2;87.4;92.2;89.0;94.4
2463;17 Textile industry;1999 4th quarter;100.1;98.8;98.4;7.1;6.2;2.2;;;96.8;95.5;97.7;98.2;98.2;98.1
2464;17 Textile industry;1999;96.8;96.8;96.8;4.1;4.1;4.1;;;94.2;93.0;95.0;95.4;93.7;96.6
2465;17 Textile industry;2000 January;94.6;97.6;;1.4;0.5;;;;93.5;94.6;92.8;97.3;102.1;94.2
2466;17 Textile industry;2000 February;101.6;98.9;;10.6;6.4;;;;100.7;100.8;100.6;107.0;104.6;108.5
2467;17 Textile industry;2000 March;115.2;109.7;;4.5;1.7;;;;114.5;114.4;114.6;116.2;116.0;116.3
2468;17 Textile industry;2000 1st quarter;103.8;102.1;99.6;5.4;2.8;1.2;;;102.9;103.3;102.7;106.8;107.6;106.3
2469;17 Textile industry;2000 April;95.7;99.4;;0.7;6.1;;;;95.2;97.7;93.5;99.0;99.1;99.0
2470;17 Textile industry;2000 May;109.5;103.2;;20.2;6.2;;;;109.0;111.6;107.3;114.2;109.4;117.4
2471;17 Textile industry;2000 June;103.8;105.0;;0.4;4.5;;;;103.3;100.8;105.0;96.3;98.6;94.7
2472;17 Textile industry;2000 2nd quarter;103.0;102.5;101.0;6.8;5.6;1.3;;;102.5;103.4;101.9;103.2;102.4;103.7
2473;17 Textile industry;2000 July;91.7;92.8;;-1.0;5.5;;;;90.9;92.6;89.7;95.5;90.5;98.9
2474;17 Textile industry;2000 August;83.7;84.3;;7.4;2.7;;;;82.9;76.6;87.1;85.7;78.9;90.2
2475;17 Textile industry;2000 September;107.0;107.7;;0.9;1.7;;;;107.4;105.0;108.9;104.6;105.1;104.3
2476;17 Textile industry;2000 3rd quarter;94.1;94.9;99.2;2.1;3.2;-1.7;;;93.7;91.4;95.2;95.3;91.5;97.8
2477;17 Textile industry;2000 October;102.7;105.2;;0.6;-0.3;;;;103.2;105.4;101.8;102.5;102.7;102.4
2478;17 Textile industry;2000 November;108.2;105.7;;3.0;0.9;;;;112.4;112.1;112.6;99.0;106.1;94.3
2479;17 Textile industry;2000 December;86.4;90.5;;-7.3;5.0;;;;86.9;88.4;85.9;82.7;87.0;79.9
2480;17 Textile industry;2000 4th quarter;99.1;100.5;100.2;-1.0;1.7;1.0;;;100.8;102.0;100.1;94.7;98.6;92.2
2481;17 Textile industry;2000;100.0;100.0;100.0;3.3;3.3;3.3;;;100.0;100.0;100.0;100.0;100.0;100.0
2482;17 Textile industry;2001 January;106.3;104.8;;12.4;7.4;;;;102.5;100.4;103.9;106.3;103.9;107.8
2483;17 Textile industry;2001 February;104.6;105.2;;2.9;6.4;;;;100.9;99.8;101.6;102.8;109.7;98.2
2484;17 Textile industry;2001 March;116.8;115.0;;1.4;4.8;;;;112.9;108.8;115.6;108.4;106.5;109.6
2485;17 Textile industry;2001 1st quarter;109.3;108.3;105.8;5.3;6.1;5.6;;;105.4;103.0;107.0;105.8;106.7;105.2
2486;17 Textile industry;2001 April;102.2;106.1;;6.8;6.8;;;;98.5;98.3;98.7;110.6;105.1;114.3
2487;17 Textile industry;2001 May;106.5;101.6;;-2.8;-1.5;;;;103.9;106.7;102.0;106.6;109.1;105.0
2488;17 Textile industry;2001 June;109.7;111.2;;5.7;5.9;;;;106.2;102.3;108.8;105.1;102.4;106.9
2489;17 Textile industry;2001 2nd quarter;106.1;106.3;104.8;3.0;3.7;-1.0;;;102.9;102.4;103.2;107.4;105.5;108.7
2490;17 Textile industry;2001 July;95.2;97.9;;3.9;5.5;;;;92.2;89.6;94.0;91.4;86.7;94.6
2491;17 Textile industry;2001 August;88.7;84.3;;6.1;0.0;;;;85.4;76.8;91.2;82.4;76.6;86.3
2492;17 Textile industry;2001 September;99.5;104.0;;-7.0;-3.5;;;;97.3;91.2;101.4;103.4;97.9;107.1
2493;17 Textile industry;2001 3rd quarter;94.5;95.4;99.8;0.4;0.5;-4.7;;;91.6;85.9;95.5;92.4;87.1;96.0
2494;17 Textile industry;2001 October;107.6;105.3;;4.8;0.1;;;;104.8;103.5;105.7;104.6;106.4;103.4
2495;17 Textile industry;2001 November;104.1;100.7;;-3.7;-4.7;;;;105.4;104.1;106.2;113.1;113.7;112.6
2496;17 Textile industry;2001 December;82.7;88.0;;-4.3;-2.8;;;;80.1;81.0;79.6;73.5;72.0;74.5
2497;17 Textile industry;2001 4th quarter;98.1;98.0;97.6;-1.0;-2.5;-2.2;;;96.8;96.2;97.2;97.1;97.4;96.8
2498;17 Textile industry;2001;102.0;102.0;102.0;2.0;2.0;2.0;;;99.2;96.9;100.7;100.7;99.2;101.7
2499;17 Textile industry;2002 January;94.6;92.3;;-11.0;-11.9;;;;93.8;93.5;94.0;103.3;95.4;108.7
2500;17 Textile industry;2002 February;98.5;99.0;;-5.9;-5.9;;;;96.8;90.7;100.8;98.1;94.6;100.4
2501;17 Textile industry;2002 March;107.1;109.3;;-8.4;-4.9;;;;105.9;96.8;111.9;103.7;96.2;108.8
2502;17 Textile industry;2002 1st quarter;100.1;100.2;97.8;-8.4;-7.5;0.2;;;98.8;93.7;102.2;101.7;95.4;106.0
2503;17 Textile industry;2002 April;98.1;98.5;;-4.0;-7.1;;;;96.9;90.7;101.0;90.3;87.6;92.2
2504;17 Textile industry;2002 May;100.4;96.8;;-5.7;-4.7;;;;99.6;92.6;104.3;104.9;87.4;116.8
2505;17 Textile industry;2002 June;99.7;103.2;;-9.1;-7.2;;;;98.2;88.6;104.6;96.0;89.2;100.6
2506;17 Textile industry;2002 2nd quarter;99.4;99.5;98.2;-6.3;-6.4;0.4;;;98.2;90.6;103.3;97.1;88.1;103.2
2507;17 Textile industry;2002 July;92.6;95.6;;-2.8;-2.4;;;;89.4;83.1;93.6;87.5;81.5;91.5
2508;17 Textile industry;2002 August;87.5;82.2;;-1.4;-2.5;;;;85.5;79.5;89.6;85.5;80.4;88.9
2509;17 Textile industry;2002 September;105.6;107.8;;6.1;3.7;;;;105.2;93.5;112.9;105.0;89.9;115.2
2510;17 Textile industry;2002 3rd quarter;95.2;95.2;99.4;0.8;-0.2;1.2;;;93.4;85.4;98.7;92.7;83.9;98.5
2511;17 Textile industry;2002 October;106.7;103.3;;-0.9;-1.9;;;;107.3;97.6;113.7;108.4;98.2;115.3
2512;17 Textile industry;2002 November;99.3;99.1;;-4.6;-1.6;;;;103.4;91.6;111.1;101.2;92.4;107.1
2513;17 Textile industry;2002 December;83.8;86.7;;1.4;-1.4;;;;83.5;77.6;87.4;84.3;78.0;88.5
2514;17 Textile industry;2002 4th quarter;96.6;96.4;95.9;-1.6;-1.7;-3.5;;;98.1;88.9;104.1;98.0;89.5;103.6
2515;17 Textile industry;2002;97.8;97.8;97.8;-4.1;-4.1;-4.1;;;97.1;89.7;102.1;97.4;89.2;102.8
2516;17 Textile industry;2003 January;93.8;90.1;;-0.9;-2.4;;;;94.0;89.4;97.1;98.5;89.7;104.3
2517;17 Textile industry;2003 February;100.7;101.2;;2.2;2.3;;;;100.3;92.8;105.3;97.4;90.9;101.7
2518;17 Textile industry;2003 March;104.2;108.5;;-2.7;-0.7;;;;104.0;97.8;108.1;100.3;97.6;102.0
2519;17 Textile industry;2003 1st quarter;99.5;99.9;97.7;-0.5;-0.2;1.9;;;99.4;93.3;103.5;98.7;92.7;102.7
2520;17 Textile industry;2003 April;97.2;96.3;;-0.9;-2.2;;;;96.6;90.3;100.8;88.7;88.3;89.0
2521;17 Textile industry;2003 May;95.6;93.2;;-4.7;-3.8;;;;95.3;91.8;97.5;84.0;84.9;83.4
2522;17 Textile industry;2003 June;95.5;100.1;;-4.2;-3.0;;;;96.5;93.8;98.2;82.5;80.7;83.6
2523;17 Textile industry;2003 2nd quarter;96.1;96.5;95.4;-3.3;-3.0;-2.4;;;96.1;92.0;98.8;85.1;84.6;85.3
2524;17 Textile industry;2003 July;89.2;91.3;;-3.6;-4.5;;;;83.8;73.1;90.9;74.9;70.2;78.0
2525;17 Textile industry;2003 August;76.0;73.6;;-13.2;-10.5;;;;71.7;66.7;75.0;63.4;58.1;67.0
2526;17 Textile industry;2003 September;104.4;103.1;;-1.2;-4.3;;;;100.5;93.4;105.3;88.8;99.4;81.7
2527;17 Textile industry;2003 3rd quarter;89.9;89.3;93.0;-5.6;-6.1;-2.5;;;85.3;77.7;90.4;75.7;75.9;75.6
2528;17 Textile industry;2003 October;102.6;97.8;;-3.8;-5.3;;;;97.7;91.6;101.8;86.6;90.1;84.3
2529;17 Textile industry;2003 November;95.1;99.6;;-4.2;0.5;;;;93.0;88.9;95.8;93.2;97.6;90.2
2530;17 Textile industry;2003 December;86.5;85.9;;3.3;-0.9;;;;87.6;82.8;90.7;83.8;97.2;74.9
2531;17 Textile industry;2003 4th quarter;94.7;94.5;94.1;-1.9;-2.0;1.1;;;92.8;87.8;96.1;87.9;95.0;83.1
2532;17 Textile industry;2003;95.1;95.1;95.1;-2.8;-2.8;-2.8;;;93.4;87.7;97.2;86.8;87.1;86.7
2533;17 Textile industry;2004 January;80.6;81.1;;-14.1;-10.0;;;;83.5;78.6;86.7;83.8;;
2534;17 Textile industry;2004 February;84.4;85.3;;-16.2;-15.7;;;;88.4;83.1;91.9;87.2;;
2535;17 Textile industry;2004 March;97.1;95.4;;-6.8;-12.1;;;;101.3;98.1;103.4;97.5;;
2536;17 Textile industry;2004 1st quarter;87.4;87.3;85.5;-12.2;-12.7;-9.1;;;91.1;86.6;94.0;89.5;;
2537;17 Textile industry;2004 April;81.3;80.4;;-16.4;-16.5;;;;86.2;84.3;87.4;80.1;;
2538;17 Textile industry;2004 May;78.5;84.0;;-18.0;-9.8;;;;82.7;79.8;84.6;75.0;;
2539;17 Textile industry;2004 June;87.4;85.4;;-8.5;-14.7;;;;94.2;90.4;96.7;85.5;;
2540;17 Textile industry;2004 2nd quarter;82.4;83.3;82.5;-14.3;-13.7;-3.6;;;87.7;84.8;89.6;80.2;;
2541;17 Textile industry;2004 July;85.5;84.8;;-4.2;-7.2;;;;86.4;81.6;89.6;77.9;;
2542;17 Textile industry;2004 August;59.2;61.7;;-22.0;-16.1;;;;58.8;57.0;60.0;56.5;;
2543;17 Textile industry;2004 September;93.0;91.1;;-10.9;-11.7;;;;96.1;86.0;102.8;83.8;;
2544;17 Textile industry;2004 3rd quarter;79.2;79.2;82.4;-11.8;-11.4;-0.1;;;80.4;74.9;84.1;72.7;;
2545;17 Textile industry;2004 October;87.2;90.4;;-15.0;-7.6;;;;91.4;87.6;94.0;85.1;;
2546;17 Textile industry;2004 November;86.8;86.9;;-8.7;-12.7;;;;91.8;83.5;97.3;84.3;;
2547;17 Textile industry;2004 December;76.4;70.8;;-11.8;-17.6;;;;76.3;72.1;79.0;74.6;;
2548;17 Textile industry;2004 4th quarter;83.4;82.7;82.1;-11.9;-12.4;-0.3;;;86.5;81.1;90.1;81.3;;
2549;17 Textile industry;2004;83.1;83.1;83.1;-12.6;-12.6;-12.6;;;86.4;81.8;89.5;80.9;;
2550;17 Textile industry;2005 January;76.8;79.3;;-4.7;-2.2;;;;78.4;71.6;82.9;84.5;;
2551;17 Textile industry;2005 February;80.9;81.1;;-4.2;-4.9;;;;82.0;77.1;85.3;85.3;;
2552;17 Textile industry;2005 March;95.3;94.2;;-1.8;-1.2;;;;97.1;88.6;102.8;96.1;;
2553;17 Textile industry;2005 1st quarter;84.3;84.9;82.1;-3.5;-2.7;0.0;;;85.8;79.1;90.3;88.6;;
2554;17 Textile industry;2005 April;83.7;81.3;;2.9;1.1;;;;86.8;81.9;90.0;84.6;;
2555;17 Textile industry;2005 May;78.5;81.9;;0.0;-2.5;;;;80.4;73.8;84.8;80.3;;
2556;17 Textile industry;2005 June;92.5;88.9;;5.8;4.2;;;;96.3;85.6;103.5;87.0;;
2557;17 Textile industry;2005 2nd quarter;84.9;84.0;82.7;3.0;0.9;0.8;;;87.8;80.4;92.8;84.0;;
2558;17 Textile industry;2005 July;79.6;78.0;;-6.8;-7.9;;;;78.4;73.4;81.7;80.1;;
2559;17 Textile industry;2005 August;64.8;66.4;;9.3;7.6;;;;62.7;54.8;68.0;69.2;;
2560;17 Textile industry;2005 September;90.9;90.2;;-2.3;-0.9;;;;89.8;77.6;98.0;88.6;;
2561;17 Textile industry;2005 3rd quarter;78.4;78.2;83.3;-1.0;-1.2;0.7;;;77.0;68.6;82.6;79.3;;
2562;17 Textile industry;2005 October;82.9;87.0;;-4.9;-3.7;;;;83.7;75.4;89.2;81.8;;
2563;17 Textile industry;2005 November;87.2;85.7;;0.5;-1.4;;;;91.5;81.2;98.3;89.4;;
2564;17 Textile industry;2005 December;77.2;76.0;;1.1;7.3;;;;76.7;72.2;79.7;89.2;;
2565;17 Textile industry;2005 4th quarter;82.4;82.9;81.9;-1.2;0.2;-1.7;;;84.0;76.3;89.1;86.8;;
2566;17 Textile industry;2005;82.5;82.5;82.5;-0.7;-0.7;-0.7;;;83.7;76.1;88.7;84.7;;
2567;17 Textile industry;2006 January;81.2;82.2;;5.8;3.7;;;;82.7;72.4;89.6;91.0;;
2568;17 Textile industry;2006 February;83.0;83.0;;2.7;2.3;;;;83.5;77.2;87.7;90.0;;
2569;17 Textile industry;2006 March;97.3;92.7;;2.1;-1.6;;;;98.3;88.0;105.2;101.7;;
2570;17 Textile industry;2006 1st quarter;87.2;86.0;83.2;3.4;1.3;1.6;;;88.2;79.2;94.2;94.2;;
2571;17 Textile industry;2006 April;78.1;80.7;;-6.7;-0.7;;;;81.4;78.9;83.1;90.0;;
2572;17 Textile industry;2006 May;85.1;82.3;;8.5;0.5;;;;87.3;81.0;91.5;93.0;;
2573;17 Textile industry;2006 June;91.7;90.6;;-0.9;1.8;;;;95.4;82.8;103.7;99.2;;
2574;17 Textile industry;2006 2nd quarter;84.9;84.5;83.2;0.1;0.6;0.0;;;88.0;80.9;92.8;94.1;;
2575;17 Textile industry;2006 July;82.1;81.9;;3.1;5.0;;;;79.9;75.5;82.8;84.2;;
2576;17 Textile industry;2006 August;69.1;69.8;;6.7;5.0;;;;65.5;57.9;70.5;73.4;;
2577;17 Textile industry;2006 September;95.2;96.0;;4.8;6.3;;;;94.0;79.1;103.9;102.0;;
2578;17 Textile industry;2006 3rd quarter;82.1;82.6;87.8;4.7;5.5;5.5;;;79.8;70.8;85.7;86.5;;
2579;17 Textile industry;2006 October;94.0;96.7;;13.4;11.2;;;;94.0;80.2;103.2;96.8;;
2580;17 Textile industry;2006 November;96.2;93.2;;10.3;8.8;;;;97.8;86.0;105.7;102.0;;
2581;17 Textile industry;2006 December;80.0;83.8;;3.6;10.3;;;;77.1;70.9;81.2;80.9;;
2582;17 Textile industry;2006 4th quarter;90.0;91.2;90.1;9.2;10.1;2.6;;;89.6;79.0;96.7;93.2;;
2583;17 Textile industry;2006;86.1;86.1;86.1;4.3;4.3;4.3;;;86.4;77.5;92.3;92.0;;
2584;17 Textile industry;2007 January;86.1;84.8;;6.0;3.1;;;;85.7;78.4;90.6;93.3;;
2585;17 Textile industry;2007 February;88.4;88.3;;6.5;6.3;;;;88.8;79.9;94.7;93.7;;
2586;17 Textile industry;2007 March;100.5;98.9;;3.3;6.7;;;;101.4;89.7;109.1;111.5;;
2587;17 Textile industry;2007 1st quarter;91.7;90.6;87.8;5.1;5.4;-2.6;;;92.0;82.7;98.1;99.5;;
2588;17 Textile industry;2007 April;84.3;87.8;;8.0;8.7;;;;87.5;75.5;95.5;93.8;;
2589;17 Textile industry;2007 May;91.9;89.6;;7.9;8.9;;;;92.2;82.8;98.5;97.7;;
2590;17 Textile industry;2007 June;97.8;96.9;;6.7;7.0;;;;101.9;86.9;111.8;106.4;;
2591;17 Textile industry;2007 2nd quarter;91.3;91.4;90.2;7.5;8.2;2.7;;;93.9;81.7;101.9;99.3;;
2592;17 Textile industry;2007 July;84.2;87.4;;2.5;6.6;;;;81.2;69.7;88.8;87.3;;
2593;17 Textile industry;2007 August;78.9;75.0;;14.2;7.5;;;;75.5;67.8;80.7;85.8;;
2594;17 Textile industry;2007 September;91.4;95.0;;-4.0;-1.0;;;;88.2;72.9;98.4;90.3;;
2595;17 Textile industry;2007 3rd quarter;84.8;85.8;91.2;3.3;3.9;1.1;;;81.6;70.1;89.3;87.8;;
2596;17 Textile industry;2007 October;98.3;96.1;;4.5;-0.7;;;;95.7;83.3;103.9;99.7;;
2597;17 Textile industry;2007 November;94.9;92.5;;-1.3;-0.8;;;;94.6;79.7;104.5;98.8;;
2598;17 Textile industry;2007 December;75.9;80.4;;-5.1;-4.1;;;;69.9;59.0;77.1;76.7;;
2599;17 Textile industry;2007 4th quarter;89.7;89.6;88.4;-0.4;-1.8;-3.1;;;86.7;74.0;95.2;91.7;;
2600;17 Textile industry;2007;89.4;89.4;89.4;3.8;3.8;3.8;;;88.6;77.1;96.1;94.6;;
2601;17 Textile industry;2008 January;85.5;83.1;;-0.7;-1.9;;;;80.2;64.7;90.5;97.1;;
2602;17 Textile industry;2008 February;89.2;88.0;;0.9;-0.3;;;;86.0;74.1;93.9;93.8;;
2603;17 Textile industry;2008 March;91.8;97.7;;-8.7;-1.2;;;;89.2;74.7;98.9;98.5;;
2604;17 Textile industry;2008 1st quarter;88.8;89.6;86.8;-3.1;-1.2;-1.8;;;85.1;71.2;94.4;96.5;;
2605;17 Textile industry;2008 April;87.4;84.4;;3.6;-3.9;;;;88.2;77.8;95.1;96.3;;
2606;17 Textile industry;2008 May;82.7;82.7;;-9.9;-7.7;;;;79.5;68.5;86.8;89.6;;
2607;17 Textile industry;2008 June;90.3;91.9;;-7.7;-5.1;;;;88.8;74.4;98.3;96.2;;
2608;17 Textile industry;2008 2nd quarter;86.8;86.3;85.1;-5.0;-5.6;-1.9;;;85.5;73.6;93.4;94.0;;
2609;17 Textile industry;2008 July;82.3;85.8;;-2.3;-1.8;;;;76.0;63.1;84.5;81.9;;
2610;17 Textile industry;2008 August;70.7;67.9;;-10.4;-9.5;;;;65.2;55.0;72.0;76.3;;
2611;17 Textile industry;2008 September;90.1;89.4;;-1.3;-5.9;;;;87.4;71.4;98.0;92.0;;
2612;17 Textile industry;2008 3rd quarter;81.0;81.0;85.9;-4.5;-5.5;0.9;;;76.2;63.2;84.8;83.4;;
2613;17 Textile industry;2008 October;85.1;81.3;;-13.4;-15.3;;;;83.4;74.3;89.5;87.8;;
2614;17 Textile industry;2008 November;78.1;81.6;;-17.8;-11.8;;;;77.4;66.7;84.5;79.8;;
2615;17 Textile industry;2008 December;69.2;68.6;;-8.8;-14.6;;;;64.6;60.8;67.1;73.2;;
2616;17 Textile industry;2008 4th quarter;77.5;77.2;76.3;-13.6;-13.9;-11.2;;;75.1;67.3;80.4;80.3;;
2617;17 Textile industry;2008;83.5;83.5;83.5;-6.5;-6.5;-6.5;;;80.5;68.8;88.3;88.5;;
2618;18 Manufacture of clothing;1995 January;102.0;101.9;;;;;;;112.3;91.7;151.4;100.7;88.3;124.0
2619;18 Manufacture of clothing;1995 February;82.4;83.3;;;;;;;139.8;117.7;181.7;124.8;109.6;153.2
2620;18 Manufacture of clothing;1995 March;121.4;121.2;;;;;;;155.0;122.5;216.7;183.3;123.8;294.7
2621;18 Manufacture of clothing;1995 1st quarter;101.9;102.1;117.5;;;;;;135.7;110.6;183.3;136.3;107.2;190.6
2622;18 Manufacture of clothing;1995 April;131.5;131.3;;;;;;;92.2;77.3;120.5;101.4;78.3;144.7
2623;18 Manufacture of clothing;1995 May;135.7;135.5;;;;;;;81.7;74.5;95.5;79.2;70.0;96.4
2624;18 Manufacture of clothing;1995 June;137.9;137.7;;;;;;;82.1;74.8;96.1;87.9;80.2;102.5
2625;18 Manufacture of clothing;1995 2nd quarter;135.0;134.8;136.8;;;16.4;;;85.3;75.5;104.0;89.5;76.2;114.5
2626;18 Manufacture of clothing;1995 July;108.7;113.9;;;;;;;99.3;86.2;123.9;90.0;76.9;114.6
2627;18 Manufacture of clothing;1995 August;100.6;97.1;;;;;;;136.8;113.4;181.1;128.8;110.6;162.9
2628;18 Manufacture of clothing;1995 September;168.8;167.8;;;;;;;132.5;110.4;174.6;144.3;127.8;175.2
2629;18 Manufacture of clothing;1995 3rd quarter;126.0;126.3;124.3;;;-9.2;;;122.9;103.3;159.9;121.0;105.1;150.9
2630;18 Manufacture of clothing;1995 October;145.6;145.4;;;;;;;105.2;94.3;125.7;119.6;114.7;128.8
2631;18 Manufacture of clothing;1995 November;131.6;131.4;;;;;;;95.7;77.9;129.5;107.0;92.2;134.9
2632;18 Manufacture of clothing;1995 December;160.4;160.2;;;;;;;75.8;62.3;101.4;79.5;66.7;103.5
2633;18 Manufacture of clothing;1995 4th quarter;145.9;145.6;130.3;;;4.9;;;92.2;78.2;118.9;102.0;91.2;122.4
2634;18 Manufacture of clothing;1995;127.2;127.2;127.2;;;;;;109.0;91.9;141.5;112.2;94.9;144.6
