ID;EmployedPersons;SectorBranches;Periods;AllGrowers_1;NormalGrowers_2;FastGrowers_3;BusinessesWithAStableTurnover_4;AllDecliners_5;NormalDecliners_6;FastDecliners_7
959;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2021;70.0;31.0;39.0;1.0;29.0;17.0;12.0
960;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2022 1st quarter;63.0;22.0;42.0;1.0;35.0;16.0;19.0
961;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2022 2nd quarter;59.0;24.0;35.0;2.0;40.0;17.0;22.0
962;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2022 3rd quarter;57.0;23.0;34.0;3.0;40.0;18.0;22.0
963;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2022 4th quarter;56.0;23.0;33.0;1.0;43.0;19.0;23.0
964;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2022;63.0;33.0;30.0;1.0;36.0;19.0;17.0
965;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2023 1st quarter;54.0;22.0;32.0;1.0;45.0;21.0;24.0
966;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2023 2nd quarter;51.0;22.0;28.0;1.0;48.0;22.0;26.0
967;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2023 3rd quarter;45.0;18.0;28.0;1.0;53.0;25.0;29.0
968;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2023 4th quarter;45.0;20.0;25.0;2.0;53.0;24.0;29.0
969;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2023;47.0;23.0;24.0;2.0;50.0;29.0;21.0
970;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2024 1st quarter;44.0;18.0;26.0;2.0;54.0;28.0;25.0
971;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2024 2nd quarter;47.0;20.0;26.0;2.0;52.0;26.0;26.0
972;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2024 3rd quarter;50.0;19.0;31.0;1.0;49.0;24.0;25.0
973;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2024 4th quarter;51.0;22.0;29.0;2.0;47.0;24.0;24.0
974;Total 1 or more employed persons;16+23 Man of wooden and buildingmaterial;2024;;;;;;;
975;Total 1 or more employed persons;16 Manufacture of wood products;2012 1st quarter;42.0;16.0;26.0;1.0;57.0;24.0;33.0
976;Total 1 or more employed persons;16 Manufacture of wood products;2012 2nd quarter;38.0;15.0;23.0;1.0;61.0;25.0;35.0
977;Total 1 or more employed persons;16 Manufacture of wood products;2012 3rd quarter;40.0;14.0;25.0;1.0;59.0;24.0;36.0
978;Total 1 or more employed persons;16 Manufacture of wood products;2012 4th quarter;33.0;13.0;21.0;1.0;65.0;25.0;41.0
979;Total 1 or more employed persons;16 Manufacture of wood products;2012;32.0;17.0;15.0;2.0;67.0;35.0;32.0
980;Total 1 or more employed persons;16 Manufacture of wood products;2013 1st quarter;34.0;15.0;20.0;1.0;65.0;24.0;41.0
981;Total 1 or more employed persons;16 Manufacture of wood products;2013 2nd quarter;40.0;17.0;23.0;2.0;58.0;24.0;34.0
982;Total 1 or more employed persons;16 Manufacture of wood products;2013 3rd quarter;42.0;18.0;24.0;2.0;56.0;21.0;35.0
983;Total 1 or more employed persons;16 Manufacture of wood products;2013 4th quarter;54.0;19.0;35.0;2.0;44.0;19.0;25.0
984;Total 1 or more employed persons;16 Manufacture of wood products;2013;41.0;22.0;19.0;2.0;57.0;30.0;27.0
985;Total 1 or more employed persons;16 Manufacture of wood products;2014 1st quarter;59.0;20.0;39.0;2.0;39.0;18.0;21.0
986;Total 1 or more employed persons;16 Manufacture of wood products;2014 2nd quarter;55.0;21.0;33.0;2.0;44.0;19.0;24.0
987;Total 1 or more employed persons;16 Manufacture of wood products;2014 3rd quarter;54.0;21.0;33.0;1.0;45.0;20.0;25.0
988;Total 1 or more employed persons;16 Manufacture of wood products;2014 4th quarter;53.0;21.0;32.0;2.0;45.0;20.0;25.0
989;Total 1 or more employed persons;16 Manufacture of wood products;2014;57.0;28.0;28.0;2.0;42.0;23.0;18.0
990;Total 1 or more employed persons;16 Manufacture of wood products;2015 1st quarter;55.0;19.0;36.0;1.0;44.0;19.0;25.0
991;Total 1 or more employed persons;16 Manufacture of wood products;2015 2nd quarter;62.0;19.0;43.0;1.0;37.0;17.0;20.0
992;Total 1 or more employed persons;16 Manufacture of wood products;2015 3rd quarter;52.0;19.0;33.0;1.0;46.0;19.0;27.0
993;Total 1 or more employed persons;16 Manufacture of wood products;2015 4th quarter;55.0;21.0;34.0;1.0;44.0;19.0;25.0
994;Total 1 or more employed persons;16 Manufacture of wood products;2015;61.0;28.0;33.0;1.0;37.0;20.0;18.0
995;Total 1 or more employed persons;16 Manufacture of wood products;2016 1st quarter;58.0;21.0;37.0;2.0;40.0;19.0;22.0
996;Total 1 or more employed persons;16 Manufacture of wood products;2016 2nd quarter;48.0;20.0;27.0;1.0;51.0;23.0;28.0
997;Total 1 or more employed persons;16 Manufacture of wood products;2016 3rd quarter;56.0;19.0;37.0;1.0;43.0;20.0;24.0
998;Total 1 or more employed persons;16 Manufacture of wood products;2016 4th quarter;57.0;22.0;35.0;1.0;41.0;18.0;23.0
999;Total 1 or more employed persons;16 Manufacture of wood products;2016;57.0;29.0;28.0;2.0;41.0;23.0;18.0
1000;Total 1 or more employed persons;16 Manufacture of wood products;2017 1st quarter;55.0;21.0;34.0;1.0;44.0;19.0;25.0
1001;Total 1 or more employed persons;16 Manufacture of wood products;2017 2nd quarter;56.0;21.0;35.0;1.0;42.0;20.0;23.0
1002;Total 1 or more employed persons;16 Manufacture of wood products;2017 3rd quarter;57.0;19.0;38.0;1.0;41.0;20.0;22.0
1003;Total 1 or more employed persons;16 Manufacture of wood products;2017 4th quarter;58.0;21.0;37.0;1.0;41.0;18.0;23.0
1004;Total 1 or more employed persons;16 Manufacture of wood products;2017;60.0;29.0;31.0;2.0;38.0;21.0;16.0
1005;Total 1 or more employed persons;16 Manufacture of wood products;2018 1st quarter;58.0;23.0;35.0;1.0;40.0;18.0;22.0
1006;Total 1 or more employed persons;16 Manufacture of wood products;2018 2nd quarter;57.0;23.0;34.0;1.0;42.0;20.0;22.0
1007;Total 1 or more employed persons;16 Manufacture of wood products;2018 3rd quarter;54.0;22.0;32.0;2.0;44.0;20.0;25.0
1008;Total 1 or more employed persons;16 Manufacture of wood products;2018 4th quarter;57.0;22.0;35.0;2.0;41.0;20.0;22.0
1009;Total 1 or more employed persons;16 Manufacture of wood products;2018;60.0;30.0;30.0;2.0;39.0;22.0;17.0
1010;Total 1 or more employed persons;16 Manufacture of wood products;2019 1st quarter;56.0;22.0;35.0;2.0;42.0;18.0;23.0
1011;Total 1 or more employed persons;16 Manufacture of wood products;2019 2nd quarter;57.0;23.0;34.0;2.0;41.0;20.0;22.0
1012;Total 1 or more employed persons;16 Manufacture of wood products;2019 3rd quarter;53.0;21.0;33.0;2.0;45.0;20.0;25.0
1013;Total 1 or more employed persons;16 Manufacture of wood products;2019 4th quarter;50.0;21.0;29.0;1.0;48.0;22.0;27.0
1014;Total 1 or more employed persons;16 Manufacture of wood products;2019;56.0;29.0;27.0;2.0;42.0;24.0;18.0
1015;Total 1 or more employed persons;16 Manufacture of wood products;2020 1st quarter;55.0;23.0;32.0;1.0;44.0;19.0;24.0
1016;Total 1 or more employed persons;16 Manufacture of wood products;2020 2nd quarter;50.0;22.0;28.0;1.0;49.0;20.0;29.0
1017;Total 1 or more employed persons;16 Manufacture of wood products;2020 3rd quarter;56.0;23.0;33.0;1.0;43.0;17.0;25.0
1018;Total 1 or more employed persons;16 Manufacture of wood products;2020 4th quarter;60.0;25.0;35.0;1.0;39.0;16.0;23.0
1019;Total 1 or more employed persons;16 Manufacture of wood products;2020;56.0;28.0;28.0;1.0;43.0;23.0;20.0
1020;Total 1 or more employed persons;16 Manufacture of wood products;2021 1st quarter;58.0;21.0;37.0;1.0;41.0;17.0;23.0
1021;Total 1 or more employed persons;16 Manufacture of wood products;2021 2nd quarter;70.0;18.0;52.0;1.0;29.0;14.0;15.0
1022;Total 1 or more employed persons;16 Manufacture of wood products;2021 3rd quarter;63.0;21.0;42.0;1.0;36.0;16.0;20.0
1023;Total 1 or more employed persons;16 Manufacture of wood products;2021 4th quarter;65.0;24.0;41.0;1.0;35.0;16.0;18.0
1024;Total 1 or more employed persons;16 Manufacture of wood products;2021;69.0;29.0;40.0;2.0;30.0;17.0;12.0
1025;Total 1 or more employed persons;16 Manufacture of wood products;2022 1st quarter;62.0;19.0;43.0;2.0;36.0;15.0;21.0
1026;Total 1 or more employed persons;16 Manufacture of wood products;2022 2nd quarter;56.0;22.0;34.0;1.0;42.0;18.0;24.0
1027;Total 1 or more employed persons;16 Manufacture of wood products;2022 3rd quarter;53.0;20.0;33.0;4.0;43.0;18.0;25.0
1028;Total 1 or more employed persons;16 Manufacture of wood products;2022 4th quarter;53.0;21.0;32.0;1.0;46.0;21.0;25.0
1029;Total 1 or more employed persons;16 Manufacture of wood products;2022;61.0;32.0;29.0;2.0;38.0;20.0;18.0
1030;Total 1 or more employed persons;16 Manufacture of wood products;2023 1st quarter;52.0;21.0;32.0;1.0;46.0;21.0;25.0
1031;Total 1 or more employed persons;16 Manufacture of wood products;2023 2nd quarter;47.0;19.0;28.0;1.0;52.0;24.0;28.0
1032;Total 1 or more employed persons;16 Manufacture of wood products;2023 3rd quarter;46.0;16.0;30.0;1.0;53.0;24.0;30.0
1033;Total 1 or more employed persons;16 Manufacture of wood products;2023 4th quarter;44.0;19.0;25.0;1.0;55.0;25.0;30.0
1034;Total 1 or more employed persons;16 Manufacture of wood products;2023;45.0;20.0;25.0;2.0;53.0;30.0;23.0
1035;Total 1 or more employed persons;16 Manufacture of wood products;2024 1st quarter;45.0;19.0;26.0;2.0;53.0;26.0;26.0
1036;Total 1 or more employed persons;16 Manufacture of wood products;2024 2nd quarter;48.0;20.0;28.0;2.0;50.0;24.0;27.0
1037;Total 1 or more employed persons;16 Manufacture of wood products;2024 3rd quarter;51.0;19.0;32.0;2.0;48.0;23.0;25.0
1038;Total 1 or more employed persons;16 Manufacture of wood products;2024 4th quarter;53.0;23.0;30.0;2.0;45.0;20.0;24.0
1039;Total 1 or more employed persons;16 Manufacture of wood products;2024;;;;;;;
1040;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2012 1st quarter;42.0;22.0;20.0;2.0;56.0;28.0;28.0
1041;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2012 2nd quarter;39.0;19.0;20.0;2.0;58.0;29.0;30.0
1042;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2012 3rd quarter;42.0;21.0;22.0;2.0;56.0;28.0;28.0
1043;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2012 4th quarter;34.0;16.0;18.0;2.0;65.0;32.0;33.0
1044;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2012;33.0;19.0;14.0;2.0;65.0;40.0;25.0
1045;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2013 1st quarter;34.0;16.0;18.0;2.0;64.0;32.0;32.0
1046;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2013 2nd quarter;39.0;19.0;20.0;2.0;59.0;29.0;29.0
1047;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2013 3rd quarter;36.0;19.0;18.0;2.0;62.0;29.0;33.0
1048;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2013 4th quarter;45.0;22.0;23.0;2.0;54.0;26.0;28.0
1049;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2013;34.0;20.0;13.0;2.0;64.0;37.0;27.0
1050;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2014 1st quarter;45.0;22.0;24.0;2.0;53.0;28.0;25.0
1051;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2014 2nd quarter;44.0;22.0;22.0;2.0;55.0;28.0;27.0
1052;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2014 3rd quarter;45.0;21.0;24.0;2.0;54.0;27.0;26.0
1053;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2014 4th quarter;46.0;22.0;24.0;2.0;52.0;27.0;25.0
1054;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2014;41.0;25.0;17.0;3.0;56.0;33.0;23.0
1055;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2015 1st quarter;45.0;22.0;23.0;2.0;53.0;28.0;25.0
1056;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2015 2nd quarter;45.0;21.0;24.0;2.0;53.0;29.0;25.0
1057;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2015 3rd quarter;47.0;22.0;26.0;2.0;51.0;26.0;25.0
1058;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2015 4th quarter;46.0;24.0;22.0;3.0;51.0;26.0;25.0
1059;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2015;43.0;25.0;18.0;2.0;55.0;34.0;21.0
1060;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2016 1st quarter;48.0;25.0;23.0;2.0;49.0;26.0;23.0
1061;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2016 2nd quarter;47.0;23.0;24.0;2.0;51.0;27.0;24.0
1062;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2016 3rd quarter;45.0;22.0;23.0;2.0;52.0;27.0;26.0
1063;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2016 4th quarter;46.0;22.0;24.0;2.0;52.0;28.0;24.0
1064;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2016;44.0;26.0;18.0;2.0;54.0;34.0;20.0
1065;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2017 1st quarter;48.0;24.0;23.0;3.0;50.0;26.0;24.0
1066;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2017 2nd quarter;45.0;23.0;23.0;2.0;53.0;28.0;25.0
1067;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2017 3rd quarter;49.0;24.0;25.0;2.0;50.0;25.0;24.0
1068;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2017 4th quarter;46.0;23.0;23.0;2.0;52.0;26.0;26.0
1069;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2017;45.0;28.0;17.0;3.0;53.0;32.0;20.0
1070;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2018 1st quarter;50.0;23.0;26.0;2.0;48.0;25.0;24.0
1071;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2018 2nd quarter;49.0;24.0;25.0;2.0;49.0;25.0;24.0
1072;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2018 3rd quarter;46.0;22.0;24.0;2.0;52.0;26.0;25.0
1073;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2018 4th quarter;48.0;22.0;25.0;2.0;50.0;27.0;23.0
1074;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2018;46.0;27.0;19.0;3.0;51.0;31.0;20.0
1075;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2019 1st quarter;44.0;22.0;22.0;2.0;54.0;28.0;25.0
1076;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2019 2nd quarter;47.0;22.0;24.0;2.0;52.0;26.0;26.0
1077;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2019 3rd quarter;47.0;24.0;24.0;2.0;50.0;25.0;25.0
1078;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2019 4th quarter;43.0;21.0;22.0;2.0;55.0;29.0;26.0
1079;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2019;42.0;25.0;16.0;2.0;56.0;35.0;21.0
1080;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2020 1st quarter;38.0;18.0;21.0;2.0;59.0;33.0;27.0
1081;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2020 2nd quarter;22.0;10.0;13.0;1.0;76.0;19.0;57.0
1082;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2020 3rd quarter;32.0;15.0;18.0;1.0;66.0;30.0;37.0
1083;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2020 4th quarter;40.0;20.0;20.0;2.0;58.0;26.0;32.0
1084;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2020;27.0;15.0;12.0;2.0;70.0;32.0;38.0
1085;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2021 1st quarter;33.0;14.0;18.0;2.0;65.0;25.0;40.0
1086;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2021 2nd quarter;69.0;22.0;47.0;3.0;28.0;13.0;15.0
1087;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2021 3rd quarter;62.0;26.0;36.0;1.0;37.0;18.0;19.0
1088;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2021 4th quarter;61.0;25.0;36.0;2.0;37.0;19.0;18.0
1089;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2021;60.0;32.0;27.0;2.0;38.0;23.0;16.0
1090;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2022 1st quarter;67.0;24.0;44.0;2.0;30.0;15.0;15.0
1091;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2022 2nd quarter;70.0;24.0;46.0;1.0;28.0;13.0;15.0
1092;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2022 3rd quarter;62.0;26.0;36.0;2.0;36.0;17.0;19.0
1093;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2022 4th quarter;55.0;27.0;28.0;2.0;42.0;21.0;22.0
1094;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2022;68.0;34.0;34.0;2.0;30.0;16.0;15.0
1095;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2023 1st quarter;57.0;26.0;31.0;2.0;41.0;19.0;22.0
1096;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2023 2nd quarter;40.0;19.0;21.0;2.0;57.0;32.0;26.0
1097;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2023 3rd quarter;42.0;20.0;22.0;2.0;57.0;29.0;27.0
1098;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2023 4th quarter;44.0;21.0;22.0;3.0;53.0;28.0;25.0
1099;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2023;45.0;29.0;17.0;3.0;52.0;32.0;20.0
1100;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2024 1st quarter;43.0;22.0;20.0;5.0;52.0;32.0;21.0
1101;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2024 2nd quarter;50.0;26.0;24.0;3.0;47.0;25.0;21.0
1102;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2024 3rd quarter;45.0;21.0;24.0;6.0;49.0;26.0;23.0
1103;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2024 4th quarter;46.0;23.0;22.0;3.0;52.0;29.0;23.0
1104;Total 1 or more employed persons;17-18 Manufacture of paper and printing;2024;;;;;;;
1105;Total 1 or more employed persons;17 Manufacture of paper ;2012 1st quarter;51.0;33.0;18.0;2.0;47.0;28.0;19.0
1106;Total 1 or more employed persons;17 Manufacture of paper ;2012 2nd quarter;45.0;29.0;16.0;3.0;52.0;38.0;14.0
1107;Total 1 or more employed persons;17 Manufacture of paper ;2012 3rd quarter;48.0;34.0;14.0;1.0;50.0;36.0;15.0
1108;Total 1 or more employed persons;17 Manufacture of paper ;2012 4th quarter;37.0;24.0;13.0;6.0;57.0;41.0;16.0
1109;Total 1 or more employed persons;17 Manufacture of paper ;2012;44.0;34.0;10.0;4.0;52.0;40.0;12.0
1110;Total 1 or more employed persons;17 Manufacture of paper ;2013 1st quarter;40.0;28.0;11.0;2.0;58.0;40.0;18.0
1111;Total 1 or more employed persons;17 Manufacture of paper ;2013 2nd quarter;42.0;33.0;9.0;3.0;55.0;41.0;13.0
1112;Total 1 or more employed persons;17 Manufacture of paper ;2013 3rd quarter;49.0;38.0;12.0;2.0;48.0;32.0;16.0
1113;Total 1 or more employed persons;17 Manufacture of paper ;2013 4th quarter;58.0;37.0;20.0;2.0;41.0;27.0;14.0
1114;Total 1 or more employed persons;17 Manufacture of paper ;2013;46.0;37.0;9.0;2.0;52.0;40.0;11.0
1115;Total 1 or more employed persons;17 Manufacture of paper ;2014 1st quarter;55.0;38.0;16.0;6.0;40.0;27.0;13.0
1116;Total 1 or more employed persons;17 Manufacture of paper ;2014 2nd quarter;58.0;41.0;17.0;4.0;37.0;23.0;14.0
1117;Total 1 or more employed persons;17 Manufacture of paper ;2014 3rd quarter;57.0;37.0;20.0;3.0;40.0;29.0;12.0
1118;Total 1 or more employed persons;17 Manufacture of paper ;2014 4th quarter;50.0;32.0;18.0;3.0;47.0;33.0;15.0
1119;Total 1 or more employed persons;17 Manufacture of paper ;2014;54.0;40.0;14.0;3.0;43.0;30.0;13.0
1120;Total 1 or more employed persons;17 Manufacture of paper ;2015 1st quarter;54.0;40.0;14.0;3.0;43.0;30.0;13.0
1121;Total 1 or more employed persons;17 Manufacture of paper ;2015 2nd quarter;55.0;41.0;14.0;6.0;39.0;28.0;11.0
1122;Total 1 or more employed persons;17 Manufacture of paper ;2015 3rd quarter;55.0;39.0;16.0;4.0;41.0;30.0;11.0
1123;Total 1 or more employed persons;17 Manufacture of paper ;2015 4th quarter;60.0;43.0;17.0;1.0;39.0;25.0;14.0
1124;Total 1 or more employed persons;17 Manufacture of paper ;2015;58.0;47.0;11.0;2.0;40.0;31.0;9.0
1125;Total 1 or more employed persons;17 Manufacture of paper ;2016 1st quarter;61.0;42.0;18.0;4.0;35.0;25.0;10.0
1126;Total 1 or more employed persons;17 Manufacture of paper ;2016 2nd quarter;57.0;40.0;17.0;3.0;40.0;28.0;12.0
1127;Total 1 or more employed persons;17 Manufacture of paper ;2016 3rd quarter;47.0;32.0;15.0;5.0;48.0;34.0;15.0
1128;Total 1 or more employed persons;17 Manufacture of paper ;2016 4th quarter;53.0;35.0;18.0;3.0;44.0;27.0;17.0
1129;Total 1 or more employed persons;17 Manufacture of paper ;2016;54.0;39.0;14.0;3.0;43.0;28.0;15.0
1130;Total 1 or more employed persons;17 Manufacture of paper ;2017 1st quarter;55.0;41.0;14.0;3.0;41.0;28.0;13.0
1131;Total 1 or more employed persons;17 Manufacture of paper ;2017 2nd quarter;50.0;33.0;17.0;3.0;47.0;34.0;13.0
1132;Total 1 or more employed persons;17 Manufacture of paper ;2017 3rd quarter;57.0;37.0;20.0;3.0;40.0;29.0;11.0
1133;Total 1 or more employed persons;17 Manufacture of paper ;2017 4th quarter;62.0;39.0;23.0;2.0;36.0;20.0;17.0
1134;Total 1 or more employed persons;17 Manufacture of paper ;2017;56.0;41.0;15.0;4.0;40.0;28.0;12.0
1135;Total 1 or more employed persons;17 Manufacture of paper ;2018 1st quarter;58.0;37.0;21.0;1.0;41.0;27.0;14.0
1136;Total 1 or more employed persons;17 Manufacture of paper ;2018 2nd quarter;60.0;40.0;19.0;3.0;38.0;23.0;14.0
1137;Total 1 or more employed persons;17 Manufacture of paper ;2018 3rd quarter;57.0;41.0;16.0;3.0;41.0;23.0;18.0
1138;Total 1 or more employed persons;17 Manufacture of paper ;2018 4th quarter;51.0;32.0;20.0;1.0;48.0;32.0;15.0
1139;Total 1 or more employed persons;17 Manufacture of paper ;2018;53.0;41.0;12.0;4.0;43.0;28.0;15.0
1140;Total 1 or more employed persons;17 Manufacture of paper ;2019 1st quarter;54.0;38.0;15.0;3.0;43.0;30.0;14.0
1141;Total 1 or more employed persons;17 Manufacture of paper ;2019 2nd quarter;50.0;35.0;15.0;2.0;48.0;33.0;15.0
1142;Total 1 or more employed persons;17 Manufacture of paper ;2019 3rd quarter;54.0;38.0;16.0;4.0;42.0;27.0;15.0
1143;Total 1 or more employed persons;17 Manufacture of paper ;2019 4th quarter;41.0;24.0;17.0;5.0;54.0;40.0;14.0
1144;Total 1 or more employed persons;17 Manufacture of paper ;2019;50.0;39.0;11.0;2.0;48.0;34.0;14.0
1145;Total 1 or more employed persons;17 Manufacture of paper ;2020 1st quarter;40.0;25.0;15.0;2.0;58.0;42.0;16.0
1146;Total 1 or more employed persons;17 Manufacture of paper ;2020 2nd quarter;28.0;16.0;12.0;3.0;69.0;39.0;30.0
1147;Total 1 or more employed persons;17 Manufacture of paper ;2020 3rd quarter;41.0;26.0;15.0;2.0;57.0;38.0;18.0
1148;Total 1 or more employed persons;17 Manufacture of paper ;2020 4th quarter;63.0;37.0;27.0;2.0;34.0;23.0;11.0
1149;Total 1 or more employed persons;17 Manufacture of paper ;2020;38.0;26.0;12.0;5.0;57.0;42.0;15.0
1150;Total 1 or more employed persons;17 Manufacture of paper ;2021 1st quarter;52.0;32.0;20.0;1.0;47.0;28.0;19.0
1151;Total 1 or more employed persons;17 Manufacture of paper ;2021 2nd quarter;79.0;36.0;43.0;2.0;18.0;10.0;8.0
1152;Total 1 or more employed persons;17 Manufacture of paper ;2021 3rd quarter;77.0;29.0;48.0;1.0;22.0;11.0;11.0
1153;Total 1 or more employed persons;17 Manufacture of paper ;2021 4th quarter;73.0;28.0;45.0;2.0;25.0;15.0;11.0
1154;Total 1 or more employed persons;17 Manufacture of paper ;2021;74.0;39.0;35.0;3.0;23.0;16.0;7.0
1155;Total 1 or more employed persons;17 Manufacture of paper ;2022 1st quarter;82.0;26.0;56.0;3.0;16.0;9.0;7.0
1156;Total 1 or more employed persons;17 Manufacture of paper ;2022 2nd quarter;78.0;37.0;41.0;1.0;22.0;13.0;8.0
1157;Total 1 or more employed persons;17 Manufacture of paper ;2022 3rd quarter;68.0;34.0;35.0;2.0;30.0;15.0;15.0
1158;Total 1 or more employed persons;17 Manufacture of paper ;2022 4th quarter;66.0;41.0;26.0;1.0;33.0;17.0;15.0
1159;Total 1 or more employed persons;17 Manufacture of paper ;2022;74.0;40.0;34.0;3.0;23.0;11.0;12.0
1160;Total 1 or more employed persons;17 Manufacture of paper ;2023 1st quarter;54.0;34.0;19.0;3.0;43.0;28.0;15.0
1161;Total 1 or more employed persons;17 Manufacture of paper ;2023 2nd quarter;41.0;24.0;17.0;3.0;56.0;31.0;25.0
1162;Total 1 or more employed persons;17 Manufacture of paper ;2023 3rd quarter;30.0;15.0;14.0;1.0;69.0;40.0;30.0
1163;Total 1 or more employed persons;17 Manufacture of paper ;2023 4th quarter;33.0;20.0;13.0;2.0;65.0;37.0;28.0
1164;Total 1 or more employed persons;17 Manufacture of paper ;2023;40.0;27.0;13.0;2.0;57.0;38.0;20.0
1165;Total 1 or more employed persons;17 Manufacture of paper ;2024 1st quarter;34.0;18.0;16.0;3.0;63.0;44.0;19.0
1166;Total 1 or more employed persons;17 Manufacture of paper ;2024 2nd quarter;42.0;26.0;16.0;4.0;53.0;40.0;13.0
1167;Total 1 or more employed persons;17 Manufacture of paper ;2024 3rd quarter;54.0;32.0;21.0;7.0;40.0;26.0;14.0
1168;Total 1 or more employed persons;17 Manufacture of paper ;2024 4th quarter;55.0;36.0;19.0;4.0;41.0;26.0;15.0
1169;Total 1 or more employed persons;17 Manufacture of paper ;2024;;;;;;;
1170;Total 1 or more employed persons;18 Printing and reproduction;2012 1st quarter;41.0;21.0;20.0;2.0;57.0;28.0;28.0
1171;Total 1 or more employed persons;18 Printing and reproduction;2012 2nd quarter;39.0;18.0;21.0;2.0;59.0;28.0;31.0
1172;Total 1 or more employed persons;18 Printing and reproduction;2012 3rd quarter;42.0;19.0;22.0;2.0;57.0;28.0;29.0
1173;Total 1 or more employed persons;18 Printing and reproduction;2012 4th quarter;33.0;15.0;18.0;1.0;66.0;32.0;34.0
1174;Total 1 or more employed persons;18 Printing and reproduction;2012;32.0;18.0;14.0;2.0;66.0;40.0;26.0
