ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
2301;P2 Intermediate consumption;Local intergovernmental organisations;2002;456
2302;P2 Intermediate consumption;Local intergovernmental organisations;2003 1st quarter;120
2303;P2 Intermediate consumption;Local intergovernmental organisations;2003 2nd quarter;116
2304;P2 Intermediate consumption;Local intergovernmental organisations;2003 3rd quarter;120
2305;P2 Intermediate consumption;Local intergovernmental organisations;2003 4th quarter;139
2306;P2 Intermediate consumption;Local intergovernmental organisations;2003;495
2307;P2 Intermediate consumption;Local intergovernmental organisations;2004 1st quarter;126
2308;P2 Intermediate consumption;Local intergovernmental organisations;2004 2nd quarter;121
2309;P2 Intermediate consumption;Local intergovernmental organisations;2004 3rd quarter;123
2310;P2 Intermediate consumption;Local intergovernmental organisations;2004 4th quarter;150
2311;P2 Intermediate consumption;Local intergovernmental organisations;2004;520
2312;P2 Intermediate consumption;Local intergovernmental organisations;2005 1st quarter;139
2313;P2 Intermediate consumption;Local intergovernmental organisations;2005 2nd quarter;135
2314;P2 Intermediate consumption;Local intergovernmental organisations;2005 3rd quarter;138
2315;P2 Intermediate consumption;Local intergovernmental organisations;2005 4th quarter;168
2316;P2 Intermediate consumption;Local intergovernmental organisations;2005;580
2317;P2 Intermediate consumption;Local intergovernmental organisations;2006 1st quarter;145
2318;P2 Intermediate consumption;Local intergovernmental organisations;2006 2nd quarter;142
2319;P2 Intermediate consumption;Local intergovernmental organisations;2006 3rd quarter;145
2320;P2 Intermediate consumption;Local intergovernmental organisations;2006 4th quarter;170
2321;P2 Intermediate consumption;Local intergovernmental organisations;2006;602
2322;P2 Intermediate consumption;Local intergovernmental organisations;2007 1st quarter;190
2323;P2 Intermediate consumption;Local intergovernmental organisations;2007 2nd quarter;187
2324;P2 Intermediate consumption;Local intergovernmental organisations;2007 3rd quarter;191
2325;P2 Intermediate consumption;Local intergovernmental organisations;2007 4th quarter;223
2326;P2 Intermediate consumption;Local intergovernmental organisations;2007;791
2327;P2 Intermediate consumption;Local intergovernmental organisations;2008 1st quarter;204
2328;P2 Intermediate consumption;Local intergovernmental organisations;2008 2nd quarter;204
2329;P2 Intermediate consumption;Local intergovernmental organisations;2008 3rd quarter;206
2330;P2 Intermediate consumption;Local intergovernmental organisations;2008 4th quarter;243
2331;P2 Intermediate consumption;Local intergovernmental organisations;2008;857
2332;P2 Intermediate consumption;Local intergovernmental organisations;2009 1st quarter;216
2333;P2 Intermediate consumption;Local intergovernmental organisations;2009 2nd quarter;213
2334;P2 Intermediate consumption;Local intergovernmental organisations;2009 3rd quarter;215
2335;P2 Intermediate consumption;Local intergovernmental organisations;2009 4th quarter;255
2336;P2 Intermediate consumption;Local intergovernmental organisations;2009;899
2337;P2 Intermediate consumption;Local intergovernmental organisations;2010 1st quarter;225
2338;P2 Intermediate consumption;Local intergovernmental organisations;2010 2nd quarter;241
2339;P2 Intermediate consumption;Local intergovernmental organisations;2010 3rd quarter;229
2340;P2 Intermediate consumption;Local intergovernmental organisations;2010 4th quarter;261
2341;P2 Intermediate consumption;Local intergovernmental organisations;2010;956
2342;P2 Intermediate consumption;Local intergovernmental organisations;2011 1st quarter;241
2343;P2 Intermediate consumption;Local intergovernmental organisations;2011 2nd quarter;253
2344;P2 Intermediate consumption;Local intergovernmental organisations;2011 3rd quarter;240
2345;P2 Intermediate consumption;Local intergovernmental organisations;2011 4th quarter;285
2346;P2 Intermediate consumption;Local intergovernmental organisations;2011;1019
2347;P2 Intermediate consumption;Local intergovernmental organisations;2012 1st quarter;273
2348;P2 Intermediate consumption;Local intergovernmental organisations;2012 2nd quarter;277
2349;P2 Intermediate consumption;Local intergovernmental organisations;2012 3rd quarter;261
2350;P2 Intermediate consumption;Local intergovernmental organisations;2012 4th quarter;293
2351;P2 Intermediate consumption;Local intergovernmental organisations;2012;1104
2352;P2 Intermediate consumption;Local intergovernmental organisations;2013 1st quarter;383
2353;P2 Intermediate consumption;Local intergovernmental organisations;2013 2nd quarter;387
2354;P2 Intermediate consumption;Local intergovernmental organisations;2013 3rd quarter;369
2355;P2 Intermediate consumption;Local intergovernmental organisations;2013 4th quarter;407
2356;P2 Intermediate consumption;Local intergovernmental organisations;2013;1546
2357;P2 Intermediate consumption;Local intergovernmental organisations;2014 1st quarter;417
2358;P2 Intermediate consumption;Local intergovernmental organisations;2014 2nd quarter;429
2359;P2 Intermediate consumption;Local intergovernmental organisations;2014 3rd quarter;409
2360;P2 Intermediate consumption;Local intergovernmental organisations;2014 4th quarter;441
2361;P2 Intermediate consumption;Local intergovernmental organisations;2014;1696
2362;P2 Intermediate consumption;Local intergovernmental organisations;2015 1st quarter;500
2363;P2 Intermediate consumption;Local intergovernmental organisations;2015 2nd quarter;534
2364;P2 Intermediate consumption;Local intergovernmental organisations;2015 3rd quarter;485
2365;P2 Intermediate consumption;Local intergovernmental organisations;2015 4th quarter;510
2366;P2 Intermediate consumption;Local intergovernmental organisations;2015;2029
2367;P2 Intermediate consumption;Local intergovernmental organisations;2016 1st quarter;524
2368;P2 Intermediate consumption;Local intergovernmental organisations;2016 2nd quarter;563
2369;P2 Intermediate consumption;Local intergovernmental organisations;2016 3rd quarter;493
2370;P2 Intermediate consumption;Local intergovernmental organisations;2016 4th quarter;540
2371;P2 Intermediate consumption;Local intergovernmental organisations;2016;2120
2372;P2 Intermediate consumption;Local intergovernmental organisations;2017 1st quarter;561
2373;P2 Intermediate consumption;Local intergovernmental organisations;2017 2nd quarter;595
2374;P2 Intermediate consumption;Local intergovernmental organisations;2017 3rd quarter;534
2375;P2 Intermediate consumption;Local intergovernmental organisations;2017 4th quarter;568
2376;P2 Intermediate consumption;Local intergovernmental organisations;2017;2258
2377;P2 Intermediate consumption;Local intergovernmental organisations;2018 1st quarter;558
2378;P2 Intermediate consumption;Local intergovernmental organisations;2018 2nd quarter;583
2379;P2 Intermediate consumption;Local intergovernmental organisations;2018 3rd quarter;514
2380;P2 Intermediate consumption;Local intergovernmental organisations;2018 4th quarter;539
2381;P2 Intermediate consumption;Local intergovernmental organisations;2018;2194
2382;P2 Intermediate consumption;Local intergovernmental organisations;2019 1st quarter;609
2383;P2 Intermediate consumption;Local intergovernmental organisations;2019 2nd quarter;599
2384;P2 Intermediate consumption;Local intergovernmental organisations;2019 3rd quarter;543
2385;P2 Intermediate consumption;Local intergovernmental organisations;2019 4th quarter;548
2386;P2 Intermediate consumption;Local intergovernmental organisations;2019;2299
2387;P2 Intermediate consumption;Local intergovernmental organisations;2020 1st quarter;682
2388;P2 Intermediate consumption;Local intergovernmental organisations;2020 2nd quarter;680
2389;P2 Intermediate consumption;Local intergovernmental organisations;2020 3rd quarter;646
2390;P2 Intermediate consumption;Local intergovernmental organisations;2020 4th quarter;737
2391;P2 Intermediate consumption;Local intergovernmental organisations;2020;2745
2392;P2 Intermediate consumption;Local intergovernmental organisations;2021 1st quarter;910
2393;P2 Intermediate consumption;Local intergovernmental organisations;2021 2nd quarter;1041
2394;P2 Intermediate consumption;Local intergovernmental organisations;2021 3rd quarter;970
2395;P2 Intermediate consumption;Local intergovernmental organisations;2021 4th quarter;908
2396;P2 Intermediate consumption;Local intergovernmental organisations;2021;3829
2397;P2 Intermediate consumption;Local intergovernmental organisations;2022 1st quarter;963
2398;P2 Intermediate consumption;Local intergovernmental organisations;2022 2nd quarter;1021
2399;P2 Intermediate consumption;Local intergovernmental organisations;2022 3rd quarter;844
2400;P2 Intermediate consumption;Local intergovernmental organisations;2022 4th quarter;760
2401;P2 Intermediate consumption;Local intergovernmental organisations;2022;3588
2402;P2 Intermediate consumption;Local intergovernmental organisations;2023 1st quarter;792
2403;P2 Intermediate consumption;Local intergovernmental organisations;2023 2nd quarter;763
2404;P2 Intermediate consumption;Local intergovernmental organisations;2023 3rd quarter;761
2405;P2 Intermediate consumption;Local intergovernmental organisations;2023 4th quarter;874
2406;P2 Intermediate consumption;Local intergovernmental organisations;2023;3190
2407;P2 Intermediate consumption;Local intergovernmental organisations;2024 1st quarter;741
2408;P2 Intermediate consumption;Local intergovernmental organisations;2024 2nd quarter;713
2409;P2 Intermediate consumption;Local intergovernmental organisations;2024 3rd quarter;698
2410;P2 Intermediate consumption;Local intergovernmental organisations;2024 4th quarter;793
2411;P2 Intermediate consumption;Local intergovernmental organisations;2024;2945
2412;P2 Intermediate consumption;Provinces;1995;581
2413;P2 Intermediate consumption;Provinces;1996;577
2414;P2 Intermediate consumption;Provinces;1997;552
2415;P2 Intermediate consumption;Provinces;1998;539
2416;P2 Intermediate consumption;Provinces;1999 1st quarter;136
2417;P2 Intermediate consumption;Provinces;1999 2nd quarter;139
2418;P2 Intermediate consumption;Provinces;1999 3rd quarter;133
2419;P2 Intermediate consumption;Provinces;1999 4th quarter;159
2420;P2 Intermediate consumption;Provinces;1999;567
2421;P2 Intermediate consumption;Provinces;2000 1st quarter;130
2422;P2 Intermediate consumption;Provinces;2000 2nd quarter;134
2423;P2 Intermediate consumption;Provinces;2000 3rd quarter;129
2424;P2 Intermediate consumption;Provinces;2000 4th quarter;164
2425;P2 Intermediate consumption;Provinces;2000;557
2426;P2 Intermediate consumption;Provinces;2001 1st quarter;147
2427;P2 Intermediate consumption;Provinces;2001 2nd quarter;152
2428;P2 Intermediate consumption;Provinces;2001 3rd quarter;148
2429;P2 Intermediate consumption;Provinces;2001 4th quarter;173
2430;P2 Intermediate consumption;Provinces;2001;620
2431;P2 Intermediate consumption;Provinces;2002 1st quarter;164
2432;P2 Intermediate consumption;Provinces;2002 2nd quarter;167
2433;P2 Intermediate consumption;Provinces;2002 3rd quarter;162
2434;P2 Intermediate consumption;Provinces;2002 4th quarter;193
2435;P2 Intermediate consumption;Provinces;2002;686
2436;P2 Intermediate consumption;Provinces;2003 1st quarter;194
2437;P2 Intermediate consumption;Provinces;2003 2nd quarter;199
2438;P2 Intermediate consumption;Provinces;2003 3rd quarter;192
2439;P2 Intermediate consumption;Provinces;2003 4th quarter;229
2440;P2 Intermediate consumption;Provinces;2003;814
2441;P2 Intermediate consumption;Provinces;2004 1st quarter;223
2442;P2 Intermediate consumption;Provinces;2004 2nd quarter;226
2443;P2 Intermediate consumption;Provinces;2004 3rd quarter;219
2444;P2 Intermediate consumption;Provinces;2004 4th quarter;259
2445;P2 Intermediate consumption;Provinces;2004;927
2446;P2 Intermediate consumption;Provinces;2005 1st quarter;226
2447;P2 Intermediate consumption;Provinces;2005 2nd quarter;232
2448;P2 Intermediate consumption;Provinces;2005 3rd quarter;225
2449;P2 Intermediate consumption;Provinces;2005 4th quarter;264
2450;P2 Intermediate consumption;Provinces;2005;947
2451;P2 Intermediate consumption;Provinces;2006 1st quarter;221
2452;P2 Intermediate consumption;Provinces;2006 2nd quarter;228
2453;P2 Intermediate consumption;Provinces;2006 3rd quarter;220
2454;P2 Intermediate consumption;Provinces;2006 4th quarter;261
2455;P2 Intermediate consumption;Provinces;2006;930
2456;P2 Intermediate consumption;Provinces;2007 1st quarter;229
2457;P2 Intermediate consumption;Provinces;2007 2nd quarter;235
2458;P2 Intermediate consumption;Provinces;2007 3rd quarter;228
2459;P2 Intermediate consumption;Provinces;2007 4th quarter;270
2460;P2 Intermediate consumption;Provinces;2007;962
2461;P2 Intermediate consumption;Provinces;2008 1st quarter;238
2462;P2 Intermediate consumption;Provinces;2008 2nd quarter;247
2463;P2 Intermediate consumption;Provinces;2008 3rd quarter;237
2464;P2 Intermediate consumption;Provinces;2008 4th quarter;276
2465;P2 Intermediate consumption;Provinces;2008;998
2466;P2 Intermediate consumption;Provinces;2009 1st quarter;262
2467;P2 Intermediate consumption;Provinces;2009 2nd quarter;267
2468;P2 Intermediate consumption;Provinces;2009 3rd quarter;267
2469;P2 Intermediate consumption;Provinces;2009 4th quarter;324
2470;P2 Intermediate consumption;Provinces;2009;1120
2471;P2 Intermediate consumption;Provinces;2010 1st quarter;283
2472;P2 Intermediate consumption;Provinces;2010 2nd quarter;283
2473;P2 Intermediate consumption;Provinces;2010 3rd quarter;272
2474;P2 Intermediate consumption;Provinces;2010 4th quarter;323
2475;P2 Intermediate consumption;Provinces;2010;1161
2476;P2 Intermediate consumption;Provinces;2011 1st quarter;249
2477;P2 Intermediate consumption;Provinces;2011 2nd quarter;256
2478;P2 Intermediate consumption;Provinces;2011 3rd quarter;247
2479;P2 Intermediate consumption;Provinces;2011 4th quarter;300
2480;P2 Intermediate consumption;Provinces;2011;1052
2481;P2 Intermediate consumption;Provinces;2012 1st quarter;232
2482;P2 Intermediate consumption;Provinces;2012 2nd quarter;235
2483;P2 Intermediate consumption;Provinces;2012 3rd quarter;230
2484;P2 Intermediate consumption;Provinces;2012 4th quarter;271
2485;P2 Intermediate consumption;Provinces;2012;968
2486;P2 Intermediate consumption;Provinces;2013 1st quarter;237
2487;P2 Intermediate consumption;Provinces;2013 2nd quarter;243
2488;P2 Intermediate consumption;Provinces;2013 3rd quarter;234
2489;P2 Intermediate consumption;Provinces;2013 4th quarter;274
2490;P2 Intermediate consumption;Provinces;2013;988
2491;P2 Intermediate consumption;Provinces;2014 1st quarter;229
2492;P2 Intermediate consumption;Provinces;2014 2nd quarter;234
2493;P2 Intermediate consumption;Provinces;2014 3rd quarter;224
2494;P2 Intermediate consumption;Provinces;2014 4th quarter;255
2495;P2 Intermediate consumption;Provinces;2014;942
2496;P2 Intermediate consumption;Provinces;2015 1st quarter;273
2497;P2 Intermediate consumption;Provinces;2015 2nd quarter;275
2498;P2 Intermediate consumption;Provinces;2015 3rd quarter;275
2499;P2 Intermediate consumption;Provinces;2015 4th quarter;275
2500;P2 Intermediate consumption;Provinces;2015;1098
2501;P2 Intermediate consumption;Provinces;2016 1st quarter;278
2502;P2 Intermediate consumption;Provinces;2016 2nd quarter;282
2503;P2 Intermediate consumption;Provinces;2016 3rd quarter;273
2504;P2 Intermediate consumption;Provinces;2016 4th quarter;294
2505;P2 Intermediate consumption;Provinces;2016;1127
2506;P2 Intermediate consumption;Provinces;2017 1st quarter;310
2507;P2 Intermediate consumption;Provinces;2017 2nd quarter;312
2508;P2 Intermediate consumption;Provinces;2017 3rd quarter;300
2509;P2 Intermediate consumption;Provinces;2017 4th quarter;304
2510;P2 Intermediate consumption;Provinces;2017;1226
2511;P2 Intermediate consumption;Provinces;2018 1st quarter;310
2512;P2 Intermediate consumption;Provinces;2018 2nd quarter;315
2513;P2 Intermediate consumption;Provinces;2018 3rd quarter;318
2514;P2 Intermediate consumption;Provinces;2018 4th quarter;309
2515;P2 Intermediate consumption;Provinces;2018;1252
2516;P2 Intermediate consumption;Provinces;2019 1st quarter;328
2517;P2 Intermediate consumption;Provinces;2019 2nd quarter;337
2518;P2 Intermediate consumption;Provinces;2019 3rd quarter;338
2519;P2 Intermediate consumption;Provinces;2019 4th quarter;328
2520;P2 Intermediate consumption;Provinces;2019;1331
2521;P2 Intermediate consumption;Provinces;2020 1st quarter;333
2522;P2 Intermediate consumption;Provinces;2020 2nd quarter;327
2523;P2 Intermediate consumption;Provinces;2020 3rd quarter;333
2524;P2 Intermediate consumption;Provinces;2020 4th quarter;330
2525;P2 Intermediate consumption;Provinces;2020;1323
2526;P2 Intermediate consumption;Provinces;2021 1st quarter;332
2527;P2 Intermediate consumption;Provinces;2021 2nd quarter;349
2528;P2 Intermediate consumption;Provinces;2021 3rd quarter;326
2529;P2 Intermediate consumption;Provinces;2021 4th quarter;332
2530;P2 Intermediate consumption;Provinces;2021;1339
2531;P2 Intermediate consumption;Provinces;2022 1st quarter;357
2532;P2 Intermediate consumption;Provinces;2022 2nd quarter;404
2533;P2 Intermediate consumption;Provinces;2022 3rd quarter;389
2534;P2 Intermediate consumption;Provinces;2022 4th quarter;319
2535;P2 Intermediate consumption;Provinces;2022;1469
2536;P2 Intermediate consumption;Provinces;2023 1st quarter;381
2537;P2 Intermediate consumption;Provinces;2023 2nd quarter;378
2538;P2 Intermediate consumption;Provinces;2023 3rd quarter;387
2539;P2 Intermediate consumption;Provinces;2023 4th quarter;374
2540;P2 Intermediate consumption;Provinces;2023;1520
2541;P2 Intermediate consumption;Provinces;2024 1st quarter;387
2542;P2 Intermediate consumption;Provinces;2024 2nd quarter;389
2543;P2 Intermediate consumption;Provinces;2024 3rd quarter;386
2544;P2 Intermediate consumption;Provinces;2024 4th quarter;374
2545;P2 Intermediate consumption;Provinces;2024;1536
2546;P2 Intermediate consumption;Public water boards;1995;454
2547;P2 Intermediate consumption;Public water boards;1996;449
2548;P2 Intermediate consumption;Public water boards;1997;462
2549;P2 Intermediate consumption;Public water boards;1998;547
2550;P2 Intermediate consumption;Public water boards;1999 1st quarter;138
2551;P2 Intermediate consumption;Public water boards;1999 2nd quarter;142
2552;P2 Intermediate consumption;Public water boards;1999 3rd quarter;135
2553;P2 Intermediate consumption;Public water boards;1999 4th quarter;164
2554;P2 Intermediate consumption;Public water boards;1999;579
2555;P2 Intermediate consumption;Public water boards;2000 1st quarter;153
2556;P2 Intermediate consumption;Public water boards;2000 2nd quarter;155
2557;P2 Intermediate consumption;Public water boards;2000 3rd quarter;150
2558;P2 Intermediate consumption;Public water boards;2000 4th quarter;183
2559;P2 Intermediate consumption;Public water boards;2000;641
2560;P2 Intermediate consumption;Public water boards;2001 1st quarter;134
2561;P2 Intermediate consumption;Public water boards;2001 2nd quarter;136
2562;P2 Intermediate consumption;Public water boards;2001 3rd quarter;133
2563;P2 Intermediate consumption;Public water boards;2001 4th quarter;165
2564;P2 Intermediate consumption;Public water boards;2001;568
2565;P2 Intermediate consumption;Public water boards;2002 1st quarter;158
2566;P2 Intermediate consumption;Public water boards;2002 2nd quarter;160
2567;P2 Intermediate consumption;Public water boards;2002 3rd quarter;158
2568;P2 Intermediate consumption;Public water boards;2002 4th quarter;191
2569;P2 Intermediate consumption;Public water boards;2002;667
2570;P2 Intermediate consumption;Public water boards;2003 1st quarter;205
2571;P2 Intermediate consumption;Public water boards;2003 2nd quarter;209
2572;P2 Intermediate consumption;Public water boards;2003 3rd quarter;201
2573;P2 Intermediate consumption;Public water boards;2003 4th quarter;242
2574;P2 Intermediate consumption;Public water boards;2003;857
2575;P2 Intermediate consumption;Public water boards;2004 1st quarter;208
2576;P2 Intermediate consumption;Public water boards;2004 2nd quarter;212
2577;P2 Intermediate consumption;Public water boards;2004 3rd quarter;204
2578;P2 Intermediate consumption;Public water boards;2004 4th quarter;242
2579;P2 Intermediate consumption;Public water boards;2004;866
2580;P2 Intermediate consumption;Public water boards;2005 1st quarter;204
2581;P2 Intermediate consumption;Public water boards;2005 2nd quarter;212
2582;P2 Intermediate consumption;Public water boards;2005 3rd quarter;204
2583;P2 Intermediate consumption;Public water boards;2005 4th quarter;244
2584;P2 Intermediate consumption;Public water boards;2005;864
2585;P2 Intermediate consumption;Public water boards;2006 1st quarter;188
2586;P2 Intermediate consumption;Public water boards;2006 2nd quarter;190
2587;P2 Intermediate consumption;Public water boards;2006 3rd quarter;179
2588;P2 Intermediate consumption;Public water boards;2006 4th quarter;221
2589;P2 Intermediate consumption;Public water boards;2006;778
2590;P2 Intermediate consumption;Public water boards;2007 1st quarter;190
2591;P2 Intermediate consumption;Public water boards;2007 2nd quarter;193
2592;P2 Intermediate consumption;Public water boards;2007 3rd quarter;180
2593;P2 Intermediate consumption;Public water boards;2007 4th quarter;230
2594;P2 Intermediate consumption;Public water boards;2007;793
2595;P2 Intermediate consumption;Public water boards;2008 1st quarter;191
2596;P2 Intermediate consumption;Public water boards;2008 2nd quarter;192
2597;P2 Intermediate consumption;Public water boards;2008 3rd quarter;182
2598;P2 Intermediate consumption;Public water boards;2008 4th quarter;235
2599;P2 Intermediate consumption;Public water boards;2008;800
2600;P2 Intermediate consumption;Public water boards;2009 1st quarter;214
2601;P2 Intermediate consumption;Public water boards;2009 2nd quarter;217
2602;P2 Intermediate consumption;Public water boards;2009 3rd quarter;210
2603;P2 Intermediate consumption;Public water boards;2009 4th quarter;263
2604;P2 Intermediate consumption;Public water boards;2009;904
2605;P2 Intermediate consumption;Public water boards;2010 1st quarter;218
2606;P2 Intermediate consumption;Public water boards;2010 2nd quarter;226
2607;P2 Intermediate consumption;Public water boards;2010 3rd quarter;222
2608;P2 Intermediate consumption;Public water boards;2010 4th quarter;264
2609;P2 Intermediate consumption;Public water boards;2010;930
2610;P2 Intermediate consumption;Public water boards;2011 1st quarter;231
2611;P2 Intermediate consumption;Public water boards;2011 2nd quarter;239
2612;P2 Intermediate consumption;Public water boards;2011 3rd quarter;234
2613;P2 Intermediate consumption;Public water boards;2011 4th quarter;290
2614;P2 Intermediate consumption;Public water boards;2011;994
2615;P2 Intermediate consumption;Public water boards;2012 1st quarter;249
2616;P2 Intermediate consumption;Public water boards;2012 2nd quarter;252
2617;P2 Intermediate consumption;Public water boards;2012 3rd quarter;246
2618;P2 Intermediate consumption;Public water boards;2012 4th quarter;297
2619;P2 Intermediate consumption;Public water boards;2012;1044
2620;P2 Intermediate consumption;Public water boards;2013 1st quarter;251
2621;P2 Intermediate consumption;Public water boards;2013 2nd quarter;261
2622;P2 Intermediate consumption;Public water boards;2013 3rd quarter;252
2623;P2 Intermediate consumption;Public water boards;2013 4th quarter;297
2624;P2 Intermediate consumption;Public water boards;2013;1061
2625;P2 Intermediate consumption;Public water boards;2014 1st quarter;244
2626;P2 Intermediate consumption;Public water boards;2014 2nd quarter;255
2627;P2 Intermediate consumption;Public water boards;2014 3rd quarter;254
2628;P2 Intermediate consumption;Public water boards;2014 4th quarter;295
2629;P2 Intermediate consumption;Public water boards;2014;1048
2630;P2 Intermediate consumption;Public water boards;2015 1st quarter;280
2631;P2 Intermediate consumption;Public water boards;2015 2nd quarter;278
2632;P2 Intermediate consumption;Public water boards;2015 3rd quarter;276
2633;P2 Intermediate consumption;Public water boards;2015 4th quarter;280
2634;P2 Intermediate consumption;Public water boards;2015;1114
2635;P2 Intermediate consumption;Public water boards;2016 1st quarter;270
2636;P2 Intermediate consumption;Public water boards;2016 2nd quarter;262
2637;P2 Intermediate consumption;Public water boards;2016 3rd quarter;259
2638;P2 Intermediate consumption;Public water boards;2016 4th quarter;273
2639;P2 Intermediate consumption;Public water boards;2016;1064
2640;P2 Intermediate consumption;Public water boards;2017 1st quarter;265
2641;P2 Intermediate consumption;Public water boards;2017 2nd quarter;266
2642;P2 Intermediate consumption;Public water boards;2017 3rd quarter;254
2643;P2 Intermediate consumption;Public water boards;2017 4th quarter;256
2644;P2 Intermediate consumption;Public water boards;2017;1041
2645;P2 Intermediate consumption;Public water boards;2018 1st quarter;265
2646;P2 Intermediate consumption;Public water boards;2018 2nd quarter;267
2647;P2 Intermediate consumption;Public water boards;2018 3rd quarter;269
2648;P2 Intermediate consumption;Public water boards;2018 4th quarter;263
2649;P2 Intermediate consumption;Public water boards;2018;1064
2650;P2 Intermediate consumption;Public water boards;2019 1st quarter;291
2651;P2 Intermediate consumption;Public water boards;2019 2nd quarter;292
2652;P2 Intermediate consumption;Public water boards;2019 3rd quarter;293
2653;P2 Intermediate consumption;Public water boards;2019 4th quarter;291
2654;P2 Intermediate consumption;Public water boards;2019;1167
2655;P2 Intermediate consumption;Public water boards;2020 1st quarter;324
2656;P2 Intermediate consumption;Public water boards;2020 2nd quarter;314
2657;P2 Intermediate consumption;Public water boards;2020 3rd quarter;323
2658;P2 Intermediate consumption;Public water boards;2020 4th quarter;322
2659;P2 Intermediate consumption;Public water boards;2020;1283
2660;P2 Intermediate consumption;Public water boards;2021 1st quarter;335
2661;P2 Intermediate consumption;Public water boards;2021 2nd quarter;357
2662;P2 Intermediate consumption;Public water boards;2021 3rd quarter;333
2663;P2 Intermediate consumption;Public water boards;2021 4th quarter;338
2664;P2 Intermediate consumption;Public water boards;2021;1363
2665;P2 Intermediate consumption;Public water boards;2022 1st quarter;340
2666;P2 Intermediate consumption;Public water boards;2022 2nd quarter;386
2667;P2 Intermediate consumption;Public water boards;2022 3rd quarter;356
2668;P2 Intermediate consumption;Public water boards;2022 4th quarter;292
2669;P2 Intermediate consumption;Public water boards;2022;1374
2670;P2 Intermediate consumption;Public water boards;2023 1st quarter;360
2671;P2 Intermediate consumption;Public water boards;2023 2nd quarter;380
2672;P2 Intermediate consumption;Public water boards;2023 3rd quarter;360
2673;P2 Intermediate consumption;Public water boards;2023 4th quarter;351
2674;P2 Intermediate consumption;Public water boards;2023;1451
2675;P2 Intermediate consumption;Public water boards;2024 1st quarter;405
2676;P2 Intermediate consumption;Public water boards;2024 2nd quarter;415
2677;P2 Intermediate consumption;Public water boards;2024 3rd quarter;425
2678;P2 Intermediate consumption;Public water boards;2024 4th quarter;404
2679;P2 Intermediate consumption;Public water boards;2024;1649
2680;P2 Intermediate consumption;Other local government;1995;3856
2681;P2 Intermediate consumption;Other local government;1996;3744
2682;P2 Intermediate consumption;Other local government;1997;4462
2683;P2 Intermediate consumption;Other local government;1998;4579
2684;P2 Intermediate consumption;Other local government;1999 1st quarter;1096
2685;P2 Intermediate consumption;Other local government;1999 2nd quarter;1218
2686;P2 Intermediate consumption;Other local government;1999 3rd quarter;1145
2687;P2 Intermediate consumption;Other local government;1999 4th quarter;1286
2688;P2 Intermediate consumption;Other local government;1999;4745
2689;P2 Intermediate consumption;Other local government;2000 1st quarter;1120
2690;P2 Intermediate consumption;Other local government;2000 2nd quarter;1244
2691;P2 Intermediate consumption;Other local government;2000 3rd quarter;1166
2692;P2 Intermediate consumption;Other local government;2000 4th quarter;1344
2693;P2 Intermediate consumption;Other local government;2000;4874
2694;P2 Intermediate consumption;Other local government;2001 1st quarter;1223
2695;P2 Intermediate consumption;Other local government;2001 2nd quarter;1358
2696;P2 Intermediate consumption;Other local government;2001 3rd quarter;1257
2697;P2 Intermediate consumption;Other local government;2001 4th quarter;1421
2698;P2 Intermediate consumption;Other local government;2001;5259
2699;P2 Intermediate consumption;Other local government;2002 1st quarter;1329
2700;P2 Intermediate consumption;Other local government;2002 2nd quarter;1449
2701;P2 Intermediate consumption;Other local government;2002 3rd quarter;1367
2702;P2 Intermediate consumption;Other local government;2002 4th quarter;1524
2703;P2 Intermediate consumption;Other local government;2002;5669
2704;P2 Intermediate consumption;Other local government;2003 1st quarter;1444
2705;P2 Intermediate consumption;Other local government;2003 2nd quarter;1557
2706;P2 Intermediate consumption;Other local government;2003 3rd quarter;1485
2707;P2 Intermediate consumption;Other local government;2003 4th quarter;1631
2708;P2 Intermediate consumption;Other local government;2003;6117
2709;P2 Intermediate consumption;Other local government;2004 1st quarter;1617
2710;P2 Intermediate consumption;Other local government;2004 2nd quarter;1724
2711;P2 Intermediate consumption;Other local government;2004 3rd quarter;1650
2712;P2 Intermediate consumption;Other local government;2004 4th quarter;1783
2713;P2 Intermediate consumption;Other local government;2004;6774
2714;P2 Intermediate consumption;Other local government;2005 1st quarter;1745
2715;P2 Intermediate consumption;Other local government;2005 2nd quarter;1842
2716;P2 Intermediate consumption;Other local government;2005 3rd quarter;1773
2717;P2 Intermediate consumption;Other local government;2005 4th quarter;1910
2718;P2 Intermediate consumption;Other local government;2005;7270
2719;P2 Intermediate consumption;Other local government;2006 1st quarter;1804
2720;P2 Intermediate consumption;Other local government;2006 2nd quarter;1885
2721;P2 Intermediate consumption;Other local government;2006 3rd quarter;1829
2722;P2 Intermediate consumption;Other local government;2006 4th quarter;1950
2723;P2 Intermediate consumption;Other local government;2006;7468
2724;P2 Intermediate consumption;Other local government;2007 1st quarter;1997
2725;P2 Intermediate consumption;Other local government;2007 2nd quarter;2084
2726;P2 Intermediate consumption;Other local government;2007 3rd quarter;2020
2727;P2 Intermediate consumption;Other local government;2007 4th quarter;2149
2728;P2 Intermediate consumption;Other local government;2007;8250
2729;P2 Intermediate consumption;Other local government;2008 1st quarter;2000
2730;P2 Intermediate consumption;Other local government;2008 2nd quarter;2076
2731;P2 Intermediate consumption;Other local government;2008 3rd quarter;2023
