ID;HouseholdCharacteristics;Periods;NumberOfHouseholds_1;MeanDisposableIncome_2;MeanEquivalisedIncome_3;MeanExpenditures_4;MedianWealth_5;LowIncomeHouseholds_6;IncomeInequality_7;WealthInequality_8
302;Source: Student grant;2014;112.4;5.7;5.2;;0.1;;0.346;0.849
303;Source: Student grant;2015;112.3;6.0;5.4;16.7;0.3;;0.352;0.855
304;Source: Student grant;2016;91.6;5.7;5.2;;0.0;;0.405;0.87
305;Source: Student grant;2017;68.5;5.5;4.9;;-1.4;;0.462;0.846
306;Source: Student grant;2018;54.3;4.8;4.3;;-1.9;;0.558;0.863
307;Source: Student grant;2019;45.4;5.0;4.4;;-2.7;;0.604;0.867
308;Source: Student grant;2020;47.7;5.0;4.4;21.2;-3.0;;0.627;0.89
309;Source: Student grant;2021;41.2;5.6;4.8;;-2.9;;0.608;0.902
310;Source: Student grant;2022;19.0;9.4;8.2;;-1.7;;0.33;0.848
311;Source: Student grant;2023;39.1;6.4;5.7;;-1.0;;0.504;0.904
312;Home ownership: Owner-occupied home;2011;4160.8;47.0;31.3;;153.5;1.8;0.246;0.661
313;Home ownership: Owner-occupied home;2012;4195.2;47.3;31.6;;136.0;1.9;0.245;0.686
314;Home ownership: Owner-occupied home;2013;4226.7;47.7;31.9;;110.2;1.9;0.242;0.73
315;Home ownership: Owner-occupied home;2014;4254.4;50.6;33.9;;110.9;1.7;0.262;0.729
316;Home ownership: Owner-occupied home;2015;4287.0;49.8;33.4;41.3;120.0;1.6;0.24;0.722
317;Home ownership: Owner-occupied home;2016;4327.4;52.0;34.8;;127.8;1.3;0.24;0.71
318;Home ownership: Owner-occupied home;2017;4369.3;54.0;36.1;;142.8;1.2;0.249;0.695
319;Home ownership: Owner-occupied home;2018;4415.7;55.2;36.4;;162.1;1.1;0.242;0.675
320;Home ownership: Owner-occupied home;2019;4456.2;59.8;39.4;;185.2;1.0;0.266;0.647
321;Home ownership: Owner-occupied home;2020;4487.2;60.3;39.7;42.8;208.1;1.0;0.245;0.631
322;Home ownership: Owner-occupied home;2021;4514.5;63.0;41.5;;245.4;0.9;0.245;0.589
323;Home ownership: Owner-occupied home;2022;4566.1;66.3;43.8;;320.4;0.8;0.245;0.547
324;Home ownership: Owner-occupied home;2023;4583.6;71.4;47.1;;326.7;0.9;0.248;0.548
325;Home ownership: Rent;2011;3186.7;23.1;18.1;;2.6;14.2;0.25;0.869
326;Home ownership: Rent;2012;3216.9;23.1;18.2;;2.4;16.7;0.253;0.874
327;Home ownership: Rent;2013;3241.2;23.0;18.2;;1.8;18.9;0.254;0.887
328;Home ownership: Rent;2014;3242.0;23.7;18.7;;1.6;18.5;0.256;0.889
329;Home ownership: Rent;2015;3281.6;23.9;19.0;23.9;2.1;17.9;0.256;0.883
330;Home ownership: Rent;2016;3295.8;24.6;19.6;;2.0;17.5;0.258;0.886
331;Home ownership: Rent;2017;3325.6;25.2;20.0;;2.1;17.7;0.258;0.886
332;Home ownership: Rent;2018;3344.9;25.8;20.3;;2.1;17.6;0.255;0.887
333;Home ownership: Rent;2019;3371.2;27.1;21.3;;2.1;16.7;0.257;0.886
334;Home ownership: Rent;2020;3407.3;28.2;22.2;25.2;2.3;15.0;0.257;0.887
335;Home ownership: Rent;2021;3436.9;29.6;23.3;;3.2;14.0;0.258;0.875
336;Home ownership: Rent;2022;3475.3;31.4;24.8;;3.5;9.0;0.25;0.879
337;Home ownership: Rent;2023;3573.3;34.0;26.9;;3.8;7.9;0.247;0.884
338;Home ownership: Rent: no rent subsidy;2011;2063.3;25.8;20.1;;4.8;6.2;0.262;0.855
339;Home ownership: Rent: no rent subsidy;2012;2076.1;25.9;20.2;;4.5;7.0;0.265;0.858
340;Home ownership: Rent: no rent subsidy;2013;2114.7;25.7;20.1;;3.4;8.5;0.268;0.87
341;Home ownership: Rent: no rent subsidy;2014;2017.4;26.9;21.0;;3.4;7.1;0.273;0.871
342;Home ownership: Rent: no rent subsidy;2015;2014.0;27.2;21.3;29.7;4.5;6.8;0.276;0.866
343;Home ownership: Rent: no rent subsidy;2016;2017.9;28.1;22.1;;4.4;6.5;0.276;0.868
344;Home ownership: Rent: no rent subsidy;2017;2035.5;28.8;22.6;;4.6;6.5;0.276;0.868
345;Home ownership: Rent: no rent subsidy;2018;2054.1;29.5;22.9;;4.3;6.2;0.27;0.871
346;Home ownership: Rent: no rent subsidy;2019;2094.2;31.1;24.2;;4.1;5.8;0.269;0.871
347;Home ownership: Rent: no rent subsidy;2020;2009.8;32.8;25.4;28.7;4.8;5.4;0.272;0.871
348;Home ownership: Rent: no rent subsidy;2021;2038.5;34.6;26.8;;6.8;4.8;0.269;0.856
349;Home ownership: Rent: no rent subsidy;2022;2101.2;36.5;28.3;;7.0;4.3;0.266;0.862
350;Home ownership: Rent: no rent subsidy;2023;2131.9;39.1;30.2;;6.7;5.7;0.267;0.871
351;Home ownership: Rent with rent subsidy;2011;1123.4;18.1;14.5;;1.1;28.4;0.145;0.818
352;Home ownership: Rent with rent subsidy;2012;1140.8;17.9;14.5;;1.0;33.8;0.146;0.827
353;Home ownership: Rent with rent subsidy;2013;1126.5;17.9;14.5;;0.9;37.9;0.145;0.845
354;Home ownership: Rent with rent subsidy;2014;1224.6;18.4;14.9;;0.8;36.8;0.141;0.848
355;Home ownership: Rent with rent subsidy;2015;1267.6;18.8;15.3;20.2;1.1;34.9;0.14;0.833
356;Home ownership: Rent with rent subsidy;2016;1278.0;19.1;15.6;;1.0;34.4;0.142;0.834
357;Home ownership: Rent with rent subsidy;2017;1290.1;19.5;15.9;;1.0;34.9;0.142;0.831
358;Home ownership: Rent with rent subsidy;2018;1290.8;19.8;16.1;;1.1;35.3;0.142;0.828
359;Home ownership: Rent with rent subsidy;2019;1276.9;20.4;16.7;;1.1;34.4;0.143;0.829
360;Home ownership: Rent with rent subsidy;2020;1397.5;21.5;17.6;20.2;1.3;28.4;0.145;0.825
361;Home ownership: Rent with rent subsidy;2021;1398.4;22.1;18.1;;1.6;27.3;0.145;0.809
362;Home ownership: Rent with rent subsidy;2022;1374.1;23.7;19.6;;1.7;16.0;0.13;0.803
363;Home ownership: Rent with rent subsidy;2023;1441.5;26.6;21.9;;2.3;11.0;0.138;0.795
364;Equivalised income: 1st 10%-group;2011;734.8;8.5;7.1;;0.5;83.2;0.345;0.934
365;Equivalised income: 1st 10%-group;2012;741.2;8.6;7.0;;0.4;88.8;0.346;0.935
366;Equivalised income: 1st 10%-group;2013;746.8;8.7;7.2;;0.3;93.2;0.331;0.94
367;Equivalised income: 1st 10%-group;2014;749.6;9.5;7.6;;0.2;90.1;0.316;0.936
368;Equivalised income: 1st 10%-group;2015;756.9;9.4;7.6;19.5;0.5;88.2;0.329;0.945
369;Equivalised income: 1st 10%-group;2016;762.3;10.1;8.2;;0.4;85.0;0.307;0.939
370;Equivalised income: 1st 10%-group;2017;769.5;10.4;8.5;;0.5;83.7;0.307;0.945
371;Equivalised income: 1st 10%-group;2018;776.1;10.8;8.7;;0.5;83.5;0.309;0.942
372;Equivalised income: 1st 10%-group;2019;782.7;11.5;9.2;;0.5;82.0;0.3;0.937
373;Equivalised income: 1st 10%-group;2020;789.4;11.8;9.5;21.1;0.7;77.9;0.304;0.937
374;Equivalised income: 1st 10%-group;2021;795.1;12.6;10.2;;1.0;75.7;0.283;0.938
375;Equivalised income: 1st 10%-group;2022;804.1;14.1;11.3;;1.1;56.4;0.283;0.936
376;Equivalised income: 1st 10%-group;2023;815.7;14.8;12.0;;1.3;55.0;0.288;0.938
377;Equivalised income: 2nd 10%-group;2011;734.8;17.7;14.2;;1.5;16.6;0.035;0.883
378;Equivalised income: 2nd 10%-group;2012;741.2;17.7;14.1;;1.2;24.3;0.035;0.891
379;Equivalised income: 2nd 10%-group;2013;746.8;17.6;14.1;;1.0;30.9;0.036;0.903
380;Equivalised income: 2nd 10%-group;2014;749.6;18.2;14.6;;0.9;30.5;0.034;0.903
381;Equivalised income: 2nd 10%-group;2015;756.9;18.5;14.8;20.5;1.1;29.9;0.034;0.906
382;Equivalised income: 2nd 10%-group;2016;762.3;18.9;15.2;;1.1;27.1;0.034;0.903
383;Equivalised income: 2nd 10%-group;2017;769.5;19.2;15.6;;1.3;26.5;0.034;0.901
384;Equivalised income: 2nd 10%-group;2018;776.1;19.8;15.9;;1.5;25.1;0.034;0.901
385;Equivalised income: 2nd 10%-group;2019;782.7;20.6;16.6;;1.7;21.2;0.035;0.894
386;Equivalised income: 2nd 10%-group;2020;789.4;21.2;17.2;22.0;1.9;16.5;0.036;0.894
387;Equivalised income: 2nd 10%-group;2021;795.1;22.0;17.8;;2.7;12.8;0.037;0.881
388;Equivalised income: 2nd 10%-group;2022;804.1;23.7;19.4;;3.0;4.9;0.031;0.88
389;Equivalised income: 2nd 10%-group;2023;815.7;25.6;21.0;;3.7;1.9;0.031;0.879
390;Equivalised income: 3rd 10%-group;2011;734.8;21.8;16.8;;8.7;0.0;0.023;0.808
391;Equivalised income: 3rd 10%-group;2012;741.2;21.8;16.9;;7.0;0.0;0.024;0.819
392;Equivalised income: 3rd 10%-group;2013;746.8;21.7;16.9;;4.6;0.0;0.024;0.841
393;Equivalised income: 3rd 10%-group;2014;749.6;22.2;17.3;;4.5;0.0;0.024;0.842
394;Equivalised income: 3rd 10%-group;2015;756.9;22.3;17.6;23.6;6.0;0.0;0.023;0.838
395;Equivalised income: 3rd 10%-group;2016;762.3;23.0;18.1;;6.7;0.0;0.024;0.837
396;Equivalised income: 3rd 10%-group;2017;769.5;23.4;18.6;;7.4;0.0;0.023;0.835
397;Equivalised income: 3rd 10%-group;2018;776.1;23.9;18.9;;8.1;0.0;0.023;0.833
398;Equivalised income: 3rd 10%-group;2019;782.7;24.9;19.8;;8.9;0.0;0.023;0.826
399;Equivalised income: 3rd 10%-group;2020;789.4;25.8;20.6;25.6;10.0;0.0;0.024;0.823
400;Equivalised income: 3rd 10%-group;2021;795.1;26.7;21.4;;12.2;0.0;0.024;0.805
401;Equivalised income: 3rd 10%-group;2022;804.1;27.9;22.7;;12.6;0.0;0.022;0.805
402;Equivalised income: 3rd 10%-group;2023;815.7;30.4;24.7;;14.7;0.0;0.023;0.798
403;Equivalised income: 4th 10%-group;2011;734.8;26.1;19.1;;19.5;0.0;0.021;0.743
404;Equivalised income: 4th 10%-group;2012;741.2;26.2;19.3;;16.1;0.0;0.021;0.753
405;Equivalised income: 4th 10%-group;2013;746.8;26.1;19.3;;11.3;0.0;0.022;0.777
406;Equivalised income: 4th 10%-group;2014;749.6;26.6;19.8;;11.4;0.0;0.022;0.776
407;Equivalised income: 4th 10%-group;2015;756.9;26.8;20.0;27.5;13.9;0.0;0.022;0.777
408;Equivalised income: 4th 10%-group;2016;762.3;27.5;20.7;;15.0;0.0;0.023;0.767
409;Equivalised income: 4th 10%-group;2017;769.5;28.1;21.2;;16.7;0.0;0.023;0.76
410;Equivalised income: 4th 10%-group;2018;776.1;28.9;21.6;;19.5;0.0;0.023;0.752
411;Equivalised income: 4th 10%-group;2019;782.7;30.3;22.7;;24.7;0.0;0.023;0.736
412;Equivalised income: 4th 10%-group;2020;789.4;31.3;23.6;29.2;29.0;0.0;0.023;0.732
413;Equivalised income: 4th 10%-group;2021;795.1;32.7;24.6;;42.8;0.0;0.024;0.702
414;Equivalised income: 4th 10%-group;2022;804.1;34.4;26.1;;73.9;0.0;0.024;0.67
415;Equivalised income: 4th 10%-group;2023;815.7;36.8;28.2;;52.5;0.0;0.022;0.692
416;Equivalised income: 5th 10%-group;2011;734.8;30.4;21.6;;35.0;0.0;0.019;0.701
417;Equivalised income: 5th 10%-group;2012;741.2;30.6;21.8;;29.2;0.0;0.019;0.717
418;Equivalised income: 5th 10%-group;2013;746.8;30.7;21.9;;24.2;0.0;0.02;0.735
419;Equivalised income: 5th 10%-group;2014;749.6;31.6;22.5;;25.3;0.0;0.02;0.729
420;Equivalised income: 5th 10%-group;2015;756.9;31.8;22.8;31.2;29.5;0.0;0.021;0.726
421;Equivalised income: 5th 10%-group;2016;762.3;32.9;23.7;;33.7;0.0;0.021;0.717
422;Equivalised income: 5th 10%-group;2017;769.5;33.5;24.3;;40.4;0.0;0.021;0.703
423;Equivalised income: 5th 10%-group;2018;776.1;34.6;24.7;;49.5;0.0;0.021;0.694
424;Equivalised income: 5th 10%-group;2019;782.7;36.1;25.9;;62.6;0.0;0.021;0.673
425;Equivalised income: 5th 10%-group;2020;789.4;37.5;27.0;33.0;75.2;0.0;0.021;0.669
426;Equivalised income: 5th 10%-group;2021;795.1;39.0;28.2;;98.6;0.0;0.021;0.642
427;Equivalised income: 5th 10%-group;2022;804.1;41.0;29.8;;146.1;0.0;0.021;0.615
428;Equivalised income: 5th 10%-group;2023;815.7;43.6;32.1;;137.2;0.0;0.02;0.632
429;Equivalised income: 6th 10%-group;2011;734.8;34.9;24.2;;56.9;0.0;0.019;0.673
430;Equivalised income: 6th 10%-group;2012;741.2;35.0;24.4;;46.9;0.0;0.019;0.691
431;Equivalised income: 6th 10%-group;2013;746.8;35.2;24.6;;35.6;0.0;0.019;0.722
432;Equivalised income: 6th 10%-group;2014;749.6;36.3;25.4;;35.2;0.0;0.019;0.745
433;Equivalised income: 6th 10%-group;2015;756.9;36.8;25.8;34.6;39.9;0.0;0.02;0.72
434;Equivalised income: 6th 10%-group;2016;762.3;38.0;26.8;;42.6;0.0;0.02;0.712
435;Equivalised income: 6th 10%-group;2017;769.5;38.9;27.4;;51.5;0.0;0.02;0.696
436;Equivalised income: 6th 10%-group;2018;776.1;40.1;27.9;;65.3;0.0;0.019;0.68
437;Equivalised income: 6th 10%-group;2019;782.7;42.0;29.3;;80.2;0.0;0.019;0.657
438;Equivalised income: 6th 10%-group;2020;789.4;43.8;30.4;35.7;96.6;0.0;0.019;0.644
439;Equivalised income: 6th 10%-group;2021;795.1;45.8;31.8;;125.6;0.0;0.019;0.61
440;Equivalised income: 6th 10%-group;2022;804.1;48.2;33.6;;184.9;0.0;0.019;0.572
441;Equivalised income: 6th 10%-group;2023;815.7;51.4;36.1;;185.3;0.0;0.019;0.583
442;Equivalised income: 7th 10%-group;2011;734.8;39.8;27.1;;81.5;0.0;0.02;0.652
443;Equivalised income: 7th 10%-group;2012;741.2;39.9;27.3;;68.5;0.0;0.02;0.672
444;Equivalised income: 7th 10%-group;2013;746.8;40.3;27.6;;50.4;0.0;0.02;0.711
445;Equivalised income: 7th 10%-group;2014;749.6;41.6;28.5;;50.4;0.0;0.02;0.705
446;Equivalised income: 7th 10%-group;2015;756.9;42.3;29.0;37.3;57.1;0.0;0.02;0.707
447;Equivalised income: 7th 10%-group;2016;762.3;43.8;30.1;;61.9;0.0;0.02;0.696
448;Equivalised income: 7th 10%-group;2017;769.5;44.7;30.8;;74.3;0.0;0.02;0.673
449;Equivalised income: 7th 10%-group;2018;776.1;46.0;31.3;;88.7;0.0;0.019;0.657
450;Equivalised income: 7th 10%-group;2019;782.7;48.3;32.8;;106.4;0.0;0.019;0.629
451;Equivalised income: 7th 10%-group;2020;789.4;50.2;34.2;38.2;124.5;0.0;0.019;0.619
452;Equivalised income: 7th 10%-group;2021;795.1;52.4;35.7;;157.1;0.0;0.019;0.584
453;Equivalised income: 7th 10%-group;2022;804.1;55.1;37.6;;222.3;0.0;0.019;0.541
454;Equivalised income: 7th 10%-group;2023;815.7;59.0;40.3;;223.5;0.0;0.019;0.553
455;Equivalised income: 8th 10%-group;2011;734.8;45.6;30.7;;113.5;0.0;0.023;0.631
456;Equivalised income: 8th 10%-group;2012;741.2;45.8;31.0;;99.7;0.0;0.023;0.648
457;Equivalised income: 8th 10%-group;2013;746.8;46.2;31.3;;76.1;0.0;0.023;0.694
458;Equivalised income: 8th 10%-group;2014;749.6;47.6;32.3;;75.3;0.0;0.022;0.685
459;Equivalised income: 8th 10%-group;2015;756.9;48.4;32.9;41.1;83.5;0.0;0.022;0.689
460;Equivalised income: 8th 10%-group;2016;762.3;50.3;34.1;;86.4;0.0;0.022;0.683
461;Equivalised income: 8th 10%-group;2017;769.5;51.5;34.9;;97.9;0.0;0.022;0.66
462;Equivalised income: 8th 10%-group;2018;776.1;52.9;35.3;;113.0;0.0;0.022;0.648
463;Equivalised income: 8th 10%-group;2019;782.7;55.4;37.1;;134.1;0.0;0.022;0.615
464;Equivalised income: 8th 10%-group;2020;789.4;57.8;38.6;43.4;152.2;0.0;0.022;0.608
465;Equivalised income: 8th 10%-group;2021;795.1;60.4;40.3;;187.0;0.0;0.022;0.576
466;Equivalised income: 8th 10%-group;2022;804.1;63.7;42.5;;254.0;0.0;0.022;0.535
467;Equivalised income: 8th 10%-group;2023;815.7;68.4;45.4;;255.1;0.0;0.021;0.545
468;Equivalised income: 9th 10%-group;2011;734.8;54.1;36.1;;152.7;0.0;0.033;0.618
469;Equivalised income: 9th 10%-group;2012;741.2;54.3;36.4;;138.6;0.0;0.033;0.637
470;Equivalised income: 9th 10%-group;2013;746.8;54.9;36.8;;109.3;0.0;0.033;0.687
471;Equivalised income: 9th 10%-group;2014;749.6;56.5;38.0;;106.9;0.0;0.033;0.679
472;Equivalised income: 9th 10%-group;2015;756.9;57.4;38.6;46.4;114.4;0.0;0.032;0.686
473;Equivalised income: 9th 10%-group;2016;762.3;60.0;40.0;;117.4;0.0;0.032;0.679
474;Equivalised income: 9th 10%-group;2017;769.5;61.5;40.9;;131.5;0.0;0.032;0.658
475;Equivalised income: 9th 10%-group;2018;776.1;63.1;41.3;;149.9;0.0;0.032;0.642
476;Equivalised income: 9th 10%-group;2019;782.7;66.2;43.3;;172.6;0.0;0.032;0.612
477;Equivalised income: 9th 10%-group;2020;789.4;69.0;45.0;47.4;192.0;0.0;0.031;0.608
478;Equivalised income: 9th 10%-group;2021;795.1;72.2;47.2;;232.9;0.0;0.031;0.574
479;Equivalised income: 9th 10%-group;2022;804.1;75.9;49.5;;306.9;0.0;0.031;0.534
480;Equivalised income: 9th 10%-group;2023;815.7;81.1;52.7;;309.1;0.0;0.03;0.539
481;Equivalised income: 10th 10%-group;2011;734.8;87.3;59.0;;273.7;0.0;0.307;0.699
482;Equivalised income: 10th 10%-group;2012;741.2;87.8;59.5;;256.8;0.0;0.464;0.714
483;Equivalised income: 10th 10%-group;2013;746.8;88.0;59.6;;215.6;0.0;0.361;0.753
484;Equivalised income: 10th 10%-group;2014;749.6;99.7;67.1;;219.4;0.0;0.329;0.752
485;Equivalised income: 10th 10%-group;2015;756.9;92.2;62.3;56.0;211.7;0.0;0.251;0.755
486;Equivalised income: 10th 10%-group;2016;762.3;97.1;65.1;;226.2;0.0;0.279;0.749
487;Equivalised income: 10th 10%-group;2017;769.5;104.1;69.6;;258.3;0.0;0.305;0.736
488;Equivalised income: 10th 10%-group;2018;776.1;105.3;68.9;;283.2;0.0;0.312;0.725
489;Equivalised income: 10th 10%-group;2019;782.7;121.9;79.5;;326.4;0.0;0.314;0.708
490;Equivalised income: 10th 10%-group;2020;789.4;115.9;75.4;56.6;344.1;0.0;0.368;0.704
491;Equivalised income: 10th 10%-group;2021;795.1;121.4;79.1;;403.7;0.0;0.437;0.666
492;Equivalised income: 10th 10%-group;2022;804.1;128.5;83.5;;503.7;0.0;0.281;0.652
493;Equivalised income: 10th 10%-group;2023;815.7;139.1;90.2;;504.7;0.0;;0.65
