ID;Sex;Age;FormalEduation;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;FlexibleEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;ProfessionalStatusIsUnknown_11;PartTime_12;LessThan20WorkingHoursAWeek_13;LessThan12WorkingHoursAWeek_14;k_12To19WorkingHoursAWeek_15;k_20To34WorkingHoursAWeek_16;k_20To27WorkingHoursAWeek_17;k_28To34WorkingHoursAWeek_18;FullTime_19;UnemployedLabourForce_20;UnemploymentRate_21;NotInTheLabourForce_22;GrossLabourParticipationRate_23;NetLabourParticipationRate_24
1521;Total male and female;20 years;In formal education;2017 2nd quarter;153;120;111;108;15;92;3;3;0;0;0;100;80;62;19;20;10;10;11;9;7.8;32;79.0;72.8
1522;Total male and female;20 years;In formal education;2017 3rd quarter;150;119;106;104;16;88;2;2;0;0;0;92;70;51;19;22;11;11;14;12;10.3;31;79.2;71.0
1523;Total male and female;20 years;In formal education;2017 4th quarter;149;115;102;100;15;84;3;3;0;0;0;93;73;51;22;19;10;9;10;12;10.9;34;77.0;68.6
1524;Total male and female;20 years;In formal education;2017;150;118;105;102;16;86;3;3;0;0;0;94;75;56;20;19;10;9;11;12;10.3;33;78.2;70.1
1525;Total male and female;20 years;In formal education;2018 1st quarter;157;115;105;101;16;86;4;4;0;0;0;98;80;58;22;18;10;8;7;10;8.6;41;73.5;67.2
1526;Total male and female;20 years;In formal education;2018 2nd quarter;160;120;109;104;16;89;5;4;0;1;0;101;82;58;23;19;10;9;9;11;8.9;39;75.3;68.6
1527;Total male and female;20 years;In formal education;2018 3rd quarter;156;118;113;111;16;95;2;2;0;1;0;101;76;50;26;25;16;9;12;6;4.8;37;76.1;72.4
1528;Total male and female;20 years;In formal education;2018 4th quarter;154;117;108;105;19;87;3;3;0;0;0;99;79;56;23;20;11;9;9;9;7.3;37;75.9;70.3
1529;Total male and female;20 years;In formal education;2018;156;118;109;105;17;89;4;3;0;1;0;100;79;56;24;21;12;9;9;9;7.4;39;75.2;69.6
1530;Total male and female;20 years;In formal education;2019 1st quarter;161;126;118;116;23;93;2;2;0;0;0;109;88;61;27;21;12;9;9;8;6.1;35;78.3;73.5
1531;Total male and female;20 years;In formal education;2019 2nd quarter;160;127;117;112;24;88;4;4;0;0;0;103;82;58;24;21;12;10;13;11;8.3;33;79.4;72.8
1532;Total male and female;20 years;In formal education;2019 3rd quarter;157;127;114;109;22;87;5;4;0;1;0;99;72;48;24;27;15;12;15;13;10.1;31;80.4;72.3
1533;Total male and female;20 years;In formal education;2019 4th quarter;154;124;113;109;20;90;4;4;0;0;0;103;83;56;27;19;12;8;11;10;8.2;31;80.2;73.6
1534;Total male and female;20 years;In formal education;2019;158;126;115;112;22;89;4;3;0;0;0;103;81;56;26;22;12;10;12;10;8.2;32;79.6;73.0
1535;Total male and female;20 years;In formal education;2020 1st quarter;160;125;112;107;19;88;5;4;0;0;0;98;77;54;22;22;16;6;14;13;10.7;35;78.2;69.9
1536;Total male and female;20 years;In formal education;2020 2nd quarter;163;121;110;106;17;89;4;4;0;0;0;97;77;56;21;19;12;7;14;11;9.0;42;74.5;67.7
1537;Total male and female;20 years;In formal education;2020 3rd quarter;165;132;117;114;21;93;3;3;0;0;0;106;80;55;25;27;15;12;11;14;10.9;34;79.6;70.9
1538;Total male and female;20 years;In formal education;2020 4th quarter;164;131;117;112;20;92;5;5;0;0;0;107;88;63;25;19;10;9;10;15;11.2;33;80.1;71.1
1539;Total male and female;20 years;In formal education;2020;163;127;114;110;19;91;4;4;0;0;0;102;80;57;23;22;13;8;12;13;10.5;36;78.1;69.9
1540;Total male and female;20 years;In formal education;2021 1st quarter;173;132;117;114;13;100;4;4;0;0;0;93;75;43;32;18;8;10;24;14;10.9;42;76.0;67.7
1541;Total male and female;20 years;In formal education;2021 2nd quarter;179;146;130;126;14;112;4;4;0;0;0;113;82;46;36;30;16;15;17;16;10.7;33;81.3;72.6
1542;Total male and female;20 years;In formal education;2021 3rd quarter;185;150;136;130;16;114;5;5;0;0;0;118;81;49;33;36;22;15;18;14;9.4;35;80.9;73.3
1543;Total male and female;20 years;In formal education;2021 4th quarter;180;141;131;124;16;108;7;6;1;0;0;115;91;53;38;24;16;8;16;10;7.1;39;78.4;72.8
1544;Total male and female;20 years;In formal education;2021;179;142;128;123;15;108;5;5;0;0;0;110;82;48;35;27;15;12;19;14;9.5;37;79.2;71.6
1545;Total male and female;20 years;In formal education;2022 1st quarter;179;145;136;128;15;113;8;7;1;1;0;114;87;56;31;27;18;9;22;8;5.8;34;80.8;76.2
1546;Total male and female;20 years;In formal education;2022 2nd quarter;176;143;135;125;15;110;9;7;1;1;0;114;81;52;29;33;19;13;21;8;5.5;33;81.1;76.6
1547;Total male and female;20 years;In formal education;2022 3rd quarter;175;141;131;123;12;111;8;6;0;1;0;112;77;47;29;36;21;15;18;10;7.2;35;80.2;74.4
1548;Total male and female;20 years;In formal education;2022 4th quarter;176;144;135;129;15;114;6;5;0;1;0;119;88;49;39;31;18;13;16;9;6.0;33;81.4;76.6
1549;Total male and female;20 years;In formal education;2022;177;143;134;126;14;112;8;6;0;1;0;115;83;51;32;32;19;12;19;9;6.1;34;80.9;76.0
1550;Total male and female;20 years;In formal education;2023 1st quarter;171;140;131;124;16;108;7;6;0;1;0;115;88;54;34;27;17;10;16;9;6.6;31;81.9;76.5
1551;Total male and female;20 years;In formal education;2023 2nd quarter;175;149;139;132;16;117;7;6;0;0;0;117;84;56;28;33;21;12;22;10;6.7;27;84.9;79.2
1552;Total male and female;20 years;In formal education;2023 3rd quarter;169;138;128;120;16;103;8;8;0;0;0;109;73;45;28;36;21;15;19;10;7.1;31;81.5;75.7
1553;Total male and female;20 years;In formal education;2023 4th quarter;176;139;131;124;15;109;7;7;0;0;0;111;77;49;28;34;21;13;20;8;5.7;36;79.3;74.8
1554;Total male and female;20 years;In formal education;2023;173;141;132;125;16;109;7;7;0;0;0;113;81;51;30;32;20;12;19;9;6.5;31;81.9;76.6
1555;Total male and female;20 years;In formal education;2024 1st quarter;172;141;130;123;16;107;7;7;0;0;0;114;83;55;28;31;18;12;17;11;7.7;31;82.2;75.8
1556;Total male and female;20 years;In formal education;2024 2nd quarter;170;146;136;131;14;117;5;5;0;0;0;120;88;55;32;33;21;12;15;11;7.2;24;85.9;79.7
1557;Total male and female;20 years;In formal education;2024 3rd quarter;172;145;133;128;18;110;5;4;0;0;0;114;77;49;28;37;22;15;19;13;8.7;26;84.6;77.3
1558;Total male and female;20 years;In formal education;2024 4th quarter;170;143;135;129;19;111;5;5;0;0;0;118;89;51;38;29;15;14;17;9;6.0;27;84.2;79.2
1559;Total male and female;20 years;In formal education;2024;171;144;133;128;16;111;6;5;0;0;0;117;84;53;32;32;19;13;17;11;7.4;27;84.2;78.0
1560;Total male and female;20 years;Not in formal education;2013 1st quarter;65;57;46;44;15;30;2;2;0;0;0;28;9;6;4;18;11;8;19;11;18.8;8;87.7;71.2
1561;Total male and female;20 years;Not in formal education;2013 2nd quarter;57;50;43;42;16;26;2;1;0;0;0;27;11;5;6;16;9;7;16;7;14.1;6;88.6;76.1
1562;Total male and female;20 years;Not in formal education;2013 3rd quarter;53;47;42;40;11;29;2;2;0;0;0;25;11;6;5;14;7;7;17;5;10.2;7;87.6;78.7
1563;Total male and female;20 years;Not in formal education;2013 4th quarter;58;53;45;45;14;30;1;1;0;0;0;26;12;6;5;14;6;9;19;8;14.7;5;91.5;78.0
1564;Total male and female;20 years;Not in formal education;2013;58;52;44;43;14;28;2;1;0;0;0;27;11;6;5;16;8;8;18;8;14.7;7;88.9;75.8
1565;Total male and female;20 years;Not in formal education;2014 1st quarter;56;50;40;40;14;26;1;0;0;0;0;23;7;4;2;17;10;7;17;9;18.5;6;88.5;72.1
1566;Total male and female;20 years;Not in formal education;2014 2nd quarter;53;47;39;38;15;23;1;1;0;0;0;24;7;3;4;17;10;7;15;7;15.7;6;88.1;74.3
1567;Total male and female;20 years;Not in formal education;2014 3rd quarter;56;49;45;44;16;28;1;1;0;0;0;24;7;4;3;17;10;7;21;4;7.9;7;88.2;81.2
1568;Total male and female;20 years;Not in formal education;2014 4th quarter;57;51;43;41;13;29;2;2;0;0;0;23;8;6;2;15;6;9;20;8;16.2;6;90.0;75.5
1569;Total male and female;20 years;Not in formal education;2014;55;49;42;41;14;26;1;1;0;0;0;24;7;4;3;16;9;8;18;7;14.6;6;88.7;75.8
1570;Total male and female;20 years;Not in formal education;2015 1st quarter;57;51;45;43;11;32;2;2;0;0;0;26;11;6;5;15;6;8;20;6;11.6;6;89.1;78.8
1571;Total male and female;20 years;Not in formal education;2015 2nd quarter;50;46;41;39;11;28;2;2;0;0;0;21;7;4;4;14;8;6;20;5;10.5;4;91.7;82.0
1572;Total male and female;20 years;Not in formal education;2015 3rd quarter;48;44;38;37;9;28;2;1;0;0;0;19;7;3;4;12;4;7;20;5;12.1;4;90.7;79.7
1573;Total male and female;20 years;Not in formal education;2015 4th quarter;54;49;41;39;11;27;2;2;0;0;0;23;9;5;4;14;6;8;18;8;16.8;5;91.3;76.0
1574;Total male and female;20 years;Not in formal education;2015;52;47;41;39;11;29;2;2;0;0;0;22;9;5;4;14;6;7;19;6;12.8;5;90.6;79.1
1575;Total male and female;20 years;Not in formal education;2016 1st quarter;52;46;43;41;13;28;2;1;0;0;0;25;10;7;4;14;6;9;18;4;8.2;6;89.4;82.1
1576;Total male and female;20 years;Not in formal education;2016 2nd quarter;49;45;40;38;14;24;2;2;0;0;0;24;9;6;3;14;7;8;16;6;12.6;4;92.5;80.9
1577;Total male and female;20 years;Not in formal education;2016 3rd quarter;48;43;40;37;12;26;3;2;0;0;0;25;10;6;4;15;7;8;15;3;6.5;6;88.2;82.4
1578;Total male and female;20 years;Not in formal education;2016 4th quarter;56;48;44;41;13;28;3;3;0;0;0;23;10;6;4;13;8;5;21;4;8.3;7;87.0;79.8
1579;Total male and female;20 years;Not in formal education;2016;51;46;42;39;13;26;2;2;0;0;0;24;10;6;4;14;7;7;18;4;8.9;6;89.2;81.2
1580;Total male and female;20 years;Not in formal education;2017 1st quarter;54;48;43;40;12;28;3;2;0;0;0;26;8;3;5;18;10;8;16;5;10.6;6;88.2;78.8
1581;Total male and female;20 years;Not in formal education;2017 2nd quarter;52;47;42;40;10;30;2;2;0;0;0;24;7;4;3;17;7;10;18;5;11.1;4;91.5;81.3
1582;Total male and female;20 years;Not in formal education;2017 3rd quarter;55;49;45;44;13;32;1;1;0;0;0;25;7;4;3;18;7;10;20;4;7.8;6;89.6;82.6
1583;Total male and female;20 years;Not in formal education;2017 4th quarter;56;50;44;43;13;30;1;0;0;0;0;26;7;5;2;19;8;10;18;6;12.0;6;88.5;77.9
1584;Total male and female;20 years;Not in formal education;2017;54;48;43;42;12;30;2;1;0;0;0;25;7;4;3;18;8;10;18;5;10.4;6;89.4;80.1
1585;Total male and female;20 years;Not in formal education;2018 1st quarter;50;43;39;38;14;24;1;1;0;0;0;21;8;4;4;13;6;6;19;4;8.4;7;85.7;78.5
1586;Total male and female;20 years;Not in formal education;2018 2nd quarter;49;42;37;36;12;24;1;0;0;0;0;20;6;4;2;13;7;6;17;5;12.4;7;85.9;75.3
1587;Total male and female;20 years;Not in formal education;2018 3rd quarter;54;46;43;41;13;28;2;1;0;0;0;23;6;4;3;17;9;8;20;3;7.0;8;85.5;79.5
1588;Total male and female;20 years;Not in formal education;2018 4th quarter;58;51;49;47;14;33;2;2;0;0;0;27;8;4;4;19;10;8;22;3;5.2;7;88.7;84.1
1589;Total male and female;20 years;Not in formal education;2018;53;46;42;41;13;27;1;1;0;0;0;23;7;4;3;15;8;7;19;4;8.1;7;86.5;79.5
1590;Total male and female;20 years;Not in formal education;2019 1st quarter;52;45;41;39;13;26;2;2;0;0;0;21;5;3;2;16;7;9;20;4;9.2;7;86.5;78.5
1591;Total male and female;20 years;Not in formal education;2019 2nd quarter;55;49;46;43;18;26;2;2;0;0;0;23;6;4;2;17;5;12;22;4;7.7;5;90.2;83.3
1592;Total male and female;20 years;Not in formal education;2019 3rd quarter;59;53;48;46;18;28;1;1;0;0;0;26;7;4;3;19;7;12;22;5;9.1;7;88.7;80.6
1593;Total male and female;20 years;Not in formal education;2019 4th quarter;64;57;53;51;18;33;1;1;0;0;0;25;7;5;2;19;9;10;27;4;7.7;7;89.1;82.3
1594;Total male and female;20 years;Not in formal education;2019;58;51;47;45;17;28;2;2;0;0;0;24;6;4;2;18;7;10;23;4;8.4;7;88.7;81.2
1595;Total male and female;20 years;Not in formal education;2020 1st quarter;60;53;47;45;17;28;2;2;0;0;0;25;11;7;4;15;5;9;21;6;11.1;7;88.3;78.5
1596;Total male and female;20 years;Not in formal education;2020 2nd quarter;58;49;44;43;16;27;1;1;0;0;0;23;6;3;2;17;10;7;21;5;9.8;9;84.9;76.6
1597;Total male and female;20 years;Not in formal education;2020 3rd quarter;57;49;42;39;13;26;3;3;0;0;0;25;8;5;4;17;5;12;17;7;13.6;8;86.1;74.4
1598;Total male and female;20 years;Not in formal education;2020 4th quarter;59;52;46;44;17;26;2;2;0;0;0;24;9;4;5;15;7;9;22;6;11.6;7;87.4;77.2
1599;Total male and female;20 years;Not in formal education;2020;58;51;45;42;16;27;2;2;0;0;0;24;8;5;4;16;7;9;20;6;11.5;8;86.7;76.7
1600;Total male and female;20 years;Not in formal education;2021 1st quarter;52;48;46;42;11;32;4;4;0;0;0;21;8;4;4;13;5;9;25;2;3.2;4;92.3;89.3
1601;Total male and female;20 years;Not in formal education;2021 2nd quarter;43;38;37;32;8;23;5;4;0;1;0;14;4;3;1;10;5;6;22;1;3.2;5;87.7;84.9
1602;Total male and female;20 years;Not in formal education;2021 3rd quarter;37;34;32;29;11;18;3;3;0;0;0;15;5;2;3;10;5;5;17;3;7.6;3;93.0;85.9
1603;Total male and female;20 years;Not in formal education;2021 4th quarter;45;42;37;35;13;22;2;2;1;0;0;17;5;2;3;12;5;7;20;4;10.6;3;93.3;83.4
1604;Total male and female;20 years;Not in formal education;2021;44;41;38;34;11;24;4;3;0;0;0;17;5;3;3;11;5;7;21;2;6.0;4;91.5;86.0
1605;Total male and female;20 years;Not in formal education;2022 1st quarter;45;41;39;37;12;25;2;2;0;0;0;19;6;3;3;13;5;8;20;2;4.7;4;91.4;87.1
1606;Total male and female;20 years;Not in formal education;2022 2nd quarter;49;43;41;37;10;28;4;4;0;0;0;22;7;3;4;15;9;7;19;2;3.9;6;88.3;84.8
1607;Total male and female;20 years;Not in formal education;2022 3rd quarter;48;43;40;36;12;24;4;3;1;0;0;19;5;2;3;14;5;9;21;3;5.9;5;89.6;84.3
1608;Total male and female;20 years;Not in formal education;2022 4th quarter;52;46;42;40;14;25;2;2;1;0;0;18;5;2;3;13;6;7;24;4;8.2;6;87.9;80.7
1609;Total male and female;20 years;Not in formal education;2022;48;43;41;37;12;25;3;3;0;0;0;20;6;3;3;14;6;8;21;2;5.7;5;89.2;84.1
1610;Total male and female;20 years;Not in formal education;2023 1st quarter;57;49;45;42;15;27;3;3;0;0;0;23;6;3;3;17;6;11;22;4;7.4;8;85.6;79.3
1611;Total male and female;20 years;Not in formal education;2023 2nd quarter;54;47;44;40;15;25;4;4;0;0;0;22;6;2;4;16;9;7;22;3;6.6;8;85.9;80.3
1612;Total male and female;20 years;Not in formal education;2023 3rd quarter;60;54;50;45;14;32;5;4;0;0;0;29;6;2;4;23;11;12;21;4;7.0;6;89.6;83.3
1613;Total male and female;20 years;Not in formal education;2023 4th quarter;56;50;46;42;15;28;4;3;0;0;0;26;6;2;4;21;10;10;20;4;7.8;6;89.7;82.7
1614;Total male and female;20 years;Not in formal education;2023;57;50;46;43;15;28;4;3;0;0;0;25;6;2;4;19;9;10;21;4;7.2;7;87.7;81.4
1615;Total male and female;20 years;Not in formal education;2024 1st quarter;58;52;48;43;13;30;5;4;0;0;0;25;7;4;3;18;8;11;23;4;7.5;6;89.7;82.9
1616;Total male and female;20 years;Not in formal education;2024 2nd quarter;58;51;48;44;11;34;4;4;0;0;0;26;9;4;5;17;6;11;23;3;5.3;7;87.6;83.0
1617;Total male and female;20 years;Not in formal education;2024 3rd quarter;53;45;43;39;13;26;4;3;0;0;0;20;4;1;3;16;7;8;22;3;6.1;8;85.3;80.1
1618;Total male and female;20 years;Not in formal education;2024 4th quarter;56;48;43;39;14;25;5;4;1;0;0;22;5;2;3;17;8;9;22;5;10.1;8;86.5;77.7
1619;Total male and female;20 years;Not in formal education;2024;56;49;46;41;13;29;4;4;0;0;0;23;6;3;4;17;7;10;22;4;7.3;7;87.3;81.0
1620;Total male and female;21 years;Total;2013 1st quarter;212;176;153;148;38;110;5;5;0;0;0;115;82;58;23;33;18;15;39;23;13.0;35;83.3;72.5
1621;Total male and female;21 years;Total;2013 2nd quarter;211;177;156;152;34;118;5;4;0;0;0;116;80;58;22;36;18;18;40;20;11.6;34;83.8;74.1
1622;Total male and female;21 years;Total;2013 3rd quarter;211;176;153;147;40;107;7;6;1;0;0;108;66;47;18;42;22;21;45;23;13.0;34;83.8;72.9
1623;Total male and female;21 years;Total;2013 4th quarter;210;170;154;146;39;107;8;6;1;0;0;110;75;53;22;35;16;20;43;17;9.7;40;81.0;73.2
1624;Total male and female;21 years;Total;2013;211;175;154;148;38;110;6;5;1;0;0;112;76;54;22;37;18;18;42;21;11.9;36;83.0;73.1
1625;Total male and female;21 years;Total;2014 1st quarter;209;173;153;145;37;109;7;6;1;0;0;110;77;59;18;34;16;18;42;21;12.0;36;82.7;72.9
1626;Total male and female;21 years;Total;2014 2nd quarter;209;175;158;152;33;118;6;6;0;0;0;120;81;60;21;39;20;18;38;17;9.7;34;83.7;75.5
1627;Total male and female;21 years;Total;2014 3rd quarter;208;172;151;147;32;115;4;3;0;1;0;116;76;54;21;40;20;20;36;21;12.1;36;82.6;72.6
1628;Total male and female;21 years;Total;2014 4th quarter;208;171;156;151;37;114;5;4;0;1;0;115;73;56;18;42;22;20;41;15;8.5;37;82.2;75.2
1629;Total male and female;21 years;Total;2014;209;173;154;149;35;114;6;5;0;0;0;115;77;57;20;39;20;19;39;18;10.6;36;82.8;74.0
1630;Total male and female;21 years;Total;2015 1st quarter;208;172;155;148;38;110;7;7;0;0;0;115;78;60;18;37;21;16;41;17;9.6;36;82.8;74.9
1631;Total male and female;21 years;Total;2015 2nd quarter;208;172;157;151;32;119;6;5;0;1;0;117;82;60;22;35;19;15;40;15;8.7;36;82.8;75.5
1632;Total male and female;21 years;Total;2015 3rd quarter;208;171;153;147;29;118;6;5;0;1;0;110;68;47;21;43;23;20;43;19;10.8;37;82.4;73.5
1633;Total male and female;21 years;Total;2015 4th quarter;208;172;154;148;33;115;7;5;1;1;0;114;77;56;21;37;20;17;41;17;10.1;36;82.5;74.1
1634;Total male and female;21 years;Total;2015;208;172;155;148;33;116;6;6;0;1;0;114;76;56;20;38;21;17;41;17;9.8;36;82.6;74.5
1635;Total male and female;21 years;Total;2016 1st quarter;208;172;149;143;32;111;6;5;0;1;0;110;75;55;20;34;17;17;40;22;13.1;36;82.6;71.8
1636;Total male and female;21 years;Total;2016 2nd quarter;208;174;159;154;35;119;5;5;0;0;0;120;86;62;24;34;19;15;39;15;8.8;33;84.0;76.5
1637;Total male and female;21 years;Total;2016 3rd quarter;207;172;157;153;38;115;4;4;0;0;0;116;73;48;25;43;22;21;41;15;8.8;35;83.0;75.8
1638;Total male and female;21 years;Total;2016 4th quarter;207;166;152;146;34;111;6;6;0;1;0;110;72;49;22;39;16;23;42;14;8.7;41;80.3;73.4
1639;Total male and female;21 years;Total;2016;207;171;154;149;35;114;5;5;0;0;0;114;77;54;23;37;18;19;40;17;9.8;36;82.5;74.4
1640;Total male and female;21 years;Total;2017 1st quarter;207;170;152;144;32;112;8;7;0;0;0;113;73;52;20;40;20;20;39;18;10.7;36;82.4;73.6
1641;Total male and female;21 years;Total;2017 2nd quarter;207;173;160;151;32;119;9;8;0;0;0;122;83;59;24;39;20;19;38;13;7.8;34;83.7;77.2
1642;Total male and female;21 years;Total;2017 3rd quarter;207;176;161;157;33;124;5;4;0;0;0;116;74;50;24;42;24;18;45;15;8.4;31;84.9;77.8
1643;Total male and female;21 years;Total;2017 4th quarter;207;166;156;150;37;113;5;5;0;0;0;116;75;52;23;41;20;20;40;10;6.1;42;79.8;75.0
1644;Total male and female;21 years;Total;2017;207;171;157;151;34;117;7;6;0;0;0;117;76;53;23;41;21;19;40;14;8.3;36;82.7;75.9
1645;Total male and female;21 years;Total;2018 1st quarter;208;174;162;158;36;121;5;4;0;0;0;121;79;52;26;42;20;21;42;12;6.7;34;83.7;78.1
1646;Total male and female;21 years;Total;2018 2nd quarter;208;174;161;157;41;116;4;4;0;0;0;114;70;48;21;44;25;20;47;13;7.4;34;83.5;77.3
1647;Total male and female;21 years;Total;2018 3rd quarter;209;178;162;157;43;115;5;4;0;0;0;114;73;53;20;41;21;20;49;15;8.6;31;85.1;77.7
1648;Total male and female;21 years;Total;2018 4th quarter;209;169;154;149;40;109;5;4;1;0;0;109;73;51;22;36;18;18;45;15;9.0;40;81.0;73.7
1649;Total male and female;21 years;Total;2018;209;174;160;155;40;115;5;4;0;0;0;114;74;51;22;41;21;20;46;14;7.9;35;83.3;76.7
1650;Total male and female;21 years;Total;2019 1st quarter;211;173;158;154;42;112;5;4;0;0;0;118;78;57;21;40;22;18;41;14;8.3;38;81.9;75.1
1651;Total male and female;21 years;Total;2019 2nd quarter;214;181;164;156;40;116;8;8;0;1;0;117;74;50;25;43;23;20;47;16;9.0;33;84.5;76.9
1652;Total male and female;21 years;Total;2019 3rd quarter;217;183;169;162;41;120;7;7;0;0;0;122;76;57;19;45;23;23;47;14;7.7;34;84.3;77.9
1653;Total male and female;21 years;Total;2019 4th quarter;219;185;174;167;46;121;7;6;1;0;0;121;87;58;29;34;13;21;53;11;5.8;35;84.3;79.4
1654;Total male and female;21 years;Total;2019;215;180;166;160;42;118;7;6;0;0;0;120;79;56;23;41;20;20;47;14;7.7;35;83.8;77.3
1655;Total male and female;21 years;Total;2020 1st quarter;221;180;163;155;45;110;8;7;1;0;0;113;75;50;25;39;16;23;49;17;9.6;41;81.6;73.7
1656;Total male and female;21 years;Total;2020 2nd quarter;221;180;161;155;43;112;6;5;0;0;0;115;74;47;27;41;21;20;46;19;10.5;42;81.3;72.7
1657;Total male and female;21 years;Total;2020 3rd quarter;222;182;167;161;52;109;5;5;0;0;0;114;71;47;24;42;24;19;53;15;8.3;40;81.9;75.2
1658;Total male and female;21 years;Total;2020 4th quarter;222;177;160;154;51;103;7;7;0;0;0;115;71;50;22;44;21;22;45;16;9.2;46;79.4;72.1
1659;Total male and female;21 years;Total;2020;222;180;163;156;48;109;6;6;0;0;0;114;73;48;24;41;21;21;49;17;9.4;42;81.0;73.4
1660;Total male and female;21 years;Total;2021 1st quarter;222;182;171;163;33;129;8;8;0;1;0;131;82;45;37;50;25;25;40;11;6.1;40;82.1;77.1
1661;Total male and female;21 years;Total;2021 2nd quarter;224;182;174;166;35;131;7;7;0;0;0;123;77;43;34;45;20;25;51;8;4.5;42;81.4;77.7
1662;Total male and female;21 years;Total;2021 3rd quarter;223;183;169;163;33;129;7;5;2;0;0;122;77;40;38;45;23;22;47;14;7.6;40;82.2;75.9
1663;Total male and female;21 years;Total;2021 4th quarter;228;183;176;167;34;133;9;8;0;1;0;128;84;48;36;43;16;27;48;7;3.8;45;80.2;77.2
1664;Total male and female;21 years;Total;2021;224;182;172;165;34;131;8;7;0;0;0;126;80;44;36;46;21;25;47;10;5.5;42;81.4;77.0
1665;Total male and female;21 years;Total;2022 1st quarter;229;189;180;172;42;129;8;8;0;0;0;125;84;46;38;41;21;21;55;9;4.9;40;82.4;78.4
1666;Total male and female;21 years;Total;2022 2nd quarter;229;193;184;175;40;135;10;8;0;1;0;136;89;52;37;48;20;28;48;9;4.6;36;84.4;80.5
1667;Total male and female;21 years;Total;2022 3rd quarter;229;199;183;171;40;131;12;11;0;0;0;135;79;43;36;56;25;31;47;16;8.2;30;87.1;79.9
1668;Total male and female;21 years;Total;2022 4th quarter;231;198;188;172;37;136;16;15;0;0;0;140;94;57;37;47;22;25;48;10;5.1;33;85.7;81.3
1669;Total male and female;21 years;Total;2022;229;195;184;172;40;133;11;11;0;0;0;134;86;49;37;48;22;26;50;11;5.7;35;84.9;80.0
1670;Total male and female;21 years;Total;2023 1st quarter;230;198;181;168;39;130;13;11;0;1;0;136;85;48;36;51;25;27;45;17;8.7;31;86.4;78.9
1671;Total male and female;21 years;Total;2023 2nd quarter;230;198;182;173;37;136;9;9;0;0;0;141;86;46;39;56;27;29;41;16;8.2;32;86.1;79.0
1672;Total male and female;21 years;Total;2023 3rd quarter;228;196;181;170;42;128;11;10;0;0;0;128;75;38;37;53;28;25;53;15;7.8;32;86.0;79.4
1673;Total male and female;21 years;Total;2023 4th quarter;232;200;191;181;42;139;11;9;0;1;0;144;93;45;48;51;25;26;48;8;4.1;32;86.0;82.5
1674;Total male and female;21 years;Total;2023;230;198;184;173;40;133;11;10;0;1;0;137;84;44;40;53;26;26;47;14;7.2;32;86.1;79.9
1675;Total male and female;21 years;Total;2024 1st quarter;232;202;183;175;43;132;9;8;0;1;0;136;81;46;35;55;26;29;48;19;9.2;30;87.1;79.1
1676;Total male and female;21 years;Total;2024 2nd quarter;234;202;187;179;39;140;8;7;1;0;0;135;80;46;34;55;26;29;52;15;7.3;32;86.4;80.1
1677;Total male and female;21 years;Total;2024 3rd quarter;232;204;185;173;46;128;11;11;0;0;0;136;76;41;34;60;31;29;48;19;9.3;29;87.6;79.4
1678;Total male and female;21 years;Total;2024 4th quarter;234;197;186;173;43;131;12;11;1;1;0;133;79;45;34;54;22;32;53;11;5.6;37;84.1;79.4
1679;Total male and female;21 years;Total;2024;233;201;185;175;42;133;10;9;0;0;0;135;79;45;34;56;27;30;50;16;7.9;32;86.3;79.5
1680;Total male and female;21 years;In formal education;2013 1st quarter;136;108;95;93;18;75;3;3;0;0;0;83;69;53;16;14;7;7;12;13;11.7;28;79.2;69.9
1681;Total male and female;21 years;In formal education;2013 2nd quarter;136;108;99;96;18;79;2;2;0;0;0;86;68;50;18;18;10;8;12;10;8.8;28;79.4;72.4
1682;Total male and female;21 years;In formal education;2013 3rd quarter;136;109;97;93;18;75;4;3;1;0;0;80;56;42;14;24;13;11;16;12;11.3;27;80.2;71.1
1683;Total male and female;21 years;In formal education;2013 4th quarter;133;101;91;86;17;69;4;3;1;0;0;80;63;46;17;17;8;9;11;10;10.0;32;75.8;68.2
1684;Total male and female;21 years;In formal education;2013;135;106;95;92;17;75;3;3;0;0;0;82;64;48;16;18;9;9;13;11;10.5;29;78.7;70.4
1685;Total male and female;21 years;In formal education;2014 1st quarter;127;100;88;84;15;69;4;3;0;0;0;79;65;52;13;13;5;9;10;12;11.6;28;78.3;69.3
1686;Total male and female;21 years;In formal education;2014 2nd quarter;136;108;98;94;17;78;4;3;0;0;0;88;71;53;18;17;8;9;10;10;9.0;28;79.4;72.3
1687;Total male and female;21 years;In formal education;2014 3rd quarter;131;102;91;89;15;73;3;3;0;0;0;80;63;47;16;18;10;8;11;10;10.3;29;77.6;69.6
1688;Total male and female;21 years;In formal education;2014 4th quarter;126;97;89;86;15;71;3;3;0;0;0;79;63;49;14;15;8;7;11;8;8.0;29;77.0;70.8
1689;Total male and female;21 years;In formal education;2014;130;102;92;88;16;73;3;3;0;0;0;81;66;50;15;16;8;8;10;10;9.7;29;78.1;70.5
1690;Total male and female;21 years;In formal education;2015 1st quarter;134;102;93;88;16;73;5;5;0;0;0;80;66;53;13;14;9;5;13;10;9.5;31;76.7;69.4
