ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
1254;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2018;89.6;6.0
1255;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2019;89.5;5.3
1256;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2020;77.2;3.7
1257;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2021;82.8;3.2
1258;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2022;85.3;4.9
1259;Population 6 years or older;Male;"No driver's license; under 17";Upper bound 95% confidence interval;2023;86.2;5.7
1260;Population 6 years or older;Female;Total persons;Value;2018;82.9;9.2
1261;Population 6 years or older;Female;Total persons;Value;2019;81.3;9.2
1262;Population 6 years or older;Female;Total persons;Value;2020;73.2;4.2
1263;Population 6 years or older;Female;Total persons;Value;2021;78.4;4.7
1264;Population 6 years or older;Female;Total persons;Value;2022;79.7;6.5
1265;Population 6 years or older;Female;Total persons;Value;2023;80.3;7.4
1266;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2018;82.3;8.8
1267;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2019;80.7;8.8
1268;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2020;72.7;4.0
1269;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2021;77.8;4.4
1270;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2022;79.1;6.2
1271;Population 6 years or older;Female;Total persons;Lower bound 95% confidence interval;2023;79.7;7.1
1272;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2018;83.4;9.6
1273;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2019;81.9;9.6
1274;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2020;73.8;4.5
1275;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2021;78.9;4.9
1276;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2022;80.2;6.9
1277;Population 6 years or older;Female;Total persons;Upper bound 95% confidence interval;2023;80.8;7.7
1278;Population 6 years or older;Female;Age: 6 to 11 years;Value;2018;90.1;
1279;Population 6 years or older;Female;Age: 6 to 11 years;Value;2019;88.3;
1280;Population 6 years or older;Female;Age: 6 to 11 years;Value;2020;80.2;
1281;Population 6 years or older;Female;Age: 6 to 11 years;Value;2021;86.6;
1282;Population 6 years or older;Female;Age: 6 to 11 years;Value;2022;85.4;
1283;Population 6 years or older;Female;Age: 6 to 11 years;Value;2023;86.0;
1284;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2018;88.4;
1285;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2019;85.9;
1286;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2020;78.0;
1287;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2021;84.6;
1288;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2022;82.9;
1289;Population 6 years or older;Female;Age: 6 to 11 years;Lower bound 95% confidence interval;2023;83.6;
1290;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2018;91.7;
1291;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2019;90.3;
1292;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2020;82.2;
1293;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2021;88.3;
1294;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2022;87.5;
1295;Population 6 years or older;Female;Age: 6 to 11 years;Upper bound 95% confidence interval;2023;88.0;
1296;Population 6 years or older;Female;Age: 12 to 17 years;Value;2018;86.9;13.3
1297;Population 6 years or older;Female;Age: 12 to 17 years;Value;2019;86.4;12.2
1298;Population 6 years or older;Female;Age: 12 to 17 years;Value;2020;75.0;6.4
1299;Population 6 years or older;Female;Age: 12 to 17 years;Value;2021;80.3;7.1
1300;Population 6 years or older;Female;Age: 12 to 17 years;Value;2022;83.3;11.0
1301;Population 6 years or older;Female;Age: 12 to 17 years;Value;2023;83.8;10.3
1302;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2018;85.1;11.8
1303;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2019;84.2;10.7
1304;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2020;72.9;5.4
1305;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2021;78.4;6.1
1306;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2022;81.0;9.6
1307;Population 6 years or older;Female;Age: 12 to 17 years;Lower bound 95% confidence interval;2023;81.7;9.0
1308;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2018;88.6;14.8
1309;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2019;88.4;13.9
1310;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2020;76.9;7.5
1311;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2021;82.1;8.4
1312;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2022;85.3;12.6
1313;Population 6 years or older;Female;Age: 12 to 17 years;Upper bound 95% confidence interval;2023;85.8;11.8
1314;Population 6 years or older;Female;Age: 18 to 24 years;Value;2018;87.9;26.6
1315;Population 6 years or older;Female;Age: 18 to 24 years;Value;2019;85.8;27.4
1316;Population 6 years or older;Female;Age: 18 to 24 years;Value;2020;75.9;14.5
1317;Population 6 years or older;Female;Age: 18 to 24 years;Value;2021;81.0;17.2
1318;Population 6 years or older;Female;Age: 18 to 24 years;Value;2022;82.9;20.4
1319;Population 6 years or older;Female;Age: 18 to 24 years;Value;2023;83.5;24.1
1320;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2018;86.0;24.6
1321;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2019;83.7;25.3
1322;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2020;74.0;13.1
1323;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2021;79.5;15.9
1324;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2022;80.9;18.9
1325;Population 6 years or older;Female;Age: 18 to 24 years;Lower bound 95% confidence interval;2023;81.6;22.4
1326;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2018;89.7;28.6
1327;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2019;87.7;29.5
1328;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2020;77.6;16.0
1329;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2021;82.5;18.7
1330;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2022;84.7;22.1
1331;Population 6 years or older;Female;Age: 18 to 24 years;Upper bound 95% confidence interval;2023;85.2;25.9
1332;Population 6 years or older;Female;Age: 25 to 34 years;Value;2018;89.7;14.2
1333;Population 6 years or older;Female;Age: 25 to 34 years;Value;2019;86.5;13.0
1334;Population 6 years or older;Female;Age: 25 to 34 years;Value;2020;77.9;6.1
1335;Population 6 years or older;Female;Age: 25 to 34 years;Value;2021;81.6;7.0
1336;Population 6 years or older;Female;Age: 25 to 34 years;Value;2022;82.6;10.2
1337;Population 6 years or older;Female;Age: 25 to 34 years;Value;2023;83.9;10.6
1338;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2018;88.3;12.9
1339;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2019;84.9;11.8
1340;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2020;76.5;5.4
1341;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2021;80.3;6.3
1342;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2022;81.1;9.2
1343;Population 6 years or older;Female;Age: 25 to 34 years;Lower bound 95% confidence interval;2023;82.4;9.6
1344;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2018;90.9;15.5
1345;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2019;87.9;14.3
1346;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2020;79.2;6.8
1347;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2021;82.8;7.8
1348;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2022;84.0;11.3
1349;Population 6 years or older;Female;Age: 25 to 34 years;Upper bound 95% confidence interval;2023;85.2;11.6
1350;Population 6 years or older;Female;Age: 35 to 49 years;Value;2018;86.8;7.6
1351;Population 6 years or older;Female;Age: 35 to 49 years;Value;2019;86.4;7.7
1352;Population 6 years or older;Female;Age: 35 to 49 years;Value;2020;78.5;3.2
1353;Population 6 years or older;Female;Age: 35 to 49 years;Value;2021;82.4;3.2
1354;Population 6 years or older;Female;Age: 35 to 49 years;Value;2022;83.5;4.9
1355;Population 6 years or older;Female;Age: 35 to 49 years;Value;2023;85.7;6.3
1356;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2018;85.6;6.8
1357;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2019;85.0;6.9
1358;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2020;77.3;2.8
1359;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2021;81.3;2.7
1360;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2022;82.3;4.3
1361;Population 6 years or older;Female;Age: 35 to 49 years;Lower bound 95% confidence interval;2023;84.6;5.7
1362;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2018;88.0;8.4
1363;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2019;87.7;8.6
1364;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2020;79.6;3.8
1365;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2021;83.5;3.7
1366;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2022;84.7;5.6
1367;Population 6 years or older;Female;Age: 35 to 49 years;Upper bound 95% confidence interval;2023;86.8;7.0
1368;Population 6 years or older;Female;Age: 50 to 64 years;Value;2018;84.0;6.2
1369;Population 6 years or older;Female;Age: 50 to 64 years;Value;2019;83.2;6.9
1370;Population 6 years or older;Female;Age: 50 to 64 years;Value;2020;76.8;2.5
1371;Population 6 years or older;Female;Age: 50 to 64 years;Value;2021;81.1;2.6
1372;Population 6 years or older;Female;Age: 50 to 64 years;Value;2022;81.8;4.1
1373;Population 6 years or older;Female;Age: 50 to 64 years;Value;2023;81.5;4.5
1374;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2018;82.8;5.5
1375;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2019;81.9;6.2
1376;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2020;75.7;2.1
1377;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2021;80.0;2.2
1378;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2022;80.6;3.6
1379;Population 6 years or older;Female;Age: 50 to 64 years;Lower bound 95% confidence interval;2023;80.3;4.0
1380;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2018;85.2;6.9
1381;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2019;84.5;7.7
1382;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2020;78.0;3.0
1383;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2021;82.2;3.0
1384;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2022;82.9;4.7
1385;Population 6 years or older;Female;Age: 50 to 64 years;Upper bound 95% confidence interval;2023;82.6;5.0
1386;Population 6 years or older;Female;Age: 65 to 74 years;Value;2018;75.4;5.0
1387;Population 6 years or older;Female;Age: 65 to 74 years;Value;2019;72.4;5.4
1388;Population 6 years or older;Female;Age: 65 to 74 years;Value;2020;66.0;2.2
1389;Population 6 years or older;Female;Age: 65 to 74 years;Value;2021;73.5;2.0
1390;Population 6 years or older;Female;Age: 65 to 74 years;Value;2022;75.7;2.5
1391;Population 6 years or older;Female;Age: 65 to 74 years;Value;2023;76.0;3.2
1392;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2018;73.4;4.1
1393;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2019;70.4;4.6
1394;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2020;64.3;1.7
1395;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2021;72.0;1.5
1396;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2022;74.1;2.0
1397;Population 6 years or older;Female;Age: 65 to 74 years;Lower bound 95% confidence interval;2023;74.3;2.6
1398;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2018;77.2;6.0
1399;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2019;74.4;6.4
1400;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2020;67.6;2.8
1401;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2021;75.0;2.5
1402;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2022;77.3;3.2
1403;Population 6 years or older;Female;Age: 65 to 74 years;Upper bound 95% confidence interval;2023;77.5;3.9
1404;Population 6 years or older;Female;Age: 75 years or older;Value;2018;57.3;3.2
1405;Population 6 years or older;Female;Age: 75 years or older;Value;2019;56.0;2.8
1406;Population 6 years or older;Female;Age: 75 years or older;Value;2020;47.7;
1407;Population 6 years or older;Female;Age: 75 years or older;Value;2021;55.9;1.5
1408;Population 6 years or older;Female;Age: 75 years or older;Value;2022;59.1;2.1
1409;Population 6 years or older;Female;Age: 75 years or older;Value;2023;58.7;2.5
1410;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2018;54.9;2.5
1411;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2019;53.7;2.2
1412;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2020;45.8;
1413;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2021;54.0;1.1
1414;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2022;57.2;1.6
1415;Population 6 years or older;Female;Age: 75 years or older;Lower bound 95% confidence interval;2023;56.9;2.0
1416;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2018;59.6;4.1
1417;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2019;58.2;3.6
1418;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2020;49.6;
1419;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2021;57.7;2.1
1420;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2022;61.0;2.7
1421;Population 6 years or older;Female;Age: 75 years or older;Upper bound 95% confidence interval;2023;60.4;3.1
1422;Population 6 years or older;Female;Background: Dutch;Value;2018;84.6;7.4
1423;Population 6 years or older;Female;Background: Dutch;Value;2019;82.9;7.5
1424;Population 6 years or older;Female;Background: Dutch;Value;2020;76.7;3.4
1425;Population 6 years or older;Female;Background: Dutch;Value;2021;81.0;3.5
1426;Population 6 years or older;Female;Background: Dutch;Value;2022;82.4;4.7
1427;Population 6 years or older;Female;Background: Dutch;Value;2023;;
1428;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2018;84.0;7.0
1429;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2019;82.2;7.1
1430;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2020;76.1;3.1
1431;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2021;80.4;3.3
1432;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2022;81.7;4.4
1433;Population 6 years or older;Female;Background: Dutch;Lower bound 95% confidence interval;2023;;
1434;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2018;85.2;7.8
1435;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2019;83.6;7.9
1436;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2020;77.3;3.6
1437;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2021;81.6;3.8
1438;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2022;83.0;5.0
1439;Population 6 years or older;Female;Background: Dutch;Upper bound 95% confidence interval;2023;;
1440;Population 6 years or older;Female;Background: western;Value;2018;80.3;11.9
1441;Population 6 years or older;Female;Background: western;Value;2019;79.0;12.3
1442;Population 6 years or older;Female;Background: western;Value;2020;68.5;5.5
1443;Population 6 years or older;Female;Background: western;Value;2021;75.0;5.6
1444;Population 6 years or older;Female;Background: western;Value;2022;74.1;9.1
1445;Population 6 years or older;Female;Background: western;Value;2023;;
1446;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2018;78.2;10.5
1447;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2019;76.9;11.0
1448;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2020;66.7;4.8
1449;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2021;73.3;4.9
1450;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2022;72.2;8.0
1451;Population 6 years or older;Female;Background: western;Lower bound 95% confidence interval;2023;;
1452;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2018;82.2;13.4
1453;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2019;80.9;13.9
1454;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2020;70.2;6.4
1455;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2021;76.6;6.4
1456;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2022;76.0;10.3
1457;Population 6 years or older;Female;Background: western;Upper bound 95% confidence interval;2023;;
1458;Population 6 years or older;Female;Background: non-western;Value;2018;74.8;17.8
1459;Population 6 years or older;Female;Background: non-western;Value;2019;73.6;16.7
1460;Population 6 years or older;Female;Background: non-western;Value;2020;57.7;8.1
1461;Population 6 years or older;Female;Background: non-western;Value;2021;66.6;10.1
1462;Population 6 years or older;Female;Background: non-western;Value;2022;70.1;13.9
1463;Population 6 years or older;Female;Background: non-western;Value;2023;;
1464;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2018;72.9;16.3
1465;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2019;71.7;15.3
1466;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2020;56.1;7.2
1467;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2021;65.1;9.2
1468;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2022;68.5;12.8
1469;Population 6 years or older;Female;Background: non-western;Lower bound 95% confidence interval;2023;;
1470;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2018;76.5;19.4
1471;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2019;75.4;18.2
1472;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2020;59.3;9.0
1473;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2021;68.1;11.1
1474;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2022;71.8;15.2
1475;Population 6 years or older;Female;Background: non-western;Upper bound 95% confidence interval;2023;;
1476;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2018;76.3;13.4
1477;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2019;74.0;13.6
1478;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2020;61.5;6.3
1479;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2021;70.0;7.8
1480;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2022;72.7;9.6
1481;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Value;2023;71.5;11.0
1482;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2018;74.6;12.2
1483;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2019;72.3;12.4
1484;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2020;59.9;5.6
1485;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2021;68.5;7.0
1486;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2022;71.0;8.6
1487;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2023;69.9;10.0
1488;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2018;77.9;14.6
1489;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2019;75.7;14.9
1490;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2020;63.1;7.1
1491;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2021;71.4;8.7
1492;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2022;74.2;10.6
1493;Population 6 years or older;Female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2023;73.0;12.0
1494;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2018;75.7;7.3
1495;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2019;75.0;7.3
1496;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2020;65.2;3.9
1497;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2021;72.1;4.7
1498;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2022;74.4;6.5
1499;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Value;2023;74.0;6.3
1500;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2018;74.2;6.6
1501;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2019;73.4;6.5
1502;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2020;63.9;3.4
1503;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2021;70.9;4.2
1504;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2022;73.0;5.8
1505;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2023;72.7;5.6
1506;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2018;77.1;8.2
1507;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2019;76.4;8.1
1508;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2020;66.6;4.5
1509;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2021;73.4;5.3
1510;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2022;75.7;7.3
1511;Population 6 years or older;Female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2023;75.3;7.0
1512;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2018;85.7;8.4
1513;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2019;82.8;8.3
1514;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2020;76.1;4.1
1515;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2021;80.2;4.3
1516;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2022;81.4;5.6
1517;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Value;2023;82.8;6.0
1518;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2018;84.5;7.6
1519;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2019;81.4;7.4
1520;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2020;74.9;3.6
1521;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2021;79.1;3.8
1522;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2022;80.1;5.0
1523;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2023;81.6;5.4
1524;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2018;86.9;9.3
1525;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2019;84.1;9.1
1526;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2020;77.3;4.7
1527;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2021;81.3;4.8
1528;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2022;82.6;6.3
1529;Population 6 years or older;Female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2023;84.0;6.7
1530;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2018;87.5;8.1
1531;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2019;86.5;8.7
1532;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2020;79.6;3.5
1533;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2021;83.5;3.4
1534;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2022;84.4;5.7
1535;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Value;2023;85.7;6.1
1536;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2018;86.3;7.3
1537;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2019;85.2;7.9
1538;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2020;78.5;3.1
1539;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2021;82.5;2.9
1540;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2022;83.2;5.1
1541;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2023;84.6;5.5
1542;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2018;88.6;8.9
1543;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2019;87.6;9.5
1544;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2020;80.7;4.0
1545;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2021;84.4;3.8
1546;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2022;85.5;6.3
