ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
1165;Total natural persons;40 to 44 years;2020 June;7
1166;Total natural persons;40 to 44 years;2020 2nd quarter;24
1167;Total natural persons;40 to 44 years;2020 July;9
1168;Total natural persons;40 to 44 years;2020 August;7
1169;Total natural persons;40 to 44 years;2020 September;14
1170;Total natural persons;40 to 44 years;2020 3rd quarter;30
1171;Total natural persons;40 to 44 years;2020 October;6
1172;Total natural persons;40 to 44 years;2020 November;7
1173;Total natural persons;40 to 44 years;2020 December;14
1174;Total natural persons;40 to 44 years;2020 4th quarter;27
1175;Total natural persons;40 to 44 years;2020;119
1176;Total natural persons;40 to 44 years;2021 January;6
1177;Total natural persons;40 to 44 years;2021 February;12
1178;Total natural persons;40 to 44 years;2021 March;9
1179;Total natural persons;40 to 44 years;2021 1st quarter;27
1180;Total natural persons;40 to 44 years;2021 April;10
1181;Total natural persons;40 to 44 years;2021 May;8
1182;Total natural persons;40 to 44 years;2021 June;4
1183;Total natural persons;40 to 44 years;2021 2nd quarter;22
1184;Total natural persons;40 to 44 years;2021 July;6
1185;Total natural persons;40 to 44 years;2021 August;6
1186;Total natural persons;40 to 44 years;2021 September;13
1187;Total natural persons;40 to 44 years;2021 3rd quarter;25
1188;Total natural persons;40 to 44 years;2021 October;2
1189;Total natural persons;40 to 44 years;2021 November;5
1190;Total natural persons;40 to 44 years;2021 December;6
1191;Total natural persons;40 to 44 years;2021 4th quarter;13
1192;Total natural persons;40 to 44 years;2021;87
1193;Total natural persons;40 to 44 years;2022 January;2
1194;Total natural persons;40 to 44 years;2022 February;6
1195;Total natural persons;40 to 44 years;2022 March;4
1196;Total natural persons;40 to 44 years;2022 1st quarter;12
1197;Total natural persons;40 to 44 years;2022 April;10
1198;Total natural persons;40 to 44 years;2022 May;10
1199;Total natural persons;40 to 44 years;2022 June;9
1200;Total natural persons;40 to 44 years;2022 2nd quarter;29
1201;Total natural persons;40 to 44 years;2022 July;11
1202;Total natural persons;40 to 44 years;2022 August;4
1203;Total natural persons;40 to 44 years;2022 September;4
1204;Total natural persons;40 to 44 years;2022 3rd quarter;19
1205;Total natural persons;40 to 44 years;2022 October;8
1206;Total natural persons;40 to 44 years;2022 November;11
1207;Total natural persons;40 to 44 years;2022 December;9
1208;Total natural persons;40 to 44 years;2022 4th quarter;28
1209;Total natural persons;40 to 44 years;2022;88
1210;Total natural persons;40 to 44 years;2023 January;8
1211;Total natural persons;40 to 44 years;2023 February;7
1212;Total natural persons;40 to 44 years;2023 March;5
1213;Total natural persons;40 to 44 years;2023 1st quarter;20
1214;Total natural persons;40 to 44 years;2023 April;5
1215;Total natural persons;40 to 44 years;2023 May;16
1216;Total natural persons;40 to 44 years;2023 June;10
1217;Total natural persons;40 to 44 years;2023 2nd quarter;31
1218;Total natural persons;40 to 44 years;2023 July;14
1219;Total natural persons;40 to 44 years;2023 August;9
1220;Total natural persons;40 to 44 years;2023 September;11
1221;Total natural persons;40 to 44 years;2023 3rd quarter;34
1222;Total natural persons;40 to 44 years;2023 October;16
1223;Total natural persons;40 to 44 years;2023 November;9
1224;Total natural persons;40 to 44 years;2023 December;9
1225;Total natural persons;40 to 44 years;2023 4th quarter;34
1226;Total natural persons;40 to 44 years;2023;119
1227;Total natural persons;40 to 44 years;2024 January;24
1228;Total natural persons;40 to 44 years;2024 February;7
1229;Total natural persons;40 to 44 years;2024 March;9
1230;Total natural persons;40 to 44 years;2024 1st quarter;40
1231;Total natural persons;40 to 44 years;2024 April;11
1232;Total natural persons;40 to 44 years;2024 May;12
1233;Total natural persons;40 to 44 years;2024 June;11
1234;Total natural persons;40 to 44 years;2024 2nd quarter;34
1235;Total natural persons;40 to 44 years;2024 July;13
1236;Total natural persons;40 to 44 years;2024 August;11
1237;Total natural persons;40 to 44 years;2024 September;14
1238;Total natural persons;40 to 44 years;2024 3rd quarter;38
1239;Total natural persons;40 to 44 years;2024 October;9
1240;Total natural persons;40 to 44 years;2024 November;8
1241;Total natural persons;40 to 44 years;2024 December;9
1242;Total natural persons;40 to 44 years;2024 4th quarter;26
1243;Total natural persons;40 to 44 years;2024;138
1244;Total natural persons;40 to 44 years;2025 January;10
1245;Total natural persons;40 to 44 years;2025 February;6
1246;Total natural persons;40 to 44 years;2025 March;11
1247;Total natural persons;40 to 44 years;2025 1st quarter;27
1248;Total natural persons;45 to 49 years;2013 January;67
1249;Total natural persons;45 to 49 years;2013 February;49
1250;Total natural persons;45 to 49 years;2013 March;72
1251;Total natural persons;45 to 49 years;2013 1st quarter;188
1252;Total natural persons;45 to 49 years;2013 April;47
1253;Total natural persons;45 to 49 years;2013 May;79
1254;Total natural persons;45 to 49 years;2013 June;67
1255;Total natural persons;45 to 49 years;2013 2nd quarter;193
1256;Total natural persons;45 to 49 years;2013 July;54
1257;Total natural persons;45 to 49 years;2013 August;50
1258;Total natural persons;45 to 49 years;2013 September;49
1259;Total natural persons;45 to 49 years;2013 3rd quarter;153
1260;Total natural persons;45 to 49 years;2013 October;74
1261;Total natural persons;45 to 49 years;2013 November;61
1262;Total natural persons;45 to 49 years;2013 December;49
1263;Total natural persons;45 to 49 years;2013 4th quarter;184
1264;Total natural persons;45 to 49 years;2013;718
1265;Total natural persons;45 to 49 years;2014 January;64
1266;Total natural persons;45 to 49 years;2014 February;57
1267;Total natural persons;45 to 49 years;2014 March;44
1268;Total natural persons;45 to 49 years;2014 1st quarter;165
1269;Total natural persons;45 to 49 years;2014 April;60
1270;Total natural persons;45 to 49 years;2014 May;43
1271;Total natural persons;45 to 49 years;2014 June;31
1272;Total natural persons;45 to 49 years;2014 2nd quarter;134
1273;Total natural persons;45 to 49 years;2014 July;31
1274;Total natural persons;45 to 49 years;2014 August;41
1275;Total natural persons;45 to 49 years;2014 September;48
1276;Total natural persons;45 to 49 years;2014 3rd quarter;120
1277;Total natural persons;45 to 49 years;2014 October;47
1278;Total natural persons;45 to 49 years;2014 November;44
1279;Total natural persons;45 to 49 years;2014 December;42
1280;Total natural persons;45 to 49 years;2014 4th quarter;133
1281;Total natural persons;45 to 49 years;2014;552
1282;Total natural persons;45 to 49 years;2015 January;32
1283;Total natural persons;45 to 49 years;2015 February;33
1284;Total natural persons;45 to 49 years;2015 March;41
1285;Total natural persons;45 to 49 years;2015 1st quarter;106
1286;Total natural persons;45 to 49 years;2015 April;33
1287;Total natural persons;45 to 49 years;2015 May;29
1288;Total natural persons;45 to 49 years;2015 June;24
1289;Total natural persons;45 to 49 years;2015 2nd quarter;86
1290;Total natural persons;45 to 49 years;2015 July;33
1291;Total natural persons;45 to 49 years;2015 August;29
1292;Total natural persons;45 to 49 years;2015 September;31
1293;Total natural persons;45 to 49 years;2015 3rd quarter;93
1294;Total natural persons;45 to 49 years;2015 October;35
1295;Total natural persons;45 to 49 years;2015 November;30
1296;Total natural persons;45 to 49 years;2015 December;34
1297;Total natural persons;45 to 49 years;2015 4th quarter;99
1298;Total natural persons;45 to 49 years;2015;384
1299;Total natural persons;45 to 49 years;2016 January;28
1300;Total natural persons;45 to 49 years;2016 February;26
1301;Total natural persons;45 to 49 years;2016 March;27
1302;Total natural persons;45 to 49 years;2016 1st quarter;81
1303;Total natural persons;45 to 49 years;2016 April;20
1304;Total natural persons;45 to 49 years;2016 May;29
1305;Total natural persons;45 to 49 years;2016 June;24
1306;Total natural persons;45 to 49 years;2016 2nd quarter;73
1307;Total natural persons;45 to 49 years;2016 July;18
1308;Total natural persons;45 to 49 years;2016 August;27
1309;Total natural persons;45 to 49 years;2016 September;22
1310;Total natural persons;45 to 49 years;2016 3rd quarter;67
1311;Total natural persons;45 to 49 years;2016 October;22
1312;Total natural persons;45 to 49 years;2016 November;22
1313;Total natural persons;45 to 49 years;2016 December;16
1314;Total natural persons;45 to 49 years;2016 4th quarter;60
1315;Total natural persons;45 to 49 years;2016;281
1316;Total natural persons;45 to 49 years;2017 January;24
1317;Total natural persons;45 to 49 years;2017 February;16
1318;Total natural persons;45 to 49 years;2017 March;28
1319;Total natural persons;45 to 49 years;2017 1st quarter;68
1320;Total natural persons;45 to 49 years;2017 April;21
1321;Total natural persons;45 to 49 years;2017 May;22
1322;Total natural persons;45 to 49 years;2017 June;16
1323;Total natural persons;45 to 49 years;2017 2nd quarter;59
1324;Total natural persons;45 to 49 years;2017 July;17
1325;Total natural persons;45 to 49 years;2017 August;20
1326;Total natural persons;45 to 49 years;2017 September;17
1327;Total natural persons;45 to 49 years;2017 3rd quarter;54
1328;Total natural persons;45 to 49 years;2017 October;26
1329;Total natural persons;45 to 49 years;2017 November;10
1330;Total natural persons;45 to 49 years;2017 December;15
1331;Total natural persons;45 to 49 years;2017 4th quarter;51
1332;Total natural persons;45 to 49 years;2017;232
1333;Total natural persons;45 to 49 years;2018 January;21
1334;Total natural persons;45 to 49 years;2018 February;16
1335;Total natural persons;45 to 49 years;2018 March;17
1336;Total natural persons;45 to 49 years;2018 1st quarter;54
1337;Total natural persons;45 to 49 years;2018 April;17
1338;Total natural persons;45 to 49 years;2018 May;17
1339;Total natural persons;45 to 49 years;2018 June;16
1340;Total natural persons;45 to 49 years;2018 2nd quarter;50
1341;Total natural persons;45 to 49 years;2018 July;14
1342;Total natural persons;45 to 49 years;2018 August;14
1343;Total natural persons;45 to 49 years;2018 September;12
1344;Total natural persons;45 to 49 years;2018 3rd quarter;40
1345;Total natural persons;45 to 49 years;2018 October;11
1346;Total natural persons;45 to 49 years;2018 November;14
1347;Total natural persons;45 to 49 years;2018 December;8
1348;Total natural persons;45 to 49 years;2018 4th quarter;33
1349;Total natural persons;45 to 49 years;2018;177
1350;Total natural persons;45 to 49 years;2019 January;26
1351;Total natural persons;45 to 49 years;2019 February;12
1352;Total natural persons;45 to 49 years;2019 March;14
1353;Total natural persons;45 to 49 years;2019 1st quarter;52
1354;Total natural persons;45 to 49 years;2019 April;19
1355;Total natural persons;45 to 49 years;2019 May;17
1356;Total natural persons;45 to 49 years;2019 June;17
1357;Total natural persons;45 to 49 years;2019 2nd quarter;53
1358;Total natural persons;45 to 49 years;2019 July;14
1359;Total natural persons;45 to 49 years;2019 August;18
1360;Total natural persons;45 to 49 years;2019 September;15
1361;Total natural persons;45 to 49 years;2019 3rd quarter;47
1362;Total natural persons;45 to 49 years;2019 October;15
1363;Total natural persons;45 to 49 years;2019 November;21
1364;Total natural persons;45 to 49 years;2019 December;19
1365;Total natural persons;45 to 49 years;2019 4th quarter;55
1366;Total natural persons;45 to 49 years;2019;207
1367;Total natural persons;45 to 49 years;2020 January;9
1368;Total natural persons;45 to 49 years;2020 February;24
1369;Total natural persons;45 to 49 years;2020 March;7
1370;Total natural persons;45 to 49 years;2020 1st quarter;40
1371;Total natural persons;45 to 49 years;2020 April;13
1372;Total natural persons;45 to 49 years;2020 May;21
1373;Total natural persons;45 to 49 years;2020 June;14
1374;Total natural persons;45 to 49 years;2020 2nd quarter;48
1375;Total natural persons;45 to 49 years;2020 July;12
1376;Total natural persons;45 to 49 years;2020 August;8
1377;Total natural persons;45 to 49 years;2020 September;8
1378;Total natural persons;45 to 49 years;2020 3rd quarter;28
1379;Total natural persons;45 to 49 years;2020 October;6
1380;Total natural persons;45 to 49 years;2020 November;10
1381;Total natural persons;45 to 49 years;2020 December;10
1382;Total natural persons;45 to 49 years;2020 4th quarter;26
1383;Total natural persons;45 to 49 years;2020;142
1384;Total natural persons;45 to 49 years;2021 January;9
1385;Total natural persons;45 to 49 years;2021 February;4
1386;Total natural persons;45 to 49 years;2021 March;9
1387;Total natural persons;45 to 49 years;2021 1st quarter;22
1388;Total natural persons;45 to 49 years;2021 April;11
1389;Total natural persons;45 to 49 years;2021 May;6
1390;Total natural persons;45 to 49 years;2021 June;4
1391;Total natural persons;45 to 49 years;2021 2nd quarter;21
1392;Total natural persons;45 to 49 years;2021 July;7
1393;Total natural persons;45 to 49 years;2021 August;7
1394;Total natural persons;45 to 49 years;2021 September;2
1395;Total natural persons;45 to 49 years;2021 3rd quarter;16
1396;Total natural persons;45 to 49 years;2021 October;9
1397;Total natural persons;45 to 49 years;2021 November;8
1398;Total natural persons;45 to 49 years;2021 December;7
1399;Total natural persons;45 to 49 years;2021 4th quarter;24
1400;Total natural persons;45 to 49 years;2021;83
1401;Total natural persons;45 to 49 years;2022 January;5
1402;Total natural persons;45 to 49 years;2022 February;5
1403;Total natural persons;45 to 49 years;2022 March;7
1404;Total natural persons;45 to 49 years;2022 1st quarter;17
1405;Total natural persons;45 to 49 years;2022 April;8
1406;Total natural persons;45 to 49 years;2022 May;13
1407;Total natural persons;45 to 49 years;2022 June;2
1408;Total natural persons;45 to 49 years;2022 2nd quarter;23
1409;Total natural persons;45 to 49 years;2022 July;2
1410;Total natural persons;45 to 49 years;2022 August;13
1411;Total natural persons;45 to 49 years;2022 September;2
1412;Total natural persons;45 to 49 years;2022 3rd quarter;17
1413;Total natural persons;45 to 49 years;2022 October;6
1414;Total natural persons;45 to 49 years;2022 November;8
1415;Total natural persons;45 to 49 years;2022 December;2
1416;Total natural persons;45 to 49 years;2022 4th quarter;16
1417;Total natural persons;45 to 49 years;2022;73
1418;Total natural persons;45 to 49 years;2023 January;4
1419;Total natural persons;45 to 49 years;2023 February;8
1420;Total natural persons;45 to 49 years;2023 March;4
1421;Total natural persons;45 to 49 years;2023 1st quarter;16
1422;Total natural persons;45 to 49 years;2023 April;4
1423;Total natural persons;45 to 49 years;2023 May;8
1424;Total natural persons;45 to 49 years;2023 June;4
1425;Total natural persons;45 to 49 years;2023 2nd quarter;16
1426;Total natural persons;45 to 49 years;2023 July;5
1427;Total natural persons;45 to 49 years;2023 August;7
1428;Total natural persons;45 to 49 years;2023 September;8
1429;Total natural persons;45 to 49 years;2023 3rd quarter;20
1430;Total natural persons;45 to 49 years;2023 October;6
1431;Total natural persons;45 to 49 years;2023 November;10
1432;Total natural persons;45 to 49 years;2023 December;4
1433;Total natural persons;45 to 49 years;2023 4th quarter;20
1434;Total natural persons;45 to 49 years;2023;72
1435;Total natural persons;45 to 49 years;2024 January;12
1436;Total natural persons;45 to 49 years;2024 February;5
1437;Total natural persons;45 to 49 years;2024 March;11
1438;Total natural persons;45 to 49 years;2024 1st quarter;28
1439;Total natural persons;45 to 49 years;2024 April;10
1440;Total natural persons;45 to 49 years;2024 May;9
1441;Total natural persons;45 to 49 years;2024 June;4
1442;Total natural persons;45 to 49 years;2024 2nd quarter;23
1443;Total natural persons;45 to 49 years;2024 July;3
1444;Total natural persons;45 to 49 years;2024 August;8
1445;Total natural persons;45 to 49 years;2024 September;9
1446;Total natural persons;45 to 49 years;2024 3rd quarter;20
1447;Total natural persons;45 to 49 years;2024 October;9
1448;Total natural persons;45 to 49 years;2024 November;8
1449;Total natural persons;45 to 49 years;2024 December;7
1450;Total natural persons;45 to 49 years;2024 4th quarter;24
1451;Total natural persons;45 to 49 years;2024;95
1452;Total natural persons;45 to 49 years;2025 January;9
1453;Total natural persons;45 to 49 years;2025 February;6
1454;Total natural persons;45 to 49 years;2025 March;9
1455;Total natural persons;45 to 49 years;2025 1st quarter;24
1456;Total natural persons;50 to 54 years;2013 January;39
1457;Total natural persons;50 to 54 years;2013 February;35
1458;Total natural persons;50 to 54 years;2013 March;44
1459;Total natural persons;50 to 54 years;2013 1st quarter;118
1460;Total natural persons;50 to 54 years;2013 April;46
1461;Total natural persons;50 to 54 years;2013 May;50
1462;Total natural persons;50 to 54 years;2013 June;49
1463;Total natural persons;50 to 54 years;2013 2nd quarter;145
1464;Total natural persons;50 to 54 years;2013 July;52
1465;Total natural persons;50 to 54 years;2013 August;31
1466;Total natural persons;50 to 54 years;2013 September;37
1467;Total natural persons;50 to 54 years;2013 3rd quarter;120
1468;Total natural persons;50 to 54 years;2013 October;47
1469;Total natural persons;50 to 54 years;2013 November;49
1470;Total natural persons;50 to 54 years;2013 December;51
1471;Total natural persons;50 to 54 years;2013 4th quarter;147
1472;Total natural persons;50 to 54 years;2013;530
1473;Total natural persons;50 to 54 years;2014 January;48
1474;Total natural persons;50 to 54 years;2014 February;42
1475;Total natural persons;50 to 54 years;2014 March;36
1476;Total natural persons;50 to 54 years;2014 1st quarter;126
1477;Total natural persons;50 to 54 years;2014 April;41
1478;Total natural persons;50 to 54 years;2014 May;22
1479;Total natural persons;50 to 54 years;2014 June;23
1480;Total natural persons;50 to 54 years;2014 2nd quarter;86
1481;Total natural persons;50 to 54 years;2014 July;24
1482;Total natural persons;50 to 54 years;2014 August;30
1483;Total natural persons;50 to 54 years;2014 September;36
1484;Total natural persons;50 to 54 years;2014 3rd quarter;90
1485;Total natural persons;50 to 54 years;2014 October;28
1486;Total natural persons;50 to 54 years;2014 November;38
1487;Total natural persons;50 to 54 years;2014 December;44
1488;Total natural persons;50 to 54 years;2014 4th quarter;110
1489;Total natural persons;50 to 54 years;2014;412
1490;Total natural persons;50 to 54 years;2015 January;46
1491;Total natural persons;50 to 54 years;2015 February;40
1492;Total natural persons;50 to 54 years;2015 March;34
1493;Total natural persons;50 to 54 years;2015 1st quarter;120
1494;Total natural persons;50 to 54 years;2015 April;29
1495;Total natural persons;50 to 54 years;2015 May;21
1496;Total natural persons;50 to 54 years;2015 June;27
1497;Total natural persons;50 to 54 years;2015 2nd quarter;77
1498;Total natural persons;50 to 54 years;2015 July;31
1499;Total natural persons;50 to 54 years;2015 August;17
1500;Total natural persons;50 to 54 years;2015 September;28
1501;Total natural persons;50 to 54 years;2015 3rd quarter;76
1502;Total natural persons;50 to 54 years;2015 October;22
1503;Total natural persons;50 to 54 years;2015 November;19
1504;Total natural persons;50 to 54 years;2015 December;29
1505;Total natural persons;50 to 54 years;2015 4th quarter;70
1506;Total natural persons;50 to 54 years;2015;343
1507;Total natural persons;50 to 54 years;2016 January;17
1508;Total natural persons;50 to 54 years;2016 February;25
1509;Total natural persons;50 to 54 years;2016 March;31
1510;Total natural persons;50 to 54 years;2016 1st quarter;73
1511;Total natural persons;50 to 54 years;2016 April;24
1512;Total natural persons;50 to 54 years;2016 May;24
1513;Total natural persons;50 to 54 years;2016 June;18
1514;Total natural persons;50 to 54 years;2016 2nd quarter;66
1515;Total natural persons;50 to 54 years;2016 July;19
1516;Total natural persons;50 to 54 years;2016 August;20
1517;Total natural persons;50 to 54 years;2016 September;14
1518;Total natural persons;50 to 54 years;2016 3rd quarter;53
1519;Total natural persons;50 to 54 years;2016 October;16
1520;Total natural persons;50 to 54 years;2016 November;21
1521;Total natural persons;50 to 54 years;2016 December;7
1522;Total natural persons;50 to 54 years;2016 4th quarter;44
1523;Total natural persons;50 to 54 years;2016;236
1524;Total natural persons;50 to 54 years;2017 January;20
1525;Total natural persons;50 to 54 years;2017 February;20
1526;Total natural persons;50 to 54 years;2017 March;17
1527;Total natural persons;50 to 54 years;2017 1st quarter;57
1528;Total natural persons;50 to 54 years;2017 April;16
1529;Total natural persons;50 to 54 years;2017 May;18
1530;Total natural persons;50 to 54 years;2017 June;21
1531;Total natural persons;50 to 54 years;2017 2nd quarter;55
1532;Total natural persons;50 to 54 years;2017 July;8
1533;Total natural persons;50 to 54 years;2017 August;13
1534;Total natural persons;50 to 54 years;2017 September;15
1535;Total natural persons;50 to 54 years;2017 3rd quarter;36
1536;Total natural persons;50 to 54 years;2017 October;19
1537;Total natural persons;50 to 54 years;2017 November;9
1538;Total natural persons;50 to 54 years;2017 December;8
1539;Total natural persons;50 to 54 years;2017 4th quarter;36
1540;Total natural persons;50 to 54 years;2017;184
1541;Total natural persons;50 to 54 years;2018 January;9
1542;Total natural persons;50 to 54 years;2018 February;12
1543;Total natural persons;50 to 54 years;2018 March;17
1544;Total natural persons;50 to 54 years;2018 1st quarter;38
1545;Total natural persons;50 to 54 years;2018 April;15
1546;Total natural persons;50 to 54 years;2018 May;13
1547;Total natural persons;50 to 54 years;2018 June;10
1548;Total natural persons;50 to 54 years;2018 2nd quarter;38
1549;Total natural persons;50 to 54 years;2018 July;18
1550;Total natural persons;50 to 54 years;2018 August;14
1551;Total natural persons;50 to 54 years;2018 September;18
1552;Total natural persons;50 to 54 years;2018 3rd quarter;50
1553;Total natural persons;50 to 54 years;2018 October;18
1554;Total natural persons;50 to 54 years;2018 November;17
1555;Total natural persons;50 to 54 years;2018 December;11
1556;Total natural persons;50 to 54 years;2018 4th quarter;46
1557;Total natural persons;50 to 54 years;2018;172
1558;Total natural persons;50 to 54 years;2019 January;16
1559;Total natural persons;50 to 54 years;2019 February;19
1560;Total natural persons;50 to 54 years;2019 March;12
1561;Total natural persons;50 to 54 years;2019 1st quarter;47
1562;Total natural persons;50 to 54 years;2019 April;8
1563;Total natural persons;50 to 54 years;2019 May;8
1564;Total natural persons;50 to 54 years;2019 June;12
1565;Total natural persons;50 to 54 years;2019 2nd quarter;28
1566;Total natural persons;50 to 54 years;2019 July;16
1567;Total natural persons;50 to 54 years;2019 August;11
1568;Total natural persons;50 to 54 years;2019 September;11
1569;Total natural persons;50 to 54 years;2019 3rd quarter;38
1570;Total natural persons;50 to 54 years;2019 October;20
1571;Total natural persons;50 to 54 years;2019 November;9
1572;Total natural persons;50 to 54 years;2019 December;4
1573;Total natural persons;50 to 54 years;2019 4th quarter;33
1574;Total natural persons;50 to 54 years;2019;146
1575;Total natural persons;50 to 54 years;2020 January;16
1576;Total natural persons;50 to 54 years;2020 February;19
1577;Total natural persons;50 to 54 years;2020 March;14
1578;Total natural persons;50 to 54 years;2020 1st quarter;49
1579;Total natural persons;50 to 54 years;2020 April;14
1580;Total natural persons;50 to 54 years;2020 May;11
1581;Total natural persons;50 to 54 years;2020 June;11
1582;Total natural persons;50 to 54 years;2020 2nd quarter;36
1583;Total natural persons;50 to 54 years;2020 July;4
1584;Total natural persons;50 to 54 years;2020 August;4
1585;Total natural persons;50 to 54 years;2020 September;11
1586;Total natural persons;50 to 54 years;2020 3rd quarter;19
1587;Total natural persons;50 to 54 years;2020 October;9
1588;Total natural persons;50 to 54 years;2020 November;9
1589;Total natural persons;50 to 54 years;2020 December;9
1590;Total natural persons;50 to 54 years;2020 4th quarter;27
1591;Total natural persons;50 to 54 years;2020;131
1592;Total natural persons;50 to 54 years;2021 January;10
1593;Total natural persons;50 to 54 years;2021 February;5
1594;Total natural persons;50 to 54 years;2021 March;7
1595;Total natural persons;50 to 54 years;2021 1st quarter;22
1596;Total natural persons;50 to 54 years;2021 April;6
1597;Total natural persons;50 to 54 years;2021 May;8
1598;Total natural persons;50 to 54 years;2021 June;14
1599;Total natural persons;50 to 54 years;2021 2nd quarter;28
1600;Total natural persons;50 to 54 years;2021 July;3
1601;Total natural persons;50 to 54 years;2021 August;2
1602;Total natural persons;50 to 54 years;2021 September;6
1603;Total natural persons;50 to 54 years;2021 3rd quarter;11
1604;Total natural persons;50 to 54 years;2021 October;2
1605;Total natural persons;50 to 54 years;2021 November;9
1606;Total natural persons;50 to 54 years;2021 December;3
1607;Total natural persons;50 to 54 years;2021 4th quarter;14
1608;Total natural persons;50 to 54 years;2021;75
1609;Total natural persons;50 to 54 years;2022 January;5
1610;Total natural persons;50 to 54 years;2022 February;4
1611;Total natural persons;50 to 54 years;2022 March;4
1612;Total natural persons;50 to 54 years;2022 1st quarter;13
1613;Total natural persons;50 to 54 years;2022 April;5
1614;Total natural persons;50 to 54 years;2022 May;8
1615;Total natural persons;50 to 54 years;2022 June;6
1616;Total natural persons;50 to 54 years;2022 2nd quarter;19
1617;Total natural persons;50 to 54 years;2022 July;5
1618;Total natural persons;50 to 54 years;2022 August;4
1619;Total natural persons;50 to 54 years;2022 September;8
1620;Total natural persons;50 to 54 years;2022 3rd quarter;17
1621;Total natural persons;50 to 54 years;2022 October;4
1622;Total natural persons;50 to 54 years;2022 November;14
1623;Total natural persons;50 to 54 years;2022 December;4
1624;Total natural persons;50 to 54 years;2022 4th quarter;22
1625;Total natural persons;50 to 54 years;2022;71
1626;Total natural persons;50 to 54 years;2023 January;8
1627;Total natural persons;50 to 54 years;2023 February;8
1628;Total natural persons;50 to 54 years;2023 March;8
1629;Total natural persons;50 to 54 years;2023 1st quarter;24
1630;Total natural persons;50 to 54 years;2023 April;8
1631;Total natural persons;50 to 54 years;2023 May;9
1632;Total natural persons;50 to 54 years;2023 June;7
1633;Total natural persons;50 to 54 years;2023 2nd quarter;24
1634;Total natural persons;50 to 54 years;2023 July;8
1635;Total natural persons;50 to 54 years;2023 August;9
1636;Total natural persons;50 to 54 years;2023 September;8
1637;Total natural persons;50 to 54 years;2023 3rd quarter;25
1638;Total natural persons;50 to 54 years;2023 October;9
1639;Total natural persons;50 to 54 years;2023 November;8
1640;Total natural persons;50 to 54 years;2023 December;5
1641;Total natural persons;50 to 54 years;2023 4th quarter;22
1642;Total natural persons;50 to 54 years;2023;95
1643;Total natural persons;50 to 54 years;2024 January;13
1644;Total natural persons;50 to 54 years;2024 February;10
1645;Total natural persons;50 to 54 years;2024 March;6
1646;Total natural persons;50 to 54 years;2024 1st quarter;29
1647;Total natural persons;50 to 54 years;2024 April;13
1648;Total natural persons;50 to 54 years;2024 May;4
1649;Total natural persons;50 to 54 years;2024 June;8
1650;Total natural persons;50 to 54 years;2024 2nd quarter;25
1651;Total natural persons;50 to 54 years;2024 July;10
1652;Total natural persons;50 to 54 years;2024 August;6
1653;Total natural persons;50 to 54 years;2024 September;3
1654;Total natural persons;50 to 54 years;2024 3rd quarter;19
1655;Total natural persons;50 to 54 years;2024 October;8
1656;Total natural persons;50 to 54 years;2024 November;7
1657;Total natural persons;50 to 54 years;2024 December;11
1658;Total natural persons;50 to 54 years;2024 4th quarter;26
1659;Total natural persons;50 to 54 years;2024;99
1660;Total natural persons;50 to 54 years;2025 January;12
1661;Total natural persons;50 to 54 years;2025 February;9
1662;Total natural persons;50 to 54 years;2025 March;3
1663;Total natural persons;50 to 54 years;2025 1st quarter;24
1664;Total natural persons;55 to 59 years;2013 January;30
1665;Total natural persons;55 to 59 years;2013 February;28
1666;Total natural persons;55 to 59 years;2013 March;33
1667;Total natural persons;55 to 59 years;2013 1st quarter;91
1668;Total natural persons;55 to 59 years;2013 April;31
1669;Total natural persons;55 to 59 years;2013 May;37
1670;Total natural persons;55 to 59 years;2013 June;24
1671;Total natural persons;55 to 59 years;2013 2nd quarter;92
1672;Total natural persons;55 to 59 years;2013 July;26
1673;Total natural persons;55 to 59 years;2013 August;21
1674;Total natural persons;55 to 59 years;2013 September;29
1675;Total natural persons;55 to 59 years;2013 3rd quarter;76
1676;Total natural persons;55 to 59 years;2013 October;27
1677;Total natural persons;55 to 59 years;2013 November;31
1678;Total natural persons;55 to 59 years;2013 December;22
1679;Total natural persons;55 to 59 years;2013 4th quarter;80
1680;Total natural persons;55 to 59 years;2013;339
1681;Total natural persons;55 to 59 years;2014 January;26
1682;Total natural persons;55 to 59 years;2014 February;27
1683;Total natural persons;55 to 59 years;2014 March;23
1684;Total natural persons;55 to 59 years;2014 1st quarter;76
1685;Total natural persons;55 to 59 years;2014 April;37
1686;Total natural persons;55 to 59 years;2014 May;24
1687;Total natural persons;55 to 59 years;2014 June;20
1688;Total natural persons;55 to 59 years;2014 2nd quarter;81
1689;Total natural persons;55 to 59 years;2014 July;26
1690;Total natural persons;55 to 59 years;2014 August;24
1691;Total natural persons;55 to 59 years;2014 September;23
1692;Total natural persons;55 to 59 years;2014 3rd quarter;73
1693;Total natural persons;55 to 59 years;2014 October;9
1694;Total natural persons;55 to 59 years;2014 November;16
1695;Total natural persons;55 to 59 years;2014 December;23
1696;Total natural persons;55 to 59 years;2014 4th quarter;48
1697;Total natural persons;55 to 59 years;2014;278
1698;Total natural persons;55 to 59 years;2015 January;14
1699;Total natural persons;55 to 59 years;2015 February;25
1700;Total natural persons;55 to 59 years;2015 March;17
1701;Total natural persons;55 to 59 years;2015 1st quarter;56
1702;Total natural persons;55 to 59 years;2015 April;9
