ID;Donorregistation;CharacteristicsHouseholdsPersons;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
452;Permission without donation limitations;Background: 1st generation;2018;94.9;5
453;Permission without donation limitations;Background: 1st generation;2019;97.2;5
454;Permission without donation limitations;Background: 1st generation;2020;105.4;5
455;Permission without donation limitations;Background, 2nd generation;2014;166.1;13
456;Permission without donation limitations;Background, 2nd generation;2015;169.0;13
457;Permission without donation limitations;Background, 2nd generation;2016;172.7;13
458;Permission without donation limitations;Background, 2nd generation;2017;174.8;13
459;Permission without donation limitations;Background, 2nd generation;2018;178.2;13
460;Permission without donation limitations;Background, 2nd generation;2019;178.4;12
461;Permission without donation limitations;Background, 2nd generation;2020;183.8;13
462;Permission with donation limitations;Total population;2014;686.8;5
463;Permission with donation limitations;Total population;2015;708.4;5
464;Permission with donation limitations;Total population;2016;733.8;5
465;Permission with donation limitations;Total population;2017;750.9;5
466;Permission with donation limitations;Total population;2018;776.0;5
467;Permission with donation limitations;Total population;2019;781.9;5
468;Permission with donation limitations;Total population;2020;848.3;6
469;Permission with donation limitations;Sex: male;2014;234.9;3
470;Permission with donation limitations;Sex: male;2015;241.4;3
471;Permission with donation limitations;Sex: male;2016;249.2;3
472;Permission with donation limitations;Sex: male;2017;254.9;3
473;Permission with donation limitations;Sex: male;2018;262.7;4
474;Permission with donation limitations;Sex: male;2019;264.5;4
475;Permission with donation limitations;Sex: male;2020;287.5;4
476;Permission with donation limitations;Sex: female;2014;451.9;6
477;Permission with donation limitations;Sex: female;2015;467.0;6
478;Permission with donation limitations;Sex: female;2016;484.6;6
479;Permission with donation limitations;Sex: female;2017;496.1;7
480;Permission with donation limitations;Sex: female;2018;513.3;7
481;Permission with donation limitations;Sex: female;2019;517.4;7
482;Permission with donation limitations;Sex: female;2020;560.8;7
483;Permission with donation limitations;Age: 12 to 17 years;2014;4.7;0
484;Permission with donation limitations;Age: 12 to 17 years;2015;4.3;0
485;Permission with donation limitations;Age: 12 to 17 years;2016;4.2;0
486;Permission with donation limitations;Age: 12 to 17 years;2017;3.7;0
487;Permission with donation limitations;Age: 12 to 17 years;2018;3.0;0
488;Permission with donation limitations;Age: 12 to 17 years;2019;1.8;0
489;Permission with donation limitations;Age: 12 to 17 years;2020;1.9;0
490;Permission with donation limitations;Age: 18 to 19 years;2014;20.8;5
491;Permission with donation limitations;Age: 18 to 19 years;2015;19.0;5
492;Permission with donation limitations;Age: 18 to 19 years;2016;18.8;5
493;Permission with donation limitations;Age: 18 to 19 years;2017;18.5;4
494;Permission with donation limitations;Age: 18 to 19 years;2018;27.7;7
495;Permission with donation limitations;Age: 18 to 19 years;2019;17.2;4
496;Permission with donation limitations;Age: 18 to 19 years;2020;21.3;5
497;Permission with donation limitations;Age: 20 to 29 years;2014;181.5;9
498;Permission with donation limitations;Age: 20 to 29 years;2015;186.7;9
499;Permission with donation limitations;Age: 20 to 29 years;2016;191.4;9
500;Permission with donation limitations;Age: 20 to 29 years;2017;191.4;9
501;Permission with donation limitations;Age: 20 to 29 years;2018;190.3;9
502;Permission with donation limitations;Age: 20 to 29 years;2019;189.2;9
503;Permission with donation limitations;Age: 20 to 29 years;2020;204.1;9
504;Permission with donation limitations;Age: 30 to 39 years;2014;150.7;7
505;Permission with donation limitations;Age: 30 to 39 years;2015;155.6;8
506;Permission with donation limitations;Age: 30 to 39 years;2016;162.3;8
507;Permission with donation limitations;Age: 30 to 39 years;2017;170.0;8
508;Permission with donation limitations;Age: 30 to 39 years;2018;176.9;9
509;Permission with donation limitations;Age: 30 to 39 years;2019;181.8;9
510;Permission with donation limitations;Age: 30 to 39 years;2020;197.5;9
511;Permission with donation limitations;Age: 40 to 49 years;2014;133.0;5
512;Permission with donation limitations;Age: 40 to 49 years;2015;136.6;6
513;Permission with donation limitations;Age: 40 to 49 years;2016;140.5;6
514;Permission with donation limitations;Age: 40 to 49 years;2017;143.0;6
515;Permission with donation limitations;Age: 40 to 49 years;2018;145.2;6
516;Permission with donation limitations;Age: 40 to 49 years;2019;148.1;7
517;Permission with donation limitations;Age: 40 to 49 years;2020;156.5;7
518;Permission with donation limitations;Age: 50 to 59 years;2014;96.4;4
519;Permission with donation limitations;Age: 50 to 59 years;2015;100.4;4
520;Permission with donation limitations;Age: 50 to 59 years;2016;104.4;4
521;Permission with donation limitations;Age: 50 to 59 years;2017;107.4;4
522;Permission with donation limitations;Age: 50 to 59 years;2018;110.6;4
523;Permission with donation limitations;Age: 50 to 59 years;2019;114.6;5
524;Permission with donation limitations;Age: 50 to 59 years;2020;126.0;5
525;Permission with donation limitations;Age: 60 to 69 years;2014;60.1;3
526;Permission with donation limitations;Age: 60 to 69 years;2015;63.8;3
527;Permission with donation limitations;Age: 60 to 69 years;2016;68.2;3
528;Permission with donation limitations;Age: 60 to 69 years;2017;69.5;3
529;Permission with donation limitations;Age: 60 to 69 years;2018;71.2;3
530;Permission with donation limitations;Age: 60 to 69 years;2019;74.2;4
531;Permission with donation limitations;Age: 60 to 69 years;2020;81.3;4
532;Permission with donation limitations;Age: 70 to 79 years;2014;28.3;2
533;Permission with donation limitations;Age: 70 to 79 years;2015;29.9;2
534;Permission with donation limitations;Age: 70 to 79 years;2016;31.1;2
535;Permission with donation limitations;Age: 70 to 79 years;2017;34.0;2
536;Permission with donation limitations;Age: 70 to 79 years;2018;36.6;3
537;Permission with donation limitations;Age: 70 to 79 years;2019;39.0;3
538;Permission with donation limitations;Age: 70 to 79 years;2020;42.3;3
539;Permission with donation limitations;Age: 80 years or older;2014;11.5;2
540;Permission with donation limitations;Age: 80 years or older;2015;12.3;2
541;Permission with donation limitations;Age: 80 years or older;2016;12.9;2
542;Permission with donation limitations;Age: 80 years or older;2017;13.6;2
543;Permission with donation limitations;Age: 80 years or older;2018;14.4;2
544;Permission with donation limitations;Age: 80 years or older;2019;15.9;2
545;Permission with donation limitations;Age: 80 years or older;2020;17.3;2
546;Permission with donation limitations;Background: Dutch;2014;620.4;5
547;Permission with donation limitations;Background: Dutch;2015;639.2;6
548;Permission with donation limitations;Background: Dutch;2016;661.5;6
549;Permission with donation limitations;Background: Dutch;2017;676.5;6
550;Permission with donation limitations;Background: Dutch;2018;698.6;6
551;Permission with donation limitations;Background: Dutch;2019;703.6;6
552;Permission with donation limitations;Background: Dutch;2020;762.6;7
553;Permission with donation limitations;Background: with migration background;2014;66.5;2
554;Permission with donation limitations;Background: with migration background;2015;69.2;2
555;Permission with donation limitations;Background: with migration background;2016;72.3;2
556;Permission with donation limitations;Background: with migration background;2017;74.4;2
557;Permission with donation limitations;Background: with migration background;2018;77.4;2
558;Permission with donation limitations;Background: with migration background;2019;78.3;2
559;Permission with donation limitations;Background: with migration background;2020;85.7;2
560;Permission with donation limitations;Background: Turkey;2014;1.8;1
561;Permission with donation limitations;Background: Turkey;2015;2.0;1
562;Permission with donation limitations;Background: Turkey;2016;2.2;1
563;Permission with donation limitations;Background: Turkey;2017;2.3;1
564;Permission with donation limitations;Background: Turkey;2018;2.5;1
565;Permission with donation limitations;Background: Turkey;2019;2.5;1
566;Permission with donation limitations;Background: Turkey;2020;2.8;1
567;Permission with donation limitations;Background: Morocco;2014;0.6;0
568;Permission with donation limitations;Background: Morocco;2015;0.6;0
569;Permission with donation limitations;Background: Morocco;2016;0.7;0
570;Permission with donation limitations;Background: Morocco;2017;0.8;0
571;Permission with donation limitations;Background: Morocco;2018;0.9;0
572;Permission with donation limitations;Background: Morocco;2019;0.9;0
573;Permission with donation limitations;Background: Morocco;2020;1.0;0
574;Permission with donation limitations;Background: Surinam;2014;5.7;2
575;Permission with donation limitations;Background: Surinam;2015;6.0;2
576;Permission with donation limitations;Background: Surinam;2016;6.3;2
577;Permission with donation limitations;Background: Surinam;2017;6.5;2
578;Permission with donation limitations;Background: Surinam;2018;6.8;2
579;Permission with donation limitations;Background: Surinam;2019;6.9;2
580;Permission with donation limitations;Background: Surinam;2020;7.8;2
581;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2014;3.3;3
582;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2015;3.5;3
583;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2016;3.7;3
584;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2017;3.8;3
585;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2018;4.0;3
586;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2019;4.0;3
587;Permission with donation limitations;Background: (former) Net Antilles, Aruba;2020;4.4;3
588;Permission with donation limitations;Background: western;2014;46.7;3
589;Permission with donation limitations;Background: western;2015;48.0;3
590;Permission with donation limitations;Background: western;2016;49.6;3
591;Permission with donation limitations;Background: western;2017;50.6;3
592;Permission with donation limitations;Background: western;2018;52.0;3
593;Permission with donation limitations;Background: western;2019;52.4;3
594;Permission with donation limitations;Background: western;2020;56.6;3
595;Permission with donation limitations;Background: non-western;2014;19.8;1
596;Permission with donation limitations;Background: non-western;2015;21.2;1
597;Permission with donation limitations;Background: non-western;2016;22.7;1
598;Permission with donation limitations;Background: non-western;2017;23.9;1
599;Permission with donation limitations;Background: non-western;2018;25.4;1
600;Permission with donation limitations;Background: non-western;2019;25.9;1
601;Permission with donation limitations;Background: non-western;2020;29.1;1
602;Permission with donation limitations;Background: 1st generation;2014;21.3;1
603;Permission with donation limitations;Background: 1st generation;2015;22.1;1
604;Permission with donation limitations;Background: 1st generation;2016;23.0;1
605;Permission with donation limitations;Background: 1st generation;2017;23.6;1
606;Permission with donation limitations;Background: 1st generation;2018;24.3;1
607;Permission with donation limitations;Background: 1st generation;2019;24.7;1
608;Permission with donation limitations;Background: 1st generation;2020;27.0;1
609;Permission with donation limitations;Background, 2nd generation;2014;45.1;4
610;Permission with donation limitations;Background, 2nd generation;2015;47.1;4
611;Permission with donation limitations;Background, 2nd generation;2016;49.3;4
612;Permission with donation limitations;Background, 2nd generation;2017;50.8;4
613;Permission with donation limitations;Background, 2nd generation;2018;53.1;4
614;Permission with donation limitations;Background, 2nd generation;2019;53.6;4
615;Permission with donation limitations;Background, 2nd generation;2020;58.7;4
616;No permission;Total population;2014;1582.2;11
617;No permission;Total population;2015;1574.2;11
618;No permission;Total population;2016;1556.2;11
619;No permission;Total population;2017;1708.3;11
620;No permission;Total population;2018;1900.3;13
621;No permission;Total population;2019;1949.6;13
622;No permission;Total population;2020;2325.0;15
623;No permission;Sex: male;2014;737.8;10
624;No permission;Sex: male;2015;734.8;10
625;No permission;Sex: male;2016;727.8;10
626;No permission;Sex: male;2017;804.2;11
627;No permission;Sex: male;2018;900.3;12
628;No permission;Sex: male;2019;924.7;12
629;No permission;Sex: male;2020;1107.2;15
630;No permission;Sex: female;2014;844.4;11
631;No permission;Sex: female;2015;839.3;11
632;No permission;Sex: female;2016;828.4;11
633;No permission;Sex: female;2017;904.2;12
634;No permission;Sex: female;2018;1000.1;13
635;No permission;Sex: female;2019;1024.9;13
636;No permission;Sex: female;2020;1217.7;16
637;No permission;Age: 12 to 17 years;2014;0.9;0
638;No permission;Age: 12 to 17 years;2015;0.8;0
639;No permission;Age: 12 to 17 years;2016;0.8;0
640;No permission;Age: 12 to 17 years;2017;4.5;0
641;No permission;Age: 12 to 17 years;2018;7.4;1
642;No permission;Age: 12 to 17 years;2019;6.2;1
643;No permission;Age: 12 to 17 years;2020;8.7;1
644;No permission;Age: 18 to 19 years;2014;16.9;4
645;No permission;Age: 18 to 19 years;2015;13.6;3
646;No permission;Age: 18 to 19 years;2016;11.7;3
647;No permission;Age: 18 to 19 years;2017;15.8;4
648;No permission;Age: 18 to 19 years;2018;46.5;11
649;No permission;Age: 18 to 19 years;2019;32.5;7
650;No permission;Age: 18 to 19 years;2020;42.8;10
651;No permission;Age: 20 to 29 years;2014;187.4;9
652;No permission;Age: 20 to 29 years;2015;182.9;9
653;No permission;Age: 20 to 29 years;2016;171.6;8
654;No permission;Age: 20 to 29 years;2017;190.5;9
655;No permission;Age: 20 to 29 years;2018;217.2;10
656;No permission;Age: 20 to 29 years;2019;226.3;10
657;No permission;Age: 20 to 29 years;2020;285.3;13
658;No permission;Age: 30 to 39 years;2014;219.0;11
659;No permission;Age: 30 to 39 years;2015;220.1;11
660;No permission;Age: 30 to 39 years;2016;223.5;11
661;No permission;Age: 30 to 39 years;2017;253.4;12
662;No permission;Age: 30 to 39 years;2018;285.6;14
663;No permission;Age: 30 to 39 years;2019;294.1;14
664;No permission;Age: 30 to 39 years;2020;337.0;16
665;No permission;Age: 40 to 49 years;2014;249.7;10
666;No permission;Age: 40 to 49 years;2015;246.9;10
667;No permission;Age: 40 to 49 years;2016;242.8;10
668;No permission;Age: 40 to 49 years;2017;268.8;11
669;No permission;Age: 40 to 49 years;2018;294.3;13
670;No permission;Age: 40 to 49 years;2019;299.7;13
671;No permission;Age: 40 to 49 years;2020;339.6;15
672;No permission;Age: 50 to 59 years;2014;286.9;12
673;No permission;Age: 50 to 59 years;2015;281.7;12
674;No permission;Age: 50 to 59 years;2016;276.4;11
675;No permission;Age: 50 to 59 years;2017;302.0;12
676;No permission;Age: 50 to 59 years;2018;330.4;13
677;No permission;Age: 50 to 59 years;2019;338.1;13
678;No permission;Age: 50 to 59 years;2020;400.6;16
679;No permission;Age: 60 to 69 years;2014;261.1;13
680;No permission;Age: 60 to 69 years;2015;265.8;13
681;No permission;Age: 60 to 69 years;2016;272.2;13
682;No permission;Age: 60 to 69 years;2017;296.7;14
683;No permission;Age: 60 to 69 years;2018;322.1;15
684;No permission;Age: 60 to 69 years;2019;335.1;16
685;No permission;Age: 60 to 69 years;2020;404.3;19
686;No permission;Age: 70 to 79 years;2014;200.0;16
687;No permission;Age: 70 to 79 years;2015;199.9;16
688;No permission;Age: 70 to 79 years;2016;196.6;15
689;No permission;Age: 70 to 79 years;2017;214.1;16
690;No permission;Age: 70 to 79 years;2018;233.2;16
691;No permission;Age: 70 to 79 years;2019;246.7;16
692;No permission;Age: 70 to 79 years;2020;312.0;20
693;No permission;Age: 80 years or older;2014;160.4;22
694;No permission;Age: 80 years or older;2015;162.5;22
695;No permission;Age: 80 years or older;2016;160.7;21
696;No permission;Age: 80 years or older;2017;162.5;21
697;No permission;Age: 80 years or older;2018;163.7;21
698;No permission;Age: 80 years or older;2019;170.9;21
699;No permission;Age: 80 years or older;2020;194.7;23
700;No permission;Background: Dutch;2014;1289.5;11
701;No permission;Background: Dutch;2015;1278.2;11
702;No permission;Background: Dutch;2016;1259.5;11
703;No permission;Background: Dutch;2017;1350.3;12
704;No permission;Background: Dutch;2018;1459.6;13
705;No permission;Background: Dutch;2019;1480.9;13
706;No permission;Background: Dutch;2020;1729.9;15
707;No permission;Background: with migration background;2014;292.7;10
708;No permission;Background: with migration background;2015;295.9;10
709;No permission;Background: with migration background;2016;296.7;9
710;No permission;Background: with migration background;2017;358.0;11
711;No permission;Background: with migration background;2018;440.7;13
712;No permission;Background: with migration background;2019;468.6;13
713;No permission;Background: with migration background;2020;595.1;16
714;No permission;Background: Turkey;2014;24.9;8
715;No permission;Background: Turkey;2015;25.7;8
716;No permission;Background: Turkey;2016;26.1;8
717;No permission;Background: Turkey;2017;38.1;11
718;No permission;Background: Turkey;2018;53.5;15
719;No permission;Background: Turkey;2019;59.2;17
720;No permission;Background: Turkey;2020;80.9;22
721;No permission;Background: Morocco;2014;36.4;13
722;No permission;Background: Morocco;2015;37.3;13
723;No permission;Background: Morocco;2016;38.0;13
724;No permission;Background: Morocco;2017;56.8;18
725;No permission;Background: Morocco;2018;81.8;26
726;No permission;Background: Morocco;2019;87.7;27
727;No permission;Background: Morocco;2020;107.8;32
728;No permission;Background: Surinam;2014;35.8;12
729;No permission;Background: Surinam;2015;36.2;12
730;No permission;Background: Surinam;2016;36.5;12
731;No permission;Background: Surinam;2017;42.0;13
732;No permission;Background: Surinam;2018;50.6;16
733;No permission;Background: Surinam;2019;53.5;17
734;No permission;Background: Surinam;2020;68.5;21
735;No permission;Background: (former) Net Antilles, Aruba;2014;8.3;7
736;No permission;Background: (former) Net Antilles, Aruba;2015;8.5;7
737;No permission;Background: (former) Net Antilles, Aruba;2016;8.6;7
738;No permission;Background: (former) Net Antilles, Aruba;2017;10.0;8
739;No permission;Background: (former) Net Antilles, Aruba;2018;12.4;10
740;No permission;Background: (former) Net Antilles, Aruba;2019;13.2;10
741;No permission;Background: (former) Net Antilles, Aruba;2020;18.0;13
742;No permission;Background: western;2014;146.2;10
743;No permission;Background: western;2015;145.3;10
744;No permission;Background: western;2016;143.6;10
745;No permission;Background: western;2017;156.8;10
746;No permission;Background: western;2018;171.3;11
747;No permission;Background: western;2019;176.1;11
748;No permission;Background: western;2020;211.3;13
749;No permission;Background: non-western;2014;146.6;9
750;No permission;Background: non-western;2015;150.6;9
751;No permission;Background: non-western;2016;153.1;9
752;No permission;Background: non-western;2017;201.2;11
753;No permission;Background: non-western;2018;269.4;15
754;No permission;Background: non-western;2019;292.5;15
755;No permission;Background: non-western;2020;383.8;19
756;No permission;Background: 1st generation;2014;159.4;9
757;No permission;Background: 1st generation;2015;160.6;9
758;No permission;Background: 1st generation;2016;160.2;9
759;No permission;Background: 1st generation;2017;191.1;10
760;No permission;Background: 1st generation;2018;231.0;12
761;No permission;Background: 1st generation;2019;248.3;12
762;No permission;Background: 1st generation;2020;317.9;15
763;No permission;Background, 2nd generation;2014;133.4;10
764;No permission;Background, 2nd generation;2015;135.4;10
765;No permission;Background, 2nd generation;2016;136.5;10
766;No permission;Background, 2nd generation;2017;166.9;12
767;No permission;Background, 2nd generation;2018;209.7;15
768;No permission;Background, 2nd generation;2019;220.3;15
769;No permission;Background, 2nd generation;2020;277.2;19
770;Decision by relatives;Total population;2014;600.8;4
771;Decision by relatives;Total population;2015;601.7;4
772;Decision by relatives;Total population;2016;603.8;4
773;Decision by relatives;Total population;2017;608.4;4
774;Decision by relatives;Total population;2018;621.0;4
775;Decision by relatives;Total population;2019;624.4;4
776;Decision by relatives;Total population;2020;677.6;4
777;Decision by relatives;Sex: male;2014;283.9;4
778;Decision by relatives;Sex: male;2015;284.0;4
779;Decision by relatives;Sex: male;2016;284.9;4
780;Decision by relatives;Sex: male;2017;286.7;4
781;Decision by relatives;Sex: male;2018;292.5;4
782;Decision by relatives;Sex: male;2019;294.0;4
783;Decision by relatives;Sex: male;2020;318.1;4
784;Decision by relatives;Sex: female;2014;317.0;4
785;Decision by relatives;Sex: female;2015;317.8;4
786;Decision by relatives;Sex: female;2016;319.0;4
787;Decision by relatives;Sex: female;2017;321.8;4
788;Decision by relatives;Sex: female;2018;328.4;4
789;Decision by relatives;Sex: female;2019;330.4;4
790;Decision by relatives;Sex: female;2020;359.4;5
791;Decision by relatives;Age: 12 to 17 years;2014;0.6;0
792;Decision by relatives;Age: 12 to 17 years;2015;0.5;0
793;Decision by relatives;Age: 12 to 17 years;2016;0.5;0
794;Decision by relatives;Age: 12 to 17 years;2017;0.7;0
795;Decision by relatives;Age: 12 to 17 years;2018;0.7;0
796;Decision by relatives;Age: 12 to 17 years;2019;0.6;0
797;Decision by relatives;Age: 12 to 17 years;2020;1.0;0
798;Decision by relatives;Age: 18 to 19 years;2014;5.2;1
799;Decision by relatives;Age: 18 to 19 years;2015;4.2;1
800;Decision by relatives;Age: 18 to 19 years;2016;4.1;1
801;Decision by relatives;Age: 18 to 19 years;2017;4.4;1
802;Decision by relatives;Age: 18 to 19 years;2018;11.5;3
803;Decision by relatives;Age: 18 to 19 years;2019;7.3;2
804;Decision by relatives;Age: 18 to 19 years;2020;10.6;2
805;Decision by relatives;Age: 20 to 29 years;2014;77.8;4
806;Decision by relatives;Age: 20 to 29 years;2015;74.1;3
807;Decision by relatives;Age: 20 to 29 years;2016;67.7;3
808;Decision by relatives;Age: 20 to 29 years;2017;64.5;3
809;Decision by relatives;Age: 20 to 29 years;2018;62.8;3
810;Decision by relatives;Age: 20 to 29 years;2019;61.6;3
811;Decision by relatives;Age: 20 to 29 years;2020;72.4;3
812;Decision by relatives;Age: 30 to 39 years;2014;99.5;5
813;Decision by relatives;Age: 30 to 39 years;2015;97.8;5
814;Decision by relatives;Age: 30 to 39 years;2016;99.8;5
815;Decision by relatives;Age: 30 to 39 years;2017;101.0;5
816;Decision by relatives;Age: 30 to 39 years;2018;101.6;5
817;Decision by relatives;Age: 30 to 39 years;2019;101.8;5
818;Decision by relatives;Age: 30 to 39 years;2020;108.1;5
819;Decision by relatives;Age: 40 to 49 years;2014;127.9;5
820;Decision by relatives;Age: 40 to 49 years;2015;126.4;5
821;Decision by relatives;Age: 40 to 49 years;2016;124.3;5
822;Decision by relatives;Age: 40 to 49 years;2017;123.0;5
823;Decision by relatives;Age: 40 to 49 years;2018;121.5;5
824;Decision by relatives;Age: 40 to 49 years;2019;119.4;5
825;Decision by relatives;Age: 40 to 49 years;2020;123.8;6
826;Decision by relatives;Age: 50 to 59 years;2014;130.0;5
827;Decision by relatives;Age: 50 to 59 years;2015;129.0;5
828;Decision by relatives;Age: 50 to 59 years;2016;128.5;5
829;Decision by relatives;Age: 50 to 59 years;2017;127.8;5
830;Decision by relatives;Age: 50 to 59 years;2018;128.0;5
831;Decision by relatives;Age: 50 to 59 years;2019;128.9;5
832;Decision by relatives;Age: 50 to 59 years;2020;138.9;5
833;Decision by relatives;Age: 60 to 69 years;2014;98.4;5
834;Decision by relatives;Age: 60 to 69 years;2015;103.5;5
835;Decision by relatives;Age: 60 to 69 years;2016;108.9;5
836;Decision by relatives;Age: 60 to 69 years;2017;110.9;5
837;Decision by relatives;Age: 60 to 69 years;2018;112.8;5
838;Decision by relatives;Age: 60 to 69 years;2019;116.0;6
839;Decision by relatives;Age: 60 to 69 years;2020;125.4;6
840;Decision by relatives;Age: 70 to 79 years;2014;44.0;4
841;Decision by relatives;Age: 70 to 79 years;2015;47.4;4
842;Decision by relatives;Age: 70 to 79 years;2016;50.2;4
843;Decision by relatives;Age: 70 to 79 years;2017;55.2;4
844;Decision by relatives;Age: 70 to 79 years;2018;59.7;4
845;Decision by relatives;Age: 70 to 79 years;2019;64.5;4
846;Decision by relatives;Age: 70 to 79 years;2020;71.0;4
847;Decision by relatives;Age: 80 years or older;2014;17.4;2
848;Decision by relatives;Age: 80 years or older;2015;18.8;3
849;Decision by relatives;Age: 80 years or older;2016;19.7;3
850;Decision by relatives;Age: 80 years or older;2017;21.0;3
851;Decision by relatives;Age: 80 years or older;2018;22.3;3
852;Decision by relatives;Age: 80 years or older;2019;24.3;3
853;Decision by relatives;Age: 80 years or older;2020;26.5;3
854;Decision by relatives;Background: Dutch;2014;541.5;5
855;Decision by relatives;Background: Dutch;2015;541.9;5
856;Decision by relatives;Background: Dutch;2016;543.3;5
857;Decision by relatives;Background: Dutch;2017;546.1;5
858;Decision by relatives;Background: Dutch;2018;555.7;5
859;Decision by relatives;Background: Dutch;2019;557.9;5
860;Decision by relatives;Background: Dutch;2020;601.7;5
861;Decision by relatives;Background: with migration background;2014;59.3;2
862;Decision by relatives;Background: with migration background;2015;59.8;2
863;Decision by relatives;Background: with migration background;2016;60.5;2
864;Decision by relatives;Background: with migration background;2017;62.4;2
865;Decision by relatives;Background: with migration background;2018;65.2;2
866;Decision by relatives;Background: with migration background;2019;66.5;2
867;Decision by relatives;Background: with migration background;2020;75.9;2
868;Decision by relatives;Background: Turkey;2014;1.8;1
869;Decision by relatives;Background: Turkey;2015;1.9;1
870;Decision by relatives;Background: Turkey;2016;2.0;1
871;Decision by relatives;Background: Turkey;2017;2.3;1
872;Decision by relatives;Background: Turkey;2018;2.7;1
873;Decision by relatives;Background: Turkey;2019;2.9;1
874;Decision by relatives;Background: Turkey;2020;3.8;1
875;Decision by relatives;Background: Morocco;2014;0.7;0
876;Decision by relatives;Background: Morocco;2015;0.7;0
877;Decision by relatives;Background: Morocco;2016;0.8;0
878;Decision by relatives;Background: Morocco;2017;0.9;0
879;Decision by relatives;Background: Morocco;2018;1.0;0
880;Decision by relatives;Background: Morocco;2019;1.1;0
881;Decision by relatives;Background: Morocco;2020;1.4;0
882;Decision by relatives;Background: Surinam;2014;4.7;2
883;Decision by relatives;Background: Surinam;2015;4.7;2
884;Decision by relatives;Background: Surinam;2016;4.8;2
885;Decision by relatives;Background: Surinam;2017;5.0;2
886;Decision by relatives;Background: Surinam;2018;5.3;2
887;Decision by relatives;Background: Surinam;2019;5.4;2
888;Decision by relatives;Background: Surinam;2020;6.5;2
889;Decision by relatives;Background: (former) Net Antilles, Aruba;2014;2.0;2
890;Decision by relatives;Background: (former) Net Antilles, Aruba;2015;2.1;2
891;Decision by relatives;Background: (former) Net Antilles, Aruba;2016;2.1;2
892;Decision by relatives;Background: (former) Net Antilles, Aruba;2017;2.2;2
893;Decision by relatives;Background: (former) Net Antilles, Aruba;2018;2.4;2
894;Decision by relatives;Background: (former) Net Antilles, Aruba;2019;2.5;2
895;Decision by relatives;Background: (former) Net Antilles, Aruba;2020;2.9;2
896;Decision by relatives;Background: western;2014;43.4;3
897;Decision by relatives;Background: western;2015;43.5;3
898;Decision by relatives;Background: western;2016;43.7;3
899;Decision by relatives;Background: western;2017;44.3;3
900;Decision by relatives;Background: western;2018;45.1;3
901;Decision by relatives;Background: western;2019;45.5;3
902;Decision by relatives;Background: western;2020;49.7;3
903;Decision by relatives;Background: non-western;2014;15.9;1
904;Decision by relatives;Background: non-western;2015;16.3;1
905;Decision by relatives;Background: non-western;2016;16.8;1
906;Decision by relatives;Background: non-western;2017;18.1;1
907;Decision by relatives;Background: non-western;2018;20.2;1
908;Decision by relatives;Background: non-western;2019;21.1;1
909;Decision by relatives;Background: non-western;2020;26.2;1
910;Decision by relatives;Background: 1st generation;2014;22.3;1
911;Decision by relatives;Background: 1st generation;2015;22.6;1
912;Decision by relatives;Background: 1st generation;2016;22.8;1
913;Decision by relatives;Background: 1st generation;2017;23.8;1
914;Decision by relatives;Background: 1st generation;2018;25.1;1
915;Decision by relatives;Background: 1st generation;2019;25.9;1
916;Decision by relatives;Background: 1st generation;2020;30.3;1
917;Decision by relatives;Background, 2nd generation;2014;37.0;3
918;Decision by relatives;Background, 2nd generation;2015;37.3;3
919;Decision by relatives;Background, 2nd generation;2016;37.7;3
920;Decision by relatives;Background, 2nd generation;2017;38.5;3
921;Decision by relatives;Background, 2nd generation;2018;40.2;3
922;Decision by relatives;Background, 2nd generation;2019;40.6;3
923;Decision by relatives;Background, 2nd generation;2020;45.5;3
924;Decision by designated person;Total population;2014;102.4;1
925;Decision by designated person;Total population;2015;102.2;1
926;Decision by designated person;Total population;2016;102.1;1
927;Decision by designated person;Total population;2017;101.2;1
928;Decision by designated person;Total population;2018;100.9;1
929;Decision by designated person;Total population;2019;100.7;1
930;Decision by designated person;Total population;2020;101.8;1
931;Decision by designated person;Sex: male;2014;46.7;1
932;Decision by designated person;Sex: male;2015;46.7;1
933;Decision by designated person;Sex: male;2016;46.6;1
934;Decision by designated person;Sex: male;2017;46.2;1
935;Decision by designated person;Sex: male;2018;46.1;1
936;Decision by designated person;Sex: male;2019;46.0;1
937;Decision by designated person;Sex: male;2020;46.7;1
938;Decision by designated person;Sex: female;2014;55.6;1
939;Decision by designated person;Sex: female;2015;55.5;1
940;Decision by designated person;Sex: female;2016;55.5;1
941;Decision by designated person;Sex: female;2017;55.0;1
942;Decision by designated person;Sex: female;2018;54.8;1
943;Decision by designated person;Sex: female;2019;54.8;1
944;Decision by designated person;Sex: female;2020;55.1;1
945;Decision by designated person;Age: 12 to 17 years;2014;0.1;0
946;Decision by designated person;Age: 12 to 17 years;2015;0.1;0
947;Decision by designated person;Age: 12 to 17 years;2016;0.1;0
948;Decision by designated person;Age: 12 to 17 years;2017;0.1;0
949;Decision by designated person;Age: 12 to 17 years;2018;0.1;0
950;Decision by designated person;Age: 12 to 17 years;2019;0.1;0
