ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
400;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2022;0.0
401;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2023;0.0
402;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2021;9.0
403;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2022;8.0
404;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2023;6.0
405;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2021;0.0
406;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2022;0.0
407;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2023;0.0
408;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2021;0.0
409;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2022;0.0
410;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2023;0.0
411;HCR2: Health promotion multi-sector;Total financing of residents;2021;0.0
412;HCR2: Health promotion multi-sector;Total financing of residents;2022;0.0
413;HCR2: Health promotion multi-sector;Total financing of residents;2023;0.0
414;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2021;0.0
415;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2022;0.0
416;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2023;0.0
417;HCR2: Health promotion multi-sector;HF11: Government schemes;2021;0.0
418;HCR2: Health promotion multi-sector;HF11: Government schemes;2022;0.0
419;HCR2: Health promotion multi-sector;HF11: Government schemes;2023;0.0
420;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2021;0.0
421;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2022;0.0
422;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2023;0.0
423;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2021;0.0
424;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2022;0.0
425;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2023;0.0
426;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2021;
427;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2022;
428;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2023;
429;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2021;0.0
430;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2022;0.0
431;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2023;0.0
432;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2021;0.0
433;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2022;0.0
434;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2023;0.0
435;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2021;0.0
436;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2022;0.0
437;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2023;0.0
438;HCR2: Health promotion multi-sector;HF21: Voluntary health insurance schemes;2021;0.0
439;HCR2: Health promotion multi-sector;HF21: Voluntary health insurance schemes;2022;0.0
440;HCR2: Health promotion multi-sector;HF21: Voluntary health insurance schemes;2023;0.0
441;HCR2: Health promotion multi-sector;HF22: Financing schemes NPISH;2021;0.0
442;HCR2: Health promotion multi-sector;HF22: Financing schemes NPISH;2022;0.0
443;HCR2: Health promotion multi-sector;HF22: Financing schemes NPISH;2023;0.0
444;HCR2: Health promotion multi-sector;HF23: Enterprise financing schemes;2021;0.0
445;HCR2: Health promotion multi-sector;HF23: Enterprise financing schemes;2022;0.0
446;HCR2: Health promotion multi-sector;HF23: Enterprise financing schemes;2023;0.0
447;HCR2: Health promotion multi-sector;HF3: Household out-of-pocket payments;2021;0.0
448;HCR2: Health promotion multi-sector;HF3: Household out-of-pocket payments;2022;0.0
449;HCR2: Health promotion multi-sector;HF3: Household out-of-pocket payments;2023;0.0
450;HCR2: Health promotion multi-sector;HF31: Out-of-pocket excl cost sharing;2021;0.0
451;HCR2: Health promotion multi-sector;HF31: Out-of-pocket excl cost sharing;2022;0.0
452;HCR2: Health promotion multi-sector;HF31: Out-of-pocket excl cost sharing;2023;0.0
453;HCR2: Health promotion multi-sector;HF32: Cost sharing;2021;0.0
454;HCR2: Health promotion multi-sector;HF32: Cost sharing;2022;0.0
455;HCR2: Health promotion multi-sector;HF32: Cost sharing;2023;0.0
456;HCR2: Health promotion multi-sector;"Rest of the world; exports";2021;0.0
457;HCR2: Health promotion multi-sector;"Rest of the world; exports";2022;0.0
458;HCR2: Health promotion multi-sector;"Rest of the world; exports";2023;0.0
