ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
2185;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2006;78.6;77.0
2186;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2009;79.3;75.8
2187;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2012;79.2;78.0
2188;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2015;66.0;73.1
2189;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2018;64.8;70.3
2190;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2021;63.7;73.0
2191;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Value;2024;62.0;71.7
2192;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2002;78.3;75.6
2193;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2006;76.2;74.7
2194;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2009;77.3;73.7
2195;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;77.0;75.9
2196;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;62.7;70.1
2197;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;61.4;67.0
2198;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;59.6;69.2
2199;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Lower bound 95% confidence interval;2024;57.8;67.7
2200;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2002;81.9;79.4
2201;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2006;80.7;79.2
2202;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2009;81.2;77.8
2203;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;81.1;80.0
2204;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;69.2;75.9
2205;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;68.2;73.4
2206;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;67.6;76.4
2207;Total;Age head of household: 45 to 54;Living surface: less than  75 m²;Upper bound 95% confidence interval;2024;66.0;75.3
2208;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2002;85.4;80.4
2209;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2006;85.3;79.9
2210;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2009;83.3;77.0
2211;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2012;85.0;80.7
2212;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2015;80.3;76.0
2213;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2018;75.0;76.1
2214;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2021;74.1;77.6
2215;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Value;2024;68.7;74.1
2216;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2002;83.5;78.3
2217;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2006;83.0;77.4
2218;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2009;81.2;74.6
2219;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;82.8;78.3
2220;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;78.2;73.8
2221;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;72.7;73.9
2222;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;71.3;74.9
2223;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2024;65.5;71.1
2224;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2002;87.1;82.3
2225;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2006;87.4;82.2
2226;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2009;85.2;79.2
2227;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;87.0;82.9
2228;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;82.3;78.1
2229;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;77.1;78.1
2230;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;76.8;80.0
2231;Total;Age head of household: 45 to 54;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2024;71.7;76.8
2232;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2002;93.4;85.7
2233;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2006;92.3;85.5
2234;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2009;92.4;83.4
2235;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2012;90.7;83.5
2236;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2015;89.6;82.5
2237;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2018;86.9;85.2
2238;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2021;88.4;83.4
2239;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Value;2024;86.3;83.0
2240;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2002;92.5;84.4
2241;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2006;91.2;84.0
2242;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2009;91.3;81.9
2243;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;89.5;82.0
2244;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;88.4;81.1
2245;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;85.6;83.9
2246;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;86.9;81.8
2247;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2024;84.7;81.3
2248;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2002;94.3;86.9
2249;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2006;93.3;86.9
2250;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2009;93.3;84.8
2251;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;91.8;84.9
2252;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;90.6;83.8
2253;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;88.0;86.3
2254;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;89.7;84.9
2255;Total;Age head of household: 45 to 54;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2024;87.8;84.6
2256;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2002;96.7;90.4
2257;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2006;96.8;90.0
2258;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2009;96.8;89.0
2259;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2012;95.8;89.8
2260;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2015;96.1;89.0
2261;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2018;95.1;90.3
2262;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2021;96.6;92.3
2263;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Value;2024;94.4;91.3
2264;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2002;96.0;89.3
2265;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2006;96.1;88.8
2266;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2009;96.0;87.8
2267;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;95.0;88.5
2268;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;95.1;87.6
2269;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;94.0;89.0
2270;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;95.6;90.9
2271;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Lower bound 95% confidence interval;2024;93.0;89.7
2272;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2002;97.3;91.4
2273;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2006;97.4;91.1
2274;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2009;97.4;90.1
2275;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;96.6;90.9
2276;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;96.9;90.3
2277;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;96.0;91.5
2278;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;97.4;93.5
2279;Total;Age head of household: 45 to 54;Living surface: 150 m² or more;Upper bound 95% confidence interval;2024;95.5;92.6
2280;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2002;72.2;74.0
2281;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2006;73.6;73.9
2282;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2009;77.4;76.3
2283;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2012;73.7;74.6
2284;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2015;65.1;78.4
2285;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2018;67.9;73.3
2286;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2021;62.2;75.1
2287;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Value;2024;65.6;74.6
2288;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2002;67.1;69.0
2289;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2006;68.1;68.6
2290;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2009;72.7;71.2
2291;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2012;68.5;69.4
2292;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2015;59.7;73.8
2293;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2018;62.7;68.4
2294;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2021;55.8;69.2
2295;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Lower bound 95% confidence interval;2024;59.4;68.9
2296;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2002;76.7;78.4
2297;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2006;78.5;78.6
2298;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2009;81.5;80.8
2299;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2012;78.4;79.2
2300;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2015;70.2;82.3
2301;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2018;72.6;77.7
2302;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2021;68.3;80.2
2303;Total;Age head of household: 45 to 54;Number of rooms: 2 or less;Upper bound 95% confidence interval;2024;71.3;79.6
2304;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2002;83.3;75.9
2305;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2006;82.2;77.3
2306;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2009;81.0;75.5
2307;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2012;79.0;77.3
2308;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2015;76.1;74.3
2309;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2018;73.4;76.0
2310;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2021;73.0;76.5
2311;Total;Age head of household: 45 to 54;Number of rooms: 3;Value;2024;68.2;72.9
2312;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2002;80.9;73.2
2313;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2006;79.6;74.4
2314;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2009;78.5;72.8
2315;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2012;76.2;74.5
2316;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2015;73.2;71.4
2317;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2018;70.5;73.2
2318;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2021;69.5;73.1
2319;Total;Age head of household: 45 to 54;Number of rooms: 3;Lower bound 95% confidence interval;2024;64.4;69.4
2320;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2002;85.4;78.4
2321;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2006;84.6;79.9
2322;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2009;83.2;78.0
2323;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2012;81.5;79.9
2324;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2015;78.7;77.0
2325;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2018;76.2;78.6
2326;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2021;76.4;79.5
2327;Total;Age head of household: 45 to 54;Number of rooms: 3;Upper bound 95% confidence interval;2024;71.7;76.2
2328;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2002;88.4;83.7
2329;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2006;88.7;84.0
2330;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2009;86.6;79.1
2331;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2012;86.6;81.5
2332;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2015;83.1;77.5
2333;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2018;78.5;78.6
2334;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2021;80.1;79.6
2335;Total;Age head of household: 45 to 54;Number of rooms: 4;Value;2024;77.3;78.8
2336;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2002;87.3;82.4
2337;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2006;87.4;82.4
2338;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2009;85.2;77.5
2339;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2012;85.2;79.8
2340;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2015;81.4;75.7
2341;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2018;76.7;76.7
2342;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2021;77.9;77.5
2343;Total;Age head of household: 45 to 54;Number of rooms: 4;Lower bound 95% confidence interval;2024;75.0;76.5
2344;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2002;89.5;84.9
2345;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2006;89.9;85.4
2346;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2009;87.9;80.7
2347;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2012;87.9;83.0
2348;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2015;84.7;79.3
2349;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2018;80.3;80.3
2350;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2021;82.1;81.7
2351;Total;Age head of household: 45 to 54;Number of rooms: 4;Upper bound 95% confidence interval;2024;79.5;80.9
2352;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2002;94.0;88.2
2353;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2006;94.1;87.0
2354;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2009;93.7;86.1
2355;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2012;92.8;84.9
2356;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2015;90.0;83.3
2357;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2018;87.5;85.2
2358;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2021;89.1;85.0
2359;Total;Age head of household: 45 to 54;Number of rooms: 5;Value;2024;88.1;86.3
2360;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2002;93.1;87.0
2361;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2006;93.1;85.6
2362;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2009;92.8;84.7
2363;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2012;91.7;83.4
2364;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2015;88.6;81.7
2365;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2018;86.0;83.7
2366;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2021;87.4;83.1
2367;Total;Age head of household: 45 to 54;Number of rooms: 5;Lower bound 95% confidence interval;2024;86.2;84.4
2368;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2002;94.7;89.3
2369;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2006;95.0;88.3
2370;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2009;94.6;87.4
2371;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2012;93.8;86.3
2372;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2015;91.3;84.9
2373;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2018;88.9;86.6
2374;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2021;90.6;86.7
2375;Total;Age head of household: 45 to 54;Number of rooms: 5;Upper bound 95% confidence interval;2024;89.7;88.0
2376;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2002;96.4;87.6
2377;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2006;96.5;88.9
2378;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2009;95.7;87.5
2379;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2012;94.9;90.2
2380;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2015;95.6;88.1
2381;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2018;93.3;90.1
2382;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2021;95.9;89.4
2383;Total;Age head of household: 45 to 54;Number of rooms: 6;Value;2024;93.7;88.2
2384;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2002;95.1;85.7
2385;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2006;95.2;86.7
2386;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2009;94.3;85.3
2387;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2012;93.4;88.4
2388;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2015;94.3;86.1
2389;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2018;91.6;88.2
2390;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2021;94.3;87.1
2391;Total;Age head of household: 45 to 54;Number of rooms: 6;Lower bound 95% confidence interval;2024;91.6;85.6
2392;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2002;97.3;89.4
2393;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2006;97.5;90.7
2394;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2009;96.8;89.3
2395;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2012;96.1;91.8
2396;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2015;96.6;89.8
2397;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2018;94.6;91.7
2398;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2021;97.1;91.4
2399;Total;Age head of household: 45 to 54;Number of rooms: 6;Upper bound 95% confidence interval;2024;95.3;90.4
2400;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2002;97.9;90.4
2401;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2006;96.5;91.7
2402;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2009;96.9;89.6
2403;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2012;96.8;92.1
2404;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2015;96.2;90.0
2405;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2018;95.6;90.7
2406;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2021;95.2;92.4
2407;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Value;2024;93.3;90.3
2408;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2002;96.6;88.2
2409;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2006;94.7;89.1
2410;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2009;95.4;87.3
2411;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2012;95.4;90.2
2412;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2015;94.6;87.9
2413;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2018;94.1;88.7
2414;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2021;93.3;90.2
2415;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Lower bound 95% confidence interval;2024;90.4;87.1
2416;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2002;98.7;92.2
2417;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2006;97.7;93.7
2418;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2009;97.9;91.5
2419;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2012;97.8;93.7
2420;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2015;97.3;91.8
2421;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2018;96.8;92.4
2422;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2021;96.5;94.0
2423;Total;Age head of household: 45 to 54;Number of rooms: 7 or more;Upper bound 95% confidence interval;2024;95.4;92.8
2424;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2002;89.2;82.9
2425;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2006;89.4;85.4
2426;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2009;90.7;83.9
2427;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2012;87.5;85.1
2428;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2015;84.5;82.3
2429;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2018;83.2;83.9
2430;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2021;83.9;84.2
2431;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Value;2024;79.8;83.6
2432;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2002;87.8;81.2
2433;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2006;87.7;83.6
2434;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2009;89.3;82.1
2435;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;85.6;83.2
2436;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;82.4;80.3
2437;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;81.0;81.9
2438;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;81.4;81.8
2439;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2024;76.8;81.0
2440;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2002;90.6;84.5
2441;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2006;90.9;87.1
2442;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2009;92.0;85.5
2443;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;89.2;86.8
2444;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;86.4;84.1
2445;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;85.3;85.8
2446;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;86.1;86.3
2447;Total;Age head of household: 45 to 54;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2024;82.5;86.0
