ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
2094;Other central government;B1n Net value added;2001;4130
2095;Other central government;B1n Net value added;2002;4388
2096;Other central government;B1n Net value added;2003;4600
2097;Other central government;B1n Net value added;2004;4852
2098;Other central government;B1n Net value added;2005;4978
2099;Other central government;B1n Net value added;2006;5279
2100;Other central government;B1n Net value added;2007;5465
2101;Other central government;B1n Net value added;2008;5772
2102;Other central government;B1n Net value added;2009;6019
2103;Other central government;B1n Net value added;2010;6103
2104;Other central government;B1n Net value added;2011;6411
2105;Other central government;B1n Net value added;2012;6494
2106;Other central government;B1n Net value added;2013;9844
2107;Other central government;B1n Net value added;2014;9705
2108;Other central government;B1n Net value added;2015;9887
2109;Other central government;B1n Net value added;2016;10314
2110;Other central government;B1n Net value added;2017;10585
2111;Other central government;B1n Net value added;2018;11272
2112;Other central government;B1n Net value added;2019;11620
2113;Other central government;B1n Net value added;2020;12150
2114;Other central government;B1n Net value added;2021;12508
2115;Other central government;B1n Net value added;2022;13274
2116;Other central government;B1n Net value added;2023;14223
2117;Other central government;D1 Compensation of employees;1995;2813
2118;Other central government;D1 Compensation of employees;1996;2992
2119;Other central government;D1 Compensation of employees;1997;3091
2120;Other central government;D1 Compensation of employees;1998;3351
2121;Other central government;D1 Compensation of employees;1999;3594
2122;Other central government;D1 Compensation of employees;2000;3786
2123;Other central government;D1 Compensation of employees;2001;4108
2124;Other central government;D1 Compensation of employees;2002;4365
2125;Other central government;D1 Compensation of employees;2003;4579
2126;Other central government;D1 Compensation of employees;2004;4837
2127;Other central government;D1 Compensation of employees;2005;4960
2128;Other central government;D1 Compensation of employees;2006;5259
2129;Other central government;D1 Compensation of employees;2007;5439
2130;Other central government;D1 Compensation of employees;2008;5746
2131;Other central government;D1 Compensation of employees;2009;5999
2132;Other central government;D1 Compensation of employees;2010;6082
2133;Other central government;D1 Compensation of employees;2011;6368
2134;Other central government;D1 Compensation of employees;2012;6454
2135;Other central government;D1 Compensation of employees;2013;9760
2136;Other central government;D1 Compensation of employees;2014;9658
2137;Other central government;D1 Compensation of employees;2015;9794
2138;Other central government;D1 Compensation of employees;2016;10213
2139;Other central government;D1 Compensation of employees;2017;10528
2140;Other central government;D1 Compensation of employees;2018;11212
2141;Other central government;D1 Compensation of employees;2019;11560
2142;Other central government;D1 Compensation of employees;2020;12147
2143;Other central government;D1 Compensation of employees;2021;12486
2144;Other central government;D1 Compensation of employees;2022;13224
2145;Other central government;D1 Compensation of employees;2023;14189
2146;Other central government;D11 Wages and salaries;1995;2326
2147;Other central government;D11 Wages and salaries;1996;2450
2148;Other central government;D11 Wages and salaries;1997;2586
2149;Other central government;D11 Wages and salaries;1998;2684
2150;Other central government;D11 Wages and salaries;1999;2917
2151;Other central government;D11 Wages and salaries;2000;3095
2152;Other central government;D11 Wages and salaries;2001;3344
2153;Other central government;D11 Wages and salaries;2002;3522
2154;Other central government;D11 Wages and salaries;2003;3642
2155;Other central government;D11 Wages and salaries;2004;3734
2156;Other central government;D11 Wages and salaries;2005;3835
2157;Other central government;D11 Wages and salaries;2006;4032
2158;Other central government;D11 Wages and salaries;2007;4213
2159;Other central government;D11 Wages and salaries;2008;4382
2160;Other central government;D11 Wages and salaries;2009;4663
2161;Other central government;D11 Wages and salaries;2010;4761
2162;Other central government;D11 Wages and salaries;2011;4937
2163;Other central government;D11 Wages and salaries;2012;4963
2164;Other central government;D11 Wages and salaries;2013;7450
2165;Other central government;D11 Wages and salaries;2014;7310
2166;Other central government;D11 Wages and salaries;2015;7518
2167;Other central government;D11 Wages and salaries;2016;7887
2168;Other central government;D11 Wages and salaries;2017;8010
2169;Other central government;D11 Wages and salaries;2018;8144
2170;Other central government;D11 Wages and salaries;2019;8509
2171;Other central government;D11 Wages and salaries;2020;9131
2172;Other central government;D11 Wages and salaries;2021;9340
2173;Other central government;D11 Wages and salaries;2022;9779
2174;Other central government;D11 Wages and salaries;2023;10560
2175;Other central government;D12 Employer's social contributions;1995;487
2176;Other central government;D12 Employer's social contributions;1996;542
2177;Other central government;D12 Employer's social contributions;1997;505
2178;Other central government;D12 Employer's social contributions;1998;667
2179;Other central government;D12 Employer's social contributions;1999;677
2180;Other central government;D12 Employer's social contributions;2000;691
2181;Other central government;D12 Employer's social contributions;2001;764
2182;Other central government;D12 Employer's social contributions;2002;843
2183;Other central government;D12 Employer's social contributions;2003;937
2184;Other central government;D12 Employer's social contributions;2004;1103
2185;Other central government;D12 Employer's social contributions;2005;1125
2186;Other central government;D12 Employer's social contributions;2006;1227
2187;Other central government;D12 Employer's social contributions;2007;1226
2188;Other central government;D12 Employer's social contributions;2008;1364
2189;Other central government;D12 Employer's social contributions;2009;1336
2190;Other central government;D12 Employer's social contributions;2010;1321
2191;Other central government;D12 Employer's social contributions;2011;1431
2192;Other central government;D12 Employer's social contributions;2012;1491
2193;Other central government;D12 Employer's social contributions;2013;2310
2194;Other central government;D12 Employer's social contributions;2014;2348
2195;Other central government;D12 Employer's social contributions;2015;2276
2196;Other central government;D12 Employer's social contributions;2016;2326
2197;Other central government;D12 Employer's social contributions;2017;2518
2198;Other central government;D12 Employer's social contributions;2018;3068
2199;Other central government;D12 Employer's social contributions;2019;3051
2200;Other central government;D12 Employer's social contributions;2020;3016
2201;Other central government;D12 Employer's social contributions;2021;3146
2202;Other central government;D12 Employer's social contributions;2022;3445
2203;Other central government;D12 Employer's social contributions;2023;3629
2204;Other central government;D29 Other taxes on production;1995;22
2205;Other central government;D29 Other taxes on production;1996;18
2206;Other central government;D29 Other taxes on production;1997;21
2207;Other central government;D29 Other taxes on production;1998;26
2208;Other central government;D29 Other taxes on production;1999;27
2209;Other central government;D29 Other taxes on production;2000;27
2210;Other central government;D29 Other taxes on production;2001;30
2211;Other central government;D29 Other taxes on production;2002;35
2212;Other central government;D29 Other taxes on production;2003;35
2213;Other central government;D29 Other taxes on production;2004;37
2214;Other central government;D29 Other taxes on production;2005;39
2215;Other central government;D29 Other taxes on production;2006;43
2216;Other central government;D29 Other taxes on production;2007;51
2217;Other central government;D29 Other taxes on production;2008;53
2218;Other central government;D29 Other taxes on production;2009;55
2219;Other central government;D29 Other taxes on production;2010;58
2220;Other central government;D29 Other taxes on production;2011;65
2221;Other central government;D29 Other taxes on production;2012;59
2222;Other central government;D29 Other taxes on production;2013;89
2223;Other central government;D29 Other taxes on production;2014;52
2224;Other central government;D29 Other taxes on production;2015;96
2225;Other central government;D29 Other taxes on production;2016;103
2226;Other central government;D29 Other taxes on production;2017;60
2227;Other central government;D29 Other taxes on production;2018;60
2228;Other central government;D29 Other taxes on production;2019;60
2229;Other central government;D29 Other taxes on production;2020;61
2230;Other central government;D29 Other taxes on production;2021;57
2231;Other central government;D29 Other taxes on production;2022;58
2232;Other central government;D29 Other taxes on production;2023;67
2233;Other central government;D39 Other subsidies on production;1995;-7
2234;Other central government;D39 Other subsidies on production;1996;-7
2235;Other central government;D39 Other subsidies on production;1997;-7
2236;Other central government;D39 Other subsidies on production;1998;-7
2237;Other central government;D39 Other subsidies on production;1999;-8
2238;Other central government;D39 Other subsidies on production;2000;-8
2239;Other central government;D39 Other subsidies on production;2001;-8
2240;Other central government;D39 Other subsidies on production;2002;-12
2241;Other central government;D39 Other subsidies on production;2003;-14
2242;Other central government;D39 Other subsidies on production;2004;-22
2243;Other central government;D39 Other subsidies on production;2005;-21
2244;Other central government;D39 Other subsidies on production;2006;-23
2245;Other central government;D39 Other subsidies on production;2007;-25
2246;Other central government;D39 Other subsidies on production;2008;-27
2247;Other central government;D39 Other subsidies on production;2009;-35
2248;Other central government;D39 Other subsidies on production;2010;-37
2249;Other central government;D39 Other subsidies on production;2011;-22
2250;Other central government;D39 Other subsidies on production;2012;-19
2251;Other central government;D39 Other subsidies on production;2013;-5
2252;Other central government;D39 Other subsidies on production;2014;-5
2253;Other central government;D39 Other subsidies on production;2015;-3
2254;Other central government;D39 Other subsidies on production;2016;-2
2255;Other central government;D39 Other subsidies on production;2017;-3
2256;Other central government;D39 Other subsidies on production;2018;0
2257;Other central government;D39 Other subsidies on production;2019;0
2258;Other central government;D39 Other subsidies on production;2020;-58
2259;Other central government;D39 Other subsidies on production;2021;-35
2260;Other central government;D39 Other subsidies on production;2022;-8
2261;Other central government;D39 Other subsidies on production;2023;-33
2262;Other central government;B2n Net operating surplus;1995;0
2263;Other central government;B2n Net operating surplus;1996;0
2264;Other central government;B2n Net operating surplus;1997;0
2265;Other central government;B2n Net operating surplus;1998;0
2266;Other central government;B2n Net operating surplus;1999;0
2267;Other central government;B2n Net operating surplus;2000;0
2268;Other central government;B2n Net operating surplus;2001;0
2269;Other central government;B2n Net operating surplus;2002;0
2270;Other central government;B2n Net operating surplus;2003;0
2271;Other central government;B2n Net operating surplus;2004;0
2272;Other central government;B2n Net operating surplus;2005;0
2273;Other central government;B2n Net operating surplus;2006;0
2274;Other central government;B2n Net operating surplus;2007;0
2275;Other central government;B2n Net operating surplus;2008;0
2276;Other central government;B2n Net operating surplus;2009;0
2277;Other central government;B2n Net operating surplus;2010;0
2278;Other central government;B2n Net operating surplus;2011;0
2279;Other central government;B2n Net operating surplus;2012;0
2280;Other central government;B2n Net operating surplus;2013;0
2281;Other central government;B2n Net operating surplus;2014;0
2282;Other central government;B2n Net operating surplus;2015;0
2283;Other central government;B2n Net operating surplus;2016;0
2284;Other central government;B2n Net operating surplus;2017;0
2285;Other central government;B2n Net operating surplus;2018;0
2286;Other central government;B2n Net operating surplus;2019;0
2287;Other central government;B2n Net operating surplus;2020;0
2288;Other central government;B2n Net operating surplus;2021;0
2289;Other central government;B2n Net operating surplus;2022;0
2290;Other central government;B2n Net operating surplus;2023;0
2291;Other central government;P3 Final consumption expenditure;1995;5282
2292;Other central government;P3 Final consumption expenditure;1996;5530
2293;Other central government;P3 Final consumption expenditure;1997;5598
2294;Other central government;P3 Final consumption expenditure;1998;6164
2295;Other central government;P3 Final consumption expenditure;1999;6460
2296;Other central government;P3 Final consumption expenditure;2000;7023
2297;Other central government;P3 Final consumption expenditure;2001;7472
2298;Other central government;P3 Final consumption expenditure;2002;7802
2299;Other central government;P3 Final consumption expenditure;2003;8053
2300;Other central government;P3 Final consumption expenditure;2004;8007
2301;Other central government;P3 Final consumption expenditure;2005;8142
2302;Other central government;P3 Final consumption expenditure;2006;8250
2303;Other central government;P3 Final consumption expenditure;2007;8457
2304;Other central government;P3 Final consumption expenditure;2008;9017
2305;Other central government;P3 Final consumption expenditure;2009;9327
2306;Other central government;P3 Final consumption expenditure;2010;9494
2307;Other central government;P3 Final consumption expenditure;2011;9216
2308;Other central government;P3 Final consumption expenditure;2012;9425
2309;Other central government;P3 Final consumption expenditure;2013;14671
2310;Other central government;P3 Final consumption expenditure;2014;14842
2311;Other central government;P3 Final consumption expenditure;2015;15260
2312;Other central government;P3 Final consumption expenditure;2016;15846
2313;Other central government;P3 Final consumption expenditure;2017;16053
2314;Other central government;P3 Final consumption expenditure;2018;16697
2315;Other central government;P3 Final consumption expenditure;2019;17419
2316;Other central government;P3 Final consumption expenditure;2020;18287
2317;Other central government;P3 Final consumption expenditure;2021;20258
2318;Other central government;P3 Final consumption expenditure;2022;22852
2319;Other central government;P3 Final consumption expenditure;2023;24357
2320;Other central government;P31 Individual final consumption expen..;1995;1715
2321;Other central government;P31 Individual final consumption expen..;1996;1776
2322;Other central government;P31 Individual final consumption expen..;1997;1685
2323;Other central government;P31 Individual final consumption expen..;1998;1960
2324;Other central government;P31 Individual final consumption expen..;1999;2200
2325;Other central government;P31 Individual final consumption expen..;2000;2421
2326;Other central government;P31 Individual final consumption expen..;2001;2662
2327;Other central government;P31 Individual final consumption expen..;2002;2754
2328;Other central government;P31 Individual final consumption expen..;2003;2795
2329;Other central government;P31 Individual final consumption expen..;2004;2608
2330;Other central government;P31 Individual final consumption expen..;2005;2775
2331;Other central government;P31 Individual final consumption expen..;2006;2839
2332;Other central government;P31 Individual final consumption expen..;2007;2839
2333;Other central government;P31 Individual final consumption expen..;2008;3135
2334;Other central government;P31 Individual final consumption expen..;2009;3223
2335;Other central government;P31 Individual final consumption expen..;2010;3272
2336;Other central government;P31 Individual final consumption expen..;2011;2950
2337;Other central government;P31 Individual final consumption expen..;2012;2951
2338;Other central government;P31 Individual final consumption expen..;2013;3001
2339;Other central government;P31 Individual final consumption expen..;2014;2922
2340;Other central government;P31 Individual final consumption expen..;2015;3344
2341;Other central government;P31 Individual final consumption expen..;2016;3767
2342;Other central government;P31 Individual final consumption expen..;2017;3478
2343;Other central government;P31 Individual final consumption expen..;2018;3402
2344;Other central government;P31 Individual final consumption expen..;2019;3753
2345;Other central government;P31 Individual final consumption expen..;2020;3900
2346;Other central government;P31 Individual final consumption expen..;2021;4757
2347;Other central government;P31 Individual final consumption expen..;2022;6218
2348;Other central government;P31 Individual final consumption expen..;2023;6586
2349;Other central government;D631 Transfers in kind non-market produc;1995;1546
2350;Other central government;D631 Transfers in kind non-market produc;1996;1613
2351;Other central government;D631 Transfers in kind non-market produc;1997;1507
2352;Other central government;D631 Transfers in kind non-market produc;1998;1661
2353;Other central government;D631 Transfers in kind non-market produc;1999;1759
2354;Other central government;D631 Transfers in kind non-market produc;2000;1888
2355;Other central government;D631 Transfers in kind non-market produc;2001;1959
2356;Other central government;D631 Transfers in kind non-market produc;2002;1967
2357;Other central government;D631 Transfers in kind non-market produc;2003;2035
2358;Other central government;D631 Transfers in kind non-market produc;2004;1904
2359;Other central government;D631 Transfers in kind non-market produc;2005;2135
2360;Other central government;D631 Transfers in kind non-market produc;2006;2229
2361;Other central government;D631 Transfers in kind non-market produc;2007;2217
2362;Other central government;D631 Transfers in kind non-market produc;2008;2498
2363;Other central government;D631 Transfers in kind non-market produc;2009;2543
2364;Other central government;D631 Transfers in kind non-market produc;2010;2567
2365;Other central government;D631 Transfers in kind non-market produc;2011;2258
2366;Other central government;D631 Transfers in kind non-market produc;2012;2251
2367;Other central government;D631 Transfers in kind non-market produc;2013;2281
2368;Other central government;D631 Transfers in kind non-market produc;2014;2164
2369;Other central government;D631 Transfers in kind non-market produc;2015;2526
2370;Other central government;D631 Transfers in kind non-market produc;2016;2981
2371;Other central government;D631 Transfers in kind non-market produc;2017;2685
2372;Other central government;D631 Transfers in kind non-market produc;2018;2659
2373;Other central government;D631 Transfers in kind non-market produc;2019;2948
2374;Other central government;D631 Transfers in kind non-market produc;2020;3089
2375;Other central government;D631 Transfers in kind non-market produc;2021;3881
2376;Other central government;D631 Transfers in kind non-market produc;2022;5209
2377;Other central government;D631 Transfers in kind non-market produc;2023;5382
2378;Other central government;D632 Social transfers in kind via mark..;1995;169
2379;Other central government;D632 Social transfers in kind via mark..;1996;163
2380;Other central government;D632 Social transfers in kind via mark..;1997;178
2381;Other central government;D632 Social transfers in kind via mark..;1998;299
2382;Other central government;D632 Social transfers in kind via mark..;1999;441
2383;Other central government;D632 Social transfers in kind via mark..;2000;533
2384;Other central government;D632 Social transfers in kind via mark..;2001;703
2385;Other central government;D632 Social transfers in kind via mark..;2002;787
2386;Other central government;D632 Social transfers in kind via mark..;2003;760
2387;Other central government;D632 Social transfers in kind via mark..;2004;704
2388;Other central government;D632 Social transfers in kind via mark..;2005;640
2389;Other central government;D632 Social transfers in kind via mark..;2006;610
2390;Other central government;D632 Social transfers in kind via mark..;2007;622
2391;Other central government;D632 Social transfers in kind via mark..;2008;637
2392;Other central government;D632 Social transfers in kind via mark..;2009;680
2393;Other central government;D632 Social transfers in kind via mark..;2010;705
2394;Other central government;D632 Social transfers in kind via mark..;2011;692
2395;Other central government;D632 Social transfers in kind via mark..;2012;700
2396;Other central government;D632 Social transfers in kind via mark..;2013;720
2397;Other central government;D632 Social transfers in kind via mark..;2014;758
2398;Other central government;D632 Social transfers in kind via mark..;2015;818
2399;Other central government;D632 Social transfers in kind via mark..;2016;786
2400;Other central government;D632 Social transfers in kind via mark..;2017;793
2401;Other central government;D632 Social transfers in kind via mark..;2018;743
2402;Other central government;D632 Social transfers in kind via mark..;2019;805
2403;Other central government;D632 Social transfers in kind via mark..;2020;811
2404;Other central government;D632 Social transfers in kind via mark..;2021;876
2405;Other central government;D632 Social transfers in kind via mark..;2022;1009
2406;Other central government;D632 Social transfers in kind via mark..;2023;1204
2407;Other central government;P32 Collective final consumption expen..;1995;3567
2408;Other central government;P32 Collective final consumption expen..;1996;3754
2409;Other central government;P32 Collective final consumption expen..;1997;3913
2410;Other central government;P32 Collective final consumption expen..;1998;4204
2411;Other central government;P32 Collective final consumption expen..;1999;4260
2412;Other central government;P32 Collective final consumption expen..;2000;4602
2413;Other central government;P32 Collective final consumption expen..;2001;4810
2414;Other central government;P32 Collective final consumption expen..;2002;5048
2415;Other central government;P32 Collective final consumption expen..;2003;5258
2416;Other central government;P32 Collective final consumption expen..;2004;5399
2417;Other central government;P32 Collective final consumption expen..;2005;5367
2418;Other central government;P32 Collective final consumption expen..;2006;5411
2419;Other central government;P32 Collective final consumption expen..;2007;5618
2420;Other central government;P32 Collective final consumption expen..;2008;5882
2421;Other central government;P32 Collective final consumption expen..;2009;6104
2422;Other central government;P32 Collective final consumption expen..;2010;6222
2423;Other central government;P32 Collective final consumption expen..;2011;6266
2424;Other central government;P32 Collective final consumption expen..;2012;6474
2425;Other central government;P32 Collective final consumption expen..;2013;11670
2426;Other central government;P32 Collective final consumption expen..;2014;11920
2427;Other central government;P32 Collective final consumption expen..;2015;11916
2428;Other central government;P32 Collective final consumption expen..;2016;12079
2429;Other central government;P32 Collective final consumption expen..;2017;12575
2430;Other central government;P32 Collective final consumption expen..;2018;13295
2431;Other central government;P32 Collective final consumption expen..;2019;13666
2432;Other central government;P32 Collective final consumption expen..;2020;14387
2433;Other central government;P32 Collective final consumption expen..;2021;15501
2434;Other central government;P32 Collective final consumption expen..;2022;16634
2435;Other central government;P32 Collective final consumption expen..;2023;17771
2436;Local government;P1 Output;1995;36191
2437;Local government;P1 Output;1996;36742
2438;Local government;P1 Output;1997;38617
2439;Local government;P1 Output;1998;40341
2440;Local government;P1 Output;1999;42847
2441;Local government;P1 Output;2000;45722
2442;Local government;P1 Output;2001;48927
2443;Local government;P1 Output;2002;53020
2444;Local government;P1 Output;2003;57613
2445;Local government;P1 Output;2004;59433
2446;Local government;P1 Output;2005;60979
2447;Local government;P1 Output;2006;63016
2448;Local government;P1 Output;2007;66440
2449;Local government;P1 Output;2008;70536
2450;Local government;P1 Output;2009;74338
2451;Local government;P1 Output;2010;76015
2452;Local government;P1 Output;2011;75396
2453;Local government;P1 Output;2012;74857
2454;Local government;P1 Output;2013;71152
2455;Local government;P1 Output;2014;72415
2456;Local government;P1 Output;2015;73392
2457;Local government;P1 Output;2016;75126
2458;Local government;P1 Output;2017;76548
2459;Local government;P1 Output;2018;79227
2460;Local government;P1 Output;2019;82481
2461;Local government;P1 Output;2020;86147
2462;Local government;P1 Output;2021;92011
2463;Local government;P1 Output;2022;98751
2464;Local government;P1 Output;2023;106017
2465;Local government;P11 Market output;1995;3074
2466;Local government;P11 Market output;1996;3140
2467;Local government;P11 Market output;1997;3524
2468;Local government;P11 Market output;1998;3569
2469;Local government;P11 Market output;1999;3853
2470;Local government;P11 Market output;2000;3944
2471;Local government;P11 Market output;2001;3924
2472;Local government;P11 Market output;2002;4041
2473;Local government;P11 Market output;2003;4350
2474;Local government;P11 Market output;2004;4614
2475;Local government;P11 Market output;2005;4750
2476;Local government;P11 Market output;2006;4888
2477;Local government;P11 Market output;2007;4938
2478;Local government;P11 Market output;2008;5013
2479;Local government;P11 Market output;2009;4931
2480;Local government;P11 Market output;2010;5072
2481;Local government;P11 Market output;2011;4991
2482;Local government;P11 Market output;2012;5048
2483;Local government;P11 Market output;2013;4979
2484;Local government;P11 Market output;2014;5042
2485;Local government;P11 Market output;2015;4952
2486;Local government;P11 Market output;2016;5009
2487;Local government;P11 Market output;2017;4903
2488;Local government;P11 Market output;2018;5069
2489;Local government;P11 Market output;2019;5053
2490;Local government;P11 Market output;2020;4578
2491;Local government;P11 Market output;2021;4756
2492;Local government;P11 Market output;2022;5369
2493;Local government;P11 Market output;2023;5647
2494;Local government;P12A Own-account capital formation;1995;390
2495;Local government;P12A Own-account capital formation;1996;389
2496;Local government;P12A Own-account capital formation;1997;347
2497;Local government;P12A Own-account capital formation;1998;529
2498;Local government;P12A Own-account capital formation;1999;546
2499;Local government;P12A Own-account capital formation;2000;637
2500;Local government;P12A Own-account capital formation;2001;745
2501;Local government;P12A Own-account capital formation;2002;829
2502;Local government;P12A Own-account capital formation;2003;889
2503;Local government;P12A Own-account capital formation;2004;936
2504;Local government;P12A Own-account capital formation;2005;1000
2505;Local government;P12A Own-account capital formation;2006;1226
2506;Local government;P12A Own-account capital formation;2007;1321
2507;Local government;P12A Own-account capital formation;2008;1328
2508;Local government;P12A Own-account capital formation;2009;1423
2509;Local government;P12A Own-account capital formation;2010;1221
2510;Local government;P12A Own-account capital formation;2011;1173
2511;Local government;P12A Own-account capital formation;2012;1154
2512;Local government;P12A Own-account capital formation;2013;1092
2513;Local government;P12A Own-account capital formation;2014;1004
2514;Local government;P12A Own-account capital formation;2015;993
2515;Local government;P12A Own-account capital formation;2016;982
2516;Local government;P12A Own-account capital formation;2017;1030
2517;Local government;P12A Own-account capital formation;2018;1084
2518;Local government;P12A Own-account capital formation;2019;1110
2519;Local government;P12A Own-account capital formation;2020;1142
2520;Local government;P12A Own-account capital formation;2021;1247
2521;Local government;P12A Own-account capital formation;2022;1343
2522;Local government;P12A Own-account capital formation;2023;1445
2523;Local government;P13 Non-marketoutput;1995;32727
2524;Local government;P13 Non-marketoutput;1996;33213
2525;Local government;P13 Non-marketoutput;1997;34746
2526;Local government;P13 Non-marketoutput;1998;36243
2527;Local government;P13 Non-marketoutput;1999;38448
2528;Local government;P13 Non-marketoutput;2000;41141
2529;Local government;P13 Non-marketoutput;2001;44258
2530;Local government;P13 Non-marketoutput;2002;48150
2531;Local government;P13 Non-marketoutput;2003;52374
2532;Local government;P13 Non-marketoutput;2004;53883
2533;Local government;P13 Non-marketoutput;2005;55229
2534;Local government;P13 Non-marketoutput;2006;56902
2535;Local government;P13 Non-marketoutput;2007;60181
2536;Local government;P13 Non-marketoutput;2008;64195
2537;Local government;P13 Non-marketoutput;2009;67984
2538;Local government;P13 Non-marketoutput;2010;69722
2539;Local government;P13 Non-marketoutput;2011;69232
2540;Local government;P13 Non-marketoutput;2012;68655
2541;Local government;P13 Non-marketoutput;2013;65081
2542;Local government;P13 Non-marketoutput;2014;66369
2543;Local government;P13 Non-marketoutput;2015;67447
2544;Local government;P13 Non-marketoutput;2016;69135
2545;Local government;P13 Non-marketoutput;2017;70615
2546;Local government;P13 Non-marketoutput;2018;73074
2547;Local government;P13 Non-marketoutput;2019;76318
2548;Local government;P13 Non-marketoutput;2020;80427
2549;Local government;P13 Non-marketoutput;2021;86008
2550;Local government;P13 Non-marketoutput;2022;92039
2551;Local government;P13 Non-marketoutput;2023;98925
2552;Local government;P131 Payments for non-market output;1995;4036
2553;Local government;P131 Payments for non-market output;1996;4255
2554;Local government;P131 Payments for non-market output;1997;4521
2555;Local government;P131 Payments for non-market output;1998;4636
2556;Local government;P131 Payments for non-market output;1999;4946
2557;Local government;P131 Payments for non-market output;2000;5152
2558;Local government;P131 Payments for non-market output;2001;5304
2559;Local government;P131 Payments for non-market output;2002;5403
2560;Local government;P131 Payments for non-market output;2003;5728
2561;Local government;P131 Payments for non-market output;2004;5946
2562;Local government;P131 Payments for non-market output;2005;5908
2563;Local government;P131 Payments for non-market output;2006;6051
2564;Local government;P131 Payments for non-market output;2007;6151
2565;Local government;P131 Payments for non-market output;2008;6117
2566;Local government;P131 Payments for non-market output;2009;6061
2567;Local government;P131 Payments for non-market output;2010;6278
2568;Local government;P131 Payments for non-market output;2011;6269
2569;Local government;P131 Payments for non-market output;2012;6283
2570;Local government;P131 Payments for non-market output;2013;6300
2571;Local government;P131 Payments for non-market output;2014;6659
2572;Local government;P131 Payments for non-market output;2015;6785
2573;Local government;P131 Payments for non-market output;2016;6966
2574;Local government;P131 Payments for non-market output;2017;6881
2575;Local government;P131 Payments for non-market output;2018;6866
2576;Local government;P131 Payments for non-market output;2019;6966
2577;Local government;P131 Payments for non-market output;2020;6955
2578;Local government;P131 Payments for non-market output;2021;7288
2579;Local government;P131 Payments for non-market output;2022;7622
2580;Local government;P131 Payments for non-market output;2023;8215
2581;Local government;P132 Other non-market output;1995;28691
2582;Local government;P132 Other non-market output;1996;28958
2583;Local government;P132 Other non-market output;1997;30225
2584;Local government;P132 Other non-market output;1998;31607
2585;Local government;P132 Other non-market output;1999;33502
2586;Local government;P132 Other non-market output;2000;35989
2587;Local government;P132 Other non-market output;2001;38954
2588;Local government;P132 Other non-market output;2002;42747
2589;Local government;P132 Other non-market output;2003;46646
2590;Local government;P132 Other non-market output;2004;47937
2591;Local government;P132 Other non-market output;2005;49321
2592;Local government;P132 Other non-market output;2006;50851
2593;Local government;P132 Other non-market output;2007;54030
2594;Local government;P132 Other non-market output;2008;58078
2595;Local government;P132 Other non-market output;2009;61923
2596;Local government;P132 Other non-market output;2010;63444
2597;Local government;P132 Other non-market output;2011;62963
2598;Local government;P132 Other non-market output;2012;62372
2599;Local government;P132 Other non-market output;2013;58781
2600;Local government;P132 Other non-market output;2014;59710
2601;Local government;P132 Other non-market output;2015;60662
2602;Local government;P132 Other non-market output;2016;62169
2603;Local government;P132 Other non-market output;2017;63734
2604;Local government;P132 Other non-market output;2018;66208
2605;Local government;P132 Other non-market output;2019;69352
2606;Local government;P132 Other non-market output;2020;73472
2607;Local government;P132 Other non-market output;2021;78720
2608;Local government;P132 Other non-market output;2022;84417
2609;Local government;P132 Other non-market output;2023;90710
2610;Local government;P2 Intermediate consumption;1995;10705
2611;Local government;P2 Intermediate consumption;1996;10743
2612;Local government;P2 Intermediate consumption;1997;11566
2613;Local government;P2 Intermediate consumption;1998;12001
2614;Local government;P2 Intermediate consumption;1999;12847
2615;Local government;P2 Intermediate consumption;2000;13630
2616;Local government;P2 Intermediate consumption;2001;14656
2617;Local government;P2 Intermediate consumption;2002;16298
2618;Local government;P2 Intermediate consumption;2003;18596
2619;Local government;P2 Intermediate consumption;2004;19463
2620;Local government;P2 Intermediate consumption;2005;19944
2621;Local government;P2 Intermediate consumption;2006;20530
2622;Local government;P2 Intermediate consumption;2007;22090
2623;Local government;P2 Intermediate consumption;2008;23336
2624;Local government;P2 Intermediate consumption;2009;24865
2625;Local government;P2 Intermediate consumption;2010;24968
2626;Local government;P2 Intermediate consumption;2011;24144
2627;Local government;P2 Intermediate consumption;2012;23151
2628;Local government;P2 Intermediate consumption;2013;22450
2629;Local government;P2 Intermediate consumption;2014;23464
2630;Local government;P2 Intermediate consumption;2015;24413
2631;Local government;P2 Intermediate consumption;2016;25432
2632;Local government;P2 Intermediate consumption;2017;25620
2633;Local government;P2 Intermediate consumption;2018;26815
2634;Local government;P2 Intermediate consumption;2019;27993
2635;Local government;P2 Intermediate consumption;2020;29213
2636;Local government;P2 Intermediate consumption;2021;32870
2637;Local government;P2 Intermediate consumption;2022;34253
2638;Local government;P2 Intermediate consumption;2023;36643
2639;Local government;B1g Gross value added;1995;25486
2640;Local government;B1g Gross value added;1996;25999
2641;Local government;B1g Gross value added;1997;27051
2642;Local government;B1g Gross value added;1998;28340
2643;Local government;B1g Gross value added;1999;30000
2644;Local government;B1g Gross value added;2000;32092
2645;Local government;B1g Gross value added;2001;34271
2646;Local government;B1g Gross value added;2002;36722
2647;Local government;B1g Gross value added;2003;39017
2648;Local government;B1g Gross value added;2004;39970
2649;Local government;B1g Gross value added;2005;41035
2650;Local government;B1g Gross value added;2006;42486
2651;Local government;B1g Gross value added;2007;44350
