ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;ListedShares_6;InvestmentFundSharesOrUnits_7
1492;Total domestic sectors;Financial corporations;Price changes and revaluations;2012 3rd quarter;-488.0;68.0;1126.0;-726.0;40.0;1031.0;18232.0
1493;Total domestic sectors;Financial corporations;Price changes and revaluations;2012 4th quarter;-660.0;9.0;127.0;-795.0;83.0;684.0;5854.0
1494;Total domestic sectors;Financial corporations;Price changes and revaluations;2012;-481.0;152.0;3003.0;-1351.0;345.0;2264.0;47815.0
1495;Total domestic sectors;Financial corporations;Price changes and revaluations;2013 1st quarter;346.0;-209.0;-541.0;454.0;-157.0;-768.0;20073.0
1496;Total domestic sectors;Financial corporations;Price changes and revaluations;2013 2nd quarter;-402.0;-103.0;-446.0;-892.0;41.0;505.0;-14801.0
1497;Total domestic sectors;Financial corporations;Price changes and revaluations;2013 3rd quarter;-491.0;11.0;-225.0;-852.0;-160.0;720.0;5283.0
1498;Total domestic sectors;Financial corporations;Price changes and revaluations;2013 4th quarter;-441.0;-54.0;542.0;-542.0;-144.0;1292.0;7663.0
1499;Total domestic sectors;Financial corporations;Price changes and revaluations;2013;-988.0;-355.0;-670.0;-1832.0;-420.0;1749.0;18218.0
1500;Total domestic sectors;Financial corporations;Price changes and revaluations;2014 1st quarter;42.0;157.0;838.0;41.0;44.0;736.0;9210.0
1501;Total domestic sectors;Financial corporations;Price changes and revaluations;2014 2nd quarter;307.0;107.0;1402.0;309.0;-6.0;1835.0;23205.0
1502;Total domestic sectors;Financial corporations;Price changes and revaluations;2014 3rd quarter;1727.0;60.0;454.0;1002.0;526.0;692.0;21003.0
1503;Total domestic sectors;Financial corporations;Price changes and revaluations;2014 4th quarter;687.0;171.0;1227.0;844.0;274.0;-1946.0;16883.0
1504;Total domestic sectors;Financial corporations;Price changes and revaluations;2014;2763.0;495.0;3921.0;2196.0;838.0;1317.0;70301.0
1505;Total domestic sectors;Financial corporations;Price changes and revaluations;2015 1st quarter;4434.0;64.0;337.0;4042.0;1093.0;2916.0;69387.0
1506;Total domestic sectors;Financial corporations;Price changes and revaluations;2015 2nd quarter;-1281.0;45.0;-411.0;-621.0;-221.0;-1611.0;-30908.0
1507;Total domestic sectors;Financial corporations;Price changes and revaluations;2015 3rd quarter;-295.0;-41.0;-543.0;90.0;21.0;-3065.0;-34965.0
1508;Total domestic sectors;Financial corporations;Price changes and revaluations;2015 4th quarter;1078.0;130.0;-228.0;1440.0;269.0;-15.0;18153.0
1509;Total domestic sectors;Financial corporations;Price changes and revaluations;2015;3936.0;198.0;-845.0;4951.0;1162.0;-1775.0;21667.0
1510;Total domestic sectors;Financial corporations;Price changes and revaluations;2016 1st quarter;-1746.0;95.0;1171.0;-1375.0;-776.0;355.0;-4032.0
1511;Total domestic sectors;Financial corporations;Price changes and revaluations;2016 2nd quarter;706.0;86.0;419.0;623.0;113.0;1223.0;22954.0
1512;Total domestic sectors;Financial corporations;Price changes and revaluations;2016 3rd quarter;-332.0;0.0;301.0;-554.0;-7.0;-527.0;17180.0
1513;Total domestic sectors;Financial corporations;Price changes and revaluations;2016 4th quarter;2121.0;14.0;-257.0;1833.0;262.0;4237.0;18746.0
1514;Total domestic sectors;Financial corporations;Price changes and revaluations;2016;749.0;195.0;1634.0;527.0;-408.0;5288.0;54848.0
1515;Total domestic sectors;Financial corporations;Price changes and revaluations;2017 1st quarter;-507.0;-28.0;12.0;-473.0;-16.0;2694.0;13779.0
1516;Total domestic sectors;Financial corporations;Price changes and revaluations;2017 2nd quarter;-2916.0;39.0;420.0;-2150.0;-224.0;-433.0;-15183.0
1517;Total domestic sectors;Financial corporations;Price changes and revaluations;2017 3rd quarter;-1366.0;96.0;-128.0;-1145.0;-158.0;6829.0;5081.0
1518;Total domestic sectors;Financial corporations;Price changes and revaluations;2017 4th quarter;-625.0;-7.0;53.0;-994.0;-119.0;1418.0;21319.0
1519;Total domestic sectors;Financial corporations;Price changes and revaluations;2017;-5414.0;100.0;357.0;-4762.0;-517.0;10508.0;24996.0
1520;Total domestic sectors;Financial corporations;Other volume changes;1999 1st quarter;;;;;;;
1521;Total domestic sectors;Financial corporations;Other volume changes;1999 2nd quarter;;;;;;;
1522;Total domestic sectors;Financial corporations;Other volume changes;1999 3rd quarter;;;;;;;
1523;Total domestic sectors;Financial corporations;Other volume changes;1999 4th quarter;;;;;;;
1524;Total domestic sectors;Financial corporations;Other volume changes;1999;;;;;;;
1525;Total domestic sectors;Financial corporations;Other volume changes;2000 1st quarter;;;;;;;
1526;Total domestic sectors;Financial corporations;Other volume changes;2000 2nd quarter;;;;;;;
1527;Total domestic sectors;Financial corporations;Other volume changes;2000 3rd quarter;;;;;;;
1528;Total domestic sectors;Financial corporations;Other volume changes;2000 4th quarter;;;;;;;
1529;Total domestic sectors;Financial corporations;Other volume changes;2000;;;;;;;
1530;Total domestic sectors;Financial corporations;Other volume changes;2001 1st quarter;;;;;;;
1531;Total domestic sectors;Financial corporations;Other volume changes;2001 2nd quarter;;;;;;;
1532;Total domestic sectors;Financial corporations;Other volume changes;2001 3rd quarter;;;;;;;
1533;Total domestic sectors;Financial corporations;Other volume changes;2001 4th quarter;;;;;;;
1534;Total domestic sectors;Financial corporations;Other volume changes;2001;;;;;;;
1535;Total domestic sectors;Financial corporations;Other volume changes;2002 1st quarter;;;;;;;
1536;Total domestic sectors;Financial corporations;Other volume changes;2002 2nd quarter;;;;;;;
1537;Total domestic sectors;Financial corporations;Other volume changes;2002 3rd quarter;;;;;;;
1538;Total domestic sectors;Financial corporations;Other volume changes;2002 4th quarter;;;;;;;
1539;Total domestic sectors;Financial corporations;Other volume changes;2002;;;;;;;
1540;Total domestic sectors;Financial corporations;Other volume changes;2003 1st quarter;;;;;;;
1541;Total domestic sectors;Financial corporations;Other volume changes;2003 2nd quarter;;;;;;;
1542;Total domestic sectors;Financial corporations;Other volume changes;2003 3rd quarter;;;;;;;
1543;Total domestic sectors;Financial corporations;Other volume changes;2003 4th quarter;;;;;;;
1544;Total domestic sectors;Financial corporations;Other volume changes;2003;;;;;;;
1545;Total domestic sectors;Financial corporations;Other volume changes;2004 1st quarter;;;;;;;
1546;Total domestic sectors;Financial corporations;Other volume changes;2004 2nd quarter;;;;;;;
1547;Total domestic sectors;Financial corporations;Other volume changes;2004 3rd quarter;;;;;;;
1548;Total domestic sectors;Financial corporations;Other volume changes;2004 4th quarter;;;;;;;
1549;Total domestic sectors;Financial corporations;Other volume changes;2004;;;;;;;
1550;Total domestic sectors;Financial corporations;Other volume changes;2005 1st quarter;;;;;;;
1551;Total domestic sectors;Financial corporations;Other volume changes;2005 2nd quarter;;;;;;;
1552;Total domestic sectors;Financial corporations;Other volume changes;2005 3rd quarter;;;;;;;
1553;Total domestic sectors;Financial corporations;Other volume changes;2005 4th quarter;;;;;;;
1554;Total domestic sectors;Financial corporations;Other volume changes;2005;;;;;;;
1555;Total domestic sectors;Financial corporations;Other volume changes;2006 1st quarter;;;;;;;
1556;Total domestic sectors;Financial corporations;Other volume changes;2006 2nd quarter;;;;;;;
1557;Total domestic sectors;Financial corporations;Other volume changes;2006 3rd quarter;;;;;;;
1558;Total domestic sectors;Financial corporations;Other volume changes;2006 4th quarter;;;;;;;
1559;Total domestic sectors;Financial corporations;Other volume changes;2006;;;;;;;
1560;Total domestic sectors;Financial corporations;Other volume changes;2007 1st quarter;;;;;;;
1561;Total domestic sectors;Financial corporations;Other volume changes;2007 2nd quarter;;;;;;;
1562;Total domestic sectors;Financial corporations;Other volume changes;2007 3rd quarter;;;;;;;
1563;Total domestic sectors;Financial corporations;Other volume changes;2007 4th quarter;;;;;;;
1564;Total domestic sectors;Financial corporations;Other volume changes;2007;;;;;;;
1565;Total domestic sectors;Financial corporations;Other volume changes;2008 1st quarter;;;;;;;
1566;Total domestic sectors;Financial corporations;Other volume changes;2008 2nd quarter;;;;;;;
1567;Total domestic sectors;Financial corporations;Other volume changes;2008 3rd quarter;;;;;;;
1568;Total domestic sectors;Financial corporations;Other volume changes;2008 4th quarter;;;;;;;
1569;Total domestic sectors;Financial corporations;Other volume changes;2008;;;;;;;
1570;Total domestic sectors;Financial corporations;Other volume changes;2009 1st quarter;;;;;;;
1571;Total domestic sectors;Financial corporations;Other volume changes;2009 2nd quarter;;;;;;;
1572;Total domestic sectors;Financial corporations;Other volume changes;2009 3rd quarter;;;;;;;
1573;Total domestic sectors;Financial corporations;Other volume changes;2009 4th quarter;;;;;;;
1574;Total domestic sectors;Financial corporations;Other volume changes;2009;;;;;;;
1575;Total domestic sectors;Financial corporations;Other volume changes;2010 1st quarter;;;;;;;
1576;Total domestic sectors;Financial corporations;Other volume changes;2010 2nd quarter;;;;;;;
1577;Total domestic sectors;Financial corporations;Other volume changes;2010 3rd quarter;;;;;;;
1578;Total domestic sectors;Financial corporations;Other volume changes;2010 4th quarter;;;;;;;
1579;Total domestic sectors;Financial corporations;Other volume changes;2010;;;;;;;
1580;Total domestic sectors;Financial corporations;Other volume changes;2011 1st quarter;;;;;;;
1581;Total domestic sectors;Financial corporations;Other volume changes;2011 2nd quarter;;;;;;;
1582;Total domestic sectors;Financial corporations;Other volume changes;2011 3rd quarter;;;;;;;
1583;Total domestic sectors;Financial corporations;Other volume changes;2011 4th quarter;;;;;;;
1584;Total domestic sectors;Financial corporations;Other volume changes;2011;;;;;;;
1585;Total domestic sectors;Financial corporations;Other volume changes;2012 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1586;Total domestic sectors;Financial corporations;Other volume changes;2012 2nd quarter;0.0;0.0;0.0;-10.0;0.0;0.0;0.0
1587;Total domestic sectors;Financial corporations;Other volume changes;2012 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1588;Total domestic sectors;Financial corporations;Other volume changes;2012 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1589;Total domestic sectors;Financial corporations;Other volume changes;2012;0.0;0.0;0.0;-10.0;0.0;0.0;0.0
1590;Total domestic sectors;Financial corporations;Other volume changes;2013 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1591;Total domestic sectors;Financial corporations;Other volume changes;2013 2nd quarter;-1.0;0.0;-2.0;0.0;0.0;0.0;0.0
1592;Total domestic sectors;Financial corporations;Other volume changes;2013 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1593;Total domestic sectors;Financial corporations;Other volume changes;2013 4th quarter;-4562.0;0.0;0.0;0.0;0.0;0.0;0.0
1594;Total domestic sectors;Financial corporations;Other volume changes;2013;-4563.0;0.0;-2.0;0.0;0.0;0.0;0.0
1595;Total domestic sectors;Financial corporations;Other volume changes;2014 1st quarter;-178.0;25.0;-3.0;-23.0;5.0;289.0;8300.0
1596;Total domestic sectors;Financial corporations;Other volume changes;2014 2nd quarter;-13.0;0.0;0.0;0.0;0.0;0.0;0.0
1597;Total domestic sectors;Financial corporations;Other volume changes;2014 3rd quarter;-28.0;0.0;0.0;532.0;-6.0;0.0;0.0
1598;Total domestic sectors;Financial corporations;Other volume changes;2014 4th quarter;77408.0;0.0;230.0;29329.0;1853.0;-198.0;0.0
1599;Total domestic sectors;Financial corporations;Other volume changes;2014;77189.0;25.0;227.0;29838.0;1852.0;91.0;8300.0
1600;Total domestic sectors;Financial corporations;Other volume changes;2015 1st quarter;-145.0;-8.0;-5.0;-1171.0;5368.0;0.0;0.0
1601;Total domestic sectors;Financial corporations;Other volume changes;2015 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1602;Total domestic sectors;Financial corporations;Other volume changes;2015 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1603;Total domestic sectors;Financial corporations;Other volume changes;2015 4th quarter;0.0;-96.0;0.0;0.0;0.0;0.0;0.0
1604;Total domestic sectors;Financial corporations;Other volume changes;2015;-145.0;-104.0;-5.0;-1171.0;5368.0;0.0;0.0
1605;Total domestic sectors;Financial corporations;Other volume changes;2016 1st quarter;-1361.0;0.0;0.0;0.0;0.0;0.0;0.0
1606;Total domestic sectors;Financial corporations;Other volume changes;2016 2nd quarter;0.0;-290.0;2.0;0.0;0.0;0.0;0.0
1607;Total domestic sectors;Financial corporations;Other volume changes;2016 3rd quarter;0.0;0.0;-4.0;0.0;0.0;0.0;0.0
1608;Total domestic sectors;Financial corporations;Other volume changes;2016 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1609;Total domestic sectors;Financial corporations;Other volume changes;2016;-1361.0;-290.0;-2.0;0.0;0.0;0.0;0.0
1610;Total domestic sectors;Financial corporations;Other volume changes;2017 1st quarter;0.0;0.0;2.0;0.0;0.0;0.0;0.0
1611;Total domestic sectors;Financial corporations;Other volume changes;2017 2nd quarter;0.0;0.0;24.0;0.0;0.0;0.0;0.0
1612;Total domestic sectors;Financial corporations;Other volume changes;2017 3rd quarter;0.0;0.0;-3.0;0.0;0.0;0.0;0.0
1613;Total domestic sectors;Financial corporations;Other volume changes;2017 4th quarter;0.0;0.0;0.0;0.0;-2.0;0.0;0.0
1614;Total domestic sectors;Financial corporations;Other volume changes;2017;0.0;0.0;23.0;0.0;-2.0;0.0;0.0
1615;Total domestic sectors;Financial corporations;Closing balance sheet;1999 1st quarter;297451.0;;;62087.0;182825.0;;
1616;Total domestic sectors;Financial corporations;Closing balance sheet;1999 2nd quarter;308933.0;;;63244.0;185051.0;;
1617;Total domestic sectors;Financial corporations;Closing balance sheet;1999 3rd quarter;308289.0;;;64294.0;187113.0;;
1618;Total domestic sectors;Financial corporations;Closing balance sheet;1999 4th quarter;312814.0;;;63840.0;189527.0;;
1619;Total domestic sectors;Financial corporations;Closing balance sheet;1999;312814.0;;;63840.0;189527.0;;
1620;Total domestic sectors;Financial corporations;Closing balance sheet;2000 1st quarter;333134.0;;;69684.0;186804.0;;
1621;Total domestic sectors;Financial corporations;Closing balance sheet;2000 2nd quarter;323501.0;;;72772.0;183023.0;;
1622;Total domestic sectors;Financial corporations;Closing balance sheet;2000 3rd quarter;342529.0;;;75415.0;182795.0;;
1623;Total domestic sectors;Financial corporations;Closing balance sheet;2000 4th quarter;337264.0;;;76780.0;181622.0;;
1624;Total domestic sectors;Financial corporations;Closing balance sheet;2000;337264.0;;;76780.0;181622.0;;
1625;Total domestic sectors;Financial corporations;Closing balance sheet;2001 1st quarter;355260.0;;;75780.0;181751.0;;
1626;Total domestic sectors;Financial corporations;Closing balance sheet;2001 2nd quarter;359057.0;;;74529.0;184330.0;;
1627;Total domestic sectors;Financial corporations;Closing balance sheet;2001 3rd quarter;368101.0;;;76940.0;189062.0;;
1628;Total domestic sectors;Financial corporations;Closing balance sheet;2001 4th quarter;383245.0;;;75678.0;191578.0;;
1629;Total domestic sectors;Financial corporations;Closing balance sheet;2001;383245.0;;;75678.0;191578.0;;
1630;Total domestic sectors;Financial corporations;Closing balance sheet;2002 1st quarter;390967.0;;;79044.0;194255.0;;
1631;Total domestic sectors;Financial corporations;Closing balance sheet;2002 2nd quarter;398776.0;;;79563.0;190901.0;;
1632;Total domestic sectors;Financial corporations;Closing balance sheet;2002 3rd quarter;404924.0;;;85307.0;190009.0;;
1633;Total domestic sectors;Financial corporations;Closing balance sheet;2002 4th quarter;407617.0;;;80889.0;190497.0;;
1634;Total domestic sectors;Financial corporations;Closing balance sheet;2002;407617.0;;;80889.0;190497.0;;
1635;Total domestic sectors;Financial corporations;Closing balance sheet;2003 1st quarter;432311.0;;;77287.0;191426.0;;
1636;Total domestic sectors;Financial corporations;Closing balance sheet;2003 2nd quarter;431094.0;;;73694.0;196881.0;;
1637;Total domestic sectors;Financial corporations;Closing balance sheet;2003 3rd quarter;446581.0;;;70074.0;196096.0;;
1638;Total domestic sectors;Financial corporations;Closing balance sheet;2003 4th quarter;451133.0;;;66386.0;199170.0;;
1639;Total domestic sectors;Financial corporations;Closing balance sheet;2003;451133.0;;;66386.0;199170.0;;
1640;Total domestic sectors;Financial corporations;Closing balance sheet;2004 1st quarter;449534.0;;;67857.0;204865.0;;
1641;Total domestic sectors;Financial corporations;Closing balance sheet;2004 2nd quarter;478774.0;;;70830.0;202173.0;;
1642;Total domestic sectors;Financial corporations;Closing balance sheet;2004 3rd quarter;469932.0;;;73602.0;206035.0;;
1643;Total domestic sectors;Financial corporations;Closing balance sheet;2004 4th quarter;480076.0;;;74708.0;203944.0;;
1644;Total domestic sectors;Financial corporations;Closing balance sheet;2004;480076.0;;;74708.0;203944.0;;
1645;Total domestic sectors;Financial corporations;Closing balance sheet;2005 1st quarter;487891.0;;;84812.0;208195.0;;
1646;Total domestic sectors;Financial corporations;Closing balance sheet;2005 2nd quarter;517101.0;;;90598.0;211640.0;;
1647;Total domestic sectors;Financial corporations;Closing balance sheet;2005 3rd quarter;536733.0;;;94624.0;215049.0;;
1648;Total domestic sectors;Financial corporations;Closing balance sheet;2005 4th quarter;555263.0;;;92375.0;221102.0;;
1649;Total domestic sectors;Financial corporations;Closing balance sheet;2005;555263.0;;;92375.0;221102.0;;
1650;Total domestic sectors;Financial corporations;Closing balance sheet;2006 1st quarter;578396.0;;;89272.0;223047.0;;
1651;Total domestic sectors;Financial corporations;Closing balance sheet;2006 2nd quarter;576359.0;;;89467.0;221593.0;;
1652;Total domestic sectors;Financial corporations;Closing balance sheet;2006 3rd quarter;597004.0;;;90184.0;219613.0;;
1653;Total domestic sectors;Financial corporations;Closing balance sheet;2006 4th quarter;599533.0;;;86267.0;224965.0;;
1654;Total domestic sectors;Financial corporations;Closing balance sheet;2006;599533.0;;;86267.0;224965.0;;
1655;Total domestic sectors;Financial corporations;Closing balance sheet;2007 1st quarter;629060.0;;;98243.0;221685.0;;
1656;Total domestic sectors;Financial corporations;Closing balance sheet;2007 2nd quarter;661414.0;;;105505.0;224054.0;;
1657;Total domestic sectors;Financial corporations;Closing balance sheet;2007 3rd quarter;649011.0;;;101408.0;220692.0;;
1658;Total domestic sectors;Financial corporations;Closing balance sheet;2007 4th quarter;716633.0;;;84349.0;214524.0;;
1659;Total domestic sectors;Financial corporations;Closing balance sheet;2007;716633.0;;;84349.0;214524.0;;
1660;Total domestic sectors;Financial corporations;Closing balance sheet;2008 1st quarter;698739.0;;;95139.0;216446.0;;
1661;Total domestic sectors;Financial corporations;Closing balance sheet;2008 2nd quarter;778716.0;;;104333.0;221353.0;;
1662;Total domestic sectors;Financial corporations;Closing balance sheet;2008 3rd quarter;812082.0;;;104032.0;232067.0;;
1663;Total domestic sectors;Financial corporations;Closing balance sheet;2008 4th quarter;796743.0;;;131014.0;238797.0;;
1664;Total domestic sectors;Financial corporations;Closing balance sheet;2008;796743.0;;;131014.0;238797.0;;
1665;Total domestic sectors;Financial corporations;Closing balance sheet;2009 1st quarter;766607.0;;;122373.0;255491.0;;
1666;Total domestic sectors;Financial corporations;Closing balance sheet;2009 2nd quarter;828889.0;;;110613.0;249439.0;;
1667;Total domestic sectors;Financial corporations;Closing balance sheet;2009 3rd quarter;799508.0;;;116062.0;245081.0;;
1668;Total domestic sectors;Financial corporations;Closing balance sheet;2009 4th quarter;813269.0;;;119070.0;246415.0;;
1669;Total domestic sectors;Financial corporations;Closing balance sheet;2009;813269.0;;;119070.0;246415.0;;
1670;Total domestic sectors;Financial corporations;Closing balance sheet;2010 1st quarter;826799.0;14648.0;296636.0;114896.0;243161.0;20709.0;452552.0
1671;Total domestic sectors;Financial corporations;Closing balance sheet;2010 2nd quarter;863169.0;13390.0;291477.0;125616.0;253695.0;17700.0;438284.0
1672;Total domestic sectors;Financial corporations;Closing balance sheet;2010 3rd quarter;796694.0;12405.0;294532.0;127637.0;219539.0;20220.0;448872.0
1673;Total domestic sectors;Financial corporations;Closing balance sheet;2010 4th quarter;809001.0;12480.0;300724.0;125448.0;227647.0;20675.0;458002.0
1674;Total domestic sectors;Financial corporations;Closing balance sheet;2010;809001.0;12480.0;300724.0;125448.0;227647.0;20675.0;458002.0
1675;Total domestic sectors;Financial corporations;Closing balance sheet;2011 1st quarter;809196.0;12579.0;266565.0;139093.0;226628.0;21087.0;469458.0
1676;Total domestic sectors;Financial corporations;Closing balance sheet;2011 2nd quarter;842365.0;13897.0;258788.0;132815.0;226821.0;20282.0;476664.0
1677;Total domestic sectors;Financial corporations;Closing balance sheet;2011 3rd quarter;926721.0;14060.0;266628.0;137998.0;225506.0;18595.0;476163.0
1678;Total domestic sectors;Financial corporations;Closing balance sheet;2011 4th quarter;969958.0;13505.0;283253.0;143992.0;211845.0;18779.0;481236.0
1679;Total domestic sectors;Financial corporations;Closing balance sheet;2011;969958.0;13505.0;283253.0;143992.0;211845.0;18779.0;481236.0
1680;Total domestic sectors;Financial corporations;Closing balance sheet;2012 1st quarter;1014445.0;12060.0;276826.0;145621.0;213838.0;19815.0;516219.0
1681;Total domestic sectors;Financial corporations;Closing balance sheet;2012 2nd quarter;1000371.0;11261.0;266352.0;142532.0;218956.0;19330.0;519726.0
1682;Total domestic sectors;Financial corporations;Closing balance sheet;2012 3rd quarter;996501.0;12874.0;261627.0;155217.0;215271.0;19348.0;542958.0
1683;Total domestic sectors;Financial corporations;Closing balance sheet;2012 4th quarter;990956.0;13115.0;261771.0;138819.0;223176.0;20325.0;555185.0
1684;Total domestic sectors;Financial corporations;Closing balance sheet;2012;990956.0;13115.0;261771.0;138819.0;223176.0;20325.0;555185.0
1685;Total domestic sectors;Financial corporations;Closing balance sheet;2013 1st quarter;945880.0;12625.0;249096.0;146739.0;219384.0;20394.0;581991.0
1686;Total domestic sectors;Financial corporations;Closing balance sheet;2013 2nd quarter;945812.0;11986.0;252897.0;143930.0;218599.0;20849.0;569533.0
1687;Total domestic sectors;Financial corporations;Closing balance sheet;2013 3rd quarter;927648.0;11942.0;252309.0;145358.0;218760.0;21885.0;591257.0
1688;Total domestic sectors;Financial corporations;Closing balance sheet;2013 4th quarter;877142.0;12611.0;235320.0;116418.0;215369.0;21009.0;608097.0
1689;Total domestic sectors;Financial corporations;Closing balance sheet;2013;877142.0;12611.0;235320.0;116418.0;215369.0;21009.0;608097.0
1690;Total domestic sectors;Financial corporations;Closing balance sheet;2014 1st quarter;871840.0;13452.0;236980.0;123560.0;213036.0;28077.0;629839.0
1691;Total domestic sectors;Financial corporations;Closing balance sheet;2014 2nd quarter;856474.0;14292.0;237939.0;123014.0;229596.0;28394.0;662775.0
1692;Total domestic sectors;Financial corporations;Closing balance sheet;2014 3rd quarter;848545.0;12876.0;233295.0;139012.0;232143.0;33606.0;698961.0
1693;Total domestic sectors;Financial corporations;Closing balance sheet;2014 4th quarter;951681.0;12990.0;231039.0;160587.0;236110.0;31504.0;709495.0
1694;Total domestic sectors;Financial corporations;Closing balance sheet;2014;951681.0;12990.0;231039.0;160587.0;236110.0;31504.0;709495.0
1695;Total domestic sectors;Financial corporations;Closing balance sheet;2015 1st quarter;980242.0;13556.0;231864.0;189308.0;238843.0;31185.0;772648.0
1696;Total domestic sectors;Financial corporations;Closing balance sheet;2015 2nd quarter;1001635.0;13396.0;231100.0;172550.0;240815.0;28044.0;739793.0
1697;Total domestic sectors;Financial corporations;Closing balance sheet;2015 3rd quarter;1016844.0;12377.0;230412.0;154390.0;237782.0;22817.0;711441.0
1698;Total domestic sectors;Financial corporations;Closing balance sheet;2015 4th quarter;1019187.0;12930.0;221557.0;156211.0;235253.0;23445.0;731398.0
1699;Total domestic sectors;Financial corporations;Closing balance sheet;2015;1019187.0;12930.0;221557.0;156211.0;235253.0;23445.0;731398.0
1700;Total domestic sectors;Financial corporations;Closing balance sheet;2016 1st quarter;1058485.0;13344.0;217523.0;170696.0;235518.0;24158.0;735233.0
1701;Total domestic sectors;Financial corporations;Closing balance sheet;2016 2nd quarter;1066210.0;12983.0;232853.0;154280.0;235008.0;27057.0;765488.0
1702;Total domestic sectors;Financial corporations;Closing balance sheet;2016 3rd quarter;1118332.0;13553.0;233121.0;167800.0;234554.0;27838.0;787694.0
1703;Total domestic sectors;Financial corporations;Closing balance sheet;2016 4th quarter;1102956.0;11865.0;223159.0;155263.0;235760.0;48031.0;798840.0
1704;Total domestic sectors;Financial corporations;Closing balance sheet;2016;1102956.0;11865.0;223159.0;155263.0;235760.0;48031.0;798840.0
1705;Total domestic sectors;Financial corporations;Closing balance sheet;2017 1st quarter;1184786.0;13462.0;223796.0;173626.0;240001.0;50855.0;805675.0
1706;Total domestic sectors;Financial corporations;Closing balance sheet;2017 2nd quarter;1142344.0;13278.0;222158.0;171756.0;242660.0;49131.0;811527.0
1707;Total domestic sectors;Financial corporations;Closing balance sheet;2017 3rd quarter;1176899.0;13843.0;210529.0;170004.0;244072.0;54935.0;833115.0
1708;Total domestic sectors;Financial corporations;Closing balance sheet;2017 4th quarter;1135746.0;13745.0;208555.0;190685.0;235962.0;57330.0;836132.0
1709;Total domestic sectors;Financial corporations;Closing balance sheet;2017;1135746.0;13745.0;208555.0;190685.0;235962.0;57330.0;836132.0
1710;Total domestic sectors;Monetary financial institutions;Opening balance sheet;1999 1st quarter;291384.0;;;0.0;42318.0;;
1711;Total domestic sectors;Monetary financial institutions;Opening balance sheet;1999 2nd quarter;297451.0;;;0.0;43314.0;;
1712;Total domestic sectors;Monetary financial institutions;Opening balance sheet;1999 3rd quarter;308933.0;;;0.0;42189.0;;
1713;Total domestic sectors;Monetary financial institutions;Opening balance sheet;1999 4th quarter;308289.0;;;0.0;41633.0;;
1714;Total domestic sectors;Monetary financial institutions;Opening balance sheet;1999;291384.0;;;0.0;42318.0;;
1715;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2000 1st quarter;312814.0;;;0.0;42823.0;;
1716;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2000 2nd quarter;333134.0;;;0.0;44015.0;;
1717;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2000 3rd quarter;323501.0;;;0.0;44774.0;;
1718;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2000 4th quarter;342529.0;;;0.0;48990.0;;
1719;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2000;312814.0;;;0.0;42823.0;;
1720;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2001 1st quarter;337264.0;;;0.0;51173.0;;
1721;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2001 2nd quarter;355260.0;;;0.0;51204.0;;
1722;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2001 3rd quarter;359057.0;;;0.0;50187.0;;
1723;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2001 4th quarter;368101.0;;;0.0;49199.0;;
1724;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2001;337264.0;;;0.0;51173.0;;
1725;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2002 1st quarter;383245.0;;;0.0;49130.0;;
1726;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2002 2nd quarter;390967.0;;;0.0;49930.0;;
1727;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2002 3rd quarter;398776.0;;;0.0;49403.0;;
1728;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2002 4th quarter;404924.0;;;0.0;49056.0;;
1729;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2002;383245.0;;;0.0;49130.0;;
1730;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2003 1st quarter;407617.0;;;0.0;49874.0;;
1731;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2003 2nd quarter;432311.0;;;0.0;50767.0;;
1732;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2003 3rd quarter;431094.0;;;0.0;50454.0;;
1733;Total domestic sectors;Monetary financial institutions;Opening balance sheet;2003 4th quarter;446581.0;;;0.0;49820.0;;
