ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
1443;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Value;2021;642.0;492.0;150.0;33.6;;;
1444;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;569.0;412.0;154.0;33.8;;;
1445;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;606.0;451.0;153.0;35.5;;;
1446;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;601.0;442.0;157.0;34.6;;;
1447;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;624.0;474.0;148.0;32.7;;;
1448;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;597.0;439.0;159.0;35.4;;;
1449;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;633.0;478.0;157.0;36.9;;;
1450;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;631.0;471.0;161.0;36.0;;;
1451;Total;Age head of household: older than 74;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;660.0;510.0;152.0;34.5;;;
1452;Total;Age head of household: older than 74;Total dwellings;Value;2012;571.0;379.0;193.0;32.3;;;
1453;Total;Age head of household: older than 74;Total dwellings;Value;2015;590.0;399.0;191.0;32.6;;;
1454;Total;Age head of household: older than 74;Total dwellings;Value;2018;598.0;403.0;194.0;32.3;;;
1455;Total;Age head of household: older than 74;Total dwellings;Value;2021;615.0;426.0;189.0;30.2;;;
1456;Total;Age head of household: older than 74;Total dwellings;Lower bound 95% confidence interval;2012;562.0;370.0;191.0;31.8;;;
1457;Total;Age head of household: older than 74;Total dwellings;Lower bound 95% confidence interval;2015;582.0;391.0;189.0;32.1;;;
1458;Total;Age head of household: older than 74;Total dwellings;Lower bound 95% confidence interval;2018;589.0;395.0;192.0;31.9;;;
1459;Total;Age head of household: older than 74;Total dwellings;Lower bound 95% confidence interval;2021;607.0;418.0;187.0;29.7;;;
1460;Total;Age head of household: older than 74;Total dwellings;Upper bound 95% confidence interval;2012;581.0;387.0;195.0;32.8;;;
1461;Total;Age head of household: older than 74;Total dwellings;Upper bound 95% confidence interval;2015;598.0;407.0;193.0;33.0;;;
1462;Total;Age head of household: older than 74;Total dwellings;Upper bound 95% confidence interval;2018;606.0;411.0;196.0;32.7;;;
1463;Total;Age head of household: older than 74;Total dwellings;Upper bound 95% confidence interval;2021;624.0;435.0;191.0;30.7;;;
1464;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Value;2012;570.0;345.0;225.0;30.4;;;
1465;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Value;2015;577.0;358.0;219.0;30.0;;;
1466;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Value;2018;589.0;369.0;220.0;30.2;;;
1467;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Value;2021;598.0;384.0;214.0;27.8;;;
1468;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;556.0;332.0;222.0;29.7;;;
1469;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;566.0;348.0;216.0;29.4;;;
1470;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;579.0;359.0;217.0;29.7;;;
1471;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;589.0;375.0;212.0;27.2;;;
1472;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;583.0;357.0;228.0;31.1;;;
1473;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;588.0;368.0;221.0;30.6;;;
1474;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;600.0;380.0;222.0;30.8;;;
1475;Total;Age head of household: older than 74;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;608.0;393.0;217.0;28.4;;;
1476;Total;Age head of household: older than 74;Type of dwelling: detached house;Value;2012;636.0;359.0;277.0;29.7;;;
1477;Total;Age head of household: older than 74;Type of dwelling: detached house;Value;2015;640.0;374.0;266.0;29.5;;;
1478;Total;Age head of household: older than 74;Type of dwelling: detached house;Value;2018;657.0;388.0;269.0;29.9;;;
1479;Total;Age head of household: older than 74;Type of dwelling: detached house;Value;2021;650.0;385.0;266.0;26.9;;;
1480;Total;Age head of household: older than 74;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;598.0;323.0;270.0;27.9;;;
1481;Total;Age head of household: older than 74;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;610.0;346.0;260.0;28.2;;;
1482;Total;Age head of household: older than 74;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;628.0;361.0;263.0;28.7;;;
1483;Total;Age head of household: older than 74;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;629.0;366.0;261.0;25.8;;;
1484;Total;Age head of household: older than 74;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;674.0;396.0;284.0;31.6;;;
1485;Total;Age head of household: older than 74;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;670.0;401.0;272.0;30.9;;;
1486;Total;Age head of household: older than 74;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;686.0;415.0;274.0;31.2;;;
1487;Total;Age head of household: older than 74;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;672.0;404.0;271.0;28.0;;;
1488;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Value;2012;519.0;285.0;234.0;26.8;;;
1489;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Value;2015;558.0;332.0;227.0;26.5;;;
1490;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Value;2018;580.0;355.0;225.0;27.8;;;
1491;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Value;2021;564.0;344.0;220.0;24.7;;;
1492;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;493.0;260.0;228.0;25.4;;;
1493;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;536.0;311.0;222.0;25.2;;;
1494;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;555.0;330.0;221.0;26.4;;;
1495;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;540.0;321.0;215.0;23.3;;;
1496;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;546.0;311.0;240.0;28.2;;;
1497;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;581.0;353.0;231.0;27.9;;;
1498;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;606.0;380.0;230.0;29.1;;;
1499;Total;Age head of household: older than 74;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;588.0;367.0;225.0;26.2;;;
1500;Total;Age head of household: older than 74;Type of dwelling: corner house;Value;2012;585.0;375.0;210.0;32.6;;;
1501;Total;Age head of household: older than 74;Type of dwelling: corner house;Value;2015;547.0;347.0;200.0;31.3;;;
1502;Total;Age head of household: older than 74;Type of dwelling: corner house;Value;2018;566.0;366.0;201.0;31.4;;;
1503;Total;Age head of household: older than 74;Type of dwelling: corner house;Value;2021;582.0;387.0;195.0;28.9;;;
1504;Total;Age head of household: older than 74;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;559.0;350.0;205.0;31.3;;;
1505;Total;Age head of household: older than 74;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;528.0;329.0;196.0;30.1;;;
1506;Total;Age head of household: older than 74;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;549.0;349.0;196.0;30.3;;;
1507;Total;Age head of household: older than 74;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;562.0;368.0;191.0;27.6;;;
1508;Total;Age head of household: older than 74;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;610.0;399.0;215.0;33.9;;;
1509;Total;Age head of household: older than 74;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;565.0;364.0;204.0;32.5;;;
1510;Total;Age head of household: older than 74;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;583.0;382.0;205.0;32.5;;;
1511;Total;Age head of household: older than 74;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;601.0;406.0;199.0;30.2;;;
1512;Total;Age head of household: older than 74;Type of dwelling: terraced house;Value;2012;546.0;347.0;199.0;31.3;;;
1513;Total;Age head of household: older than 74;Type of dwelling: terraced house;Value;2015;554.0;365.0;189.0;31.4;;;
1514;Total;Age head of household: older than 74;Type of dwelling: terraced house;Value;2018;554.0;365.0;189.0;31.3;;;
1515;Total;Age head of household: older than 74;Type of dwelling: terraced house;Value;2021;585.0;403.0;182.0;29.5;;;
1516;Total;Age head of household: older than 74;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;528.0;330.0;195.0;30.2;;;
1517;Total;Age head of household: older than 74;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;541.0;352.0;186.0;30.5;;;
1518;Total;Age head of household: older than 74;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;542.0;354.0;186.0;30.4;;;
1519;Total;Age head of household: older than 74;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;571.0;389.0;179.0;28.6;;;
1520;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;565.0;364.0;203.0;32.3;;;
1521;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;567.0;378.0;192.0;32.2;;;
1522;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;566.0;377.0;192.0;32.1;;;
1523;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;599.0;417.0;185.0;30.3;;;
1524;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2012;574.0;417.0;156.0;34.5;;;
1525;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2015;608.0;452.0;155.0;35.9;;;
1526;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2018;609.0;450.0;159.0;35.2;;;
1527;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2021;641.0;490.0;151.0;33.9;;;
1528;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;561.0;405.0;154.0;33.8;;;
1529;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;595.0;440.0;154.0;35.3;;;
1530;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;596.0;437.0;157.0;34.5;;;
1531;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;625.0;474.0;149.0;33.1;;;
1532;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;586.0;429.0;158.0;35.2;;;
1533;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;620.0;464.0;157.0;36.6;;;
1534;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;622.0;463.0;161.0;35.8;;;
1535;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;656.0;505.0;153.0;34.7;;;
1536;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2012;523.0;354.0;168.0;33.7;;;
1537;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2015;536.0;386.0;150.0;35.8;;;
1538;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2018;529.0;375.0;155.0;35.2;;;
1539;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2021;552.0;407.0;145.0;33.4;;;
1540;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;511.0;343.0;165.0;32.9;;;
1541;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;524.0;374.0;147.0;35.1;;;
1542;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;518.0;363.0;152.0;34.4;;;
1543;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;538.0;392.0;142.0;32.3;;;
1544;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;534.0;366.0;171.0;34.4;;;
1545;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;548.0;399.0;152.0;36.5;;;
1546;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;541.0;386.0;157.0;36.0;;;
1547;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;566.0;421.0;148.0;34.5;;;
1548;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2012;559.0;384.0;176.0;33.2;;;
1549;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2015;574.0;406.0;169.0;34.9;;;
1550;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2018;571.0;404.0;168.0;34.2;;;
1551;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2021;591.0;432.0;159.0;32.2;;;
1552;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;543.0;368.0;172.0;32.2;;;
1553;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;562.0;393.0;167.0;34.2;;;
1554;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;561.0;393.0;165.0;33.6;;;
1555;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;578.0;418.0;157.0;31.3;;;
1556;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;575.0;400.0;179.0;34.1;;;
1557;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;587.0;418.0;171.0;35.7;;;
1558;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;582.0;414.0;170.0;34.9;;;
1559;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;605.0;446.0;161.0;33.0;;;
1560;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2012;588.0;381.0;207.0;31.0;;;
1561;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2015;592.0;387.0;204.0;30.0;;;
1562;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2018;599.0;394.0;205.0;30.1;;;
1563;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2021;604.0;408.0;196.0;28.6;;;
1564;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;567.0;360.0;203.0;29.9;;;
1565;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;577.0;372.0;202.0;29.2;;;
1566;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;583.0;378.0;203.0;29.3;;;
1567;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;591.0;395.0;194.0;27.9;;;
1568;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;610.0;402.0;212.0;32.1;;;
1569;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;607.0;402.0;207.0;30.8;;;
1570;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;614.0;409.0;208.0;30.9;;;
1571;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;618.0;422.0;199.0;29.4;;;
1572;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2012;683.0;426.0;257.0;30.0;;;
1573;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2015;696.0;428.0;268.0;28.8;;;
1574;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2018;723.0;457.0;267.0;30.1;;;
1575;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2021;738.0;471.0;267.0;27.3;;;
1576;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;653.0;398.0;251.0;28.5;;;
1577;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;667.0;401.0;261.0;27.4;;;
1578;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;694.0;429.0;261.0;28.9;;;
1579;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;710.0;444.0;262.0;26.1;;;
1580;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;712.0;453.0;263.0;31.6;;;
1581;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;725.0;455.0;275.0;30.2;;;
1582;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;753.0;485.0;272.0;31.4;;;
1583;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;766.0;498.0;272.0;28.6;;;
1584;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Value;2012;452.0;298.0;154.0;45.0;;;
1585;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Value;2015;484.0;330.0;154.0;47.7;;;
1586;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Value;2018;466.0;310.0;157.0;45.9;;;
1587;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Value;2021;486.0;345.0;141.0;43.2;;;
1588;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;447.0;293.0;152.0;44.3;;;
1589;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;479.0;325.0;153.0;47.0;;;
1590;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;462.0;305.0;156.0;45.1;;;
1591;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;480.0;340.0;139.0;42.4;;;
1592;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;457.0;303.0;156.0;45.8;;;
1593;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;490.0;335.0;156.0;48.4;;;
1594;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;471.0;314.0;158.0;46.6;;;
1595;Total;Disposable income: 1st 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;493.0;351.0;143.0;44.1;;;
1596;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2012;499.0;335.0;164.0;46.9;;;
1597;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2015;537.0;375.0;162.0;49.2;;;
1598;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2018;529.0;367.0;163.0;47.2;;;
1599;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2021;538.0;388.0;150.0;44.0;;;
1600;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;489.0;326.0;161.0;45.8;;;
1601;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;527.0;365.0;160.0;48.1;;;
1602;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;520.0;358.0;161.0;46.1;;;
1603;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;526.0;377.0;147.0;42.9;;;
1604;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;509.0;345.0;166.0;47.9;;;
1605;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;547.0;385.0;164.0;50.2;;;
1606;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;539.0;376.0;165.0;48.2;;;
1607;Total;Disposable income: 1st 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;549.0;399.0;152.0;45.2;;;
1608;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2012;566.0;381.0;184.0;52.0;;;
1609;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2015;576.0;400.0;177.0;52.0;;;
1610;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2018;566.0;388.0;178.0;50.3;;;
1611;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2021;585.0;417.0;168.0;48.5;;;
1612;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;546.0;362.0;180.0;50.2;;;
1613;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;558.0;381.0;173.0;50.4;;;
1614;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;549.0;372.0;174.0;48.6;;;
1615;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;562.0;394.0;164.0;46.5;;;
1616;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;585.0;401.0;188.0;53.7;;;
1617;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;595.0;418.0;180.0;53.7;;;
1618;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;583.0;404.0;181.0;52.0;;;
1619;Total;Disposable income: 1st 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;609.0;441.0;172.0;50.5;;;
1620;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Value;2012;793.0;557.0;236.0;65.5;;;
1621;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Value;2015;809.0;578.0;231.0;62.4;;;
1622;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Value;2018;784.0;565.0;219.0;64.1;;;
1623;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Value;2021;765.0;552.0;213.0;57.7;;;
1624;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;742.0;507.0;229.0;62.9;;;
1625;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;735.0;504.0;224.0;59.8;;;
1626;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;736.0;518.0;213.0;61.7;;;
1627;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;710.0;500.0;205.0;55.3;;;
1628;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;845.0;608.0;244.0;68.1;;;
1629;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;883.0;651.0;239.0;65.0;;;
1630;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;833.0;612.0;226.0;66.6;;;
1631;Total;Disposable income: 1st 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;820.0;604.0;221.0;60.2;;;
1632;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Value;2012;531.0;353.0;178.0;52.1;;;
1633;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Value;2015;574.0;395.0;179.0;54.3;;;
1634;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Value;2018;571.0;392.0;179.0;53.7;;;
1635;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Value;2021;594.0;421.0;173.0;50.0;;;
1636;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;513.0;336.0;174.0;50.4;;;
1637;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;552.0;375.0;175.0;52.8;;;
1638;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;550.0;371.0;175.0;52.1;;;
1639;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;566.0;395.0;168.0;48.3;;;
1640;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;548.0;369.0;182.0;53.8;;;
1641;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;596.0;416.0;183.0;55.9;;;
1642;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;593.0;413.0;183.0;55.4;;;
1643;Total;Disposable income: 1st 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;621.0;447.0;178.0;51.8;;;
1644;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Value;2012;482.0;311.0;171.0;45.5;;;
1645;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Value;2015;504.0;334.0;170.0;46.7;;;
1646;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Value;2018;494.0;323.0;171.0;44.6;;;
1647;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Value;2021;511.0;351.0;160.0;41.4;;;
1648;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;473.0;303.0;169.0;44.7;;;
1649;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;495.0;326.0;167.0;45.9;;;
1650;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;485.0;315.0;169.0;43.7;;;
1651;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;500.0;340.0;158.0;40.4;;;
1652;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;490.0;319.0;173.0;46.4;;;
1653;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;512.0;342.0;172.0;47.6;;;
