ID;Sex;PersonCharacteristics;Periods;NumberOfPersons_1;MeanEquivalisedIncome_2;NumberOfPersonsWithIncome_3;MeanPersonalIncome_4;MedianDevelopmentPurchasingPower_5;PersonsEconomicallyIndependent_6;LowIncomePersons_7
268;Total male and female;SEC: claiming unemployment benefit;2019;113.9;28.7;113.9;26.1;0.7;8.1;8.0
269;Total male and female;SEC: claiming unemployment benefit;2020;124.1;28.6;124.1;25.9;1.1;7.7;8.4
270;Total male and female;SEC: claiming unemployment benefit;2021;101.7;29.3;101.7;25.8;0.7;8.8;7.9
271;Total male and female;SEC: claiming unemployment benefit;2022;66.3;31.2;66.3;27.6;-1.9;9.4;5.9
272;Total male and female;SEC: claiming unemployment benefit;2023;64.8;33.2;64.8;30.0;-0.9;10.4;6.0
273;Total male and female;SEC: claiming social provision benefit;2011;497.8;14.7;497.8;13.6;;0.0;49.3
274;Total male and female;SEC: claiming social provision benefit;2012;517.2;14.7;517.2;13.7;-1.6;0.0;55.4
275;Total male and female;SEC: claiming social provision benefit;2013;556.8;14.8;556.8;14.0;-1.6;0.0;59.6
276;Total male and female;SEC: claiming social provision benefit;2014;578.4;15.4;578.4;14.1;2.0;0.0;58.2
277;Total male and female;SEC: claiming social provision benefit;2015;594.5;15.5;594.5;13.5;0.9;0.0;59.1
278;Total male and female;SEC: claiming social provision benefit;2016;610.5;15.7;610.5;13.6;1.3;0.0;59.4
279;Total male and female;SEC: claiming social provision benefit;2017;623.4;16.0;623.4;13.8;0.5;0.0;60.3
280;Total male and female;SEC: claiming social provision benefit;2018;603.1;16.2;603.1;13.9;-0.2;0.0;61.6
281;Total male and female;SEC: claiming social provision benefit;2019;582.4;16.9;582.4;14.2;0.6;0.0;60.0
282;Total male and female;SEC: claiming social provision benefit;2020;631.6;17.7;631.6;14.2;1.7;0.0;51.4
283;Total male and female;SEC: claiming social provision benefit;2021;607.4;18.3;607.4;14.6;0.0;0.1;50.7
284;Total male and female;SEC: claiming social provision benefit;2022;601.4;19.8;601.4;15.2;4.5;0.1;34.0
285;Total male and female;SEC: claiming social provision benefit;2023;586.2;20.9;586.2;16.9;1.4;0.1;25.7
286;Total male and female;SEC: claiming disability benefit;2011;488.9;22.1;488.9;21.5;;2.0;9.6
287;Total male and female;SEC: claiming disability benefit;2012;486.6;22.2;486.6;21.7;-1.3;2.0;10.9
288;Total male and female;SEC: claiming disability benefit;2013;486.2;22.3;486.2;22.1;-1.7;2.0;12.5
289;Total male and female;SEC: claiming disability benefit;2014;481.3;23.0;481.3;22.2;1.0;2.0;12.0
290;Total male and female;SEC: claiming disability benefit;2015;477.8;23.1;477.8;22.2;0.5;2.0;11.8
291;Total male and female;SEC: claiming disability benefit;2016;479.5;23.9;479.5;22.6;1.4;2.1;11.1
292;Total male and female;SEC: claiming disability benefit;2017;488.8;24.5;488.8;23.2;0.2;2.3;11.2
293;Total male and female;SEC: claiming disability benefit;2018;496.9;24.8;496.9;23.7;0.1;2.4;11.4
294;Total male and female;SEC: claiming disability benefit;2019;503.6;26.1;503.6;24.3;1.0;2.4;10.9
295;Total male and female;SEC: claiming disability benefit;2020;512.5;26.9;512.5;25.0;1.8;2.3;10.2
296;Total male and female;SEC: claiming disability benefit;2021;513.2;27.8;513.2;25.4;0.3;2.4;10.1
297;Total male and female;SEC: claiming disability benefit;2022;512.1;29.5;512.1;26.6;-1.6;2.6;5.0
298;Total male and female;SEC: claiming disability benefit;2023;526.2;32.2;526.2;29.4;1.6;3.0;4.5
299;Total male and female;SEC: pensioner;2011;2959.7;24.8;2959.7;22.2;;8.8;2.2
300;Total male and female;SEC: pensioner;2012;3025.3;25.4;3025.3;22.3;-1.2;8.5;2.8
301;Total male and female;SEC: pensioner;2013;3063.8;25.4;3063.8;22.6;-2.8;9.2;3.2
302;Total male and female;SEC: pensioner;2014;3084.7;26.7;3084.7;23.4;0.8;11.0;2.9
303;Total male and female;SEC: pensioner;2015;3121.9;26.2;3121.9;23.4;0.1;13.1;2.5
304;Total male and female;SEC: pensioner;2016;3152.0;26.9;3152.0;24.1;0.8;14.9;2.4
305;Total male and female;SEC: pensioner;2017;3194.8;28.4;3194.8;26.4;-0.2;19.0;2.5
306;Total male and female;SEC: pensioner;2018;3190.3;27.6;3190.3;24.8;-0.4;15.5;2.8
307;Total male and female;SEC: pensioner;2019;3201.1;29.5;3201.1;25.6;0.7;15.8;2.7
308;Total male and female;SEC: pensioner;2020;3253.7;29.6;3253.7;26.2;1.2;16.1;2.7
309;Total male and female;SEC: pensioner;2021;3306.6;30.8;3306.6;27.0;-0.3;17.8;2.3
310;Total male and female;SEC: pensioner;2022;3300.2;32.1;3300.2;27.8;-3.0;14.6;1.6
311;Total male and female;SEC: pensioner;2023;3312.2;34.9;3312.2;30.0;-0.6;14.7;1.7
312;Total male and female;SEC: (school) child or student;2011;4222.4;24.8;1298.9;4.3;;;7.6
313;Total male and female;SEC: (school) child or student;2012;4233.0;24.9;1306.3;4.4;-0.9;;8.7
314;Total male and female;SEC: (school) child or student;2013;4236.0;25.2;1316.1;4.4;0.0;;9.5
315;Total male and female;SEC: (school) child or student;2014;4235.2;26.7;1336.7;4.5;2.7;;9.2
316;Total male and female;SEC: (school) child or student;2015;4220.2;26.5;1350.8;4.6;2.7;;8.7
317;Total male and female;SEC: (school) child or student;2016;4195.0;27.9;1350.6;4.5;4.9;;8.0
318;Total male and female;SEC: (school) child or student;2017;4177.9;29.1;1365.5;4.5;1.9;;7.6
319;Total male and female;SEC: (school) child or student;2018;4154.1;29.8;1375.5;4.5;2.1;;7.5
320;Total male and female;SEC: (school) child or student;2019;4129.9;32.3;1381.9;4.6;2.8;;7.0
321;Total male and female;SEC: (school) child or student;2020;4106.7;32.8;1332.5;4.8;4.4;;6.4
322;Total male and female;SEC: (school) child or student;2021;4075.5;34.4;1361.1;4.9;2.9;;5.7
323;Total male and female;SEC: (school) child or student;2022;4054.6;36.5;1414.8;5.2;0.4;;4.6
324;Total male and female;SEC: (school) child or student;2023;4039.1;39.3;1417.6;5.8;1.6;;4.0
325;Total male and female;SEC: other (without income);2011;578.9;25.2;;;;0.0;9.1
326;Total male and female;SEC: other (without income);2012;559.6;25.0;;;-1.8;0.0;10.6
327;Total male and female;SEC: other (without income);2013;558.1;24.9;;;-1.4;0.0;11.8
328;Total male and female;SEC: other (without income);2014;550.2;27.0;;;1.4;0.0;11.5
329;Total male and female;SEC: other (without income);2015;543.2;25.9;;;1.0;0.0;11.6
330;Total male and female;SEC: other (without income);2016;525.4;27.1;;;2.4;0.0;10.5
331;Total male and female;SEC: other (without income);2017;498.1;28.3;;;0.2;0.0;10.7
332;Total male and female;SEC: other (without income);2018;475.9;28.3;;;0.2;0.0;11.5
333;Total male and female;SEC: other (without income);2019;459.6;31.9;;;1.6;0.0;11.4
334;Total male and female;SEC: other (without income);2020;438.6;31.0;;;2.5;0.0;10.6
335;Total male and female;SEC: other (without income);2021;423.7;32.2;;;1.0;0.0;10.7
336;Total male and female;SEC: other (without income);2022;384.7;34.4;;;-1.6;0.0;9.4
337;Total male and female;SEC: other (without income);2023;419.7;36.4;;;-0.6;0.0;11.6
338;Male;Total persons;2011;8083.8;27.5;6517.2;36.5;;78.9;5.7
339;Male;Total persons;2012;8118.9;27.6;6545.8;36.6;-1.1;78.2;6.5
340;Male;Total persons;2013;8144.4;27.8;6568.2;37.0;-1.0;77.3;7.1
341;Male;Total persons;2014;8160.7;29.4;6593.4;37.6;1.9;77.5;6.9
342;Male;Total persons;2015;8197.5;29.2;6643.4;38.0;1.4;78.2;6.7
343;Male;Total persons;2016;8234.2;30.6;6692.6;38.7;3.2;79.0;6.3
344;Male;Total persons;2017;8295.9;31.8;6773.3;40.1;0.8;79.7;6.2
345;Male;Total persons;2018;8348.7;32.1;6843.1;40.1;0.7;80.8;6.1
346;Male;Total persons;2019;8402.2;34.7;6909.8;41.3;1.7;81.4;5.7
347;Male;Total persons;2020;8460.5;35.2;6952.1;42.1;2.6;80.3;5.3
348;Male;Total persons;2021;8502.1;36.9;7018.0;43.7;1.5;81.5;4.8
349;Male;Total persons;2022;8554.7;39.1;7124.5;45.5;-1.1;83.1;3.5
350;Male;Total persons;2023;8640.4;42.0;7197.1;47.9;0.3;82.8;3.2
351;Male;Age: 0 to 14 years;2011;1473.1;25.3;50.5;0.8;;;8.5
352;Male;Age: 0 to 14 years;2012;1466.7;25.5;47.2;0.9;-0.9;;9.7
353;Male;Age: 0 to 14 years;2013;1457.3;25.7;45.0;0.9;-0.1;;10.5
354;Male;Age: 0 to 14 years;2014;1444.1;27.2;44.6;0.9;2.6;;10.3
355;Male;Age: 0 to 14 years;2015;1431.9;27.2;47.7;0.9;2.5;;9.9
356;Male;Age: 0 to 14 years;2016;1417.8;28.7;50.0;0.9;4.9;;9.2
357;Male;Age: 0 to 14 years;2017;1408.8;29.7;55.3;0.9;1.7;;8.8
358;Male;Age: 0 to 14 years;2018;1399.9;30.3;62.8;0.9;1.8;;8.7
359;Male;Age: 0 to 14 years;2019;1389.4;32.5;65.8;0.9;2.4;;8.1
360;Male;Age: 0 to 14 years;2020;1383.0;33.2;56.5;1.0;4.2;;7.5
361;Male;Age: 0 to 14 years;2021;1376.4;34.9;67.0;1.0;2.6;;6.7
362;Male;Age: 0 to 14 years;2022;1375.8;36.9;84.3;1.0;0.0;;5.3
363;Male;Age: 0 to 14 years;2023;1381.5;39.5;91.3;1.1;1.2;;4.6
364;Male;Age: 15 to 24 years;2011;1010.6;26.0;926.5;11.4;;68.2;5.7
365;Male;Age: 15 to 24 years;2012;1013.1;25.9;921.4;11.1;-0.2;65.7;6.7
366;Male;Age: 15 to 24 years;2013;1012.5;26.1;915.4;10.9;0.8;63.4;7.3
367;Male;Age: 15 to 24 years;2014;1016.7;27.6;917.9;10.8;3.6;63.9;7.0
368;Male;Age: 15 to 24 years;2015;1023.6;27.4;925.0;11.0;3.9;65.2;6.5
369;Male;Age: 15 to 24 years;2016;1029.0;28.9;927.4;11.2;6.1;67.5;6.0
370;Male;Age: 15 to 24 years;2017;1037.9;30.3;938.9;11.5;3.9;69.3;5.8
371;Male;Age: 15 to 24 years;2018;1046.9;31.0;950.3;12.2;4.1;71.9;5.5
372;Male;Age: 15 to 24 years;2019;1054.3;34.1;959.3;12.8;5.0;73.8;4.9
373;Male;Age: 15 to 24 years;2020;1056.4;34.9;948.2;13.4;5.7;73.0;4.5
374;Male;Age: 15 to 24 years;2021;1058.3;36.6;961.2;14.1;4.8;76.5;3.9
375;Male;Age: 15 to 24 years;2022;1065.3;39.1;990.4;15.3;2.1;80.3;3.3
376;Male;Age: 15 to 24 years;2023;1076.0;42.4;1009.5;16.7;3.5;79.8;3.0
377;Male;Age: 25 to 44 years;2011;2167.9;26.9;2137.3;41.4;;85.5;6.1
378;Male;Age: 25 to 44 years;2012;2143.6;26.9;2112.0;41.4;-0.9;84.3;7.1
379;Male;Age: 25 to 44 years;2013;2119.3;27.1;2085.1;41.4;0.0;82.9;7.8
380;Male;Age: 25 to 44 years;2014;2094.4;28.4;2059.1;41.6;2.7;82.8;7.6
381;Male;Age: 25 to 44 years;2015;2070.3;28.6;2034.7;42.1;2.2;83.3;7.4
382;Male;Age: 25 to 44 years;2016;2057.3;30.0;2022.1;42.7;4.9;84.1;7.0
383;Male;Age: 25 to 44 years;2017;2058.7;30.9;2025.5;43.4;1.6;84.7;6.9
384;Male;Age: 25 to 44 years;2018;2066.0;31.5;2032.3;44.5;1.9;85.6;6.6
385;Male;Age: 25 to 44 years;2019;2085.2;33.5;2050.8;45.8;2.6;86.1;6.1
386;Male;Age: 25 to 44 years;2020;2112.8;34.6;2078.0;46.7;4.1;84.8;5.3
387;Male;Age: 25 to 44 years;2021;2134.8;36.4;2098.0;48.7;2.7;85.9;4.9
388;Male;Age: 25 to 44 years;2022;2162.0;38.7;2129.5;51.5;0.0;87.5;3.3
389;Male;Age: 25 to 44 years;2023;2207.9;41.3;2164.8;54.1;0.8;87.0;3.4
390;Male;Age: 45 to 64 years;2011;2324.5;30.9;2295.5;47.3;;74.3;5.3
391;Male;Age: 45 to 64 years;2012;2322.8;31.0;2292.9;47.8;-1.3;74.5;6.0
392;Male;Age: 45 to 64 years;2013;2325.1;31.3;2292.7;48.9;-0.7;74.3;6.7
393;Male;Age: 45 to 64 years;2014;2328.5;33.4;2295.2;50.2;2.1;74.7;6.6
394;Male;Age: 45 to 64 years;2015;2345.6;32.9;2310.6;51.1;1.6;75.6;6.8
395;Male;Age: 45 to 64 years;2016;2362.1;34.4;2325.7;52.1;3.5;76.3;6.6
396;Male;Age: 45 to 64 years;2017;2379.7;35.7;2343.4;54.4;0.7;77.1;6.6
397;Male;Age: 45 to 64 years;2018;2384.3;36.1;2346.8;54.3;0.7;78.1;6.7
398;Male;Age: 45 to 64 years;2019;2382.9;39.4;2344.7;55.9;1.7;79.0;6.4
399;Male;Age: 45 to 64 years;2020;2378.6;39.6;2341.1;56.8;2.9;78.1;6.0
400;Male;Age: 45 to 64 years;2021;2369.1;41.6;2329.9;59.3;1.7;79.0;5.7
401;Male;Age: 45 to 64 years;2022;2354.6;44.0;2324.9;61.4;-1.0;80.6;4.1
402;Male;Age: 45 to 64 years;2023;2342.3;47.4;2301.5;64.5;0.0;80.8;3.4
403;Male;Age: 65 years or older;2011;1107.8;25.7;1107.4;27.0;;;1.9
404;Male;Age: 65 years or older;2012;1172.7;26.5;1172.3;27.7;-1.2;;2.5
405;Male;Age: 65 years or older;2013;1230.3;26.4;1229.9;28.1;-3.1;;2.8
406;Male;Age: 65 years or older;2014;1276.9;27.9;1276.5;28.9;0.7;;2.5
407;Male;Age: 65 years or older;2015;1326.0;27.3;1325.4;29.2;0.0;;2.2
408;Male;Age: 65 years or older;2016;1368.1;28.1;1367.5;29.9;0.8;;2.1
409;Male;Age: 65 years or older;2017;1410.7;29.4;1410.1;32.2;-0.3;;2.2
410;Male;Age: 65 years or older;2018;1451.7;29.0;1451.0;31.1;-0.4;;2.6
411;Male;Age: 65 years or older;2019;1490.5;31.3;1489.2;32.1;0.7;45.7;2.6
412;Male;Age: 65 years or older;2020;1529.7;31.3;1528.3;32.9;1.1;47.3;2.6
413;Male;Age: 65 years or older;2021;1563.4;32.4;1561.9;33.7;-0.3;49.5;2.4
414;Male;Age: 65 years or older;2022;1597.0;34.2;1595.4;35.4;-3.1;49.6;1.7
415;Male;Age: 65 years or older;2023;1632.7;37.4;1629.8;38.3;-0.6;50.3;1.8
416;Male;Background: Dutch;2011;6472.3;28.6;5292.5;37.9;;82.0;3.6
417;Male;Background: Dutch;2012;6478.2;28.8;5299.2;38.1;-1.0;81.6;4.1
418;Male;Background: Dutch;2013;6482.5;29.0;5304.7;38.5;-0.9;80.8;4.5
419;Male;Background: Dutch;2014;6474.5;30.8;5307.2;39.1;1.9;81.1;4.3
420;Male;Background: Dutch;2015;6477.7;30.5;5325.3;39.6;1.3;81.8;4.2
421;Male;Background: Dutch;2016;6473.3;31.9;5336.6;40.3;3.2;82.7;3.8
422;Male;Background: Dutch;2017;6481.2;33.2;5366.1;41.9;0.7;83.4;3.7
423;Male;Background: Dutch;2018;6478.3;33.6;5385.2;41.8;0.6;84.3;3.6
424;Male;Background: Dutch;2019;6474.2;36.4;5400.2;43.0;1.6;84.7;3.4
425;Male;Background: Dutch;2020;6470.6;36.8;5394.0;43.9;2.6;84.0;3.1
426;Male;Background: Dutch;2021;;;;;;;
427;Male;Background: Dutch;2022;;;;;;;
428;Male;Background: Dutch;2023;;;;;;;
429;Male;Background: western;2011;694.7;27.3;576.8;37.5;;74.4;7.4
430;Male;Background: western;2012;706.0;27.5;585.2;37.7;-1.2;73.8;8.6
431;Male;Background: western;2013;715.4;27.4;591.2;37.9;-1.3;72.9;9.3
432;Male;Background: western;2014;725.9;28.9;599.3;38.7;1.9;73.3;8.8
433;Male;Background: western;2015;740.3;28.9;610.8;39.3;1.3;74.3;8.3
434;Male;Background: western;2016;754.0;30.1;621.6;39.8;2.9;75.5;7.6
435;Male;Background: western;2017;769.7;31.2;635.2;41.2;0.7;76.7;7.2
436;Male;Background: western;2018;789.9;31.4;652.6;41.3;0.7;78.2;6.9
437;Male;Background: western;2019;813.1;33.8;672.3;42.5;1.7;79.0;6.5
438;Male;Background: western;2020;838.8;34.3;691.9;43.2;2.4;77.8;6.0
439;Male;Background: western;2021;;;;;;;
440;Male;Background: western;2022;;;;;;;
441;Male;Background: western;2023;;;;;;;
442;Male;Background: non-western;2011;916.9;19.7;647.9;24.2;;59.7;19.8
443;Male;Background: non-western;2012;934.7;19.7;661.5;24.3;-1.7;58.3;22.8
444;Male;Background: non-western;2013;946.6;19.9;672.3;24.5;-1.1;56.8;24.6
445;Male;Background: non-western;2014;960.3;20.8;686.8;25.0;2.2;56.6;23.8
446;Male;Background: non-western;2015;979.4;21.3;707.3;25.5;2.0;57.6;22.9
447;Male;Background: non-western;2016;1007.0;22.3;734.4;26.0;3.8;58.7;22.0
448;Male;Background: non-western;2017;1045.0;23.2;771.9;26.8;1.7;60.1;21.7
449;Male;Background: non-western;2018;1080.5;23.9;805.3;27.9;1.6;62.6;21.2
450;Male;Background: non-western;2019;1114.9;25.6;837.4;29.3;2.4;64.7;19.4
451;Male;Background: non-western;2020;1151.2;26.9;866.2;30.5;3.5;63.0;17.5
452;Male;Background: non-western;2021;;;;;;;
453;Male;Background: non-western;2022;;;;;;;
454;Male;Background: non-western;2023;;;;;;;
455;Male;Pos. in hh.: main earner;2011;4906.7;27.4;4895.1;42.8;;83.0;5.1
456;Male;Pos. in hh.: main earner;2012;4913.8;27.6;4901.7;43.1;-1.1;82.7;5.9
457;Male;Pos. in hh.: main earner;2013;4918.2;27.8;4905.3;43.6;-1.3;82.1;6.5
458;Male;Pos. in hh.: main earner;2014;4923.8;29.4;4911.0;44.3;1.6;82.4;6.3
459;Male;Pos. in hh.: main earner;2015;4941.2;29.1;4927.7;45.0;1.0;83.0;6.2
460;Male;Pos. in hh.: main earner;2016;4962.7;30.3;4945.9;45.7;2.4;83.4;6.0
461;Male;Pos. in hh.: main earner;2017;4999.8;31.4;4982.1;47.6;0.4;83.8;6.1
462;Male;Pos. in hh.: main earner;2018;5029.2;31.6;5008.3;47.5;0.2;84.6;6.1
463;Male;Pos. in hh.: main earner;2019;5052.7;34.1;5031.0;48.9;1.3;85.1;5.8
464;Male;Pos. in hh.: main earner;2020;5058.2;34.5;5034.7;49.9;2.1;84.4;5.2
465;Male;Pos. in hh.: main earner;2021;5076.7;36.1;5054.6;51.8;0.8;85.2;4.9
466;Male;Pos. in hh.: main earner;2022;5110.6;38.1;5110.6;53.9;-1.7;86.3;3.4
467;Male;Pos. in hh.: main earner;2023;5141.2;41.0;5126.7;56.7;-0.1;86.0;3.2
468;Male;Pos. in hh.: main earner without partner;2011;1349.4;22.2;1341.0;31.5;;69.2;12.5
469;Male;Pos. in hh.: main earner without partner;2012;1381.7;22.4;1372.8;31.7;-1.1;68.2;14.3
470;Male;Pos. in hh.: main earner without partner;2013;1407.2;22.6;1397.6;32.0;-1.2;66.7;15.7
471;Male;Pos. in hh.: main earner without partner;2014;1421.1;23.6;1411.5;32.5;1.7;66.9;15.3
472;Male;Pos. in hh.: main earner without partner;2015;1459.8;23.6;1449.6;32.9;0.9;67.4;14.9
473;Male;Pos. in hh.: main earner without partner;2016;1488.4;24.5;1475.2;33.5;1.9;68.2;14.6
474;Male;Pos. in hh.: main earner without partner;2017;1523.2;25.3;1509.0;34.5;0.4;68.7;14.8
475;Male;Pos. in hh.: main earner without partner;2018;1550.8;25.8;1533.7;35.0;0.1;70.4;14.1
476;Male;Pos. in hh.: main earner without partner;2019;1576.4;27.6;1558.8;36.3;1.1;71.6;13.4
477;Male;Pos. in hh.: main earner without partner;2020;1602.4;28.1;1583.1;37.1;1.9;70.3;11.9
478;Male;Pos. in hh.: main earner without partner;2021;1618.1;29.5;1600.5;38.6;0.5;71.7;11.3
479;Male;Pos. in hh.: main earner without partner;2022;1656.0;31.2;1656.0;40.3;-1.0;74.0;6.7
480;Male;Pos. in hh.: main earner without partner;2023;1697.1;33.4;1686.6;42.7;0.0;73.8;5.9
481;Male;Pos. in hh.: main earner with partner;2011;3557.3;29.4;3554.2;47.1;;88.1;2.5
482;Male;Pos. in hh.: main earner with partner;2012;3532.1;29.7;3529.0;47.5;-1.2;88.3;2.9
483;Male;Pos. in hh.: main earner with partner;2013;3511.0;29.9;3507.7;48.3;-1.4;88.3;3.2
484;Male;Pos. in hh.: main earner with partner;2014;3502.7;31.7;3499.5;49.1;1.6;88.7;3.1
485;Male;Pos. in hh.: main earner with partner;2015;3481.4;31.3;3478.1;50.0;0.9;89.6;3.0
486;Male;Pos. in hh.: main earner with partner;2016;3474.3;32.7;3470.7;51.0;2.5;90.0;2.7
487;Male;Pos. in hh.: main earner with partner;2017;3476.5;34.1;3473.0;53.3;0.4;90.5;2.7
488;Male;Pos. in hh.: main earner with partner;2018;3478.4;34.2;3474.6;53.0;0.3;91.0;2.8
489;Male;Pos. in hh.: main earner with partner;2019;3476.3;37.1;3472.2;54.5;1.3;91.4;2.6
490;Male;Pos. in hh.: main earner with partner;2020;3455.8;37.5;3451.6;55.7;2.1;91.1;2.4
491;Male;Pos. in hh.: main earner with partner;2021;3458.6;39.2;3454.1;57.9;0.9;91.6;2.3
492;Male;Pos. in hh.: main earner with partner;2022;3454.6;41.5;3454.6;60.4;-2.1;92.3;1.9
493;Male;Pos. in hh.: main earner with partner;2023;3444.1;44.8;3440.1;63.6;-0.1;92.1;1.9
494;Male;Pos. in hh.: partner of main earner;2011;630.3;28.9;595.4;24.0;;61.1;6.5
495;Male;Pos. in hh.: partner of main earner;2012;657.3;29.0;620.3;24.0;-1.1;59.9;7.2
496;Male;Pos. in hh.: partner of main earner;2013;684.9;29.2;644.8;24.2;-0.7;58.8;7.6
497;Male;Pos. in hh.: partner of main earner;2014;699.7;30.9;658.2;24.8;2.2;59.3;6.8
498;Male;Pos. in hh.: partner of main earner;2015;721.3;31.0;678.9;25.3;1.6;60.4;6.6
499;Male;Pos. in hh.: partner of main earner;2016;733.9;32.6;691.1;26.2;3.5;62.7;5.6
500;Male;Pos. in hh.: partner of main earner;2017;745.1;33.7;703.7;27.2;0.7;64.7;5.2
501;Male;Pos. in hh.: partner of main earner;2018;761.6;34.2;719.5;28.1;0.7;66.5;5.3
502;Male;Pos. in hh.: partner of main earner;2019;781.4;36.6;738.4;29.2;1.6;67.6;4.9
503;Male;Pos. in hh.: partner of main earner;2020;824.6;37.3;782.5;29.8;2.9;66.2;4.7
504;Male;Pos. in hh.: partner of main earner;2021;846.4;39.4;801.5;31.4;1.5;68.9;4.2
505;Male;Pos. in hh.: partner of main earner;2022;865.7;41.7;820.7;33.3;-1.4;72.0;3.2
506;Male;Pos. in hh.: partner of main earner;2023;898.2;44.8;846.2;36.0;0.0;72.2;3.2
507;Male;Pos. in hh.: child underage;2011;1746.3;25.8;276.1;2.3;;42.5;8.0
508;Male;Pos. in hh.: child underage;2012;1737.6;25.9;266.3;2.3;-0.7;34.2;9.1
509;Male;Pos. in hh.: child underage;2013;1725.5;26.2;257.8;2.2;0.1;32.4;9.9
510;Male;Pos. in hh.: child underage;2014;1716.7;27.8;259.8;2.2;2.8;32.6;9.7
511;Male;Pos. in hh.: child underage;2015;1707.1;27.7;267.2;2.2;2.7;33.9;9.2
512;Male;Pos. in hh.: child underage;2016;1700.0;29.2;281.6;2.3;5.0;38.6;8.5
513;Male;Pos. in hh.: child underage;2017;1691.6;30.2;295.1;2.5;1.9;41.7;8.1
514;Male;Pos. in hh.: child underage;2018;1683.7;30.9;310.2;2.6;2.1;44.8;8.0
515;Male;Pos. in hh.: child underage;2019;1671.9;33.4;314.9;2.8;2.8;47.8;7.4
516;Male;Pos. in hh.: child underage;2020;1661.9;34.0;295.5;3.0;4.5;50.9;6.8
517;Male;Pos. in hh.: child underage;2021;1650.0;35.6;307.5;3.1;3.0;56.8;6.1
518;Male;Pos. in hh.: child underage;2022;1645.1;37.8;329.3;3.3;0.4;68.9;4.8
519;Male;Pos. in hh.: child underage;2023;1647.7;40.4;337.1;3.7;1.6;72.2;4.2
520;Male;Pos. in hh.: child of age;2011;693.8;30.8;669.8;17.6;;68.6;3.2
521;Male;Pos. in hh.: child of age;2012;706.3;30.6;680.2;17.2;-0.2;66.6;3.9
522;Male;Pos. in hh.: child of age;2013;713.4;30.8;684.9;16.8;0.6;64.1;4.2
523;Male;Pos. in hh.: child of age;2014;718.5;32.4;689.2;16.8;3.6;63.9;4.0
524;Male;Pos. in hh.: child of age;2015;722.7;32.3;692.5;17.1;3.7;65.1;3.9
525;Male;Pos. in hh.: child of age;2016;731.8;34.0;696.6;17.6;5.9;67.7;3.6
526;Male;Pos. in hh.: child of age;2017;746.5;35.6;709.3;18.3;3.5;69.9;3.3
527;Male;Pos. in hh.: child of age;2018;760.2;36.0;720.6;19.2;3.7;72.0;3.2
528;Male;Pos. in hh.: child of age;2019;781.3;39.1;739.9;20.1;4.4;73.2;3.0
529;Male;Pos. in hh.: child of age;2020;799.9;40.0;753.1;20.7;5.0;72.0;2.9
530;Male;Pos. in hh.: child of age;2021;810.4;41.8;765.6;21.8;4.4;74.6;2.5
531;Male;Pos. in hh.: child of age;2022;816.3;44.5;773.8;23.4;1.3;77.7;2.2
532;Male;Pos. in hh.: child of age;2023;833.0;48.5;796.6;25.1;3.0;77.5;1.9
533;Male;Pos. in hh.: other member;2011;106.8;26.9;80.8;18.7;;52.1;6.6
534;Male;Pos. in hh.: other member;2012;104.0;26.5;77.2;18.4;-1.6;49.9;7.5
535;Male;Pos. in hh.: other member;2013;102.4;26.8;75.4;18.6;-1.0;49.0;7.7
536;Male;Pos. in hh.: other member;2014;102.0;28.0;75.2;18.7;2.0;49.5;7.4
537;Male;Pos. in hh.: other member;2015;105.2;28.5;77.0;19.3;1.6;51.3;6.8
538;Male;Pos. in hh.: other member;2016;105.9;30.3;77.5;20.2;3.7;54.6;6.3
539;Male;Pos. in hh.: other member;2017;112.9;32.0;83.2;21.4;1.5;57.4;5.6
540;Male;Pos. in hh.: other member;2018;114.1;32.8;84.6;22.5;1.6;59.7;5.4
541;Male;Pos. in hh.: other member;2019;114.9;35.3;85.7;23.2;2.5;60.9;4.8
542;Male;Pos. in hh.: other member;2020;115.9;36.1;86.3;23.6;3.3;58.0;4.4
543;Male;Pos. in hh.: other member;2021;118.5;37.9;88.9;24.5;2.5;60.3;3.9
544;Male;Pos. in hh.: other member;2022;117.0;40.3;90.1;25.5;-0.5;63.4;3.7
545;Male;Pos. in hh.: other member;2023;120.3;43.5;90.4;27.8;1.2;62.8;3.7
546;Male;SEC: employee;2011;3326.0;29.8;3326.0;45.9;;94.9;1.6
547;Male;SEC: employee;2012;3284.1;30.0;3284.1;46.8;-0.8;94.7;1.8
548;Male;SEC: employee;2013;3219.4;30.7;3219.4;47.9;0.4;94.6;1.8
549;Male;SEC: employee;2014;3190.0;31.9;3190.0;48.5;2.8;94.6;1.7
550;Male;SEC: employee;2015;3216.5;32.4;3216.5;49.4;2.4;94.6;1.6
551;Male;SEC: employee;2016;3247.9;33.7;3247.9;49.7;4.8;95.0;1.3
552;Male;SEC: employee;2017;3297.2;34.4;3297.2;50.2;1.3;95.2;1.3
553;Male;SEC: employee;2018;3367.5;34.8;3367.5;51.0;1.6;95.4;1.3
554;Male;SEC: employee;2019;3419.8;36.8;3419.8;52.2;2.5;95.5;1.2
555;Male;SEC: employee;2020;3422.3;38.3;3422.3;53.5;4.1;95.6;1.0
556;Male;SEC: employee;2021;3448.3;40.2;3448.3;55.3;2.7;96.1;0.9
557;Male;SEC: employee;2022;3506.9;42.5;3506.9;57.8;-0.7;96.6;0.8
