ID;Sex;PersonCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
265;Total male and female;SEC: claiming disability benefit;2013;-1.7;63.4;36.6;-9.4;-2.9;-0.6;5.1
266;Total male and female;SEC: claiming disability benefit;2014;1.0;41.2;58.8;-6.5;-0.1;2.1;8.4
267;Total male and female;SEC: claiming disability benefit;2015;0.5;45.1;54.9;-6.6;-0.5;1.5;8.1
268;Total male and female;SEC: claiming disability benefit;2016;1.4;33.9;66.1;-4.9;0.7;2.9;9.7
269;Total male and female;SEC: claiming disability benefit;2017;0.2;47.7;52.3;-6.5;-0.6;1.1;8.0
270;Total male and female;SEC: claiming disability benefit;2018;0.1;48.5;51.5;-6.3;-0.5;1.1;8.0
271;Total male and female;SEC: claiming disability benefit;2019;1.0;35.3;64.7;-5.2;0.4;2.1;9.0
272;Total male and female;SEC: claiming disability benefit;2020;1.8;31.8;68.2;-5.5;1.3;3.0;9.9
273;Total male and female;SEC: claiming disability benefit;2021;0.3;44.4;55.6;-6.9;-0.3;1.5;8.7
274;Total male and female;SEC: claiming disability benefit;2022;-1.6;56.7;43.3;-8.4;-2.7;1.0;7.0
275;Total male and female;SEC: claiming disability benefit;2023;1.6;38.5;61.5;-5.4;0.2;2.9;8.5
276;Total male and female;SEC: pensioner;2012;-1.2;68.9;31.1;-4.7;-1.7;-0.7;2.0
277;Total male and female;SEC: pensioner;2013;-2.8;77.5;22.5;-7.3;-3.8;-1.9;0.5
278;Total male and female;SEC: pensioner;2014;0.8;37.8;62.2;-3.0;0.2;1.4;3.9
279;Total male and female;SEC: pensioner;2015;0.1;47.5;52.5;-3.2;-0.4;0.7;2.9
280;Total male and female;SEC: pensioner;2016;0.8;37.5;62.5;-2.7;0.2;1.4;3.4
281;Total male and female;SEC: pensioner;2017;-0.2;53.4;46.6;-3.2;-0.7;0.3;2.4
282;Total male and female;SEC: pensioner;2018;-0.4;61.3;38.7;-2.7;-0.7;0.0;2.3
283;Total male and female;SEC: pensioner;2019;0.7;30.8;69.2;-1.4;0.4;1.0;3.5
284;Total male and female;SEC: pensioner;2020;1.2;27.7;72.3;-2.0;0.8;1.5;3.3
285;Total male and female;SEC: pensioner;2021;-0.3;58.6;41.4;-2.4;-0.6;0.1;3.4
286;Total male and female;SEC: pensioner;2022;-3.0;71.8;28.2;-5.3;-3.4;-2.4;2.7
287;Total male and female;SEC: pensioner;2023;-0.6;57.6;42.4;-4.2;-1.4;0.2;2.5
288;Total male and female;SEC: (school) child or student;2012;-0.9;54.3;45.7;-10.4;-2.9;1.2;8.2
289;Total male and female;SEC: (school) child or student;2013;0.0;49.8;50.2;-9.9;-2.0;2.1;9.6
290;Total male and female;SEC: (school) child or student;2014;2.7;37.5;62.5;-7.2;0.6;4.9;13.1
291;Total male and female;SEC: (school) child or student;2015;2.7;37.7;62.3;-7.6;0.6;5.0;13.4
292;Total male and female;SEC: (school) child or student;2016;4.9;30.1;69.9;-4.8;2.6;7.3;16.0
293;Total male and female;SEC: (school) child or student;2017;1.9;39.6;60.4;-6.7;0.1;4.3;13.6
294;Total male and female;SEC: (school) child or student;2018;2.1;39.4;60.6;-6.6;0.1;4.6;13.5
295;Total male and female;SEC: (school) child or student;2019;2.8;35.6;64.4;-5.8;0.9;5.3;14.1
296;Total male and female;SEC: (school) child or student;2020;4.4;31.7;68.3;-5.6;2.1;6.8;15.2
297;Total male and female;SEC: (school) child or student;2021;2.9;36.0;64.0;-6.0;0.9;5.4;14.6
298;Total male and female;SEC: (school) child or student;2022;0.4;48.4;51.6;-8.3;-1.9;2.9;11.5
299;Total male and female;SEC: (school) child or student;2023;1.6;42.6;57.4;-7.0;-0.6;3.8;11.0
300;Total male and female;SEC: other (without income);2012;-1.8;61.6;38.4;-9.6;-3.3;-0.3;6.3
301;Total male and female;SEC: other (without income);2013;-1.4;58.0;42.0;-9.9;-3.2;0.4;6.9
302;Total male and female;SEC: other (without income);2014;1.4;40.5;59.5;-6.7;-0.1;3.0;10.5
303;Total male and female;SEC: other (without income);2015;1.0;42.6;57.4;-7.0;-0.4;2.8;10.3
304;Total male and female;SEC: other (without income);2016;2.4;34.8;65.2;-5.3;0.9;4.4;12.0
305;Total male and female;SEC: other (without income);2017;0.2;48.0;52.0;-7.1;-1.0;1.8;10.1
306;Total male and female;SEC: other (without income);2018;0.2;48.0;52.0;-7.0;-0.8;2.1;10.5
307;Total male and female;SEC: other (without income);2019;1.6;37.1;62.9;-5.8;0.4;3.2;11.7
308;Total male and female;SEC: other (without income);2020;2.5;33.2;66.8;-6.2;1.2;4.4;12.3
309;Total male and female;SEC: other (without income);2021;1.0;43.5;56.5;-6.9;-0.5;3.0;12.3
310;Total male and female;SEC: other (without income);2022;-1.6;57.1;42.9;-9.6;-3.3;0.8;8.7
311;Total male and female;SEC: other (without income);2023;-0.6;52.9;47.1;-9.3;-2.5;1.4;8.5
312;Male;Total persons;2012;-1.1;57.3;42.7;-9.7;-2.6;0.5;7.4
313;Male;Total persons;2013;-1.0;55.2;44.8;-9.7;-2.8;1.0;8.2
314;Male;Total persons;2014;1.9;37.9;62.1;-6.7;0.4;3.9;11.9
315;Male;Total persons;2015;1.4;40.6;59.4;-7.0;-0.1;3.5;11.7
316;Male;Total persons;2016;3.2;32.3;67.7;-4.7;1.3;5.7;14.3
317;Male;Total persons;2017;0.8;43.9;56.1;-6.6;-0.5;2.8;12.0
318;Male;Total persons;2018;0.7;44.9;55.1;-6.4;-0.5;3.0;12.0
319;Male;Total persons;2019;1.7;35.8;64.2;-5.6;0.5;3.8;12.7
320;Male;Total persons;2020;2.6;32.4;67.6;-5.8;1.2;5.0;13.7
321;Male;Total persons;2021;1.5;41.3;58.7;-6.0;-0.1;3.9;13.4
322;Male;Total persons;2022;-1.1;54.5;45.5;-8.6;-2.9;1.5;9.9
323;Male;Total persons;2023;0.3;48.0;52.0;-7.3;-1.3;2.2;9.5
324;Male;Age: 0 to 14 years;2012;-0.9;54.8;45.2;-9.1;-2.6;1.0;7.3
325;Male;Age: 0 to 14 years;2013;-0.1;50.3;49.7;-8.7;-1.8;1.8;8.3
326;Male;Age: 0 to 14 years;2014;2.6;36.1;63.9;-5.9;0.9;4.6;11.8
327;Male;Age: 0 to 14 years;2015;2.5;36.9;63.1;-6.3;0.7;4.5;12.0
328;Male;Age: 0 to 14 years;2016;4.9;28.2;71.8;-3.6;2.8;7.0;14.7
329;Male;Age: 0 to 14 years;2017;1.7;39.5;60.5;-5.9;0.1;3.7;11.9
330;Male;Age: 0 to 14 years;2018;1.8;39.7;60.3;-5.9;0.1;3.9;12.1
331;Male;Age: 0 to 14 years;2019;2.4;35.7;64.3;-5.4;0.7;4.5;12.6
332;Male;Age: 0 to 14 years;2020;4.2;30.4;69.6;-4.7;2.2;6.4;14.1
333;Male;Age: 0 to 14 years;2021;2.6;35.8;64.2;-5.4;0.8;4.8;13.1
334;Male;Age: 0 to 14 years;2022;0.0;49.8;50.2;-7.8;-2.0;2.4;10.1
335;Male;Age: 0 to 14 years;2023;1.2;43.5;56.5;-6.5;-0.7;3.2;9.4
336;Male;Age: 15 to 24 years;2012;-0.2;50.9;49.1;-13.1;-3.1;2.6;11.7
337;Male;Age: 15 to 24 years;2013;0.8;47.2;52.8;-12.6;-2.1;3.8;13.4
338;Male;Age: 15 to 24 years;2014;3.6;38.1;61.9;-9.8;0.6;6.8;17.6
339;Male;Age: 15 to 24 years;2015;3.9;37.3;62.7;-10.2;0.9;7.2;18.1
340;Male;Age: 15 to 24 years;2016;6.1;31.6;68.4;-6.8;2.9;9.5;21.1
341;Male;Age: 15 to 24 years;2017;3.9;37.1;62.9;-7.9;0.9;7.3;19.4
342;Male;Age: 15 to 24 years;2018;4.1;36.4;63.6;-7.8;1.1;7.6;19.1
343;Male;Age: 15 to 24 years;2019;5.0;33.6;66.4;-6.6;2.0;8.4;19.8
344;Male;Age: 15 to 24 years;2020;5.7;32.8;67.2;-7.3;2.5;9.1;20.1
345;Male;Age: 15 to 24 years;2021;4.8;34.7;65.3;-7.2;1.7;8.3;20.1
346;Male;Age: 15 to 24 years;2022;2.1;43.2;56.8;-9.7;-1.0;5.6;16.9
347;Male;Age: 15 to 24 years;2023;3.5;38.2;61.8;-8.0;0.6;6.8;17.0
348;Male;Age: 25 to 44 years;2012;-0.9;54.4;45.6;-11.7;-2.9;1.2;8.8
349;Male;Age: 25 to 44 years;2013;0.0;50.2;49.8;-11.3;-2.2;2.1;10.1
350;Male;Age: 25 to 44 years;2014;2.7;37.5;62.5;-8.3;0.7;5.0;14.0
351;Male;Age: 25 to 44 years;2015;2.2;39.4;60.6;-8.8;0.1;4.6;14.1
352;Male;Age: 25 to 44 years;2016;4.9;31.2;68.8;-6.0;2.4;7.4;17.5
353;Male;Age: 25 to 44 years;2017;1.6;41.6;58.4;-8.5;-0.3;4.1;14.5
354;Male;Age: 25 to 44 years;2018;1.9;41.0;59.0;-8.2;-0.2;4.5;14.9
355;Male;Age: 25 to 44 years;2019;2.6;37.1;62.9;-7.7;0.5;5.1;15.2
356;Male;Age: 25 to 44 years;2020;4.1;33.2;66.8;-7.4;1.8;6.6;16.3
357;Male;Age: 25 to 44 years;2021;2.7;37.4;62.6;-7.7;0.5;5.3;16.0
358;Male;Age: 25 to 44 years;2022;0.0;50.0;50.0;-10.4;-2.3;2.7;12.6
359;Male;Age: 25 to 44 years;2023;0.8;46.1;53.9;-9.4;-1.3;2.9;11.1
360;Male;Age: 45 to 64 years;2012;-1.3;58.1;41.9;-9.6;-3.0;0.4;7.3
361;Male;Age: 45 to 64 years;2013;-0.7;53.9;46.1;-9.6;-2.5;1.2;8.5
362;Male;Age: 45 to 64 years;2014;2.1;38.2;61.8;-6.8;0.4;4.1;12.3
363;Male;Age: 45 to 64 years;2015;1.6;39.8;60.2;-7.2;0.0;3.7;11.8
364;Male;Age: 45 to 64 years;2016;3.5;32.0;68.0;-4.9;1.5;5.7;14.2
365;Male;Age: 45 to 64 years;2017;0.7;44.7;55.3;-6.8;-0.7;2.8;11.8
366;Male;Age: 45 to 64 years;2018;0.7;45.2;54.8;-6.8;-0.6;2.8;11.6
367;Male;Age: 45 to 64 years;2019;1.7;37.4;62.6;-5.8;0.3;3.8;12.5
368;Male;Age: 45 to 64 years;2020;2.9;33.4;66.6;-6.1;1.4;5.0;13.3
369;Male;Age: 45 to 64 years;2021;1.7;39.7;60.3;-6.2;0.0;3.9;13.2
370;Male;Age: 45 to 64 years;2022;-1.0;54.4;45.6;-9.0;-2.8;1.5;9.6
371;Male;Age: 45 to 64 years;2023;0.0;50.0;50.0;-7.7;-1.8;1.8;8.8
372;Male;Age: 65 years or older;2012;-1.2;68.7;31.3;-5.4;-1.8;-0.7;2.1
373;Male;Age: 65 years or older;2013;-3.1;77.2;22.8;-7.8;-4.0;-2.1;0.6
374;Male;Age: 65 years or older;2014;0.7;40.0;60.0;-3.7;0.0;1.3;4.2
375;Male;Age: 65 years or older;2015;0.0;50.2;49.8;-4.0;-0.6;0.6;3.3
376;Male;Age: 65 years or older;2016;0.8;39.1;60.9;-3.3;0.1;1.4;4.2
377;Male;Age: 65 years or older;2017;-0.3;54.7;45.3;-4.0;-0.8;0.3;3.3
378;Male;Age: 65 years or older;2018;-0.4;60.4;39.6;-3.7;-0.8;0.0;3.5
379;Male;Age: 65 years or older;2019;0.7;33.4;66.6;-2.4;0.3;1.1;4.7
380;Male;Age: 65 years or older;2020;1.1;31.4;68.6;-3.8;0.7;1.5;4.8
381;Male;Age: 65 years or older;2021;-0.3;57.5;42.5;-3.7;-0.7;0.2;5.2
382;Male;Age: 65 years or older;2022;-3.1;71.0;29.0;-6.6;-3.6;-2.4;3.0
383;Male;Age: 65 years or older;2023;-0.6;56.9;43.1;-5.3;-1.5;0.3;3.4
384;Male;Background: Netherlands;2012;-1.0;57.1;42.9;-9.1;-2.5;0.5;7.0
385;Male;Background: Netherlands;2013;-0.9;55.1;44.9;-9.2;-2.7;1.0;7.9
386;Male;Background: Netherlands;2014;1.9;37.8;62.2;-6.3;0.4;3.8;11.4
387;Male;Background: Netherlands;2015;1.3;40.7;59.3;-6.7;-0.1;3.4;11.1
388;Male;Background: Netherlands;2016;3.2;32.2;67.8;-4.4;1.3;5.5;13.8
389;Male;Background: Netherlands;2017;0.7;44.6;55.4;-6.4;-0.6;2.6;11.2
390;Male;Background: Netherlands;2018;0.6;45.4;54.6;-6.2;-0.5;2.8;11.2
391;Male;Background: Netherlands;2019;1.6;35.8;64.2;-5.3;0.5;3.6;11.9
392;Male;Background: Netherlands;2020;2.6;32.2;67.8;-5.5;1.2;4.9;12.9
393;Male;Background: Netherlands;2021;;;;;;;
394;Male;Background: Netherlands;2022;;;;;;;
395;Male;Background: Netherlands;2023;;;;;;;
396;Male;Background: western;2012;-1.2;57.5;42.5;-10.8;-2.7;0.5;8.4
397;Male;Background: western;2013;-1.3;56.4;43.6;-11.0;-3.2;0.8;9.1
398;Male;Background: western;2014;1.9;38.1;61.9;-7.5;0.3;4.0;13.4
399;Male;Background: western;2015;1.3;41.3;58.7;-8.0;-0.2;3.5;13.1
400;Male;Background: western;2016;2.9;33.7;66.3;-5.9;1.1;5.5;15.5
401;Male;Background: western;2017;0.7;44.2;55.8;-7.5;-0.6;2.9;13.5
402;Male;Background: western;2018;0.7;45.0;55.0;-7.1;-0.5;3.2;13.6
403;Male;Background: western;2019;1.7;36.6;63.4;-6.6;0.4;4.0;14.2
404;Male;Background: western;2020;2.4;34.0;66.0;-7.3;1.0;5.0;14.8
405;Male;Background: western;2021;;;;;;;
406;Male;Background: western;2022;;;;;;;
407;Male;Background: western;2023;;;;;;;
408;Male;Background: non-western;2012;-1.7;58.2;41.8;-13.4;-4.0;0.5;9.8
409;Male;Background: non-western;2013;-1.1;54.9;45.1;-12.9;-3.1;1.3;10.9
410;Male;Background: non-western;2014;2.2;38.8;61.2;-9.1;0.3;4.6;15.2
411;Male;Background: non-western;2015;2.0;39.7;60.3;-8.9;0.1;4.6;15.6
412;Male;Background: non-western;2016;3.8;32.5;67.5;-6.6;1.5;6.7;18.1
413;Male;Background: non-western;2017;1.7;38.9;61.1;-7.6;0.1;4.6;16.6
414;Male;Background: non-western;2018;1.6;41.8;58.2;-7.4;-0.2;4.8;17.0
415;Male;Background: non-western;2019;2.4;35.8;64.2;-7.0;0.6;5.5;17.3
416;Male;Background: non-western;2020;3.5;32.5;67.5;-7.0;1.5;6.6;18.4
417;Male;Background: non-western;2021;;;;;;;
418;Male;Background: non-western;2022;;;;;;;
419;Male;Background: non-western;2023;;;;;;;
420;Male;Pos. in hh.: main earner;2012;-1.1;59.0;41.0;-8.3;-2.3;0.2;6.3
421;Male;Pos. in hh.: main earner;2013;-1.3;57.8;42.2;-8.6;-2.9;0.4;6.8
422;Male;Pos. in hh.: main earner;2014;1.6;37.3;62.7;-5.4;0.4;3.3;10.3
423;Male;Pos. in hh.: main earner;2015;1.0;41.4;58.6;-5.7;-0.2;2.6;9.8
424;Male;Pos. in hh.: main earner;2016;2.4;32.4;67.6;-3.8;1.0;4.6;12.2
425;Male;Pos. in hh.: main earner;2017;0.4;45.9;54.1;-5.6;-0.6;1.9;9.8
426;Male;Pos. in hh.: main earner;2018;0.2;47.6;52.4;-5.3;-0.6;2.0;9.9
427;Male;Pos. in hh.: main earner;2019;1.3;35.0;65.0;-4.4;0.4;2.9;10.7
428;Male;Pos. in hh.: main earner;2020;2.1;31.0;69.0;-4.5;1.1;4.0;11.6
429;Male;Pos. in hh.: main earner;2021;0.8;43.6;56.4;-4.9;-0.3;2.8;11.2
430;Male;Pos. in hh.: main earner;2022;-1.7;57.6;42.4;-7.5;-3.1;0.6;8.0
431;Male;Pos. in hh.: main earner;2023;-0.1;50.4;49.6;-6.5;-1.5;1.4;7.6
432;Male;Pos. in hh.: main earner without partner;2012;-1.1;60.5;39.5;-8.4;-2.1;-0.1;6.5
433;Male;Pos. in hh.: main earner without partner;2013;-1.2;57.9;42.1;-8.6;-2.4;0.4;7.1
434;Male;Pos. in hh.: main earner without partner;2014;1.7;35.6;64.4;-5.4;0.6;2.9;10.4
435;Male;Pos. in hh.: main earner without partner;2015;0.9;38.9;61.1;-5.4;0.1;2.1;9.7
436;Male;Pos. in hh.: main earner without partner;2016;1.9;31.0;69.0;-3.7;1.1;3.9;11.6
437;Male;Pos. in hh.: main earner without partner;2017;0.4;44.5;55.5;-5.2;-0.4;1.3;9.2
438;Male;Pos. in hh.: main earner without partner;2018;0.1;48.5;51.5;-4.7;-0.4;1.2;9.2
439;Male;Pos. in hh.: main earner without partner;2019;1.1;33.0;67.0;-3.7;0.5;2.2;9.7
440;Male;Pos. in hh.: main earner without partner;2020;1.9;28.5;71.5;-3.7;1.3;3.1;10.2
441;Male;Pos. in hh.: main earner without partner;2021;0.5;43.3;56.7;-3.8;-0.2;2.1;10.2
442;Male;Pos. in hh.: main earner without partner;2022;-1.0;54.2;45.8;-6.1;-2.5;1.8;8.2
443;Male;Pos. in hh.: main earner without partner;2023;0.0;49.8;50.2;-6.0;-1.3;1.2;7.0
444;Male;Pos. in hh.: main earner with partner;2012;-1.2;59.1;40.9;-7.9;-2.4;0.1;5.6
445;Male;Pos. in hh.: main earner with partner;2013;-1.4;58.5;41.5;-8.2;-3.0;0.3;6.1
446;Male;Pos. in hh.: main earner with partner;2014;1.6;37.6;62.4;-5.0;0.3;3.3;9.5
447;Male;Pos. in hh.: main earner with partner;2015;0.9;42.3;57.7;-5.4;-0.3;2.7;9.0
448;Male;Pos. in hh.: main earner with partner;2016;2.5;32.6;67.4;-3.5;1.0;4.6;11.5
449;Male;Pos. in hh.: main earner with partner;2017;0.4;46.6;53.4;-5.3;-0.7;1.9;9.0
450;Male;Pos. in hh.: main earner with partner;2018;0.3;47.6;52.4;-5.2;-0.6;2.1;9.2
451;Male;Pos. in hh.: main earner with partner;2019;1.3;35.4;64.6;-4.2;0.4;3.0;10.1
452;Male;Pos. in hh.: main earner with partner;2020;2.1;31.5;68.5;-4.2;1.0;4.2;11.2
453;Male;Pos. in hh.: main earner with partner;2021;0.9;44.1;55.9;-4.9;-0.4;2.9;10.4
454;Male;Pos. in hh.: main earner with partner;2022;-2.1;59.8;40.2;-7.7;-3.3;0.1;7.1
455;Male;Pos. in hh.: main earner with partner;2023;-0.1;51.1;48.9;-6.4;-1.5;1.3;7.0
456;Male;Pos. in hh.: partner of main earner;2012;-1.1;56.6;43.4;-9.4;-2.7;0.6;7.2
457;Male;Pos. in hh.: partner of main earner;2013;-0.7;53.7;46.3;-9.4;-2.7;1.3;8.1
458;Male;Pos. in hh.: partner of main earner;2014;2.2;37.1;62.9;-6.2;0.6;4.3;11.8
459;Male;Pos. in hh.: partner of main earner;2015;1.6;40.1;59.9;-6.5;0.0;3.7;11.4
460;Male;Pos. in hh.: partner of main earner;2016;3.5;31.6;68.4;-4.2;1.5;5.8;13.8
461;Male;Pos. in hh.: partner of main earner;2017;0.7;44.8;55.2;-6.3;-0.6;2.6;10.6
462;Male;Pos. in hh.: partner of main earner;2018;0.7;45.3;54.7;-6.0;-0.6;2.7;10.6
463;Male;Pos. in hh.: partner of main earner;2019;1.6;36.8;63.2;-5.2;0.4;3.6;11.2
464;Male;Pos. in hh.: partner of main earner;2020;2.9;32.0;68.0;-5.0;1.3;5.2;12.8
465;Male;Pos. in hh.: partner of main earner;2021;1.5;41.0;59.0;-5.6;-0.1;3.7;12.0
466;Male;Pos. in hh.: partner of main earner;2022;-1.4;56.3;43.7;-8.4;-3.1;0.9;8.4
467;Male;Pos. in hh.: partner of main earner;2023;0.0;49.8;50.2;-6.8;-1.5;1.7;7.8
468;Male;Pos. in hh.: child underage;2012;-0.7;53.7;46.3;-8.8;-2.5;1.2;7.7
469;Male;Pos. in hh.: child underage;2013;0.1;49.2;50.8;-8.4;-1.7;2.1;8.7
470;Male;Pos. in hh.: child underage;2014;2.8;35.3;64.7;-5.5;1.0;4.9;12.3
471;Male;Pos. in hh.: child underage;2015;2.7;36.0;64.0;-5.9;0.9;4.9;12.5
472;Male;Pos. in hh.: child underage;2016;5.0;27.7;72.3;-3.3;3.0;7.2;15.1
473;Male;Pos. in hh.: child underage;2017;1.9;38.4;61.6;-5.6;0.3;4.1;12.5
474;Male;Pos. in hh.: child underage;2018;2.1;38.4;61.6;-5.6;0.3;4.4;12.7
475;Male;Pos. in hh.: child underage;2019;2.8;34.3;65.7;-4.9;1.0;5.1;13.3
476;Male;Pos. in hh.: child underage;2020;4.5;29.7;70.3;-4.4;2.4;6.8;14.7
477;Male;Pos. in hh.: child underage;2021;3.0;34.7;65.3;-5.0;1.1;5.2;13.8
478;Male;Pos. in hh.: child underage;2022;0.4;48.1;51.9;-7.4;-1.7;2.8;10.8
479;Male;Pos. in hh.: child underage;2023;1.6;42.0;58.0;-6.2;-0.4;3.6;10.2
480;Male;Pos. in hh.: child of age;2012;-0.2;50.8;49.2;-9.7;-2.4;2.3;10.1
481;Male;Pos. in hh.: child of age;2013;0.6;47.6;52.4;-9.1;-1.8;3.3;11.7
482;Male;Pos. in hh.: child of age;2014;3.6;35.5;64.5;-6.1;1.1;6.5;15.9
483;Male;Pos. in hh.: child of age;2015;3.7;35.7;64.3;-6.1;1.1;6.8;16.3
484;Male;Pos. in hh.: child of age;2016;5.9;29.3;70.7;-3.9;3.1;9.1;19.1
485;Male;Pos. in hh.: child of age;2017;3.5;36.5;63.5;-5.6;0.8;6.8;17.1
486;Male;Pos. in hh.: child of age;2018;3.7;36.1;63.9;-5.7;0.9;6.9;16.9
487;Male;Pos. in hh.: child of age;2019;4.4;32.4;67.6;-4.9;1.8;7.6;17.6
488;Male;Pos. in hh.: child of age;2020;5.0;31.3;68.7;-5.3;2.3;8.2;18.2
489;Male;Pos. in hh.: child of age;2021;4.4;33.4;66.6;-5.2;1.7;7.7;18.3
490;Male;Pos. in hh.: child of age;2022;1.3;45.6;54.4;-8.2;-1.5;4.5;14.7
491;Male;Pos. in hh.: child of age;2023;3.0;37.9;62.1;-6.2;0.5;5.8;14.8
492;Male;Pos. in hh.: other member;2012;-1.6;57.2;42.8;-12.3;-3.9;0.7;9.3
493;Male;Pos. in hh.: other member;2013;-1.0;54.7;45.3;-11.6;-3.4;1.3;10.5
494;Male;Pos. in hh.: other member;2014;2.0;40.7;59.3;-8.4;-0.2;4.4;14.6
495;Male;Pos. in hh.: other member;2015;1.6;42.3;57.7;-8.7;-0.5;4.3;14.9
496;Male;Pos. in hh.: other member;2016;3.7;34.7;65.3;-6.5;1.3;6.5;17.0
497;Male;Pos. in hh.: other member;2017;1.5;42.7;57.3;-7.6;-0.5;4.5;15.8
498;Male;Pos. in hh.: other member;2018;1.6;42.3;57.7;-7.6;-0.4;4.6;15.4
499;Male;Pos. in hh.: other member;2019;2.5;37.3;62.7;-6.8;0.5;5.3;15.8
500;Male;Pos. in hh.: other member;2020;3.3;35.2;64.8;-7.1;1.2;6.1;16.6
501;Male;Pos. in hh.: other member;2021;2.5;38.5;61.5;-7.2;0.3;5.4;16.3
502;Male;Pos. in hh.: other member;2022;-0.5;51.8;48.2;-9.9;-2.9;2.4;13.2
503;Male;Pos. in hh.: other member;2023;1.2;44.2;55.8;-8.0;-0.9;3.6;12.2
504;Male;SEC: employee;2012;-0.8;54.5;45.5;-8.2;-2.5;1.0;7.0
505;Male;SEC: employee;2013;0.4;47.6;52.4;-7.2;-1.3;2.2;8.6
506;Male;SEC: employee;2014;2.8;34.9;65.1;-5.2;1.0;4.6;11.1
507;Male;SEC: employee;2015;2.4;36.1;63.9;-5.1;0.7;4.4;11.4
508;Male;SEC: employee;2016;4.8;27.8;72.2;-3.1;2.9;6.8;14.1
509;Male;SEC: employee;2017;1.3;42.1;57.9;-5.8;-0.3;3.4;11.0
510;Male;SEC: employee;2018;1.6;40.3;59.7;-5.5;0.0;3.8;11.5
511;Male;SEC: employee;2019;2.5;34.9;65.1;-4.7;0.9;4.6;12.2
512;Male;SEC: employee;2020;4.1;30.1;69.9;-4.1;2.3;6.1;13.5
513;Male;SEC: employee;2021;2.7;34.6;65.4;-4.8;1.0;4.8;12.9
514;Male;SEC: employee;2022;-0.7;53.3;46.7;-7.8;-2.5;1.5;9.3
515;Male;SEC: employee;2023;0.6;46.6;53.4;-6.5;-1.2;2.7;9.7
516;Male;SEC: self-employed (total);2012;-2.3;55.6;44.4;-21.1;-6.9;2.1;18.0
517;Male;SEC: self-employed (total);2013;-3.0;56.8;43.2;-20.9;-7.4;1.6;18.0
518;Male;SEC: self-employed (total);2014;3.7;41.7;58.3;-13.9;-0.7;9.2;30.3
519;Male;SEC: self-employed (total);2015;1.4;46.5;53.5;-18.5;-3.1;6.2;22.5
520;Male;SEC: self-employed (total);2016;4.8;38.7;61.3;-11.8;0.5;9.9;27.8
521;Male;SEC: self-employed (total);2017;2.5;44.1;55.9;-13.8;-1.6;7.6;25.1
522;Male;SEC: self-employed (total);2018;2.0;45.3;54.7;-14.8;-2.1;6.8;23.0
523;Male;SEC: self-employed (total);2019;2.2;44.7;55.3;-14.3;-1.8;6.9;24.1
524;Male;SEC: self-employed (total);2020;2.7;43.8;56.2;-17.1;-2.0;7.7;24.2
525;Male;SEC: self-employed (total);2021;2.2;44.7;55.3;-14.3;-1.9;7.0;24.0
526;Male;SEC: self-employed (total);2022;-1.4;53.3;46.7;-17.6;-5.3;3.3;19.6
527;Male;SEC: self-employed (total);2023;-1.8;56.6;43.4;-15.5;-5.0;1.0;10.9
528;Male;SEC: benefit recipient and pensioner;2012;-1.2;66.2;33.8;-6.2;-1.9;-0.6;3.2
529;Male;SEC: benefit recipient and pensioner;2013;-2.7;73.1;26.9;-8.3;-3.8;-1.7;1.8
530;Male;SEC: benefit recipient and pensioner;2014;0.8;39.6;60.4;-4.4;0.0;1.6;5.6
531;Male;SEC: benefit recipient and pensioner;2015;0.1;48.0;52.0;-4.6;-0.6;0.8;4.4
532;Male;SEC: benefit recipient and pensioner;2016;0.9;37.7;62.3;-3.6;0.2;1.5;5.3
533;Male;SEC: benefit recipient and pensioner;2017;-0.1;51.9;48.1;-4.2;-0.7;0.4;4.1
534;Male;SEC: benefit recipient and pensioner;2018;-0.3;58.9;41.1;-3.9;-0.8;0.1;3.9
535;Male;SEC: benefit recipient and pensioner;2019;0.7;33.1;66.9;-2.4;0.3;1.2;4.9
536;Male;SEC: benefit recipient and pensioner;2020;1.2;29.8;70.2;-3.2;0.8;1.6;5.0
537;Male;SEC: benefit recipient and pensioner;2021;-0.3;56.3;43.7;-3.5;-0.6;0.2;5.0
538;Male;SEC: benefit recipient and pensioner;2022;-2.8;65.5;34.5;-5.9;-3.4;-1.5;4.8
539;Male;SEC: benefit recipient and pensioner;2023;-0.2;52.2;47.8;-4.6;-1.1;0.7;4.0
540;Male;SEC: benefit claimant;2012;-1.4;63.7;36.3;-9.2;-2.4;-0.6;5.6
541;Male;SEC: benefit claimant;2013;-1.7;64.0;36.0;-10.4;-2.7;-0.7;5.8
542;Male;SEC: benefit claimant;2014;1.4;38.7;61.3;-7.1;0.2;2.3;9.7
543;Male;SEC: benefit claimant;2015;0.6;42.8;57.2;-7.3;-0.3;1.4;8.4
544;Male;SEC: benefit claimant;2016;1.3;33.5;66.5;-5.4;0.9;2.4;9.7
545;Male;SEC: benefit claimant;2017;0.3;42.7;57.3;-5.7;-0.2;1.0;8.0
546;Male;SEC: benefit claimant;2018;-0.1;52.0;48.0;-5.6;-0.5;0.6;7.4
547;Male;SEC: benefit claimant;2019;0.7;34.3;65.7;-4.1;0.3;1.5;8.2
