ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
1871;Total;Private households;Upper bound 95% confidence interval;Alkmaar;2024;89.9;90.5
1872;Total;Private households;Upper bound 95% confidence interval;Almere;2002;94.0;83.9
1873;Total;Private households;Upper bound 95% confidence interval;Almere;2006;90.2;82.7
1874;Total;Private households;Upper bound 95% confidence interval;Almere;2009;92.5;84.4
1875;Total;Private households;Upper bound 95% confidence interval;Almere;2012;93.4;85.0
1876;Total;Private households;Upper bound 95% confidence interval;Almere;2015;90.3;76.5
1877;Total;Private households;Upper bound 95% confidence interval;Almere;2018;88.4;82.8
1878;Total;Private households;Upper bound 95% confidence interval;Almere;2021;88.6;83.4
1879;Total;Private households;Upper bound 95% confidence interval;Almere;2024;85.9;78.1
1880;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2002;93.0;85.7
1881;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2006;97.8;91.4
1882;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2009;94.6;87.2
1883;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2012;95.0;90.8
1884;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2015;91.3;84.2
1885;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2018;92.2;88.2
1886;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2021;94.6;92.2
1887;Total;Private households;Upper bound 95% confidence interval;Alphen aan den Rijn;2024;91.2;90.3
1888;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2002;89.9;87.2
1889;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2006;89.0;86.5
1890;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2009;93.7;87.9
1891;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2012;92.9;91.8
1892;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2015;91.5;85.5
1893;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2018;93.1;90.7
1894;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2021;88.9;87.2
1895;Total;Private households;Upper bound 95% confidence interval;Amersfoort;2024;86.0;83.2
1896;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2002;76.9;76.6
1897;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2006;79.4;79.8
1898;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2009;82.8;80.8
1899;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2012;83.1;80.1
1900;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2015;79.9;79.4
1901;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2018;78.2;81.7
1902;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2021;78.9;80.8
1903;Total;Private households;Upper bound 95% confidence interval;Amsterdam;2024;75.9;81.3
1904;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2002;92.5;89.0
1905;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2006;92.1;89.2
1906;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2009;93.2;88.3
1907;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2012;92.5;88.9
1908;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2015;94.2;86.3
1909;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2018;86.8;87.6
1910;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2021;92.7;90.1
1911;Total;Private households;Upper bound 95% confidence interval;Apeldoorn;2024;87.5;88.7
1912;Total;Private households;Upper bound 95% confidence interval;Arnhem;2002;83.0;76.6
1913;Total;Private households;Upper bound 95% confidence interval;Arnhem;2006;87.1;79.5
1914;Total;Private households;Upper bound 95% confidence interval;Arnhem;2009;85.9;77.7
1915;Total;Private households;Upper bound 95% confidence interval;Arnhem;2012;85.8;80.9
1916;Total;Private households;Upper bound 95% confidence interval;Arnhem;2015;84.5;78.1
1917;Total;Private households;Upper bound 95% confidence interval;Arnhem;2018;83.6;84.6
1918;Total;Private households;Upper bound 95% confidence interval;Arnhem;2021;82.8;83.4
1919;Total;Private households;Upper bound 95% confidence interval;Arnhem;2024;77.7;79.9
1920;Total;Private households;Upper bound 95% confidence interval;Breda;2002;90.6;86.2
1921;Total;Private households;Upper bound 95% confidence interval;Breda;2006;92.2;86.7
1922;Total;Private households;Upper bound 95% confidence interval;Breda;2009;90.7;82.8
1923;Total;Private households;Upper bound 95% confidence interval;Breda;2012;91.3;86.5
1924;Total;Private households;Upper bound 95% confidence interval;Breda;2015;91.5;85.2
1925;Total;Private households;Upper bound 95% confidence interval;Breda;2018;88.1;86.6
1926;Total;Private households;Upper bound 95% confidence interval;Breda;2021;87.8;82.6
1927;Total;Private households;Upper bound 95% confidence interval;Breda;2024;80.7;86.3
1928;Total;Private households;Upper bound 95% confidence interval;Delft;2002;90.2;83.9
1929;Total;Private households;Upper bound 95% confidence interval;Delft;2006;88.5;83.7
1930;Total;Private households;Upper bound 95% confidence interval;Delft;2009;90.8;82.5
1931;Total;Private households;Upper bound 95% confidence interval;Delft;2012;87.6;81.6
1932;Total;Private households;Upper bound 95% confidence interval;Delft;2015;84.2;78.3
1933;Total;Private households;Upper bound 95% confidence interval;Delft;2018;81.1;80.4
1934;Total;Private households;Upper bound 95% confidence interval;Delft;2021;80.3;86.9
1935;Total;Private households;Upper bound 95% confidence interval;Delft;2024;85.8;82.1
1936;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2002;91.5;84.8
1937;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2006;91.2;86.2
1938;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2009;89.4;81.4
1939;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2012;93.2;91.5
1940;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2015;88.6;79.9
1941;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2018;88.6;85.6
1942;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2021;86.1;85.0
1943;Total;Private households;Upper bound 95% confidence interval;Dordrecht;2024;87.6;86.7
1944;Total;Private households;Upper bound 95% confidence interval;Ede;2002;92.9;88.9
1945;Total;Private households;Upper bound 95% confidence interval;Ede;2006;97.2;93.4
1946;Total;Private households;Upper bound 95% confidence interval;Ede;2009;98.4;92.3
1947;Total;Private households;Upper bound 95% confidence interval;Ede;2012;94.6;90.0
1948;Total;Private households;Upper bound 95% confidence interval;Ede;2015;91.1;87.0
1949;Total;Private households;Upper bound 95% confidence interval;Ede;2018;93.5;92.5
1950;Total;Private households;Upper bound 95% confidence interval;Ede;2021;92.4;90.6
1951;Total;Private households;Upper bound 95% confidence interval;Ede;2024;82.9;85.6
1952;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2002;88.9;83.6
1953;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2006;90.6;84.5
1954;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2009;88.9;80.5
1955;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2012;90.2;82.7
1956;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2015;87.1;83.6
1957;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2018;85.5;83.6
1958;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2021;85.2;83.8
1959;Total;Private households;Upper bound 95% confidence interval;Eindhoven;2024;79.8;79.1
1960;Total;Private households;Upper bound 95% confidence interval;Emmen;2002;91.3;90.2
1961;Total;Private households;Upper bound 95% confidence interval;Emmen;2006;92.7;89.3
1962;Total;Private households;Upper bound 95% confidence interval;Emmen;2009;92.3;90.1
1963;Total;Private households;Upper bound 95% confidence interval;Emmen;2012;93.9;91.0
1964;Total;Private households;Upper bound 95% confidence interval;Emmen;2015;94.6;86.2
1965;Total;Private households;Upper bound 95% confidence interval;Emmen;2018;88.3;86.6
1966;Total;Private households;Upper bound 95% confidence interval;Emmen;2021;91.0;83.2
1967;Total;Private households;Upper bound 95% confidence interval;Emmen;2024;91.9;89.3
1968;Total;Private households;Upper bound 95% confidence interval;Enschede;2002;90.3;83.7
1969;Total;Private households;Upper bound 95% confidence interval;Enschede;2006;91.3;86.3
1970;Total;Private households;Upper bound 95% confidence interval;Enschede;2009;87.5;84.0
1971;Total;Private households;Upper bound 95% confidence interval;Enschede;2012;89.9;80.3
1972;Total;Private households;Upper bound 95% confidence interval;Enschede;2015;85.1;81.4
1973;Total;Private households;Upper bound 95% confidence interval;Enschede;2018;82.6;79.5
1974;Total;Private households;Upper bound 95% confidence interval;Enschede;2021;88.9;81.0
1975;Total;Private households;Upper bound 95% confidence interval;Enschede;2024;82.8;82.2
1976;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2002;85.9;74.0
1977;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2006;84.8;77.3
1978;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2009;84.3;74.7
1979;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2012;83.5;76.8
1980;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2015;81.2;76.7
1981;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2018;76.5;78.3
1982;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2021;78.1;77.0
1983;Total;Private households;Upper bound 95% confidence interval;'s-Gravenhage (municipality);2024;73.9;74.5
1984;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2002;87.7;84.6
1985;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2006;90.9;88.0
1986;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2009;87.4;81.8
1987;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2012;88.7;86.9
1988;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2015;88.6;80.9
1989;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2018;86.8;86.0
1990;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2021;85.3;83.0
1991;Total;Private households;Upper bound 95% confidence interval;Groningen (municipality);2024;82.2;84.1
1992;Total;Private households;Upper bound 95% confidence interval;Haarlem;2002;91.6;86.5
1993;Total;Private households;Upper bound 95% confidence interval;Haarlem;2006;91.8;86.2
1994;Total;Private households;Upper bound 95% confidence interval;Haarlem;2009;90.1;81.5
1995;Total;Private households;Upper bound 95% confidence interval;Haarlem;2012;90.3;86.1
1996;Total;Private households;Upper bound 95% confidence interval;Haarlem;2015;90.1;82.4
1997;Total;Private households;Upper bound 95% confidence interval;Haarlem;2018;87.4;87.8
1998;Total;Private households;Upper bound 95% confidence interval;Haarlem;2021;85.8;85.0
1999;Total;Private households;Upper bound 95% confidence interval;Haarlem;2024;89.2;85.9
2000;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2002;93.9;84.6
2001;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2006;92.6;89.4
2002;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2009;93.8;84.3
2003;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2012;93.9;87.6
2004;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2015;90.5;87.2
2005;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2018;90.7;92.5
2006;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2021;91.0;89.5
2007;Total;Private households;Upper bound 95% confidence interval;Haarlemmermeer;2024;85.8;84.0
2008;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2002;90.4;84.1
2009;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2006;92.6;86.5
2010;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2009;93.1;86.4
2011;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2012;90.1;85.1
2012;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2015;87.0;86.6
2013;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2018;89.4;90.7
2014;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2021;89.2;85.7
2015;Total;Private households;Upper bound 95% confidence interval;'s-Hertogenbosch;2024;80.2;82.6
2016;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2002;91.0;87.8
2017;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2006;89.7;83.8
2018;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2009;93.3;83.8
2019;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2012;93.0;88.2
2020;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2015;87.0;82.2
2021;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2018;89.1;84.2
2022;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2021;88.8;90.3
2023;Total;Private households;Upper bound 95% confidence interval;Leeuwarden;2024;79.9;79.7
2024;Total;Private households;Upper bound 95% confidence interval;Leiden;2002;90.7;84.8
2025;Total;Private households;Upper bound 95% confidence interval;Leiden;2006;89.2;80.7
2026;Total;Private households;Upper bound 95% confidence interval;Leiden;2009;89.3;81.1
2027;Total;Private households;Upper bound 95% confidence interval;Leiden;2012;92.0;82.5
2028;Total;Private households;Upper bound 95% confidence interval;Leiden;2015;88.2;84.9
2029;Total;Private households;Upper bound 95% confidence interval;Leiden;2018;84.6;82.1
2030;Total;Private households;Upper bound 95% confidence interval;Leiden;2021;86.6;87.8
2031;Total;Private households;Upper bound 95% confidence interval;Leiden;2024;86.8;85.8
2032;Total;Private households;Upper bound 95% confidence interval;Maastricht;2002;91.8;83.5
2033;Total;Private households;Upper bound 95% confidence interval;Maastricht;2006;88.6;86.5
2034;Total;Private households;Upper bound 95% confidence interval;Maastricht;2009;90.0;79.5
2035;Total;Private households;Upper bound 95% confidence interval;Maastricht;2012;89.4;80.6
2036;Total;Private households;Upper bound 95% confidence interval;Maastricht;2015;87.3;79.6
2037;Total;Private households;Upper bound 95% confidence interval;Maastricht;2018;83.3;82.4
2038;Total;Private households;Upper bound 95% confidence interval;Maastricht;2021;83.0;84.2
2039;Total;Private households;Upper bound 95% confidence interval;Maastricht;2024;88.1;87.4
2040;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2002;85.5;80.8
2041;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2006;89.0;82.8
2042;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2009;88.3;82.3
2043;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2012;87.7;84.0
2044;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2015;85.8;80.4
2045;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2018;83.1;82.9
2046;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2021;87.9;85.7
2047;Total;Private households;Upper bound 95% confidence interval;Nijmegen;2024;86.8;84.8
2048;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2002;81.6;71.7
2049;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2006;82.8;74.0
2050;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2009;83.9;75.6
2051;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2012;82.2;75.3
2052;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2015;78.6;72.2
2053;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2018;77.3;74.1
2054;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2021;77.3;76.2
2055;Total;Private households;Upper bound 95% confidence interval;Rotterdam;2024;74.3;76.2
2056;Total;Private households;Upper bound 95% confidence interval;Tilburg;2002;90.7;82.5
2057;Total;Private households;Upper bound 95% confidence interval;Tilburg;2006;91.8;82.2
2058;Total;Private households;Upper bound 95% confidence interval;Tilburg;2009;90.9;82.5
2059;Total;Private households;Upper bound 95% confidence interval;Tilburg;2012;92.6;85.7
2060;Total;Private households;Upper bound 95% confidence interval;Tilburg;2015;87.0;82.3
2061;Total;Private households;Upper bound 95% confidence interval;Tilburg;2018;86.2;80.5
2062;Total;Private households;Upper bound 95% confidence interval;Tilburg;2021;86.1;79.3
2063;Total;Private households;Upper bound 95% confidence interval;Tilburg;2024;84.5;83.0
2064;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2002;89.0;79.4
2065;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2006;87.4;80.2
2066;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2009;89.7;79.3
2067;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2012;87.3;80.2
2068;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2015;85.0;77.1
2069;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2018;85.9;79.1
2070;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2021;83.9;83.2
2071;Total;Private households;Upper bound 95% confidence interval;Utrecht (municipality);2024;80.9;80.4
2072;Total;Private households;Upper bound 95% confidence interval;Venlo;2002;90.7;83.9
2073;Total;Private households;Upper bound 95% confidence interval;Venlo;2006;96.1;86.0
2074;Total;Private households;Upper bound 95% confidence interval;Venlo;2009;92.7;85.8
2075;Total;Private households;Upper bound 95% confidence interval;Venlo;2012;89.8;83.7
2076;Total;Private households;Upper bound 95% confidence interval;Venlo;2015;94.0;85.3
2077;Total;Private households;Upper bound 95% confidence interval;Venlo;2018;87.9;86.9
2078;Total;Private households;Upper bound 95% confidence interval;Venlo;2021;91.9;84.3
2079;Total;Private households;Upper bound 95% confidence interval;Venlo;2024;89.3;84.6
2080;Total;Private households;Upper bound 95% confidence interval;Westland;2002;;
2081;Total;Private households;Upper bound 95% confidence interval;Westland;2006;95.8;89.7
2082;Total;Private households;Upper bound 95% confidence interval;Westland;2009;94.7;89.6
2083;Total;Private households;Upper bound 95% confidence interval;Westland;2012;96.1;89.7
2084;Total;Private households;Upper bound 95% confidence interval;Westland;2015;93.7;88.1
2085;Total;Private households;Upper bound 95% confidence interval;Westland;2018;91.2;89.0
2086;Total;Private households;Upper bound 95% confidence interval;Westland;2021;90.8;89.2
2087;Total;Private households;Upper bound 95% confidence interval;Westland;2024;93.0;90.6
2088;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2002;89.5;88.2
2089;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2006;91.0;83.7
2090;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2009;89.1;79.5
2091;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2012;91.6;82.1
2092;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2015;91.5;84.5
2093;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2018;85.8;79.3
2094;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2021;83.4;82.1
2095;Total;Private households;Upper bound 95% confidence interval;Zaanstad;2024;86.8;81.2
2096;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2002;91.3;82.6
2097;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2006;95.9;86.7
2098;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2009;93.6;82.4
2099;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2012;93.4;86.5
2100;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2015;88.4;81.1
2101;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2018;86.9;86.1
2102;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2021;87.1;86.3
2103;Total;Private households;Upper bound 95% confidence interval;Zoetermeer;2024;84.6;83.2
2104;Total;Private households;Upper bound 95% confidence interval;Zwolle;2002;91.9;88.3
2105;Total;Private households;Upper bound 95% confidence interval;Zwolle;2006;92.2;86.8
2106;Total;Private households;Upper bound 95% confidence interval;Zwolle;2009;90.3;85.3
2107;Total;Private households;Upper bound 95% confidence interval;Zwolle;2012;90.5;86.3
2108;Total;Private households;Upper bound 95% confidence interval;Zwolle;2015;88.9;83.3
2109;Total;Private households;Upper bound 95% confidence interval;Zwolle;2018;88.1;86.2
2110;Total;Private households;Upper bound 95% confidence interval;Zwolle;2021;88.8;88.3
2111;Total;Private households;Upper bound 95% confidence interval;Zwolle;2024;89.9;88.3
2112;Total;Age head of household: younger than 35;Value;The Netherlands;2002;82.6;79.6
2113;Total;Age head of household: younger than 35;Value;The Netherlands;2006;83.7;81.9
2114;Total;Age head of household: younger than 35;Value;The Netherlands;2009;84.4;79.4
2115;Total;Age head of household: younger than 35;Value;The Netherlands;2012;83.2;78.4
2116;Total;Age head of household: younger than 35;Value;The Netherlands;2015;80.3;75.4
2117;Total;Age head of household: younger than 35;Value;The Netherlands;2018;78.4;79.0
2118;Total;Age head of household: younger than 35;Value;The Netherlands;2021;78.6;79.3
2119;Total;Age head of household: younger than 35;Value;The Netherlands;2024;75.1;78.5
2120;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2002;86.3;85.3
2121;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2006;86.4;85.0
2122;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2009;85.9;80.9
2123;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2012;84.1;75.9
2124;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2015;80.1;77.0
2125;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2018;80.4;79.9
2126;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2021;79.5;79.2
2127;Total;Age head of household: younger than 35;Value;Noord-Nederland (LD);2024;71.3;76.5
2128;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2002;84.6;80.3
2129;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2006;84.7;83.1
2130;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2009;85.6;80.8
2131;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2012;85.4;81.0
2132;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2015;81.0;74.9
2133;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2018;79.4;80.1
2134;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2021;83.4;81.8
2135;Total;Age head of household: younger than 35;Value;Oost-Nederland (LD);2024;79.0;81.0
2136;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2002;80.3;77.1
2137;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2006;81.8;80.1
2138;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2009;83.6;78.2
2139;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2012;82.2;77.9
2140;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2015;79.0;74.8
2141;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2018;77.1;79.1
2142;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2021;75.3;78.0
2143;Total;Age head of household: younger than 35;Value;West-Nederland (LD);2024;74.3;77.5
2144;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2002;84.8;82.3
2145;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2006;86.3;83.9
2146;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2009;84.6;80.4
2147;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2012;83.4;78.2
2148;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2015;83.2;76.9
2149;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2018;79.8;77.0
2150;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2021;82.5;80.4
2151;Total;Age head of household: younger than 35;Value;Zuid-Nederland (LD);2024;75.4;79.4
2152;Total;Age head of household: younger than 35;Value;Groningen (PV);2002;84.8;84.3
2153;Total;Age head of household: younger than 35;Value;Groningen (PV);2006;85.6;84.0
2154;Total;Age head of household: younger than 35;Value;Groningen (PV);2009;83.7;82.4
2155;Total;Age head of household: younger than 35;Value;Groningen (PV);2012;83.7;75.6
2156;Total;Age head of household: younger than 35;Value;Groningen (PV);2015;81.6;75.2
2157;Total;Age head of household: younger than 35;Value;Groningen (PV);2018;82.8;80.6
2158;Total;Age head of household: younger than 35;Value;Groningen (PV);2021;79.4;78.8
2159;Total;Age head of household: younger than 35;Value;Groningen (PV);2024;73.5;76.5
2160;Total;Age head of household: younger than 35;Value;Friesland (PV);2002;87.4;86.3
2161;Total;Age head of household: younger than 35;Value;Friesland (PV);2006;84.5;84.2
2162;Total;Age head of household: younger than 35;Value;Friesland (PV);2009;88.0;78.6
2163;Total;Age head of household: younger than 35;Value;Friesland (PV);2012;82.6;77.0
2164;Total;Age head of household: younger than 35;Value;Friesland (PV);2015;77.0;77.0
2165;Total;Age head of household: younger than 35;Value;Friesland (PV);2018;79.3;75.7
2166;Total;Age head of household: younger than 35;Value;Friesland (PV);2021;80.1;78.6
2167;Total;Age head of household: younger than 35;Value;Friesland (PV);2024;66.1;71.0
2168;Total;Age head of household: younger than 35;Value;Drenthe (PV);2002;87.2;85.5
2169;Total;Age head of household: younger than 35;Value;Drenthe (PV);2006;90.9;87.8
2170;Total;Age head of household: younger than 35;Value;Drenthe (PV);2009;85.8;82.4
2171;Total;Age head of household: younger than 35;Value;Drenthe (PV);2012;86.8;74.7
2172;Total;Age head of household: younger than 35;Value;Drenthe (PV);2015;82.2;81.1
2173;Total;Age head of household: younger than 35;Value;Drenthe (PV);2018;77.3;86.0
2174;Total;Age head of household: younger than 35;Value;Drenthe (PV);2021;78.7;81.2
2175;Total;Age head of household: younger than 35;Value;Drenthe (PV);2024;75.3;85.8
2176;Total;Age head of household: younger than 35;Value;Overijssel (PV);2002;86.0;80.3
2177;Total;Age head of household: younger than 35;Value;Overijssel (PV);2006;85.7;83.9
2178;Total;Age head of household: younger than 35;Value;Overijssel (PV);2009;83.5;80.6
2179;Total;Age head of household: younger than 35;Value;Overijssel (PV);2012;83.5;79.4
2180;Total;Age head of household: younger than 35;Value;Overijssel (PV);2015;80.7;74.4
2181;Total;Age head of household: younger than 35;Value;Overijssel (PV);2018;79.3;79.4
2182;Total;Age head of household: younger than 35;Value;Overijssel (PV);2021;83.8;81.5
2183;Total;Age head of household: younger than 35;Value;Overijssel (PV);2024;77.6;80.7
2184;Total;Age head of household: younger than 35;Value;Flevoland (PV);2002;88.3;76.7
2185;Total;Age head of household: younger than 35;Value;Flevoland (PV);2006;80.4;77.0
2186;Total;Age head of household: younger than 35;Value;Flevoland (PV);2009;87.4;84.2
2187;Total;Age head of household: younger than 35;Value;Flevoland (PV);2012;88.0;78.8
2188;Total;Age head of household: younger than 35;Value;Flevoland (PV);2015;81.7;69.2
2189;Total;Age head of household: younger than 35;Value;Flevoland (PV);2018;75.5;74.7
2190;Total;Age head of household: younger than 35;Value;Flevoland (PV);2021;80.9;81.6
2191;Total;Age head of household: younger than 35;Value;Flevoland (PV);2024;85.1;73.2
2192;Total;Age head of household: younger than 35;Value;Gelderland (PV);2002;82.9;81.0
2193;Total;Age head of household: younger than 35;Value;Gelderland (PV);2006;85.1;84.1
2194;Total;Age head of household: younger than 35;Value;Gelderland (PV);2009;86.5;80.2
2195;Total;Age head of household: younger than 35;Value;Gelderland (PV);2012;86.0;82.6
2196;Total;Age head of household: younger than 35;Value;Gelderland (PV);2015;81.1;76.6
2197;Total;Age head of household: younger than 35;Value;Gelderland (PV);2018;80.3;81.7
2198;Total;Age head of household: younger than 35;Value;Gelderland (PV);2021;83.7;82.0
2199;Total;Age head of household: younger than 35;Value;Gelderland (PV);2024;78.5;83.1
2200;Total;Age head of household: younger than 35;Value;Utrecht (PV);2002;84.4;78.7
2201;Total;Age head of household: younger than 35;Value;Utrecht (PV);2006;83.6;78.7
2202;Total;Age head of household: younger than 35;Value;Utrecht (PV);2009;85.8;78.8
