ID;Population;Sex;PersonalCharacteristics;TravelMotives;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
1088;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Groningen (PV);2020;0.11;3.71;3.87;41.0;1358.0;23.6
1089;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Groningen (PV);2021;0.09;2.59;2.91;32.0;944.0;17.7
1090;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Groningen (PV);2022;0.12;;;44.0;;
1091;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Groningen (PV);2023;0.09;2.32;3.47;33.0;848.0;21.1
1092;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2018;0.08;2.32;2.46;28.0;845.0;15.0
1093;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2019;0.13;5.93;5.94;46.0;2164.0;36.1
1094;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2020;0.14;3.61;3.83;50.0;1320.0;23.3
1095;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2021;0.11;3.0;3.71;39.0;1095.0;22.6
1096;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2022;0.14;3.51;4.42;51.0;1280.0;26.9
1097;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Fryslân (PV);2023;0.14;4.42;4.47;50.0;1612.0;27.2
1098;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2018;0.09;3.43;3.25;33.0;1251.0;19.8
1099;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2019;0.14;4.29;5.14;53.0;1565.0;31.3
1100;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2020;0.1;3.07;3.34;35.0;1123.0;20.3
1101;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2021;;;;;;
1102;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2022;0.12;3.99;4.45;44.0;1457.0;27.1
1103;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Drenthe (PV);2023;0.12;4.59;4.43;43.0;1675.0;26.9
1104;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2018;0.09;3.19;3.53;33.0;1164.0;21.5
1105;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2019;0.13;4.53;4.78;46.0;1653.0;29.1
1106;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2020;0.09;2.87;4.28;34.0;1049.0;26.1
1107;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2021;0.1;2.91;4.31;36.0;1060.0;26.2
1108;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2022;0.11;3.18;3.72;40.0;1160.0;22.7
1109;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Overijssel (PV);2023;0.12;3.44;4.18;42.0;1254.0;25.4
1110;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2018;0.07;;4.03;27.0;;24.5
1111;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2019;0.1;4.19;4.89;37.0;1530.0;29.8
1112;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2020;0.09;2.36;2.86;34.0;864.0;17.4
1113;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2021;0.12;3.09;3.79;45.0;1127.0;23.1
1114;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2022;0.09;;;34.0;;
1115;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Flevoland (PV);2023;0.09;2.78;3.08;31.0;1016.0;18.7
1116;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2018;0.09;2.87;3.36;32.0;1049.0;20.4
1117;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2019;0.15;5.5;6.12;54.0;2006.0;37.3
1118;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2020;0.09;2.75;3.26;34.0;1007.0;19.9
1119;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2021;0.1;2.95;3.39;35.0;1078.0;20.6
1120;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2022;0.1;2.42;2.87;35.0;883.0;17.5
1121;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Gelderland (PV);2023;0.11;3.67;4.39;39.0;1338.0;26.7
1122;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2018;0.08;2.97;3.44;29.0;1083.0;20.9
1123;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2019;0.14;5.27;5.7;50.0;1925.0;34.7
1124;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2020;0.08;2.62;2.97;31.0;959.0;18.1
1125;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2021;0.08;1.94;2.46;27.0;708.0;15.0
1126;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2022;0.09;2.59;3.21;32.0;946.0;19.5
1127;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Utrecht (PV);2023;0.09;3.05;4.02;33.0;1113.0;24.4
1128;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2018;0.08;2.64;3.12;28.0;964.0;19.0
1129;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2019;0.1;3.33;4.13;37.0;1216.0;25.1
1130;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2020;0.07;1.5;2.15;25.0;550.0;13.1
1131;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2021;0.07;1.59;2.38;27.0;579.0;14.5
1132;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2022;0.08;2.13;2.74;29.0;777.0;16.7
1133;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Holland (PV);2023;0.09;2.25;3.0;32.0;820.0;18.2
1134;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;0.07;2.2;2.85;26.0;804.0;17.3
1135;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;0.12;3.5;4.58;43.0;1278.0;27.9
1136;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;0.07;2.08;2.59;27.0;760.0;15.8
1137;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;0.08;1.87;2.69;28.0;683.0;16.4
1138;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;0.09;2.21;3.19;31.0;806.0;19.4
1139;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;0.08;2.04;2.83;30.0;746.0;17.2
1140;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2018;;;;;;
1141;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2019;0.14;4.47;5.0;50.0;1630.0;30.4
1142;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2020;;;;;;
1143;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2021;0.18;;5.92;65.0;;36.0
1144;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2022;0.14;3.46;4.01;52.0;1263.0;24.4
1145;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Zeeland (PV);2023;0.16;;5.97;58.0;;36.3
1146;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;0.09;3.2;3.4;31.0;1168.0;20.7
1147;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;0.12;3.43;4.12;44.0;1252.0;25.1
1148;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;0.08;2.11;2.51;30.0;770.0;15.3
1149;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;0.09;2.73;3.03;34.0;995.0;18.4
1150;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;0.09;2.46;3.16;34.0;899.0;19.3
1151;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;0.1;2.58;3.23;38.0;941.0;19.6
1152;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2018;0.08;3.3;3.44;31.0;1204.0;20.9
1153;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2019;0.13;3.31;3.89;49.0;1210.0;23.6
1154;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2020;0.08;2.31;2.36;30.0;847.0;14.4
1155;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2021;0.09;3.06;3.55;35.0;1116.0;21.6
1156;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2022;0.1;2.57;2.84;35.0;937.0;17.3
1157;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Limburg (PV);2023;0.1;2.26;2.79;37.0;824.0;17.0
1158;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2018;0.07;2.12;2.73;26.0;774.0;16.6
1159;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2019;0.1;2.97;4.01;37.0;1084.0;24.4
1160;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2020;0.06;1.51;1.98;20.0;553.0;12.1
1161;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2021;0.06;1.33;2.11;22.0;487.0;12.8
1162;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2022;0.07;1.81;2.71;27.0;661.0;16.5
1163;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Extremely urbanised;2023;0.08;1.89;2.72;29.0;690.0;16.5
1164;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2018;0.07;2.64;2.99;27.0;964.0;18.2
1165;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2019;0.11;3.57;4.15;40.0;1305.0;25.2
1166;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2020;0.07;1.98;2.45;26.0;726.0;15.0
1167;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2021;0.08;2.25;2.83;30.0;821.0;17.2
1168;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2022;0.09;2.58;3.2;33.0;943.0;19.5
1169;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Strongly urbanised;2023;0.09;2.57;3.25;32.0;938.0;19.8
1170;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2018;0.07;2.56;2.93;27.0;934.0;17.9
1171;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2019;0.12;3.95;4.41;43.0;1441.0;26.8
1172;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2020;0.08;2.49;2.78;30.0;910.0;16.9
1173;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2021;0.1;2.6;3.03;36.0;948.0;18.4
1174;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2022;0.09;2.66;3.17;34.0;970.0;19.3
1175;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Moderately urbanised;2023;0.1;2.87;3.54;35.0;1048.0;21.5
1176;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2018;0.09;3.02;3.29;32.0;1102.0;20.0
1177;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2019;0.14;4.52;5.2;50.0;1648.0;31.6
1178;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2020;0.1;2.5;3.28;38.0;915.0;20.0
1179;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2021;0.1;2.7;3.39;36.0;986.0;20.6
1180;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2022;0.1;2.63;3.14;36.0;958.0;19.1
1181;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Hardly urbanised;2023;0.1;2.84;3.36;38.0;1037.0;20.4
1182;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2018;0.09;3.18;3.43;35.0;1160.0;20.8
1183;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2019;0.15;5.35;5.91;56.0;1952.0;35.9
1184;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2020;0.12;3.69;4.02;45.0;1349.0;24.5
1185;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2021;0.12;3.7;4.06;42.0;1351.0;24.7
1186;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2022;0.12;3.49;3.9;44.0;1272.0;23.8
1187;Population 6 years or older;Total male and female;Total persons;Professionally;Upper bound 95% confidence interval;Not urbanised;2023;0.15;4.31;5.06;54.0;1573.0;30.8
1188;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2018;0.09;0.83;1.73;31.0;302.0;10.5
1189;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2019;0.09;0.73;1.66;31.0;267.0;10.1
1190;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2020;0.07;0.61;1.31;26.0;224.0;8.0
1191;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2021;0.09;0.74;1.63;32.0;271.0;9.9
1192;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2022;0.09;0.72;1.67;33.0;263.0;10.2
1193;Population 6 years or older;Total male and female;Total persons;Services/care;Value;The Netherlands;2023;0.09;0.74;1.67;32.0;272.0;10.2
1194;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2018;0.08;1.21;1.9;30.0;443.0;11.6
1195;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2019;0.08;0.7;1.42;28.0;256.0;8.6
1196;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2020;0.08;0.71;1.25;28.0;259.0;7.7
1197;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2021;0.08;0.83;1.53;31.0;304.0;9.3
1198;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2022;0.1;0.97;1.85;36.0;354.0;11.3
1199;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Nederland (LD);2023;0.08;0.84;1.57;31.0;305.0;9.5
1200;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2018;0.08;0.67;1.41;29.0;245.0;8.5
1201;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2019;0.09;0.81;1.66;31.0;296.0;10.1
1202;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2020;0.07;0.66;1.27;26.0;240.0;7.8
1203;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2021;0.08;0.74;1.46;30.0;271.0;8.9
1204;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2022;0.1;0.85;1.78;36.0;311.0;10.8
1205;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Oost-Nederland (LD);2023;0.09;0.86;1.71;34.0;314.0;10.4
1206;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2018;0.09;0.8;1.88;32.0;291.0;11.4
1207;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2019;0.09;0.72;1.73;31.0;262.0;10.5
1208;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2020;0.07;0.55;1.32;25.0;200.0;8.0
1209;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2021;0.09;0.72;1.73;32.0;264.0;10.5
1210;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2022;0.08;0.57;1.54;30.0;209.0;9.4
1211;Population 6 years or older;Total male and female;Total persons;Services/care;Value;West-Nederland (LD);2023;0.08;0.63;1.64;30.0;230.0;10.0
1212;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2018;0.09;0.86;1.65;32.0;315.0;10.1
1213;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2019;0.09;0.69;1.63;33.0;254.0;9.9
1214;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2020;0.08;0.67;1.34;29.0;245.0;8.2
1215;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2021;0.09;0.74;1.6;34.0;272.0;9.7
1216;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2022;0.1;0.8;1.79;35.0;291.0;10.9
1217;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Nederland (LD);2023;0.1;0.85;1.73;35.0;309.0;10.5
1218;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2018;0.08;0.84;1.72;28.0;308.0;10.5
1219;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2019;0.09;0.74;1.68;33.0;271.0;10.2
1220;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2020;0.07;0.61;1.14;25.0;223.0;7.0
1221;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2021;0.09;0.89;1.79;31.0;326.0;10.9
1222;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2022;0.09;0.72;1.64;33.0;265.0;10.0
1223;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Groningen (PV);2023;0.1;;1.99;35.0;;12.1
1224;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2018;0.08;1.61;2.16;29.0;586.0;13.1
1225;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2019;0.06;0.69;1.24;22.0;251.0;7.6
1226;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2020;0.07;;1.17;26.0;;7.1
1227;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2021;0.08;0.65;1.26;29.0;236.0;7.7
1228;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2022;0.1;0.96;1.92;36.0;350.0;11.7
1229;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Fryslân (PV);2023;0.07;0.64;1.24;25.0;232.0;7.6
1230;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2018;0.09;1.14;1.77;33.0;416.0;10.8
1231;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2019;0.08;;1.33;31.0;;8.1
1232;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2020;0.09;0.82;1.51;34.0;299.0;9.2
1233;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2021;0.09;1.01;1.58;33.0;368.0;9.6
1234;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2022;0.11;1.28;2.03;40.0;466.0;12.4
1235;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Drenthe (PV);2023;0.09;0.91;1.49;32.0;331.0;9.1
1236;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2018;0.08;0.67;1.37;28.0;245.0;8.4
1237;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2019;0.08;0.83;1.57;30.0;304.0;9.5
1238;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2020;0.07;0.55;1.19;25.0;201.0;7.3
1239;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2021;0.08;0.77;1.5;28.0;280.0;9.1
1240;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2022;0.09;0.85;1.75;34.0;311.0;10.7
1241;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Overijssel (PV);2023;0.09;0.83;1.62;31.0;302.0;9.9
1242;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2018;0.08;0.61;1.23;29.0;222.0;7.5
1243;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2019;0.06;0.59;1.1;23.0;214.0;6.7
1244;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2020;0.06;0.73;1.05;22.0;269.0;6.4
1245;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2021;0.08;0.76;1.39;28.0;276.0;8.5
1246;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2022;0.09;0.99;1.7;34.0;362.0;10.3
1247;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Flevoland (PV);2023;0.06;0.57;1.14;22.0;209.0;7.0
1248;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2018;0.08;0.68;1.46;29.0;249.0;8.9
1249;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2019;0.09;0.84;1.82;33.0;308.0;11.1
1250;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2020;0.07;0.7;1.36;27.0;256.0;8.3
1251;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2021;0.09;0.73;1.45;32.0;265.0;8.8
1252;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2022;0.1;0.82;1.81;38.0;301.0;11.0
1253;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Gelderland (PV);2023;0.1;0.94;1.89;37.0;342.0;11.5
1254;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2018;0.1;1.0;2.14;36.0;367.0;13.0
1255;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2019;0.09;0.8;1.63;31.0;292.0;9.9
1256;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2020;0.07;0.56;1.3;27.0;206.0;7.9
1257;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2021;0.1;0.81;1.87;36.0;294.0;11.4
1258;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2022;0.1;0.71;1.66;35.0;258.0;10.1
1259;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Utrecht (PV);2023;0.08;0.8;1.8;31.0;291.0;10.9
1260;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2018;0.09;0.81;1.96;32.0;296.0;11.9
1261;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2019;0.08;0.8;1.76;30.0;293.0;10.7
1262;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2020;0.07;0.54;1.34;25.0;198.0;8.2
1263;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2021;0.09;0.8;1.81;32.0;293.0;11.0
1264;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2022;0.08;0.55;1.51;29.0;200.0;9.2
1265;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Holland (PV);2023;0.08;0.62;1.63;31.0;226.0;9.9
1266;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2018;0.08;0.73;1.81;31.0;268.0;11.0
1267;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2019;0.09;0.65;1.8;33.0;237.0;11.0
1268;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2020;0.07;0.5;1.29;24.0;183.0;7.9
1269;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2021;0.09;0.63;1.68;32.0;230.0;10.2
1270;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2022;0.08;0.53;1.54;30.0;194.0;9.4
1271;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zuid-Holland (PV);2023;0.08;0.57;1.64;29.0;209.0;10.0
1272;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2018;0.07;;1.06;25.0;;6.5
1273;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2019;;;;;;
1274;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2020;;;;;;
1275;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2021;;;;;;
1276;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2022;;;;;;
1277;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Zeeland (PV);2023;;;;;;
1278;Population 6 years or older;Total male and female;Total persons;Services/care;Value;Noord-Brabant (PV);2018;0.09;0.92;1.74;33.0;335.0;10.6
