ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
638;HP12: Mental health institutions,;HF22: Private insurance;2013;0.0
639;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2005;0.0
640;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2006;0.0
641;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2007;0.0
642;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2008;0.0
643;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2009;0.0
644;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2010;0.0
645;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2011;0.0
646;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2012;0.0
647;HP12: Mental health institutions,;HF23: Out-of-pocket expenditure;2013;0.0
648;HP12: Mental health institutions,;HF24: Non-profit institutions;2005;23.0
649;HP12: Mental health institutions,;HF24: Non-profit institutions;2006;26.0
650;HP12: Mental health institutions,;HF24: Non-profit institutions;2007;22.0
651;HP12: Mental health institutions,;HF24: Non-profit institutions;2008;22.0
652;HP12: Mental health institutions,;HF24: Non-profit institutions;2009;21.0
653;HP12: Mental health institutions,;HF24: Non-profit institutions;2010;27.0
654;HP12: Mental health institutions,;HF24: Non-profit institutions;2011;24.0
655;HP12: Mental health institutions,;HF24: Non-profit institutions;2012;24.0
656;HP12: Mental health institutions,;HF24: Non-profit institutions;2013;22.0
657;HP12: Mental health institutions,;HF25: Enterprises;2005;0.0
658;HP12: Mental health institutions,;HF25: Enterprises;2006;0.0
659;HP12: Mental health institutions,;HF25: Enterprises;2007;0.0
660;HP12: Mental health institutions,;HF25: Enterprises;2008;0.0
661;HP12: Mental health institutions,;HF25: Enterprises;2009;0.0
662;HP12: Mental health institutions,;HF25: Enterprises;2010;0.0
663;HP12: Mental health institutions,;HF25: Enterprises;2011;0.0
664;HP12: Mental health institutions,;HF25: Enterprises;2012;0.0
665;HP12: Mental health institutions,;HF25: Enterprises;2013;0.0
666;HP12: Mental health institutions,;"Rest of the world; exports";2005;0.0
667;HP12: Mental health institutions,;"Rest of the world; exports";2006;0.0
668;HP12: Mental health institutions,;"Rest of the world; exports";2007;0.0
669;HP12: Mental health institutions,;"Rest of the world; exports";2008;0.0
670;HP12: Mental health institutions,;"Rest of the world; exports";2009;0.0
671;HP12: Mental health institutions,;"Rest of the world; exports";2010;0.0
672;HP12: Mental health institutions,;"Rest of the world; exports";2011;0.0
673;HP12: Mental health institutions,;"Rest of the world; exports";2012;0.0
674;HP12: Mental health institutions,;"Rest of the world; exports";2013;0.0
675;HP13: Specialised hospitals;Total financing of health & social care;2005;746.0
676;HP13: Specialised hospitals;Total financing of health & social care;2006;763.0
677;HP13: Specialised hospitals;Total financing of health & social care;2007;838.0
678;HP13: Specialised hospitals;Total financing of health & social care;2008;871.0
679;HP13: Specialised hospitals;Total financing of health & social care;2009;891.0
680;HP13: Specialised hospitals;Total financing of health & social care;2010;1024.0
681;HP13: Specialised hospitals;Total financing of health & social care;2011;1029.0
682;HP13: Specialised hospitals;Total financing of health & social care;2012;1093.0
683;HP13: Specialised hospitals;Total financing of health & social care;2013;1159.0
684;HP13: Specialised hospitals;Total financing of residents;2005;746.0
685;HP13: Specialised hospitals;Total financing of residents;2006;763.0
686;HP13: Specialised hospitals;Total financing of residents;2007;838.0
687;HP13: Specialised hospitals;Total financing of residents;2008;871.0
688;HP13: Specialised hospitals;Total financing of residents;2009;891.0
689;HP13: Specialised hospitals;Total financing of residents;2010;1024.0
690;HP13: Specialised hospitals;Total financing of residents;2011;1029.0
691;HP13: Specialised hospitals;Total financing of residents;2012;1093.0
692;HP13: Specialised hospitals;Total financing of residents;2013;1159.0
693;HP13: Specialised hospitals;HF1: General government;2005;529.0
694;HP13: Specialised hospitals;HF1: General government;2006;747.0
695;HP13: Specialised hospitals;HF1: General government;2007;823.0
696;HP13: Specialised hospitals;HF1: General government;2008;861.0
697;HP13: Specialised hospitals;HF1: General government;2009;880.0
698;HP13: Specialised hospitals;HF1: General government;2010;1010.0
699;HP13: Specialised hospitals;HF1: General government;2011;1017.0
700;HP13: Specialised hospitals;HF1: General government;2012;1083.0
701;HP13: Specialised hospitals;HF1: General government;2013;1148.0
702;HP13: Specialised hospitals;HF11: Government excl. social security;2005;4.0
703;HP13: Specialised hospitals;HF11: Government excl. social security;2006;5.0
704;HP13: Specialised hospitals;HF11: Government excl. social security;2007;15.0
705;HP13: Specialised hospitals;HF11: Government excl. social security;2008;19.0
706;HP13: Specialised hospitals;HF11: Government excl. social security;2009;21.0
707;HP13: Specialised hospitals;HF11: Government excl. social security;2010;18.0
708;HP13: Specialised hospitals;HF11: Government excl. social security;2011;18.0
709;HP13: Specialised hospitals;HF11: Government excl. social security;2012;18.0
710;HP13: Specialised hospitals;HF11: Government excl. social security;2013;5.0
711;HP13: Specialised hospitals;HF12: Social security funds;2005;525.0
712;HP13: Specialised hospitals;HF12: Social security funds;2006;743.0
713;HP13: Specialised hospitals;HF12: Social security funds;2007;808.0
714;HP13: Specialised hospitals;HF12: Social security funds;2008;842.0
715;HP13: Specialised hospitals;HF12: Social security funds;2009;859.0
716;HP13: Specialised hospitals;HF12: Social security funds;2010;993.0
717;HP13: Specialised hospitals;HF12: Social security funds;2011;999.0
718;HP13: Specialised hospitals;HF12: Social security funds;2012;1065.0
719;HP13: Specialised hospitals;HF12: Social security funds;2013;1143.0
720;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2005;28.0
721;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2006;35.0
722;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2007;34.0
723;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2008;75.0
724;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2009;86.0
725;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2010;93.0
726;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2011;83.0
727;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2012;87.0
728;HP13: Specialised hospitals;HF121a: Exceptional Medical Expenses Act;2013;92.0
729;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2005;497.0
730;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2006;
731;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2007;
732;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2008;
733;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2009;
734;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2010;
735;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2011;
736;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2012;
737;HP13: Specialised hospitals;HF121b: Health Insurance Fund;2013;
738;HP13: Specialised hospitals;HF122: Health care insurance act;2005;
739;HP13: Specialised hospitals;HF122: Health care insurance act;2006;707.0
740;HP13: Specialised hospitals;HF122: Health care insurance act;2007;774.0
741;HP13: Specialised hospitals;HF122: Health care insurance act;2008;767.0
742;HP13: Specialised hospitals;HF122: Health care insurance act;2009;774.0
743;HP13: Specialised hospitals;HF122: Health care insurance act;2010;900.0
744;HP13: Specialised hospitals;HF122: Health care insurance act;2011;916.0
745;HP13: Specialised hospitals;HF122: Health care insurance act;2012;978.0
746;HP13: Specialised hospitals;HF122: Health care insurance act;2013;1052.0
747;HP13: Specialised hospitals;HF2: Private sector;2005;217.0
748;HP13: Specialised hospitals;HF2: Private sector;2006;15.0
749;HP13: Specialised hospitals;HF2: Private sector;2007;15.0
750;HP13: Specialised hospitals;HF2: Private sector;2008;10.0
751;HP13: Specialised hospitals;HF2: Private sector;2009;11.0
752;HP13: Specialised hospitals;HF2: Private sector;2010;13.0
753;HP13: Specialised hospitals;HF2: Private sector;2011;12.0
754;HP13: Specialised hospitals;HF2: Private sector;2012;10.0
755;HP13: Specialised hospitals;HF2: Private sector;2013;10.0
756;HP13: Specialised hospitals;HF21: Private social insurance;2005;88.0
757;HP13: Specialised hospitals;HF21: Private social insurance;2006;
758;HP13: Specialised hospitals;HF21: Private social insurance;2007;
759;HP13: Specialised hospitals;HF21: Private social insurance;2008;
760;HP13: Specialised hospitals;HF21: Private social insurance;2009;
761;HP13: Specialised hospitals;HF21: Private social insurance;2010;
762;HP13: Specialised hospitals;HF21: Private social insurance;2011;
763;HP13: Specialised hospitals;HF21: Private social insurance;2012;
764;HP13: Specialised hospitals;HF21: Private social insurance;2013;
765;HP13: Specialised hospitals;HF22: Private insurance;2005;115.0
766;HP13: Specialised hospitals;HF22: Private insurance;2006;0.0
767;HP13: Specialised hospitals;HF22: Private insurance;2007;0.0
768;HP13: Specialised hospitals;HF22: Private insurance;2008;0.0
769;HP13: Specialised hospitals;HF22: Private insurance;2009;0.0
770;HP13: Specialised hospitals;HF22: Private insurance;2010;0.0
771;HP13: Specialised hospitals;HF22: Private insurance;2011;0.0
772;HP13: Specialised hospitals;HF22: Private insurance;2012;0.0
773;HP13: Specialised hospitals;HF22: Private insurance;2013;0.0
774;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2005;0.0
775;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2006;0.0
776;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2007;0.0
777;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2008;0.0
778;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2009;0.0
779;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2010;0.0
780;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2011;0.0
781;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2012;0.0
782;HP13: Specialised hospitals;HF23: Out-of-pocket expenditure;2013;0.0
783;HP13: Specialised hospitals;HF24: Non-profit institutions;2005;14.0
784;HP13: Specialised hospitals;HF24: Non-profit institutions;2006;15.0
785;HP13: Specialised hospitals;HF24: Non-profit institutions;2007;15.0
786;HP13: Specialised hospitals;HF24: Non-profit institutions;2008;10.0
787;HP13: Specialised hospitals;HF24: Non-profit institutions;2009;11.0
788;HP13: Specialised hospitals;HF24: Non-profit institutions;2010;13.0
789;HP13: Specialised hospitals;HF24: Non-profit institutions;2011;12.0
790;HP13: Specialised hospitals;HF24: Non-profit institutions;2012;10.0
791;HP13: Specialised hospitals;HF24: Non-profit institutions;2013;10.0
792;HP13: Specialised hospitals;HF25: Enterprises;2005;0.0
793;HP13: Specialised hospitals;HF25: Enterprises;2006;0.0
794;HP13: Specialised hospitals;HF25: Enterprises;2007;0.0
795;HP13: Specialised hospitals;HF25: Enterprises;2008;0.0
796;HP13: Specialised hospitals;HF25: Enterprises;2009;0.0
797;HP13: Specialised hospitals;HF25: Enterprises;2010;0.0
798;HP13: Specialised hospitals;HF25: Enterprises;2011;0.0
799;HP13: Specialised hospitals;HF25: Enterprises;2012;0.0
800;HP13: Specialised hospitals;HF25: Enterprises;2013;0.0
801;HP13: Specialised hospitals;"Rest of the world; exports";2005;0.0
802;HP13: Specialised hospitals;"Rest of the world; exports";2006;0.0
803;HP13: Specialised hospitals;"Rest of the world; exports";2007;0.0
804;HP13: Specialised hospitals;"Rest of the world; exports";2008;0.0
805;HP13: Specialised hospitals;"Rest of the world; exports";2009;0.0
806;HP13: Specialised hospitals;"Rest of the world; exports";2010;0.0
807;HP13: Specialised hospitals;"Rest of the world; exports";2011;0.0
808;HP13: Specialised hospitals;"Rest of the world; exports";2012;0.0
809;HP13: Specialised hospitals;"Rest of the world; exports";2013;0.0
810;HP2: Nursing and residential care facil.;Total financing of health & social care;2005;12474.0
811;HP2: Nursing and residential care facil.;Total financing of health & social care;2006;13136.0
812;HP2: Nursing and residential care facil.;Total financing of health & social care;2007;13676.0
813;HP2: Nursing and residential care facil.;Total financing of health & social care;2008;14473.0
814;HP2: Nursing and residential care facil.;Total financing of health & social care;2009;15000.0
815;HP2: Nursing and residential care facil.;Total financing of health & social care;2010;15548.0
816;HP2: Nursing and residential care facil.;Total financing of health & social care;2011;16111.0
817;HP2: Nursing and residential care facil.;Total financing of health & social care;2012;17819.0
818;HP2: Nursing and residential care facil.;Total financing of health & social care;2013;18032.0
819;HP2: Nursing and residential care facil.;Total financing of residents;2005;12450.0
820;HP2: Nursing and residential care facil.;Total financing of residents;2006;13125.0
821;HP2: Nursing and residential care facil.;Total financing of residents;2007;13671.0
822;HP2: Nursing and residential care facil.;Total financing of residents;2008;14468.0
823;HP2: Nursing and residential care facil.;Total financing of residents;2009;14995.0
824;HP2: Nursing and residential care facil.;Total financing of residents;2010;15543.0
825;HP2: Nursing and residential care facil.;Total financing of residents;2011;16106.0
826;HP2: Nursing and residential care facil.;Total financing of residents;2012;17814.0
827;HP2: Nursing and residential care facil.;Total financing of residents;2013;18027.0
828;HP2: Nursing and residential care facil.;HF1: General government;2005;12319.0
829;HP2: Nursing and residential care facil.;HF1: General government;2006;13045.0
830;HP2: Nursing and residential care facil.;HF1: General government;2007;13577.0
831;HP2: Nursing and residential care facil.;HF1: General government;2008;14380.0
832;HP2: Nursing and residential care facil.;HF1: General government;2009;14963.0
833;HP2: Nursing and residential care facil.;HF1: General government;2010;15513.0
834;HP2: Nursing and residential care facil.;HF1: General government;2011;16078.0
835;HP2: Nursing and residential care facil.;HF1: General government;2012;17792.0
836;HP2: Nursing and residential care facil.;HF1: General government;2013;18009.0
837;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2005;155.0
838;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2006;143.0
839;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2007;899.0
840;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2008;897.0
841;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2009;935.0
842;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2010;969.0
843;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2011;973.0
844;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2012;1048.0
845;HP2: Nursing and residential care facil.;HF11: Government excl. social security;2013;1060.0
846;HP2: Nursing and residential care facil.;HF12: Social security funds;2005;12164.0
847;HP2: Nursing and residential care facil.;HF12: Social security funds;2006;12902.0
848;HP2: Nursing and residential care facil.;HF12: Social security funds;2007;12678.0
849;HP2: Nursing and residential care facil.;HF12: Social security funds;2008;13483.0
850;HP2: Nursing and residential care facil.;HF12: Social security funds;2009;14027.0
851;HP2: Nursing and residential care facil.;HF12: Social security funds;2010;14544.0
852;HP2: Nursing and residential care facil.;HF12: Social security funds;2011;15105.0
853;HP2: Nursing and residential care facil.;HF12: Social security funds;2012;16744.0
854;HP2: Nursing and residential care facil.;HF12: Social security funds;2013;16949.0
855;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2005;12094.0
856;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2006;12710.0
857;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2007;12464.0
858;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2008;13252.0
859;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2009;13747.0
860;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2010;14273.0
861;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2011;14826.0
862;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2012;16489.0
863;HP2: Nursing and residential care facil.;HF121a: Exceptional Medical Expenses Act;2013;15946.0
864;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2005;70.0
865;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2006;
866;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2007;
867;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2008;
868;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2009;
869;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2010;
870;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2011;
871;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2012;
872;HP2: Nursing and residential care facil.;HF121b: Health Insurance Fund;2013;
873;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2005;
874;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2006;193.0
875;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2007;214.0
876;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2008;231.0
877;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2009;281.0
878;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2010;271.0
879;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2011;279.0
880;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2012;255.0
881;HP2: Nursing and residential care facil.;HF122: Health care insurance act;2013;1003.0
882;HP2: Nursing and residential care facil.;HF2: Private sector;2005;131.0
883;HP2: Nursing and residential care facil.;HF2: Private sector;2006;79.0
884;HP2: Nursing and residential care facil.;HF2: Private sector;2007;94.0
885;HP2: Nursing and residential care facil.;HF2: Private sector;2008;88.0
886;HP2: Nursing and residential care facil.;HF2: Private sector;2009;33.0
887;HP2: Nursing and residential care facil.;HF2: Private sector;2010;30.0
888;HP2: Nursing and residential care facil.;HF2: Private sector;2011;27.0
889;HP2: Nursing and residential care facil.;HF2: Private sector;2012;21.0
890;HP2: Nursing and residential care facil.;HF2: Private sector;2013;18.0
891;HP2: Nursing and residential care facil.;HF21: Private social insurance;2005;30.0
892;HP2: Nursing and residential care facil.;HF21: Private social insurance;2006;
893;HP2: Nursing and residential care facil.;HF21: Private social insurance;2007;
894;HP2: Nursing and residential care facil.;HF21: Private social insurance;2008;
895;HP2: Nursing and residential care facil.;HF21: Private social insurance;2009;
896;HP2: Nursing and residential care facil.;HF21: Private social insurance;2010;
897;HP2: Nursing and residential care facil.;HF21: Private social insurance;2011;
898;HP2: Nursing and residential care facil.;HF21: Private social insurance;2012;
899;HP2: Nursing and residential care facil.;HF21: Private social insurance;2013;
900;HP2: Nursing and residential care facil.;HF22: Private insurance;2005;40.0
901;HP2: Nursing and residential care facil.;HF22: Private insurance;2006;0.0
902;HP2: Nursing and residential care facil.;HF22: Private insurance;2007;0.0
903;HP2: Nursing and residential care facil.;HF22: Private insurance;2008;0.0
904;HP2: Nursing and residential care facil.;HF22: Private insurance;2009;0.0
905;HP2: Nursing and residential care facil.;HF22: Private insurance;2010;0.0
906;HP2: Nursing and residential care facil.;HF22: Private insurance;2011;0.0
907;HP2: Nursing and residential care facil.;HF22: Private insurance;2012;0.0
908;HP2: Nursing and residential care facil.;HF22: Private insurance;2013;0.0
909;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2005;61.0
910;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2006;79.0
911;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2007;94.0
912;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2008;88.0
913;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2009;33.0
914;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2010;30.0
915;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2011;27.0
916;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2012;21.0
917;HP2: Nursing and residential care facil.;HF23: Out-of-pocket expenditure;2013;18.0
918;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2005;0.0
919;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2006;0.0
920;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2007;0.0
921;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2008;0.0
922;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2009;0.0
923;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2010;0.0
924;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2011;0.0
925;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2012;0.0
926;HP2: Nursing and residential care facil.;HF24: Non-profit institutions;2013;0.0
927;HP2: Nursing and residential care facil.;HF25: Enterprises;2005;0.0
928;HP2: Nursing and residential care facil.;HF25: Enterprises;2006;0.0
929;HP2: Nursing and residential care facil.;HF25: Enterprises;2007;0.0
930;HP2: Nursing and residential care facil.;HF25: Enterprises;2008;0.0
931;HP2: Nursing and residential care facil.;HF25: Enterprises;2009;0.0
932;HP2: Nursing and residential care facil.;HF25: Enterprises;2010;0.0
933;HP2: Nursing and residential care facil.;HF25: Enterprises;2011;0.0
934;HP2: Nursing and residential care facil.;HF25: Enterprises;2012;0.0
935;HP2: Nursing and residential care facil.;HF25: Enterprises;2013;0.0
936;HP2: Nursing and residential care facil.;"Rest of the world; exports";2005;24.0
937;HP2: Nursing and residential care facil.;"Rest of the world; exports";2006;12.0
938;HP2: Nursing and residential care facil.;"Rest of the world; exports";2007;5.0
939;HP2: Nursing and residential care facil.;"Rest of the world; exports";2008;5.0
940;HP2: Nursing and residential care facil.;"Rest of the world; exports";2009;5.0
941;HP2: Nursing and residential care facil.;"Rest of the world; exports";2010;5.0
942;HP2: Nursing and residential care facil.;"Rest of the world; exports";2011;5.0
943;HP2: Nursing and residential care facil.;"Rest of the world; exports";2012;5.0
944;HP2: Nursing and residential care facil.;"Rest of the world; exports";2013;5.0
945;HP.2.1:Nursing care facilities;Total financing of health & social care;2005;9781.0
946;HP.2.1:Nursing care facilities;Total financing of health & social care;2006;10329.0
947;HP.2.1:Nursing care facilities;Total financing of health & social care;2007;10642.0
948;HP.2.1:Nursing care facilities;Total financing of health & social care;2008;11194.0
949;HP.2.1:Nursing care facilities;Total financing of health & social care;2009;11413.0
950;HP.2.1:Nursing care facilities;Total financing of health & social care;2010;11811.0
951;HP.2.1:Nursing care facilities;Total financing of health & social care;2011;12253.0
952;HP.2.1:Nursing care facilities;Total financing of health & social care;2012;13445.0
953;HP.2.1:Nursing care facilities;Total financing of health & social care;2013;13607.0
954;HP.2.1:Nursing care facilities;Total financing of residents;2005;9758.0
955;HP.2.1:Nursing care facilities;Total financing of residents;2006;10318.0
956;HP.2.1:Nursing care facilities;Total financing of residents;2007;10636.0
957;HP.2.1:Nursing care facilities;Total financing of residents;2008;11189.0
958;HP.2.1:Nursing care facilities;Total financing of residents;2009;11408.0
959;HP.2.1:Nursing care facilities;Total financing of residents;2010;11806.0
960;HP.2.1:Nursing care facilities;Total financing of residents;2011;12248.0
961;HP.2.1:Nursing care facilities;Total financing of residents;2012;13440.0
962;HP.2.1:Nursing care facilities;Total financing of residents;2013;13602.0
963;HP.2.1:Nursing care facilities;HF1: General government;2005;9626.0
964;HP.2.1:Nursing care facilities;HF1: General government;2006;10238.0
965;HP.2.1:Nursing care facilities;HF1: General government;2007;10542.0
966;HP.2.1:Nursing care facilities;HF1: General government;2008;11101.0
967;HP.2.1:Nursing care facilities;HF1: General government;2009;11376.0
968;HP.2.1:Nursing care facilities;HF1: General government;2010;11776.0
969;HP.2.1:Nursing care facilities;HF1: General government;2011;12220.0
970;HP.2.1:Nursing care facilities;HF1: General government;2012;13418.0
971;HP.2.1:Nursing care facilities;HF1: General government;2013;13584.0
972;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2005;155.0
973;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2006;143.0
974;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2007;899.0
975;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2008;897.0
976;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2009;935.0
977;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2010;969.0
978;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2011;973.0
979;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2012;1048.0
980;HP.2.1:Nursing care facilities;HF11: Government excl. social security;2013;1060.0
981;HP.2.1:Nursing care facilities;HF12: Social security funds;2005;9471.0
982;HP.2.1:Nursing care facilities;HF12: Social security funds;2006;10095.0
983;HP.2.1:Nursing care facilities;HF12: Social security funds;2007;9643.0
984;HP.2.1:Nursing care facilities;HF12: Social security funds;2008;10205.0
985;HP.2.1:Nursing care facilities;HF12: Social security funds;2009;10441.0
986;HP.2.1:Nursing care facilities;HF12: Social security funds;2010;10807.0
987;HP.2.1:Nursing care facilities;HF12: Social security funds;2011;11247.0
988;HP.2.1:Nursing care facilities;HF12: Social security funds;2012;12370.0
989;HP.2.1:Nursing care facilities;HF12: Social security funds;2013;12524.0
990;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2005;9401.0
991;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2006;9903.0
992;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2007;9435.0
993;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2008;9980.0
994;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2009;10167.0
995;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2010;10542.0
996;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2011;10981.0
997;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2012;12123.0
998;HP.2.1:Nursing care facilities;HF121a: Exceptional Medical Expenses Act;2013;11529.0
999;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2005;70.0
1000;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2006;
1001;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2007;
1002;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2008;
1003;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2009;
1004;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2010;
1005;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2011;
1006;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2012;
1007;HP.2.1:Nursing care facilities;HF121b: Health Insurance Fund;2013;
1008;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2005;
1009;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2006;193.0
1010;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2007;208.0
1011;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2008;224.0
1012;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2009;273.0
1013;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2010;265.0
1014;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2011;266.0
1015;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2012;247.0
1016;HP.2.1:Nursing care facilities;HF122: Health care insurance act;2013;995.0
1017;HP.2.1:Nursing care facilities;HF2: Private sector;2005;131.0
1018;HP.2.1:Nursing care facilities;HF2: Private sector;2006;79.0
1019;HP.2.1:Nursing care facilities;HF2: Private sector;2007;94.0
1020;HP.2.1:Nursing care facilities;HF2: Private sector;2008;88.0
1021;HP.2.1:Nursing care facilities;HF2: Private sector;2009;33.0
1022;HP.2.1:Nursing care facilities;HF2: Private sector;2010;30.0
1023;HP.2.1:Nursing care facilities;HF2: Private sector;2011;27.0
1024;HP.2.1:Nursing care facilities;HF2: Private sector;2012;21.0
1025;HP.2.1:Nursing care facilities;HF2: Private sector;2013;18.0
1026;HP.2.1:Nursing care facilities;HF21: Private social insurance;2005;30.0
1027;HP.2.1:Nursing care facilities;HF21: Private social insurance;2006;
1028;HP.2.1:Nursing care facilities;HF21: Private social insurance;2007;
1029;HP.2.1:Nursing care facilities;HF21: Private social insurance;2008;
1030;HP.2.1:Nursing care facilities;HF21: Private social insurance;2009;
1031;HP.2.1:Nursing care facilities;HF21: Private social insurance;2010;
