ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
2702;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Gelderland (PV);2020;19.53;26.48
2703;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Gelderland (PV);2021;20.3;28.41
2704;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Gelderland (PV);2022;23.31;32.4
2705;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Gelderland (PV);2023;21.45;29.53
2706;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2018;27.57;33.48
2707;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2019;29.53;37.72
2708;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2020;21.59;29.18
2709;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2021;22.57;30.79
2710;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2022;22.77;32.14
2711;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Utrecht (PV);2023;23.41;33.22
2712;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2018;28.62;37.16
2713;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2019;24.46;38.35
2714;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2020;19.56;29.93
2715;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2021;21.75;33.05
2716;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2022;22.99;33.65
2717;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Holland (PV);2023;20.67;32.5
2718;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;24.52;33.35
2719;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;21.39;30.95
2720;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;19.74;29.8
2721;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;20.11;31.89
2722;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;19.25;29.13
2723;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;22.34;33.75
2724;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2018;23.45;31.99
2725;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2019;35.37;40.15
2726;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2020;28.74;38.49
2727;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2021;24.03;28.7
2728;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2022;26.53;33.31
2729;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Zeeland (PV);2023;25.42;28.58
2730;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;21.43;29.46
2731;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;22.37;29.35
2732;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;15.82;23.59
2733;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;15.97;24.39
2734;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;17.64;26.81
2735;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;19.84;28.3
2736;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2018;18.37;24.54
2737;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2019;18.85;25.75
2738;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2020;17.69;26.86
2739;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2021;16.62;24.91
2740;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2022;20.44;28.15
2741;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Limburg (PV);2023;20.25;27.94
2742;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2018;27.52;38.19
2743;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2019;26.45;39.68
2744;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2020;21.94;34.19
2745;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2021;23.56;35.29
2746;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2022;23.3;34.79
2747;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Extremely urbanised;2023;23.74;38.37
2748;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2018;24.92;31.65
2749;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2019;23.8;31.78
2750;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2020;19.12;26.89
2751;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2021;19.7;28.69
2752;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2022;21.31;30.42
2753;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Strongly urbanised;2023;20.52;29.2
2754;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2018;23.67;31.28
2755;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2019;22.22;28.73
2756;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2020;17.14;27.03
2757;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2021;18.23;27.09
2758;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2022;19.29;28.69
2759;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Moderately urbanised;2023;20.08;27.93
2760;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2018;22.13;27.35
2761;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2019;20.76;26.92
2762;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2020;16.87;24.26
2763;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2021;16.67;24.44
2764;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2022;18.72;25.8
2765;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Hardly urbanised;2023;18.69;25.37
2766;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2018;24.73;30.18
2767;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2019;24.54;32.96
2768;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2020;17.47;24.54
2769;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2021;19.84;28.4
2770;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2022;20.09;27.63
2771;Total;Population 6 years or older;Visits including staying overnight;Upper bound 95% confidence interval;Not urbanised;2023;23.42;31.24
2772;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2018;11.98;28.1
2773;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2019;13.09;28.99
2774;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2020;11.23;31.8
2775;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2021;12.55;34.91
2776;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2022;11.84;30.27
2777;Total;Population 6 years or older;Leisure, sports;Value;The Netherlands;2023;12.63;29.65
2778;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2018;13.41;29.25
2779;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2019;15.3;30.67
2780;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2020;12.63;31.43
2781;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2021;15.02;37.92
2782;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2022;14.75;33.39
2783;Total;Population 6 years or older;Leisure, sports;Value;Noord-Nederland (LD);2023;13.88;29.39
2784;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2018;13.1;27.03
2785;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2019;13.06;28.01
2786;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2020;12.12;30.46
2787;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2021;12.85;33.46
2788;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2022;12.59;29.65
2789;Total;Population 6 years or older;Leisure, sports;Value;Oost-Nederland (LD);2023;13.51;28.7
2790;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2018;11.32;28.78
2791;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2019;13.01;30.11
2792;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2020;11.04;33.76
2793;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2021;12.49;36.25
2794;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2022;11.13;30.83
2795;Total;Population 6 years or older;Leisure, sports;Value;West-Nederland (LD);2023;12.15;30.47
2796;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2018;11.76;27.07
2797;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2019;12.31;26.62
2798;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2020;10.13;28.75
2799;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2021;11.33;31.81
2800;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2022;11.5;28.23
2801;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Nederland (LD);2023;12.35;28.75
2802;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2018;13.28;30.29
2803;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2019;16.2;33.35
2804;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2020;14.92;36.03
2805;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2021;15.37;36.32
2806;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2022;13.6;31.66
2807;Total;Population 6 years or older;Leisure, sports;Value;Groningen (PV);2023;13.41;30.98
2808;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2018;12.59;27.84
2809;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2019;15.48;32.08
2810;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2020;12.89;30.98
2811;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2021;15.84;37.06
2812;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2022;15.83;35.04
2813;Total;Population 6 years or older;Leisure, sports;Value;Fryslân (PV);2023;13.5;28.79
2814;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2018;14.6;29.69
2815;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2019;14.12;26.01
2816;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2020;9.6;26.75
2817;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2021;13.39;41.09
2818;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2022;14.69;33.28
2819;Total;Population 6 years or older;Leisure, sports;Value;Drenthe (PV);2023;15.04;27.97
2820;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2018;11.68;25.4
2821;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2019;14.57;27.88
2822;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2020;12.0;29.95
2823;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2021;10.71;31.42
2824;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2022;12.43;26.79
2825;Total;Population 6 years or older;Leisure, sports;Value;Overijssel (PV);2023;13.83;28.84
2826;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2018;14.18;27.79
2827;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2019;15.01;28.58
2828;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2020;14.48;33.57
2829;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2021;19.38;44.67
2830;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2022;17.24;34.72
2831;Total;Population 6 years or older;Leisure, sports;Value;Flevoland (PV);2023;15.82;31.89
2832;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2018;13.71;27.81
2833;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2019;11.95;27.99
2834;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2020;11.77;30.19
2835;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2021;13.03;32.87
2836;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2022;11.89;30.39
2837;Total;Population 6 years or older;Leisure, sports;Value;Gelderland (PV);2023;12.87;28.0
2838;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2018;11.37;27.72
2839;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2019;13.04;26.62
2840;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2020;10.77;31.67
2841;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2021;11.63;32.67
2842;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2022;12.08;29.18
2843;Total;Population 6 years or older;Leisure, sports;Value;Utrecht (PV);2023;13.5;28.83
2844;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2018;11.33;28.75
2845;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2019;12.57;31.64
2846;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2020;11.12;33.26
2847;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2021;12.39;38.11
2848;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2022;11.0;32.34
2849;Total;Population 6 years or older;Leisure, sports;Value;Noord-Holland (PV);2023;12.03;32.14
2850;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2018;11.21;29.33
2851;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2019;13.45;31.09
2852;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2020;10.8;35.1
2853;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2021;12.91;36.6
2854;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2022;10.93;30.72
2855;Total;Population 6 years or older;Leisure, sports;Value;Zuid-Holland (PV);2023;11.95;30.77
2856;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2018;12.06;27.61
2857;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2019;11.89;22.8
2858;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2020;13.54;33.14
2859;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2021;12.6;32.29
2860;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2022;10.15;26.77
2861;Total;Population 6 years or older;Leisure, sports;Value;Zeeland (PV);2023;9.71;21.94
2862;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2018;11.69;26.97
2863;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2019;12.29;26.74
2864;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2020;10.59;29.94
2865;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2021;11.3;30.96
2866;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2022;11.84;28.87
2867;Total;Population 6 years or older;Leisure, sports;Value;Noord-Brabant (PV);2023;13.32;29.66
2868;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2018;11.92;27.27
2869;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2019;12.36;26.33
2870;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2020;9.0;25.81
2871;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2021;11.42;33.84
2872;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2022;10.68;26.64
2873;Total;Population 6 years or older;Leisure, sports;Value;Limburg (PV);2023;9.92;26.43
2874;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2018;10.84;30.1
2875;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2019;11.52;31.35
2876;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2020;10.26;35.29
2877;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2021;12.08;38.39
2878;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2022;10.34;32.39
2879;Total;Population 6 years or older;Leisure, sports;Value;Extremely urbanised;2023;11.22;32.46
2880;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2018;12.23;28.58
2881;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2019;13.54;29.53
2882;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2020;11.03;31.7
2883;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2021;12.83;35.01
2884;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2022;11.95;30.04
2885;Total;Population 6 years or older;Leisure, sports;Value;Strongly urbanised;2023;13.75;30.24
2886;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2018;10.66;26.9
2887;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2019;12.96;28.63
2888;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2020;11.31;29.9
2889;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2021;12.66;33.05
2890;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2022;11.44;29.15
2891;Total;Population 6 years or older;Leisure, sports;Value;Moderately urbanised;2023;11.92;27.61
2892;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2018;13.61;26.54
2893;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2019;13.66;25.79
2894;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2020;11.38;29.65
2895;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2021;12.51;32.12
2896;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2022;13.25;29.0
2897;Total;Population 6 years or older;Leisure, sports;Value;Hardly urbanised;2023;12.77;27.69
2898;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2018;12.72;26.89
2899;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2019;15.02;29.31
2900;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2020;14.63;30.64
2901;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2021;13.04;34.31
2902;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2022;13.68;29.85
2903;Total;Population 6 years or older;Leisure, sports;Value;Not urbanised;2023;14.64;26.97
2904;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2018;11.53;27.46
2905;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2019;12.55;28.26
2906;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2020;10.74;31.01
2907;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2021;12.04;34.08
2908;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2022;11.41;29.59
2909;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;The Netherlands;2023;12.18;29.03
2910;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;11.97;26.73
2911;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;13.24;27.77
2912;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;10.77;28.64
2913;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;12.58;33.99
2914;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;12.78;30.82
2915;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;11.92;26.98
2916;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;11.9;25.54
2917;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;11.91;26.43
2918;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;10.91;28.69
2919;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;11.67;31.68
2920;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;11.62;28.09
2921;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;12.38;27.35
2922;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2018;10.74;27.93
2923;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2019;12.22;29.08
2924;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2020;10.39;32.64
2925;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2021;11.83;35.13
2926;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2022;10.57;29.94
2927;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;West-Nederland (LD);2023;11.56;29.64
2928;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;10.8;25.72
2929;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;11.26;25.14
2930;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;9.17;27.16
2931;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;10.3;30.07
2932;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;10.54;26.73
2933;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;11.48;27.35
2934;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2018;10.88;25.45
2935;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2019;11.88;27.97
2936;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2020;10.52;30.39
2937;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2021;10.08;30.59
2938;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2022;10.42;27.85
2939;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Groningen (PV);2023;10.45;26.74
2940;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2018;10.41;24.44
2941;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2019;12.51;26.88
2942;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2020;10.42;26.67
2943;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2021;12.09;31.42
2944;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2022;12.19;30.39
2945;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Fryslân (PV);2023;10.61;25.33
2946;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2018;11.62;24.95
2947;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2019;10.69;21.9
2948;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2020;7.29;22.49
2949;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2021;10.22;31.55
2950;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2022;11.51;28.44
2951;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Drenthe (PV);2023;10.44;23.02
2952;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2018;10.04;23.22
2953;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2019;11.98;25.06
2954;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2020;9.61;26.97
2955;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2021;9.11;28.43
2956;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2022;10.43;24.73
2957;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Overijssel (PV);2023;11.58;26.24
2958;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2018;11.48;24.57
2959;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2019;11.83;24.42
2960;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2020;11.3;27.33
2961;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2021;14.46;38.79
2962;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2022;14.42;30.98
2963;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Flevoland (PV);2023;13.25;27.82
2964;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2018;11.92;25.61
2965;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2019;10.69;25.88
