ID;EarningGroups;CharacteristicsEmployee;CaribbeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
5345;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2016;2340.0;24320.0
5346;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2017;2460.0;24440.0
5347;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2018;2600.0;24360.0
5348;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2019;2620.0;24280.0
5349;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2020;2660.0;24320.0
5350;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2021;2820.0;24440.0
5351;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Caribbean Netherlands;2022;3060.0;24420.0
5352;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2011;1330.0;24280.0
5353;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2012;1420.0;24150.0
5354;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2013;1560.0;24180.0
5355;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2014;1600.0;24220.0
5356;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2015;1790.0;24250.0
5357;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2016;1950.0;24200.0
5358;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2017;2070.0;24330.0
5359;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2018;2180.0;24340.0
5360;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2019;2210.0;24280.0
5361;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2020;2230.0;24250.0
5362;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2021;2350.0;24390.0
5363;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Bonaire;2022;2580.0;24330.0
5364;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2011;200.0;24700.0
5365;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2012;160.0;24550.0
5366;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2013;180.0;24810.0
5367;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2014;200.0;25610.0
5368;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2015;210.0;25630.0
5369;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2016;210.0;25390.0
5370;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2017;210.0;25430.0
5371;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2018;230.0;24530.0
5372;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2019;200.0;24260.0
5373;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2020;230.0;24620.0
5374;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2021;270.0;24690.0
5375;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;St. Eustatius;2022;300.0;24660.0
5376;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2011;140.0;24170.0
5377;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2012;140.0;24440.0
5378;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2013;150.0;24610.0
5379;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2014;170.0;24410.0
5380;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2015;160.0;24570.0
5381;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2016;180.0;24390.0
5382;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2017;180.0;24580.0
5383;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2018;200.0;24330.0
5384;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2019;210.0;24340.0
5385;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2020;200.0;24790.0
5386;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2021;200.0;24660.0
5387;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Saba;2022;180.0;25380.0
5388;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2011;;
5389;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2012;;
5390;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2013;;
5391;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2014;;
5392;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2015;;
5393;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2016;;
5394;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2017;;
5395;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2018;;
5396;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2019;;
5397;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2020;;
5398;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2021;;
5399;Gross annual wage: 20,000 to 29,999 d...;Age: 21 years or older;Unclassificable;2022;;
5400;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2011;870.0;34500.0
5401;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2012;980.0;34400.0
5402;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2013;1110.0;34560.0
5403;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2014;1220.0;34780.0
5404;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2015;1260.0;34740.0
5405;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2016;1330.0;34700.0
5406;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2017;1390.0;34680.0
5407;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2018;1420.0;34550.0
5408;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2019;1490.0;34610.0
5409;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2020;1470.0;34690.0
5410;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2021;1630.0;34570.0
5411;Gross annual wage: 30,000 to 39,999 d...;Total;Caribbean Netherlands;2022;1770.0;34670.0
5412;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2011;690.0;34350.0
5413;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2012;760.0;34310.0
5414;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2013;860.0;34460.0
5415;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2014;940.0;34800.0
5416;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2015;960.0;34690.0
5417;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2016;1020.0;34630.0
5418;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2017;1090.0;34600.0
5419;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2018;1120.0;34540.0
5420;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2019;1230.0;34560.0
5421;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2020;1190.0;34660.0
5422;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2021;1330.0;34530.0
5423;Gross annual wage: 30,000 to 39,999 d...;Total;Bonaire;2022;1440.0;34660.0
5424;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2011;120.0;35070.0
5425;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2012;150.0;34700.0
5426;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2013;180.0;35130.0
5427;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2014;200.0;34920.0
5428;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2015;200.0;35170.0
5429;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2016;210.0;35040.0
5430;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2017;200.0;35060.0
5431;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2018;180.0;34820.0
5432;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2019;150.0;35020.0
5433;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2020;150.0;34890.0
5434;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2021;180.0;34570.0
5435;Gross annual wage: 30,000 to 39,999 d...;Total;St. Eustatius;2022;180.0;34900.0
5436;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2011;50.0;35050.0
5437;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2012;70.0;34780.0
5438;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2013;70.0;34290.0
5439;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2014;80.0;34250.0
5440;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2015;100.0;34260.0
5441;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2016;100.0;34670.0
5442;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2017;100.0;34760.0
5443;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2018;120.0;34330.0
5444;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2019;110.0;34620.0
5445;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2020;120.0;34680.0
5446;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2021;120.0;34920.0
5447;Gross annual wage: 30,000 to 39,999 d...;Total;Saba;2022;150.0;34570.0
5448;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2011;;
5449;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2012;;
5450;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2013;;
5451;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2014;;
5452;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2015;;
5453;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2016;;
5454;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2017;;
5455;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2018;;
5456;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2019;;
5457;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2020;;
5458;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2021;;
5459;Gross annual wage: 30,000 to 39,999 d...;Total;Unclassificable;2022;;
5460;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2011;390.0;34670.0
5461;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2012;420.0;34270.0
5462;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2013;470.0;34530.0
5463;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2014;490.0;34730.0
5464;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2015;530.0;34630.0
5465;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2016;580.0;34470.0
5466;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2017;610.0;34560.0
5467;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2018;630.0;34570.0
5468;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2019;680.0;34610.0
5469;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2020;720.0;34610.0
5470;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2021;770.0;34570.0
5471;Gross annual wage: 30,000 to 39,999 d...;3000;Caribbean Netherlands;2022;850.0;34730.0
5472;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2011;320.0;34560.0
5473;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2012;320.0;34060.0
5474;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2013;370.0;34400.0
5475;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2014;400.0;34690.0
5476;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2015;420.0;34460.0
5477;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2016;450.0;34320.0
5478;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2017;500.0;34410.0
5479;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2018;520.0;34510.0
5480;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2019;570.0;34580.0
5481;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2020;590.0;34620.0
5482;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2021;630.0;34610.0
5483;Gross annual wage: 30,000 to 39,999 d...;3000;Bonaire;2022;690.0;34750.0
5484;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2011;50.0;35200.0
5485;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2012;70.0;35090.0
5486;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2013;70.0;35470.0
5487;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2014;70.0;35240.0
5488;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2015;80.0;35650.0
5489;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2016;80.0;35370.0
5490;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2017;70.0;35390.0
5491;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2018;70.0;35170.0
5492;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2019;60.0;35230.0
5493;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2020;70.0;34760.0
5494;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2021;80.0;34130.0
5495;Gross annual wage: 30,000 to 39,999 d...;3000;St. Eustatius;2022;90.0;34720.0
5496;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2011;20.0;35060.0
5497;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2012;30.0;34800.0
5498;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2013;30.0;33860.0
5499;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2014;30.0;34130.0
5500;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2015;40.0;34420.0
5501;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2016;40.0;34200.0
5502;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2017;30.0;34860.0
5503;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2018;40.0;34170.0
5504;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2019;50.0;34210.0
5505;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2020;60.0;34350.0
5506;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2021;60.0;34760.0
5507;Gross annual wage: 30,000 to 39,999 d...;3000;Saba;2022;70.0;34460.0
5508;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2011;;
5509;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2012;;
5510;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2013;;
5511;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2014;;
5512;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2015;;
5513;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2016;;
5514;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2017;;
5515;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2018;;
5516;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2019;;
5517;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2020;;
5518;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2021;;
5519;Gross annual wage: 30,000 to 39,999 d...;3000;Unclassificable;2022;;
5520;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2011;360.0;34370.0
5521;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2012;450.0;34410.0
5522;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2013;510.0;34520.0
5523;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2014;600.0;34850.0
5524;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2015;610.0;34760.0
5525;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2016;640.0;34860.0
5526;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2017;680.0;34710.0
5527;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2018;660.0;34470.0
5528;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2019;690.0;34520.0
5529;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2020;750.0;34760.0
5530;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2021;860.0;34560.0
5531;Gross annual wage: 30,000 to 39,999 d...;4000;Caribbean Netherlands;2022;920.0;34630.0
5532;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2011;290.0;34190.0
5533;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2012;360.0;34380.0
5534;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2013;410.0;34490.0
5535;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2014;460.0;34890.0
5536;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2015;470.0;34830.0
5537;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2016;490.0;34860.0
5538;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2017;520.0;34700.0
5539;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2018;520.0;34500.0
5540;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2019;570.0;34470.0
5541;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2020;600.0;34710.0
5542;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2021;710.0;34460.0
5543;Gross annual wage: 30,000 to 39,999 d...;4000;Bonaire;2022;750.0;34570.0
5544;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2011;50.0;35010.0
5545;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2012;60.0;34600.0
5546;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2013;70.0;34760.0
5547;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2014;100.0;34750.0
5548;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2015;90.0;34840.0
5549;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2016;100.0;34740.0
5550;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2017;110.0;34650.0
5551;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2018;90.0;34550.0
5552;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2019;70.0;34750.0
5553;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2020;80.0;34990.0
5554;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2021;90.0;34970.0
5555;Gross annual wage: 30,000 to 39,999 d...;4000;St. Eustatius;2022;90.0;35090.0
5556;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2011;20.0;35130.0
5557;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2012;30.0;34460.0
5558;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2013;30.0;34370.0
5559;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2014;40.0;34610.0
5560;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2015;50.0;34030.0
5561;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2016;40.0;35140.0
5562;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2017;50.0;34950.0
5563;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2018;50.0;34080.0
5564;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2019;50.0;34720.0
5565;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2020;60.0;35020.0
5566;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2021;60.0;35090.0
5567;Gross annual wage: 30,000 to 39,999 d...;4000;Saba;2022;80.0;34660.0
5568;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2011;;
5569;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2012;;
5570;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2013;;
5571;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2014;;
5572;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2015;;
5573;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2016;;
5574;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2017;;
5575;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2018;;
5576;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2019;;
5577;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2020;;
5578;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2021;;
5579;Gross annual wage: 30,000 to 39,999 d...;4000;Unclassificable;2022;;
5580;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2011;110.0;34340.0
5581;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2012;110.0;34840.0
5582;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2013;130.0;34810.0
5583;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2014;130.0;34670.0
5584;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2015;110.0;35050.0
5585;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2016;110.0;34950.0
5586;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2017;100.0;35180.0
5587;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2018;130.0;34920.0
5588;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2019;120.0;35130.0
5589;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2020;;
5590;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2021;;
5591;Gross annual wage: 30,000 to 39,999 d...;9000;Caribbean Netherlands;2022;;
5592;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2011;80.0;34120.0
5593;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2012;80.0;35040.0
5594;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2013;80.0;34600.0
5595;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2014;80.0;34840.0
5596;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2015;80.0;35110.0
5597;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2016;80.0;34990.0
5598;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2017;70.0;35230.0
5599;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2018;80.0;34920.0
5600;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2019;90.0;34990.0
5601;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2020;;
5602;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2021;;
5603;Gross annual wage: 30,000 to 39,999 d...;9000;Bonaire;2022;;
5604;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2011;20.0;34870.0
5605;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2012;20.0;33850.0
5606;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2013;40.0;35190.0
5607;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2014;30.0;34750.0
5608;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2015;30.0;34950.0
5609;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2016;20.0;35120.0
5610;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2017;20.0;35820.0
5611;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2018;20.0;34680.0
5612;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2019;10.0;35420.0
5613;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2020;;
5614;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2021;;
5615;Gross annual wage: 30,000 to 39,999 d...;9000;St. Eustatius;2022;;
5616;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2011;10.0;34830.0
5617;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2012;10.0;35530.0
5618;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2013;10.0;35160.0
5619;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2014;10.0;33440.0
5620;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2015;10.0;34900.0
5621;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2016;10.0;34410.0
5622;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2017;10.0;33450.0
5623;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2018;30.0;35110.0
5624;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2019;10.0;35750.0
5625;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2020;;
5626;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2021;;
5627;Gross annual wage: 30,000 to 39,999 d...;9000;Saba;2022;;
5628;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2011;;
5629;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2012;;
5630;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2013;;
5631;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2014;;
5632;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2015;;
5633;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2016;;
5634;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2017;;
5635;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2018;;
5636;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2019;;
5637;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2020;;
5638;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2021;;
5639;Gross annual wage: 30,000 to 39,999 d...;9000;Unclassificable;2022;;
5640;Gross annual wage: 30,000 to 39,999 d...;Age: younger than 15 years;Caribbean Netherlands;2011;;
5641;Gross annual wage: 30,000 to 39,999 d...;Age: younger than 15 years;Caribbean Netherlands;2012;;
