ID;PersonalCharacteristics;TypeOfFigure;CarribeanNetherlands;Periods;PersonsWithAtLeast1Contact_1;AverageNumberOfContactsPopulation_2;AverageNumberOfContactsPerPatient_3;IslandOfResidence_4;OtherIslandOrCountry_5;PersonsWithAtLeast1Contact_6;AverageNumberOfContactsPopulation_7;AverageNumberOfContactsPerPatient_8;IslandOfResidence_9;OtherIslandOrCountry_10;PersonsWithAtLeast1Contact_11;AverageNumberOfContactsPopulation_12;AverageNumberOfContactsPerPatient_13;IslandOfResidence_14;OtherIslandOrCountry_15;PersonsWithAtLeast1Contact_16;AverageNumberOfContactsPopulation_17;AverageNumberOfContactsPerPatient_18;IslandOfResidence_19;OtherIslandOrCountry_20;PersonsWithOvernightStays_21;NumberOfAdmissionsPer100Persons_22;NumberOfAdmissionsPer100Patients_23;IslandOfResidence_24;OtherIslandOrCountry_25;PersonsWithDayAdmission_26;NumberOfDayAdmissionsP100Persons_27;NumberOfDayAdmissionsP100Patients_28;IslandOfResidence_29;OtherIslandOrCountry_30;PersonsWithAtLeast1Contact_31;NumberOfContactsPer100Persons_32;NumberOfContactsPer100Patients_33;IslandOfResidence_34;OtherIslandOrCountry_35;PrescribedMedicinesIn14Days_36;NonPrescribedMedicinesIn14Days_37
99;Age: 25 to 44 years;Percentage/average;Bonaire;2013;74.8;7.9;10.6;98.3;;37.2;2.1;5.5;87.3;12.7;57.2;3.9;6.7;92.8;7.2;19.9;1.4;6.8;98.0;;10.7;23.7;;;;9.5;14.7;;;;56.1;97.3;173.5;98.9;;32.0;23.2
100;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;72.4;7.1;9.8;99.5;;31.5;4.5;14.2;94.3;5.7;39.7;1.3;3.3;91.1;8.9;10.0;1.2;;;;10.1;27.7;;;;4.9;5.4;;;;54.3;114.8;211.4;98.8;;23.9;19.3
101;Age: 25 to 44 years;Percentage/average;Bonaire;2021;58.8;4.7;8.1;97.6;;25.6;2.8;11.0;98.8;;50.1;3.4;6.8;97.7;2.3;6.6;1.1;;;;7.9;16.7;;;;6.7;12.5;;;;36.7;85.0;231.4;95.8;;16.9;28.4
102;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;5.1;;;;;;;;;;7.9;13.5;;;;34.3;65.1;;;;8.7;10.1
104;Age: 25 to 44 years;Percentage/average;St. Eustatius;2021;36.7;4.1;11.2;94.4;;21.5;2.0;;;;21.5;1.6;;;;3.2;;;;;6.4;13.2;;;;;;;;;26.0;60.0;;;;8.3;14.0
105;Age: 25 to 44 years;Percentage/average;Saba;2013;65.7;;;;;28.3;;;;;49.7;;;;;;;;;;15.2;;;;;;;;;;30.9;;;;;23.8;30.8
106;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;75.8;3.6;4.7;75.1;24.9;41.1;2.6;;;;;;;;;9.2;0.6;;;;9.2;29.0;;;;13.1;;;;;44.2;122.8;;;;18.5;31.8
107;Age: 25 to 44 years;Percentage/average;Saba;2021;65.7;5.9;9.0;89.7;10.3;28.3;2.7;;;;52.9;2.4;;;;13.7;;;;;4.9;;;;;19.7;;;;;34.5;64.3;;;;19.4;41.2
108;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;5.1;1.6;2.0;3.5;3.5;5.5;0.8;1.9;8.9;8.9;5.7;1.0;1.7;4.9;4.9;4.2;0.4;1.7;8.8;;4.1;48.7;;;;3.6;9.1;;;;5.7;14.7;21.6;3.1;3.1;5.2;5.0
109;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;2.4;0.4;4.1;6.5;;;;;;;2.1;13.8;;;;4.2;19.8;36.5;3.1;3.1;3.2;3.2
110;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2021;4.8;1.2;2.1;3.0;3.0;4.0;0.9;3.3;7.5;7.5;4.7;1.3;3.0;4.3;4.3;2.4;0.6;;;;2.3;;;;;2.6;;;;;4.4;17.3;42.1;3.6;3.6;3.3;4.1
111;Age: 25 to 44 years;Reliability margin;Bonaire;2013;5.7;1.8;2.3;2.3;;6.2;0.8;2.1;6.8;6.8;6.4;1.3;2.1;4.5;4.5;5.1;0.5;1.8;6.3;;4.0;10.6;;;;3.7;6.6;;;;6.5;16.4;21.5;2.1;;6.0;5.6
112;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;4.8;1.5;1.9;0.9;;5.0;1.4;3.8;4.5;4.5;5.2;0.5;1.2;4.9;4.9;3.2;0.7;;;;3.2;15.3;;;;2.3;2.6;;;;5.4;20.9;32.4;1.6;;4.6;4.2
113;Age: 25 to 44 years;Reliability margin;Bonaire;2021;6.6;1.4;2.2;2.7;;5.6;1.4;4.9;2.4;;6.6;2.5;4.9;2.3;2.3;3.0;0.9;;;;3.5;11.3;;;;3.1;9.8;;;;6.3;29.6;68.4;4.3;;4.9;5.8
114;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;3.8;;;;;;;;;;4.7;9.9;;;;8.4;20.5;;;;4.7;5.0
116;Age: 25 to 44 years;Reliability margin;St. Eustatius;2021;8.3;1.8;4.2;7.5;;6.9;0.9;;;;6.7;0.9;;;;3.1;;;;;4.2;10.1;;;;;;;;;7.3;22.0;;;;4.5;5.6
117;Age: 25 to 44 years;Reliability margin;Saba;2013;14.0;;;;;13.3;;;;;14.7;;;;;;;;;;11.2;;;;;;;;;;13.3;;;;;12.9;13.5
118;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;8.7;1.6;2.0;10.1;10.1;9.9;2.0;;;;;;;;;5.8;0.5;;;;5.8;28.5;;;;6.8;;;;;10.0;84.0;;;;7.8;9.4
119;Age: 25 to 44 years;Reliability margin;Saba;2021;11.2;3.9;5.8;8.3;8.3;10.1;2.5;;;;11.4;1.1;;;;7.8;;;;;4.3;;;;;9.3;;;;;10.9;26.4;;;;8.9;11.3
120;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;78.5;7.8;10.0;92.6;7.4;49.3;5.0;10.1;68.3;31.7;57.1;3.8;6.7;84.2;15.8;23.0;2.5;10.8;100.0;;13.0;26.5;;;;10.5;29.7;;;;60.1;112.0;186.4;93.1;6.9;45.4;24.5
121;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;12.5;1.8;14.3;93.6;6.4;;;;;;11.9;30.2;253.4;66.0;34.0;56.2;126.4;224.9;94.3;5.7;37.9;20.4
122;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2021;61.3;6.1;10.0;95.9;4.1;32.5;3.6;11.0;82.6;17.4;41.3;2.8;6.8;92.0;8.0;10.8;1.2;10.8;98.4;;6.6;23.0;;;;8.4;21.7;;;;46.5;114.0;245.3;96.5;3.5;35.8;29.1
123;Age: 45 to 64 years;Percentage/average;Bonaire;2013;78.8;7.3;9.3;100.0;;47.1;4.2;8.8;89.5;10.5;58.4;4.3;7.3;90.1;9.9;25.4;2.8;11.0;100.0;;10.7;14.2;;;;8.7;11.3;;;;61.4;117.9;191.8;97.6;;46.8;24.5
124;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;75.4;7.0;9.3;98.8;;46.6;4.5;9.5;86.5;13.5;49.8;2.2;4.3;86.7;13.3;11.3;2.1;;;;11.9;31.5;;;;11.0;24.5;;;;60.3;136.9;226.8;96.3;3.7;42.4;18.9
125;Age: 45 to 64 years;Percentage/average;Bonaire;2021;66.1;6.8;10.3;98.9;;34.5;4.1;12.0;96.6;;49.3;3.0;6.1;93.2;6.8;10.6;1.6;;;;7.0;18.1;;;;7.2;7.2;;;;51.2;145.5;284.0;96.5;3.5;38.0;31.0
126;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;76.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.1
127;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;12.9;0.5;;;;;;;;;10.6;30.5;;;;48.1;92.2;191.7;92.5;7.5;17.0;12.3
128;Age: 45 to 64 years;Percentage/average;St. Eustatius;2021;47.8;4.4;9.2;92.7;7.3;28.4;3.3;;;;26.5;1.7;;;;8.1;0.2;;;;5.6;18.7;;;;2.3;;;;;36.6;65.5;179.0;;;21.8;16.9
129;Age: 45 to 64 years;Percentage/average;Saba;2013;;6.2;;;;;2.5;;;;;2.6;;;;;2.2;;;;;;;;;;;;;;;;89.5;;;;
130;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;70.3;10.2;14.6;86.2;13.8;34.2;3.1;;;;;;;;;17.6;2.6;;;;8.9;;;;;19.1;60.1;;;;49.4;133.2;;;;54.9;43.5
131;Age: 45 to 64 years;Percentage/average;Saba;2021;68.9;6.7;9.7;90.1;9.9;33.4;2.4;;;;41.1;4.1;;;;16.2;1.3;;;;6.8;45.8;;;;22.1;91.6;;;;48.2;97.1;;;;54.5;45.4
132;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;4.4;1.6;1.9;3.9;3.9;5.3;1.7;3.3;7.7;7.7;5.3;1.0;1.6;5.8;5.8;4.4;1.0;3.8;;;3.8;15.7;;;;3.3;22.8;;;;5.2;17.7;25.2;4.2;4.2;5.3;4.5
133;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;2.7;0.7;4.5;5.7;5.7;;;;;;2.6;13.9;102.3;11.3;11.3;4.0;18.0;27.6;2.5;2.5;3.9;3.2
134;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2021;4.3;1.0;1.5;2.2;2.2;4.1;0.9;2.4;6.3;6.3;4.3;0.8;1.9;3.8;3.8;2.7;0.6;4.6;3.2;;2.3;12.0;;;;2.6;12.6;;;;4.4;38.2;79.3;2.5;2.5;4.2;3.9
135;Age: 45 to 64 years;Reliability margin;Bonaire;2013;4.9;1.7;2.1;;;5.9;1.6;3.3;5.6;5.6;5.8;1.2;2.0;5.3;5.3;5.1;1.2;4.4;;;3.6;5.3;;;;3.3;5.3;;;;5.8;21.1;29.5;2.8;;5.9;5.0
136;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;4.4;1.2;1.4;1.3;;5.0;1.0;1.8;5.1;5.1;5.0;0.8;1.5;4.9;4.9;3.2;1.0;;;;3.3;12.8;;;;3.2;17.2;;;;4.9;23.1;33.5;2.5;2.5;5.0;3.9
137;Age: 45 to 64 years;Reliability margin;Bonaire;2021;5.6;1.6;2.2;1.6;;5.6;1.4;3.5;3.6;;5.9;0.8;1.5;4.5;4.5;3.7;1.0;;;;3.2;14.9;;;;3.2;3.2;;;;5.9;68.7;130.5;3.2;3.2;5.7;5.5
138;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.1
139;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;5.8;0.4;;;;;;;;;5.3;24.8;;;;8.7;23.5;34.7;6.6;6.6;6.2;5.4
140;Age: 45 to 64 years;Reliability margin;St. Eustatius;2021;8.1;1.5;2.7;5.8;5.8;7.2;1.6;;;;7.1;0.8;;;;4.3;0.1;;;;3.7;16.5;;;;2.3;;;;;7.6;18.3;32.7;;;6.3;5.7
141;Age: 45 to 64 years;Reliability margin;Saba;2013;;3.6;;;;;1.5;;;;;2.6;;;;;1.6;;;;;;;;;;;;;;;;38.2;;;;
142;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;10.6;4.4;6.0;9.5;9.5;11.0;1.6;;;;;;;;;8.8;2.0;;;;6.6;;;;;9.2;47.3;;;;11.5;65.5;;;;11.5;11.5
143;Age: 45 to 64 years;Reliability margin;Saba;2021;10.7;2.3;3.0;7.3;7.3;10.8;1.3;;;;11.2;3.8;;;;7.9;1.2;;;;5.7;43.7;;;;9.7;68.1;;;;11.5;43.1;;;;11.4;11.4
144;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;85.3;11.2;13.1;94.9;;51.6;3.5;6.8;66.2;33.8;41.4;2.2;5.2;88.0;12.0;23.2;2.3;;;;12.3;46.6;;;;9.6;14.5;;;;67.8;156.9;231.4;93.2;6.8;65.8;29.8
145;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;15.7;1.6;;;;;;;;;9.9;31.9;;;;74.9;159.2;212.5;92.0;8.0;56.0;22.9
146;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2021;70.2;9.0;12.9;96.6;3.4;51.3;4.5;8.7;85.3;14.7;28.6;2.1;7.2;86.0;14.0;14.4;1.4;;;;15.6;99.6;;;;14.2;63.2;;;;64.1;175.2;273.4;96.4;3.6;51.7;29.4
147;Age: 65 years or older;Percentage/average;Bonaire;2013;88.7;12.5;14.1;96.6;;51.8;3.7;7.1;82.9;17.1;39.0;2.6;;;;25.4;2.8;;;;11.8;28.4;;;;9.8;12.5;;;;68.3;150.7;220.8;97.3;;68.5;28.0
148;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;82.6;8.4;10.2;98.2;;61.7;7.5;12.3;90.5;9.5;35.5;1.4;3.8;92.6;7.4;14.6;2.0;;;;11.9;45.6;;;;8.2;38.1;;;;74.4;165.5;222.6;97.2;;63.9;19.6
149;Age: 65 years or older;Percentage/average;Bonaire;2021;71.9;8.3;11.5;;;50.3;3.4;6.7;98.5;;34.5;3.0;;;;15.0;;;;;12.1;50.4;;;;7.8;7.8;;;;61.9;203.6;328.8;98.8;;54.3;33.3
150;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;22.1
152;Age: 65 years or older;Percentage/average;St. Eustatius;2021;62.9;8.4;;;;43.7;4.7;;;;11.8;;;;;13.3;;;;;15.4;;;;;11.6;24.5;;;;59.7;116.5;;;;26.2;14.9
153;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Age: 65 years or older;Percentage/average;Saba;2017/2018;77.5;6.9;;;;28.5;;;;;;;;;;10.5;;;;;14.7;;;;;11.3;;;;;70.3;157.2;;;;59.4;37.8
155;Age: 65 years or older;Percentage/average;Saba;2021;75.6;11.9;15.7;93.7;6.3;64.3;7.0;;;;36.5;1.7;;;;14.2;1.4;;;;25.2;299.5;;;;34.1;256.8;;;;75.4;179.8;238.6;89.9;10.1;80.9;40.1
156;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;6.2;3.3;3.8;5.3;;8.4;1.3;2.2;11.4;11.4;8.4;1.3;2.8;11.3;11.3;7.2;1.1;;;;5.6;36.8;;;;5.0;8.4;;;;7.9;34.9;45.0;5.5;5.5;8.0;7.6
157;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;4.8;0.9;;;;;;;;;3.9;24.2;;;;5.7;23.8;27.4;4.1;4.1;6.3;5.4
158;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2021;5.9;2.3;3.1;2.7;2.7;6.6;1.0;1.7;5.9;5.9;5.9;0.9;2.8;8.4;8.4;4.8;1.2;;;;4.7;58.1;;;;4.5;37.7;;;;6.3;46.4;67.6;2.5;2.5;6.5;5.9
159;Age: 65 years or older;Reliability margin;Bonaire;2013;5.9;4.1;4.6;6.1;;9.5;1.5;2.6;10.1;10.1;9.2;1.6;;;;8.4;1.4;;;;6.3;24.0;;;;5.8;7.8;;;;8.7;35.9;44.9;5.0;;8.8;8.7
160;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;6.2;2.2;2.6;2.4;;8.0;3.5;5.5;6.2;6.2;7.9;0.7;1.9;7.3;7.3;5.8;1.3;;;;5.4;33.5;;;;4.5;36.2;;;;7.2;30.4;34.8;3.2;;7.9;6.5
161;Age: 65 years or older;Reliability margin;Bonaire;2021;7.9;2.7;3.6;;;9.2;1.0;1.7;2.9;;8.8;1.7;;;;6.9;;;;;6.2;49.4;;;;5.4;5.4;;;;8.8;83.0;126.2;2.4;;9.1;8.8
162;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.4;10.9
164;Age: 65 years or older;Reliability margin;St. Eustatius;2021;13.3;6.1;;;;13.9;2.6;;;;8.9;;;;;10.1;;;;;9.9;;;;;8.9;22.7;;;;13.8;42.4;;;;11.9;10.1
165;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Age: 65 years or older;Reliability margin;Saba;2017/2018;14.0;3.9;;;;15.2;;;;;;;;;;10.4;;;;;11.9;;;;;10.6;;;;;15.4;80.9;;;;16.5;16.3
167;Age: 65 years or older;Reliability margin;Saba;2021;10.3;3.7;4.3;6.1;6.1;11.4;2.2;;;;11.5;1.0;;;;8.3;1.1;;;;10.2;246.9;;;;11.2;173.2;;;;10.2;43.9;49.4;7.8;7.8;9.1;11.4
168;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;75.9;8.1;10.7;94.0;6.0;37.7;4.0;10.7;70.8;29.2;50.9;3.7;7.2;93.1;6.9;18.7;1.8;9.4;98.9;;12.6;44.3;351.2;72.1;27.9;9.4;16.8;179.8;69.6;30.4;55.1;104.6;189.9;95.3;4.7;39.5;23.3
169;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;8.9;0.8;9.4;95.1;4.9;;;;;;7.6;27.6;364.6;65.1;34.9;53.2;112.1;211.0;94.9;5.1;30.0;16.3
170;Level of education: Low;Percentage/average;Caribbean Netherlands ;2021;52.5;5.6;10.7;95.6;4.4;32.2;2.9;9.1;87.2;12.8;32.3;2.2;6.9;95.1;4.9;8.1;1.2;14.9;96.5;;8.0;42.9;536.7;69.1;30.9;8.3;29.0;349.6;81.7;18.3;42.4;118.0;278.3;96.2;3.8;29.5;22.9
171;Level of education: Low;Percentage/average;Bonaire;2013;77.0;8.2;10.7;99.1;;37.2;3.5;9.3;92.8;7.2;51.3;4.4;8.5;96.1;3.9;20.4;1.9;9.5;98.6;;9.5;13.6;;;;7.4;11.1;;;;56.6;105.5;186.2;98.2;;43.6;21.1
172;Level of education: Low;Percentage/average;Bonaire;2017/2018;72.9;7.9;10.8;98.8;1.2;37.4;3.8;10.2;88.7;11.3;37.6;1.6;4.3;93.2;6.8;7.3;0.8;;;;10.9;30.0;274.7;77.1;22.9;5.8;19.2;;;;57.6;117.7;204.4;98.0;2.0;36.0;16.4
173;Level of education: Low;Percentage/average;Bonaire;2021;57.5;6.2;10.9;98.0;;34.0;3.2;9.3;96.8;3.2;35.8;2.4;6.7;94.2;5.8;8.2;1.7;;;;7.7;28.4;;;;7.6;11.0;;;;47.8;158.5;331.2;97.6;2.4;31.9;21.9
174;Level of education: Low;Percentage/average;St. Eustatius;2013;72.2;7.9;11.0;77.7;22.3;42.3;6.7;;;;48.8;1.9;;;;11.7;1.1;;;;24.6;;;;;19.1;40.6;;;;53.1;89.3;;;;28.6;23.0
175;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;10.7;0.5;;;;;;;;;9.7;27.9;;;;42.4;76.4;180.2;91.5;8.5;12.4;7.5
176;Level of education: Low;Percentage/average;St. Eustatius;2021;39.9;3.7;9.4;94.6;5.4;25.4;2.3;9.0;82.4;17.6;22.4;1.5;6.5;98.0;;6.1;0.3;;;;5.7;19.6;;;;3.4;8.9;;;;30.7;53.4;173.7;97.6;;16.0;17.1
177;Level of education: Low;Percentage/average;Saba;2013;74.7;7.6;10.2;;;32.4;3.8;;;;52.2;1.3;;;;16.8;1.3;;;;17.4;;;;;8.1;24.7;;;;43.1;;129.4;;;26.3;47.3
178;Level of education: Low;Percentage/average;Saba;2017/2018;77.3;9.0;11.7;78.9;21.1;35.5;2.8;;;;;;;;;13.6;1.6;;;;16.3;72.5;;;;11.8;;;;;53.7;160.5;298.9;83.4;16.6;40.4;36.2
179;Level of education: Low;Percentage/average;Saba;2021;65.4;8.2;12.5;88.6;11.4;43.3;3.8;8.8;63.8;36.2;44.5;3.7;;;;12.8;1.8;;;;15.2;163.2;;;;24.6;157.3;;;;51.8;128.4;247.8;88.8;11.2;55.3;41.6
180;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;3.8;1.2;1.5;2.7;2.7;4.2;1.1;2.5;6.8;6.8;4.4;0.9;1.6;3.3;3.3;3.3;0.6;2.8;3.7;;2.9;33.8;257.2;11.4;11.4;2.5;6.2;48.2;12.7;12.7;4.4;12.9;18.9;2.6;2.6;4.2;3.6
181;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;1.9;0.3;2.7;4.8;4.8;;;;;;1.8;13.4;156.6;11.6;11.6;3.3;14.2;23.2;2.0;2.0;3.0;2.4
182;Level of education: Low;Reliability margin;Caribbean Netherlands ;2021;3.8;0.9;1.5;2.1;2.1;3.5;0.6;1.6;4.4;4.4;3.5;0.6;1.7;3.0;3.0;2.0;0.6;6.3;4.8;;2.0;19.7;219.4;12.1;12.1;2.1;13.8;149.0;9.8;9.8;3.7;31.2;69.5;2.1;2.1;3.4;3.2
183;Level of education: Low;Reliability margin;Bonaire;2013;4.1;1.5;1.8;1.7;;4.7;0.9;2.2;3.9;3.9;4.9;1.1;2.0;2.9;2.9;3.9;0.7;3.2;4.5;;2.9;5.2;;;;2.5;4.4;;;;4.9;14.1;19.5;1.8;;4.8;4.0
184;Level of education: Low;Reliability margin;Bonaire;2017/2018;3.8;1.3;1.6;1.1;1.1;4.1;0.9;2.1;4.4;4.4;4.1;0.5;1.2;3.5;3.5;2.2;0.4;;;;2.6;11.8;85.4;10.9;10.9;2.0;14.2;;;;4.2;15.2;21.9;1.5;1.5;4.0;3.1
185;Level of education: Low;Reliability margin;Bonaire;2021;5.2;1.1;1.8;2.0;;4.9;1.0;2.6;2.9;2.9;5.0;0.7;1.7;4.1;4.1;2.8;1.1;;;;2.9;19.6;;;;2.8;6.7;;;;5.2;57.6;114.9;2.2;2.2;4.8;4.3
186;Level of education: Low;Reliability margin;St. Eustatius;2013;10.9;2.4;3.1;12.3;12.3;12.1;4.6;;;;12.5;1.0;;;;7.6;1.1;;;;10.8;;;;;10.0;31.0;;;;12.6;34.2;;;;10.0;9.9
187;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;4.0;0.3;;;;;;;;;3.8;17.5;;;;6.5;15.6;24.7;5.6;5.6;4.1;3.3
188;Level of education: Low;Reliability margin;St. Eustatius;2021;6.3;1.7;4.0;4.4;4.4;5.5;0.9;2.6;9.8;9.8;5.2;0.5;1.9;3.9;;3.2;0.2;;;;2.8;12.1;;;;2.4;7.9;;;;5.8;13.3;28.4;3.3;;4.6;4.8
189;Level of education: Low;Reliability margin;Saba;2013;11.5;3.6;4.6;;;11.8;2.1;;;;12.7;1.0;;;;9.7;0.9;;;;10.0;;;;;6.8;23.1;;;;12.6;;62.2;;;10.6;12.7
190;Level of education: Low;Reliability margin;Saba;2017/2018;8.1;3.4;4.2;9.0;9.0;9.2;1.2;;;;;;;;;6.6;1.5;;;;7.1;61.1;;;;6.2;;;;;9.6;79.7;139.2;9.8;9.8;9.4;9.2
191;Level of education: Low;Reliability margin;Saba;2021;10.1;2.4;3.2;8.0;8.0;10.3;1.3;2.5;14.6;14.6;10.6;3.5;;;;6.4;1.4;;;;6.9;124.4;;;;8.9;99.4;;;;10.5;42.7;68.1;8.8;8.8;10.4;10.2
192;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;78.2;8.0;10.2;93.2;6.8;46.2;2.5;5.4;71.0;29.0;59.1;3.6;6.1;83.5;16.5;19.3;1.5;7.8;98.0;;11.5;25.7;;;;10.2;24.7;;;;60.6;110.4;182.3;92.8;7.2;36.3;26.8
193;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;11.5;1.7;;;;;;;;;7.3;15.0;;;;59.8;123.7;206.8;95.1;4.9;32.0;20.9
194;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2021;61.7;6.3;10.2;97.8;2.2;29.2;3.2;10.8;82.7;17.3;47.7;3.7;7.8;90.5;9.5;8.8;0.6;;;;7.9;18.2;;;;9.6;23.9;;;;39.9;73.7;184.4;96.4;3.6;25.7;31.9
195;Level of education: Intermediate;Percentage/average;Bonaire;2013;80.4;7.8;9.6;98.8;;42.9;2.4;5.6;86.6;13.4;59.8;3.9;6.5;92.2;7.8;22.4;1.8;7.9;97.9;;9.1;23.9;;;;9.6;12.2;;;;61.5;118.1;191.9;98.9;;35.8;28.9
196;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;76.3;7.3;9.5;98.9;;40.2;5.5;13.6;93.7;6.3;54.4;2.4;4.5;88.5;11.5;12.2;2.1;;;;10.8;32.5;;;;7.3;10.0;;;;66.0;132.0;200.2;97.3;2.7;36.6;19.6
197;Level of education: Intermediate;Percentage/average;Bonaire;2021;65.8;5.8;8.9;;;27.9;3.6;13.0;96.7;;59.5;5.1;8.5;93.7;6.3;8.6;0.9;;;;6.4;12.4;;;;5.9;5.9;;;;41.5;76.8;185.1;96.6;;26.7;37.5
198;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;6.2;;;;;;;;;;5.9;;;;;52.1;114.4;;;;17.0;14.8
200;Level of education: Intermediate;Percentage/average;St. Eustatius;2021;42.9;7.7;;;;26.2;3.0;;;;26.0;2.4;;;;;;;;;12.4;;;;;;;;;;32.7;60.7;;;;16.7;13.0
201;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Level of education: Intermediate;Percentage/average;Saba;2017/2018;76.8;6.5;;;;34.9;2.6;;;;;;;;;14.2;1.6;;;;11.8;;;;;8.6;;;;;41.4;97.5;;;;31.1;34.5
203;Level of education: Intermediate;Percentage/average;Saba;2021;70.4;6.1;8.7;95.5;;34.9;2.3;;;;43.5;2.1;;;;15.1;0.5;;;;6.9;17.0;;;;25.4;84.2;;;;43.6;79.4;;;;33.4;40.8
204;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;5.1;2.0;2.5;4.2;4.2;6.1;1.3;2.7;8.8;8.8;6.0;1.0;1.6;6.8;6.8;4.8;0.7;3.4;6.2;;4.1;11.6;;;;3.8;22.6;;;;6.0;20.8;29.9;4.9;4.9;5.8;5.3
205;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;3.1;0.9;;;;;;;;;2.5;8.2;;;;4.8;17.9;24.9;2.7;2.7;4.5;3.9
