ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
1215;Foodproducts, beverages and tabacco;2022 November;108.2;-3.5;-4.3;137.3;7.5;11.4
1216;Foodproducts, beverages and tabacco;2022 December;125.5;-7.0;-7.6;161.3;4.7;12.6
1217;Foodproducts, beverages and tabacco;2022 4th quarter;113.3;-5.2;-5.0;143.9;5.7;11.4
1218;Foodproducts, beverages and tabacco;2022;108.6;-4.2;-4.1;133.1;3.6;8.1
1219;Foodproducts, beverages and tabacco;2023 January;100.4;-5.2;-3.9;134.9;8.0;14.0
1220;Foodproducts, beverages and tabacco;2023 February;96.2;-3.4;-3.4;131.5;10.7;14.7
1221;Foodproducts, beverages and tabacco;2023 March;106.7;-3.7;-5.6;146.2;10.6;14.9
1222;Foodproducts, beverages and tabacco;2023 1st quarter;101.1;-4.1;-4.3;137.5;9.8;14.5
1223;Foodproducts, beverages and tabacco;2023 April;102.3;-6.7;-3.6;138.9;6.1;13.7
1224;Foodproducts, beverages and tabacco;2023 May;104.8;-1.7;-3.8;143.2;11.3;13.2
1225;Foodproducts, beverages and tabacco;2023 June;106.9;-0.8;-2.0;148.1;12.2;13.1
1226;Foodproducts, beverages and tabacco;2023 2nd quarter;104.7;-3.1;-3.1;143.4;9.9;13.4
1227;Foodproducts, beverages and tabacco;2023 July;105.6;-5.0;-3.0;144.3;5.9;11.5
1228;Foodproducts, beverages and tabacco;2023 August;101.9;-1.4;-2.5;139.5;8.8;10.3
1229;Foodproducts, beverages and tabacco;2023 September;107.3;-1.1;-1.6;145.7;8.4;9.7
1230;Foodproducts, beverages and tabacco;2023 3rd quarter;105.0;-2.5;-2.3;143.1;7.7;10.5
1231;Foodproducts, beverages and tabacco;2023 October;103.8;-2.4;-1.0;141.5;6.4;8.9
1232;Foodproducts, beverages and tabacco;2023 November;107.9;-0.3;-1.2;146.9;7.0;7.3
1233;Foodproducts, beverages and tabacco;2023 December;124.0;-1.2;1.1;167.7;4.0;5.2
1234;Foodproducts, beverages and tabacco;2023 4th quarter;111.9;-1.3;-0.3;152.0;5.7;7.0
1235;Foodproducts, beverages and tabacco;2023;105.7;-2.7;-2.5;144.0;8.2;11.2
1236;Foodproducts, beverages and tabacco;2024 January;100.6;0.2;-1.9;141.2;4.7;4.5
1237;Foodproducts, beverages and tabacco;2024 February;99.8;3.8;-0.3;140.5;6.8;3.0
1238;Foodproducts, beverages and tabacco;2024 March;107.9;1.1;0.0;152.2;4.1;2.9
1239;Foodproducts, beverages and tabacco;2024 1st quarter;102.8;1.7;-0.7;144.6;5.2;3.4
1240;Foodproducts, beverages and tabacco;2024 April;100.5;-1.8;1.2;140.5;1.2;3.0
1241;Foodproducts, beverages and tabacco;2024 May;106.1;1.2;-1.9;148.9;4.0;2.8
1242;Durable consumer goods;2000;88.5;4.8;4.8;87.8;5.7;0.8
1243;Durable consumer goods;2001;89.2;0.8;1.1;91.9;4.7;3.8
1244;Durable consumer goods;2002;90.8;1.7;1.7;95.2;3.5;1.8
1245;Durable consumer goods;2003;89.7;-1.2;-1.3;93.2;-2.1;-0.9
1246;Durable consumer goods;2004;90.1;0.5;0.1;92.4;-0.9;-1.4
1247;Durable consumer goods;2005;91.2;1.2;1.6;92.8;0.5;-0.7
1248;Durable consumer goods;2006;97.1;6.4;6.6;98.6;6.2;-0.2
1249;Durable consumer goods;2007;102.6;5.7;5.6;104.0;5.5;-0.2
1250;Durable consumer goods;2008;104.8;2.1;1.7;105.6;1.5;-0.6
1251;Durable consumer goods;2009;99.1;-5.5;-5.2;98.7;-6.5;-1.1
1252;Durable consumer goods;2010;100.8;1.8;1.7;101.0;2.3;0.5
1253;Durable consumer goods;2011;101.2;0.4;0.4;101.4;0.4;0.0
1254;Durable consumer goods;2012;96.6;-4.5;-4.5;97.2;-4.1;0.4
1255;Durable consumer goods;2013;92.6;-4.2;-4.1;94.0;-3.3;0.9
1256;Durable consumer goods;2014;95.7;3.4;3.4;96.2;2.4;-1.0
1257;Durable consumer goods;2015;100.0;4.4;4.4;100.0;3.9;-0.5
1258;Durable consumer goods;2016;100.4;0.4;0.0;100.8;0.8;0.4
1259;Durable consumer goods;2017;104.6;4.1;4.7;105.0;4.1;0.0
1260;Durable consumer goods;2018;109.9;5.0;5.1;110.4;5.1;0.1
1261;Durable consumer goods;2019;112.2;2.2;2.1;113.7;3.0;0.8
1262;Durable consumer goods;2020;112.8;0.5;0.2;115.7;1.7;1.2
1263;Durable consumer goods;2000 January;97.4;4.1;6.3;91.6;4.8;0.7
1264;Durable consumer goods;2000 February;83.4;12.2;8.1;80.3;12.6;0.4
1265;Durable consumer goods;2000 March;96.1;6.3;4.1;94.0;6.9;0.5
1266;Durable consumer goods;2000 1st quarter;92.3;7.2;6.1;88.6;7.8;0.6
1267;Durable consumer goods;2000 April;87.3;2.2;3.6;85.6;2.8;0.6
1268;Durable consumer goods;2000 May;91.8;6.9;4.7;90.4;8.0;1.0
1269;Durable consumer goods;2000 June;86.4;-3.5;-2.7;85.2;-2.0;1.5
1270;Durable consumer goods;2000 2nd quarter;88.5;1.8;1.8;87.1;2.9;1.1
1271;Durable consumer goods;2000 July;89.8;-2.1;2.4;86.0;-1.4;0.8
1272;Durable consumer goods;2000 August;85.3;10.2;5.3;82.1;8.5;-1.5
1273;Durable consumer goods;2000 September;87.7;6.3;5.3;88.6;7.3;0.9
1274;Durable consumer goods;2000 3rd quarter;87.6;4.4;4.2;85.6;4.6;0.2
1275;Durable consumer goods;2000 October;83.7;0.9;3.6;88.2;2.2;1.3
1276;Durable consumer goods;2000 November;84.0;8.3;6.9;89.5;10.3;1.9
1277;Durable consumer goods;2000 December;89.3;8.8;10.5;92.3;9.9;1.0
1278;Durable consumer goods;2000 4th quarter;85.7;5.9;7.1;90.0;7.4;1.4
1279;Durable consumer goods;2001 January;93.7;-3.8;-4.7;91.2;-0.4;3.5
1280;Durable consumer goods;2001 February;78.1;-6.4;-2.9;78.0;-2.9;3.6
1281;Durable consumer goods;2001 March;95.5;-0.6;-1.6;97.1;3.3;3.9
1282;Durable consumer goods;2001 1st quarter;89.1;-3.5;-3.1;88.7;0.1;3.7
1283;Durable consumer goods;2001 April;85.1;-2.5;0.7;87.3;2.0;4.6
1284;Durable consumer goods;2001 May;94.2;2.6;1.2;95.8;5.9;3.3
1285;Durable consumer goods;2001 June;91.2;5.5;3.6;92.9;9.0;3.3
1286;Durable consumer goods;2001 2nd quarter;90.1;1.8;1.8;92.0;5.7;3.7
1287;Durable consumer goods;2001 July;92.2;2.6;2.9;91.2;6.1;3.4
1288;Durable consumer goods;2001 August;88.0;3.1;3.1;88.4;7.7;4.4
1289;Durable consumer goods;2001 September;90.6;3.3;6.0;95.1;7.4;4.0
1290;Durable consumer goods;2001 3rd quarter;90.2;3.0;4.0;91.6;7.1;3.9
1291;Durable consumer goods;2001 October;89.2;6.6;3.5;96.4;9.3;2.6
1292;Durable consumer goods;2001 November;89.3;6.2;5.4;97.4;8.8;2.4
1293;Durable consumer goods;2001 December;84.1;-5.8;-3.2;92.3;0.0;6.2
1294;Durable consumer goods;2001 4th quarter;87.5;2.2;1.8;95.4;5.9;3.7
1295;Durable consumer goods;2002 January;96.9;3.5;2.2;97.7;7.1;3.5
1296;Durable consumer goods;2002 February;79.6;2.0;2.0;82.0;5.2;3.2
1297;Durable consumer goods;2002 March;95.3;-0.3;1.9;99.3;2.3;2.6
1298;Durable consumer goods;2002 1st quarter;90.6;1.7;2.0;93.0;4.8;3.0
1299;Durable consumer goods;2002 April;90.0;5.8;3.1;93.3;6.8;0.9
1300;Durable consumer goods;2002 May;93.3;-0.9;-0.5;96.4;0.6;1.5
1301;Durable consumer goods;2002 June;93.4;2.4;4.7;96.3;3.6;1.2
1302;Durable consumer goods;2002 2nd quarter;92.2;2.3;2.4;95.3;3.6;1.2
1303;Durable consumer goods;2002 July;93.8;1.8;-0.4;95.8;5.0;3.2
1304;Durable consumer goods;2002 August;88.8;0.9;0.4;91.7;3.7;2.8
1305;Durable consumer goods;2002 September;89.8;-0.8;1.2;96.5;1.4;2.2
1306;Durable consumer goods;2002 3rd quarter;90.8;0.6;0.4;94.6;3.3;2.7
1307;Durable consumer goods;2002 October;91.3;2.4;1.6;100.6;4.4;1.9
1308;Durable consumer goods;2002 November;87.3;-2.2;-2.8;96.2;-1.2;1.0
1309;Durable consumer goods;2002 December;89.7;6.7;6.9;96.5;4.6;-1.9
1310;Durable consumer goods;2002 4th quarter;89.4;2.2;1.8;97.8;2.6;0.4
1311;Durable consumer goods;2003 January;99.7;2.8;2.3;100.4;2.9;0.0
1312;Durable consumer goods;2003 February;82.4;3.5;3.8;84.7;3.2;-0.3
1313;Durable consumer goods;2003 March;93.8;-1.6;-0.1;97.8;-1.5;0.1
1314;Durable consumer goods;2003 1st quarter;92.0;1.5;1.9;94.3;1.4;-0.1
1315;Durable consumer goods;2003 April;91.3;1.4;-0.1;94.3;1.0;-0.3
1316;Durable consumer goods;2003 May;95.0;1.8;0.7;98.1;1.8;0.1
1317;Durable consumer goods;2003 June;90.7;-2.9;-0.5;92.3;-4.1;-1.3
1318;Durable consumer goods;2003 2nd quarter;92.3;0.1;0.1;94.9;-0.4;-0.5
1319;Durable consumer goods;2003 July;91.3;-2.6;-3.6;92.2;-3.7;-1.1
1320;Durable consumer goods;2003 August;85.8;-3.3;-1.5;87.4;-4.6;-1.3
1321;Durable consumer goods;2003 September;88.8;-1.2;-3.3;93.6;-2.9;-1.8
1322;Durable consumer goods;2003 3rd quarter;88.7;-2.4;-2.8;91.1;-3.7;-1.4
1323;Durable consumer goods;2003 October;90.7;-0.7;-1.5;98.1;-2.5;-1.8
1324;Durable consumer goods;2003 November;83.6;-4.2;-2.0;90.8;-5.7;-1.5
1325;Durable consumer goods;2003 December;83.2;-7.3;-8.7;88.8;-8.0;-0.8
1326;Durable consumer goods;2003 4th quarter;85.8;-4.0;-4.1;92.6;-5.3;-1.4
1327;Durable consumer goods;2004 January;101.9;2.2;1.4;100.8;0.4;-1.8
1328;Durable consumer goods;2004 February;80.6;-2.2;-3.6;82.1;-3.0;-0.9
1329;Durable consumer goods;2004 March;94.5;0.8;-0.6;97.0;-0.8;-1.5
1330;Durable consumer goods;2004 1st quarter;92.3;0.4;-0.8;93.3;-1.1;-1.5
1331;Durable consumer goods;2004 April;92.9;1.8;1.4;94.2;-0.1;-1.8
1332;Durable consumer goods;2004 May;91.3;-3.9;0.1;92.6;-5.7;-1.9
1333;Durable consumer goods;2004 June;95.8;5.6;1.8;96.0;4.1;-1.5
1334;Durable consumer goods;2004 2nd quarter;93.3;1.1;1.1;94.3;-0.7;-1.7
1335;Durable consumer goods;2004 July;95.2;4.2;3.0;94.4;2.4;-1.7
1336;Durable consumer goods;2004 August;84.0;-2.1;0.8;84.7;-3.2;-1.0
1337;Durable consumer goods;2004 September;89.7;1.1;-0.7;93.5;-0.1;-1.2
1338;Durable consumer goods;2004 3rd quarter;89.6;1.1;1.1;90.9;-0.3;-1.4
1339;Durable consumer goods;2004 October;87.2;-3.8;-2.5;94.3;-3.9;-0.1
1340;Durable consumer goods;2004 November;82.1;-1.8;-1.7;88.7;-2.3;-0.4
1341;Durable consumer goods;2004 December;86.3;3.8;1.3;89.9;1.2;-2.5
1342;Durable consumer goods;2004 4th quarter;85.2;-0.7;-1.0;91.0;-1.7;-1.0
1343;Durable consumer goods;2005 January;99.4;-2.4;1.1;96.8;-4.0;-1.5
1344;Durable consumer goods;2005 February;76.5;-5.2;-3.3;77.0;-6.3;-1.1
1345;Durable consumer goods;2005 March;94.9;0.5;-0.2;96.7;-0.3;-0.8
1346;Durable consumer goods;2005 1st quarter;90.3;-2.3;-0.6;90.2;-3.4;-1.1
1347;Durable consumer goods;2005 April;92.0;-0.9;-2.3;92.9;-1.4;-0.4
1348;Durable consumer goods;2005 May;88.5;-3.1;-2.1;89.1;-3.8;-0.7
1349;Durable consumer goods;2005 June;96.9;1.2;1.1;96.3;0.3;-0.9
1350;Durable consumer goods;2005 2nd quarter;92.5;-0.9;-1.0;92.8;-1.6;-0.7
1351;Durable consumer goods;2005 July;95.4;0.2;2.2;94.0;-0.4;-0.6
1352;Durable consumer goods;2005 August;89.5;6.6;4.1;89.1;5.3;-1.2
1353;Durable consumer goods;2005 September;93.9;4.7;4.5;97.3;4.0;-0.6
1354;Durable consumer goods;2005 3rd quarter;92.9;3.7;3.6;93.5;2.9;-0.8
1355;Durable consumer goods;2005 October;90.0;3.2;5.1;96.5;2.4;-0.8
1356;Durable consumer goods;2005 November;88.3;7.6;5.7;94.6;6.7;-0.8
1357;Durable consumer goods;2005 December;89.4;3.6;3.3;93.2;3.7;0.1
1358;Durable consumer goods;2005 4th quarter;89.2;4.7;4.7;94.8;4.2;-0.5
1359;Durable consumer goods;2006 January;103.7;4.3;5.3;100.6;3.9;-0.3
1360;Durable consumer goods;2006 February;84.7;10.8;10.4;84.5;9.8;-0.9
1361;Durable consumer goods;2006 March;102.5;8.0;6.8;104.0;7.6;-0.4
1362;Durable consumer goods;2006 1st quarter;96.9;7.4;7.3;96.4;6.9;-0.5
1363;Durable consumer goods;2006 April;95.8;4.1;7.3;96.5;3.9;-0.2
1364;Durable consumer goods;2006 May;101.8;15.0;11.8;102.2;14.7;-0.3
1365;Durable consumer goods;2006 June;103.0;6.2;6.3;102.6;6.6;0.3
1366;Durable consumer goods;2006 2nd quarter;100.2;8.3;8.4;100.4;8.3;0.0
1367;Durable consumer goods;2006 July;97.0;1.7;3.3;94.8;0.8;-0.9
1368;Durable consumer goods;2006 August;98.9;10.5;9.3;99.1;11.2;0.6
1369;Durable consumer goods;2006 September;97.7;4.0;3.1;101.1;3.9;-0.1
1370;Durable consumer goods;2006 3rd quarter;97.9;5.3;5.2;98.3;5.2;-0.1
1371;Durable consumer goods;2006 October;92.9;3.1;4.1;99.4;2.9;-0.2
1372;Durable consumer goods;2006 November;93.0;5.3;5.4;99.8;5.4;0.1
1373;Durable consumer goods;2006 December;94.1;5.2;7.6;98.0;5.2;-0.1
1374;Durable consumer goods;2006 4th quarter;93.3;4.6;5.7;99.1;4.5;-0.1
1375;Durable consumer goods;2007 January;108.9;5.0;2.8;105.3;4.6;-0.4
1376;Durable consumer goods;2007 February;91.3;7.8;7.6;90.0;6.5;-1.2
1377;Durable consumer goods;2007 March;110.7;8.1;7.5;113.0;8.7;0.6
1378;Durable consumer goods;2007 1st quarter;103.6;6.9;5.9;102.8;6.6;-0.3
1379;Durable consumer goods;2007 April;101.1;5.6;7.6;101.9;5.6;0.0
1380;Durable consumer goods;2007 May;103.7;1.9;1.3;104.3;2.0;0.1
1381;Durable consumer goods;2007 June;110.6;7.4;6.3;110.4;7.6;0.1
1382;Durable consumer goods;2007 2nd quarter;105.2;5.0;5.0;105.5;5.1;0.1
1383;Durable consumer goods;2007 July;104.8;8.0;9.6;103.4;9.1;1.0
1384;Durable consumer goods;2007 August;102.3;3.4;2.3;102.1;3.0;-0.4
1385;Durable consumer goods;2007 September;103.1;5.6;8.2;106.2;5.1;-0.5
1386;Durable consumer goods;2007 3rd quarter;103.4;5.6;6.7;103.9;5.6;0.0
1387;Durable consumer goods;2007 October;101.1;8.9;5.9;107.4;8.1;-0.7
1388;Durable consumer goods;2007 November;96.2;3.4;3.3;102.7;2.9;-0.5
1389;Durable consumer goods;2007 December;97.6;3.7;5.6;101.2;3.3;-0.4
1390;Durable consumer goods;2007 4th quarter;98.3;5.3;5.0;103.8;4.8;-0.5
1391;Durable consumer goods;2008 January;110.8;1.7;1.1;107.6;2.2;0.5
1392;Durable consumer goods;2008 February;101.2;10.9;5.6;99.5;10.6;-0.3
1393;Durable consumer goods;2008 March;103.6;-6.4;-2.4;105.8;-6.4;0.0
1394;Durable consumer goods;2008 1st quarter;105.2;1.5;1.2;104.3;1.5;0.0
1395;Durable consumer goods;2008 April;106.2;5.1;1.3;106.8;4.8;-0.2
1396;Durable consumer goods;2008 May;112.0;8.0;6.3;111.4;6.8;-1.1
1397;Durable consumer goods;2008 June;108.3;-2.1;2.8;106.8;-3.2;-1.1
1398;Durable consumer goods;2008 2nd quarter;108.8;3.5;3.5;108.3;2.7;-0.8
1399;Durable consumer goods;2008 July;110.3;5.3;1.5;107.7;4.2;-1.0
1400;Durable consumer goods;2008 August;104.6;2.3;3.8;103.6;1.5;-0.8
1401;Durable consumer goods;2008 September;105.0;1.8;2.1;107.6;1.3;-0.5
1402;Durable consumer goods;2008 3rd quarter;106.6;3.1;2.5;106.3;2.3;-0.8
1403;Durable consumer goods;2008 October;103.3;2.2;0.4;109.3;1.8;-0.4
1404;Durable consumer goods;2008 November;93.8;-2.5;-0.8;99.6;-3.0;-0.5
1405;Durable consumer goods;2008 December;98.7;1.1;-0.2;101.3;0.1;-1.1
1406;Durable consumer goods;2008 4th quarter;98.6;0.3;-0.2;103.4;-0.4;-0.7
1407;Durable consumer goods;2009 January;109.0;-1.6;-2.9;103.3;-4.0;-2.4
1408;Durable consumer goods;2009 February;90.4;-10.7;-6.5;87.6;-12.0;-1.4
1409;Durable consumer goods;2009 March;97.5;-5.9;-5.6;98.6;-6.8;-1.0
1410;Durable consumer goods;2009 1st quarter;99.0;-5.9;-4.9;96.5;-7.5;-1.7
1411;Durable consumer goods;2009 April;101.0;-4.9;-4.7;100.3;-6.1;-1.2
1412;Durable consumer goods;2009 May;101.1;-9.7;-7.8;99.9;-10.3;-0.6
1413;Durable consumer goods;2009 June;102.8;-5.0;-6.9;99.9;-6.5;-1.6
1414;Durable consumer goods;2009 2nd quarter;101.6;-6.6;-6.5;100.0;-7.7;-1.1
1415;Durable consumer goods;2009 July;106.4;-3.5;-4.0;102.5;-4.8;-1.4
1416;Durable consumer goods;2009 August;92.7;-11.4;-9.7;90.8;-12.3;-1.0
1417;Durable consumer goods;2009 September;100.6;-4.2;-5.9;102.2;-5.0;-0.9
1418;Durable consumer goods;2009 3rd quarter;99.9;-6.3;-6.5;98.5;-7.3;-1.1
1419;Durable consumer goods;2009 October;101.0;-2.3;-2.9;106.7;-2.3;-0.1
1420;Durable consumer goods;2009 November;89.1;-5.0;-3.0;94.2;-5.5;-0.5
1421;Durable consumer goods;2009 December;97.1;-1.6;-2.9;98.8;-2.5;-0.9
1422;Durable consumer goods;2009 4th quarter;95.7;-2.9;-2.9;99.9;-3.4;-0.5
1423;Durable consumer goods;2010 January;105.1;-3.6;-1.5;101.1;-2.2;1.5
1424;Durable consumer goods;2010 February;87.3;-3.4;-3.3;85.1;-2.8;0.6
1425;Durable consumer goods;2010 March;103.9;6.6;3.9;105.4;7.0;0.4
1426;Durable consumer goods;2010 1st quarter;98.8;-0.2;-0.3;97.2;0.7;0.9
1427;Durable consumer goods;2010 April;101.1;0.1;-0.1;101.7;1.3;1.2
1428;Durable consumer goods;2010 May;99.9;-1.2;0.9;100.2;0.3;1.5
1429;Durable consumer goods;2010 June;108.8;5.7;3.8;107.1;7.3;1.4
1430;Durable consumer goods;2010 2nd quarter;103.2;1.6;1.5;103.0;3.0;1.4
1431;Durable consumer goods;2010 July;106.1;-0.3;-0.8;102.8;0.3;0.6
1432;Durable consumer goods;2010 August;98.9;6.8;7.9;96.6;6.4;-0.4
1433;Durable consumer goods;2010 September;106.5;5.9;5.8;107.7;5.4;-0.5
1434;Durable consumer goods;2010 3rd quarter;103.9;4.0;4.1;102.4;3.9;0.0
1435;Durable consumer goods;2010 October;100.3;-0.6;1.4;105.5;-1.2;-0.6
1436;Durable consumer goods;2010 November;94.8;6.4;4.2;99.8;5.9;-0.5
1437;Durable consumer goods;2010 December;97.2;0.0;-0.7;98.6;-0.2;-0.3
1438;Durable consumer goods;2010 4th quarter;97.4;1.8;1.6;101.3;1.4;-0.4
1439;Durable consumer goods;2011 January;111.3;5.8;7.5;106.0;4.9;-0.9
1440;Durable consumer goods;2011 February;92.7;6.1;6.1;90.2;5.9;-0.2
1441;Durable consumer goods;2011 March;106.1;2.1;1.0;107.6;2.1;0.0
1442;Durable consumer goods;2011 1st quarter;103.3;4.6;4.9;101.3;4.2;-0.4
1443;Durable consumer goods;2011 April;104.3;3.2;1.9;105.9;4.1;0.9
1444;Durable consumer goods;2011 May;103.9;4.0;4.2;105.2;4.9;0.9
1445;Durable consumer goods;2011 June;107.2;-1.4;-0.6;105.6;-1.5;0.0
1446;Durable consumer goods;2011 2nd quarter;105.1;1.8;1.8;105.5;2.4;0.6
1447;Durable consumer goods;2011 July;106.0;-0.1;1.9;101.8;-1.0;-0.8
1448;Durable consumer goods;2011 August;97.6;-1.3;-3.6;95.4;-1.3;0.0
1449;Durable consumer goods;2011 September;98.4;-7.7;-7.8;99.5;-7.7;0.0
1450;Durable consumer goods;2011 3rd quarter;100.7;-3.1;-3.2;98.9;-3.4;-0.4
1451;Durable consumer goods;2011 October;94.0;-6.3;-4.5;99.5;-5.7;0.7
1452;Durable consumer goods;2011 November;93.9;-0.9;-2.4;99.0;-0.7;0.2
1453;Durable consumer goods;2011 December;99.3;2.2;1.4;101.1;2.5;0.4
1454;Durable consumer goods;2011 4th quarter;95.7;-1.7;-1.8;99.9;-1.4;0.4
1455;Durable consumer goods;2012 January;106.8;-4.0;-3.2;102.4;-3.5;0.6
1456;Durable consumer goods;2012 February;88.7;-4.3;-8.1;86.2;-4.4;-0.1
1457;Durable consumer goods;2012 March;106.1;0.1;-1.2;108.5;0.8;0.7
1458;Durable consumer goods;2012 1st quarter;100.5;-2.7;-4.0;99.0;-2.2;0.5
1459;Durable consumer goods;2012 April;91.9;-11.8;-7.3;94.4;-10.9;1.1
1460;Durable consumer goods;2012 May;102.2;-1.7;-4.5;103.8;-1.3;0.4
1461;Durable consumer goods;2012 June;110.4;3.0;0.9;109.3;3.5;0.5
1462;Durable consumer goods;2012 2nd quarter;101.5;-3.5;-3.6;102.5;-2.9;0.6
1463;Durable consumer goods;2012 July;97.0;-8.5;-5.8;93.9;-7.7;0.8
1464;Durable consumer goods;2012 August;93.0;-4.7;-6.6;90.2;-5.4;-0.7
1465;Durable consumer goods;2012 September;98.2;-0.2;1.3;98.6;-0.8;-0.6
1466;Durable consumer goods;2012 3rd quarter;96.1;-4.6;-3.8;94.3;-4.7;-0.1
1467;Durable consumer goods;2012 October;87.3;-7.2;-8.2;92.9;-6.6;0.6
1468;Durable consumer goods;2012 November;85.1;-9.4;-9.5;90.5;-8.6;0.8
1469;Durable consumer goods;2012 December;93.1;-6.2;-2.5;96.3;-4.7;1.5
1470;Durable consumer goods;2012 4th quarter;88.5;-7.6;-6.7;93.2;-6.7;1.0
1471;Durable consumer goods;2013 January;99.4;-6.9;-9.8;98.0;-4.3;2.8
1472;Durable consumer goods;2013 February;81.4;-8.2;-4.5;81.1;-5.9;2.6
1473;Durable consumer goods;2013 March;92.1;-13.2;-11.5;97.8;-9.8;3.9
1474;Durable consumer goods;2013 1st quarter;91.0;-9.5;-8.8;92.3;-6.8;3.0
1475;Durable consumer goods;2013 April;89.2;-3.0;-4.9;92.5;-1.9;1.1
1476;Durable consumer goods;2013 May;95.4;-6.6;-7.0;98.2;-5.4;1.2
1477;Durable consumer goods;2013 June;98.4;-10.9;-8.7;99.2;-9.2;1.9
1478;Durable consumer goods;2013 2nd quarter;94.3;-7.1;-7.0;96.6;-5.7;1.5
1479;Durable consumer goods;2013 July;94.4;-2.7;-5.0;93.3;-0.7;2.0
1480;Durable consumer goods;2013 August;90.0;-3.2;-3.8;89.2;-1.1;2.2
1481;Durable consumer goods;2013 September;90.4;-7.9;-5.7;92.4;-6.3;1.7
1482;Durable consumer goods;2013 3rd quarter;91.6;-4.6;-4.8;91.6;-2.8;1.9
1483;Durable consumer goods;2013 October;91.4;4.8;3.4;93.7;0.9;-3.7
1484;Durable consumer goods;2013 November;90.7;6.5;5.4;93.8;3.6;-2.7
1485;Durable consumer goods;2013 December;98.0;5.3;6.5;98.8;2.6;-2.5
1486;Durable consumer goods;2013 4th quarter;93.4;5.5;5.1;95.4;2.4;-3.0
1487;Durable consumer goods;2014 January;102.8;3.4;2.8;101.5;3.6;0.2
1488;Durable consumer goods;2014 February;85.7;5.3;5.2;85.6;5.5;0.2
1489;Durable consumer goods;2014 March;94.4;2.5;4.4;99.9;2.2;-0.3
1490;Durable consumer goods;2014 1st quarter;94.3;3.6;4.0;95.7;3.7;0.0
1491;Durable consumer goods;2014 April;94.4;5.9;4.0;96.4;4.2;-1.6
1492;Durable consumer goods;2014 May;100.9;5.7;4.6;102.7;4.6;-1.0
1493;Durable consumer goods;2014 June;97.1;-1.3;1.4;97.1;-2.1;-0.8
1494;Durable consumer goods;2014 2nd quarter;97.5;3.3;3.3;98.8;2.2;-1.1
1495;Durable consumer goods;2014 July;97.4;3.2;1.8;94.6;1.4;-1.7
1496;Durable consumer goods;2014 August;94.1;4.5;6.6;92.1;3.2;-1.3
1497;Durable consumer goods;2014 September;90.6;0.2;-1.8;90.8;-1.7;-1.9
1498;Durable consumer goods;2014 3rd quarter;94.0;2.6;2.2;92.5;0.9;-1.6
1499;Durable consumer goods;2014 October;96.9;6.0;5.5;98.8;5.4;-0.6
1500;Durable consumer goods;2014 November;92.9;2.5;5.1;94.1;0.4;-2.1
1501;Durable consumer goods;2014 December;101.8;3.9;1.5;101.2;2.4;-1.4
1502;Durable consumer goods;2014 4th quarter;97.2;4.1;3.9;98.0;2.7;-1.4
1503;Durable consumer goods;2015 January;108.9;5.9;5.2;105.7;4.1;-1.7
1504;Durable consumer goods;2015 February;89.9;5.0;5.0;88.3;3.2;-1.7
1505;Durable consumer goods;2015 March;97.1;2.8;3.9;101.0;1.1;-1.7
1506;Durable consumer goods;2015 1st quarter;98.6;4.6;4.7;98.3;2.8;-1.8
1507;Durable consumer goods;2015 April;98.4;4.2;4.4;99.7;3.3;-0.9
1508;Durable consumer goods;2015 May;101.4;0.5;2.9;102.4;-0.4;-0.9
1509;Durable consumer goods;2015 June;105.8;8.9;6.5;105.3;8.4;-0.5
1510;Durable consumer goods;2015 2nd quarter;101.9;4.5;4.6;102.4;3.7;-0.8
1511;Durable consumer goods;2015 July;105.2;8.1;7.6;102.5;8.4;0.3
1512;Durable consumer goods;2015 August;93.8;-0.3;1.3;91.2;-1.0;-0.6
1513;Durable consumer goods;2015 September;99.5;9.8;8.1;100.5;10.7;0.8
1514;Durable consumer goods;2015 3rd quarter;99.5;5.8;5.6;98.1;6.0;0.2
1515;Durable consumer goods;2015 October;100.1;3.3;2.6;102.6;3.9;0.5
1516;Durable consumer goods;2015 November;91.8;-1.3;1.0;93.4;-0.8;0.5
1517;Durable consumer goods;2015 December;108.1;6.2;4.7;107.4;6.2;0.0
1518;Durable consumer goods;2015 4th quarter;100.0;2.9;2.8;101.1;3.2;0.3
1519;Durable consumer goods;2016 January;106.1;-2.6;-0.6;104.2;-1.4;1.2
1520;Durable consumer goods;2016 February;91.3;1.5;-0.9;90.7;2.7;1.2
1521;Durable consumer goods;2016 March;99.8;2.8;-0.5;104.6;3.5;0.7
1522;Durable consumer goods;2016 1st quarter;99.1;0.5;-0.7;99.8;1.5;1.0
1523;Durable consumer goods;2016 April;96.9;-1.5;-2.9;99.8;0.1;1.6
1524;Durable consumer goods;2016 May;99.0;-2.4;0.4;101.7;-0.6;1.8
1525;Durable consumer goods;2016 June;106.4;0.6;-1.1;106.6;1.2;0.6
1526;Durable consumer goods;2016 2nd quarter;100.8;-1.1;-1.2;102.7;0.3;1.4
1527;Durable consumer goods;2016 July;106.1;0.9;2.1;103.9;1.4;0.5
1528;Durable consumer goods;2016 August;93.4;-0.4;-1.6;92.1;1.0;1.4
1529;Durable consumer goods;2016 September;97.6;-1.9;-2.0;98.3;-2.3;-0.4
