ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
668;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2020;0.93;16.65;21.31;340.0;6093.0;130.0
669;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2021;0.95;17.55;22.52;346.0;6406.0;137.0
670;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2022;1.0;19.72;25.84;364.0;7199.0;157.2
671;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2023;1.03;19.94;24.95;375.0;7277.0;151.8
672;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2018;1.07;21.36;27.22;392.0;7795.0;165.6
673;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2019;1.05;21.1;27.15;383.0;7700.0;165.2
674;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2020;0.9;15.7;21.08;329.0;5747.0;128.6
675;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2021;0.91;16.37;22.35;334.0;5974.0;136.0
676;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2022;0.97;17.6;23.76;354.0;6422.0;144.5
677;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2023;1.02;18.89;25.35;373.0;6896.0;154.2
678;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2018;0.88;17.25;24.05;321.0;6295.0;146.3
679;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2019;0.86;17.06;24.1;315.0;6227.0;146.6
680;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2020;0.71;12.14;17.57;259.0;4445.0;107.2
681;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2021;0.73;13.0;19.01;267.0;4747.0;115.6
682;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2022;0.77;13.8;20.13;282.0;5037.0;122.5
683;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2023;0.8;14.76;21.49;292.0;5388.0;130.7
684;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;1.11;18.82;25.8;403.0;6870.0;157.0
685;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;1.14;19.04;26.11;417.0;6948.0;158.8
686;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;0.99;14.18;20.76;363.0;5190.0;126.6
687;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;0.99;15.56;22.25;362.0;5681.0;135.4
688;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;1.05;16.82;23.84;382.0;6140.0;145.0
689;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;1.13;17.96;25.62;413.0;6557.0;155.8
690;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2018;0.95;18.62;24.15;347.0;6798.0;146.9
691;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2019;0.94;21.93;26.23;342.0;8004.0;159.5
692;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2020;0.85;15.98;21.0;311.0;5848.0;128.1
693;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2021;0.91;17.33;22.66;334.0;6326.0;137.8
694;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2022;0.88;19.28;24.94;320.0;7036.0;151.7
695;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2023;0.9;15.94;21.54;330.0;5817.0;131.0
696;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2018;1.09;24.53;28.08;399.0;8952.0;170.8
697;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2019;1.06;25.87;29.19;386.0;9441.0;177.6
698;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2020;1.02;19.84;23.77;372.0;7261.0;145.0
699;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2021;0.99;19.68;23.6;361.0;7181.0;143.6
700;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2022;1.08;22.29;28.78;396.0;8136.0;175.1
701;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2023;1.1;22.83;27.09;402.0;8333.0;164.8
702;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2018;1.27;27.01;32.59;462.0;9857.0;198.3
703;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2019;1.26;23.75;29.67;461.0;8668.0;180.5
704;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2020;1.03;16.38;21.85;377.0;5995.0;133.3
705;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2021;1.05;18.19;24.29;382.0;6639.0;147.8
706;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2022;1.15;20.61;27.18;419.0;7522.0;165.3
707;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2023;1.2;24.31;29.77;438.0;8873.0;181.1
708;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2018;1.12;21.52;27.23;407.0;7853.0;165.6
709;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2019;1.03;19.98;26.46;377.0;7292.0;161.0
710;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2020;0.93;15.45;21.57;340.0;5654.0;131.6
711;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2021;0.95;16.74;22.87;346.0;6111.0;139.1
712;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2022;0.96;17.71;23.35;349.0;6464.0;142.1
713;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2023;1.05;18.72;24.76;385.0;6832.0;150.6
714;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2018;1.09;25.77;30.07;396.0;9407.0;182.9
715;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2019;1.06;23.33;27.9;388.0;8514.0;169.7
716;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2020;0.95;19.75;22.82;346.0;7230.0;139.2
717;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2021;0.87;18.46;22.3;316.0;6737.0;135.6
718;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2022;0.95;20.74;25.52;348.0;7568.0;155.3
719;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2023;1.04;23.2;28.88;380.0;8467.0;175.7
720;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2018;1.08;21.44;27.75;395.0;7826.0;168.8
721;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2019;1.1;22.39;28.58;400.0;8173.0;173.9
722;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2020;0.91;15.94;21.47;332.0;5834.0;130.9
723;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2021;0.94;16.6;23.05;342.0;6060.0;140.2
724;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2022;1.01;17.78;24.62;370.0;6488.0;149.8
725;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2023;1.04;19.04;26.0;378.0;6949.0;158.1
726;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2018;0.96;20.25;25.58;351.0;7393.0;155.6
727;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2019;0.94;21.59;27.51;344.0;7879.0;167.4
728;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2020;0.76;14.56;19.45;279.0;5330.0;118.6
729;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2021;0.79;14.99;20.2;288.0;5470.0;122.9
730;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2022;0.85;16.19;22.16;311.0;5910.0;134.8
731;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2023;0.86;17.29;23.57;315.0;6310.0;143.4
732;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2018;0.83;17.17;23.55;302.0;6266.0;143.2
733;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2019;0.8;16.17;23.11;294.0;5901.0;140.6
734;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2020;0.69;11.25;16.58;253.0;4116.0;101.1
735;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2021;0.69;12.65;18.63;253.0;4618.0;113.4
736;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2022;0.72;13.57;19.28;264.0;4951.0;117.3
737;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2023;0.75;14.1;20.05;273.0;5145.0;122.0
738;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2018;0.91;17.0;25.02;332.0;6207.0;152.2
739;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2019;0.89;16.62;24.46;326.0;6067.0;148.8
740;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2020;0.71;12.33;18.22;259.0;4513.0;111.1
741;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2021;0.74;12.54;19.13;270.0;4579.0;116.4
742;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2022;0.79;13.42;20.6;287.0;4899.0;125.3
743;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2023;0.82;14.39;22.28;298.0;5252.0;135.5
744;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2018;1.09;20.95;25.25;397.0;7647.0;153.6
745;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2019;1.13;23.94;29.61;412.0;8738.0;180.1
746;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2020;0.95;16.34;21.12;349.0;5980.0;128.8
747;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2021;1.03;21.34;25.94;376.0;7789.0;157.8
748;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2022;1.08;18.92;24.45;395.0;6905.0;148.7
749;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2023;1.1;23.71;27.79;401.0;8654.0;169.0
750;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2018;1.09;19.85;26.82;399.0;7245.0;163.2
751;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2019;1.13;20.19;27.02;412.0;7370.0;164.4
752;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2020;0.97;14.36;20.72;357.0;5255.0;126.4
753;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2021;1.0;16.07;23.03;365.0;5865.0;140.1
754;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2022;1.04;17.3;24.25;378.0;6314.0;147.5
755;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2023;1.12;19.0;26.69;408.0;6936.0;162.4
756;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2018;1.18;17.47;24.6;430.0;6378.0;149.6
757;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2019;1.22;17.43;25.23;445.0;6362.0;153.5
758;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2020;1.07;14.66;21.91;391.0;5364.0;133.6
759;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2021;1.01;15.43;21.56;369.0;5634.0;131.1
760;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2022;1.11;16.74;24.08;406.0;6111.0;146.5
761;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2023;1.21;16.51;24.27;442.0;6025.0;147.6
762;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2018;0.68;14.23;20.33;249.0;5195.0;123.7
763;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2019;0.66;13.39;19.36;239.0;4888.0;117.8
764;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2020;0.54;9.71;14.47;196.0;3553.0;88.3
765;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2021;0.56;10.17;15.51;204.0;3713.0;94.4
766;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2022;0.62;11.27;17.05;226.0;4112.0;103.7
767;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2023;0.61;11.36;17.28;222.0;4147.0;105.1
768;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2018;0.99;19.31;25.85;363.0;7049.0;157.3
769;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2019;0.99;18.83;25.69;360.0;6873.0;156.3
770;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2020;0.82;13.81;19.53;302.0;5055.0;119.2
771;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2021;0.85;14.63;20.82;309.0;5339.0;126.7
772;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2022;0.89;15.89;22.5;325.0;5799.0;136.8
773;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2023;0.94;16.65;23.74;342.0;6079.0;144.4
774;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2018;1.09;19.5;26.38;399.0;7117.0;160.5
775;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2019;1.1;20.53;27.59;401.0;7495.0;167.9
776;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2020;0.96;14.98;21.01;353.0;5483.0;128.2
777;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2021;0.97;16.08;22.84;353.0;5870.0;138.9
778;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2022;1.01;17.14;24.21;370.0;6255.0;147.3
779;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2023;1.09;18.72;25.91;397.0;6832.0;157.6
780;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2018;1.17;22.25;28.84;427.0;8121.0;175.4
781;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2019;1.17;21.94;28.56;426.0;8006.0;173.7
782;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2020;1.01;16.22;22.28;371.0;5936.0;135.9
783;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2021;1.05;17.42;24.08;382.0;6357.0;146.5
784;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2022;1.09;19.11;25.68;397.0;6975.0;156.2
785;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2023;1.16;20.66;27.69;425.0;7540.0;168.5
786;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2018;1.19;22.83;28.9;435.0;8334.0;175.8
787;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2019;1.24;25.82;32.33;452.0;9423.0;196.7
788;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2020;1.07;18.52;24.21;392.0;6778.0;147.7
789;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2021;1.05;21.1;25.87;385.0;7703.0;157.4
790;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2022;1.12;20.65;26.86;410.0;7536.0;163.4
791;Population 6 years or older;Total male and female;Total persons;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2023;1.21;23.28;29.27;443.0;8499.0;178.1
792;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2018;0.32;6.66;9.28;118.0;2431.0;56.5
793;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2019;0.31;6.65;9.38;114.0;2429.0;57.1
794;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2020;0.24;4.37;6.66;88.0;1598.0;40.6
795;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2021;0.26;5.1;7.81;94.0;1860.0;47.5
796;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2022;0.28;5.46;8.12;102.0;1991.0;49.4
797;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;The Netherlands;2023;0.3;6.04;8.72;110.0;2203.0;53.1
798;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2018;0.35;8.3;10.88;128.0;3031.0;66.2
799;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2019;0.32;9.11;11.13;117.0;3324.0;67.7
800;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2020;0.28;5.09;7.56;101.0;1864.0;46.1
801;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2021;0.27;6.35;9.51;99.0;2320.0;57.9
802;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2022;0.28;6.43;8.71;104.0;2347.0;53.0
803;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Nederland (LD);2023;0.3;6.48;8.67;109.0;2367.0;52.7
804;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2018;0.34;7.18;9.64;124.0;2621.0;58.6
805;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2019;0.32;6.8;9.84;118.0;2483.0;59.9
806;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2020;0.25;4.59;6.94;93.0;1678.0;42.3
807;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2021;0.27;5.51;8.15;98.0;2010.0;49.6
808;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2022;0.3;6.06;8.85;111.0;2213.0;53.8
809;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Oost-Nederland (LD);2023;0.32;6.89;9.33;119.0;2513.0;56.8
810;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2018;0.29;6.14;8.78;107.0;2241.0;53.4
811;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2019;0.29;6.2;9.05;106.0;2263.0;55.0
812;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2020;0.21;4.18;6.39;78.0;1531.0;39.0
813;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2021;0.24;5.0;7.66;88.0;1823.0;46.6
814;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2022;0.25;5.08;7.71;91.0;1854.0;46.9
815;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;West-Nederland (LD);2023;0.27;5.55;8.35;99.0;2025.0;50.8
816;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2018;0.36;6.54;9.29;132.0;2387.0;56.5
817;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2019;0.34;6.38;8.86;125.0;2328.0;53.9
818;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2020;0.27;4.22;6.56;99.0;1546.0;40.0
819;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2021;0.28;4.33;7.0;101.0;1580.0;42.6
820;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2022;0.32;5.25;8.03;115.0;1915.0;48.8
821;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Nederland (LD);2023;0.34;6.09;9.0;124.0;2222.0;54.7
822;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2018;0.35;7.95;11.43;129.0;2902.0;69.6
823;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2019;0.27;8.07;9.81;99.0;2944.0;59.7
824;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2020;0.24;4.7;7.19;89.0;1720.0;43.8
825;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2021;0.23;5.91;8.6;83.0;2157.0;52.3
826;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2022;0.28;6.61;8.79;104.0;2414.0;53.5
827;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Groningen (PV);2023;0.28;5.76;7.86;101.0;2101.0;47.8
828;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2018;0.33;8.65;11.19;122.0;3156.0;68.1
829;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2019;0.34;10.53;12.39;123.0;3845.0;75.4
830;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2020;0.29;4.75;7.52;106.0;1740.0;45.9
831;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2021;0.27;6.71;9.51;100.0;2449.0;57.9
832;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2022;0.3;6.67;8.87;108.0;2435.0;54.0
833;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Fryslân (PV);2023;0.3;6.83;9.2;111.0;2493.0;55.9
834;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2018;0.37;8.28;9.82;134.0;3021.0;59.7
835;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2019;0.36;8.47;11.05;130.0;3090.0;67.2
836;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2020;0.3;6.01;8.05;109.0;2200.0;49.1
837;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2021;0.32;6.42;10.6;117.0;2343.0;64.5
838;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2022;0.27;5.89;8.42;99.0;2150.0;51.2
839;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Drenthe (PV);2023;0.31;6.9;8.93;114.0;2517.0;54.3
840;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2018;0.34;7.15;9.38;123.0;2611.0;57.1
