ID;Sources;Emissions;Periods;EmissionsDutchTerritory_1
804;Road traffic, total;Carbon monoxide (CO);1994;511.02
805;Road traffic, total;Carbon monoxide (CO);1995;487.96
806;Road traffic, total;Carbon monoxide (CO);1996;470.63
807;Road traffic, total;Carbon monoxide (CO);1997;445.51
808;Road traffic, total;Carbon monoxide (CO);1998;424.47
809;Road traffic, total;Carbon monoxide (CO);1999;413.65
810;Road traffic, total;Carbon monoxide (CO);2000;395.02
811;Road traffic, total;Carbon monoxide (CO);2001;391.61
812;Road traffic, total;Carbon monoxide (CO);2002;393.87
813;Road traffic, total;Carbon monoxide (CO);2003;394.49
814;Road traffic, total;Carbon monoxide (CO);2004;394.88
815;Road traffic, total;Carbon monoxide (CO);2005;377.43
816;Road traffic, total;Carbon monoxide (CO);2006;369.0
817;Road traffic, total;Carbon monoxide (CO);2007;366.91
818;Road traffic, total;Carbon monoxide (CO);2008;355.49
819;Road traffic, total;Carbon monoxide (CO);2009;346.82
820;Road traffic, total;Carbon monoxide (CO);2010;338.92
821;Road traffic, total;Carbon monoxide (CO);2011;328.66
822;Road traffic, total;Carbon monoxide (CO);2012;313.76
823;Road traffic, total;Carbon monoxide (CO);2013;302.52
824;Road traffic, total;Carbon monoxide (CO);2014;288.44
825;Road traffic, total;Carbon monoxide (CO);2015;283.87
826;Road traffic, total;Carbon monoxide (CO);2016;273.02
827;Road traffic, total;Carbon monoxide (CO);2017;272.48
828;Road traffic, total;Carbon monoxide (CO);2018;256.27
829;Road traffic, total;Carbon monoxide (CO);2019;239.36
830;Road traffic, total;Carbon monoxide (CO);2020;204.25
831;Road traffic, total;Carbon monoxide (CO);2021;195.99
832;Road traffic, total;VOC emission by combustion;1990;157.86
833;Road traffic, total;VOC emission by combustion;1991;132.94
834;Road traffic, total;VOC emission by combustion;1992;125.08
835;Road traffic, total;VOC emission by combustion;1993;113.25
836;Road traffic, total;VOC emission by combustion;1994;105.13
837;Road traffic, total;VOC emission by combustion;1995;97.294
838;Road traffic, total;VOC emission by combustion;1996;90.778
839;Road traffic, total;VOC emission by combustion;1997;83.513
840;Road traffic, total;VOC emission by combustion;1998;77.655
841;Road traffic, total;VOC emission by combustion;1999;72.648
842;Road traffic, total;VOC emission by combustion;2000;62.933
843;Road traffic, total;VOC emission by combustion;2001;57.778
844;Road traffic, total;VOC emission by combustion;2002;53.883
845;Road traffic, total;VOC emission by combustion;2003;50.652
846;Road traffic, total;VOC emission by combustion;2004;48.199
847;Road traffic, total;VOC emission by combustion;2005;45.38
848;Road traffic, total;VOC emission by combustion;2006;43.385
849;Road traffic, total;VOC emission by combustion;2007;42.078
850;Road traffic, total;VOC emission by combustion;2008;41.469
851;Road traffic, total;VOC emission by combustion;2009;39.145
852;Road traffic, total;VOC emission by combustion;2010;36.429
853;Road traffic, total;VOC emission by combustion;2011;34.196
854;Road traffic, total;VOC emission by combustion;2012;31.803
855;Road traffic, total;VOC emission by combustion;2013;30.983
856;Road traffic, total;VOC emission by combustion;2014;30.145
857;Road traffic, total;VOC emission by combustion;2015;29.988
858;Road traffic, total;VOC emission by combustion;2016;29.901
859;Road traffic, total;VOC emission by combustion;2017;30.257
860;Road traffic, total;VOC emission by combustion;2018;28.593
861;Road traffic, total;VOC emission by combustion;2019;27.972
862;Road traffic, total;VOC emission by combustion;2020;25.382
863;Road traffic, total;VOC emission by combustion;2021;25.155
864;Road traffic, total;VOC emission by evaporation;1990;36.22
865;Road traffic, total;VOC emission by evaporation;1991;32.482
866;Road traffic, total;VOC emission by evaporation;1992;29.932
867;Road traffic, total;VOC emission by evaporation;1993;26.819
868;Road traffic, total;VOC emission by evaporation;1994;24.476
869;Road traffic, total;VOC emission by evaporation;1995;21.642
870;Road traffic, total;VOC emission by evaporation;1996;19.092
871;Road traffic, total;VOC emission by evaporation;1997;16.87
872;Road traffic, total;VOC emission by evaporation;1998;14.803
873;Road traffic, total;VOC emission by evaporation;1999;12.955
874;Road traffic, total;VOC emission by evaporation;2000;10.282
875;Road traffic, total;VOC emission by evaporation;2001;8.321
876;Road traffic, total;VOC emission by evaporation;2002;6.668
877;Road traffic, total;VOC emission by evaporation;2003;5.323
878;Road traffic, total;VOC emission by evaporation;2004;4.387
879;Road traffic, total;VOC emission by evaporation;2005;3.554
880;Road traffic, total;VOC emission by evaporation;2006;3.008
881;Road traffic, total;VOC emission by evaporation;2007;2.653
882;Road traffic, total;VOC emission by evaporation;2008;2.464
883;Road traffic, total;VOC emission by evaporation;2009;2.312
884;Road traffic, total;VOC emission by evaporation;2010;2.211
885;Road traffic, total;VOC emission by evaporation;2011;2.238
886;Road traffic, total;VOC emission by evaporation;2012;2.131
887;Road traffic, total;VOC emission by evaporation;2013;2.109
888;Road traffic, total;VOC emission by evaporation;2014;1.987
889;Road traffic, total;VOC emission by evaporation;2015;1.983
890;Road traffic, total;VOC emission by evaporation;2016;2.086
891;Road traffic, total;VOC emission by evaporation;2017;2.098
892;Road traffic, total;VOC emission by evaporation;2018;2.036
893;Road traffic, total;VOC emission by evaporation;2019;2.063
894;Road traffic, total;VOC emission by evaporation;2020;1.925
895;Road traffic, total;VOC emission by evaporation;2021;1.962
896;Road traffic, total;Volatile organic compounds (VOC);1990;194.08
897;Road traffic, total;Volatile organic compounds (VOC);1991;165.42
898;Road traffic, total;Volatile organic compounds (VOC);1992;155.01
899;Road traffic, total;Volatile organic compounds (VOC);1993;140.07
900;Road traffic, total;Volatile organic compounds (VOC);1994;129.6
901;Road traffic, total;Volatile organic compounds (VOC);1995;118.93
902;Road traffic, total;Volatile organic compounds (VOC);1996;109.87
903;Road traffic, total;Volatile organic compounds (VOC);1997;100.38
904;Road traffic, total;Volatile organic compounds (VOC);1998;92.458
905;Road traffic, total;Volatile organic compounds (VOC);1999;85.603
906;Road traffic, total;Volatile organic compounds (VOC);2000;73.216
907;Road traffic, total;Volatile organic compounds (VOC);2001;66.1
908;Road traffic, total;Volatile organic compounds (VOC);2002;60.551
909;Road traffic, total;Volatile organic compounds (VOC);2003;55.974
910;Road traffic, total;Volatile organic compounds (VOC);2004;52.586
911;Road traffic, total;Volatile organic compounds (VOC);2005;48.934
912;Road traffic, total;Volatile organic compounds (VOC);2006;46.393
913;Road traffic, total;Volatile organic compounds (VOC);2007;44.731
914;Road traffic, total;Volatile organic compounds (VOC);2008;43.933
915;Road traffic, total;Volatile organic compounds (VOC);2009;41.458
916;Road traffic, total;Volatile organic compounds (VOC);2010;38.64
917;Road traffic, total;Volatile organic compounds (VOC);2011;36.434
918;Road traffic, total;Volatile organic compounds (VOC);2012;33.934
919;Road traffic, total;Volatile organic compounds (VOC);2013;33.092
920;Road traffic, total;Volatile organic compounds (VOC);2014;32.132
921;Road traffic, total;Volatile organic compounds (VOC);2015;31.971
922;Road traffic, total;Volatile organic compounds (VOC);2016;31.986
923;Road traffic, total;Volatile organic compounds (VOC);2017;32.355
924;Road traffic, total;Volatile organic compounds (VOC);2018;30.629
925;Road traffic, total;Volatile organic compounds (VOC);2019;30.035
926;Road traffic, total;Volatile organic compounds (VOC);2020;27.307
927;Road traffic, total;Volatile organic compounds (VOC);2021;27.117
928;Road traffic, total;Methane (CH4);1990;7.589
929;Road traffic, total;Methane (CH4);1991;6.43
930;Road traffic, total;Methane (CH4);1992;6.119
931;Road traffic, total;Methane (CH4);1993;5.595
932;Road traffic, total;Methane (CH4);1994;5.255
933;Road traffic, total;Methane (CH4);1995;4.973
934;Road traffic, total;Methane (CH4);1996;4.723
935;Road traffic, total;Methane (CH4);1997;4.426
936;Road traffic, total;Methane (CH4);1998;4.179
937;Road traffic, total;Methane (CH4);1999;3.985
938;Road traffic, total;Methane (CH4);2000;3.635
939;Road traffic, total;Methane (CH4);2001;3.507
940;Road traffic, total;Methane (CH4);2002;3.428
941;Road traffic, total;Methane (CH4);2003;3.36
942;Road traffic, total;Methane (CH4);2004;3.302
943;Road traffic, total;Methane (CH4);2005;3.184
944;Road traffic, total;Methane (CH4);2006;3.123
945;Road traffic, total;Methane (CH4);2007;3.116
946;Road traffic, total;Methane (CH4);2008;3.102
947;Road traffic, total;Methane (CH4);2009;2.962
948;Road traffic, total;Methane (CH4);2010;2.848
949;Road traffic, total;Methane (CH4);2011;2.735
950;Road traffic, total;Methane (CH4);2012;2.645
951;Road traffic, total;Methane (CH4);2013;2.662
952;Road traffic, total;Methane (CH4);2014;2.657
953;Road traffic, total;Methane (CH4);2015;2.699
954;Road traffic, total;Methane (CH4);2016;2.738
955;Road traffic, total;Methane (CH4);2017;2.807
956;Road traffic, total;Methane (CH4);2018;2.706
957;Road traffic, total;Methane (CH4);2019;2.662
958;Road traffic, total;Methane (CH4);2020;2.359
959;Road traffic, total;Methane (CH4);2021;2.343
960;Road traffic, total;NMVOS;1990;186.46
961;Road traffic, total;NMVOS;1991;158.97
962;Road traffic, total;NMVOS;1992;148.86
963;Road traffic, total;NMVOS;1993;134.44
964;Road traffic, total;NMVOS;1994;124.32
965;Road traffic, total;NMVOS;1995;113.93
966;Road traffic, total;NMVOS;1996;105.11
967;Road traffic, total;NMVOS;1997;95.925
968;Road traffic, total;NMVOS;1998;88.246
969;Road traffic, total;NMVOS;1999;81.585
970;Road traffic, total;NMVOS;2000;69.546
971;Road traffic, total;NMVOS;2001;62.557
972;Road traffic, total;NMVOS;2002;57.087
973;Road traffic, total;NMVOS;2003;52.579
974;Road traffic, total;NMVOS;2004;49.248
975;Road traffic, total;NMVOS;2005;45.715
976;Road traffic, total;NMVOS;2006;43.233
977;Road traffic, total;NMVOS;2007;41.578
978;Road traffic, total;NMVOS;2008;40.793
979;Road traffic, total;NMVOS;2009;38.459
980;Road traffic, total;NMVOS;2010;35.756
981;Road traffic, total;NMVOS;2011;33.663
982;Road traffic, total;NMVOS;2012;31.254
983;Road traffic, total;NMVOS;2013;30.394
984;Road traffic, total;NMVOS;2014;29.439
985;Road traffic, total;NMVOS;2015;29.236
986;Road traffic, total;NMVOS;2016;29.211
987;Road traffic, total;NMVOS;2017;29.509
988;Road traffic, total;NMVOS;2018;27.883
989;Road traffic, total;NMVOS;2019;27.331
990;Road traffic, total;NMVOS;2020;24.906
991;Road traffic, total;NMVOS;2021;24.731
992;Road traffic, total;Nitrogen oxides (NOx);1990;257.97
993;Road traffic, total;Nitrogen oxides (NOx);1991;249.22
994;Road traffic, total;Nitrogen oxides (NOx);1992;242.46
995;Road traffic, total;Nitrogen oxides (NOx);1993;224.71
996;Road traffic, total;Nitrogen oxides (NOx);1994;209.64
997;Road traffic, total;Nitrogen oxides (NOx);1995;196.66
998;Road traffic, total;Nitrogen oxides (NOx);1996;185.65
999;Road traffic, total;Nitrogen oxides (NOx);1997;175.39
1000;Road traffic, total;Nitrogen oxides (NOx);1998;167.69
1001;Road traffic, total;Nitrogen oxides (NOx);1999;167.33
1002;Road traffic, total;Nitrogen oxides (NOx);2000;158.81
1003;Road traffic, total;Nitrogen oxides (NOx);2001;151.68
1004;Road traffic, total;Nitrogen oxides (NOx);2002;145.78
1005;Road traffic, total;Nitrogen oxides (NOx);2003;140.74
1006;Road traffic, total;Nitrogen oxides (NOx);2004;138.21
1007;Road traffic, total;Nitrogen oxides (NOx);2005;131.78
1008;Road traffic, total;Nitrogen oxides (NOx);2006;128.36
1009;Road traffic, total;Nitrogen oxides (NOx);2007;126.62
1010;Road traffic, total;Nitrogen oxides (NOx);2008;122.73
1011;Road traffic, total;Nitrogen oxides (NOx);2009;115.08
1012;Road traffic, total;Nitrogen oxides (NOx);2010;109.3
1013;Road traffic, total;Nitrogen oxides (NOx);2011;104.7
1014;Road traffic, total;Nitrogen oxides (NOx);2012;99.051
1015;Road traffic, total;Nitrogen oxides (NOx);2013;91.846
1016;Road traffic, total;Nitrogen oxides (NOx);2014;86.668
1017;Road traffic, total;Nitrogen oxides (NOx);2015;85.105
1018;Road traffic, total;Nitrogen oxides (NOx);2016;81.75
1019;Road traffic, total;Nitrogen oxides (NOx);2017;78.848
1020;Road traffic, total;Nitrogen oxides (NOx);2018;74.84
1021;Road traffic, total;Nitrogen oxides (NOx);2019;69.444
1022;Road traffic, total;Nitrogen oxides (NOx);2020;59.518
1023;Road traffic, total;Nitrogen oxides (NOx);2021;57.271
1024;Road traffic, total;Dinitrogen oxide (N2O);1990;0.313
1025;Road traffic, total;Dinitrogen oxide (N2O);1991;0.408
1026;Road traffic, total;Dinitrogen oxide (N2O);1992;0.527
1027;Road traffic, total;Dinitrogen oxide (N2O);1993;0.607
1028;Road traffic, total;Dinitrogen oxide (N2O);1994;0.698
1029;Road traffic, total;Dinitrogen oxide (N2O);1995;0.763
1030;Road traffic, total;Dinitrogen oxide (N2O);1996;0.791
1031;Road traffic, total;Dinitrogen oxide (N2O);1997;0.812
1032;Road traffic, total;Dinitrogen oxide (N2O);1998;0.82
1033;Road traffic, total;Dinitrogen oxide (N2O);1999;0.837
1034;Road traffic, total;Dinitrogen oxide (N2O);2000;0.871
1035;Road traffic, total;Dinitrogen oxide (N2O);2001;0.859
1036;Road traffic, total;Dinitrogen oxide (N2O);2002;0.845
1037;Road traffic, total;Dinitrogen oxide (N2O);2003;0.822
1038;Road traffic, total;Dinitrogen oxide (N2O);2004;0.81
1039;Road traffic, total;Dinitrogen oxide (N2O);2005;0.782
1040;Road traffic, total;Dinitrogen oxide (N2O);2006;0.773
1041;Road traffic, total;Dinitrogen oxide (N2O);2007;0.799
1042;Road traffic, total;Dinitrogen oxide (N2O);2008;0.827
1043;Road traffic, total;Dinitrogen oxide (N2O);2009;0.853
1044;Road traffic, total;Dinitrogen oxide (N2O);2010;0.89
1045;Road traffic, total;Dinitrogen oxide (N2O);2011;0.933
1046;Road traffic, total;Dinitrogen oxide (N2O);2012;1.004
1047;Road traffic, total;Dinitrogen oxide (N2O);2013;1.042
1048;Road traffic, total;Dinitrogen oxide (N2O);2014;1.026
1049;Road traffic, total;Dinitrogen oxide (N2O);2015;1.097
1050;Road traffic, total;Dinitrogen oxide (N2O);2016;1.133
1051;Road traffic, total;Dinitrogen oxide (N2O);2017;1.249
1052;Road traffic, total;Dinitrogen oxide (N2O);2018;1.222
1053;Road traffic, total;Dinitrogen oxide (N2O);2019;1.246
1054;Road traffic, total;Dinitrogen oxide (N2O);2020;1.156
1055;Road traffic, total;Dinitrogen oxide (N2O);2021;1.199
1056;Road traffic, total;Sulphur dioxide (SO2);1990;12.786
1057;Road traffic, total;Sulphur dioxide (SO2);1991;13.025
1058;Road traffic, total;Sulphur dioxide (SO2);1992;13.503
1059;Road traffic, total;Sulphur dioxide (SO2);1993;13.347
1060;Road traffic, total;Sulphur dioxide (SO2);1994;12.918
1061;Road traffic, total;Sulphur dioxide (SO2);1995;11.902
1062;Road traffic, total;Sulphur dioxide (SO2);1996;8.911
1063;Road traffic, total;Sulphur dioxide (SO2);1997;4.189
1064;Road traffic, total;Sulphur dioxide (SO2);1998;4.374
1065;Road traffic, total;Sulphur dioxide (SO2);1999;4.728
1066;Road traffic, total;Sulphur dioxide (SO2);2000;3.001
1067;Road traffic, total;Sulphur dioxide (SO2);2001;0.759
1068;Road traffic, total;Sulphur dioxide (SO2);2002;0.774
1069;Road traffic, total;Sulphur dioxide (SO2);2003;0.488
1070;Road traffic, total;Sulphur dioxide (SO2);2004;0.553
1071;Road traffic, total;Sulphur dioxide (SO2);2005;0.231
1072;Road traffic, total;Sulphur dioxide (SO2);2006;0.284
1073;Road traffic, total;Sulphur dioxide (SO2);2007;0.287
1074;Road traffic, total;Sulphur dioxide (SO2);2008;0.187
1075;Road traffic, total;Sulphur dioxide (SO2);2009;0.185
1076;Road traffic, total;Sulphur dioxide (SO2);2010;0.186
1077;Road traffic, total;Sulphur dioxide (SO2);2011;0.185
1078;Road traffic, total;Sulphur dioxide (SO2);2012;0.183
1079;Road traffic, total;Sulphur dioxide (SO2);2013;0.179
1080;Road traffic, total;Sulphur dioxide (SO2);2014;0.179
1081;Road traffic, total;Sulphur dioxide (SO2);2015;0.182
1082;Road traffic, total;Sulphur dioxide (SO2);2016;0.186
1083;Road traffic, total;Sulphur dioxide (SO2);2017;0.188
1084;Road traffic, total;Sulphur dioxide (SO2);2018;0.192
1085;Road traffic, total;Sulphur dioxide (SO2);2019;0.192
1086;Road traffic, total;Sulphur dioxide (SO2);2020;0.172
1087;Road traffic, total;Sulphur dioxide (SO2);2021;0.177
1088;Road traffic, total;PM10;1990;17.4
1089;Road traffic, total;PM10;1991;16.669
1090;Road traffic, total;PM10;1992;16.289
1091;Road traffic, total;PM10;1993;15.144
1092;Road traffic, total;PM10;1994;14.239
1093;Road traffic, total;PM10;1995;13.301
1094;Road traffic, total;PM10;1996;12.384
1095;Road traffic, total;PM10;1997;11.653
1096;Road traffic, total;PM10;1998;11.182
1097;Road traffic, total;PM10;1999;11.183
1098;Road traffic, total;PM10;2000;10.636
1099;Road traffic, total;PM10;2001;10.154
1100;Road traffic, total;PM10;2002;9.632
1101;Road traffic, total;PM10;2003;9.169
1102;Road traffic, total;PM10;2004;8.925
1103;Road traffic, total;PM10;2005;8.372
1104;Road traffic, total;PM10;2006;7.873
1105;Road traffic, total;PM10;2007;7.537
1106;Road traffic, total;PM10;2008;7.05
1107;Road traffic, total;PM10;2009;6.494
1108;Road traffic, total;PM10;2010;6.08
1109;Road traffic, total;PM10;2011;5.658
1110;Road traffic, total;PM10;2012;5.198
1111;Road traffic, total;PM10;2013;4.781
1112;Road traffic, total;PM10;2014;4.475
1113;Road traffic, total;PM10;2015;4.369
1114;Road traffic, total;PM10;2016;4.248
1115;Road traffic, total;PM10;2017;4.201
1116;Road traffic, total;PM10;2018;4.083
1117;Road traffic, total;PM10;2019;3.952
1118;Road traffic, total;PM10;2020;3.456
1119;Road traffic, total;PM10;2021;3.488
1120;Road traffic, total;PM2.5 (Particulate matter);1990;15.673
1121;Road traffic, total;PM2.5 (Particulate matter);1991;14.964
1122;Road traffic, total;PM2.5 (Particulate matter);1992;14.501
1123;Road traffic, total;PM2.5 (Particulate matter);1993;13.372
1124;Road traffic, total;PM2.5 (Particulate matter);1994;12.447
1125;Road traffic, total;PM2.5 (Particulate matter);1995;11.492
1126;Road traffic, total;PM2.5 (Particulate matter);1996;10.569
1127;Road traffic, total;PM2.5 (Particulate matter);1997;9.811
1128;Road traffic, total;PM2.5 (Particulate matter);1998;9.309
1129;Road traffic, total;PM2.5 (Particulate matter);1999;9.233
1130;Road traffic, total;PM2.5 (Particulate matter);2000;8.682
1131;Road traffic, total;PM2.5 (Particulate matter);2001;8.183
1132;Road traffic, total;PM2.5 (Particulate matter);2002;7.63
1133;Road traffic, total;PM2.5 (Particulate matter);2003;7.148
1134;Road traffic, total;PM2.5 (Particulate matter);2004;6.856
1135;Road traffic, total;PM2.5 (Particulate matter);2005;6.265
1136;Road traffic, total;PM2.5 (Particulate matter);2006;5.752
1137;Road traffic, total;PM2.5 (Particulate matter);2007;5.375
1138;Road traffic, total;PM2.5 (Particulate matter);2008;4.884
1139;Road traffic, total;PM2.5 (Particulate matter);2009;4.335
1140;Road traffic, total;PM2.5 (Particulate matter);2010;3.918
1141;Road traffic, total;PM2.5 (Particulate matter);2011;3.495
1142;Road traffic, total;PM2.5 (Particulate matter);2012;3.048
1143;Road traffic, total;PM2.5 (Particulate matter);2013;2.657
1144;Road traffic, total;PM2.5 (Particulate matter);2014;2.345
1145;Road traffic, total;PM2.5 (Particulate matter);2015;2.195
1146;Road traffic, total;PM2.5 (Particulate matter);2016;1.992
1147;Road traffic, total;PM2.5 (Particulate matter);2017;1.896
1148;Road traffic, total;PM2.5 (Particulate matter);2018;1.737
1149;Road traffic, total;PM2.5 (Particulate matter);2019;1.587
1150;Road traffic, total;PM2.5 (Particulate matter);2020;1.349
1151;Road traffic, total;PM2.5 (Particulate matter);2021;1.307
1152;Road traffic, passenger cars;Carbon dioxide (CO2);1990;15500.0
1153;Road traffic, passenger cars;Carbon dioxide (CO2);1991;15400.0
1154;Road traffic, passenger cars;Carbon dioxide (CO2);1992;16100.0
1155;Road traffic, passenger cars;Carbon dioxide (CO2);1993;15900.0
1156;Road traffic, passenger cars;Carbon dioxide (CO2);1994;16300.0
1157;Road traffic, passenger cars;Carbon dioxide (CO2);1995;16100.0
1158;Road traffic, passenger cars;Carbon dioxide (CO2);1996;16300.0
1159;Road traffic, passenger cars;Carbon dioxide (CO2);1997;16700.0
1160;Road traffic, passenger cars;Carbon dioxide (CO2);1998;17000.0
1161;Road traffic, passenger cars;Carbon dioxide (CO2);1999;17700.0
1162;Road traffic, passenger cars;Carbon dioxide (CO2);2000;17800.0
1163;Road traffic, passenger cars;Carbon dioxide (CO2);2001;18000.0
1164;Road traffic, passenger cars;Carbon dioxide (CO2);2002;18400.0
1165;Road traffic, passenger cars;Carbon dioxide (CO2);2003;18600.0
1166;Road traffic, passenger cars;Carbon dioxide (CO2);2004;19100.0
1167;Road traffic, passenger cars;Carbon dioxide (CO2);2005;18600.0
1168;Road traffic, passenger cars;Carbon dioxide (CO2);2006;18500.0
1169;Road traffic, passenger cars;Carbon dioxide (CO2);2007;18400.0
1170;Road traffic, passenger cars;Carbon dioxide (CO2);2008;18000.0
1171;Road traffic, passenger cars;Carbon dioxide (CO2);2009;17800.0
1172;Road traffic, passenger cars;Carbon dioxide (CO2);2010;17800.0
1173;Road traffic, passenger cars;Carbon dioxide (CO2);2011;17700.0
1174;Road traffic, passenger cars;Carbon dioxide (CO2);2012;17500.0
1175;Road traffic, passenger cars;Carbon dioxide (CO2);2013;17200.0
1176;Road traffic, passenger cars;Carbon dioxide (CO2);2014;17100.0
1177;Road traffic, passenger cars;Carbon dioxide (CO2);2015;17100.0
1178;Road traffic, passenger cars;Carbon dioxide (CO2);2016;17400.0
1179;Road traffic, passenger cars;Carbon dioxide (CO2);2017;17500.0
1180;Road traffic, passenger cars;Carbon dioxide (CO2);2018;17600.0
1181;Road traffic, passenger cars;Carbon dioxide (CO2);2019;17400.0
1182;Road traffic, passenger cars;Carbon dioxide (CO2);2020;14400.0
1183;Road traffic, passenger cars;Carbon dioxide (CO2);2021;14900.0
1184;Road traffic, passenger cars;Carbon monoxide (CO);1990;592.78
1185;Road traffic, passenger cars;Carbon monoxide (CO);1991;502.57
1186;Road traffic, passenger cars;Carbon monoxide (CO);1992;475.35
1187;Road traffic, passenger cars;Carbon monoxide (CO);1993;427.0
1188;Road traffic, passenger cars;Carbon monoxide (CO);1994;398.22
1189;Road traffic, passenger cars;Carbon monoxide (CO);1995;379.45
1190;Road traffic, passenger cars;Carbon monoxide (CO);1996;364.52
1191;Road traffic, passenger cars;Carbon monoxide (CO);1997;342.42
1192;Road traffic, passenger cars;Carbon monoxide (CO);1998;323.8
1193;Road traffic, passenger cars;Carbon monoxide (CO);1999;316.09
1194;Road traffic, passenger cars;Carbon monoxide (CO);2000;303.42
1195;Road traffic, passenger cars;Carbon monoxide (CO);2001;304.61
1196;Road traffic, passenger cars;Carbon monoxide (CO);2002;309.68
1197;Road traffic, passenger cars;Carbon monoxide (CO);2003;313.07
1198;Road traffic, passenger cars;Carbon monoxide (CO);2004;314.88
1199;Road traffic, passenger cars;Carbon monoxide (CO);2005;300.46
1200;Road traffic, passenger cars;Carbon monoxide (CO);2006;293.83
1201;Road traffic, passenger cars;Carbon monoxide (CO);2007;292.84
1202;Road traffic, passenger cars;Carbon monoxide (CO);2008;281.27
1203;Road traffic, passenger cars;Carbon monoxide (CO);2009;272.64
1204;Road traffic, passenger cars;Carbon monoxide (CO);2010;265.49
1205;Road traffic, passenger cars;Carbon monoxide (CO);2011;256.66
1206;Road traffic, passenger cars;Carbon monoxide (CO);2012;243.72
1207;Road traffic, passenger cars;Carbon monoxide (CO);2013;235.7
1208;Road traffic, passenger cars;Carbon monoxide (CO);2014;224.19
1209;Road traffic, passenger cars;Carbon monoxide (CO);2015;222.08
1210;Road traffic, passenger cars;Carbon monoxide (CO);2016;213.12
1211;Road traffic, passenger cars;Carbon monoxide (CO);2017;213.86
1212;Road traffic, passenger cars;Carbon monoxide (CO);2018;199.54
1213;Road traffic, passenger cars;Carbon monoxide (CO);2019;185.72
1214;Road traffic, passenger cars;Carbon monoxide (CO);2020;155.97
1215;Road traffic, passenger cars;Carbon monoxide (CO);2021;151.66
1216;Road traffic, passenger cars;VOC emission by combustion;1990;105.64
1217;Road traffic, passenger cars;VOC emission by combustion;1991;86.98
1218;Road traffic, passenger cars;VOC emission by combustion;1992;79.984
1219;Road traffic, passenger cars;VOC emission by combustion;1993;69.906
1220;Road traffic, passenger cars;VOC emission by combustion;1994;63.306
1221;Road traffic, passenger cars;VOC emission by combustion;1995;57.525
1222;Road traffic, passenger cars;VOC emission by combustion;1996;52.843
1223;Road traffic, passenger cars;VOC emission by combustion;1997;46.756
1224;Road traffic, passenger cars;VOC emission by combustion;1998;41.675
1225;Road traffic, passenger cars;VOC emission by combustion;1999;37.725
1226;Road traffic, passenger cars;VOC emission by combustion;2000;31.041
1227;Road traffic, passenger cars;VOC emission by combustion;2001;27.875
1228;Road traffic, passenger cars;VOC emission by combustion;2002;25.438
1229;Road traffic, passenger cars;VOC emission by combustion;2003;23.579
1230;Road traffic, passenger cars;VOC emission by combustion;2004;22.201
1231;Road traffic, passenger cars;VOC emission by combustion;2005;20.082
1232;Road traffic, passenger cars;VOC emission by combustion;2006;18.892
1233;Road traffic, passenger cars;VOC emission by combustion;2007;18.425
1234;Road traffic, passenger cars;VOC emission by combustion;2008;17.75
1235;Road traffic, passenger cars;VOC emission by combustion;2009;16.91
1236;Road traffic, passenger cars;VOC emission by combustion;2010;16.417
1237;Road traffic, passenger cars;VOC emission by combustion;2011;16.069
1238;Road traffic, passenger cars;VOC emission by combustion;2012;15.297
1239;Road traffic, passenger cars;VOC emission by combustion;2013;15.182
1240;Road traffic, passenger cars;VOC emission by combustion;2014;14.833
1241;Road traffic, passenger cars;VOC emission by combustion;2015;15.009
1242;Road traffic, passenger cars;VOC emission by combustion;2016;15.105
1243;Road traffic, passenger cars;VOC emission by combustion;2017;15.447
1244;Road traffic, passenger cars;VOC emission by combustion;2018;14.127
1245;Road traffic, passenger cars;VOC emission by combustion;2019;13.776
1246;Road traffic, passenger cars;VOC emission by combustion;2020;11.992
1247;Road traffic, passenger cars;VOC emission by combustion;2021;12.235
1248;Road traffic, passenger cars;VOC emission by evaporation;1990;34.226
1249;Road traffic, passenger cars;VOC emission by evaporation;1991;30.759
1250;Road traffic, passenger cars;VOC emission by evaporation;1992;28.75
1251;Road traffic, passenger cars;VOC emission by evaporation;1993;25.786
1252;Road traffic, passenger cars;VOC emission by evaporation;1994;23.475
1253;Road traffic, passenger cars;VOC emission by evaporation;1995;20.671
1254;Road traffic, passenger cars;VOC emission by evaporation;1996;18.184
1255;Road traffic, passenger cars;VOC emission by evaporation;1997;15.981
1256;Road traffic, passenger cars;VOC emission by evaporation;1998;13.945
1257;Road traffic, passenger cars;VOC emission by evaporation;1999;12.068
1258;Road traffic, passenger cars;VOC emission by evaporation;2000;9.376
1259;Road traffic, passenger cars;VOC emission by evaporation;2001;7.421
1260;Road traffic, passenger cars;VOC emission by evaporation;2002;5.767
1261;Road traffic, passenger cars;VOC emission by evaporation;2003;4.419
1262;Road traffic, passenger cars;VOC emission by evaporation;2004;3.468
1263;Road traffic, passenger cars;VOC emission by evaporation;2005;2.63
1264;Road traffic, passenger cars;VOC emission by evaporation;2006;2.065
1265;Road traffic, passenger cars;VOC emission by evaporation;2007;1.696
1266;Road traffic, passenger cars;VOC emission by evaporation;2008;1.467
1267;Road traffic, passenger cars;VOC emission by evaporation;2009;1.287
1268;Road traffic, passenger cars;VOC emission by evaporation;2010;1.198
1269;Road traffic, passenger cars;VOC emission by evaporation;2011;1.225
1270;Road traffic, passenger cars;VOC emission by evaporation;2012;1.126
