ID;InstitutionalInvestors;Periods;TotalInvestments_1;DirectProperty_2;MortgageLoans_3;TotalEquityAndInvestmentFundShares_4;IndirectProperty_5;OtherEquityAndInvestmentFundShares_6;DebtSecurities_7;FinancialDerivatives_8;LongTermLoans_9;OtherInvestments_10;TotalInvestments_11;DirectProperty_12;MortgageLoans_13;TotalEquityAndInvestmentFundShares_14;IndirectProperty_15;OtherEquityAndInvestmentFundShares_16;DebtSecurities_17;FinancialDerivatives_18;LongTermLoans_19;OtherInvestments_20
157;Insurance corporations;2001;273.8;14.9;32.0;77.9;2.3;75.6;88.1;0.1;40.8;20.0;100;5.4;11.7;28.4;0.8;27.6;32.2;0.0;14.9;7.3
158;Insurance corporations;2002;261.9;15.2;31.5;66.0;2.0;64.0;88.7;0.2;36.7;23.5;100;5.8;12.0;25.2;0.8;24.5;33.9;0.1;14.0;9.0
159;Insurance corporations;2003;279.0;13.9;28.8;74.4;2.0;72.4;101.3;0.1;36.5;24.1;100;5.0;10.3;26.7;0.7;25.9;36.3;0.0;13.1;8.6
160;Insurance corporations;2004;299.4;14.4;25.7;81.3;2.9;78.5;124.3;0.5;30.9;22.2;100;4.8;8.6;27.2;1.0;26.2;41.5;0.2;10.3;7.4
161;Insurance corporations;2005 1st quarter;304.8;12.7;26.5;86.3;;;127.4;1.4;27.6;22.8;100;4.2;8.7;28.3;;;41.8;0.5;9.1;7.5
162;Insurance corporations;2005 2nd quarter;322.4;12.8;24.8;94.7;;;137.6;2.3;26.6;23.6;100;4.0;7.7;29.4;;;42.7;0.7;8.3;7.3
163;Insurance corporations;2005 3rd quarter;334.3;12.8;25.7;102.2;;;139.4;2.5;26.9;24.8;100;3.8;7.7;30.6;;;41.7;0.7;8.0;7.4
164;Insurance corporations;2005 4th quarter;340.5;13.2;25.6;109.1;3.0;106.1;137.7;2.2;27.3;25.5;100;3.9;7.5;32.0;0.9;31.2;40.4;0.7;8.0;7.5
165;Insurance corporations;2005;340.5;13.2;25.6;109.1;3.0;106.1;137.7;2.2;27.3;25.5;100;3.9;7.5;32.0;0.9;31.2;40.4;0.7;8.0;7.5
166;Insurance corporations;2006 1st quarter;352.3;13.4;24.8;120.3;;;136.4;1.8;26.0;29.5;100;3.8;7.1;34.2;;;38.7;0.5;7.4;8.4
167;Insurance corporations;2006 2nd quarter;343.4;13.5;24.5;113.6;;;134.8;0.9;26.4;29.6;100;3.9;7.1;33.1;;;39.3;0.3;7.7;8.6
168;Insurance corporations;2006 3rd quarter;348.7;13.9;23.6;118.7;;;138.6;2.0;26.3;25.7;100;4.0;6.8;34.0;;;39.7;0.6;7.5;7.4
169;Insurance corporations;2006 4th quarter;347.7;14.2;23.5;122.5;3.4;119.1;136.0;2.0;28.2;21.2;100;4.1;6.8;35.2;1.0;34.3;39.1;0.6;8.1;6.1
170;Insurance corporations;2006;347.7;14.2;23.5;122.5;3.4;119.1;136.0;2.0;28.2;21.2;100;4.1;6.8;35.2;1.0;34.3;39.1;0.6;8.1;6.1
171;Insurance corporations;2007 1st quarter;362.0;14.7;24.4;128.6;;;143.4;1.3;29.1;20.5;100;4.1;6.8;35.5;;;39.6;0.4;8.0;5.7
172;Insurance corporations;2007 2nd quarter;365.0;14.3;21.8;137.3;;;144.0;-0.2;28.4;19.4;100;3.9;6.0;37.6;;;39.5;0.0;7.8;5.3
173;Insurance corporations;2007 3rd quarter;371.1;13.9;22.7;139.8;;;146.0;0.9;26.0;21.8;100;3.7;6.1;37.7;;;39.4;0.3;7.0;5.9
174;Insurance corporations;2007 4th quarter;360.4;12.7;21.2;127.9;3.2;124.7;147.1;0.7;25.9;24.8;100;3.5;5.9;35.5;0.9;34.6;40.8;0.2;7.2;6.9
175;Insurance corporations;2007;360.4;12.7;21.2;127.9;3.2;124.7;147.1;0.7;25.9;24.8;100;3.5;5.9;35.5;0.9;34.6;40.8;0.2;7.2;6.9
176;Insurance corporations;2008 1st quarter;362.3;12.7;22.2;124.5;;;147.3;3.5;25.5;26.6;100;3.5;6.1;34.4;;;40.7;1.0;7.0;7.3
177;Insurance corporations;2008 2nd quarter;354.8;12.7;22.7;118.4;;;143.8;3.2;24.5;29.4;100;3.6;6.4;33.4;;;40.5;0.9;6.9;8.3
178;Insurance corporations;2008 3rd quarter;350.5;12.9;21.0;110.8;;;145.6;4.5;23.4;32.3;100;3.7;6.0;31.6;;;41.5;1.3;6.7;9.2
179;Insurance corporations;2008 4th quarter before revision;353.5;12.9;21.4;95.8;2.3;93.5;151.8;8.3;24.5;38.8;100;3.7;6.1;27.1;0.7;26.4;42.9;2.3;6.9;11.0
180;Insurance corporations;2008 4th quarter after revision;327.4;8.6;;73.3;2.3;70.9;151.5;8.8;53.4;31.8;100;2.6;;22.4;0.7;21.7;46.3;2.7;16.3;9.7
181;Insurance corporations;2008 before revision;353.5;12.9;21.4;95.8;2.3;93.5;151.8;8.3;24.5;38.8;100;3.7;6.1;27.1;0.7;26.4;42.9;2.3;6.9;11.0
182;Insurance corporations;2008 after revision;327.4;8.6;;73.3;2.3;70.9;151.5;8.8;53.4;31.8;100;2.6;;22.4;0.7;21.7;46.3;2.7;16.3;9.7
183;Insurance corporations;2009 1st quarter;317.5;8.7;;68.1;;;150.3;6.4;54.7;29.3;100;2.8;;21.5;;;47.3;2.0;17.2;9.2
184;Insurance corporations;2009 2nd quarter;322.8;8.7;;69.8;;;157.0;3.6;56.4;27.4;100;2.7;;21.6;;;48.6;1.1;17.5;8.5
185;Insurance corporations;2009 3rd quarter;335.9;8.7;;77.5;;;164.6;4.3;55.8;25.1;100;2.6;;23.1;;;49.0;1.3;16.6;7.5
186;Insurance corporations;2009 4th quarter;337.1;8.7;;78.8;2.4;76.4;164.0;4.2;54.2;27.1;100;2.6;;23.4;0.7;22.7;48.7;1.3;16.1;8.0
187;Insurance corporations;2009;337.1;8.7;;78.8;2.4;76.4;164.0;4.2;54.2;27.1;100;2.6;;23.4;0.7;22.7;48.7;1.3;16.1;8.0
188;Insurance corporations;2010 1st quarter;351.9;8.6;;86.8;;;168.3;4.5;55.0;28.8;100;2.4;;24.7;;;47.8;1.3;15.6;8.2
189;Insurance corporations;2010 2nd quarter;355.8;8.5;;86.7;;;168.2;8.4;54.9;29.0;100;2.4;;24.4;;;47.3;2.4;15.4;8.1
190;Insurance corporations;2010 3rd quarter;371.3;8.5;;90.1;;;176.3;10.3;57.2;28.8;100;2.3;;24.3;;;47.5;2.8;15.4;7.8
191;Insurance corporations;2010 4th quarter;365.2;7.4;;98.1;2.6;95.5;170.9;6.1;56.5;26.3;100;2.0;;26.9;0.7;26.1;46.8;1.7;15.5;7.2
192;Insurance corporations;2010;365.2;7.4;;98.1;2.6;95.5;170.9;6.1;56.5;26.3;100;2.0;;26.9;0.7;26.1;46.8;1.7;15.5;7.2
193;Insurance corporations;2011 1st quarter;369.4;7.1;;102.2;;;167.5;3.9;58.8;30.0;100;1.9;;27.7;;;45.3;1.0;15.9;8.1
194;Insurance corporations;2011 2nd quarter;371.3;6.9;;100.3;;;168.0;4.2;61.3;30.7;100;1.9;;27.0;;;45.2;1.1;16.5;8.3
195;Insurance corporations;2011 3rd quarter;384.1;6.4;;93.9;;;176.4;12.0;62.2;33.2;100;1.7;;24.5;;;45.9;3.1;16.2;8.6
196;Insurance corporations;2011 4th quarter;387.4;6.2;;97.5;2.7;94.8;178.0;13.9;61.7;30.2;100;1.6;;25.2;0.7;24.5;45.9;3.6;15.9;7.8
197;Insurance corporations;2011;387.4;6.2;;97.5;2.7;94.8;178.0;13.9;61.7;30.2;100;1.6;;25.2;0.7;24.5;45.9;3.6;15.9;7.8
198;Insurance corporations;2012 1st quarter;391.1;6.1;;101.4;;;182.0;12.4;61.8;27.4;100;1.6;;25.9;;;46.5;3.2;15.8;7.0
199;Insurance corporations;2012 2nd quarter;398.5;6.1;;100.6;;;186.5;14.4;62.0;28.9;100;1.5;;25.2;;;46.8;3.6;15.6;7.3
200;Insurance corporations;2012 3rd quarter;405.2;6.0;;101.9;;;192.6;14.2;62.4;28.0;100;1.5;;25.1;;;47.5;3.5;15.4;6.9
201;Insurance corporations;2012 4th quarter;410.8;6.0;;103.0;2.6;100.4;200.5;13.1;63.6;24.6;100;1.5;;25.1;0.6;24.4;48.8;3.2;15.5;6.0
202;Insurance corporations;2012;410.8;6.0;;103.0;2.6;100.4;200.5;13.1;63.6;24.6;100;1.5;;25.1;0.6;24.4;48.8;3.2;15.5;6.0
203;Insurance corporations;2013 1st quarter;409.9;5.5;;104.4;;;199.3;11.6;63.9;25.2;100;1.3;;25.5;;;48.6;2.8;15.6;6.1
204;Insurance corporations;2013 2nd quarter;401.9;5.1;;102.1;;;196.3;10.0;65.8;22.5;100;1.3;;25.4;;;48.9;2.5;16.4;5.6
205;Insurance corporations;2013 3rd quarter;398.2;4.7;;113.3;;;183.9;8.5;67.9;19.9;100;1.2;;28.4;;;46.2;2.1;17.0;5.0
206;Insurance corporations;2013 4th quarter;395.0;5.4;;117.2;2.6;114.6;180.4;6.5;72.3;13.2;100;1.4;;29.7;0.7;29.0;45.7;1.7;18.3;3.3
207;Insurance corporations;2013;395.0;5.4;;117.2;2.6;114.6;180.4;6.5;72.3;13.2;100;1.4;;29.7;0.7;29.0;45.7;1.7;18.3;3.3
208;Insurance corporations;2014 1st quarter;402.4;5.2;;116.4;;;182.5;9.1;73.0;16.2;100;1.3;;28.9;;;45.3;2.3;18.1;4.0
209;Insurance corporations;2014 2nd quarter;411.4;5.2;;113.9;;;190.4;11.8;75.6;14.6;100;1.3;;27.7;;;46.3;2.9;18.4;3.6
210;Insurance corporations;2014 3rd quarter;429.4;5.1;;119.5;;;198.3;14.4;76.3;15.8;100;1.2;;27.8;;;46.2;3.4;17.8;3.7
211;Insurance corporations;2014 4th quarter;446.3;5.2;;124.3;2.9;121.4;204.1;16.7;77.5;18.5;100;1.2;;27.8;0.6;27.2;45.7;3.7;17.4;4.1
212;Insurance corporations;2014;446.3;5.2;;124.3;2.9;121.4;204.1;16.7;77.5;18.5;100;1.2;;27.8;0.6;27.2;45.7;3.7;17.4;4.1
213;Insurance corporations;2015 1st quarter;488.0;5.1;;130.8;;;219.8;25.4;79.6;27.3;100;1.0;;26.8;;;45.0;5.2;16.3;5.6
214;Insurance corporations;2015 2nd quarter;438.8;5.1;;122.3;;;199.4;11.8;79.6;20.6;100;1.2;;27.9;;;45.4;2.7;18.1;4.7
215;Insurance corporations;2015 3rd quarter;435.0;5.2;;116.3;;;200.3;12.8;82.2;18.4;100;1.2;;26.7;;;46.0;2.9;18.9;4.2
216;Insurance corporations;2015 4th quarter;431.8;4.6;;118.4;3.3;115.2;196.5;10.0;84.5;17.6;100;1.1;;27.4;0.8;26.7;45.5;2.3;19.6;4.1
217;Insurance corporations;2015;431.8;4.6;;118.4;3.3;115.2;196.5;10.0;84.5;17.6;100;1.1;;27.4;0.8;26.7;45.5;2.3;19.6;4.1
218;Insurance corporations;2016 1st quarter;451.6;4.6;;114.9;;;206.8;16.9;86.7;21.7;100;1.0;;25.4;;;45.8;3.8;19.2;4.8
219;Insurance corporations;2016 2nd quarter;465.0;4.6;;116.3;;;212.2;19.8;85.4;26.8;100;1.0;;25.0;;;45.6;4.2;18.4;5.8
220;Insurance corporations;2016 3rd quarter;468.0;4.6;;118.9;;;209.5;20.2;86.8;28.0;100;1.0;;25.4;;;44.8;4.3;18.5;6.0
221;Insurance corporations;2016 4th quarter;446.0;4.9;;114.6;3.5;111.0;201.6;12.0;87.0;25.9;100;1.1;;25.7;0.8;24.9;45.2;2.7;19.5;5.8
222;Insurance corporations;2016;446.0;4.9;;114.6;3.5;111.0;201.6;12.0;87.0;25.9;100;1.1;;25.7;0.8;24.9;45.2;2.7;19.5;5.8
223;Insurance corporations;2017 1st quarter;435.2;5.5;;110.7;;;196.0;9.1;87.9;26.0;100;1.3;;25.4;;;45.0;2.1;20.2;6.0
224;Insurance corporations;2017 2nd quarter;431.7;5.7;;111.8;;;190.8;7.2;89.8;26.5;100;1.3;;25.9;;;44.2;1.7;20.8;6.1
225;Insurance corporations;2017 3rd quarter;430.2;5.8;;112.8;;;187.5;6.3;91.0;26.9;100;1.3;;26.2;;;43.6;1.5;21.1;6.3
226;Insurance corporations;2017 4th quarter;430.8;5.6;;114.2;;;185.7;8.2;91.2;25.8;100;1.3;;26.5;;;43.1;1.9;21.2;6.0
227;Insurance corporations;2017;430.8;5.6;;114.2;;;185.7;8.2;91.2;25.8;100;1.3;;26.5;;;43.1;1.9;21.2;6.0
228;Non-MMF investment funds;1996;49.8;10.7;0.1;18.3;0.5;17.8;12.5;0.5;1.3;6.5;100;21.4;0.2;36.7;1.0;35.7;25.1;0.9;2.5;13.1
229;Non-MMF investment funds;1997;59.6;12.9;0.2;23.6;1.9;21.6;12.9;2.0;1.2;6.9;100;21.7;0.4;39.6;3.3;36.3;21.6;3.3;2.0;11.5
230;Non-MMF investment funds;1998;63.6;15.0;0.3;29.1;2.3;26.7;12.5;3.2;0.9;2.5;100;23.6;0.5;45.7;3.6;42.0;19.7;5.1;1.4;4.0
231;Non-MMF investment funds;1999;86.7;18.0;0.3;47.0;3.3;43.7;11.3;4.0;1.0;5.1;100;20.8;0.4;54.2;3.8;50.4;13.0;4.6;1.1;5.9
232;Non-MMF investment funds;2000;102.0;28.7;0.3;52.5;3.4;49.2;10.9;3.8;0.9;4.8;100;28.2;0.3;51.5;3.3;48.2;10.7;3.7;0.9;4.7
233;Non-MMF investment funds;2001;99.2;31.1;0.4;44.0;2.7;41.3;13.5;3.4;3.6;3.2;100;31.3;0.4;44.3;2.7;41.6;13.6;3.4;3.6;3.3
234;Non-MMF investment funds;2002;81.0;23.1;0.3;32.5;1.9;30.6;14.9;2.5;5.0;2.8;100;28.5;0.4;40.1;2.3;37.7;18.3;3.1;6.1;3.5
235;Non-MMF investment funds;2003;87.5;23.2;0.3;35.9;2.0;33.9;17.5;1.9;5.1;3.6;100;26.5;0.3;41.1;2.3;38.7;20.0;2.1;5.9;4.1
236;Non-MMF investment funds;2004;86.5;21.7;0.1;36.3;2.4;33.9;18.5;1.9;5.0;2.9;100;25.1;0.1;42.0;2.8;39.2;21.4;2.2;5.7;3.4
237;Non-MMF investment funds;2005 1st quarter;86.4;21.3;0.1;37.4;;;17.8;1.7;4.9;3.1;100;24.7;0.1;43.2;;;20.6;2.0;5.7;3.6
238;Non-MMF investment funds;2005 2nd quarter;87.6;21.5;0.2;38.6;;;17.8;1.7;5.1;2.7;100;24.5;0.2;44.1;;;20.3;2.0;5.8;3.1
239;Non-MMF investment funds;2005 3rd quarter;87.5;22.8;0.2;39.1;;;16.1;1.4;5.1;2.8;100;26.1;0.2;44.7;;;18.4;1.6;5.8;3.2
240;Non-MMF investment funds;2005 4th quarter;93.5;24.5;0.2;41.1;2.7;38.4;16.2;1.5;7.1;2.9;100;26.2;0.2;43.9;2.9;41.0;17.3;1.6;7.6;3.1
241;Non-MMF investment funds;2005;93.5;24.5;0.2;41.1;2.7;38.4;16.2;1.5;7.1;2.9;100;26.2;0.2;43.9;2.9;41.0;17.3;1.6;7.6;3.1
242;Non-MMF investment funds;2006 1st quarter;93.1;23.5;0.2;42.3;;;15.3;1.6;7.0;3.1;100;25.2;0.2;45.4;;;16.5;1.7;7.6;3.3
243;Non-MMF investment funds;2006 2nd quarter;92.4;24.8;0.2;42.6;;;14.7;0.6;7.1;2.4;100;26.8;0.2;46.1;;;15.9;0.7;7.7;2.6
244;Non-MMF investment funds;2006 3rd quarter;95.5;25.4;0.2;44.9;;;14.9;0.7;7.1;2.3;100;26.6;0.2;47.0;;;15.6;0.7;7.5;2.4
245;Non-MMF investment funds;2006 4th quarter;98.8;27.3;0.3;47.0;3.5;43.5;14.5;0.5;7.1;2.2;100;27.6;0.3;47.6;3.5;44.1;14.7;0.5;7.2;2.3
246;Non-MMF investment funds;2006;98.8;27.3;0.3;47.0;3.5;43.5;14.5;0.5;7.1;2.2;100;27.6;0.3;47.6;3.5;44.1;14.7;0.5;7.2;2.3
247;Non-MMF investment funds;2007 1st quarter;97.7;27.9;0.2;43.9;;;15.6;0.4;7.1;2.5;100;28.6;0.2;45.0;;;16.0;0.4;7.3;2.5
248;Non-MMF investment funds;2007 2nd quarter;89.7;17.5;0.2;46.4;;;15.1;0.4;7.1;2.9;100;19.5;0.3;51.8;;;16.9;0.5;8.0;3.2
249;Non-MMF investment funds;2007 3rd quarter;89.9;18.0;0.2;48.6;;;13.0;0.6;7.1;2.3;100;20.0;0.2;54.1;;;14.5;0.6;7.9;2.6
250;Non-MMF investment funds;2007 4th quarter;89.9;19.0;0.2;47.5;2.2;45.3;12.4;0.6;7.5;2.6;100;21.2;0.2;52.9;2.4;50.5;13.8;0.7;8.3;2.9
251;Non-MMF investment funds;2007;89.9;19.0;0.2;47.5;2.2;45.3;12.4;0.6;7.5;2.6;100;21.2;0.2;52.9;2.4;50.5;13.8;0.7;8.3;2.9
252;Non-MMF investment funds;2008 1st quarter;84.6;19.9;0.2;40.7;;;12.2;0.9;7.5;3.2;100;23.5;0.2;48.1;;;14.5;1.1;8.8;3.7
253;Non-MMF investment funds;2008 2nd quarter;82.5;20.0;0.2;39.0;;;11.5;0.8;7.3;3.7;100;24.2;0.2;47.2;;;14.0;1.0;8.8;4.5
254;Non-MMF investment funds;2008 3rd quarter;75.9;20.0;0.2;32.4;;;12.1;1.1;7.2;3.0;100;26.3;0.3;42.7;;;16.0;1.4;9.5;3.9
255;Non-MMF investment funds;2008 4th quarter before revision;67.7;18.6;0.2;25.9;2.8;23.1;12.3;1.5;6.5;2.7;100;27.5;0.3;38.3;4.1;34.1;18.1;2.2;9.6;4.0
256;Non-MMF investment funds;2008 4th quarter after revision;196.1;26.6;;84.2;2.8;81.4;64.3;1.6;13.0;6.4;100;13.6;;42.9;1.4;41.5;32.8;0.8;6.6;3.3
257;Non-MMF investment funds;2008 before revision;67.7;18.6;0.2;25.9;2.8;23.1;12.3;1.5;6.5;2.7;100;27.5;0.3;38.3;4.1;34.1;18.1;2.2;9.6;4.0
258;Non-MMF investment funds;2008 after revision;196.1;26.6;;84.2;2.8;81.4;64.3;1.6;13.0;6.4;100;13.6;;42.9;1.4;41.5;32.8;0.8;6.6;3.3
259;Non-MMF investment funds;2009 1st quarter;189.9;26.7;;80.6;;;61.7;0.8;13.1;7.0;100;14.0;;42.4;;;32.5;0.4;6.9;3.7
260;Non-MMF investment funds;2009 2nd quarter;294.1;26.2;;97.1;;;131.8;0.5;13.2;25.3;100;8.9;;33.0;;;44.8;0.2;4.5;8.6
261;Non-MMF investment funds;2009 3rd quarter;428.7;25.7;;195.2;;;153.3;1.2;14.1;39.2;100;6.0;;45.5;;;35.8;0.3;3.3;9.1
262;Non-MMF investment funds;2009 4th quarter;451.4;25.0;;217.3;20.2;197.1;154.4;-0.9;13.8;41.7;100;5.5;;48.2;4.5;43.7;34.2;-0.2;3.1;9.2
263;Non-MMF investment funds;2009;451.4;25.0;;217.3;20.2;197.1;154.4;-0.9;13.8;41.7;100;5.5;;48.2;4.5;43.7;34.2;-0.2;3.1;9.2
264;Non-MMF investment funds;2010 1st quarter;489.8;29.1;;248.9;;;161.0;0.5;15.1;35.3;100;5.9;;50.8;;;32.9;0.1;3.1;7.2
265;Non-MMF investment funds;2010 2nd quarter;473.0;29.0;;232.5;;;161.3;0.1;15.4;34.6;100;6.1;;49.2;;;34.1;0.0;3.3;7.3
266;Non-MMF investment funds;2010 3rd quarter;486.8;29.4;;239.8;;;163.3;3.4;15.8;35.1;100;6.0;;49.3;;;33.5;0.7;3.3;7.2
267;Non-MMF investment funds;2010 4th quarter;487.1;31.1;;257.3;26.1;231.2;156.2;-0.7;17.1;26.1;100;6.4;;52.8;5.4;47.5;32.1;-0.1;3.5;5.4
268;Non-MMF investment funds;2010;487.1;31.1;;257.3;26.1;231.2;156.2;-0.7;17.1;26.1;100;6.4;;52.8;5.4;47.5;32.1;-0.1;3.5;5.4
269;Non-MMF investment funds;2011 1st quarter;499.3;32.1;;255.6;;;160.4;0.5;16.9;33.6;100;6.4;;51.2;;;32.1;0.1;3.4;6.7
270;Non-MMF investment funds;2011 2nd quarter;505.3;32.0;;259.5;;;165.2;-0.8;16.9;32.4;100;6.3;;51.3;;;32.7;-0.2;3.4;6.4
271;Non-MMF investment funds;2011 3rd quarter;504.9;33.1;;247.4;;;168.6;-1.5;11.3;46.0;100;6.6;;49.0;;;33.4;-0.3;2.2;9.1
272;Non-MMF investment funds;2011 4th quarter;505.4;31.9;;263.3;37.2;226.0;169.1;-0.5;11.3;30.3;100;6.3;;52.1;7.4;44.7;33.5;-0.1;2.2;6.0
273;Non-MMF investment funds;2011;505.4;31.9;;263.3;37.2;226.0;169.1;-0.5;11.3;30.3;100;6.3;;52.1;7.4;44.7;33.5;-0.1;2.2;6.0
274;Non-MMF investment funds;2012 1st quarter;542.9;31.9;;280.2;;;177.8;0.9;14.9;37.1;100;5.9;;51.6;;;32.7;0.2;2.7;6.8
275;Non-MMF investment funds;2012 2nd quarter;547.3;31.9;;281.5;;;179.7;2.3;15.3;36.5;100;5.8;;51.4;;;32.8;0.4;2.8;6.7
276;Non-MMF investment funds;2012 3rd quarter;571.9;31.8;;295.5;;;189.8;1.8;16.5;36.5;100;5.6;;51.7;;;33.2;0.3;2.9;6.4
277;Non-MMF investment funds;2012 4th quarter;583.7;31.2;;299.5;44.5;255.0;198.1;2.0;16.9;36.0;100;5.3;;51.3;7.6;43.7;33.9;0.3;2.9;6.2
278;Non-MMF investment funds;2012;583.7;31.2;;299.5;44.5;255.0;198.1;2.0;16.9;36.0;100;5.3;;51.3;7.6;43.7;33.9;0.3;2.9;6.2
279;Non-MMF investment funds;2013 1st quarter;608.0;32.1;;323.0;;;196.3;0.1;17.4;39.2;100;5.3;;53.1;;;32.3;0.0;2.9;6.4
280;Non-MMF investment funds;2013 2nd quarter;595.5;31.6;;309.8;;;196.5;0.6;17.7;39.3;100;5.3;;52.0;;;33.0;0.1;3.0;6.6
281;Non-MMF investment funds;2013 3rd quarter;620.5;31.0;;318.5;;;207.7;1.0;18.4;43.9;100;5.0;;51.3;;;33.5;0.2;3.0;7.1
282;Non-MMF investment funds;2013 4th quarter;632.5;29.7;;331.5;43.4;288.2;211.0;0.4;18.8;41.1;100;4.7;;52.4;6.9;45.6;33.4;0.1;3.0;6.5
283;Non-MMF investment funds;2013;632.5;29.7;;331.5;43.4;288.2;211.0;0.4;18.8;41.1;100;4.7;;52.4;6.9;45.6;33.4;0.1;3.0;6.5
284;Non-MMF investment funds;2014 1st quarter;656.3;29.8;;348.5;;;213.9;0.0;20.0;44.0;100;4.5;;53.1;;;32.6;0.0;3.1;6.7
285;Non-MMF investment funds;2014 2nd quarter;690.0;29.5;;372.0;;;222.8;1.0;21.1;43.5;100;4.3;;53.9;;;32.3;0.1;3.1;6.3
286;Non-MMF investment funds;2014 3rd quarter;730.9;29.0;;395.8;;;233.3;-1.3;22.7;51.4;100;4.0;;54.2;;;31.9;-0.2;3.1;7.0
287;Non-MMF investment funds;2014 4th quarter;740.6;28.4;;413.2;58.3;354.9;233.7;-0.3;23.9;41.7;100;3.8;;55.8;7.9;47.9;31.6;0.0;3.2;5.6
288;Non-MMF investment funds;2014;740.6;28.4;;413.2;58.3;354.9;233.7;-0.3;23.9;41.7;100;3.8;;55.8;7.9;47.9;31.6;0.0;3.2;5.6
289;Non-MMF investment funds;2015 1st quarter;798.9;28.3;;445.8;;;251.1;2.1;22.6;49.1;100;3.5;;55.8;;;31.4;0.3;2.8;6.1
290;Non-MMF investment funds;2015 2nd quarter;764.7;29.0;;419.8;;;242.2;-0.9;24.0;50.8;100;3.8;;54.9;;;31.7;-0.1;3.1;6.6
291;Non-MMF investment funds;2015 3rd quarter;732.8;30.4;;389.5;;;243.2;0.8;25.2;43.8;100;4.1;;53.1;;;33.2;0.1;3.4;6.0
292;Non-MMF investment funds;2015 4th quarter;754.9;30.6;;409.3;64.6;344.8;245.7;0.7;27.8;40.7;100;4.0;;54.2;8.6;45.7;32.6;0.1;3.7;5.4
293;Non-MMF investment funds;2015;754.9;30.6;;409.3;64.6;344.8;245.7;0.7;27.8;40.7;100;4.0;;54.2;8.6;45.7;32.6;0.1;3.7;5.4
294;Non-MMF investment funds;2016 1st quarter;755.8;29.6;;402.0;;;252.4;3.0;30.7;38.1;100;3.9;;53.2;;;33.4;0.4;4.1;5.0
295;Non-MMF investment funds;2016 2nd quarter;790.7;31.4;;421.4;;;258.7;2.0;32.8;44.3;100;4.0;;53.3;;;32.7;0.3;4.1;5.6
296;Non-MMF investment funds;2016 3rd quarter;811.9;31.7;;440.3;;;258.3;2.2;35.8;43.7;100;3.9;;54.2;;;31.8;0.3;4.4;5.4
297;Non-MMF investment funds;2016 4th quarter;817.1;32.0;;459.7;69.9;389.8;250.0;-1.6;38.0;39.0;100;3.9;;56.3;8.6;47.7;30.6;-0.2;4.6;4.8
298;Non-MMF investment funds;2016;817.1;32.0;;459.7;69.9;389.8;250.0;-1.6;38.0;39.0;100;3.9;;56.3;8.6;47.7;30.6;-0.2;4.6;4.8
299;Non-MMF investment funds;2017 1st quarter;828.7;32.5;;470.3;;;243.4;-0.1;38.8;43.7;100;3.9;;56.7;;;29.4;0.0;4.7;5.3
300;Non-MMF investment funds;2017 2nd quarter;837.2;33.1;;474.9;;;245.6;1.2;41.0;41.3;100;4.0;;56.7;;;29.3;0.1;4.9;4.9
301;Non-MMF investment funds;2017 3rd quarter;860.3;34.1;;492.5;;;249.0;-0.8;42.5;43.0;100;4.0;;57.2;;;28.9;-0.1;4.9;5.0
302;Non-MMF investment funds;2017 4th quarter;861.9;35.2;;515.3;;;221.0;0.3;43.9;46.1;100;4.1;;59.8;;;25.6;0.0;5.1;5.3
303;Non-MMF investment funds;2017;861.9;35.2;;515.3;;;221.0;0.3;43.9;46.1;100;4.1;;59.8;;;25.6;0.0;5.1;5.3
