ID;CostToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
389;Acquisition formally rented dwelling;2012;68.6;-6.1;-6.1
390;Acquisition formally rented dwelling;2013 1st quarter;65.6;-1.5;-6.8
391;Acquisition formally rented dwelling;2013 2nd quarter;64.6;-1.6;-6.9
392;Acquisition formally rented dwelling;2013 3rd quarter;64.7;0.2;-5.0
393;Acquisition formally rented dwelling;2013 4th quarter;64.0;-1.1;-3.9
394;Acquisition formally rented dwelling;2013;64.7;-5.7;-5.7
395;Acquisition formally rented dwelling;2014 1st quarter;64.2;0.4;-2.1
396;Acquisition formally rented dwelling;2014 2nd quarter;64.5;0.4;-0.1
397;Acquisition formally rented dwelling;2014 3rd quarter;64.8;0.5;0.2
398;Acquisition formally rented dwelling;2014 4th quarter;65.5;1.0;2.3
399;Acquisition formally rented dwelling;2014;64.8;0.0;0.0
400;Acquisition formally rented dwelling;2015 1st quarter;65.2;-0.4;1.5
401;Acquisition formally rented dwelling;2015 2nd quarter;66.2;1.6;2.6
402;Acquisition formally rented dwelling;2015 3rd quarter;67.1;1.4;3.6
403;Acquisition formally rented dwelling;2015 4th quarter;67.0;-0.2;2.4
404;Acquisition formally rented dwelling;2015;66.4;2.5;2.5
405;Acquisition formally rented dwelling;2016 1st quarter;68.5;2.2;5.1
406;Acquisition formally rented dwelling;2016 2nd quarter;70.3;2.6;6.2
407;Acquisition formally rented dwelling;2016 3rd quarter;71.4;1.6;6.4
408;Acquisition formally rented dwelling;2016 4th quarter;72.1;1.0;7.6
409;Acquisition formally rented dwelling;2016;70.6;6.3;6.3
410;Acquisition formally rented dwelling;2017 1st quarter;74.0;2.6;8.0
411;Acquisition formally rented dwelling;2017 2nd quarter;76.7;3.7;9.2
412;Acquisition formally rented dwelling;2017 3rd quarter;78.3;2.0;9.6
413;Acquisition formally rented dwelling;2017 4th quarter;79.6;1.7;10.4
414;Acquisition formally rented dwelling;2017;77.2;9.3;9.3
415;Acquisition formally rented dwelling;2018 1st quarter;82.0;3.0;10.8
416;Acquisition formally rented dwelling;2018 2nd quarter;86.1;5.0;12.2
417;Acquisition formally rented dwelling;2018 3rd quarter;87.2;1.3;11.4
418;Acquisition formally rented dwelling;2018 4th quarter;88.1;1.0;10.7
419;Acquisition formally rented dwelling;2018;85.9;11.3;11.3
420;Acquisition formally rented dwelling;2019 1st quarter;90.7;3.0;10.7
421;Acquisition formally rented dwelling;2019 2nd quarter;92.2;1.6;7.0
422;Acquisition formally rented dwelling;2019 3rd quarter;93.7;1.7;7.5
423;Acquisition formally rented dwelling;2019 4th quarter;94.6;0.9;7.3
424;Acquisition formally rented dwelling;2019;92.8;8.1;8.1
425;Acquisition formally rented dwelling;2020 1st quarter;97.0;2.6;7.0
426;Acquisition formally rented dwelling;2020 2nd quarter;99.1;2.1;7.5
427;Acquisition formally rented dwelling;2020 3rd quarter;101.5;2.5;8.3
428;Acquisition formally rented dwelling;2020 4th quarter;102.3;0.8;8.2
429;Acquisition formally rented dwelling;2020;100.0;7.7;7.7
430;Acquisition formally rented dwelling;2021 1st quarter;107.5;5.1;10.8
431;Acquisition formally rented dwelling;2021 2nd quarter;113.7;5.7;14.8
432;Acquisition formally rented dwelling;2021 3rd quarter;121.3;6.7;19.4
433;Acquisition formally rented dwelling;2021 4th quarter;125.1;3.2;22.3
434;Acquisition formally rented dwelling;2021;116.9;16.9;16.9
435;Acquisition formally rented dwelling;2022 1st quarter;128.7;2.9;19.7
436;Acquisition formally rented dwelling;2022 2nd quarter;132.4;2.9;16.5
437;Acquisition formally rented dwelling;2022 3rd quarter;130.0;-1.8;7.2
438;Acquisition formally rented dwelling;2022 4th quarter;126.1;-3.0;0.8
439;Acquisition formally rented dwelling;2022;129.3;10.6;10.6
440;Acquisition formally rented dwelling;2023 1st quarter;123.5;-2.1;-4.1
441;Acquisition formally rented dwelling;2023 2nd quarter;124.2;0.6;-6.2
442;Acquisition formally rented dwelling;2023 3rd quarter;126.5;1.8;-2.7
443;Acquisition formally rented dwelling;2023 4th quarter;128.9;2.0;2.2
444;Acquisition formally rented dwelling;2023;125.8;-2.7;-2.7
445;Acquisition formally rented dwelling;2024 1st quarter;132.3;2.6;7.2
446;Acquisition formally rented dwelling;2024 2nd quarter;137.0;3.5;10.3
447;Acquisition formally rented dwelling;2024 3rd quarter;141.3;3.2;11.7
448;Acquisition formally rented dwelling;2024 4th quarter;143.5;1.6;11.3
449;Acquisition formally rented dwelling;2024;138.5;10.1;10.1
450;Other acquisistion costs;2010 1st quarter;123.5;;
451;Other acquisistion costs;2010 2nd quarter;123.9;0.3;
452;Other acquisistion costs;2010 3rd quarter;123.9;0.0;
453;Other acquisistion costs;2010 4th quarter;121.8;-1.6;
454;Other acquisistion costs;2010;123.3;;
455;Other acquisistion costs;2011 1st quarter;123.3;1.2;-0.1
456;Other acquisistion costs;2011 2nd quarter;117.6;-4.6;-5.0
457;Other acquisistion costs;2011 3rd quarter;94.2;-19.9;-23.9
458;Other acquisistion costs;2011 4th quarter;93.6;-0.7;-23.2
459;Other acquisistion costs;2011;107.2;-13.1;-13.1
460;Other acquisistion costs;2012 1st quarter;92.0;-1.7;-25.4
461;Other acquisistion costs;2012 2nd quarter;90.6;-1.5;-23.0
462;Other acquisistion costs;2012 3rd quarter;89.7;-1.0;-4.8
463;Other acquisistion costs;2012 4th quarter;88.1;-1.8;-5.9
464;Other acquisistion costs;2012;90.1;-15.9;-15.9
465;Other acquisistion costs;2013 1st quarter;87.5;-0.6;-4.9
466;Other acquisistion costs;2013 2nd quarter;86.2;-1.5;-4.9
467;Other acquisistion costs;2013 3rd quarter;85.5;-0.8;-4.7
468;Other acquisistion costs;2013 4th quarter;85.4;0.0;-3.0
469;Other acquisistion costs;2013;86.2;-4.4;-4.4
470;Other acquisistion costs;2014 1st quarter;85.4;-0.1;-2.4
471;Other acquisistion costs;2014 2nd quarter;85.2;-0.2;-1.1
472;Other acquisistion costs;2014 3rd quarter;85.3;0.1;-0.2
473;Other acquisistion costs;2014 4th quarter;85.4;0.2;0.0
474;Other acquisistion costs;2014;85.3;-1.0;-1.0
475;Other acquisistion costs;2015 1st quarter;85.3;-0.2;-0.1
476;Other acquisistion costs;2015 2nd quarter;85.9;0.7;0.7
477;Other acquisistion costs;2015 3rd quarter;85.9;0.1;0.8
478;Other acquisistion costs;2015 4th quarter;86.4;0.6;1.2
479;Other acquisistion costs;2015;85.9;0.6;0.6
480;Other acquisistion costs;2016 1st quarter;86.8;0.4;1.8
481;Other acquisistion costs;2016 2nd quarter;87.3;0.6;1.7
482;Other acquisistion costs;2016 3rd quarter;88.5;1.4;3.0
483;Other acquisistion costs;2016 4th quarter;89.1;0.6;3.1
484;Other acquisistion costs;2016;87.9;2.4;2.4
485;Other acquisistion costs;2017 1st quarter;89.1;0.0;2.7
486;Other acquisistion costs;2017 2nd quarter;90.1;1.1;3.2
487;Other acquisistion costs;2017 3rd quarter;90.6;0.5;2.3
488;Other acquisistion costs;2017 4th quarter;90.5;-0.1;1.5
489;Other acquisistion costs;2017;90.1;2.4;2.4
490;Other acquisistion costs;2018 1st quarter;91.1;0.7;2.2
491;Other acquisistion costs;2018 2nd quarter;92.8;1.9;3.0
492;Other acquisistion costs;2018 3rd quarter;94.2;1.4;4.0
493;Other acquisistion costs;2018 4th quarter;94.8;0.6;4.8
494;Other acquisistion costs;2018;93.2;3.5;3.5
495;Other acquisistion costs;2019 1st quarter;95.9;1.2;5.3
496;Other acquisistion costs;2019 2nd quarter;96.5;0.6;4.0
497;Other acquisistion costs;2019 3rd quarter;96.9;0.3;2.9
498;Other acquisistion costs;2019 4th quarter;97.2;0.3;2.5
499;Other acquisistion costs;2019;96.6;3.6;3.6
500;Other acquisistion costs;2020 1st quarter;99.1;1.9;3.2
501;Other acquisistion costs;2020 2nd quarter;99.3;0.2;2.8
502;Other acquisistion costs;2020 3rd quarter;100.1;0.8;3.3
503;Other acquisistion costs;2020 4th quarter;101.6;1.4;4.5
504;Other acquisistion costs;2020;100.0;3.5;3.5
505;Other acquisistion costs;2021 1st quarter;103.1;1.5;4.0
506;Other acquisistion costs;2021 2nd quarter;104.9;1.8;5.7
507;Other acquisistion costs;2021 3rd quarter;108.2;3.1;8.1
508;Other acquisistion costs;2021 4th quarter;111.7;3.3;10.0
509;Other acquisistion costs;2021;107.0;6.9;6.9
510;Other acquisistion costs;2022 1st quarter;113.9;1.9;10.5
511;Other acquisistion costs;2022 2nd quarter;117.1;2.8;11.6
512;Other acquisistion costs;2022 3rd quarter;118.4;1.2;9.5
513;Other acquisistion costs;2022 4th quarter;116.9;-1.3;4.7
514;Other acquisistion costs;2022;116.6;9.0;9.0
515;Other acquisistion costs;2023 1st quarter;117.3;0.3;3.0
516;Other acquisistion costs;2023 2nd quarter;117.1;-0.1;0.0
517;Other acquisistion costs;2023 3rd quarter;117.2;0.0;-1.1
518;Other acquisistion costs;2023 4th quarter;117.9;0.6;0.8
519;Other acquisistion costs;2023;117.4;0.7;0.7
520;Other acquisistion costs;2024 1st quarter;119.2;1.1;1.6
521;Other acquisistion costs;2024 2nd quarter;121.5;2.0;3.7
522;Other acquisistion costs;2024 3rd quarter;123.3;1.5;5.3
523;Other acquisistion costs;2024 4th quarter;125.0;1.3;6.0
524;Other acquisistion costs;2024;122.3;4.2;4.2
525;Structural cost: total;2010 1st quarter;81.4;;
526;Structural cost: total;2010 2nd quarter;81.4;-0.1;
527;Structural cost: total;2010 3rd quarter;80.7;-0.8;
528;Structural cost: total;2010 4th quarter;78.4;-2.9;
529;Structural cost: total;2010;80.5;;
530;Structural cost: total;2011 1st quarter;79.6;1.6;-2.2
531;Structural cost: total;2011 2nd quarter;79.9;0.3;-1.8
532;Structural cost: total;2011 3rd quarter;81.1;1.5;0.5
533;Structural cost: total;2011 4th quarter;81.2;0.1;3.6
534;Structural cost: total;2011;80.5;0.0;0.0
535;Structural cost: total;2012 1st quarter;82.5;1.7;3.6
536;Structural cost: total;2012 2nd quarter;83.8;1.6;4.9
537;Structural cost: total;2012 3rd quarter;83.5;-0.3;3.0
538;Structural cost: total;2012 4th quarter;84.7;1.4;4.4
539;Structural cost: total;2012;83.6;3.9;3.9
540;Structural cost: total;2013 1st quarter;84.0;-0.8;1.8
541;Structural cost: total;2013 2nd quarter;80.7;-4.0;-3.7
542;Structural cost: total;2013 3rd quarter;81.5;1.0;-2.5
543;Structural cost: total;2013 4th quarter;81.0;-0.6;-4.4
544;Structural cost: total;2013;81.8;-2.2;-2.2
545;Structural cost: total;2014 1st quarter;82.6;2.0;-1.7
546;Structural cost: total;2014 2nd quarter;82.0;-0.7;1.6
547;Structural cost: total;2014 3rd quarter;82.8;1.0;1.6
548;Structural cost: total;2014 4th quarter;83.0;0.2;2.5
549;Structural cost: total;2014;82.6;1.0;1.0
550;Structural cost: total;2015 1st quarter;83.0;0.0;0.4
551;Structural cost: total;2015 2nd quarter;83.6;0.7;1.8
552;Structural cost: total;2015 3rd quarter;87.7;5.0;5.9
553;Structural cost: total;2015 4th quarter;89.3;1.8;7.6
554;Structural cost: total;2015;85.9;4.0;4.0
555;Structural cost: total;2016 1st quarter;89.1;-0.2;7.4
556;Structural cost: total;2016 2nd quarter;89.7;0.6;7.3
557;Structural cost: total;2016 3rd quarter;89.8;0.1;2.3
558;Structural cost: total;2016 4th quarter;90.4;0.8;1.2
559;Structural cost: total;2016;89.8;4.5;4.5
560;Structural cost: total;2017 1st quarter;91.1;0.8;2.2
561;Structural cost: total;2017 2nd quarter;92.1;1.0;2.7
562;Structural cost: total;2017 3rd quarter;91.9;-0.2;2.3
563;Structural cost: total;2017 4th quarter;91.7;-0.1;1.4
564;Structural cost: total;2017;91.7;2.2;2.2
565;Structural cost: total;2018 1st quarter;93.2;1.6;2.3
566;Structural cost: total;2018 2nd quarter;93.9;0.8;2.0
567;Structural cost: total;2018 3rd quarter;93.8;-0.2;2.1
568;Structural cost: total;2018 4th quarter;94.1;0.4;2.6
569;Structural cost: total;2018;93.8;2.2;2.2
570;Structural cost: total;2019 1st quarter;96.9;3.0;4.0
571;Structural cost: total;2019 2nd quarter;97.1;0.2;3.4
572;Structural cost: total;2019 3rd quarter;96.9;-0.2;3.4
573;Structural cost: total;2019 4th quarter;97.0;0.1;3.1
574;Structural cost: total;2019;97.0;3.4;3.4
575;Structural cost: total;2020 1st quarter;98.5;1.6;1.7
576;Structural cost: total;2020 2nd quarter;99.0;0.4;1.9
577;Structural cost: total;2020 3rd quarter;101.1;2.1;4.3
578;Structural cost: total;2020 4th quarter;101.4;0.3;4.5
579;Structural cost: total;2020;100.0;3.1;3.1
580;Structural cost: total;2021 1st quarter;102.7;1.3;4.2
581;Structural cost: total;2021 2nd quarter;103.2;0.5;4.3
582;Structural cost: total;2021 3rd quarter;103.5;0.3;2.4
583;Structural cost: total;2021 4th quarter;104.8;1.3;3.4
584;Structural cost: total;2021;103.6;3.6;3.6
585;Structural cost: total;2022 1st quarter;107.6;2.7;4.8
586;Structural cost: total;2022 2nd quarter;107.9;0.2;4.5
587;Structural cost: total;2022 3rd quarter;109.7;1.7;6.0
588;Structural cost: total;2022 4th quarter;111.2;1.4;6.0
589;Structural cost: total;2022;109.1;5.4;5.4
590;Structural cost: total;2023 1st quarter;117.7;5.8;9.3
591;Structural cost: total;2023 2nd quarter;119.4;1.4;10.7
592;Structural cost: total;2023 3rd quarter;120.4;0.9;9.8
593;Structural cost: total;2023 4th quarter;121.0;0.5;8.9
594;Structural cost: total;2023;119.6;9.6;9.6
595;Structural cost: total;2024 1st quarter;124.6;2.9;5.8
596;Structural cost: total;2024 2nd quarter;125.3;0.6;4.9
597;Structural cost: total;2024 3rd quarter;127.3;1.7;5.7
598;Structural cost: total;2024 4th quarter;128.8;1.1;6.4
599;Structural cost: total;2024;126.5;5.7;5.7
600;Structural costs: major maintenance;2010 1st quarter;81.8;;
601;Structural costs: major maintenance;2010 2nd quarter;82.1;0.3;
602;Structural costs: major maintenance;2010 3rd quarter;81.5;-0.7;
603;Structural costs: major maintenance;2010 4th quarter;78.5;-3.6;
604;Structural costs: major maintenance;2010;81.0;;
605;Structural costs: major maintenance;2011 1st quarter;79.8;1.6;-2.5
606;Structural costs: major maintenance;2011 2nd quarter;80.2;0.4;-2.3
607;Structural costs: major maintenance;2011 3rd quarter;81.5;1.7;0.1
608;Structural costs: major maintenance;2011 4th quarter;81.7;0.2;4.0
609;Structural costs: major maintenance;2011;80.8;-0.2;-0.2
610;Structural costs: major maintenance;2012 1st quarter;83.0;1.7;4.0
611;Structural costs: major maintenance;2012 2nd quarter;84.5;1.8;5.5
612;Structural costs: major maintenance;2012 3rd quarter;84.4;-0.2;3.5
613;Structural costs: major maintenance;2012 4th quarter;85.9;1.8;5.1
614;Structural costs: major maintenance;2012;84.5;4.5;4.5
615;Structural costs: major maintenance;2013 1st quarter;84.9;-1.2;2.2
616;Structural costs: major maintenance;2013 2nd quarter;81.0;-4.6;-4.2
617;Structural costs: major maintenance;2013 3rd quarter;81.8;1.0;-3.1
618;Structural costs: major maintenance;2013 4th quarter;81.4;-0.5;-5.2
619;Structural costs: major maintenance;2013;82.3;-2.6;-2.6
620;Structural costs: major maintenance;2014 1st quarter;82.8;1.8;-2.4
621;Structural costs: major maintenance;2014 2nd quarter;82.3;-0.6;1.7
622;Structural costs: major maintenance;2014 3rd quarter;83.3;1.2;1.8
623;Structural costs: major maintenance;2014 4th quarter;83.4;0.2;2.5
624;Structural costs: major maintenance;2014;83.0;0.8;0.8
625;Structural costs: major maintenance;2015 1st quarter;83.3;-0.2;0.5
626;Structural costs: major maintenance;2015 2nd quarter;83.8;0.7;1.8
627;Structural costs: major maintenance;2015 3rd quarter;88.3;5.4;6.1
628;Structural costs: major maintenance;2015 4th quarter;90.0;1.9;7.9
629;Structural costs: major maintenance;2015;86.4;4.1;4.1
630;Structural costs: major maintenance;2016 1st quarter;89.7;-0.3;7.8
631;Structural costs: major maintenance;2016 2nd quarter;90.2;0.6;7.6
632;Structural costs: major maintenance;2016 3rd quarter;90.4;0.2;2.4
633;Structural costs: major maintenance;2016 4th quarter;91.1;0.8;1.2
634;Structural costs: major maintenance;2016;90.4;4.6;4.6
635;Structural costs: major maintenance;2017 1st quarter;91.7;0.6;2.2
636;Structural costs: major maintenance;2017 2nd quarter;92.5;0.9;2.5
637;Structural costs: major maintenance;2017 3rd quarter;92.3;-0.2;2.1
638;Structural costs: major maintenance;2017 4th quarter;92.0;-0.4;0.9
639;Structural costs: major maintenance;2017;92.1;2.0;2.0
640;Structural costs: major maintenance;2018 1st quarter;93.7;1.9;2.2
641;Structural costs: major maintenance;2018 2nd quarter;94.2;0.5;1.8
642;Structural costs: major maintenance;2018 3rd quarter;94.0;-0.3;1.8
643;Structural costs: major maintenance;2018 4th quarter;94.1;0.1;2.3
644;Structural costs: major maintenance;2018;94.0;2.0;2.0
645;Structural costs: major maintenance;2019 1st quarter;96.9;3.0;3.4
646;Structural costs: major maintenance;2019 2nd quarter;96.8;-0.1;2.8
647;Structural costs: major maintenance;2019 3rd quarter;96.8;0.0;3.1
648;Structural costs: major maintenance;2019 4th quarter;96.9;0.1;3.0
649;Structural costs: major maintenance;2019;96.9;3.0;3.0
650;Structural costs: major maintenance;2020 1st quarter;98.5;1.6;1.7
651;Structural costs: major maintenance;2020 2nd quarter;98.9;0.4;2.1
652;Structural costs: major maintenance;2020 3rd quarter;101.1;2.3;4.4
653;Structural costs: major maintenance;2020 4th quarter;101.4;0.3;4.7
654;Structural costs: major maintenance;2020;100.0;3.2;3.2
655;Structural costs: major maintenance;2021 1st quarter;102.8;1.3;4.4
656;Structural costs: major maintenance;2021 2nd quarter;103.4;0.6;4.5
657;Structural costs: major maintenance;2021 3rd quarter;103.7;0.3;2.5
658;Structural costs: major maintenance;2021 4th quarter;105.2;1.4;3.7
659;Structural costs: major maintenance;2021;103.8;3.8;3.8
660;Structural costs: major maintenance;2022 1st quarter;108.3;2.9;5.3
661;Structural costs: major maintenance;2022 2nd quarter;108.4;0.1;4.9
662;Structural costs: major maintenance;2022 3rd quarter;110.3;1.8;6.4
663;Structural costs: major maintenance;2022 4th quarter;111.9;1.4;6.4
664;Structural costs: major maintenance;2022;109.7;5.7;5.7
665;Structural costs: major maintenance;2023 1st quarter;119.0;6.3;9.9
666;Structural costs: major maintenance;2023 2nd quarter;120.3;1.1;11.0
667;Structural costs: major maintenance;2023 3rd quarter;121.3;0.8;10.0
668;Structural costs: major maintenance;2023 4th quarter;121.8;0.4;8.9
669;Structural costs: major maintenance;2023;120.6;9.9;9.9
670;Structural costs: major maintenance;2024 1st quarter;125.4;3.0;5.4
671;Structural costs: major maintenance;2024 2nd quarter;125.8;0.3;4.6
672;Structural costs: major maintenance;2024 3rd quarter;127.7;1.5;5.3
673;Structural costs: major maintenance;2024 4th quarter;129.0;1.0;5.9
674;Structural costs: major maintenance;2024;127.0;5.3;5.3
675;Structural costs: insurance;2010 1st quarter;77.8;;
676;Structural costs: insurance;2010 2nd quarter;75.5;-3.0;
677;Structural costs: insurance;2010 3rd quarter;74.2;-1.7;
678;Structural costs: insurance;2010 4th quarter;76.7;3.4;
679;Structural costs: insurance;2010;76.1;;
680;Structural costs: insurance;2011 1st quarter;77.9;1.5;0.0
681;Structural costs: insurance;2011 2nd quarter;77.6;-0.3;2.8
682;Structural costs: insurance;2011 3rd quarter;77.3;-0.3;4.2
683;Structural costs: insurance;2011 4th quarter;77.0;-0.4;0.4
684;Structural costs: insurance;2011;77.5;1.8;1.8
685;Structural costs: insurance;2012 1st quarter;78.3;1.7;0.6
686;Structural costs: insurance;2012 2nd quarter;78.3;0.0;1.0
687;Structural costs: insurance;2012 3rd quarter;77.3;-1.4;-0.1
688;Structural costs: insurance;2012 4th quarter;76.4;-1.1;-0.8
689;Structural costs: insurance;2012;77.6;0.2;0.2
690;Structural costs: insurance;2013 1st quarter;77.6;1.6;-0.9
691;Structural costs: insurance;2013 2nd quarter;78.0;0.5;-0.5
692;Structural costs: insurance;2013 3rd quarter;78.4;0.6;1.5
693;Structural costs: insurance;2013 4th quarter;77.5;-1.2;1.4
694;Structural costs: insurance;2013;77.9;0.4;0.4
695;Structural costs: insurance;2014 1st quarter;80.1;3.4;3.2
696;Structural costs: insurance;2014 2nd quarter;78.9;-1.6;1.2
697;Structural costs: insurance;2014 3rd quarter;78.7;-0.2;0.4
698;Structural costs: insurance;2014 4th quarter;79.1;0.5;2.1
699;Structural costs: insurance;2014;79.2;1.7;1.7
700;Structural costs: insurance;2015 1st quarter;80.7;2.0;0.7
701;Structural costs: insurance;2015 2nd quarter;81.2;0.6;2.9
702;Structural costs: insurance;2015 3rd quarter;81.8;0.8;3.9
703;Structural costs: insurance;2015 4th quarter;82.8;1.1;4.6
704;Structural costs: insurance;2015;81.6;3.1;3.1
705;Structural costs: insurance;2016 1st quarter;83.6;1.0;3.6
706;Structural costs: insurance;2016 2nd quarter;84.1;0.7;3.6
707;Structural costs: insurance;2016 3rd quarter;83.5;-0.8;2.0
708;Structural costs: insurance;2016 4th quarter;83.7;0.2;1.1
709;Structural costs: insurance;2016;83.7;2.6;2.6
710;Structural costs: insurance;2017 1st quarter;85.3;2.0;2.1
711;Structural costs: insurance;2017 2nd quarter;87.7;2.8;4.2
712;Structural costs: insurance;2017 3rd quarter;87.4;-0.3;4.7
713;Structural costs: insurance;2017 4th quarter;89.7;2.7;7.2
714;Structural costs: insurance;2017;87.5;4.5;4.5
715;Structural costs: insurance;2018 1st quarter;88.2;-1.7;3.4
716;Structural costs: insurance;2018 2nd quarter;91.4;3.6;4.2
717;Structural costs: insurance;2018 3rd quarter;92.0;0.7;5.2
718;Structural costs: insurance;2018 4th quarter;94.6;2.9;5.4
719;Structural costs: insurance;2018;91.6;4.6;4.6
720;Structural costs: insurance;2019 1st quarter;97.5;3.1;10.5
721;Structural costs: insurance;2019 2nd quarter;99.5;2.0;8.9
722;Structural costs: insurance;2019 3rd quarter;97.7;-1.8;6.2
723;Structural costs: insurance;2019 4th quarter;98.2;0.5;3.8
724;Structural costs: insurance;2019;98.2;7.3;7.3
725;Structural costs: insurance;2020 1st quarter;98.9;0.7;1.5
726;Structural costs: insurance;2020 2nd quarter;99.7;0.8;0.3
727;Structural costs: insurance;2020 3rd quarter;100.4;0.6;2.8
728;Structural costs: insurance;2020 4th quarter;100.9;0.6;2.8
729;Structural costs: insurance;2020;100.0;1.8;1.8
730;Structural costs: insurance;2021 1st quarter;101.4;0.5;2.6
731;Structural costs: insurance;2021 2nd quarter;101.8;0.4;2.1
732;Structural costs: insurance;2021 3rd quarter;102.0;0.2;1.6
733;Structural costs: insurance;2021 4th quarter;101.9;-0.1;1.0
734;Structural costs: insurance;2021;101.8;1.8;1.8
735;Structural costs: insurance;2022 1st quarter;101.9;0.0;0.5
736;Structural costs: insurance;2022 2nd quarter;102.7;0.7;0.9
737;Structural costs: insurance;2022 3rd quarter;103.8;1.1;1.8
738;Structural costs: insurance;2022 4th quarter;105.0;1.1;3.0
739;Structural costs: insurance;2022;103.4;1.5;1.5
740;Structural costs: insurance;2023 1st quarter;106.4;1.3;4.4
741;Structural costs: insurance;2023 2nd quarter;110.9;4.2;7.9
742;Structural costs: insurance;2023 3rd quarter;112.4;1.4;8.3
743;Structural costs: insurance;2023 4th quarter;114.4;1.7;8.9
744;Structural costs: insurance;2023;111.0;7.4;7.4
745;Structural costs: insurance;2024 1st quarter;117.0;2.2;9.9
746;Structural costs: insurance;2024 2nd quarter;120.3;2.9;8.5
747;Structural costs: insurance;2024 3rd quarter;124.1;3.1;10.4
748;Structural costs: insurance;2024 4th quarter;126.9;2.2;10.9
749;Structural costs: insurance;2024;122.1;10.0;10.0
