ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
2854;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2002;0.0
2855;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2003;0.0
2856;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2004;0.0
2857;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2005;0.0
2858;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2006;0.0
2859;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2007;0.0
2860;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2008;0.0
2861;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2009;0.0
2862;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2010;0.0
2863;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2011;0.0
2864;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2012;0.0
2865;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2013;0.0
2866;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2014;0.0
2867;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2015;0.0
2868;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2016;0.0
2869;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2017;0.0
2870;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2018;0.0
2871;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2019;0.0
2872;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2020;0.0
2873;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2021;0.0
2874;HP2: Nursing and residential care facil.;HF23: Enterprise financing schemes;2022;0.0
2875;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;1998;1110.0
2876;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;1999;1144.0
2877;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2000;1155.0
2878;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2001;1175.0
2879;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2002;1213.0
2880;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2003;1209.0
2881;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2004;1315.0
2882;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2005;1339.0
2883;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2006;1450.0
2884;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2007;1327.0
2885;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2008;1309.0
2886;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2009;1379.0
2887;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2010;1353.0
2888;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2011;1437.0
2889;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2012;1487.0
2890;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2013;1705.0
2891;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2014;1776.0
2892;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2015;1506.0
2893;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2016;1526.0
2894;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2017;1514.0
2895;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2018;1453.0
2896;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2019;1501.0
2897;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2020;1538.0
2898;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2021;1604.0
2899;HP2: Nursing and residential care facil.;HF3: Household out-of-pocket payments;2022;1716.0
2900;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;1998;18.0
2901;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;1999;14.0
2902;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2000;14.0
2903;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2001;14.0
2904;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2002;18.0
2905;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2003;23.0
2906;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2004;22.0
2907;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2005;25.0
2908;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2006;21.0
2909;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2007;20.0
2910;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2008;18.0
2911;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2009;20.0
2912;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2010;22.0
2913;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2011;21.0
2914;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2012;21.0
2915;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2013;21.0
2916;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2014;40.0
2917;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2015;61.0
2918;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2016;57.0
2919;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2017;55.0
2920;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2018;56.0
2921;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2019;56.0
2922;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2020;57.0
2923;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2021;58.0
2924;HP2: Nursing and residential care facil.;HF31: Out-of-pocket excl cost sharing;2022;57.0
2925;HP2: Nursing and residential care facil.;HF32: Cost sharing;1998;1092.0
2926;HP2: Nursing and residential care facil.;HF32: Cost sharing;1999;1130.0
2927;HP2: Nursing and residential care facil.;HF32: Cost sharing;2000;1141.0
2928;HP2: Nursing and residential care facil.;HF32: Cost sharing;2001;1160.0
2929;HP2: Nursing and residential care facil.;HF32: Cost sharing;2002;1194.0
2930;HP2: Nursing and residential care facil.;HF32: Cost sharing;2003;1187.0
2931;HP2: Nursing and residential care facil.;HF32: Cost sharing;2004;1293.0
2932;HP2: Nursing and residential care facil.;HF32: Cost sharing;2005;1314.0
2933;HP2: Nursing and residential care facil.;HF32: Cost sharing;2006;1428.0
2934;HP2: Nursing and residential care facil.;HF32: Cost sharing;2007;1307.0
2935;HP2: Nursing and residential care facil.;HF32: Cost sharing;2008;1291.0
2936;HP2: Nursing and residential care facil.;HF32: Cost sharing;2009;1359.0
2937;HP2: Nursing and residential care facil.;HF32: Cost sharing;2010;1332.0
2938;HP2: Nursing and residential care facil.;HF32: Cost sharing;2011;1416.0
2939;HP2: Nursing and residential care facil.;HF32: Cost sharing;2012;1465.0
2940;HP2: Nursing and residential care facil.;HF32: Cost sharing;2013;1684.0
2941;HP2: Nursing and residential care facil.;HF32: Cost sharing;2014;1736.0
2942;HP2: Nursing and residential care facil.;HF32: Cost sharing;2015;1445.0
2943;HP2: Nursing and residential care facil.;HF32: Cost sharing;2016;1469.0
2944;HP2: Nursing and residential care facil.;HF32: Cost sharing;2017;1458.0
2945;HP2: Nursing and residential care facil.;HF32: Cost sharing;2018;1397.0
2946;HP2: Nursing and residential care facil.;HF32: Cost sharing;2019;1445.0
2947;HP2: Nursing and residential care facil.;HF32: Cost sharing;2020;1481.0
2948;HP2: Nursing and residential care facil.;HF32: Cost sharing;2021;1546.0
2949;HP2: Nursing and residential care facil.;HF32: Cost sharing;2022;1658.0
2950;HP2: Nursing and residential care facil.;"Rest of the world; exports";1998;15.0
2951;HP2: Nursing and residential care facil.;"Rest of the world; exports";1999;14.0
2952;HP2: Nursing and residential care facil.;"Rest of the world; exports";2000;17.0
2953;HP2: Nursing and residential care facil.;"Rest of the world; exports";2001;16.0
2954;HP2: Nursing and residential care facil.;"Rest of the world; exports";2002;33.0
2955;HP2: Nursing and residential care facil.;"Rest of the world; exports";2003;25.0
2956;HP2: Nursing and residential care facil.;"Rest of the world; exports";2004;23.0
2957;HP2: Nursing and residential care facil.;"Rest of the world; exports";2005;24.0
2958;HP2: Nursing and residential care facil.;"Rest of the world; exports";2006;12.0
2959;HP2: Nursing and residential care facil.;"Rest of the world; exports";2007;5.0
2960;HP2: Nursing and residential care facil.;"Rest of the world; exports";2008;5.0
2961;HP2: Nursing and residential care facil.;"Rest of the world; exports";2009;5.0
2962;HP2: Nursing and residential care facil.;"Rest of the world; exports";2010;4.0
2963;HP2: Nursing and residential care facil.;"Rest of the world; exports";2011;8.0
2964;HP2: Nursing and residential care facil.;"Rest of the world; exports";2012;6.0
2965;HP2: Nursing and residential care facil.;"Rest of the world; exports";2013;8.0
2966;HP2: Nursing and residential care facil.;"Rest of the world; exports";2014;8.0
2967;HP2: Nursing and residential care facil.;"Rest of the world; exports";2015;9.0
2968;HP2: Nursing and residential care facil.;"Rest of the world; exports";2016;11.0
2969;HP2: Nursing and residential care facil.;"Rest of the world; exports";2017;11.0
2970;HP2: Nursing and residential care facil.;"Rest of the world; exports";2018;10.0
2971;HP2: Nursing and residential care facil.;"Rest of the world; exports";2019;11.0
2972;HP2: Nursing and residential care facil.;"Rest of the world; exports";2020;11.0
2973;HP2: Nursing and residential care facil.;"Rest of the world; exports";2021;11.0
2974;HP2: Nursing and residential care facil.;"Rest of the world; exports";2022;11.0
2975;HP21: Nursing care facilities;Total financ schemes health,social care;1998;6118.0
2976;HP21: Nursing care facilities;Total financ schemes health,social care;1999;6465.0
2977;HP21: Nursing care facilities;Total financ schemes health,social care;2000;6925.0
2978;HP21: Nursing care facilities;Total financ schemes health,social care;2001;7902.0
2979;HP21: Nursing care facilities;Total financ schemes health,social care;2002;9067.0
2980;HP21: Nursing care facilities;Total financ schemes health,social care;2003;9752.0
2981;HP21: Nursing care facilities;Total financ schemes health,social care;2004;9773.0
2982;HP21: Nursing care facilities;Total financ schemes health,social care;2005;9946.0
2983;HP21: Nursing care facilities;Total financ schemes health,social care;2006;11104.0
2984;HP21: Nursing care facilities;Total financ schemes health,social care;2007;11332.0
2985;HP21: Nursing care facilities;Total financ schemes health,social care;2008;12130.0
2986;HP21: Nursing care facilities;Total financ schemes health,social care;2009;12530.0
2987;HP21: Nursing care facilities;Total financ schemes health,social care;2010;12995.0
2988;HP21: Nursing care facilities;Total financ schemes health,social care;2011;13379.0
2989;HP21: Nursing care facilities;Total financ schemes health,social care;2012;14553.0
2990;HP21: Nursing care facilities;Total financ schemes health,social care;2013;14942.0
2991;HP21: Nursing care facilities;Total financ schemes health,social care;2014;14905.0
2992;HP21: Nursing care facilities;Total financ schemes health,social care;2015;13928.0
2993;HP21: Nursing care facilities;Total financ schemes health,social care;2016;14154.0
2994;HP21: Nursing care facilities;Total financ schemes health,social care;2017;14573.0
2995;HP21: Nursing care facilities;Total financ schemes health,social care;2018;15461.0
2996;HP21: Nursing care facilities;Total financ schemes health,social care;2019;16851.0
2997;HP21: Nursing care facilities;Total financ schemes health,social care;2020;18719.0
2998;HP21: Nursing care facilities;Total financ schemes health,social care;2021;19441.0
2999;HP21: Nursing care facilities;Total financ schemes health,social care;2022;19741.0
3000;HP21: Nursing care facilities;Total financing of residents;1998;6102.0
3001;HP21: Nursing care facilities;Total financing of residents;1999;6451.0
3002;HP21: Nursing care facilities;Total financing of residents;2000;6908.0
3003;HP21: Nursing care facilities;Total financing of residents;2001;7887.0
3004;HP21: Nursing care facilities;Total financing of residents;2002;9034.0
3005;HP21: Nursing care facilities;Total financing of residents;2003;9727.0
3006;HP21: Nursing care facilities;Total financing of residents;2004;9750.0
3007;HP21: Nursing care facilities;Total financing of residents;2005;9922.0
3008;HP21: Nursing care facilities;Total financing of residents;2006;11092.0
3009;HP21: Nursing care facilities;Total financing of residents;2007;11327.0
3010;HP21: Nursing care facilities;Total financing of residents;2008;12125.0
3011;HP21: Nursing care facilities;Total financing of residents;2009;12525.0
3012;HP21: Nursing care facilities;Total financing of residents;2010;12990.0
3013;HP21: Nursing care facilities;Total financing of residents;2011;13372.0
3014;HP21: Nursing care facilities;Total financing of residents;2012;14547.0
3015;HP21: Nursing care facilities;Total financing of residents;2013;14934.0
3016;HP21: Nursing care facilities;Total financing of residents;2014;14897.0
3017;HP21: Nursing care facilities;Total financing of residents;2015;13920.0
3018;HP21: Nursing care facilities;Total financing of residents;2016;14143.0
3019;HP21: Nursing care facilities;Total financing of residents;2017;14562.0
3020;HP21: Nursing care facilities;Total financing of residents;2018;15450.0
3021;HP21: Nursing care facilities;Total financing of residents;2019;16840.0
3022;HP21: Nursing care facilities;Total financing of residents;2020;18708.0
3023;HP21: Nursing care facilities;Total financing of residents;2021;19430.0
3024;HP21: Nursing care facilities;Total financing of residents;2022;19730.0
3025;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;1998;5117.0
3026;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;1999;5426.0
3027;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2000;5864.0
3028;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2001;6809.0
3029;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2002;7905.0
3030;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2003;8597.0
3031;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2004;8514.0
3032;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2005;8656.0
3033;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2006;9803.0
3034;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2007;10171.0
3035;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2008;10986.0
3036;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2009;11334.0
3037;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2010;11857.0
3038;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2011;12199.0
3039;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2012;13319.0
3040;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2013;13543.0
3041;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2014;13454.0
3042;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2015;12672.0
3043;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2016;12875.0
3044;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2017;13366.0
3045;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2018;14299.0
3046;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2019;15654.0
3047;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2020;17494.0
3048;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2021;18164.0
3049;HP21: Nursing care facilities;HF1: Government, comp. contr. schemes;2022;18378.0
3050;HP21: Nursing care facilities;HF11: Government schemes;1998;141.0
3051;HP21: Nursing care facilities;HF11: Government schemes;1999;151.0
3052;HP21: Nursing care facilities;HF11: Government schemes;2000;176.0
3053;HP21: Nursing care facilities;HF11: Government schemes;2001;205.0
3054;HP21: Nursing care facilities;HF11: Government schemes;2002;285.0
3055;HP21: Nursing care facilities;HF11: Government schemes;2003;325.0
3056;HP21: Nursing care facilities;HF11: Government schemes;2004;283.0
3057;HP21: Nursing care facilities;HF11: Government schemes;2005;310.0
3058;HP21: Nursing care facilities;HF11: Government schemes;2006;309.0
3059;HP21: Nursing care facilities;HF11: Government schemes;2007;356.0
3060;HP21: Nursing care facilities;HF11: Government schemes;2008;302.0
3061;HP21: Nursing care facilities;HF11: Government schemes;2009;284.0
3062;HP21: Nursing care facilities;HF11: Government schemes;2010;277.0
3063;HP21: Nursing care facilities;HF11: Government schemes;2011;250.0
3064;HP21: Nursing care facilities;HF11: Government schemes;2012;248.0
3065;HP21: Nursing care facilities;HF11: Government schemes;2013;247.0
3066;HP21: Nursing care facilities;HF11: Government schemes;2014;252.0
3067;HP21: Nursing care facilities;HF11: Government schemes;2015;39.0
3068;HP21: Nursing care facilities;HF11: Government schemes;2016;36.0
3069;HP21: Nursing care facilities;HF11: Government schemes;2017;34.0
3070;HP21: Nursing care facilities;HF11: Government schemes;2018;168.0
3071;HP21: Nursing care facilities;HF11: Government schemes;2019;160.0
3072;HP21: Nursing care facilities;HF11: Government schemes;2020;788.0
3073;HP21: Nursing care facilities;HF11: Government schemes;2021;351.0
3074;HP21: Nursing care facilities;HF11: Government schemes;2022;157.0
3075;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;1998;4976.0
3076;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;1999;5275.0
3077;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2000;5688.0
3078;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2001;6604.0
3079;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2002;7621.0
3080;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2003;8272.0
3081;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2004;8231.0
3082;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2005;8346.0
3083;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2006;9494.0
3084;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2007;9815.0
3085;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2008;10683.0
3086;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2009;11050.0
3087;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2010;11581.0
3088;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2011;11949.0
3089;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2012;13070.0
3090;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2013;13296.0
3091;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2014;13202.0
3092;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2015;12632.0
3093;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2016;12839.0
3094;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2017;13332.0
3095;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2018;14131.0
3096;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2019;15495.0
3097;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2020;16706.0
3098;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2021;17813.0
3099;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2022;18221.0
3100;HP21: Nursing care facilities;HF121a: Long-term care insurance;1998;4896.0
3101;HP21: Nursing care facilities;HF121a: Long-term care insurance;1999;5184.0
3102;HP21: Nursing care facilities;HF121a: Long-term care insurance;2000;5582.0
3103;HP21: Nursing care facilities;HF121a: Long-term care insurance;2001;6462.0
3104;HP21: Nursing care facilities;HF121a: Long-term care insurance;2002;7456.0
3105;HP21: Nursing care facilities;HF121a: Long-term care insurance;2003;8078.0
3106;HP21: Nursing care facilities;HF121a: Long-term care insurance;2004;8024.0
3107;HP21: Nursing care facilities;HF121a: Long-term care insurance;2005;8129.0
3108;HP21: Nursing care facilities;HF121a: Long-term care insurance;2006;9170.0
3109;HP21: Nursing care facilities;HF121a: Long-term care insurance;2007;9478.0
3110;HP21: Nursing care facilities;HF121a: Long-term care insurance;2008;10300.0
3111;HP21: Nursing care facilities;HF121a: Long-term care insurance;2009;10622.0
3112;HP21: Nursing care facilities;HF121a: Long-term care insurance;2010;11093.0
3113;HP21: Nursing care facilities;HF121a: Long-term care insurance;2011;11473.0
3114;HP21: Nursing care facilities;HF121a: Long-term care insurance;2012;12596.0
3115;HP21: Nursing care facilities;HF121a: Long-term care insurance;2013;12261.0
3116;HP21: Nursing care facilities;HF121a: Long-term care insurance;2014;12125.0
3117;HP21: Nursing care facilities;HF121a: Long-term care insurance;2015;8767.0
3118;HP21: Nursing care facilities;HF121a: Long-term care insurance;2016;8862.0
3119;HP21: Nursing care facilities;HF121a: Long-term care insurance;2017;9036.0
3120;HP21: Nursing care facilities;HF121a: Long-term care insurance;2018;9672.0
3121;HP21: Nursing care facilities;HF121a: Long-term care insurance;2019;11027.0
3122;HP21: Nursing care facilities;HF121a: Long-term care insurance;2020;12317.0
3123;HP21: Nursing care facilities;HF121a: Long-term care insurance;2021;13298.0
3124;HP21: Nursing care facilities;HF121a: Long-term care insurance;2022;14002.0
3125;HP21: Nursing care facilities;HF121b: Health Insurance Fund;1998;81.0
3126;HP21: Nursing care facilities;HF121b: Health Insurance Fund;1999;91.0
3127;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2000;107.0
3128;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2001;142.0
3129;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2002;164.0
3130;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2003;194.0
3131;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2004;207.0
3132;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2005;217.0
3133;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2006;0.0
3134;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2007;
3135;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2008;
3136;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2009;
3137;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2010;
3138;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2011;
3139;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2012;
3140;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2013;
3141;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2014;
3142;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2015;
3143;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2016;
3144;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2017;
3145;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2018;
3146;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2019;
3147;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2020;
3148;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2021;
3149;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2022;
3150;HP21: Nursing care facilities;HF122: Compulsory private insurance;1998;
3151;HP21: Nursing care facilities;HF122: Compulsory private insurance;1999;
3152;HP21: Nursing care facilities;HF122: Compulsory private insurance;2000;
3153;HP21: Nursing care facilities;HF122: Compulsory private insurance;2001;
3154;HP21: Nursing care facilities;HF122: Compulsory private insurance;2002;
3155;HP21: Nursing care facilities;HF122: Compulsory private insurance;2003;
3156;HP21: Nursing care facilities;HF122: Compulsory private insurance;2004;
3157;HP21: Nursing care facilities;HF122: Compulsory private insurance;2005;
3158;HP21: Nursing care facilities;HF122: Compulsory private insurance;2006;324.0
3159;HP21: Nursing care facilities;HF122: Compulsory private insurance;2007;338.0
3160;HP21: Nursing care facilities;HF122: Compulsory private insurance;2008;384.0
3161;HP21: Nursing care facilities;HF122: Compulsory private insurance;2009;427.0
3162;HP21: Nursing care facilities;HF122: Compulsory private insurance;2010;488.0
3163;HP21: Nursing care facilities;HF122: Compulsory private insurance;2011;476.0
3164;HP21: Nursing care facilities;HF122: Compulsory private insurance;2012;475.0
3165;HP21: Nursing care facilities;HF122: Compulsory private insurance;2013;1035.0
3166;HP21: Nursing care facilities;HF122: Compulsory private insurance;2014;1077.0
3167;HP21: Nursing care facilities;HF122: Compulsory private insurance;2015;3865.0
3168;HP21: Nursing care facilities;HF122: Compulsory private insurance;2016;3977.0
3169;HP21: Nursing care facilities;HF122: Compulsory private insurance;2017;4297.0
3170;HP21: Nursing care facilities;HF122: Compulsory private insurance;2018;4458.0
3171;HP21: Nursing care facilities;HF122: Compulsory private insurance;2019;4467.0
3172;HP21: Nursing care facilities;HF122: Compulsory private insurance;2020;4388.0
3173;HP21: Nursing care facilities;HF122: Compulsory private insurance;2021;4516.0
3174;HP21: Nursing care facilities;HF122: Compulsory private insurance;2022;4219.0
3175;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);1998;985.0
3176;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);1999;1025.0
3177;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2000;1044.0
3178;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2001;1077.0
3179;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2002;1129.0
3180;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2003;1130.0
3181;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2004;1236.0
3182;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2005;1266.0
3183;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2006;1289.0
3184;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2007;1156.0
3185;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2008;1139.0
3186;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2009;1191.0
3187;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2010;1133.0
3188;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2011;1173.0
3189;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2012;1228.0
3190;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2013;1391.0
3191;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2014;1443.0
3192;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2015;1248.0
3193;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2016;1267.0
3194;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2017;1196.0
3195;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2018;1151.0
3196;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2019;1186.0
3197;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2020;1213.0
3198;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2021;1266.0
3199;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2022;1352.0
3200;HP21: Nursing care facilities;HF2: Voluntary schemes;1998;21.0
3201;HP21: Nursing care facilities;HF2: Voluntary schemes;1999;29.0
3202;HP21: Nursing care facilities;HF2: Voluntary schemes;2000;34.0
3203;HP21: Nursing care facilities;HF2: Voluntary schemes;2001;44.0
3204;HP21: Nursing care facilities;HF2: Voluntary schemes;2002;58.0
3205;HP21: Nursing care facilities;HF2: Voluntary schemes;2003;72.0
3206;HP21: Nursing care facilities;HF2: Voluntary schemes;2004;82.0
3207;HP21: Nursing care facilities;HF2: Voluntary schemes;2005;92.0
3208;HP21: Nursing care facilities;HF2: Voluntary schemes;2006;0.0
3209;HP21: Nursing care facilities;HF2: Voluntary schemes;2007;0.0
3210;HP21: Nursing care facilities;HF2: Voluntary schemes;2008;0.0
3211;HP21: Nursing care facilities;HF2: Voluntary schemes;2009;0.0
3212;HP21: Nursing care facilities;HF2: Voluntary schemes;2010;0.0
3213;HP21: Nursing care facilities;HF2: Voluntary schemes;2011;0.0
3214;HP21: Nursing care facilities;HF2: Voluntary schemes;2012;0.0
3215;HP21: Nursing care facilities;HF2: Voluntary schemes;2013;0.0
3216;HP21: Nursing care facilities;HF2: Voluntary schemes;2014;0.0
3217;HP21: Nursing care facilities;HF2: Voluntary schemes;2015;0.0
3218;HP21: Nursing care facilities;HF2: Voluntary schemes;2016;0.0
