ID;Kenmerken;Perioden;TotaalWerkzameArbeidsgehandicapten_1;TotaalPersonenMetAanpassingenOpWerk_2;TotaalPersonenAanpassingenNogNodig_3;GeenAanpassingenOpHetWerkNodig_4;TotaalPersonenMetAanpassingenOpWerk_5;AangepastHulpmiddelenOfMeubilair_6;AangepastWerktijden_7;AangepastHoeveelheidWerk_8;AangepastFunctieOfTakenpakket_9;AangepastAndereAanpassing_10;TotaalPersonenAanpassingenNogNodig_11;NodigAanpassingHulpmiddelenMeubilair_12;NodigAanpassingWerktijden_13;NodigAanpassingHoeveelheidWerk_14;NodigAanpassingFunctieOfTakenpakket_15;NodigAanpassingAndereAanpassing_16;GeenAanpassingenOpHetWerkNodig_17
162;Aandoening: problemen armen of handen;2001 na revisie;;;;;;;;;;;;;;;;;
163;Aandoening: problemen armen of handen;2002;213.0;86.0;35.0;93.0;86.0;51.0;21.0;19.0;34.0;9.0;35.0;18.0;6.0;9.0;11.0;9.0;93.0
164;Aandoening: problemen armen of handen;2003;225.0;88.0;42.0;95.0;88.0;48.0;24.0;20.0;35.0;8.0;42.0;21.0;8.0;11.0;14.0;9.0;95.0
165;Aandoening: problemen armen of handen;2004;214.0;79.0;39.0;96.0;79.0;37.0;19.0;16.0;32.0;11.0;39.0;18.0;9.0;9.0;17.0;6.0;96.0
166;Aandoening: problemen armen of handen;2005;203.0;75.0;37.0;90.0;75.0;34.0;22.0;17.0;32.0;7.0;37.0;15.0;5.0;12.0;15.0;9.0;90.0
167;Aandoening: problemen armen of handen;2006 ;184.0;65.0;32.0;86.0;65.0;26.0;18.0;15.0;33.0;5.0;32.0;17.0;10.0;9.0;11.0;5.0;86.0
168;Aandoening: problemen benen of voeten;2000;;;;;;;;;;;;;;;;;
169;Aandoening: problemen benen of voeten;2001 voor revisie;;;;;;;;;;;;;;;;;
170;Aandoening: problemen benen of voeten;2001 na revisie;;;;;;;;;;;;;;;;;
171;Aandoening: problemen benen of voeten;2002;194.0;67.0;32.0;96.0;67.0;32.0;18.0;18.0;28.0;9.0;32.0;16.0;5.0;8.0;11.0;7.0;96.0
172;Aandoening: problemen benen of voeten;2003;217.0;70.0;37.0;109.0;70.0;30.0;24.0;16.0;28.0;7.0;37.0;15.0;5.0;10.0;14.0;9.0;109.0
173;Aandoening: problemen benen of voeten;2004;208.0;70.0;34.0;104.0;70.0;28.0;19.0;17.0;28.0;9.0;34.0;14.0;8.0;10.0;14.0;6.0;104.0
174;Aandoening: problemen benen of voeten;2005;215.0;68.0;41.0;106.0;68.0;26.0;23.0;16.0;32.0;7.0;41.0;16.0;7.0;11.0;16.0;9.0;106.0
175;Aandoening: problemen benen of voeten;2006 ;200.0;67.0;36.0;97.0;67.0;25.0;22.0;16.0;37.0;6.0;36.0;19.0;9.0;10.0;10.0;8.0;97.0
176;Aandoening: rug-/nekklachten;2000;;;;;;;;;;;;;;;;;
177;Aandoening: rug-/nekklachten;2001 voor revisie;;;;;;;;;;;;;;;;;
178;Aandoening: rug-/nekklachten;2001 na revisie;;;;;;;;;;;;;;;;;
179;Aandoening: rug-/nekklachten;2002;389.0;149.0;71.0;168.0;149.0;77.0;37.0;36.0;62.0;12.0;71.0;38.0;10.0;16.0;23.0;15.0;168.0
180;Aandoening: rug-/nekklachten;2003;380.0;130.0;75.0;175.0;130.0;67.0;37.0;26.0;47.0;14.0;75.0;37.0;13.0;19.0;24.0;14.0;175.0
181;Aandoening: rug-/nekklachten;2004;379.0;124.0;71.0;184.0;124.0;60.0;31.0;28.0;46.0;14.0;71.0;33.0;13.0;16.0;26.0;14.0;184.0
182;Aandoening: rug-/nekklachten;2005;367.0;123.0;69.0;175.0;123.0;54.0;35.0;29.0;50.0;14.0;69.0;30.0;9.0;18.0;26.0;14.0;175.0
183;Aandoening: rug-/nekklachten;2006 ;327.0;109.0;62.0;155.0;109.0;42.0;33.0;23.0;52.0;6.0;62.0;31.0;12.0;13.0;21.0;12.0;155.0
184;Aandoening: migraine/ernstige hoofdpijn;2000;134.0;37.0;34.0;63.0;37.0;15.0;12.0;8.0;14.0;4.0;34.0;11.0;10.0;13.0;12.0;8.0;63.0
185;Aandoening: migraine/ernstige hoofdpijn;2001 voor revisie;141.0;37.0;26.0;79.0;37.0;14.0;11.0;10.0;15.0;4.0;26.0;10.0;6.0;7.0;10.0;7.0;79.0
186;Aandoening: migraine/ernstige hoofdpijn;2001 na revisie;152.0;37.0;25.0;90.0;37.0;16.0;9.0;6.0;14.0;6.0;25.0;11.0;3.0;6.0;10.0;5.0;90.0
187;Aandoening: migraine/ernstige hoofdpijn;2002;129.0;44.0;24.0;61.0;44.0;22.0;10.0;16.0;20.0;3.0;24.0;10.0;6.0;8.0;7.0;6.0;61.0
188;Aandoening: migraine/ernstige hoofdpijn;2003;134.0;39.0;28.0;67.0;39.0;17.0;17.0;11.0;17.0;3.0;28.0;13.0;5.0;10.0;7.0;7.0;67.0
189;Aandoening: migraine/ernstige hoofdpijn;2004;126.0;37.0;23.0;66.0;37.0;14.0;10.0;10.0;13.0;6.0;23.0;8.0;5.0;7.0;9.0;6.0;66.0
190;Aandoening: migraine/ernstige hoofdpijn;2005;119.0;32.0;23.0;64.0;32.0;14.0;11.0;9.0;12.0;4.0;23.0;7.0;4.0;8.0;9.0;5.0;64.0
191;Aandoening: migraine/ernstige hoofdpijn;2006 ;109.0;30.0;19.0;60.0;30.0;10.0;11.0;10.0;16.0;3.0;19.0;7.0;6.0;6.0;7.0;6.0;60.0
192;Aandoening: hart- of vaatziekten;2000;54.0;12.0;10.0;33.0;12.0;2.0;4.0;4.0;5.0;3.0;10.0;3.0;3.0;4.0;3.0;3.0;33.0
193;Aandoening: hart- of vaatziekten;2001 voor revisie;60.0;18.0;11.0;32.0;18.0;4.0;7.0;7.0;10.0;;11.0;2.0;4.0;5.0;4.0;3.0;32.0
194;Aandoening: hart- of vaatziekten;2001 na revisie;64.0;18.0;8.0;38.0;18.0;4.0;8.0;6.0;10.0;;8.0;2.0;2.0;4.0;3.0;2.0;38.0
195;Aandoening: hart- of vaatziekten;2002;66.0;21.0;7.0;38.0;21.0;5.0;8.0;10.0;10.0;4.0;7.0;3.0;2.0;2.0;2.0;2.0;38.0
196;Aandoening: hart- of vaatziekten;2003;72.0;25.0;12.0;35.0;25.0;5.0;10.0;10.0;10.0;2.0;12.0;4.0;3.0;3.0;2.0;3.0;35.0
197;Aandoening: hart- of vaatziekten;2004;74.0;23.0;17.0;34.0;23.0;5.0;9.0;9.0;10.0;2.0;17.0;3.0;5.0;8.0;8.0;3.0;34.0
198;Aandoening: hart- of vaatziekten;2005;63.0;24.0;9.0;29.0;24.0;6.0;11.0;9.0;10.0;4.0;9.0;3.0;2.0;3.0;4.0;2.0;29.0
199;Aandoening: hart- of vaatziekten;2006 ;67.0;24.0;13.0;30.0;24.0;6.0;11.0;9.0;8.0;;13.0;4.0;2.0;7.0;4.0;2.0;30.0
200;Aandoening: bronchitis, astma of CARA;2000;101.0;22.0;24.0;55.0;22.0;8.0;5.0;4.0;7.0;6.0;24.0;9.0;3.0;5.0;4.0;12.0;55.0
201;Aandoening: bronchitis, astma of CARA;2001 voor revisie;93.0;21.0;20.0;51.0;21.0;8.0;4.0;5.0;8.0;5.0;20.0;8.0;3.0;4.0;6.0;8.0;51.0
202;Aandoening: bronchitis, astma of CARA;2001 na revisie;87.0;22.0;23.0;42.0;22.0;7.0;4.0;3.0;9.0;5.0;23.0;7.0;3.0;3.0;8.0;10.0;42.0
203;Aandoening: bronchitis, astma of CARA;2002;103.0;28.0;18.0;57.0;28.0;8.0;5.0;7.0;13.0;8.0;18.0;7.0;2.0;5.0;;9.0;57.0
204;Aandoening: bronchitis, astma of CARA;2003;92.0;24.0;17.0;51.0;24.0;10.0;8.0;5.0;10.0;2.0;17.0;7.0;3.0;4.0;4.0;7.0;51.0
205;Aandoening: bronchitis, astma of CARA;2004;90.0;26.0;18.0;45.0;26.0;7.0;7.0;5.0;9.0;7.0;18.0;5.0;3.0;4.0;5.0;8.0;45.0
206;Aandoening: bronchitis, astma of CARA;2005;84.0;18.0;18.0;49.0;18.0;5.0;6.0;4.0;8.0;2.0;18.0;7.0;4.0;7.0;4.0;6.0;49.0
207;Aandoening: bronchitis, astma of CARA;2006 ;86.0;22.0;17.0;46.0;22.0;10.0;7.0;5.0;7.0;3.0;17.0;3.0;3.0;4.0;2.0;7.0;46.0
208;Aandoening: maag- of darmstoornissen;2000;80.0;22.0;20.0;38.0;22.0;7.0;7.0;6.0;11.0;4.0;20.0;8.0;4.0;7.0;6.0;7.0;38.0
209;Aandoening: maag- of darmstoornissen;2001 voor revisie;80.0;22.0;18.0;40.0;22.0;7.0;8.0;5.0;8.0;3.0;18.0;6.0;5.0;5.0;7.0;5.0;40.0
210;Aandoening: maag- of darmstoornissen;2001 na revisie;83.0;22.0;19.0;42.0;22.0;9.0;7.0;3.0;9.0;3.0;19.0;8.0;3.0;6.0;9.0;4.0;42.0
211;Aandoening: maag- of darmstoornissen;2002;65.0;21.0;14.0;30.0;21.0;7.0;6.0;8.0;11.0;3.0;14.0;5.0;4.0;4.0;6.0;3.0;30.0
212;Aandoening: maag- of darmstoornissen;2003;80.0;21.0;15.0;43.0;21.0;8.0;8.0;6.0;9.0;3.0;15.0;5.0;5.0;4.0;5.0;5.0;43.0
213;Aandoening: maag- of darmstoornissen;2004;73.0;24.0;14.0;36.0;24.0;8.0;8.0;7.0;11.0;3.0;14.0;4.0;4.0;5.0;6.0;4.0;36.0
214;Aandoening: maag- of darmstoornissen;2005;69.0;20.0;13.0;35.0;20.0;5.0;8.0;6.0;8.0;3.0;13.0;4.0;4.0;5.0;6.0;3.0;35.0
215;Aandoening: maag- of darmstoornissen;2006 ;66.0;19.0;9.0;38.0;19.0;7.0;9.0;4.0;9.0;;9.0;2.0;3.0;3.0;3.0;3.0;38.0
216;Aandoening: suikerziekte;2000;26.0;4.0;4.0;18.0;4.0;;;;;;4.0;;2.0;;;;18.0
217;Aandoening: suikerziekte;2001 voor revisie;27.0;8.0;6.0;13.0;8.0;2.0;3.0;3.0;2.0;;6.0;;3.0;;;2.0;13.0
218;Aandoening: suikerziekte;2001 na revisie;23.0;9.0;3.0;11.0;9.0;4.0;3.0;4.0;2.0;;3.0;;;2.0;2.0;;11.0
219;Aandoening: suikerziekte;2002;29.0;8.0;2.0;19.0;8.0;3.0;3.0;5.0;4.0;;2.0;;;;;;19.0
220;Aandoening: suikerziekte;2003;30.0;9.0;4.0;18.0;9.0;2.0;5.0;4.0;3.0;2.0;4.0;;;2.0;;2.0;18.0
221;Aandoening: suikerziekte;2004;38.0;9.0;8.0;21.0;9.0;2.0;2.0;3.0;5.0;;8.0;2.0;4.0;4.0;3.0;2.0;21.0
222;Aandoening: suikerziekte;2005;32.0;10.0;6.0;16.0;10.0;3.0;3.0;4.0;3.0;;6.0;;;2.0;3.0;;16.0
223;Aandoening: suikerziekte;2006 ;38.0;11.0;4.0;23.0;11.0;6.0;;3.0;4.0;;4.0;2.0;;;;2.0;23.0
224;Aandoening: ernstige huidziekte;2000;30.0;7.0;6.0;18.0;7.0;3.0;;;2.0;2.0;6.0;2.0;;2.0;;4.0;18.0
225;Aandoening: ernstige huidziekte;2001 voor revisie;28.0;6.0;6.0;16.0;6.0;2.0;2.0;2.0;2.0;;6.0;2.0;;2.0;2.0;2.0;16.0
226;Aandoening: ernstige huidziekte;2001 na revisie;27.0;6.0;8.0;13.0;6.0;3.0;;;3.0;;8.0;3.0;;;2.0;4.0;13.0
227;Aandoening: ernstige huidziekte;2002;24.0;6.0;4.0;14.0;6.0;3.0;;;4.0;;4.0;2.0;;;;;14.0
228;Aandoening: ernstige huidziekte;2003;25.0;5.0;4.0;16.0;5.0;;3.0;2.0;4.0;;4.0;;2.0;;;;16.0
229;Aandoening: ernstige huidziekte;2004;25.0;9.0;6.0;10.0;9.0;3.0;2.0;3.0;3.0;2.0;6.0;2.0;;2.0;2.0;2.0;10.0
230;Aandoening: ernstige huidziekte;2005;27.0;6.0;4.0;17.0;6.0;2.0;2.0;;2.0;;4.0;;;;2.0;2.0;17.0
231;Aandoening: ernstige huidziekte;2006 ;;;;;;;;;;;;;;;;;
232;Aandoening: psychische klachten;2000;111.0;30.0;29.0;53.0;30.0;6.0;14.0;12.0;15.0;4.0;29.0;7.0;9.0;15.0;13.0;9.0;53.0
233;Aandoening: psychische klachten;2001 voor revisie;119.0;35.0;31.0;53.0;35.0;6.0;15.0;12.0;15.0;4.0;31.0;7.0;11.0;13.0;13.0;8.0;53.0
234;Aandoening: psychische klachten;2001 na revisie;126.0;34.0;33.0;59.0;34.0;9.0;14.0;9.0;15.0;2.0;33.0;8.0;9.0;15.0;14.0;7.0;59.0
235;Aandoening: psychische klachten;2002;105.0;38.0;19.0;48.0;38.0;5.0;20.0;19.0;20.0;6.0;19.0;4.0;6.0;6.0;8.0;6.0;48.0
236;Aandoening: psychische klachten;2003;104.0;37.0;20.0;47.0;37.0;8.0;16.0;13.0;16.0;6.0;20.0;4.0;6.0;9.0;8.0;6.0;47.0
237;Aandoening: psychische klachten;2004;95.0;35.0;23.0;37.0;35.0;6.0;17.0;14.0;17.0;5.0;23.0;4.0;7.0;10.0;11.0;7.0;37.0
238;Aandoening: psychische klachten;2005;90.0;33.0;20.0;37.0;33.0;5.0;16.0;13.0;12.0;6.0;20.0;4.0;5.0;8.0;10.0;4.0;37.0
239;Aandoening: psychische klachten;2006 ;99.0;31.0;26.0;41.0;31.0;8.0;15.0;13.0;18.0;2.0;26.0;6.0;7.0;10.0;13.0;5.0;41.0
240;Aandoening: gehoorproblemen;2000;57.0;12.0;14.0;31.0;12.0;5.0;5.0;3.0;4.0;2.0;14.0;6.0;2.0;4.0;4.0;4.0;31.0
241;Aandoening: gehoorproblemen;2001 voor revisie;57.0;12.0;14.0;31.0;12.0;6.0;3.0;3.0;5.0;2.0;14.0;6.0;3.0;3.0;6.0;2.0;31.0
242;Aandoening: gehoorproblemen;2001 na revisie;63.0;10.0;16.0;37.0;10.0;5.0;4.0;2.0;3.0;;16.0;6.0;4.0;4.0;8.0;3.0;37.0
243;Aandoening: gehoorproblemen;2002;66.0;16.0;12.0;37.0;16.0;5.0;3.0;5.0;9.0;3.0;12.0;8.0;2.0;;3.0;2.0;37.0
244;Aandoening: gehoorproblemen;2003;67.0;16.0;14.0;37.0;16.0;4.0;7.0;3.0;6.0;3.0;14.0;4.0;;4.0;4.0;6.0;37.0
245;Aandoening: gehoorproblemen;2004;62.0;16.0;14.0;32.0;16.0;7.0;4.0;5.0;6.0;2.0;14.0;5.0;5.0;5.0;6.0;4.0;32.0
246;Aandoening: gehoorproblemen;2005;58.0;18.0;10.0;30.0;18.0;7.0;5.0;3.0;8.0;3.0;10.0;3.0;2.0;4.0;4.0;3.0;30.0
247;Aandoening: gehoorproblemen;2006 ;43.0;17.0;10.0;16.0;17.0;6.0;8.0;6.0;8.0;;10.0;5.0;;;3.0;3.0;16.0
248;Aandoening: epilepsie;2000;;;;;;;;;;;;;;;;;
249;Aandoening: epilepsie;2001 voor revisie;;;;;;;;;;;;;;;;;
250;Aandoening: epilepsie;2001 na revisie;;;;;;;;;;;;;;;;;
251;Aandoening: epilepsie;2002;;;;;;;;;;;;;;;;;
252;Aandoening: epilepsie;2003;;;;;;;;;;;;;;;;;
253;Aandoening: epilepsie;2004;;;;;;;;;;;;;;;;;
254;Aandoening: epilepsie;2005;;;;;;;;;;;;;;;;;
255;Aandoening: epilepsie;2006 ;;;;;;;;;;;;;;;;;
256;Aandoening: levensbedreigende ziekten;2000;;;;;;;;;;;;;;;;;
257;Aandoening: levensbedreigende ziekten;2001 voor revisie;;;;;;;;;;;;;;;;;
258;Aandoening: levensbedreigende ziekten;2001 na revisie;;;;;;;;;;;;;;;;;
259;Aandoening: levensbedreigende ziekten;2002;19.0;4.0;2.0;14.0;4.0;;2.0;2.0;2.0;;2.0;;;;;;14.0
260;Aandoening: levensbedreigende ziekten;2003;23.0;8.0;4.0;12.0;8.0;2.0;6.0;3.0;3.0;;4.0;;;;;2.0;12.0
261;Aandoening: levensbedreigende ziekten;2004;21.0;7.0;4.0;10.0;7.0;;4.0;4.0;4.0;;4.0;;;2.0;2.0;;10.0
262;Aandoening: levensbedreigende ziekten;2005;24.0;11.0;;11.0;11.0;;7.0;3.0;3.0;2.0;;;;;;;11.0
263;Aandoening: levensbedreigende ziekten;2006 ;20.0;7.0;2.0;11.0;7.0;;4.0;4.0;2.0;2.0;2.0;;;;;;11.0
264;Aandoening: andere aandoeningen;2000;95.0;24.0;11.0;60.0;24.0;10.0;8.0;5.0;9.0;4.0;11.0;3.0;2.0;2.0;4.0;3.0;60.0
265;Aandoening: andere aandoeningen;2001 voor revisie;99.0;29.0;12.0;58.0;29.0;14.0;10.0;7.0;9.0;3.0;12.0;4.0;3.0;3.0;5.0;2.0;58.0
266;Aandoening: andere aandoeningen;2001 na revisie;103.0;31.0;13.0;60.0;31.0;17.0;11.0;7.0;11.0;2.0;13.0;3.0;4.0;4.0;5.0;3.0;60.0
267;Aandoening: andere aandoeningen;2002;42.0;9.0;2.0;31.0;9.0;3.0;3.0;2.0;4.0;;2.0;;;;;;31.0
268;Aandoening: andere aandoeningen;2003;46.0;12.0;6.0;28.0;12.0;3.0;5.0;3.0;4.0;;6.0;2.0;2.0;;;2.0;28.0
269;Aandoening: andere aandoeningen;2004;46.0;11.0;5.0;31.0;11.0;3.0;4.0;4.0;2.0;;5.0;;;;2.0;;31.0
270;Aandoening: andere aandoeningen;2005;53.0;14.0;6.0;33.0;14.0;3.0;7.0;4.0;5.0;;6.0;;;2.0;3.0;;33.0
271;Aandoening: andere aandoeningen;2006 ;54.0;18.0;4.0;33.0;18.0;4.0;8.0;4.0;8.0;;4.0;;;2.0;;;33.0
