ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
1617;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 June;1150;940;80;100;20;10;1030;20;100;710;330;;370;580;50;80
1618;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 July;1280;1060;70;100;20;20;1140;30;120;760;370;;390;620;50;90
1619;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 August;1170;980;60;90;20;20;1040;30;100;830;360;;470;690;40;100
1620;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 September;1080;890;70;80;20;20;960;20;100;750;380;;370;620;40;100
1621;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 October;1400;1150;100;110;20;30;1250;20;130;800;360;;440;680;40;90
1622;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 November;1290;1070;70;100;30;20;1150;30;110;690;350;;350;570;30;90
1623;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 December;1130;910;80;110;20;20;990;20;120;750;360;;400;600;40;110
1624;Total men and women;35 to 45 years;Complete disablement (>= 80%);2002 annual total;15330;12820;850;1080;230;360;13710;260;1370;9110;4250;;4860;7410;580;1120
1625;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 January;1240;1010;60;120;30;20;1070;30;130;670;330;;340;530;40;100
1626;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 February;1170;910;90;110;30;30;1000;30;140;820;320;;500;650;60;110
1627;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 March;1080;870;80;110;20;10;950;20;120;750;340;;410;630;20;100
1628;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 April;1020;840;40;110;20;20;880;30;120;860;390;;460;680;80;100
1629;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 May;980;780;50;110;10;20;830;10;130;780;330;;450;630;40;110
1630;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 June;950;760;40;100;20;30;800;20;130;760;380;;380;630;40;90
1631;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 July;1030;810;70;100;30;30;880;30;130;870;370;;500;720;50;100
1632;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 August;840;660;40;110;30;10;690;30;120;650;320;;330;530;30;90
1633;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 September;930;740;50;110;10;20;790;20;120;790;330;;460;630;50;120
1634;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 October;940;760;60;90;20;10;830;20;90;740;320;;430;590;40;120
1635;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 November;1040;820;50;110;20;30;870;30;140;770;330;;440;610;60;100
1636;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 December;950;720;100;80;30;20;820;30;100;880;410;;470;720;50;120
1637;Total men and women;35 to 45 years;Complete disablement (>= 80%);2003 annual total;12160;9680;720;1260;260;240;10420;280;1460;9330;4160;;5170;7540;540;1250
1638;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 January;780;600;80;70;10;10;680;10;90;790;320;;470;690;30;80
1639;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 February;840;650;70;90;20;20;720;20;110;840;310;;530;710;40;90
1640;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 March;1050;870;50;90;20;20;930;20;100;750;290;;460;620;40;90
1641;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 April;970;780;50;100;20;30;830;20;120;690;300;;390;550;30;100
1642;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 May;800;610;40;100;20;30;660;30;120;610;300;;310;490;40;90
1643;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 June;930;740;60;100;20;20;800;30;110;650;280;;370;520;50;70
1644;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 July;810;620;60;100;20;20;670;30;110;600;260;;340;470;40;90
1645;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 August;810;660;30;90;10;30;690;10;110;760;280;;480;580;40;150
1646;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 September;870;620;70;110;30;30;690;40;140;710;300;;410;540;50;120
1647;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 October;740;590;30;80;30;20;620;30;100;660;240;;420;520;40;100
1648;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 November;1070;810;60;160;20;20;870;20;180;830;250;;580;660;60;110
1649;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 December;880;720;70;70;20;10;780;20;80;670;180;;490;560;30;80
1650;Total men and women;35 to 45 years;Complete disablement (>= 80%);2004 annual total;10550;8260;660;1150;240;240;8930;260;1360;8550;3290;;5260;6890;500;1170
1651;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 January;600;430;30;100;10;20;460;20;120;520;140;;390;410;30;80
1652;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 February;570;380;80;70;30;20;460;30;80;590;210;;370;470;40;70
1653;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 March;330;220;20;60;10;20;240;20;80;620;240;;380;500;30;90
1654;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 April;290;170;30;50;10;20;200;20;80;630;230;;390;510;20;90
1655;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 May;200;110;20;10;30;30;130;40;40;660;290;;370;570;40;50
1656;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 June;430;280;30;60;20;40;310;20;100;640;370;;270;560;40;40
1657;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 July;170;90;20;30;10;20;110;20;50;360;210;;160;310;30;30
1658;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 August;170;110;10;30;20;10;120;20;40;600;310;;290;480;60;60
1659;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 September;170;90;50;10;20;10;130;20;20;480;280;;200;430;20;30
1660;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 October;120;80;10;10;20;10;90;20;20;450;280;;180;420;20;20
1661;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 November;150;90;20;20;30;10;100;30;20;570;360;;220;510;40;20
1662;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 December;120;70;10;10;20;10;80;20;20;550;380;;170;490;30;30
1663;Total men and women;35 to 45 years;Complete disablement (>= 80%);2005 annual total;3330;2100;310;470;240;220;2420;260;660;6670;3290;;3380;5660;410;600
1664;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 January;170;110;10;20;30;10;120;40;20;680;470;;220;620;30;40
1665;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 February;140;70;20;10;30;10;90;30;20;430;280;;160;380;20;30
1666;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 March;120;70;10;10;40;10;80;40;10;400;230;;170;360;20;20
1667;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 April;110;70;0;0;30;10;70;30;10;410;200;;200;350;40;20
1668;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 May;130;70;10;10;30;10;80;30;10;440;220;;220;390;30;20
1669;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 June;140;90;10;0;40;0;100;40;10;390;220;;170;340;30;30
1670;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 July;160;90;20;10;50;0;100;50;10;360;200;;170;310;30;20
1671;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 August;160;110;0;10;30;0;120;30;10;420;210;;210;390;20;10
1672;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 September;200;130;10;10;40;20;130;40;20;360;200;;160;320;20;20
1673;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 October;190;130;0;10;50;10;130;50;10;370;170;;200;330;30;10
1674;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 November;210;130;0;0;60;10;140;60;10;370;190;;190;280;30;60
1675;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 December;160;110;10;0;40;0;120;40;0;310;180;;130;280;10;10
1676;Total men and women;35 to 45 years;Complete disablement (>= 80%);2006 annual total;1880;1180;90;80;460;80;1280;480;120;4950;2760;;2190;4350;310;290
1677;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 January;180;110;0;0;60;10;110;60;10;350;170;;180;300;30;20
1678;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 February;200;110;10;0;70;10;120;80;10;260;140;;110;220;30;10
1679;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 March;180;110;0;0;50;10;110;50;10;300;150;;140;250;30;20
1680;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 April;160;100;10;0;50;0;100;50;10;270;150;;130;230;30;10
1681;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 May;190;130;0;0;50;0;140;50;0;350;190;;160;300;40;10
1682;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 June;190;110;10;10;70;10;110;70;10;270;140;;130;230;20;20
1683;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 July;300;210;10;10;70;10;210;80;10;340;150;;200;310;20;10
1684;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 August;190;110;10;10;60;0;120;60;10;280;170;;120;250;30;10
1685;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 September;200;120;10;0;60;10;130;70;0;240;130;;120;200;30;20
1686;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 October;250;180;10;0;50;10;190;60;10;270;90;;180;240;30;10
1687;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 November;320;190;10;0;110;10;210;110;10;280;80;;200;230;50;10
1688;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 December;170;110;0;0;50;10;120;60;0;150;90;;70;130;30;0
1689;Total men and women;35 to 45 years;Complete disablement (>= 80%);2007 annual total;2530;1570;70;40;740;100;1660;780;80;3370;1630;;1730;2880;350;140
1690;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 January;190;110;10;0;50;10;120;60;10;170;60;;120;130;40;0
1691;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 February;190;100;10;0;80;0;110;80;0;160;50;;120;110;50;10
1692;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 March;170;100;10;0;50;10;110;60;0;140;50;;90;100;40;0
1693;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 April;220;130;10;0;70;10;140;80;10;140;40;;100;90;40;0
1694;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 May;150;90;0;0;60;0;90;60;0;90;40;;60;70;30;0
1695;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 June;210;100;0;0;60;50;140;60;10;110;30;;80;80;30;0
1696;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 July;220;130;10;0;70;10;140;70;10;90;30;;60;60;30;10
1697;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 August;180;110;0;0;60;10;110;60;10;120;30;;80;80;30;0
1698;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 September;160;90;10;0;50;10;100;50;0;100;30;;80;70;20;0
1699;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 October;190;110;0;0;60;10;120;70;10;100;30;;70;70;30;10
1700;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 November;220;130;10;0;80;10;140;80;0;110;30;;70;90;20;0
1701;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 December;130;70;10;0;40;10;80;40;0;90;40;;50;70;20;0
1702;Total men and women;35 to 45 years;Complete disablement (>= 80%);2008 annual total;2220;1270;70;20;720;150;1400;770;50;1400;440;;960;1000;360;40
1703;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 January;170;100;0;0;70;0;100;70;0;130;40;;90;80;40;10
1704;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 February;220;130;10;0;70;10;140;70;0;100;30;;70;60;40;0
1705;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 March;150;90;10;0;40;10;100;50;0;90;30;;60;60;20;0
1706;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 April;140;70;10;0;60;10;80;60;0;70;20;;50;50;20;0
1707;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 May;220;150;0;0;60;10;150;70;0;170;80;;90;140;20;0
1708;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 June;150;80;0;0;60;10;80;60;0;70;20;;60;50;30;0
1709;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 July;150;80;0;0;70;10;80;70;0;80;20;;60;50;20;0
1710;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 August;130;50;10;0;70;0;60;70;0;60;10;;50;30;30;0
1711;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 September;140;80;10;0;40;10;90;50;0;60;10;;50;40;30;0
1712;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 October;140;80;10;0;50;0;90;50;0;60;10;;50;40;20;0
1713;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 November;200;100;10;0;70;20;120;70;10;100;0;;100;20;70;0
1714;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 December;120;60;0;0;50;20;60;60;0;40;0;;40;20;20;0
1715;Total men and women;35 to 45 years;Complete disablement (>= 80%);2009 annual total;1930;1050;50;10;690;120;1160;750;20;1020;270;;750;630;360;20
1716;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 January;760;560;130;20;0;50;710;10;50;530;280;;250;500;0;20
1717;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 February;750;520;90;10;0;130;640;10;100;560;240;;320;520;10;30
1718;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 March;790;540;150;20;0;80;720;10;60;430;300;;130;400;10;20
1719;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 April;780;550;140;20;0;70;700;10;70;510;320;;190;480;0;30
1720;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 May;680;470;120;20;30;40;600;40;50;400;260;;140;360;10;20
1721;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 June;740;540;120;30;0;50;680;10;60;420;270;;150;380;20;20
1722;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 July;650;460;130;20;0;40;590;10;50;430;250;;180;400;10;10
1723;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 August;630;490;90;20;10;40;590;10;40;410;250;;160;370;20;20
1724;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 September;670;530;90;20;0;20;630;0;40;380;230;;150;350;10;20
1725;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 October;740;540;140;30;0;30;690;0;50;340;230;;110;330;0;10
1726;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 November;820;580;170;30;0;50;780;0;40;400;280;;130;390;0;10
1727;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 December;1100;630;220;100;0;170;870;110;120;450;300;;150;430;10;20
1728;Total men and women;35 to 45 years;Partial disablement (< 80%);1998 annual total;9120;6390;1570;340;60;770;8200;200;720;5250;3200;;2050;4910;110;220
1729;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 January;790;450;300;20;0;20;760;0;30;380;210;;170;360;0;20
1730;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 February;770;600;120;20;0;30;730;0;40;500;310;;190;470;10;20
1731;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 March;850;620;180;30;0;20;810;0;40;490;290;;210;410;70;10
1732;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 April;770;600;130;20;0;20;740;0;30;490;300;;190;480;0;10
1733;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 May;740;570;110;30;0;20;700;0;40;430;280;;140;410;0;10
1734;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 June;760;580;140;20;0;20;720;0;30;390;250;;130;370;10;10
1735;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 July;730;580;100;30;0;30;690;0;50;420;260;;160;400;0;20
1736;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 August;680;540;110;20;0;10;650;0;30;410;240;;170;380;0;20
1737;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 September;720;590;110;10;0;20;700;0;20;440;250;;190;430;0;10
1738;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 October;770;620;100;20;0;20;730;0;40;410;250;;160;390;0;10
1739;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 November;960;740;150;40;0;40;900;0;60;460;300;;160;440;0;10
1740;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 December;830;660;140;10;0;20;800;0;30;620;310;;310;600;0;10
1741;Total men and women;35 to 45 years;Partial disablement (< 80%);1999 annual total;9360;7150;1690;240;20;260;8910;20;430;5420;3250;;2170;5150;110;160
1742;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 January;850;690;120;30;0;10;810;0;50;480;290;;190;450;10;20
1743;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 February;1040;830;140;30;0;50;970;0;60;640;440;;210;620;0;20
1744;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 March;990;750;190;20;0;20;940;0;40;600;340;;260;590;0;10
1745;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 April;860;660;160;20;0;20;820;10;40;590;340;;240;560;0;20
1746;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 May;900;730;120;30;0;20;850;0;50;520;330;;180;500;0;20
1747;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 June;790;600;160;20;0;20;760;0;30;560;310;;250;530;10;20
1748;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 July;710;570;110;20;0;10;670;0;40;480;280;;210;460;0;20
1749;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 August;790;690;60;20;0;30;740;0;50;560;330;;230;550;0;20
1750;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 September;900;660;210;20;0;10;870;0;30;470;280;;190;450;0;20
1751;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 October;900;730;140;20;0;20;860;0;30;480;310;;170;470;0;10
1752;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 November;1270;1010;210;30;0;30;1220;0;50;520;350;;170;490;10;30
1753;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 December;1160;910;200;20;0;30;1120;0;40;530;360;;180;510;0;20
1754;Total men and women;35 to 45 years;Partial disablement (< 80%);2000 annual total;11160;8800;1790;260;10;290;10630;20;510;6440;3970;;2480;6180;40;230
1755;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 January;1040;700;300;20;0;20;1000;0;30;490;320;;170;470;0;20
1756;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 February;1160;870;240;30;0;30;1110;0;50;550;360;;190;530;0;20
1757;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 March;1220;900;270;10;0;30;1180;0;40;550;370;;180;540;0;10
1758;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 April;1070;830;200;20;0;20;1030;0;40;530;380;;150;520;0;10
1759;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 May;1230;900;280;20;0;30;1180;0;40;500;350;;150;490;0;10
1760;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 June;1240;800;390;20;0;30;1190;0;50;600;360;;230;560;0;40
1761;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 July;920;760;130;20;0;20;890;0;40;560;330;;230;540;0;10
1762;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 August;970;820;120;10;0;20;940;0;30;610;370;;240;590;0;20
1763;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 September;870;730;110;10;0;20;850;0;30;560;330;;240;530;0;30
1764;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 October;1040;870;120;20;0;30;990;0;50;610;410;;200;600;0;10
1765;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 November;1110;910;180;10;0;20;1090;0;20;530;350;;180;510;0;20
1766;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 December;1120;910;160;20;0;20;1080;0;40;590;420;;170;570;0;20
1767;Total men and women;35 to 45 years;Partial disablement (< 80%);2001 annual total;12970;10000;2490;200;10;280;12510;10;450;6670;4360;;2310;6440;20;210
1768;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 January;1060;870;150;20;0;20;1030;0;40;540;380;;170;530;0;10
1769;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 February;1030;890;110;20;0;20;1000;0;40;600;410;;190;590;0;10
1770;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 March;970;800;130;20;0;20;930;0;40;600;410;;190;580;0;20
1771;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 April;1050;870;130;10;0;40;1000;0;50;690;490;;200;670;0;20
1772;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 May;940;780;100;30;0;30;890;0;50;590;440;;150;570;0;10
1773;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 June;950;750;170;30;0;10;910;0;40;570;420;;160;560;0;20
1774;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 July;1020;800;160;40;0;20;970;0;50;690;490;;200;660;0;30
1775;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 August;830;670;130;30;0;10;800;0;30;630;430;;200;610;0;20
1776;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 September;870;650;170;30;0;10;820;0;40;570;370;;200;550;0;10
1777;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 October;1150;890;210;40;0;10;1100;0;40;710;480;;230;680;10;20
1778;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 November;980;780;130;40;0;20;920;0;60;610;420;;190;580;0;20
1779;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 December;940;700;180;40;0;10;890;0;50;620;430;;190;600;0;20
1780;Total men and women;35 to 45 years;Partial disablement (< 80%);2002 annual total;11780;9460;1760;340;10;210;11250;20;520;7410;5160;;2250;7160;30;220
1781;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 January;860;710;90;50;0;20;800;0;60;540;380;;160;520;0;20
1782;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 February;810;640;110;40;0;20;750;0;50;700;450;;260;680;0;30
1783;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 March;780;620;110;40;0;10;740;0;50;710;490;;230;690;0;20
1784;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 April;810;670;90;30;0;10;760;0;40;720;480;;240;690;0;30
1785;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 May;640;520;90;30;0;10;610;0;30;670;440;;230;640;10;20
1786;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 June;750;580;80;50;0;40;660;0;90;610;420;;190;600;0;20
1787;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 July;700;560;80;40;0;20;630;0;60;650;400;;250;620;0;30
1788;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 August;530;420;60;40;0;10;480;0;50;520;360;;170;500;0;20
1789;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 September;570;450;80;30;0;10;530;0;40;580;350;;230;550;0;30
1790;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 October;650;510;90;30;0;20;600;0;50;590;350;;230;560;0;30
1791;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 November;740;610;80;20;0;30;700;0;50;640;380;;250;610;0;20
1792;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 December;680;530;110;30;0;10;640;0;40;650;360;;280;620;0;20
1793;Total men and women;35 to 45 years;Partial disablement (< 80%);2003 annual total;8510;6810;1070;420;10;200;7910;10;590;7580;4860;;2720;7270;30;280
1794;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 January;520;410;80;20;0;10;490;0;40;560;350;;220;540;0;20
1795;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 February;590;450;100;20;0;20;560;0;40;530;310;;230;520;0;20
1796;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 March;620;500;80;20;0;20;580;0;40;620;370;;240;590;0;30
1797;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 April;630;470;110;30;0;20;590;0;40;540;340;;200;520;0;10
1798;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 May;510;390;70;30;0;20;470;0;40;460;300;;160;440;0;20
1799;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 June;590;460;80;30;0;10;550;0;40;460;290;;170;440;0;10
1800;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 July;520;410;70;20;0;20;490;0;40;480;310;;170;470;0;10
1801;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 August;520;410;60;30;0;20;470;0;50;460;260;;200;450;0;10
1802;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 September;590;450;80;40;0;20;540;0;50;510;290;;220;490;10;20
1803;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 October;450;360;40;30;0;10;400;0;40;420;220;;200;410;0;10
1804;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 November;600;440;90;60;0;20;530;0;80;540;270;;270;500;10;30
1805;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 December;560;410;100;20;0;20;510;0;40;380;210;;180;360;0;20
1806;Total men and women;35 to 45 years;Partial disablement (< 80%);2004 annual total;6700;5170;960;340;10;210;6160;10;530;5960;3510;;2450;5720;20;210
1807;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 January;400;300;50;30;0;10;360;0;40;310;190;;120;300;0;20
1808;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 February;380;240;90;40;0;20;330;0;60;390;240;;150;370;0;20
1809;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 March;200;140;40;20;0;10;180;0;30;400;250;;160;370;0;30
1810;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 April;180;110;30;10;0;20;140;0;30;400;260;;140;380;0;20
1811;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 May;150;100;20;10;0;30;110;0;30;490;320;;170;460;10;30
1812;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 June;240;130;30;40;0;40;150;0;80;510;350;;160;480;0;30
1813;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 July;90;50;20;10;0;10;70;0;20;340;250;;100;330;0;10
1814;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 August;90;60;20;10;0;10;70;0;20;470;340;;130;460;0;10
1815;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 September;110;50;40;10;0;10;90;0;20;430;320;;120;410;0;30
1816;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 October;50;30;10;10;0;10;40;0;10;460;350;;120;440;0;20
1817;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 November;90;50;20;20;0;10;70;0;20;600;420;;170;570;0;30
1818;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 December;50;30;10;10;0;0;40;0;10;590;460;;130;560;0;30
1819;Total men and women;35 to 45 years;Partial disablement (< 80%);2005 annual total;2020;1280;350;220;10;170;1630;10;380;5400;3740;;1660;5120;20;260
1820;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 January;90;70;10;10;0;0;80;0;10;750;550;;200;710;0;30
1821;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 February;50;20;10;10;0;0;30;0;10;510;370;;140;490;0;20
1822;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 March;40;30;10;10;0;0;30;0;10;560;390;;170;530;0;30
1823;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 April;60;40;10;10;0;10;40;0;10;510;290;;220;490;0;20
1824;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 May;40;30;0;10;0;0;30;0;10;490;290;;200;460;0;30
