ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalBudgetsIn1000Euros_1;MunicipalBudgetsEuroInhabitant_2
2434;Total property tax;Edam-Volendam;2024;7042.0;191.0
2435;Total property tax;Edam-Volendam;2025;9109.0;245.0
2436;Total property tax;Ede;2005;21736.0;204.0
2437;Total property tax;Ede;2006;22844.0;214.0
2438;Total property tax;Ede;2007;;
2439;Total property tax;Ede;2008;16375.0;152.0
2440;Total property tax;Ede;2009;17300.0;161.0
2441;Total property tax;Ede;2010;17974.0;167.0
2442;Total property tax;Ede;2011;19130.0;177.0
2443;Total property tax;Ede;2012;19704.0;181.0
2444;Total property tax;Ede;2013;20000.0;182.0
2445;Total property tax;Ede;2014;21470.0;194.0
2446;Total property tax;Ede;2015;21920.0;196.0
2447;Total property tax;Ede;2016;22033.0;196.0
2448;Total property tax;Ede;2017;21668.0;191.0
2449;Total property tax;Ede;2018;22055.0;192.0
2450;Total property tax;Ede;2019;23708.0;205.0
2451;Total property tax;Ede;2020;24749.0;211.0
2452;Total property tax;Ede;2021;25631.0;216.0
2453;Total property tax;Ede;2022;26276.0;219.0
2454;Total property tax;Ede;2023;27872.0;228.0
2455;Total property tax;Ede;2024;30178.0;244.0
2456;Total property tax;Ede;2025;33137.0;267.0
2457;Total property tax;Eemnes;2005;1496.0;171.0
2458;Total property tax;Eemnes;2006;;
2459;Total property tax;Eemnes;2007;;
2460;Total property tax;Eemnes;2008;;
2461;Total property tax;Eemnes;2009;1386.0;156.0
2462;Total property tax;Eemnes;2010;1493.0;169.0
2463;Total property tax;Eemnes;2011;1565.0;177.0
2464;Total property tax;Eemnes;2012;1600.0;181.0
2465;Total property tax;Eemnes;2013;1638.0;186.0
2466;Total property tax;Eemnes;2014;1688.0;192.0
2467;Total property tax;Eemnes;2015;1698.0;193.0
2468;Total property tax;Eemnes;2016;1712.0;193.0
2469;Total property tax;Eemnes;2017;1868.0;208.0
2470;Total property tax;Eemnes;2018;1989.0;218.0
2471;Total property tax;Eemnes;2019;2115.0;232.0
2472;Total property tax;Eemnes;2020;2247.0;243.0
2473;Total property tax;Eemnes;2021;2370.0;253.0
2474;Total property tax;Eemnes;2022;2558.0;271.0
2475;Total property tax;Eemnes;2023;2840.0;296.0
2476;Total property tax;Eemnes;2024;3219.0;330.0
2477;Total property tax;Eemnes;2025;3673.0;371.0
2478;Total property tax;Eemsdelta;2005;;
2479;Total property tax;Eemsdelta;2006;;
2480;Total property tax;Eemsdelta;2007;;
2481;Total property tax;Eemsdelta;2008;;
2482;Total property tax;Eemsdelta;2009;;
2483;Total property tax;Eemsdelta;2010;;
2484;Total property tax;Eemsdelta;2011;;
2485;Total property tax;Eemsdelta;2012;;
2486;Total property tax;Eemsdelta;2013;;
2487;Total property tax;Eemsdelta;2014;;
2488;Total property tax;Eemsdelta;2015;;
2489;Total property tax;Eemsdelta;2016;;
2490;Total property tax;Eemsdelta;2017;;
2491;Total property tax;Eemsdelta;2018;;
2492;Total property tax;Eemsdelta;2019;;
2493;Total property tax;Eemsdelta;2020;;
2494;Total property tax;Eemsdelta;2021;17242.0;379.0
2495;Total property tax;Eemsdelta;2022;17391.0;383.0
2496;Total property tax;Eemsdelta;2023;19389.0;427.0
2497;Total property tax;Eemsdelta;2024;19816.0;439.0
2498;Total property tax;Eemsdelta;2025;21615.0;482.0
2499;Total property tax;Eemsmond;2005;5579.0;333.0
2500;Total property tax;Eemsmond;2006;;
2501;Total property tax;Eemsmond;2007;4430.0;265.0
2502;Total property tax;Eemsmond;2008;4849.0;293.0
2503;Total property tax;Eemsmond;2009;5802.0;352.0
2504;Total property tax;Eemsmond;2010;6537.0;398.0
2505;Total property tax;Eemsmond;2011;7996.0;489.0
2506;Total property tax;Eemsmond;2012;9420.0;580.0
2507;Total property tax;Eemsmond;2013;10225.0;635.0
2508;Total property tax;Eemsmond;2014;9926.0;623.0
2509;Total property tax;Eemsmond;2015;9095.0;576.0
2510;Total property tax;Eemsmond;2016;10278.0;650.0
2511;Total property tax;Eemsmond;2017;10888.0;695.0
2512;Total property tax;Eemsmond;2018;11578.0;744.0
2513;Total property tax;Eemsmond;2019;;
2514;Total property tax;Eemsmond;2020;;
2515;Total property tax;Eemsmond;2021;;
2516;Total property tax;Eemsmond;2022;;
2517;Total property tax;Eemsmond;2023;;
2518;Total property tax;Eemsmond;2024;;
2519;Total property tax;Eemsmond;2025;;
2520;Total property tax;Eersel;2005;3953.0;216.0
2521;Total property tax;Eersel;2006;2653.0;146.0
2522;Total property tax;Eersel;2007;2621.0;145.0
2523;Total property tax;Eersel;2008;2622.0;145.0
2524;Total property tax;Eersel;2009;2747.0;152.0
2525;Total property tax;Eersel;2010;2930.0;161.0
2526;Total property tax;Eersel;2011;3027.0;167.0
2527;Total property tax;Eersel;2012;3040.0;167.0
2528;Total property tax;Eersel;2013;3058.0;168.0
2529;Total property tax;Eersel;2014;3171.0;174.0
2530;Total property tax;Eersel;2015;3364.0;183.0
2531;Total property tax;Eersel;2016;3412.0;184.0
2532;Total property tax;Eersel;2017;3334.0;180.0
2533;Total property tax;Eersel;2018;3406.0;181.0
2534;Total property tax;Eersel;2019;3608.0;189.0
2535;Total property tax;Eersel;2020;3720.0;193.0
2536;Total property tax;Eersel;2021;3999.0;205.0
2537;Total property tax;Eersel;2022;4082.0;206.0
2538;Total property tax;Eersel;2023;4122.0;206.0
2539;Total property tax;Eersel;2024;4196.0;208.0
2540;Total property tax;Eersel;2025;4752.0;233.0
2541;Total property tax;Eijsden;2005;1611.0;137.0
2542;Total property tax;Eijsden;2006;;
2543;Total property tax;Eijsden;2007;1451.0;125.0
2544;Total property tax;Eijsden;2008;1507.0;131.0
2545;Total property tax;Eijsden;2009;1547.0;135.0
2546;Total property tax;Eijsden;2010;1604.0;141.0
2547;Total property tax;Eijsden;2011;;
2548;Total property tax;Eijsden;2012;;
2549;Total property tax;Eijsden;2013;;
2550;Total property tax;Eijsden;2014;;
2551;Total property tax;Eijsden;2015;;
2552;Total property tax;Eijsden;2016;;
2553;Total property tax;Eijsden;2017;;
2554;Total property tax;Eijsden;2018;;
2555;Total property tax;Eijsden;2019;;
2556;Total property tax;Eijsden;2020;;
2557;Total property tax;Eijsden;2021;;
2558;Total property tax;Eijsden;2022;;
2559;Total property tax;Eijsden;2023;;
2560;Total property tax;Eijsden;2024;;
2561;Total property tax;Eijsden;2025;;
2562;Total property tax;Eijsden-Margraten;2005;;
2563;Total property tax;Eijsden-Margraten;2006;;
2564;Total property tax;Eijsden-Margraten;2007;;
2565;Total property tax;Eijsden-Margraten;2008;;
2566;Total property tax;Eijsden-Margraten;2009;;
2567;Total property tax;Eijsden-Margraten;2010;;
2568;Total property tax;Eijsden-Margraten;2011;;
2569;Total property tax;Eijsden-Margraten;2012;3781.0;151.0
2570;Total property tax;Eijsden-Margraten;2013;4157.0;166.0
2571;Total property tax;Eijsden-Margraten;2014;4326.0;173.0
2572;Total property tax;Eijsden-Margraten;2015;;
2573;Total property tax;Eijsden-Margraten;2016;4589.0;183.0
2574;Total property tax;Eijsden-Margraten;2017;4814.0;190.0
2575;Total property tax;Eijsden-Margraten;2018;4956.0;194.0
2576;Total property tax;Eijsden-Margraten;2019;5177.0;202.0
2577;Total property tax;Eijsden-Margraten;2020;5352.0;208.0
2578;Total property tax;Eijsden-Margraten;2021;5427.0;210.0
2579;Total property tax;Eijsden-Margraten;2022;5503.0;213.0
2580;Total property tax;Eijsden-Margraten;2023;5865.0;226.0
2581;Total property tax;Eijsden-Margraten;2024;6074.0;233.0
2582;Total property tax;Eijsden-Margraten;2025;6502.0;249.0
2583;Total property tax;Eindhoven;2005;46090.0;221.0
2584;Total property tax;Eindhoven;2006;47294.0;226.0
2585;Total property tax;Eindhoven;2007;;
2586;Total property tax;Eindhoven;2008;37429.0;178.0
2587;Total property tax;Eindhoven;2009;38977.0;183.0
2588;Total property tax;Eindhoven;2010;39227.0;183.0
2589;Total property tax;Eindhoven;2011;40013.0;185.0
2590;Total property tax;Eindhoven;2012;41813.0;193.0
2591;Total property tax;Eindhoven;2013;44300.0;203.0
2592;Total property tax;Eindhoven;2014;45186.0;205.0
2593;Total property tax;Eindhoven;2015;46898.0;210.0
2594;Total property tax;Eindhoven;2016;47921.0;213.0
2595;Total property tax;Eindhoven;2017;52082.0;230.0
2596;Total property tax;Eindhoven;2018;57956.0;253.0
2597;Total property tax;Eindhoven;2019;72035.0;311.0
2598;Total property tax;Eindhoven;2020;75476.0;322.0
2599;Total property tax;Eindhoven;2021;77192.0;327.0
2600;Total property tax;Eindhoven;2022;82774.0;347.0
2601;Total property tax;Eindhoven;2023;84187.0;345.0
2602;Total property tax;Eindhoven;2024;87587.0;355.0
2603;Total property tax;Eindhoven;2025;92637.0;372.0
2604;Total property tax;Elburg;2005;3143.0;143.0
2605;Total property tax;Elburg;2006;2368.0;108.0
2606;Total property tax;Elburg;2007;2300.0;103.0
2607;Total property tax;Elburg;2008;2470.0;111.0
2608;Total property tax;Elburg;2009;2507.0;113.0
2609;Total property tax;Elburg;2010;2597.0;117.0
2610;Total property tax;Elburg;2011;2724.0;122.0
2611;Total property tax;Elburg;2012;3038.0;135.0
2612;Total property tax;Elburg;2013;3186.0;141.0
2613;Total property tax;Elburg;2014;3305.0;146.0
2614;Total property tax;Elburg;2015;3430.0;150.0
2615;Total property tax;Elburg;2016;3555.0;155.0
2616;Total property tax;Elburg;2017;3499.0;152.0
2617;Total property tax;Elburg;2018;3544.0;153.0
2618;Total property tax;Elburg;2019;3642.0;158.0
2619;Total property tax;Elburg;2020;3843.0;166.0
2620;Total property tax;Elburg;2021;4063.0;173.0
2621;Total property tax;Elburg;2022;4368.0;184.0
2622;Total property tax;Elburg;2023;4434.0;184.0
2623;Total property tax;Elburg;2024;4942.0;207.0
2624;Total property tax;Elburg;2025;5544.0;232.0
2625;Total property tax;Emmen;2005;25679.0;236.0
2626;Total property tax;Emmen;2006;27548.0;254.0
2627;Total property tax;Emmen;2007;;
2628;Total property tax;Emmen;2008;19858.0;182.0
2629;Total property tax;Emmen;2009;21216.0;193.0
2630;Total property tax;Emmen;2010;21045.0;192.0
2631;Total property tax;Emmen;2011;21615.0;198.0
2632;Total property tax;Emmen;2012;22894.0;211.0
2633;Total property tax;Emmen;2013;23906.0;220.0
2634;Total property tax;Emmen;2014;24969.0;231.0
2635;Total property tax;Emmen;2015;24969.0;232.0
2636;Total property tax;Emmen;2016;25506.0;237.0
2637;Total property tax;Emmen;2017;25546.0;238.0
2638;Total property tax;Emmen;2018;25198.0;235.0
2639;Total property tax;Emmen;2019;25550.0;239.0
2640;Total property tax;Emmen;2020;25752.0;241.0
2641;Total property tax;Emmen;2021;27938.0;261.0
2642;Total property tax;Emmen;2022;28063.0;260.0
2643;Total property tax;Emmen;2023;28163.0;259.0
2644;Total property tax;Emmen;2024;28479.0;260.0
2645;Total property tax;Emmen;2025;29085.0;265.0
2646;Total property tax;Enkhuizen;2005;4418.0;255.0
2647;Total property tax;Enkhuizen;2006;4487.0;255.0
2648;Total property tax;Enkhuizen;2007;2594.0;146.0
2649;Total property tax;Enkhuizen;2008;2622.0;147.0
2650;Total property tax;Enkhuizen;2009;2786.0;154.0
2651;Total property tax;Enkhuizen;2010;2911.0;160.0
2652;Total property tax;Enkhuizen;2011;3046.0;167.0
2653;Total property tax;Enkhuizen;2012;3094.0;169.0
2654;Total property tax;Enkhuizen;2013;3165.0;173.0
2655;Total property tax;Enkhuizen;2014;3245.0;177.0
2656;Total property tax;Enkhuizen;2015;3326.0;181.0
2657;Total property tax;Enkhuizen;2016;3368.0;182.0
2658;Total property tax;Enkhuizen;2017;3398.0;184.0
2659;Total property tax;Enkhuizen;2018;3418.0;185.0
2660;Total property tax;Enkhuizen;2019;3793.0;205.0
2661;Total property tax;Enkhuizen;2020;3850.0;207.0
2662;Total property tax;Enkhuizen;2021;4316.0;232.0
2663;Total property tax;Enkhuizen;2022;4721.0;254.0
2664;Total property tax;Enkhuizen;2023;5769.0;306.0
2665;Total property tax;Enkhuizen;2024;6169.0;326.0
2666;Total property tax;Enkhuizen;2025;6344.0;337.0
2667;Total property tax;Enschede;2005;39048.0;254.0
2668;Total property tax;Enschede;2006;;
2669;Total property tax;Enschede;2007;30234.0;196.0
2670;Total property tax;Enschede;2008;31400.0;203.0
2671;Total property tax;Enschede;2009;32307.0;207.0
2672;Total property tax;Enschede;2010;34721.0;221.0
2673;Total property tax;Enschede;2011;36035.0;229.0
2674;Total property tax;Enschede;2012;37195.0;235.0
2675;Total property tax;Enschede;2013;38179.0;241.0
2676;Total property tax;Enschede;2014;38299.0;241.0
2677;Total property tax;Enschede;2015;39149.0;247.0
2678;Total property tax;Enschede;2016;39439.0;249.0
2679;Total property tax;Enschede;2017;40599.0;257.0
2680;Total property tax;Enschede;2018;43577.0;275.0
2681;Total property tax;Enschede;2019;48655.0;306.0
2682;Total property tax;Enschede;2020;50489.0;316.0
2683;Total property tax;Enschede;2021;51370.0;322.0
2684;Total property tax;Enschede;2022;52248.0;325.0
2685;Total property tax;Enschede;2023;52910.0;328.0
2686;Total property tax;Enschede;2024;55210.0;341.0
2687;Total property tax;Enschede;2025;61309.0;377.0
2688;Total property tax;Epe;2005;5405.0;163.0
2689;Total property tax;Epe;2006;3556.0;108.0
2690;Total property tax;Epe;2007;3604.0;110.0
2691;Total property tax;Epe;2008;3676.0;111.0
2692;Total property tax;Epe;2009;3810.0;116.0
2693;Total property tax;Epe;2010;3793.0;115.0
2694;Total property tax;Epe;2011;4162.0;127.0
2695;Total property tax;Epe;2012;4331.0;133.0
2696;Total property tax;Epe;2013;4603.0;142.0
2697;Total property tax;Epe;2014;5003.0;155.0
2698;Total property tax;Epe;2015;5264.0;163.0
2699;Total property tax;Epe;2016;5309.0;165.0
2700;Total property tax;Epe;2017;5389.0;166.0
2701;Total property tax;Epe;2018;5477.0;167.0
2702;Total property tax;Epe;2019;5611.0;169.0
2703;Total property tax;Epe;2020;5824.0;175.0
2704;Total property tax;Epe;2021;6047.0;182.0
2705;Total property tax;Epe;2022;6253.0;188.0
2706;Total property tax;Epe;2023;6572.0;197.0
2707;Total property tax;Epe;2024;6987.0;211.0
2708;Total property tax;Epe;2025;7207.0;215.0
2709;Total property tax;Ermelo;2005;5835.0;221.0
2710;Total property tax;Ermelo;2006;4383.0;167.0
2711;Total property tax;Ermelo;2007;;
2712;Total property tax;Ermelo;2008;4625.0;176.0
2713;Total property tax;Ermelo;2009;4769.0;181.0
2714;Total property tax;Ermelo;2010;4848.0;185.0
2715;Total property tax;Ermelo;2011;4982.0;191.0
2716;Total property tax;Ermelo;2012;5087.0;195.0
2717;Total property tax;Ermelo;2013;5214.0;200.0
2718;Total property tax;Ermelo;2014;5329.0;205.0
2719;Total property tax;Ermelo;2015;5770.0;220.0
2720;Total property tax;Ermelo;2016;5828.0;220.0
2721;Total property tax;Ermelo;2017;5927.0;223.0
2722;Total property tax;Ermelo;2018;6273.0;234.0
2723;Total property tax;Ermelo;2019;6421.0;239.0
2724;Total property tax;Ermelo;2020;7732.0;286.0
2725;Total property tax;Ermelo;2021;8704.0;322.0
2726;Total property tax;Ermelo;2022;9905.0;363.0
2727;Total property tax;Ermelo;2023;10203.0;371.0
2728;Total property tax;Ermelo;2024;11000.0;395.0
2729;Total property tax;Ermelo;2025;11215.0;399.0
2730;Total property tax;Etten-Leur;2005;6890.0;172.0
2731;Total property tax;Etten-Leur;2006;5544.0;138.0
2732;Total property tax;Etten-Leur;2007;5586.0;137.0
2733;Total property tax;Etten-Leur;2008;5950.0;147.0
2734;Total property tax;Etten-Leur;2009;6233.0;152.0
2735;Total property tax;Etten-Leur;2010;6352.0;153.0
2736;Total property tax;Etten-Leur;2011;6786.0;163.0
2737;Total property tax;Etten-Leur;2012;6956.0;166.0
2738;Total property tax;Etten-Leur;2013;7204.0;170.0
2739;Total property tax;Etten-Leur;2014;7500.0;177.0
2740;Total property tax;Etten-Leur;2015;7753.0;182.0
2741;Total property tax;Etten-Leur;2016;7910.0;185.0
2742;Total property tax;Etten-Leur;2017;8038.0;187.0
2743;Total property tax;Etten-Leur;2018;8143.0;187.0
2744;Total property tax;Etten-Leur;2019;8274.0;189.0
2745;Total property tax;Etten-Leur;2020;8629.0;197.0
2746;Total property tax;Etten-Leur;2021;8750.0;199.0
2747;Total property tax;Etten-Leur;2022;8923.0;202.0
2748;Total property tax;Etten-Leur;2023;9023.0;202.0
2749;Total property tax;Etten-Leur;2024;9759.0;216.0
2750;Total property tax;Etten-Leur;2025;10589.0;233.0
2751;Total property tax;Ferwerderadiel;2005;1308.0;146.0
2752;Total property tax;Ferwerderadiel;2006;866.0;96.0
2753;Total property tax;Ferwerderadiel;2007;888.0;99.0
2754;Total property tax;Ferwerderadiel;2008;887.0;100.0
2755;Total property tax;Ferwerderadiel;2009;959.0;109.0
2756;Total property tax;Ferwerderadiel;2010;1037.0;118.0
2757;Total property tax;Ferwerderadiel;2011;1099.0;124.0
2758;Total property tax;Ferwerderadiel;2012;1180.0;133.0
2759;Total property tax;Ferwerderadiel;2013;1256.0;142.0
2760;Total property tax;Ferwerderadiel;2014;1365.0;155.0
2761;Total property tax;Ferwerderadiel;2015;1507.0;172.0
2762;Total property tax;Ferwerderadiel;2016;1583.0;182.0
2763;Total property tax;Ferwerderadiel;2017;1642.0;188.0
2764;Total property tax;Ferwerderadiel;2018;1628.0;188.0
2765;Total property tax;Ferwerderadiel;2019;;
2766;Total property tax;Ferwerderadiel;2020;;
2767;Total property tax;Ferwerderadiel;2021;;
2768;Total property tax;Ferwerderadiel;2022;;
2769;Total property tax;Ferwerderadiel;2023;;
2770;Total property tax;Ferwerderadiel;2024;;
2771;Total property tax;Ferwerderadiel;2025;;
2772;Total property tax;Franekeradeel;2005;3459.0;164.0
2773;Total property tax;Franekeradeel;2006;2349.0;111.0
2774;Total property tax;Franekeradeel;2007;2380.0;116.0
2775;Total property tax;Franekeradeel;2008;2467.0;120.0
2776;Total property tax;Franekeradeel;2009;2550.0;124.0
2777;Total property tax;Franekeradeel;2010;2630.0;128.0
2778;Total property tax;Franekeradeel;2011;2752.0;133.0
2779;Total property tax;Franekeradeel;2012;2833.0;138.0
2780;Total property tax;Franekeradeel;2013;2875.0;140.0
2781;Total property tax;Franekeradeel;2014;2885.0;141.0
2782;Total property tax;Franekeradeel;2015;3000.0;148.0
2783;Total property tax;Franekeradeel;2016;3080.0;152.0
2784;Total property tax;Franekeradeel;2017;3111.0;154.0
2785;Total property tax;Franekeradeel;2018;;
2786;Total property tax;Franekeradeel;2019;;
2787;Total property tax;Franekeradeel;2020;;
2788;Total property tax;Franekeradeel;2021;;
2789;Total property tax;Franekeradeel;2022;;
2790;Total property tax;Franekeradeel;2023;;
2791;Total property tax;Franekeradeel;2024;;
2792;Total property tax;Franekeradeel;2025;;
2793;Total property tax;De Friese Meren;2005;;
2794;Total property tax;De Friese Meren;2006;;
2795;Total property tax;De Friese Meren;2007;;
2796;Total property tax;De Friese Meren;2008;;
2797;Total property tax;De Friese Meren;2009;;
2798;Total property tax;De Friese Meren;2010;;
2799;Total property tax;De Friese Meren;2011;;
2800;Total property tax;De Friese Meren;2012;;
2801;Total property tax;De Friese Meren;2013;;
2802;Total property tax;De Friese Meren;2014;;
2803;Total property tax;De Friese Meren;2015;9277.0;181.0
2804;Total property tax;De Friese Meren;2016;;
2805;Total property tax;De Friese Meren;2017;;
2806;Total property tax;De Friese Meren;2018;;
2807;Total property tax;De Friese Meren;2019;;
2808;Total property tax;De Friese Meren;2020;;
2809;Total property tax;De Friese Meren;2021;;
2810;Total property tax;De Friese Meren;2022;;
2811;Total property tax;De Friese Meren;2023;;
2812;Total property tax;De Friese Meren;2024;;
2813;Total property tax;De Friese Meren;2025;;
2814;Total property tax;De Fryske Marren;2005;;
2815;Total property tax;De Fryske Marren;2006;;
2816;Total property tax;De Fryske Marren;2007;;
2817;Total property tax;De Fryske Marren;2008;;
2818;Total property tax;De Fryske Marren;2009;;
2819;Total property tax;De Fryske Marren;2010;;
2820;Total property tax;De Fryske Marren;2011;;
2821;Total property tax;De Fryske Marren;2012;;
2822;Total property tax;De Fryske Marren;2013;;
2823;Total property tax;De Fryske Marren;2014;;
2824;Total property tax;De Fryske Marren;2015;;
2825;Total property tax;De Fryske Marren;2016;9637.0;188.0
2826;Total property tax;De Fryske Marren;2017;10073.0;195.0
2827;Total property tax;De Fryske Marren;2018;10379.0;201.0
2828;Total property tax;De Fryske Marren;2019;10728.0;209.0
2829;Total property tax;De Fryske Marren;2020;11076.0;215.0
2830;Total property tax;De Fryske Marren;2021;11400.0;220.0
2831;Total property tax;De Fryske Marren;2022;11679.0;226.0
2832;Total property tax;De Fryske Marren;2023;11971.0;230.0
2833;Total property tax;De Fryske Marren;2024;12442.0;240.0
2834;Total property tax;De Fryske Marren;2025;13028.0;250.0
2835;Total property tax;Gaasterlân-Sleat;2005;1716.0;169.0
2836;Total property tax;Gaasterlân-Sleat;2006;1237.0;121.0
2837;Total property tax;Gaasterlân-Sleat;2007;1296.0;126.0
2838;Total property tax;Gaasterlân-Sleat;2008;1502.0;147.0
2839;Total property tax;Gaasterlân-Sleat;2009;1628.0;158.0
2840;Total property tax;Gaasterlân-Sleat;2010;1703.0;166.0
2841;Total property tax;Gaasterlân-Sleat;2011;1748.0;171.0
2842;Total property tax;Gaasterlân-Sleat;2012;1801.0;177.0
2843;Total property tax;Gaasterlân-Sleat;2013;;
2844;Total property tax;Gaasterlân-Sleat;2014;;
2845;Total property tax;Gaasterlân-Sleat;2015;;
2846;Total property tax;Gaasterlân-Sleat;2016;;
2847;Total property tax;Gaasterlân-Sleat;2017;;
2848;Total property tax;Gaasterlân-Sleat;2018;;
2849;Total property tax;Gaasterlân-Sleat;2019;;
2850;Total property tax;Gaasterlân-Sleat;2020;;
2851;Total property tax;Gaasterlân-Sleat;2021;;
2852;Total property tax;Gaasterlân-Sleat;2022;;
2853;Total property tax;Gaasterlân-Sleat;2023;;
2854;Total property tax;Gaasterlân-Sleat;2024;;
2855;Total property tax;Gaasterlân-Sleat;2025;;
2856;Total property tax;Geertruidenberg;2005;3803.0;182.0
2857;Total property tax;Geertruidenberg;2006;;
2858;Total property tax;Geertruidenberg;2007;3411.0;165.0
2859;Total property tax;Geertruidenberg;2008;3560.0;171.0
2860;Total property tax;Geertruidenberg;2009;3507.0;168.0
2861;Total property tax;Geertruidenberg;2010;3943.0;187.0
2862;Total property tax;Geertruidenberg;2011;4204.0;197.0
2863;Total property tax;Geertruidenberg;2012;4482.0;209.0
2864;Total property tax;Geertruidenberg;2013;4777.0;222.0
2865;Total property tax;Geertruidenberg;2014;5093.0;236.0
2866;Total property tax;Geertruidenberg;2015;5168.0;240.0
2867;Total property tax;Geertruidenberg;2016;5243.0;242.0
2868;Total property tax;Geertruidenberg;2017;5318.0;247.0
2869;Total property tax;Geertruidenberg;2018;5468.0;254.0
2870;Total property tax;Geertruidenberg;2019;5742.0;267.0
2871;Total property tax;Geertruidenberg;2020;6133.0;285.0
2872;Total property tax;Geertruidenberg;2021;6686.0;307.0
2873;Total property tax;Geertruidenberg;2022;6908.0;315.0
2874;Total property tax;Geertruidenberg;2023;7406.0;335.0
2875;Total property tax;Geertruidenberg;2024;7568.0;343.0
2876;Total property tax;Geertruidenberg;2025;8081.0;368.0
2877;Total property tax;Geldermalsen;2005;4300.0;165.0
2878;Total property tax;Geldermalsen;2006;3132.0;119.0
2879;Total property tax;Geldermalsen;2007;3152.0;121.0
2880;Total property tax;Geldermalsen;2008;3126.0;119.0
2881;Total property tax;Geldermalsen;2009;3287.0;125.0
2882;Total property tax;Geldermalsen;2010;3351.0;127.0
2883;Total property tax;Geldermalsen;2011;3612.0;138.0
2884;Total property tax;Geldermalsen;2012;3611.0;138.0
2885;Total property tax;Geldermalsen;2013;5263.0;200.0
2886;Total property tax;Geldermalsen;2014;6595.0;251.0
2887;Total property tax;Geldermalsen;2015;6983.0;265.0
2888;Total property tax;Geldermalsen;2016;7167.0;272.0
2889;Total property tax;Geldermalsen;2017;7334.0;276.0
2890;Total property tax;Geldermalsen;2018;7547.0;281.0
2891;Total property tax;Geldermalsen;2019;;
2892;Total property tax;Geldermalsen;2020;;
2893;Total property tax;Geldermalsen;2021;;
2894;Total property tax;Geldermalsen;2022;;
2895;Total property tax;Geldermalsen;2023;;
2896;Total property tax;Geldermalsen;2024;;
2897;Total property tax;Geldermalsen;2025;;
2898;Total property tax;Geldrop-Mierlo;2005;5459.0;145.0
2899;Total property tax;Geldrop-Mierlo;2006;3683.0;98.0
2900;Total property tax;Geldrop-Mierlo;2007;3674.0;97.0
2901;Total property tax;Geldrop-Mierlo;2008;3888.0;102.0
2902;Total property tax;Geldrop-Mierlo;2009;4109.0;108.0
2903;Total property tax;Geldrop-Mierlo;2010;4176.0;110.0
2904;Total property tax;Geldrop-Mierlo;2011;4318.0;112.0
2905;Total property tax;Geldrop-Mierlo;2012;4565.0;118.0
2906;Total property tax;Geldrop-Mierlo;2013;4637.0;120.0
2907;Total property tax;Geldrop-Mierlo;2014;4634.0;119.0
2908;Total property tax;Geldrop-Mierlo;2015;4720.0;121.0
2909;Total property tax;Geldrop-Mierlo;2016;4764.0;123.0
2910;Total property tax;Geldrop-Mierlo;2017;4885.0;125.0
2911;Total property tax;Geldrop-Mierlo;2018;4902.0;125.0
2912;Total property tax;Geldrop-Mierlo;2019;5141.0;130.0
2913;Total property tax;Geldrop-Mierlo;2020;5338.0;134.0
2914;Total property tax;Geldrop-Mierlo;2021;5944.0;148.0
2915;Total property tax;Geldrop-Mierlo;2022;6128.0;153.0
2916;Total property tax;Geldrop-Mierlo;2023;6334.0;157.0
2917;Total property tax;Geldrop-Mierlo;2024;6776.0;166.0
2918;Total property tax;Geldrop-Mierlo;2025;7333.0;180.0
2919;Total property tax;Gemert-Bakel;2005;4242.0;152.0
2920;Total property tax;Gemert-Bakel;2006;3070.0;110.0
2921;Total property tax;Gemert-Bakel;2007;3007.0;108.0
2922;Total property tax;Gemert-Bakel;2008;3116.0;111.0
2923;Total property tax;Gemert-Bakel;2009;3248.0;114.0
2924;Total property tax;Gemert-Bakel;2010;3404.0;118.0
2925;Total property tax;Gemert-Bakel;2011;3575.0;124.0
2926;Total property tax;Gemert-Bakel;2012;4726.0;163.0
2927;Total property tax;Gemert-Bakel;2013;8217.0;282.0
2928;Total property tax;Gemert-Bakel;2014;7850.0;268.0
2929;Total property tax;Gemert-Bakel;2015;7600.0;257.0
2930;Total property tax;Gemert-Bakel;2016;7354.0;248.0
2931;Total property tax;Gemert-Bakel;2017;7241.0;241.0
2932;Total property tax;Gemert-Bakel;2018;7402.0;244.0
2933;Total property tax;Gemert-Bakel;2019;7788.0;256.0
2934;Total property tax;Gemert-Bakel;2020;8636.0;281.0
2935;Total property tax;Gemert-Bakel;2021;8882.0;289.0
2936;Total property tax;Gemert-Bakel;2022;9081.0;293.0
2937;Total property tax;Gemert-Bakel;2023;9365.0;298.0
2938;Total property tax;Gemert-Bakel;2024;9806.0;312.0
2939;Total property tax;Gemert-Bakel;2025;10200.0;324.0
2940;Total property tax;Gennep;2005;;
2941;Total property tax;Gennep;2006;;
2942;Total property tax;Gennep;2007;1931.0;115.0
2943;Total property tax;Gennep;2008;2080.0;123.0
2944;Total property tax;Gennep;2009;2132.0;124.0
2945;Total property tax;Gennep;2010;2152.0;126.0
2946;Total property tax;Gennep;2011;2207.0;127.0
2947;Total property tax;Gennep;2012;2532.0;146.0
2948;Total property tax;Gennep;2013;2722.0;157.0
2949;Total property tax;Gennep;2014;2823.0;163.0
2950;Total property tax;Gennep;2015;2854.0;165.0
2951;Total property tax;Gennep;2016;2936.0;172.0
2952;Total property tax;Gennep;2017;2959.0;173.0
