ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
900;3   Clothing and footwear;CPI all households;2002 April;117.1;1.0;4.3;6121
901;3   Clothing and footwear;CPI all households;2002 May;115.8;-1.1;3.2;6121
902;3   Clothing and footwear;CPI all households;2002 June;111.4;-3.8;3.3;6121
903;3   Clothing and footwear;CPI all households;2002 July;98.0;-12.0;2.8;6121
904;3   Clothing and footwear;CPI all households;2002 August;102.8;4.9;3.9;6121
905;3   Clothing and footwear;CPI all households;2002 September;114.9;11.8;2.6;6121
906;3   Clothing and footwear;CPI all households;2002 October;115.5;0.5;1.9;6121
907;3   Clothing and footwear;CPI all households;2002 November;114.1;-1.2;1.2;6121
908;3   Clothing and footwear;CPI all households;2002 December;106.7;-6.5;-0.6;6121
909;3   Clothing and footwear;CPI all households;2002;109.5;;3.2;6121
910;3   Clothing and footwear;CPI low income households;1996 January;89.7;;;6074
911;3   Clothing and footwear;CPI low income households;1996 February;94.3;5.1;;6074
912;3   Clothing and footwear;CPI low income households;1996 March;105.4;11.8;;6074
913;3   Clothing and footwear;CPI low income households;1996 April;106.6;1.1;;6074
914;3   Clothing and footwear;CPI low income households;1996 May;105.9;-0.7;;6074
915;3   Clothing and footwear;CPI low income households;1996 June;103.0;-2.7;;6074
916;3   Clothing and footwear;CPI low income households;1996 July;90.3;-12.3;;6074
917;3   Clothing and footwear;CPI low income households;1996 August;93.3;3.3;;6074
918;3   Clothing and footwear;CPI low income households;1996 September;106.2;13.8;;6074
919;3   Clothing and footwear;CPI low income households;1996 October;107.0;0.8;;6074
920;3   Clothing and footwear;CPI low income households;1996 November;106.0;-0.9;;6074
921;3   Clothing and footwear;CPI low income households;1996 December;101.7;-4.1;;6074
922;3   Clothing and footwear;CPI low income households;1996;100.8;;;6074
923;3   Clothing and footwear;CPI low income households;1997 January;90.1;-11.4;0.4;6074
924;3   Clothing and footwear;CPI low income households;1997 February;93.9;4.2;-0.4;6074
925;3   Clothing and footwear;CPI low income households;1997 March;107.1;14.1;1.6;6074
926;3   Clothing and footwear;CPI low income households;1997 April;107.7;0.6;1.0;6074
927;3   Clothing and footwear;CPI low income households;1997 May;106.6;-1.0;0.7;6074
928;3   Clothing and footwear;CPI low income households;1997 June;99.6;-6.6;-3.3;6074
929;3   Clothing and footwear;CPI low income households;1997 July;89.8;-9.8;-0.6;6074
930;3   Clothing and footwear;CPI low income households;1997 August;93.0;3.6;-0.3;6074
931;3   Clothing and footwear;CPI low income households;1997 September;107.4;15.5;1.1;6074
932;3   Clothing and footwear;CPI low income households;1997 October;108.0;0.6;0.9;6074
933;3   Clothing and footwear;CPI low income households;1997 November;107.2;-0.7;1.1;6074
934;3   Clothing and footwear;CPI low income households;1997 December;103.1;-3.8;1.4;6074
935;3   Clothing and footwear;CPI low income households;1997;101.1;;0.3;6074
936;3   Clothing and footwear;CPI low income households;1998 January;89.9;-12.8;-0.2;6074
937;3   Clothing and footwear;CPI low income households;1998 February;98.1;9.1;4.5;6074
938;3   Clothing and footwear;CPI low income households;1998 March;111.2;13.4;3.8;6074
939;3   Clothing and footwear;CPI low income households;1998 April;111.4;0.2;3.4;6074
940;3   Clothing and footwear;CPI low income households;1998 May;109.7;-1.5;2.9;6074
941;3   Clothing and footwear;CPI low income households;1998 June;103.7;-5.5;4.1;6074
942;3   Clothing and footwear;CPI low income households;1998 July;93.9;-9.5;4.6;6074
943;3   Clothing and footwear;CPI low income households;1998 August;95.6;1.8;2.8;6074
944;3   Clothing and footwear;CPI low income households;1998 September;110.0;15.1;2.4;6074
945;3   Clothing and footwear;CPI low income households;1998 October;110.5;0.5;2.3;6074
946;3   Clothing and footwear;CPI low income households;1998 November;109.2;-1.2;1.9;6074
947;3   Clothing and footwear;CPI low income households;1998 December;102.5;-6.1;-0.6;6074
948;3   Clothing and footwear;CPI low income households;1998;103.8;;2.7;6074
949;3   Clothing and footwear;CPI low income households;1999 January;91.8;-10.4;2.1;6074
950;3   Clothing and footwear;CPI low income households;1999 February;98.4;7.2;0.3;6074
951;3   Clothing and footwear;CPI low income households;1999 March;111.2;13.0;0.0;6074
952;3   Clothing and footwear;CPI low income households;1999 April;112.2;0.9;0.7;6074
953;3   Clothing and footwear;CPI low income households;1999 May;111.6;-0.5;1.7;6074
954;3   Clothing and footwear;CPI low income households;1999 June;105.5;-5.5;1.7;6074
955;3   Clothing and footwear;CPI low income households;1999 July;95.5;-9.5;1.7;6074
956;3   Clothing and footwear;CPI low income households;1999 August;101.8;6.6;6.5;6074
957;3   Clothing and footwear;CPI low income households;1999 September;110.2;8.3;0.2;6074
958;3   Clothing and footwear;CPI low income households;1999 October;109.4;-0.7;-1.0;6074
959;3   Clothing and footwear;CPI low income households;1999 November;109.2;-0.2;0.0;6074
960;3   Clothing and footwear;CPI low income households;1999 December;102.2;-6.4;-0.3;6074
961;3   Clothing and footwear;CPI low income households;1999;104.9;;1.1;6074
962;3   Clothing and footwear;CPI low income households;2000 January;91.4;-10.6;-0.4;6074
963;3   Clothing and footwear;CPI low income households;2000 February;97.6;6.8;-0.8;6074
964;3   Clothing and footwear;CPI low income households;2000 March;110.0;12.7;-1.1;6074
965;3   Clothing and footwear;CPI low income households;2000 April;111.4;1.3;-0.7;6074
966;3   Clothing and footwear;CPI low income households;2000 May;111.0;-0.4;-0.5;6074
967;3   Clothing and footwear;CPI low income households;2000 June;106.2;-4.3;0.7;6074
968;3   Clothing and footwear;CPI low income households;2000 July;93.3;-12.1;-2.3;6074
969;3   Clothing and footwear;CPI low income households;2000 August;97.2;4.2;-4.5;6074
970;3   Clothing and footwear;CPI low income households;2000 September;109.3;12.4;-0.8;6074
971;3   Clothing and footwear;CPI low income households;2000 October;109.8;0.5;0.4;6074
972;3   Clothing and footwear;CPI low income households;2000 November;108.9;-0.8;-0.3;6074
973;3   Clothing and footwear;CPI low income households;2000 December;101.5;-6.8;-0.7;6074
974;3   Clothing and footwear;CPI low income households;2000;104.0;;-0.9;6074
975;3   Clothing and footwear;CPI low income households;2001 January;91.5;-9.9;0.1;6074
976;3   Clothing and footwear;CPI low income households;2001 February;98.5;7.7;0.9;6074
977;3   Clothing and footwear;CPI low income households;2001 March;110.8;12.5;0.7;6074
978;3   Clothing and footwear;CPI low income households;2001 April;111.9;1.0;0.4;6074
979;3   Clothing and footwear;CPI low income households;2001 May;111.8;-0.1;0.7;6074
980;3   Clothing and footwear;CPI low income households;2001 June;107.4;-3.9;1.1;6074
981;3   Clothing and footwear;CPI low income households;2001 July;95.0;-11.5;1.8;6074
982;3   Clothing and footwear;CPI low income households;2001 August;98.9;4.1;1.7;6074
983;3   Clothing and footwear;CPI low income households;2001 September;111.7;12.9;2.2;6074
984;3   Clothing and footwear;CPI low income households;2001 October;113.1;1.3;3.0;6074
985;3   Clothing and footwear;CPI low income households;2001 November;112.6;-0.4;3.4;6074
986;3   Clothing and footwear;CPI low income households;2001 December;106.9;-5.1;5.3;6074
987;3   Clothing and footwear;CPI low income households;2001;105.8;;1.7;6074
988;3   Clothing and footwear;CPI low income households;2002 January;98.2;-8.1;7.3;6074
989;3   Clothing and footwear;CPI low income households;2002 February;103.6;5.5;5.2;6074
990;3   Clothing and footwear;CPI low income households;2002 March;115.7;11.7;4.4;6074
991;3   Clothing and footwear;CPI low income households;2002 April;116.8;1.0;4.4;6074
992;3   Clothing and footwear;CPI low income households;2002 May;115.5;-1.1;3.3;6074
993;3   Clothing and footwear;CPI low income households;2002 June;111.0;-3.9;3.4;6074
994;3   Clothing and footwear;CPI low income households;2002 July;97.7;-12.0;2.8;6074
995;3   Clothing and footwear;CPI low income households;2002 August;102.3;4.7;3.4;6074
996;3   Clothing and footwear;CPI low income households;2002 September;114.5;11.9;2.5;6074
997;3   Clothing and footwear;CPI low income households;2002 October;115.2;0.6;1.9;6074
998;3   Clothing and footwear;CPI low income households;2002 November;113.7;-1.3;1.0;6074
999;3   Clothing and footwear;CPI low income households;2002 December;106.1;-6.7;-0.7;6074
1000;3   Clothing and footwear;CPI low income households;2002;109.2;;3.2;6074
1001;3   Clothing and footwear;CPI high income households;1996 January;89.7;;;7209
1002;3   Clothing and footwear;CPI high income households;1996 February;94.3;5.1;;7209
1003;3   Clothing and footwear;CPI high income households;1996 March;105.6;12.0;;7209
1004;3   Clothing and footwear;CPI high income households;1996 April;106.8;1.1;;7209
1005;3   Clothing and footwear;CPI high income households;1996 May;106.0;-0.7;;7209
1006;3   Clothing and footwear;CPI high income households;1996 June;103.2;-2.6;;7209
1007;3   Clothing and footwear;CPI high income households;1996 July;90.0;-12.8;;7209
1008;3   Clothing and footwear;CPI high income households;1996 August;93.0;3.3;;7209
1009;3   Clothing and footwear;CPI high income households;1996 September;106.3;14.3;;7209
1010;3   Clothing and footwear;CPI high income households;1996 October;107.1;0.8;;7209
1011;3   Clothing and footwear;CPI high income households;1996 November;106.0;-1.0;;7209
1012;3   Clothing and footwear;CPI high income households;1996 December;101.6;-4.2;;7209
1013;3   Clothing and footwear;CPI high income households;1996;100.8;;;7209
1014;3   Clothing and footwear;CPI high income households;1997 January;89.7;-11.7;0.0;7209
1015;3   Clothing and footwear;CPI high income households;1997 February;93.6;4.3;-0.7;7209
1016;3   Clothing and footwear;CPI high income households;1997 March;107.3;14.6;1.6;7209
1017;3   Clothing and footwear;CPI high income households;1997 April;107.8;0.5;0.9;7209
1018;3   Clothing and footwear;CPI high income households;1997 May;106.6;-1.1;0.6;7209
1019;3   Clothing and footwear;CPI high income households;1997 June;99.5;-6.7;-3.6;7209
1020;3   Clothing and footwear;CPI high income households;1997 July;89.6;-9.9;-0.4;7209
1021;3   Clothing and footwear;CPI high income households;1997 August;92.9;3.7;-0.1;7209
1022;3   Clothing and footwear;CPI high income households;1997 September;107.7;15.9;1.3;7209
1023;3   Clothing and footwear;CPI high income households;1997 October;108.1;0.4;0.9;7209
1024;3   Clothing and footwear;CPI high income households;1997 November;107.2;-0.8;1.1;7209
1025;3   Clothing and footwear;CPI high income households;1997 December;103.2;-3.7;1.6;7209
1026;3   Clothing and footwear;CPI high income households;1997;101.1;;0.3;7209
1027;3   Clothing and footwear;CPI high income households;1998 January;89.9;-12.9;0.2;7209
1028;3   Clothing and footwear;CPI high income households;1998 February;98.0;9.0;4.7;7209
1029;3   Clothing and footwear;CPI high income households;1998 March;111.2;13.5;3.6;7209
1030;3   Clothing and footwear;CPI high income households;1998 April;111.4;0.2;3.3;7209
1031;3   Clothing and footwear;CPI high income households;1998 May;109.6;-1.6;2.8;7209
1032;3   Clothing and footwear;CPI high income households;1998 June;103.8;-5.3;4.3;7209
1033;3   Clothing and footwear;CPI high income households;1998 July;93.9;-9.5;4.8;7209
1034;3   Clothing and footwear;CPI high income households;1998 August;95.7;1.9;3.0;7209
1035;3   Clothing and footwear;CPI high income households;1998 September;110.1;15.0;2.2;7209
1036;3   Clothing and footwear;CPI high income households;1998 October;110.6;0.5;2.3;7209
1037;3   Clothing and footwear;CPI high income households;1998 November;109.4;-1.1;2.1;7209
1038;3   Clothing and footwear;CPI high income households;1998 December;102.8;-6.0;-0.4;7209
1039;3   Clothing and footwear;CPI high income households;1998;103.9;;2.8;7209
1040;3   Clothing and footwear;CPI high income households;1999 January;91.8;-10.7;2.1;7209
1041;3   Clothing and footwear;CPI high income households;1999 February;98.5;7.3;0.5;7209
1042;3   Clothing and footwear;CPI high income households;1999 March;111.3;13.0;0.1;7209
1043;3   Clothing and footwear;CPI high income households;1999 April;112.3;0.9;0.8;7209
1044;3   Clothing and footwear;CPI high income households;1999 May;111.7;-0.5;1.9;7209
1045;3   Clothing and footwear;CPI high income households;1999 June;105.7;-5.4;1.8;7209
1046;3   Clothing and footwear;CPI high income households;1999 July;95.6;-9.6;1.8;7209
1047;3   Clothing and footwear;CPI high income households;1999 August;101.8;6.5;6.4;7209
1048;3   Clothing and footwear;CPI high income households;1999 September;110.4;8.4;0.3;7209
1049;3   Clothing and footwear;CPI high income households;1999 October;109.6;-0.7;-0.9;7209
1050;3   Clothing and footwear;CPI high income households;1999 November;109.4;-0.2;0.0;7209
1051;3   Clothing and footwear;CPI high income households;1999 December;102.5;-6.3;-0.3;7209
1052;3   Clothing and footwear;CPI high income households;1999;105.1;;1.2;7209
1053;3   Clothing and footwear;CPI high income households;2000 January;91.5;-10.7;-0.3;7209
1054;3   Clothing and footwear;CPI high income households;2000 February;97.7;6.8;-0.8;7209
1055;3   Clothing and footwear;CPI high income households;2000 March;110.2;12.8;-1.0;7209
1056;3   Clothing and footwear;CPI high income households;2000 April;111.5;1.2;-0.7;7209
1057;3   Clothing and footwear;CPI high income households;2000 May;111.1;-0.4;-0.5;7209
1058;3   Clothing and footwear;CPI high income households;2000 June;106.4;-4.2;0.7;7209
1059;3   Clothing and footwear;CPI high income households;2000 July;93.5;-12.1;-2.2;7209
1060;3   Clothing and footwear;CPI high income households;2000 August;97.4;4.2;-4.3;7209
1061;3   Clothing and footwear;CPI high income households;2000 September;109.6;12.5;-0.7;7209
1062;3   Clothing and footwear;CPI high income households;2000 October;110.2;0.5;0.5;7209
1063;3   Clothing and footwear;CPI high income households;2000 November;109.1;-1.0;-0.3;7209
1064;3   Clothing and footwear;CPI high income households;2000 December;102.0;-6.5;-0.5;7209
1065;3   Clothing and footwear;CPI high income households;2000;104.2;;-0.9;7209
1066;3   Clothing and footwear;CPI high income households;2001 January;91.7;-10.1;0.2;7209
1067;3   Clothing and footwear;CPI high income households;2001 February;98.4;7.3;0.7;7209
1068;3   Clothing and footwear;CPI high income households;2001 March;111.0;12.8;0.7;7209
1069;3   Clothing and footwear;CPI high income households;2001 April;112.2;1.1;0.6;7209
1070;3   Clothing and footwear;CPI high income households;2001 May;112.0;-0.2;0.8;7209
1071;3   Clothing and footwear;CPI high income households;2001 June;107.6;-3.9;1.1;7209
1072;3   Clothing and footwear;CPI high income households;2001 July;95.1;-11.6;1.7;7209
1073;3   Clothing and footwear;CPI high income households;2001 August;98.7;3.8;1.3;7209
1074;3   Clothing and footwear;CPI high income households;2001 September;112.0;13.5;2.2;7209
1075;3   Clothing and footwear;CPI high income households;2001 October;113.3;1.2;2.8;7209
1076;3   Clothing and footwear;CPI high income households;2001 November;112.8;-0.4;3.4;7209
1077;3   Clothing and footwear;CPI high income households;2001 December;107.4;-4.8;5.3;7209
1078;3   Clothing and footwear;CPI high income households;2001;106.0;;1.7;7209
1079;3   Clothing and footwear;CPI high income households;2002 January;98.4;-8.4;7.3;7209
1080;3   Clothing and footwear;CPI high income households;2002 February;103.6;5.3;5.3;7209
1081;3   Clothing and footwear;CPI high income households;2002 March;116.0;12.0;4.5;7209
1082;3   Clothing and footwear;CPI high income households;2002 April;117.0;0.9;4.3;7209
1083;3   Clothing and footwear;CPI high income households;2002 May;115.6;-1.2;3.2;7209
1084;3   Clothing and footwear;CPI high income households;2002 June;111.2;-3.8;3.3;7209
1085;3   Clothing and footwear;CPI high income households;2002 July;97.9;-12.0;2.9;7209
1086;3   Clothing and footwear;CPI high income households;2002 August;102.5;4.7;3.9;7209
1087;3   Clothing and footwear;CPI high income households;2002 September;114.8;12.0;2.5;7209
1088;3   Clothing and footwear;CPI high income households;2002 October;115.4;0.5;1.9;7209
1089;3   Clothing and footwear;CPI high income households;2002 November;113.9;-1.3;1.0;7209
1090;3   Clothing and footwear;CPI high income households;2002 December;106.5;-6.5;-0.8;7209
1091;3   Clothing and footwear;CPI high income households;2002;109.4;;3.2;7209
1092;4   Housing, water, electricity, gas;CPI all households;1996 January;102.8;;;26832
1093;4   Housing, water, electricity, gas;CPI all households;1996 February;102.8;0.0;;26832
1094;4   Housing, water, electricity, gas;CPI all households;1996 March;102.8;0.0;;26832
1095;4   Housing, water, electricity, gas;CPI all households;1996 April;102.8;0.0;;26832
1096;4   Housing, water, electricity, gas;CPI all households;1996 May;102.8;0.0;;26832
1097;4   Housing, water, electricity, gas;CPI all households;1996 June;102.8;0.0;;26832
1098;4   Housing, water, electricity, gas;CPI all households;1996 July;106.3;3.4;;26832
1099;4   Housing, water, electricity, gas;CPI all households;1996 August;106.3;0.0;;26832
1100;4   Housing, water, electricity, gas;CPI all households;1996 September;106.4;0.1;;26832
1101;4   Housing, water, electricity, gas;CPI all households;1996 October;106.4;0.0;;26832
1102;4   Housing, water, electricity, gas;CPI all households;1996 November;106.4;0.0;;26832
1103;4   Housing, water, electricity, gas;CPI all households;1996 December;106.4;0.0;;26832
1104;4   Housing, water, electricity, gas;CPI all households;1996;104.6;;;26832
1105;4   Housing, water, electricity, gas;CPI all households;1997 January;107.4;0.9;4.5;26832
1106;4   Housing, water, electricity, gas;CPI all households;1997 February;107.4;0.0;4.5;26832
1107;4   Housing, water, electricity, gas;CPI all households;1997 March;107.5;0.1;4.6;26832
1108;4   Housing, water, electricity, gas;CPI all households;1997 April;107.5;0.0;4.6;26832
1109;4   Housing, water, electricity, gas;CPI all households;1997 May;107.6;0.1;4.7;26832
1110;4   Housing, water, electricity, gas;CPI all households;1997 June;107.6;0.0;4.7;26832
1111;4   Housing, water, electricity, gas;CPI all households;1997 July;111.1;3.3;4.5;26832
1112;4   Housing, water, electricity, gas;CPI all households;1997 August;111.1;0.0;4.5;26832
1113;4   Housing, water, electricity, gas;CPI all households;1997 September;111.1;0.0;4.4;26832
1114;4   Housing, water, electricity, gas;CPI all households;1997 October;111.2;0.1;4.5;26832
1115;4   Housing, water, electricity, gas;CPI all households;1997 November;111.1;-0.1;4.4;26832
1116;4   Housing, water, electricity, gas;CPI all households;1997 December;111.1;0.0;4.4;26832
1117;4   Housing, water, electricity, gas;CPI all households;1997;109.3;;4.5;26832
1118;4   Housing, water, electricity, gas;CPI all households;1998 January;111.5;0.4;3.8;26832
1119;4   Housing, water, electricity, gas;CPI all households;1998 February;111.5;0.0;3.8;26832
1120;4   Housing, water, electricity, gas;CPI all households;1998 March;111.5;0.0;3.7;26832
1121;4   Housing, water, electricity, gas;CPI all households;1998 April;111.5;0.0;3.7;26832
1122;4   Housing, water, electricity, gas;CPI all households;1998 May;111.5;0.0;3.6;26832
1123;4   Housing, water, electricity, gas;CPI all households;1998 June;111.6;0.1;3.7;26832
1124;4   Housing, water, electricity, gas;CPI all households;1998 July;113.9;2.1;2.5;26832
1125;4   Housing, water, electricity, gas;CPI all households;1998 August;113.9;0.0;2.5;26832
1126;4   Housing, water, electricity, gas;CPI all households;1998 September;113.9;0.0;2.5;26832
1127;4   Housing, water, electricity, gas;CPI all households;1998 October;113.9;0.0;2.4;26832
1128;4   Housing, water, electricity, gas;CPI all households;1998 November;113.9;0.0;2.5;26832
1129;4   Housing, water, electricity, gas;CPI all households;1998 December;113.9;0.0;2.5;26832
1130;4   Housing, water, electricity, gas;CPI all households;1998;112.7;;3.1;26832
1131;4   Housing, water, electricity, gas;CPI all households;1999 January;114.9;0.9;3.0;26832
1132;4   Housing, water, electricity, gas;CPI all households;1999 February;115.0;0.1;3.1;26832
1133;4   Housing, water, electricity, gas;CPI all households;1999 March;115.0;0.0;3.1;26832
1134;4   Housing, water, electricity, gas;CPI all households;1999 April;114.9;-0.1;3.0;26832
1135;4   Housing, water, electricity, gas;CPI all households;1999 May;114.9;0.0;3.0;26832
1136;4   Housing, water, electricity, gas;CPI all households;1999 June;114.9;0.0;3.0;26832
1137;4   Housing, water, electricity, gas;CPI all households;1999 July;117.2;2.0;2.9;26832
1138;4   Housing, water, electricity, gas;CPI all households;1999 August;117.2;0.0;2.9;26832
1139;4   Housing, water, electricity, gas;CPI all households;1999 September;117.1;-0.1;2.8;26832
1140;4   Housing, water, electricity, gas;CPI all households;1999 October;117.2;0.1;2.9;26832
1141;4   Housing, water, electricity, gas;CPI all households;1999 November;117.3;0.1;3.0;26832
1142;4   Housing, water, electricity, gas;CPI all households;1999 December;117.2;-0.1;2.9;26832
1143;4   Housing, water, electricity, gas;CPI all households;1999;116.1;;3.0;26832
1144;4   Housing, water, electricity, gas;CPI all households;2000 January;119.4;1.9;3.9;26832
1145;4   Housing, water, electricity, gas;CPI all households;2000 February;119.4;0.0;3.8;26832
1146;4   Housing, water, electricity, gas;CPI all households;2000 March;119.6;0.2;4.0;26832
1147;4   Housing, water, electricity, gas;CPI all households;2000 April;119.7;0.1;4.2;26832
1148;4   Housing, water, electricity, gas;CPI all households;2000 May;119.7;0.0;4.2;26832
1149;4   Housing, water, electricity, gas;CPI all households;2000 June;119.7;0.0;4.2;26832
1150;4   Housing, water, electricity, gas;CPI all households;2000 July;122.7;2.5;4.7;26832
1151;4   Housing, water, electricity, gas;CPI all households;2000 August;122.7;0.0;4.7;26832
1152;4   Housing, water, electricity, gas;CPI all households;2000 September;122.7;0.0;4.8;26832
1153;4   Housing, water, electricity, gas;CPI all households;2000 October;122.9;0.2;4.9;26832
1154;4   Housing, water, electricity, gas;CPI all households;2000 November;122.9;0.0;4.8;26832
1155;4   Housing, water, electricity, gas;CPI all households;2000 December;122.9;0.0;4.9;26832
1156;4   Housing, water, electricity, gas;CPI all households;2000;121.2;;4.4;26832
1157;4   Housing, water, electricity, gas;CPI all households;2001 January;125.8;2.4;5.4;26832
1158;4   Housing, water, electricity, gas;CPI all households;2001 February;125.8;0.0;5.4;26832
1159;4   Housing, water, electricity, gas;CPI all households;2001 March;125.8;0.0;5.2;26832
1160;4   Housing, water, electricity, gas;CPI all households;2001 April;125.2;-0.5;4.6;26832
1161;4   Housing, water, electricity, gas;CPI all households;2001 May;125.2;0.0;4.6;26832
1162;4   Housing, water, electricity, gas;CPI all households;2001 June;125.3;0.1;4.7;26832
1163;4   Housing, water, electricity, gas;CPI all households;2001 July;128.8;2.8;5.0;26832
1164;4   Housing, water, electricity, gas;CPI all households;2001 August;128.9;0.1;5.1;26832
1165;4   Housing, water, electricity, gas;CPI all households;2001 September;128.9;0.0;5.1;26832
1166;4   Housing, water, electricity, gas;CPI all households;2001 October;128.8;-0.1;4.8;26832
1167;4   Housing, water, electricity, gas;CPI all households;2001 November;128.8;0.0;4.8;26832
1168;4   Housing, water, electricity, gas;CPI all households;2001 December;128.8;0.0;4.8;26832
1169;4   Housing, water, electricity, gas;CPI all households;2001;127.2;;5.0;26832
1170;4   Housing, water, electricity, gas;CPI all households;2002 January;129.7;0.7;3.1;26832
1171;4   Housing, water, electricity, gas;CPI all households;2002 February;129.7;0.0;3.1;26832
1172;4   Housing, water, electricity, gas;CPI all households;2002 March;129.8;0.1;3.2;26832
1173;4   Housing, water, electricity, gas;CPI all households;2002 April;129.8;0.0;3.7;26832
1174;4   Housing, water, electricity, gas;CPI all households;2002 May;129.8;0.0;3.7;26832
1175;4   Housing, water, electricity, gas;CPI all households;2002 June;129.8;0.0;3.6;26832
1176;4   Housing, water, electricity, gas;CPI all households;2002 July;133.0;2.5;3.3;26832
1177;4   Housing, water, electricity, gas;CPI all households;2002 August;133.0;0.0;3.2;26832
1178;4   Housing, water, electricity, gas;CPI all households;2002 September;133.1;0.1;3.3;26832
1179;4   Housing, water, electricity, gas;CPI all households;2002 October;133.2;0.1;3.4;26832
1180;4   Housing, water, electricity, gas;CPI all households;2002 November;133.3;0.1;3.5;26832
1181;4   Housing, water, electricity, gas;CPI all households;2002 December;133.3;0.0;3.5;26832
1182;4   Housing, water, electricity, gas;CPI all households;2002;131.5;;3.4;26832
1183;4   Housing, water, electricity, gas;CPI low income households;1996 January;102.8;;;26279
1184;4   Housing, water, electricity, gas;CPI low income households;1996 February;102.8;0.0;;26279
1185;4   Housing, water, electricity, gas;CPI low income households;1996 March;102.8;0.0;;26279
1186;4   Housing, water, electricity, gas;CPI low income households;1996 April;102.8;0.0;;26279
1187;4   Housing, water, electricity, gas;CPI low income households;1996 May;102.8;0.0;;26279
1188;4   Housing, water, electricity, gas;CPI low income households;1996 June;102.8;0.0;;26279
1189;4   Housing, water, electricity, gas;CPI low income households;1996 July;106.3;3.4;;26279
1190;4   Housing, water, electricity, gas;CPI low income households;1996 August;106.3;0.0;;26279
1191;4   Housing, water, electricity, gas;CPI low income households;1996 September;106.3;0.0;;26279
1192;4   Housing, water, electricity, gas;CPI low income households;1996 October;106.3;0.0;;26279
1193;4   Housing, water, electricity, gas;CPI low income households;1996 November;106.3;0.0;;26279
1194;4   Housing, water, electricity, gas;CPI low income households;1996 December;106.3;0.0;;26279
1195;4   Housing, water, electricity, gas;CPI low income households;1996;104.6;;;26279
1196;4   Housing, water, electricity, gas;CPI low income households;1997 January;107.4;1.0;4.5;26279
1197;4   Housing, water, electricity, gas;CPI low income households;1997 February;107.4;0.0;4.5;26279
1198;4   Housing, water, electricity, gas;CPI low income households;1997 March;107.5;0.1;4.6;26279
1199;4   Housing, water, electricity, gas;CPI low income households;1997 April;107.5;0.0;4.6;26279
1200;4   Housing, water, electricity, gas;CPI low income households;1997 May;107.6;0.1;4.7;26279
1201;4   Housing, water, electricity, gas;CPI low income households;1997 June;107.6;0.0;4.7;26279
1202;4   Housing, water, electricity, gas;CPI low income households;1997 July;111.0;3.2;4.4;26279
1203;4   Housing, water, electricity, gas;CPI low income households;1997 August;111.0;0.0;4.4;26279
1204;4   Housing, water, electricity, gas;CPI low income households;1997 September;111.1;0.1;4.5;26279
1205;4   Housing, water, electricity, gas;CPI low income households;1997 October;111.1;0.0;4.5;26279
1206;4   Housing, water, electricity, gas;CPI low income households;1997 November;111.1;0.0;4.5;26279
1207;4   Housing, water, electricity, gas;CPI low income households;1997 December;111.1;0.0;4.5;26279
1208;4   Housing, water, electricity, gas;CPI low income households;1997;109.3;;4.5;26279
1209;4   Housing, water, electricity, gas;CPI low income households;1998 January;111.4;0.3;3.7;26279
1210;4   Housing, water, electricity, gas;CPI low income households;1998 February;111.4;0.0;3.7;26279
1211;4   Housing, water, electricity, gas;CPI low income households;1998 March;111.5;0.1;3.7;26279
1212;4   Housing, water, electricity, gas;CPI low income households;1998 April;111.5;0.0;3.7;26279
1213;4   Housing, water, electricity, gas;CPI low income households;1998 May;111.5;0.0;3.6;26279
1214;4   Housing, water, electricity, gas;CPI low income households;1998 June;111.5;0.0;3.6;26279
1215;4   Housing, water, electricity, gas;CPI low income households;1998 July;113.8;2.1;2.5;26279
1216;4   Housing, water, electricity, gas;CPI low income households;1998 August;113.8;0.0;2.5;26279
1217;4   Housing, water, electricity, gas;CPI low income households;1998 September;113.8;0.0;2.4;26279
1218;4   Housing, water, electricity, gas;CPI low income households;1998 October;113.9;0.1;2.5;26279
1219;4   Housing, water, electricity, gas;CPI low income households;1998 November;113.9;0.0;2.5;26279
1220;4   Housing, water, electricity, gas;CPI low income households;1998 December;113.9;0.0;2.5;26279
1221;4   Housing, water, electricity, gas;CPI low income households;1998;112.6;;3.0;26279
1222;4   Housing, water, electricity, gas;CPI low income households;1999 January;114.9;0.9;3.1;26279
1223;4   Housing, water, electricity, gas;CPI low income households;1999 February;114.9;0.0;3.1;26279
1224;4   Housing, water, electricity, gas;CPI low income households;1999 March;114.9;0.0;3.0;26279
1225;4   Housing, water, electricity, gas;CPI low income households;1999 April;114.9;0.0;3.0;26279
1226;4   Housing, water, electricity, gas;CPI low income households;1999 May;114.9;0.0;3.0;26279
1227;4   Housing, water, electricity, gas;CPI low income households;1999 June;114.9;0.0;3.0;26279
1228;4   Housing, water, electricity, gas;CPI low income households;1999 July;117.1;1.9;2.9;26279
1229;4   Housing, water, electricity, gas;CPI low income households;1999 August;117.1;0.0;2.9;26279
1230;4   Housing, water, electricity, gas;CPI low income households;1999 September;117.1;0.0;2.9;26279
1231;4   Housing, water, electricity, gas;CPI low income households;1999 October;117.1;0.0;2.8;26279
1232;4   Housing, water, electricity, gas;CPI low income households;1999 November;117.2;0.1;2.9;26279
1233;4   Housing, water, electricity, gas;CPI low income households;1999 December;117.2;0.0;2.9;26279
