ID;CostsToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
387;Acquisition formally rented dwelling;2019 3rd quarter;140.3;1.6;7.4
388;Acquisition formally rented dwelling;2019 4th quarter;141.8;1.1;7.7
389;Acquisition formally rented dwelling;2019;139.1;8.2;8.2
390;Acquisition formally rented dwelling;2020 1st quarter;145.4;2.5;6.9
391;Acquisition formally rented dwelling;2020 2nd quarter;148.2;2.0;7.3
392;Acquisition formally rented dwelling;2020 3rd quarter;151.8;2.4;8.1
393;Acquisition formally rented dwelling;2020 4th quarter;152.8;0.7;7.7
394;Acquisition formally rented dwelling;2020;149.5;7.5;7.5
395;Acquisition formally rented dwelling;2021 1st quarter;159.4;4.3;9.6
396;Acquisition formally rented dwelling;2021 2nd quarter;169.2;6.2;14.2
397;Acquisition formally rented dwelling;2021 3rd quarter;180.2;6.5;18.8
398;Acquisition formally rented dwelling;2021 4th quarter;184.9;2.6;21.1
399;Acquisition formally rented dwelling;2021;173.4;16.0;16.0
400;Acquisition formally rented dwelling;2022 1st quarter;190.5;3.0;19.5
401;Acquisition formally rented dwelling;2022 2nd quarter;195.8;2.8;15.7
402;Acquisition formally rented dwelling;2022 3rd quarter;192.1;-1.9;6.6
403;Acquisition formally rented dwelling;2022 4th quarter;186.1;-3.2;0.6
404;Acquisition formally rented dwelling;2022;191.1;10.2;10.2
405;Acquisition formally rented dwelling;2023 1st quarter;180.4;-3.0;-5.3
406;Acquisition formally rented dwelling;2023 2nd quarter;181.6;0.7;-7.2
407;Acquisition formally rented dwelling;2023 3rd quarter;184.9;1.8;-3.8
408;Other acquisistion costs;2010 1st quarter;144.2;;
409;Other acquisistion costs;2010 2nd quarter;144.7;0.3;
410;Other acquisistion costs;2010 3rd quarter;144.7;0.0;
411;Other acquisistion costs;2010 4th quarter;142.3;-1.6;
412;Other acquisistion costs;2010;144.0;;
413;Other acquisistion costs;2011 1st quarter;144.0;1.2;-0.1
414;Other acquisistion costs;2011 2nd quarter;137.4;-4.6;-5.0
415;Other acquisistion costs;2011 3rd quarter;110.0;-19.9;-23.9
416;Other acquisistion costs;2011 4th quarter;109.3;-0.7;-23.2
417;Other acquisistion costs;2011;125.2;-13.0;-13.0
418;Other acquisistion costs;2012 1st quarter;107.4;-1.7;-25.4
419;Other acquisistion costs;2012 2nd quarter;105.8;-1.5;-23.0
420;Other acquisistion costs;2012 3rd quarter;104.7;-1.0;-4.8
421;Other acquisistion costs;2012 4th quarter;102.8;-1.8;-5.9
422;Other acquisistion costs;2012;105.2;-16.0;-16.0
423;Other acquisistion costs;2013 1st quarter;102.2;-0.6;-4.9
424;Other acquisistion costs;2013 2nd quarter;100.6;-1.5;-4.9
425;Other acquisistion costs;2013 3rd quarter;99.8;-0.8;-4.7
426;Other acquisistion costs;2013 4th quarter;99.8;0.0;-3.0
427;Other acquisistion costs;2013;100.6;-4.4;-4.4
428;Other acquisistion costs;2014 1st quarter;99.7;-0.1;-2.4
429;Other acquisistion costs;2014 2nd quarter;99.5;-0.2;-1.1
430;Other acquisistion costs;2014 3rd quarter;99.6;0.1;-0.2
431;Other acquisistion costs;2014 4th quarter;99.8;0.2;0.0
432;Other acquisistion costs;2014;99.6;-0.9;-0.9
433;Other acquisistion costs;2015 1st quarter;99.6;-0.2;-0.1
434;Other acquisistion costs;2015 2nd quarter;100.2;0.6;0.7
435;Other acquisistion costs;2015 3rd quarter;99.8;-0.4;0.3
436;Other acquisistion costs;2015 4th quarter;100.4;0.5;0.6
437;Other acquisistion costs;2015;100.0;0.4;0.4
438;Other acquisistion costs;2016 1st quarter;100.5;0.2;0.9
439;Other acquisistion costs;2016 2nd quarter;100.9;0.4;0.7
440;Other acquisistion costs;2016 3rd quarter;101.9;1.0;2.1
441;Other acquisistion costs;2016 4th quarter;102.3;0.4;2.0
442;Other acquisistion costs;2016;101.4;1.4;1.4
443;Other acquisistion costs;2017 1st quarter;101.8;-0.5;1.3
444;Other acquisistion costs;2017 2nd quarter;102.7;0.8;1.7
445;Other acquisistion costs;2017 3rd quarter;102.5;-0.1;0.6
446;Other acquisistion costs;2017 4th quarter;101.8;-0.7;-0.5
447;Other acquisistion costs;2017;102.2;0.8;0.8
448;Other acquisistion costs;2018 1st quarter;102.1;0.3;0.4
449;Other acquisistion costs;2018 2nd quarter;104.2;2.0;1.5
450;Other acquisistion costs;2018 3rd quarter;105.5;1.2;2.9
451;Other acquisistion costs;2018 4th quarter;105.9;0.4;4.0
452;Other acquisistion costs;2018;104.4;2.2;2.2
453;Other acquisistion costs;2019 1st quarter;107.1;1.2;4.9
454;Other acquisistion costs;2019 2nd quarter;107.6;0.5;3.3
455;Other acquisistion costs;2019 3rd quarter;107.6;0.0;2.0
456;Other acquisistion costs;2019 4th quarter;107.7;0.1;1.7
457;Other acquisistion costs;2019;107.5;2.9;2.9
458;Other acquisistion costs;2020 1st quarter;109.6;1.8;2.3
459;Other acquisistion costs;2020 2nd quarter;109.4;-0.2;1.7
460;Other acquisistion costs;2020 3rd quarter;110.0;0.5;2.2
461;Other acquisistion costs;2020 4th quarter;111.4;1.3;3.5
462;Other acquisistion costs;2020;110.1;2.4;2.4
463;Other acquisistion costs;2021 1st quarter;112.6;1.1;2.7
464;Other acquisistion costs;2021 2nd quarter;113.9;1.2;4.1
465;Other acquisistion costs;2021 3rd quarter;116.5;2.3;6.0
466;Other acquisistion costs;2021 4th quarter;121.2;4.0;8.8
467;Other acquisistion costs;2021;116.1;5.4;5.4
468;Other acquisistion costs;2022 1st quarter;123.3;1.8;9.6
469;Other acquisistion costs;2022 2nd quarter;127.8;3.6;12.2
470;Other acquisistion costs;2022 3rd quarter;129.4;1.3;11.0
471;Other acquisistion costs;2022 4th quarter;128.1;-1.0;5.7
472;Other acquisistion costs;2022;127.2;9.6;9.6
473;Other acquisistion costs;2023 1st quarter;129.2;0.9;4.8
474;Other acquisistion costs;2023 2nd quarter;129.4;0.1;1.2
475;Other acquisistion costs;2023 3rd quarter;129.5;0.1;0.1
476;Structural cost: total;2010 1st quarter;95.1;;
477;Structural cost: total;2010 2nd quarter;95.0;-0.1;
478;Structural cost: total;2010 3rd quarter;94.3;-0.8;
479;Structural cost: total;2010 4th quarter;91.5;-2.9;
480;Structural cost: total;2010;94.0;;
481;Structural cost: total;2011 1st quarter;93.0;1.6;-2.2
482;Structural cost: total;2011 2nd quarter;93.3;0.3;-1.8
483;Structural cost: total;2011 3rd quarter;94.7;1.5;0.5
484;Structural cost: total;2011 4th quarter;94.8;0.1;3.6
485;Structural cost: total;2011;94.0;0.0;0.0
486;Structural cost: total;2012 1st quarter;96.4;1.7;3.6
487;Structural cost: total;2012 2nd quarter;97.9;1.6;4.9
488;Structural cost: total;2012 3rd quarter;97.6;-0.3;3.0
489;Structural cost: total;2012 4th quarter;99.0;1.4;4.4
490;Structural cost: total;2012;97.7;4.0;4.0
491;Structural cost: total;2013 1st quarter;98.2;-0.8;1.8
492;Structural cost: total;2013 2nd quarter;94.3;-4.0;-3.7
493;Structural cost: total;2013 3rd quarter;95.2;1.0;-2.5
494;Structural cost: total;2013 4th quarter;94.6;-0.6;-4.4
495;Structural cost: total;2013;95.6;-2.2;-2.2
496;Structural cost: total;2014 1st quarter;96.5;2.0;-1.7
497;Structural cost: total;2014 2nd quarter;95.8;-0.7;1.6
498;Structural cost: total;2014 3rd quarter;96.8;1.0;1.6
499;Structural cost: total;2014 4th quarter;97.0;0.2;2.5
500;Structural cost: total;2014;96.5;1.0;1.0
501;Structural cost: total;2015 1st quarter;97.0;0.1;0.5
502;Structural cost: total;2015 2nd quarter;97.3;0.2;1.5
503;Structural cost: total;2015 3rd quarter;101.9;4.8;5.3
504;Structural cost: total;2015 4th quarter;103.8;1.9;7.1
505;Structural cost: total;2015;100.0;3.6;3.6
506;Structural cost: total;2016 1st quarter;103.9;0.1;7.1
507;Structural cost: total;2016 2nd quarter;103.9;-0.1;6.8
508;Structural cost: total;2016 3rd quarter;104.1;0.2;2.2
509;Structural cost: total;2016 4th quarter;105.3;1.1;1.4
510;Structural cost: total;2016;104.3;4.3;4.3
511;Structural cost: total;2017 1st quarter;106.2;0.9;2.2
512;Structural cost: total;2017 2nd quarter;106.9;0.6;2.9
513;Structural cost: total;2017 3rd quarter;106.7;-0.2;2.4
514;Structural cost: total;2017 4th quarter;106.4;-0.2;1.1
515;Structural cost: total;2017;106.5;2.1;2.1
516;Structural cost: total;2018 1st quarter;108.8;2.2;2.4
517;Structural cost: total;2018 2nd quarter;109.2;0.4;2.1
518;Structural cost: total;2018 3rd quarter;109.0;-0.2;2.1
519;Structural cost: total;2018 4th quarter;109.3;0.3;2.8
520;Structural cost: total;2018;109.1;2.4;2.4
521;Structural cost: total;2019 1st quarter;112.7;3.1;3.6
522;Structural cost: total;2019 2nd quarter;112.8;0.1;3.3
523;Structural cost: total;2019 3rd quarter;112.7;0.0;3.5
524;Structural cost: total;2019 4th quarter;112.5;-0.2;2.9
525;Structural cost: total;2019;112.7;3.3;3.3
526;Structural cost: total;2020 1st quarter;114.8;2.0;1.8
527;Structural cost: total;2020 2nd quarter;115.0;0.2;2.0
528;Structural cost: total;2020 3rd quarter;117.1;1.8;3.9
529;Structural cost: total;2020 4th quarter;117.5;0.3;4.4
530;Structural cost: total;2020;116.1;3.0;3.0
531;Structural cost: total;2021 1st quarter;119.7;1.9;4.3
532;Structural cost: total;2021 2nd quarter;119.9;0.2;4.2
533;Structural cost: total;2021 3rd quarter;120.3;0.3;2.7
534;Structural cost: total;2021 4th quarter;121.7;1.2;3.6
535;Structural cost: total;2021;120.4;3.7;3.7
536;Structural cost: total;2022 1st quarter;124.9;2.6;4.4
537;Structural cost: total;2022 2nd quarter;125.2;0.2;4.4
538;Structural cost: total;2022 3rd quarter;128.0;2.2;6.4
539;Structural cost: total;2022 4th quarter;129.8;1.4;6.6
540;Structural cost: total;2022;127.0;5.5;5.5
541;Structural cost: total;2023 1st quarter;137.6;6.0;10.1
542;Structural cost: total;2023 2nd quarter;139.2;1.2;11.2
543;Structural cost: total;2023 3rd quarter;140.4;0.8;9.7
544;Structural costs: major maintenance;2010 1st quarter;94.8;;
545;Structural costs: major maintenance;2010 2nd quarter;95.1;0.3;
546;Structural costs: major maintenance;2010 3rd quarter;94.4;-0.7;
547;Structural costs: major maintenance;2010 4th quarter;91.0;-3.6;
548;Structural costs: major maintenance;2010;93.8;;
549;Structural costs: major maintenance;2011 1st quarter;92.5;1.6;-2.5
550;Structural costs: major maintenance;2011 2nd quarter;92.9;0.4;-2.3
551;Structural costs: major maintenance;2011 3rd quarter;94.5;1.7;0.1
552;Structural costs: major maintenance;2011 4th quarter;94.6;0.2;4.0
553;Structural costs: major maintenance;2011;93.6;-0.2;-0.2
554;Structural costs: major maintenance;2012 1st quarter;96.2;1.7;4.0
555;Structural costs: major maintenance;2012 2nd quarter;97.9;1.8;5.5
556;Structural costs: major maintenance;2012 3rd quarter;97.8;-0.2;3.5
557;Structural costs: major maintenance;2012 4th quarter;99.5;1.8;5.1
558;Structural costs: major maintenance;2012;97.8;4.5;4.5
559;Structural costs: major maintenance;2013 1st quarter;98.3;-1.2;2.2
560;Structural costs: major maintenance;2013 2nd quarter;93.8;-4.6;-4.2
561;Structural costs: major maintenance;2013 3rd quarter;94.8;1.0;-3.1
562;Structural costs: major maintenance;2013 4th quarter;94.3;-0.5;-5.2
563;Structural costs: major maintenance;2013;95.3;-2.6;-2.6
564;Structural costs: major maintenance;2014 1st quarter;96.0;1.8;-2.4
565;Structural costs: major maintenance;2014 2nd quarter;95.4;-0.6;1.7
566;Structural costs: major maintenance;2014 3rd quarter;96.5;1.2;1.8
567;Structural costs: major maintenance;2014 4th quarter;96.7;0.2;2.5
568;Structural costs: major maintenance;2014;96.1;0.9;0.9
569;Structural costs: major maintenance;2015 1st quarter;96.5;-0.2;0.5
570;Structural costs: major maintenance;2015 2nd quarter;97.1;0.6;1.8
571;Structural costs: major maintenance;2015 3rd quarter;102.3;5.3;6.0
572;Structural costs: major maintenance;2015 4th quarter;104.1;1.8;7.7
573;Structural costs: major maintenance;2015;100.0;4.0;4.0
574;Structural costs: major maintenance;2016 1st quarter;103.6;-0.5;7.4
575;Structural costs: major maintenance;2016 2nd quarter;104.2;0.5;7.3
576;Structural costs: major maintenance;2016 3rd quarter;104.4;0.2;2.1
577;Structural costs: major maintenance;2016 4th quarter;105.4;0.9;1.3
578;Structural costs: major maintenance;2016;104.4;4.4;4.4
579;Structural costs: major maintenance;2017 1st quarter;106.1;0.6;2.4
580;Structural costs: major maintenance;2017 2nd quarter;106.9;0.8;2.6
581;Structural costs: major maintenance;2017 3rd quarter;106.7;-0.2;2.2
582;Structural costs: major maintenance;2017 4th quarter;106.2;-0.5;0.8
583;Structural costs: major maintenance;2017;106.5;2.0;2.0
584;Structural costs: major maintenance;2018 1st quarter;108.3;1.9;2.1
585;Structural costs: major maintenance;2018 2nd quarter;108.8;0.5;1.8
586;Structural costs: major maintenance;2018 3rd quarter;108.5;-0.3;1.7
587;Structural costs: major maintenance;2018 4th quarter;108.8;0.2;2.4
588;Structural costs: major maintenance;2018;108.6;2.0;2.0
589;Structural costs: major maintenance;2019 1st quarter;112.1;3.0;3.5
590;Structural costs: major maintenance;2019 2nd quarter;112.0;-0.1;2.9
591;Structural costs: major maintenance;2019 3rd quarter;112.1;0.1;3.2
592;Structural costs: major maintenance;2019 4th quarter;112.2;0.1;3.1
593;Structural costs: major maintenance;2019;112.1;3.2;3.2
594;Structural costs: major maintenance;2020 1st quarter;114.1;1.7;1.8
595;Structural costs: major maintenance;2020 2nd quarter;114.5;0.4;2.3
596;Structural costs: major maintenance;2020 3rd quarter;116.7;2.0;4.2
597;Structural costs: major maintenance;2020 4th quarter;117.1;0.3;4.4
598;Structural costs: major maintenance;2020;115.6;3.2;3.2
599;Structural costs: major maintenance;2021 1st quarter;118.8;1.4;4.1
600;Structural costs: major maintenance;2021 2nd quarter;119.4;0.5;4.3
601;Structural costs: major maintenance;2021 3rd quarter;119.8;0.3;2.6
602;Structural costs: major maintenance;2021 4th quarter;121.4;1.3;3.7
603;Structural costs: major maintenance;2021;119.9;3.7;3.7
604;Structural costs: major maintenance;2022 1st quarter;125.1;3.0;5.3
605;Structural costs: major maintenance;2022 2nd quarter;125.2;0.1;4.8
606;Structural costs: major maintenance;2022 3rd quarter;127.5;1.8;6.4
607;Structural costs: major maintenance;2022 4th quarter;129.3;1.5;6.5
608;Structural costs: major maintenance;2022;126.8;5.8;5.8
609;Structural costs: major maintenance;2023 1st quarter;137.8;6.5;10.1
610;Structural costs: major maintenance;2023 2nd quarter;139.4;1.2;11.4
611;Structural costs: major maintenance;2023 3rd quarter;140.5;0.8;10.2
612;Structural costs: insurance;2010 1st quarter;97.5;;
613;Structural costs: insurance;2010 2nd quarter;94.6;-3.0;
614;Structural costs: insurance;2010 3rd quarter;93.0;-1.7;
615;Structural costs: insurance;2010 4th quarter;96.1;3.4;
616;Structural costs: insurance;2010;95.3;;
617;Structural costs: insurance;2011 1st quarter;97.6;1.5;0.0
618;Structural costs: insurance;2011 2nd quarter;97.2;-0.3;2.8
619;Structural costs: insurance;2011 3rd quarter;96.9;-0.3;4.2
620;Structural costs: insurance;2011 4th quarter;96.5;-0.4;0.4
621;Structural costs: insurance;2011;97.1;1.8;1.8
622;Structural costs: insurance;2012 1st quarter;98.1;1.7;0.6
623;Structural costs: insurance;2012 2nd quarter;98.2;0.0;1.0
624;Structural costs: insurance;2012 3rd quarter;96.8;-1.4;-0.1
625;Structural costs: insurance;2012 4th quarter;95.7;-1.1;-0.8
626;Structural costs: insurance;2012;97.2;0.2;0.2
627;Structural costs: insurance;2013 1st quarter;97.2;1.6;-0.9
628;Structural costs: insurance;2013 2nd quarter;97.7;0.5;-0.5
629;Structural costs: insurance;2013 3rd quarter;98.3;0.6;1.5
630;Structural costs: insurance;2013 4th quarter;97.1;-1.2;1.4
631;Structural costs: insurance;2013;97.6;0.4;0.4
632;Structural costs: insurance;2014 1st quarter;100.4;3.4;3.2
633;Structural costs: insurance;2014 2nd quarter;98.8;-1.6;1.2
634;Structural costs: insurance;2014 3rd quarter;98.6;-0.2;0.4
635;Structural costs: insurance;2014 4th quarter;99.1;0.5;2.1
636;Structural costs: insurance;2014;99.2;1.7;1.7
637;Structural costs: insurance;2015 1st quarter;101.1;2.0;0.7
638;Structural costs: insurance;2015 2nd quarter;98.3;-2.8;-0.5
639;Structural costs: insurance;2015 3rd quarter;98.9;0.6;0.2
640;Structural costs: insurance;2015 4th quarter;101.7;2.9;2.6
641;Structural costs: insurance;2015;100.0;0.8;0.8
642;Structural costs: insurance;2016 1st quarter;105.8;4.0;4.6
643;Structural costs: insurance;2016 2nd quarter;101.6;-3.9;3.4
644;Structural costs: insurance;2016 3rd quarter;101.9;0.3;3.0
645;Structural costs: insurance;2016 4th quarter;104.2;2.3;2.5
646;Structural costs: insurance;2016;103.4;3.4;3.4
647;Structural costs: insurance;2017 1st quarter;106.9;2.6;1.1
648;Structural costs: insurance;2017 2nd quarter;106.4;-0.5;4.6
649;Structural costs: insurance;2017 3rd quarter;105.9;-0.4;4.0
650;Structural costs: insurance;2017 4th quarter;107.4;1.4;3.1
651;Structural costs: insurance;2017;106.7;3.2;3.2
652;Structural costs: insurance;2018 1st quarter;112.5;4.7;5.2
653;Structural costs: insurance;2018 2nd quarter;111.5;-0.9;4.9
654;Structural costs: insurance;2018 3rd quarter;111.9;0.3;5.6
655;Structural costs: insurance;2018 4th quarter;113.6;1.5;5.7
656;Structural costs: insurance;2018;112.4;5.4;5.4
657;Structural costs: insurance;2019 1st quarter;117.3;3.3;4.3
658;Structural costs: insurance;2019 2nd quarter;118.7;1.1;6.4
659;Structural costs: insurance;2019 3rd quarter;117.7;-0.8;5.2
660;Structural costs: insurance;2019 4th quarter;114.8;-2.5;1.0
661;Structural costs: insurance;2019;117.1;4.2;4.2
662;Structural costs: insurance;2020 1st quarter;120.6;5.1;2.8
663;Structural costs: insurance;2020 2nd quarter;119.0;-1.3;0.3
664;Structural costs: insurance;2020 3rd quarter;119.5;0.4;1.5
665;Structural costs: insurance;2020 4th quarter;120.1;0.5;4.6
666;Structural costs: insurance;2020;119.8;2.3;2.3
667;Structural costs: insurance;2021 1st quarter;127.0;5.8;5.3
668;Structural costs: insurance;2021 2nd quarter;123.3;-3.0;3.6
669;Structural costs: insurance;2021 3rd quarter;123.6;0.3;3.4
670;Structural costs: insurance;2021 4th quarter;123.5;-0.1;2.9
671;Structural costs: insurance;2021;124.3;3.8;3.8
672;Structural costs: insurance;2022 1st quarter;122.1;-1.1;-3.8
673;Structural costs: insurance;2022 2nd quarter;124.4;1.8;0.9
674;Structural costs: insurance;2022 3rd quarter;132.1;6.2;6.9
675;Structural costs: insurance;2022 4th quarter;133.1;0.8;7.8
676;Structural costs: insurance;2022;127.9;2.9;2.9
677;Structural costs: insurance;2023 1st quarter;134.9;1.3;10.5
678;Structural costs: insurance;2023 2nd quarter;136.9;1.4;10.0
679;Structural costs: insurance;2023 3rd quarter;138.5;1.2;4.8
