ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
3196;Total;Total;Job type: regular job;Q Health and social work activities;2020;1267.0;889.0;24.89;2405.0;2398.0;33480.0;28860.0;4620.0;40.0;25.7;25.7;1156.0;1647.0
3197;Total;Total;Job type: regular job;Q Health and social work activities;2021;1307.0;921.0;25.37;2475.0;2468.0;34410.0;29700.0;4710.0;40.0;25.8;25.7;1167.0;1656.0
3198;Total;Total;Job type: regular job;Q Health and social work activities;2022;1328.0;940.0;26.24;2570.0;2563.0;35720.0;30840.0;4880.0;40.0;25.9;25.9;1172.0;1657.0
3199;Total;Total;Job type: regular job;Q Health and social work activities;2023;1351.0;959.0;27.78;2716.0;2711.0;37640.0;32590.0;5050.0;40.0;26.0;25.9;1171.0;1649.0
3200;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2009;250.0;172.0;18.64;1828.0;1817.0;24680.0;21940.0;2740.0;210.0;25.7;25.6;1169.0;1696.0
3201;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2010 before change of method;252.0;173.0;19.04;1851.0;1840.0;25030.0;22210.0;2820.0;200.0;25.5;25.4;1159.0;1690.0
3202;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2010 after change of method;255.0;174.0;19.02;1842.0;1831.0;24920.0;22100.0;2820.0;200.0;25.5;25.3;1155.0;1692.0
3203;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2011;249.0;168.0;19.2;1858.0;1848.0;25180.0;22300.0;2880.0;190.0;25.2;25.1;1155.0;1707.0
3204;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2012;239.0;162.0;19.77;1906.0;1896.0;25830.0;22870.0;2960.0;190.0;25.4;25.2;1151.0;1694.0
3205;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2013;230.0;156.0;20.02;1930.0;1920.0;26250.0;23160.0;3090.0;200.0;25.5;25.3;1151.0;1698.0
3206;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2014;224.0;151.0;20.24;1962.0;1952.0;26710.0;23540.0;3170.0;190.0;25.5;25.4;1157.0;1709.0
3207;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2015;219.0;148.0;20.74;2004.0;1994.0;27220.0;24040.0;3180.0;180.0;25.5;25.4;1154.0;1708.0
3208;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2016;221.0;150.0;20.85;2034.0;2025.0;27660.0;24410.0;3250.0;180.0;25.6;25.5;1165.0;1719.0
3209;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2017;224.0;152.0;21.14;2088.0;2080.0;28430.0;25060.0;3370.0;190.0;25.9;25.8;1181.0;1737.0
3210;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2018;227.0;156.0;21.62;2154.0;2145.0;29310.0;25850.0;3460.0;210.0;26.2;26.1;1191.0;1730.0
3211;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2019;230.0;159.0;22.1;2226.0;2217.0;30440.0;26710.0;3730.0;220.0;26.4;26.3;1204.0;1741.0
3212;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2020;213.0;154.0;23.19;2447.0;2440.0;33310.0;29370.0;3940.0;250.0;27.8;27.7;1263.0;1737.0
3213;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2021;210.0;153.0;23.68;2529.0;2522.0;34620.0;30350.0;4270.0;260.0;27.9;27.8;1278.0;1749.0
3214;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2022;213.0;157.0;24.37;2629.0;2620.0;36100.0;31550.0;4540.0;270.0;28.2;28.1;1290.0;1750.0
3215;Total;Total;Job type: regular job;R-U Culture, recreation, other services;2023;215.0;160.0;25.78;2792.0;2784.0;38180.0;33510.0;4680.0;280.0;28.4;28.3;1296.0;1744.0
3216;Total;Total;Job type: regular job;R Culture, sports and recreation;2009;112.0;69.0;19.1;1700.0;1691.0;22820.0;20400.0;2410.0;170.0;23.3;23.2;1062.0;1719.0
3217;Total;Total;Job type: regular job;R Culture, sports and recreation;2010 before change of method;114.0;70.0;19.28;1707.0;1697.0;22880.0;20490.0;2390.0;160.0;23.2;23.1;1056.0;1713.0
3218;Total;Total;Job type: regular job;R Culture, sports and recreation;2010 after change of method;115.0;70.0;19.27;1701.0;1691.0;22820.0;20410.0;2410.0;160.0;23.1;23.0;1053.0;1714.0
3219;Total;Total;Job type: regular job;R Culture, sports and recreation;2011;114.0;70.0;19.32;1708.0;1699.0;23020.0;20500.0;2520.0;150.0;23.0;22.9;1055.0;1731.0
3220;Total;Total;Job type: regular job;R Culture, sports and recreation;2012;110.0;68.0;19.95;1759.0;1751.0;23730.0;21110.0;2610.0;160.0;23.2;23.1;1053.0;1715.0
3221;Total;Total;Job type: regular job;R Culture, sports and recreation;2013;107.0;66.0;20.06;1784.0;1775.0;24060.0;21410.0;2650.0;160.0;23.4;23.3;1062.0;1719.0
3222;Total;Total;Job type: regular job;R Culture, sports and recreation;2014;105.0;65.0;20.25;1813.0;1804.0;24560.0;21760.0;2800.0;160.0;23.5;23.4;1069.0;1729.0
3223;Total;Total;Job type: regular job;R Culture, sports and recreation;2015;104.0;65.0;20.62;1839.0;1832.0;24890.0;22070.0;2820.0;150.0;23.5;23.4;1066.0;1723.0
3224;Total;Total;Job type: regular job;R Culture, sports and recreation;2016;106.0;66.0;20.59;1861.0;1853.0;25220.0;22330.0;2890.0;150.0;23.7;23.6;1080.0;1735.0
3225;Total;Total;Job type: regular job;R Culture, sports and recreation;2017;107.0;67.0;20.79;1911.0;1904.0;25950.0;22930.0;3030.0;160.0;24.0;24.0;1099.0;1747.0
3226;Total;Total;Job type: regular job;R Culture, sports and recreation;2018;109.0;70.0;21.29;1983.0;1976.0;26930.0;23800.0;3130.0;180.0;24.5;24.4;1114.0;1738.0
3227;Total;Total;Job type: regular job;R Culture, sports and recreation;2019;111.0;72.0;21.84;2063.0;2056.0;28350.0;24750.0;3590.0;190.0;24.7;24.6;1130.0;1749.0
3228;Total;Total;Job type: regular job;R Culture, sports and recreation;2020;97.0;68.0;23.06;2338.0;2334.0;31720.0;28060.0;3660.0;230.0;26.6;26.6;1214.0;1743.0
3229;Total;Total;Job type: regular job;R Culture, sports and recreation;2021;96.0;67.0;23.5;2404.0;2399.0;32960.0;28840.0;4120.0;240.0;26.7;26.6;1225.0;1756.0
3230;Total;Total;Job type: regular job;R Culture, sports and recreation;2022;102.0;73.0;24.07;2503.0;2496.0;34420.0;30030.0;4390.0;240.0;27.1;27.0;1244.0;1755.0
3231;Total;Total;Job type: regular job;R Culture, sports and recreation;2023;105.0;75.0;25.23;2654.0;2648.0;36450.0;31850.0;4590.0;260.0;27.6;27.5;1259.0;1748.0
3232;Total;Total;Job type: regular job;S Other service activities;2009;136.0;102.0;18.29;1928.0;1915.0;26140.0;23130.0;3010.0;230.0;27.7;27.5;1256.0;1680.0
3233;Total;Total;Job type: regular job;S Other service activities;2010 before change of method;138.0;103.0;18.88;1968.0;1957.0;26790.0;23620.0;3170.0;230.0;27.5;27.3;1244.0;1675.0
3234;Total;Total;Job type: regular job;S Other service activities;2010 after change of method;141.0;104.0;18.84;1957.0;1945.0;26640.0;23480.0;3160.0;230.0;27.4;27.2;1239.0;1677.0
3235;Total;Total;Job type: regular job;S Other service activities;2011;134.0;99.0;19.11;1986.0;1975.0;27020.0;23830.0;3180.0;220.0;27.2;27.0;1240.0;1690.0
3236;Total;Total;Job type: regular job;S Other service activities;2012;129.0;95.0;19.64;2032.0;2021.0;27640.0;24380.0;3260.0;220.0;27.3;27.1;1235.0;1679.0
3237;Total;Total;Job type: regular job;S Other service activities;2013;123.0;90.0;20.0;2057.0;2045.0;28140.0;24680.0;3470.0;230.0;27.2;27.1;1227.0;1683.0
3238;Total;Total;Job type: regular job;S Other service activities;2014;119.0;86.0;20.23;2093.0;2082.0;28610.0;25120.0;3490.0;220.0;27.2;27.1;1235.0;1695.0
3239;Total;Total;Job type: regular job;S Other service activities;2015;115.0;84.0;20.84;2152.0;2142.0;29330.0;25830.0;3500.0;210.0;27.3;27.2;1233.0;1697.0
3240;Total;Total;Job type: regular job;S Other service activities;2016;116.0;84.0;21.07;2192.0;2181.0;29890.0;26300.0;3580.0;210.0;27.4;27.3;1243.0;1706.0
3241;Total;Total;Job type: regular job;S Other service activities;2017;117.0;85.0;21.41;2251.0;2241.0;30710.0;27020.0;3690.0;220.0;27.6;27.5;1256.0;1729.0
3242;Total;Total;Job type: regular job;S Other service activities;2018;118.0;87.0;21.89;2312.0;2301.0;31500.0;27740.0;3760.0;240.0;27.9;27.7;1262.0;1723.0
3243;Total;Total;Job type: regular job;S Other service activities;2019;119.0;87.0;22.32;2378.0;2368.0;32390.0;28540.0;3860.0;250.0;28.0;27.9;1273.0;1735.0
3244;Total;Total;Job type: regular job;S Other service activities;2020;115.0;87.0;23.29;2539.0;2530.0;34650.0;30470.0;4180.0;270.0;28.7;28.6;1303.0;1732.0
3245;Total;Total;Job type: regular job;S Other service activities;2021;113.0;86.0;23.82;2636.0;2626.0;36030.0;31630.0;4400.0;280.0;28.9;28.8;1323.0;1743.0
3246;Total;Total;Job type: regular job;S Other service activities;2022;110.0;84.0;24.63;2747.0;2736.0;37650.0;32960.0;4690.0;290.0;29.2;29.1;1333.0;1746.0
3247;Total;Total;Job type: regular job;S Other service activities;2023;111.0;85.0;26.28;2923.0;2913.0;39830.0;35080.0;4750.0;310.0;29.3;29.1;1330.0;1739.0
3248;Total;Total;Type of contract: specified time;A-U All economic activities;2009;2193.0;1411.0;14.53;1383.0;1358.0;18530.0;16590.0;1930.0;160.0;24.9;24.5;1121.0;1743.0
3249;Total;Total;Type of contract: specified time;A-U All economic activities;2010 before change of method;2178.0;1401.0;14.75;1393.0;1366.0;18650.0;16710.0;1940.0;140.0;24.8;24.4;1112.0;1728.0
3250;Total;Total;Type of contract: specified time;A-U All economic activities;2010 after change of method;2190.0;1407.0;14.76;1392.0;1365.0;18660.0;16700.0;1960.0;140.0;24.7;24.3;1110.0;1728.0
3251;Total;Total;Type of contract: specified time;A-U All economic activities;2011;2262.0;1434.0;14.83;1396.0;1368.0;18710.0;16750.0;1960.0;130.0;24.5;24.1;1107.0;1746.0
3252;Total;Total;Type of contract: specified time;A-U All economic activities;2012;2302.0;1453.0;15.19;1413.0;1386.0;18910.0;16950.0;1960.0;140.0;24.4;24.0;1095.0;1736.0
3253;Total;Total;Type of contract: specified time;A-U All economic activities;2013;2314.0;1459.0;15.38;1432.0;1405.0;19150.0;17180.0;1970.0;140.0;24.5;24.1;1096.0;1738.0
3254;Total;Total;Type of contract: specified time;A-U All economic activities;2014;2381.0;1504.0;15.36;1442.0;1415.0;19260.0;17310.0;1960.0;130.0;24.6;24.2;1105.0;1750.0
3255;Total;Total;Type of contract: specified time;A-U All economic activities;2015;2551.0;1609.0;15.58;1459.0;1431.0;19460.0;17510.0;1950.0;110.0;24.7;24.2;1102.0;1747.0
3256;Total;Total;Type of contract: specified time;A-U All economic activities;2016;2669.0;1704.0;15.59;1485.0;1457.0;19870.0;17820.0;2050.0;120.0;25.0;24.5;1121.0;1756.0
3257;Total;Total;Type of contract: specified time;A-U All economic activities;2017;2814.0;1800.0;15.61;1501.0;1471.0;20030.0;18010.0;2020.0;120.0;25.1;24.7;1131.0;1767.0
3258;Total;Total;Type of contract: specified time;A-U All economic activities;2018;2977.0;1918.0;16.07;1547.0;1517.0;20640.0;18560.0;2070.0;130.0;25.3;24.9;1132.0;1757.0
3259;Total;Total;Type of contract: specified time;A-U All economic activities;2019;3031.0;1950.0;16.46;1587.0;1559.0;21230.0;19050.0;2180.0;130.0;25.3;24.9;1137.0;1767.0
3260;Total;Total;Type of contract: specified time;A-U All economic activities;2020;2548.0;1602.0;16.45;1541.0;1518.0;20560.0;18500.0;2060.0;100.0;24.6;24.3;1108.0;1761.0
3261;Total;Total;Type of contract: specified time;A-U All economic activities;2021;2700.0;1708.0;16.68;1579.0;1554.0;21020.0;18940.0;2080.0;90.0;24.7;24.4;1118.0;1767.0
3262;Total;Total;Type of contract: specified time;A-U All economic activities;2022;2934.0;1843.0;17.38;1632.0;1609.0;21810.0;19590.0;2230.0;90.0;24.5;24.2;1111.0;1769.0
3263;Total;Total;Type of contract: specified time;A-U All economic activities;2023;2940.0;1842.0;18.7;1741.0;1718.0;23250.0;20900.0;2350.0;100.0;24.4;24.1;1102.0;1760.0
3264;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2009;220.0;181.0;15.36;1927.0;1882.0;25550.0;23130.0;2420.0;310.0;32.6;32.1;1471.0;1788.0
3265;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2010 before change of method;214.0;176.0;15.55;1939.0;1892.0;25680.0;23270.0;2410.0;300.0;32.5;31.9;1460.0;1775.0
3266;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2010 after change of method;216.0;177.0;15.55;1936.0;1889.0;25680.0;23230.0;2450.0;300.0;32.5;31.8;1458.0;1775.0
3267;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2011;224.0;184.0;15.71;1979.0;1929.0;26170.0;23750.0;2420.0;270.0;32.6;31.9;1474.0;1793.0
3268;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2012;230.0;188.0;16.1;2011.0;1961.0;26570.0;24140.0;2440.0;310.0;32.6;31.9;1462.0;1783.0
3269;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2013;230.0;188.0;16.12;2019.0;1966.0;26680.0;24230.0;2460.0;320.0;32.8;32.1;1463.0;1789.0
3270;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2014;231.0;188.0;16.02;2009.0;1956.0;26510.0;24110.0;2400.0;280.0;32.7;32.0;1465.0;1799.0
3271;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2015;236.0;193.0;16.34;2040.0;1987.0;26830.0;24480.0;2350.0;230.0;32.7;32.0;1459.0;1787.0
3272;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2016;238.0;194.0;16.64;2088.0;2033.0;27560.0;25060.0;2500.0;240.0;32.7;32.0;1466.0;1795.0
3273;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2017;245.0;201.0;16.75;2114.0;2057.0;27750.0;25370.0;2380.0;260.0;32.9;32.1;1474.0;1800.0
3274;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2018;261.0;214.0;17.2;2176.0;2119.0;28580.0;26110.0;2470.0;270.0;33.1;32.4;1478.0;1796.0
3275;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2019;266.0;220.0;17.56;2236.0;2179.0;29340.0;26830.0;2500.0;280.0;33.2;32.5;1489.0;1805.0
3276;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2020;205.0;164.0;16.87;2078.0;2037.0;27140.0;24940.0;2200.0;230.0;32.2;31.7;1449.0;1807.0
3277;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2021;220.0;176.0;16.88;2085.0;2041.0;27230.0;25020.0;2220.0;220.0;32.0;31.5;1451.0;1817.0
3278;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2022;237.0;190.0;17.7;2182.0;2142.0;28600.0;26190.0;2410.0;220.0;32.0;31.5;1452.0;1816.0
3279;Total;Total;Type of contract: specified time;A-F Agriculture and industry;2023;244.0;195.0;19.0;2332.0;2291.0;30580.0;27990.0;2590.0;230.0;32.0;31.5;1447.0;1808.0
3280;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2009;32.0;20.0;11.28;1114.0;1084.0;14420.0;13360.0;1050.0;50.0;25.6;25.1;1153.0;1818.0
3281;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2010 before change of method;32.0;21.0;11.45;1134.0;1103.0;14730.0;13610.0;1120.0;40.0;25.8;25.2;1156.0;1788.0
3282;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2010 after change of method;32.0;21.0;11.45;1132.0;1102.0;14710.0;13590.0;1120.0;50.0;25.7;25.2;1155.0;1789.0
3283;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2011;33.0;22.0;11.52;1190.0;1150.0;15470.0;14280.0;1190.0;50.0;26.6;25.9;1198.0;1816.0
3284;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2012;34.0;22.0;11.82;1213.0;1170.0;15660.0;14560.0;1100.0;100.0;26.6;25.9;1187.0;1813.0
3285;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2013;34.0;23.0;12.02;1252.0;1205.0;16030.0;15030.0;1010.0;100.0;27.2;26.3;1203.0;1811.0
3286;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2014;36.0;24.0;12.04;1271.0;1220.0;16240.0;15250.0;990.0;100.0;27.4;26.5;1217.0;1827.0
3287;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2015;34.0;23.0;11.82;1231.0;1180.0;15650.0;14770.0;880.0;40.0;27.1;26.2;1198.0;1810.0
3288;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2016;34.0;22.0;11.88;1233.0;1179.0;15670.0;14790.0;880.0;30.0;26.9;25.9;1191.0;1819.0
3289;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2017;35.0;23.0;11.87;1266.0;1213.0;16020.0;15190.0;830.0;40.0;27.6;26.7;1227.0;1842.0
3290;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2018;37.0;25.0;12.38;1349.0;1293.0;17050.0;16180.0;870.0;40.0;28.2;27.4;1254.0;1851.0
3291;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2019;38.0;26.0;12.75;1406.0;1351.0;17820.0;16870.0;950.0;40.0;28.5;27.6;1272.0;1861.0
3292;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2020;35.0;23.0;12.47;1357.0;1313.0;17020.0;16280.0;740.0;30.0;28.2;27.5;1264.0;1882.0
3293;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2021;37.0;24.0;12.57;1368.0;1322.0;17240.0;16410.0;830.0;30.0;28.0;27.2;1262.0;1894.0
3294;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2022;37.0;25.0;13.12;1457.0;1414.0;18400.0;17480.0;920.0;30.0;28.6;27.9;1293.0;1903.0
3295;Total;Total;Type of contract: specified time;A Agriculture, forestry and fishing;2023;36.0;25.0;14.33;1611.0;1567.0;20300.0;19330.0;980.0;30.0;29.0;28.4;1312.0;1904.0
3296;Total;Total;Type of contract: specified time;B-F Industry and energy;2009;189.0;161.0;15.88;2065.0;2017.0;27430.0;24780.0;2650.0;350.0;33.8;33.3;1524.0;1784.0
3297;Total;Total;Type of contract: specified time;B-F Industry and energy;2010 before change of method;182.0;156.0;16.1;2081.0;2031.0;27610.0;24970.0;2640.0;350.0;33.7;33.1;1514.0;1773.0
3298;Total;Total;Type of contract: specified time;B-F Industry and energy;2010 after change of method;183.0;156.0;16.1;2077.0;2028.0;27610.0;24930.0;2680.0;350.0;33.6;33.0;1511.0;1774.0
3299;Total;Total;Type of contract: specified time;B-F Industry and energy;2011;191.0;163.0;16.28;2116.0;2064.0;28020.0;25390.0;2630.0;310.0;33.6;33.0;1522.0;1790.0
3300;Total;Total;Type of contract: specified time;B-F Industry and energy;2012;196.0;166.0;16.67;2148.0;2096.0;28440.0;25780.0;2670.0;340.0;33.6;33.0;1509.0;1779.0
3301;Total;Total;Type of contract: specified time;B-F Industry and energy;2013;195.0;165.0;16.7;2154.0;2101.0;28570.0;25850.0;2720.0;360.0;33.8;33.1;1510.0;1786.0
3302;Total;Total;Type of contract: specified time;B-F Industry and energy;2014;195.0;164.0;16.61;2145.0;2091.0;28400.0;25740.0;2660.0;310.0;33.6;33.0;1511.0;1795.0
3303;Total;Total;Type of contract: specified time;B-F Industry and energy;2015;202.0;170.0;16.95;2177.0;2123.0;28720.0;26120.0;2590.0;260.0;33.6;33.0;1503.0;1784.0
3304;Total;Total;Type of contract: specified time;B-F Industry and energy;2016;204.0;172.0;17.27;2232.0;2177.0;29560.0;26780.0;2780.0;270.0;33.7;33.0;1512.0;1792.0
3305;Total;Total;Type of contract: specified time;B-F Industry and energy;2017;210.0;177.0;17.41;2255.0;2198.0;29700.0;27070.0;2630.0;300.0;33.7;33.1;1515.0;1795.0
3306;Total;Total;Type of contract: specified time;B-F Industry and energy;2018;224.0;190.0;17.86;2312.0;2254.0;30470.0;27740.0;2740.0;310.0;33.8;33.2;1515.0;1789.0
3307;Total;Total;Type of contract: specified time;B-F Industry and energy;2019;229.0;194.0;18.22;2373.0;2315.0;31240.0;28480.0;2760.0;320.0;33.9;33.3;1525.0;1798.0
3308;Total;Total;Type of contract: specified time;B-F Industry and energy;2020;170.0;141.0;17.63;2226.0;2185.0;29200.0;26710.0;2490.0;270.0;33.0;32.5;1487.0;1794.0
3309;Total;Total;Type of contract: specified time;B-F Industry and energy;2021;184.0;151.0;17.61;2227.0;2184.0;29220.0;26730.0;2490.0;250.0;32.8;32.3;1489.0;1805.0
3310;Total;Total;Type of contract: specified time;B-F Industry and energy;2022;200.0;164.0;18.44;2317.0;2278.0;30490.0;27810.0;2680.0;250.0;32.6;32.2;1482.0;1803.0
3311;Total;Total;Type of contract: specified time;B-F Industry and energy;2023;208.0;170.0;19.74;2459.0;2418.0;32380.0;29510.0;2870.0;270.0;32.5;32.1;1470.0;1794.0
3312;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2009;130.0;110.0;15.58;1985.0;1939.0;26740.0;23820.0;2920.0;250.0;33.1;32.6;1494.0;1770.0
3313;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2010 before change of method;126.0;106.0;15.93;2018.0;1970.0;27140.0;24220.0;2930.0;260.0;33.0;32.4;1484.0;1760.0
3314;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2010 after change of method;127.0;107.0;15.93;2015.0;1967.0;27160.0;24190.0;2980.0;270.0;33.0;32.4;1482.0;1761.0
3315;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2011;133.0;112.0;16.17;2057.0;2006.0;27630.0;24690.0;2940.0;240.0;32.9;32.2;1489.0;1777.0
3316;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2012;136.0;114.0;16.53;2087.0;2036.0;27940.0;25040.0;2890.0;250.0;32.9;32.3;1478.0;1768.0
3317;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2013;139.0;116.0;16.56;2090.0;2039.0;28020.0;25080.0;2940.0;240.0;33.0;32.4;1478.0;1772.0
3318;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2014;142.0;118.0;16.5;2087.0;2035.0;27930.0;25040.0;2890.0;230.0;33.0;32.3;1481.0;1782.0
3319;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2015;147.0;122.0;16.88;2127.0;2074.0;28360.0;25530.0;2830.0;200.0;33.0;32.3;1474.0;1773.0
3320;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2016;147.0;122.0;17.15;2177.0;2122.0;29180.0;26120.0;3060.0;210.0;33.1;32.4;1485.0;1783.0
3321;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2017;147.0;123.0;17.29;2197.0;2138.0;29290.0;26370.0;2920.0;230.0;33.1;32.4;1484.0;1783.0
3322;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2018;156.0;130.0;17.76;2250.0;2191.0;30060.0;27000.0;3060.0;240.0;33.2;32.5;1481.0;1776.0
3323;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2019;159.0;133.0;18.25;2328.0;2268.0;31000.0;27940.0;3060.0;250.0;33.3;32.6;1492.0;1783.0
3324;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2020;117.0;96.0;17.78;2198.0;2158.0;29040.0;26380.0;2660.0;200.0;32.4;31.9;1456.0;1783.0
3325;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2021;126.0;102.0;17.78;2201.0;2158.0;29170.0;26410.0;2750.0;180.0;32.2;31.7;1456.0;1794.0
3326;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2022;139.0;113.0;18.68;2302.0;2262.0;30580.0;27620.0;2960.0;180.0;32.1;31.6;1453.0;1792.0
3327;Total;Total;Type of contract: specified time;B-E Industry (no construction), energy;2023;146.0;118.0;20.11;2459.0;2419.0;32740.0;29500.0;3240.0;180.0;32.0;31.6;1443.0;1783.0
3328;Total;Total;Type of contract: specified time;B Mining and quarrying ;2009;1.0;1.0;24.51;3534.0;3450.0;49590.0;42400.0;7190.0;380.0;37.7;36.8;1689.0;1836.0
3329;Total;Total;Type of contract: specified time;B Mining and quarrying ;2010 before change of method;1.0;1.0;24.49;3429.0;3358.0;47400.0;41150.0;6250.0;360.0;36.7;35.9;1646.0;1821.0
3330;Total;Total;Type of contract: specified time;B Mining and quarrying ;2010 after change of method;1.0;1.0;24.6;3445.0;3375.0;49460.0;41340.0;8120.0;360.0;36.7;35.9;1646.0;1823.0
3331;Total;Total;Type of contract: specified time;B Mining and quarrying ;2011;1.0;1.0;24.3;3425.0;3346.0;47460.0;41090.0;6360.0;270.0;37.1;36.2;1653.0;1818.0
3332;Total;Total;Type of contract: specified time;B Mining and quarrying ;2012;1.0;1.0;23.62;3437.0;3358.0;47780.0;41250.0;6530.0;250.0;38.0;37.1;1706.0;1830.0
3333;Total;Total;Type of contract: specified time;B Mining and quarrying ;2013;1.0;1.0;24.55;3555.0;3480.0;50130.0;42660.0;7460.0;200.0;37.9;37.1;1701.0;1836.0
3334;Total;Total;Type of contract: specified time;B Mining and quarrying ;2014;1.0;1.0;25.04;3668.0;3589.0;52560.0;44010.0;8540.0;260.0;38.2;37.4;1720.0;1840.0
3335;Total;Total;Type of contract: specified time;B Mining and quarrying ;2015;1.0;1.0;26.91;3878.0;3794.0;54490.0;46540.0;7950.0;230.0;37.9;37.1;1692.0;1823.0
3336;Total;Total;Type of contract: specified time;B Mining and quarrying ;2016;1.0;1.0;24.96;3806.0;3708.0;55890.0;45680.0;10210.0;300.0;39.7;38.7;1782.0;1938.0
3337;Total;Total;Type of contract: specified time;B Mining and quarrying ;2017;1.0;1.0;28.88;4433.0;4346.0;63840.0;53200.0;10640.0;390.0;39.9;39.1;1806.0;1969.0
3338;Total;Total;Type of contract: specified time;B Mining and quarrying ;2018;1.0;1.0;27.83;3986.0;3891.0;55390.0;47840.0;7550.0;410.0;37.6;36.6;1678.0;1896.0
3339;Total;Total;Type of contract: specified time;B Mining and quarrying ;2019;1.0;1.0;27.7;3925.0;3815.0;54210.0;47100.0;7120.0;450.0;37.1;36.0;1653.0;1860.0
3340;Total;Total;Type of contract: specified time;B Mining and quarrying ;2020;1.0;1.0;25.51;3545.0;3467.0;49130.0;42540.0;6600.0;280.0;36.5;35.8;1631.0;1841.0
3341;Total;Total;Type of contract: specified time;B Mining and quarrying ;2021;1.0;1.0;25.86;3674.0;3582.0;51310.0;44090.0;7220.0;190.0;36.9;36.1;1662.0;1869.0
3342;Total;Total;Type of contract: specified time;B Mining and quarrying ;2022;1.0;1.0;27.94;3940.0;3878.0;54610.0;47280.0;7330.0;210.0;36.7;36.2;1666.0;1862.0
3343;Total;Total;Type of contract: specified time;B Mining and quarrying ;2023;1.0;1.0;29.06;4078.0;4003.0;57090.0;48940.0;8150.0;150.0;36.7;36.2;1653.0;1845.0
