ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
330;24-30, 33 Metalectro-industry;2006 October - 2007 September;94.1;;91.2;;
331;24-30, 33 Metalectro-industry;2007 January - 2007 December;94.8;3.2;92.0;3.6;0.4
332;24-30, 33 Metalectro-industry;2007 April - 2008 March;96.5;4.0;93.7;4.4;0.3
333;24-30, 33 Metalectro-industry;2007 July - 2008 June;98.1;4.6;95.3;4.9;0.3
334;24-30, 33 Metalectro-industry;2007 October - 2008 September;98.9;5.1;95.9;5.2;0.1
335;24-30, 33 Metalectro-industry;2008 January - 2008 December;99.6;5.0;96.5;5.0;0.0
336;24-30, 33 Metalectro-industry;2008 April - 2009 March;100.2;3.9;97.5;4.1;0.2
337;24-30, 33 Metalectro-industry;2008 July - 2009 June;100.6;2.5;98.2;3.1;0.5
338;24-30, 33 Metalectro-industry;2008 October - 2009 September;101.0;2.2;99.0;3.2;1.0
339;24-30, 33 Metalectro-industry;2009 January - 2009 December;101.4;1.8;99.7;3.3;1.4
340;24-30, 33 Metalectro-industry;2009 April - 2010 March;101.2;1.0;100.1;2.7;1.7
341;24-30, 33 Metalectro-industry;2009 July - 2010 June;101.2;0.6;100.5;2.4;1.8
342;24-30, 33 Metalectro-industry;2009 October - 2010 September;100.7;-0.3;100.4;1.4;1.7
343;24-30, 33 Metalectro-industry;2010 January - 2010 December;100.0;-1.4;100.0;0.3;1.7
344;24-30, 33 Metalectro-industry;2010 April - 2011 March;100.4;-0.8;100.6;0.4;1.3
345;24-30, 33 Metalectro-industry;2010 July - 2011 June;100.8;-0.4;101.1;0.5;0.9
346;24-30, 33 Metalectro-industry;2010 October - 2011 September;101.3;0.6;101.6;1.2;0.6
347;24-30, 33 Metalectro-industry;2011 January - 2011 December;102.8;2.8;103.2;3.2;0.4
348;24-30, 33 Metalectro-industry;2011 April - 2012 March;102.9;2.4;103.4;2.9;0.4
349;24-30, 33 Metalectro-industry;2011 July - 2012 June;103.5;2.7;104.3;3.2;0.5
350;24-30, 33 Metalectro-industry;2011 October - 2012 September;104.9;3.5;106.0;4.3;0.7
351;24-30, 33 Metalectro-industry;2012 January - 2012 December;106.0;3.1;107.4;4.0;0.9
352;24-30, 33 Metalectro-industry;2012 April - 2013 March;107.3;4.3;109.0;5.4;1.0
353;24-30, 33 Metalectro-industry;2012 July - 2013 June;107.5;3.8;109.4;4.9;1.0
354;24-30, 33 Metalectro-industry;2012 October - 2013 September;107.1;2.1;109.3;3.1;1.0
355;24-30, 33 Metalectro-industry;2013 January - 2013 December;106.6;0.6;109.0;1.5;0.9
356;24-30, 33 Metalectro-industry;2013 April - 2014 March;107.3;0.0;109.9;0.8;0.8
357;24-30, 33 Metalectro-industry;2013 July - 2014 June;108.5;1.0;111.3;1.7;0.7
358;24-30, 33 Metalectro-industry;2013 October - 2014 September;109.4;2.2;112.3;2.8;0.5
359;24-30, 33 Metalectro-industry;2014 January - 2014 December;111.5;4.5;114.4;5.0;0.4
360;24-30, 33 Metalectro-industry;2014 April - 2015 March ;111.5;3.9;114.6;4.3;0.3
361;24-30, 33 Metalectro-industry;2014 July - 2015 June;112.0;3.2;115.2;3.5;0.3
362;24-30, 33 Metalectro-industry;2014 October - 2015 September;112.0;2.3;115.3;2.6;0.3
363;24-30, 33 Metalectro-industry;2015 January - 2015 December;110.8;-0.6;114.1;-0.2;0.3
364;24-30, 33 Metalectro-industry;2015 April - 2016 March;111.6;0.1;114.9;0.3;0.3
365;24-30, 33 Metalectro-industry;2015 July - 2016 June;111.0;-0.9;114.5;-0.6;0.3
366;24-30, 33 Metalectro-industry;2015 October - 2016 September;111.2;-0.7;114.8;-0.4;0.3
367;24-30, 33 Metalectro-industry;2016 January - 2016 December;111.5;0.7;115.2;1.0;0.3
368;24-30, 33 Metalectro-industry;2016 April - 2017 March;111.1;-0.4;114.9;0.0;0.4
369;24-30, 33 Metalectro-industry;2016 July - 2017 June;112.4;1.2;116.3;1.6;0.3
370;24-30, 33 Metalectro-industry;2016 October - 2017 September;113.2;1.8;117.3;2.2;0.4
371;24-30, 33 Metalectro-industry;2017 January - 2017 December;114.8;3.0;119.0;3.3;0.3
372;F Construction;2001;82.3;;76.4;;
373;F Construction;2002;85.6;4.0;80.1;4.9;0.8
374;F Construction;2003;88.5;3.4;83.5;4.3;0.9
375;F Construction;2004;90.3;2.0;85.9;2.9;0.8
376;F Construction;2005;91.2;1.0;87.7;2.1;1.0
377;F Construction;2006;93.4;2.4;90.5;3.1;0.8
378;F Construction;2007;95.4;2.1;92.7;2.5;0.4
379;F Construction;2008;98.7;3.5;96.3;3.9;0.3
380;F Construction;2009;99.4;0.7;97.9;1.6;0.9
381;F Construction;2010;100.0;0.6;100.0;2.2;1.6
382;F Construction;2011;99.4;-0.6;100.1;0.1;0.7
383;F Construction;2012;102.6;3.2;104.4;4.3;1.0
384;F Construction;2013;101.7;-0.9;104.8;0.3;1.3
385;F Construction;2014;100.8;-0.8;104.9;0.1;1.0
386;F Construction;2015;100.8;0.0;105.3;0.4;0.4
387;F Construction;2016;103.4;2.6;108.3;2.9;0.3
388;F Construction;2017;104.2;0.8;109.3;0.9;0.1
389;F Construction;2006 January - 2006 December;93.4;2.4;90.5;3.1;0.8
390;F Construction;2006 April - 2007 March;94.3;;91.5;;
391;F Construction;2006 July - 2007 June;94.9;;92.1;;
392;F Construction;2006 October - 2007 September;95.3;;92.6;;
393;F Construction;2007 January - 2007 December;95.4;2.1;92.7;2.5;0.4
394;F Construction;2007 April - 2008 March;96.5;2.3;93.9;2.7;0.3
395;F Construction;2007 July - 2008 June;97.9;3.1;95.3;3.4;0.2
396;F Construction;2007 October - 2008 September;98.3;3.1;95.7;3.4;0.3
397;F Construction;2008 January - 2008 December;98.7;3.5;96.3;3.9;0.3
398;F Construction;2008 April - 2009 March;99.1;2.6;96.8;3.0;0.4
399;F Construction;2008 July - 2009 June;100.2;2.4;98.1;3.0;0.6
400;F Construction;2008 October - 2009 September;100.2;2.0;98.3;2.7;0.7
401;F Construction;2009 January - 2009 December;99.4;0.7;97.9;1.6;0.9
402;F Construction;2009 April - 2010 March;100.9;1.8;99.7;3.0;1.2
403;F Construction;2009 July - 2010 June;101.0;0.8;100.3;2.2;1.4
404;F Construction;2009 October - 2010 September;99.8;-0.4;99.5;1.2;1.5
405;F Construction;2010 January - 2010 December;100.0;0.6;100.0;2.2;1.6
406;F Construction;2010 April - 2011 March;99.1;-1.7;99.3;-0.4;1.3
407;F Construction;2010 July - 2011 June;98.8;-2.2;99.2;-1.1;1.1
408;F Construction;2010 October - 2011 September;98.6;-1.2;99.2;-0.3;0.9
409;F Construction;2011 January - 2011 December;99.4;-0.6;100.1;0.1;0.7
410;F Construction;2011 April - 2012 March;99.9;0.8;100.9;1.5;0.8
411;F Construction;2011 July - 2012 June;100.7;1.9;101.9;2.7;0.8
412;F Construction;2011 October - 2012 September;101.5;2.9;102.9;3.8;0.9
413;F Construction;2012 January - 2012 December;102.6;3.2;104.4;4.3;1.0
414;F Construction;2012 April - 2013 March;104.0;4.1;106.2;5.2;1.1
415;F Construction;2012 July - 2013 June;103.2;2.5;105.6;3.7;1.2
416;F Construction;2012 October - 2013 September;102.6;1.1;105.4;2.4;1.2
417;F Construction;2013 January - 2013 December;101.7;-0.9;104.8;0.3;1.3
418;F Construction;2013 April - 2014 March;100.6;-3.3;103.9;-2.1;1.2
419;F Construction;2013 July - 2014 June;100.5;-2.6;104.1;-1.5;1.1
420;F Construction;2013 October - 2014 September;100.1;-2.4;103.9;-1.4;1.0
421;F Construction;2014 January - 2014 December;100.8;-0.8;104.9;0.1;1.0
422;F Construction;2014 April - 2015 March ;100.9;0.3;105.1;1.2;0.9
423;F Construction;2014 July - 2015 June;101.0;0.5;105.4;1.2;0.7
424;F Construction;2014 October - 2015 September;101.6;1.4;106.0;2.0;0.6
425;F Construction;2015 January - 2015 December;100.8;0.0;105.3;0.4;0.4
426;F Construction;2015 April - 2016 March;102.1;1.2;106.7;1.5;0.3
427;F Construction;2015 July - 2016 June;102.2;1.1;106.8;1.4;0.3
428;F Construction;2015 October - 2016 September;102.4;0.9;107.2;1.1;0.3
429;F Construction;2016 January - 2016 December;103.4;2.6;108.3;2.9;0.3
430;F Construction;2016 April - 2017 March;102.5;0.4;107.4;0.7;0.3
431;F Construction;2016 July - 2017 June;102.9;0.7;107.9;1.0;0.3
432;F Construction;2016 October - 2017 September;103.3;0.9;108.4;1.1;0.2
433;F Construction;2017 January - 2017 December;104.2;0.8;109.3;0.9;0.1
434;G-N Commercial services;2001;85.4;;79.3;;
435;G-N Commercial services;2002;89.1;4.3;83.6;5.4;1.0
436;G-N Commercial services;2003;91.6;2.8;86.9;3.9;1.1
437;G-N Commercial services;2004;91.2;-0.4;87.2;0.3;0.7
438;G-N Commercial services;2005;92.7;1.6;89.4;2.6;0.9
439;G-N Commercial services;2006;93.4;0.8;90.8;1.6;0.8
440;G-N Commercial services;2007;96.9;3.7;94.2;3.7;0.0
441;G-N Commercial services;2008;99.7;3.0;97.1;3.1;0.2
442;G-N Commercial services;2009;99.8;0.1;99.2;2.1;2.0
443;G-N Commercial services;2010;100.0;0.2;100.0;0.9;0.7
444;G-N Commercial services;2011;101.7;1.7;101.8;1.8;0.2
445;G-N Commercial services;2012;103.5;1.8;104.6;2.7;0.9
446;G-N Commercial services;2013;105.3;1.8;107.1;2.4;0.6
447;G-N Commercial services;2014;105.8;0.4;107.6;0.4;0.0
448;G-N Commercial services;2015;105.3;-0.5;106.5;-1.0;-0.6
449;G-N Commercial services;2016;105.7;0.4;106.1;-0.3;-0.7
450;G-N Commercial services;2017;107.6;1.8;107.0;0.8;-1.0
451;G-N Commercial services;2006 January - 2006 December;93.4;0.8;90.8;1.6;0.8
452;G-N Commercial services;2006 April - 2007 March;94.5;;91.8;;
453;G-N Commercial services;2006 July - 2007 June;95.3;;92.6;;
454;G-N Commercial services;2006 October - 2007 September;96.0;;93.3;;
455;G-N Commercial services;2007 January - 2007 December;96.9;3.7;94.2;3.7;0.0
456;G-N Commercial services;2007 April - 2008 March;97.9;3.6;95.3;3.7;0.1
457;G-N Commercial services;2007 July - 2008 June;98.8;3.7;96.2;3.8;0.1
458;G-N Commercial services;2007 October - 2008 September;99.3;3.5;96.7;3.6;0.1
459;G-N Commercial services;2008 January - 2008 December;99.7;3.0;97.1;3.1;0.2
460;G-N Commercial services;2008 April - 2009 March;99.8;1.9;97.6;2.4;0.5
461;G-N Commercial services;2008 July - 2009 June;100.4;1.6;98.7;2.7;1.0
462;G-N Commercial services;2008 October - 2009 September;100.3;1.0;99.1;2.5;1.5
463;G-N Commercial services;2009 January - 2009 December;99.8;0.1;99.2;2.1;2.0
464;G-N Commercial services;2009 April - 2010 March;100.4;0.6;100.2;2.7;2.0
465;G-N Commercial services;2009 July - 2010 June;100.5;0.1;100.5;1.8;1.7
466;G-N Commercial services;2009 October - 2010 September;100.0;-0.3;100.0;0.9;1.2
467;G-N Commercial services;2010 January - 2010 December;100.0;0.2;100.0;0.9;0.7
468;G-N Commercial services;2010 April - 2011 March;100.2;-0.2;100.2;0.0;0.2
469;G-N Commercial services;2010 July - 2011 June;100.3;-0.3;100.3;-0.2;0.1
470;G-N Commercial services;2010 October - 2011 September;100.6;0.6;100.7;0.7;0.1
471;G-N Commercial services;2011 January - 2011 December;101.7;1.7;101.8;1.8;0.2
472;G-N Commercial services;2011 April - 2012 March;101.6;1.4;101.9;1.7;0.4
473;G-N Commercial services;2011 July - 2012 June;101.8;1.6;102.4;2.1;0.6
474;G-N Commercial services;2011 October - 2012 September;102.7;2.1;103.5;2.8;0.7
475;G-N Commercial services;2012 January - 2012 December;103.5;1.8;104.6;2.7;0.9
476;G-N Commercial services;2012 April - 2013 March;105.2;3.5;106.4;4.4;0.8
477;G-N Commercial services;2012 July - 2013 June;105.3;3.4;106.7;4.2;0.8
478;G-N Commercial services;2012 October - 2013 September;105.4;2.6;107.1;3.5;0.8
479;G-N Commercial services;2013 January - 2013 December;105.3;1.8;107.1;2.4;0.6
480;G-N Commercial services;2013 April - 2014 March;105.2;0.0;107.1;0.6;0.6
481;G-N Commercial services;2013 July - 2014 June;105.3;0.1;107.2;0.4;0.4
482;G-N Commercial services;2013 October - 2014 September;105.2;-0.2;107.1;0.0;0.2
483;G-N Commercial services;2014 January - 2014 December;105.8;0.4;107.6;0.4;0.0
484;G-N Commercial services;2014 April - 2015 March ;105.6;0.4;107.3;0.2;-0.2
485;G-N Commercial services;2014 July - 2015 June;105.9;0.6;107.4;0.2;-0.4
486;G-N Commercial services;2014 October - 2015 September;106.1;0.9;107.5;0.4;-0.5
487;G-N Commercial services;2015 January - 2015 December;105.3;-0.5;106.5;-1.0;-0.6
488;G-N Commercial services;2015 April - 2016 March;105.7;0.1;106.7;-0.5;-0.6
489;G-N Commercial services;2015 July - 2016 June;105.2;-0.6;106.1;-1.3;-0.6
490;G-N Commercial services;2015 October - 2016 September;105.2;-0.9;105.9;-1.5;-0.7
491;G-N Commercial services;2016 January - 2016 December;105.7;0.4;106.1;-0.3;-0.7
492;G-N Commercial services;2016 April - 2017 March;105.0;-0.7;105.2;-1.4;-0.7
493;G-N Commercial services;2016 July - 2017 June;105.9;0.7;105.9;-0.1;-0.8
494;G-N Commercial services;2016 October - 2017 September;106.7;1.4;106.4;0.5;-0.9
495;G-N Commercial services;2017 January - 2017 December;107.6;1.8;107.0;0.8;-1.0
496;G-I Trade, transport, hotels, catering;2001;85.5;;79.6;;
497;G-I Trade, transport, hotels, catering;2002;88.9;3.9;83.1;4.4;0.5
498;G-I Trade, transport, hotels, catering;2003;92.0;3.5;87.0;4.7;1.2
499;G-I Trade, transport, hotels, catering;2004;90.8;-1.3;86.6;-0.5;0.7
500;G-I Trade, transport, hotels, catering;2005;92.0;1.3;88.8;2.6;1.3
501;G-I Trade, transport, hotels, catering;2006;93.3;1.5;90.7;2.1;0.6
502;G-I Trade, transport, hotels, catering;2007;96.0;2.9;93.5;3.1;0.3
503;G-I Trade, transport, hotels, catering;2008;98.8;2.9;96.6;3.3;0.4
504;G-I Trade, transport, hotels, catering;2009;99.7;0.9;98.6;2.0;1.2
505;G-I Trade, transport, hotels, catering;2010;100.0;0.3;100.0;1.4;1.1
506;G-I Trade, transport, hotels, catering;2011;101.7;1.7;102.0;2.0;0.3
507;G-I Trade, transport, hotels, catering;2012;104.3;2.6;105.4;3.4;0.8
508;G-I Trade, transport, hotels, catering;2013;105.4;1.1;107.5;1.9;0.8
509;G-I Trade, transport, hotels, catering;2014;105.9;0.4;108.2;0.7;0.3
510;G-I Trade, transport, hotels, catering;2015;106.9;1.0;109.2;0.9;-0.1
511;G-I Trade, transport, hotels, catering;2016;107.6;0.7;109.7;0.4;-0.2
512;G-I Trade, transport, hotels, catering;2017;109.6;1.8;111.3;1.5;-0.3
513;G-I Trade, transport, hotels, catering;2006 January - 2006 December;93.3;1.5;90.7;2.1;0.6
514;G-I Trade, transport, hotels, catering;2006 April - 2007 March;94.3;;91.7;;
515;G-I Trade, transport, hotels, catering;2006 July - 2007 June;95.0;;92.4;;
516;G-I Trade, transport, hotels, catering;2006 October - 2007 September;95.6;;93.1;;
517;G-I Trade, transport, hotels, catering;2007 January - 2007 December;96.0;2.9;93.5;3.1;0.3
518;G-I Trade, transport, hotels, catering;2007 April - 2008 March;97.0;2.9;94.6;3.2;0.3
519;G-I Trade, transport, hotels, catering;2007 July - 2008 June;97.8;2.9;95.4;3.2;0.3
520;G-I Trade, transport, hotels, catering;2007 October - 2008 September;98.3;2.8;95.9;3.1;0.3
521;G-I Trade, transport, hotels, catering;2008 January - 2008 December;98.8;2.9;96.6;3.3;0.4
522;G-I Trade, transport, hotels, catering;2008 April - 2009 March;99.4;2.4;97.3;2.9;0.5
523;G-I Trade, transport, hotels, catering;2008 July - 2009 June;100.2;2.5;98.4;3.2;0.7
524;G-I Trade, transport, hotels, catering;2008 October - 2009 September;100.1;1.8;98.6;2.8;1.0
525;G-I Trade, transport, hotels, catering;2009 January - 2009 December;99.7;0.9;98.6;2.0;1.2
526;G-I Trade, transport, hotels, catering;2009 April - 2010 March;100.1;0.8;99.4;2.2;1.4
527;G-I Trade, transport, hotels, catering;2009 July - 2010 June;100.4;0.2;100.0;1.6;1.4
528;G-I Trade, transport, hotels, catering;2009 October - 2010 September;99.9;-0.1;99.7;1.1;1.2
529;G-I Trade, transport, hotels, catering;2010 January - 2010 December;100.0;0.3;100.0;1.4;1.1
530;G-I Trade, transport, hotels, catering;2010 April - 2011 March;100.1;0.0;100.2;0.8;0.8
531;G-I Trade, transport, hotels, catering;2010 July - 2011 June;100.2;-0.2;100.4;0.4;0.6
532;G-I Trade, transport, hotels, catering;2010 October - 2011 September;100.5;0.6;100.8;1.1;0.5
533;G-I Trade, transport, hotels, catering;2011 January - 2011 December;101.7;1.7;102.0;2.0;0.3
534;G-I Trade, transport, hotels, catering;2011 April - 2012 March;101.9;1.8;102.3;2.1;0.3
535;G-I Trade, transport, hotels, catering;2011 July - 2012 June;102.4;2.2;103.0;2.6;0.4
536;G-I Trade, transport, hotels, catering;2011 October - 2012 September;103.3;2.8;104.2;3.3;0.6
537;G-I Trade, transport, hotels, catering;2012 January - 2012 December;104.3;2.6;105.4;3.4;0.8
538;G-I Trade, transport, hotels, catering;2012 April - 2013 March;105.6;3.7;107.0;4.6;0.9
539;G-I Trade, transport, hotels, catering;2012 July - 2013 June;105.7;3.3;107.4;4.2;0.9
540;G-I Trade, transport, hotels, catering;2012 October - 2013 September;105.8;2.4;107.6;3.3;0.9
541;G-I Trade, transport, hotels, catering;2013 January - 2013 December;105.4;1.1;107.5;1.9;0.8
542;G-I Trade, transport, hotels, catering;2013 April - 2014 March;105.3;-0.3;107.5;0.5;0.8
543;G-I Trade, transport, hotels, catering;2013 July - 2014 June;105.5;-0.3;107.7;0.3;0.6
544;G-I Trade, transport, hotels, catering;2013 October - 2014 September;105.3;-0.4;107.7;0.0;0.4
545;G-I Trade, transport, hotels, catering;2014 January - 2014 December;105.9;0.4;108.2;0.7;0.3
546;G-I Trade, transport, hotels, catering;2014 April - 2015 March ;106.3;0.9;108.7;1.1;0.2
547;G-I Trade, transport, hotels, catering;2014 July - 2015 June;106.9;1.3;109.3;1.5;0.1
548;G-I Trade, transport, hotels, catering;2014 October - 2015 September;107.4;2.0;109.8;2.0;0.0
549;G-I Trade, transport, hotels, catering;2015 January - 2015 December;106.9;1.0;109.2;0.9;-0.1
550;G-I Trade, transport, hotels, catering;2015 April - 2016 March;107.4;1.1;109.7;0.9;-0.2
551;G-I Trade, transport, hotels, catering;2015 July - 2016 June;107.1;0.2;109.2;0.0;-0.2
552;G-I Trade, transport, hotels, catering;2015 October - 2016 September;107.0;-0.4;109.1;-0.6;-0.2
553;G-I Trade, transport, hotels, catering;2016 January - 2016 December;107.6;0.7;109.7;0.4;-0.2
554;G-I Trade, transport, hotels, catering;2016 April - 2017 March;106.9;-0.5;108.9;-0.7;-0.2
555;G-I Trade, transport, hotels, catering;2016 July - 2017 June;107.8;0.7;109.8;0.5;-0.2
556;G-I Trade, transport, hotels, catering;2016 October - 2017 September;108.6;1.5;110.5;1.3;-0.2
557;G-I Trade, transport, hotels, catering;2017 January - 2017 December;109.6;1.8;111.3;1.5;-0.3
558;G Wholesale and retail trade;2001;85.1;;77.8;;
559;G Wholesale and retail trade;2002;88.6;4.1;81.3;4.4;0.3
560;G Wholesale and retail trade;2003;92.3;4.1;85.8;5.5;1.3
561;G Wholesale and retail trade;2004;90.9;-1.4;85.2;-0.7;0.7
562;G Wholesale and retail trade;2005;92.3;1.5;87.7;3.0;1.5
563;G Wholesale and retail trade;2006;93.5;1.3;89.8;2.3;1.0
564;G Wholesale and retail trade;2007;96.1;2.7;92.6;3.1;0.3
565;G Wholesale and retail trade;2008;99.1;3.2;96.0;3.7;0.5
566;G Wholesale and retail trade;2009;99.7;0.6;98.0;2.2;1.5
567;G Wholesale and retail trade;2010;100.0;0.3;100.0;2.0;1.7
568;G Wholesale and retail trade;2011;101.8;1.8;102.3;2.3;0.5
569;G Wholesale and retail trade;2012;104.5;2.7;105.9;3.6;0.9
570;G Wholesale and retail trade;2013;105.3;0.8;107.8;1.8;1.0
571;G Wholesale and retail trade;2014;106.0;0.6;109.0;1.1;0.5
572;G Wholesale and retail trade;2015;106.8;0.8;110.2;1.1;0.3
573;G Wholesale and retail trade;2016;107.5;0.6;110.8;0.6;0.0
574;G Wholesale and retail trade;2017;109.6;2.0;113.0;2.0;-0.1
575;G Wholesale and retail trade;2006 January - 2006 December;93.5;1.3;89.8;2.3;1.0
576;G Wholesale and retail trade;2006 April - 2007 March;94.6;;90.9;;
577;G Wholesale and retail trade;2006 July - 2007 June;95.2;;91.6;;
578;G Wholesale and retail trade;2006 October - 2007 September;95.7;;92.2;;
579;G Wholesale and retail trade;2007 January - 2007 December;96.1;2.7;92.6;3.1;0.3
580;G Wholesale and retail trade;2007 April - 2008 March;97.0;2.6;93.6;3.0;0.4
581;G Wholesale and retail trade;2007 July - 2008 June;97.9;2.9;94.6;3.3;0.4
582;G Wholesale and retail trade;2007 October - 2008 September;98.3;2.7;95.1;3.2;0.5
583;G Wholesale and retail trade;2008 January - 2008 December;99.1;3.2;96.0;3.7;0.5
584;G Wholesale and retail trade;2008 April - 2009 March;99.7;2.7;96.8;3.4;0.7
585;G Wholesale and retail trade;2008 July - 2009 June;100.5;2.6;98.0;3.5;0.9
586;G Wholesale and retail trade;2008 October - 2009 September;100.3;2.0;98.2;3.2;1.3
587;G Wholesale and retail trade;2009 January - 2009 December;99.7;0.6;98.0;2.2;1.5
588;G Wholesale and retail trade;2009 April - 2010 March;100.0;0.3;98.8;2.1;1.8
589;G Wholesale and retail trade;2009 July - 2010 June;100.3;-0.1;99.6;1.7;1.8
590;G Wholesale and retail trade;2009 October - 2010 September;99.9;-0.4;99.6;1.4;1.8
591;G Wholesale and retail trade;2010 January - 2010 December;100.0;0.3;100.0;2.0;1.7
592;G Wholesale and retail trade;2010 April - 2011 March;100.2;0.2;100.3;1.5;1.3
593;G Wholesale and retail trade;2010 July - 2011 June;100.3;0.0;100.6;1.0;1.0
594;G Wholesale and retail trade;2010 October - 2011 September;100.6;0.7;101.0;1.4;0.7
595;G Wholesale and retail trade;2011 January - 2011 December;101.8;1.8;102.3;2.3;0.5
596;G Wholesale and retail trade;2011 April - 2012 March;101.9;1.7;102.6;2.3;0.5
597;G Wholesale and retail trade;2011 July - 2012 June;102.4;2.0;103.3;2.6;0.6
598;G Wholesale and retail trade;2011 October - 2012 September;103.5;2.9;104.6;3.6;0.7
599;G Wholesale and retail trade;2012 January - 2012 December;104.5;2.7;105.9;3.6;0.9
600;G Wholesale and retail trade;2012 April - 2013 March;105.8;3.8;107.5;4.8;0.9
601;G Wholesale and retail trade;2012 July - 2013 June;105.9;3.4;107.9;4.4;1.0
602;G Wholesale and retail trade;2012 October - 2013 September;105.7;2.2;108.0;3.3;1.1
603;G Wholesale and retail trade;2013 January - 2013 December;105.3;0.8;107.8;1.8;1.0
604;G Wholesale and retail trade;2013 April - 2014 March;105.3;-0.5;108.0;0.4;0.9
605;G Wholesale and retail trade;2013 July - 2014 June;105.5;-0.4;108.3;0.4;0.8
606;G Wholesale and retail trade;2013 October - 2014 September;105.4;-0.3;108.3;0.3;0.6
607;G Wholesale and retail trade;2014 January - 2014 December;106.0;0.6;109.0;1.1;0.5
608;G Wholesale and retail trade;2014 April - 2015 March ;106.4;1.1;109.6;1.5;0.4
609;G Wholesale and retail trade;2014 July - 2015 June;107.0;1.4;110.3;1.8;0.4
610;G Wholesale and retail trade;2014 October - 2015 September;107.5;2.0;110.9;2.3;0.3
611;G Wholesale and retail trade;2015 January - 2015 December;106.8;0.8;110.2;1.1;0.3
612;G Wholesale and retail trade;2015 April - 2016 March;107.4;0.9;110.8;1.1;0.2
613;G Wholesale and retail trade;2015 July - 2016 June;107.0;0.0;110.4;0.1;0.1
614;G Wholesale and retail trade;2015 October - 2016 September;106.9;-0.6;110.2;-0.6;0.0
615;G Wholesale and retail trade;2016 January - 2016 December;107.5;0.6;110.8;0.6;0.0
616;G Wholesale and retail trade;2016 April - 2017 March;106.8;-0.6;110.2;-0.5;0.0
617;G Wholesale and retail trade;2016 July - 2017 June;107.9;0.8;111.4;0.9;0.0
618;G Wholesale and retail trade;2016 October - 2017 September;108.7;1.7;112.1;1.7;0.0
619;G Wholesale and retail trade;2017 January - 2017 December;109.6;2.0;113.0;2.0;-0.1
620;H Transportation and storage;2001;85.2;;80.8;;
621;H Transportation and storage;2002;88.4;3.8;84.5;4.6;0.7
622;H Transportation and storage;2003;90.8;2.6;87.4;3.4;0.7
623;H Transportation and storage;2004;90.1;-0.7;87.4;0.1;0.8
624;H Transportation and storage;2005;90.6;0.6;88.8;1.6;1.0
625;H Transportation and storage;2006;92.3;1.9;90.8;2.3;0.4
626;H Transportation and storage;2007;95.5;3.5;94.3;3.8;0.3
627;H Transportation and storage;2008;98.0;2.7;96.9;2.8;0.2
628;H Transportation and storage;2009;99.6;1.5;99.2;2.3;0.8
629;H Transportation and storage;2010;100.0;0.4;100.0;0.8;0.4
630;H Transportation and storage;2011;101.9;1.9;102.4;2.4;0.5
631;H Transportation and storage;2012;104.2;2.3;105.7;3.2;0.9
632;H Transportation and storage;2013;106.2;1.9;108.9;3.1;1.1
633;H Transportation and storage;2014;105.6;-0.6;109.0;0.0;0.6
634;H Transportation and storage;2015;107.7;2.0;111.1;2.0;0.0
635;H Transportation and storage;2016;108.5;0.8;111.8;0.6;-0.2
636;H Transportation and storage;2017;110.4;1.7;113.3;1.4;-0.3
637;H Transportation and storage;2006 January - 2006 December;92.3;1.9;90.8;2.3;0.4
638;H Transportation and storage;2006 April - 2007 March;93.3;;91.9;;
639;H Transportation and storage;2006 July - 2007 June;94.1;;92.8;;
640;H Transportation and storage;2006 October - 2007 September;94.8;;93.6;;
641;H Transportation and storage;2007 January - 2007 December;95.5;3.5;94.3;3.8;0.3
642;H Transportation and storage;2007 April - 2008 March;96.7;3.7;95.5;4.0;0.2
643;H Transportation and storage;2007 July - 2008 June;97.1;3.2;95.9;3.3;0.1
644;H Transportation and storage;2007 October - 2008 September;97.9;3.2;96.7;3.3;0.1
645;H Transportation and storage;2008 January - 2008 December;98.0;2.7;96.9;2.8;0.2
646;H Transportation and storage;2008 April - 2009 March;98.7;2.0;97.7;2.3;0.3
647;H Transportation and storage;2008 July - 2009 June;99.7;2.7;98.9;3.2;0.4
648;H Transportation and storage;2008 October - 2009 September;99.6;1.8;99.0;2.4;0.6
649;H Transportation and storage;2009 January - 2009 December;99.6;1.5;99.2;2.3;0.8
650;H Transportation and storage;2009 April - 2010 March;100.0;1.3;99.8;2.2;0.9
651;H Transportation and storage;2009 July - 2010 June;100.1;0.4;100.1;1.2;0.8
652;H Transportation and storage;2009 October - 2010 September;99.9;0.3;99.9;0.8;0.6
653;H Transportation and storage;2010 January - 2010 December;100.0;0.4;100.0;0.8;0.4
654;H Transportation and storage;2010 April - 2011 March;100.0;0.0;100.1;0.3;0.3
655;H Transportation and storage;2010 July - 2011 June;100.1;0.0;100.3;0.2;0.3
656;H Transportation and storage;2010 October - 2011 September;100.7;0.8;101.0;1.1;0.4
657;H Transportation and storage;2011 January - 2011 December;101.9;1.9;102.4;2.4;0.5
658;H Transportation and storage;2011 April - 2012 March;102.1;2.1;102.8;2.7;0.5
659;H Transportation and storage;2011 July - 2012 June;102.7;2.6;103.6;3.3;0.7
660;H Transportation and storage;2011 October - 2012 September;103.3;2.6;104.4;3.4;0.8
