ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;AccessToTheInternetAtHome_1;ADialUpConnection_2;ABroadbandConnection_3;MobileConnectionEGMobilePhone_4;k_3MonthsAgo_5;k_312MonthsAgo_6;k_1YearAgo_7;NeverUsedTheInternet_8;NearlyEveryDay_9;NotEveryDayAtLeastOnceAWeek_10;NotEveryWeekAtLeastOnceAMonth_11;LessThanOnceAMonth_12;AtHome_13;AtSomeoneElseSHome_14;AtWork_15;AtAnEducationalInstitute_16;SomewhereElse_17;ToSendReceiveEmails_18;PostMessagesOnChatSites_19;Weblogs_20;ExchangingTextMessages_21;ProfessionalNetworking_22;OtherSocialNetworkFacebookTwitter_23;PhoneCallsOverTheInternet_24;RadioTelevision_25;Newspapers_26;OnlineBanking_27;PlayOrDownloadGamesFilmsOrMusic_28;UploadPhotosMusicTextSoftware_29;DownloadSoftwareOtherThanForGames_30;OnlinePurchases_31
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;3.6;;;;2.0;;;;3.9;;;;;;;;;5.4;10.3;;5.3;8.0;7.7;8.6;7.7;10.3;9.8;10.1;9.4;10.3;10.0
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;71.5;14.0;79.2;28.1;62.8;3.3;5.0;28.9;82.5;12.6;2.7;2.2;93.9;6.6;48.3;4.0;9.3;85.5;24.8;9.7;34.2;9.4;57.2;60.3;38.0;47.6;46.3;31.1;35.2;20.3;30.6
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;82.6;;;;92.3;;;;92.0;7.3;;;;;;;;67.7;33.3;;89.8;14.9;64.9;72.0;63.8;41.9;52.2;35.8;36.1;15.0;37.9
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;70.9;15.8;80.0;28.2;61.9;3.8;6.0;28.3;82.1;12.3;3.6;;95.3;7.5;45.5;4.6;9.8;84.2;19.7;8.7;33.9;6.7;55.3;62.7;39.3;46.0;44.6;30.5;35.9;17.1;26.3
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;85.6;;;;95.2;;;;95.9;3.3;;;;;;;;63.3;30.4;;92.7;12.7;68.0;75.6;58.6;37.5;51.3;37.3;36.6;14.9;32.4
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;77.4;;;;85.7;;;;77.8;21.2;;;;;;;;76.7;37.5;;80.5;11.4;56.2;62.7;74.7;49.2;52.8;28.4;27.8;12.3;47.5
118;Age: 45 to 64 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;77.4;;;;88.8;;;;94.3;;;;;;;;;78.2;43.5;;89.5;35.1;62.3;67.6;74.9;55.5;56.9;40.5;49.3;20.5;54.7
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;4.5;4.1;4.8;5.3;4.8;1.8;2.2;4.5;4.8;4.2;2.1;1.8;3.0;3.1;6.3;2.5;3.7;4.5;5.5;3.7;6.0;3.7;6.3;6.2;6.2;6.3;6.3;5.9;6.1;5.1;5.8
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;3.1;;;;2.4;;;;2.5;2.4;;;;;;;;4.3;4.4;;2.8;3.3;4.4;4.2;4.4;4.6;4.6;4.4;4.4;3.3;4.5
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;5.2;5.0;5.5;6.2;5.6;2.2;2.7;5.2;5.6;4.8;2.7;;3.1;3.9;7.3;3.1;4.4;5.4;5.8;4.1;7.0;3.7;7.3;7.1;7.2;7.3;7.3;6.8;7.0;5.5;6.4
123;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;3.5;;;;2.4;;;;2.2;2.0;;;;;;;;5.4;5.2;;2.9;3.7;5.2;4.8;5.5;5.4;5.6;5.4;5.4;4.0;5.3
124;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;6.9;;;;6.6;;;;8.5;8.3;;;;;;;;8.6;9.9;;8.1;6.5;10.1;9.9;8.9;10.2;10.2;9.2;9.1;6.7;10.2
126;Age: 45 to 64 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;9.7;;;;8.3;;;;6.5;;;;;;;;;11.6;13.9;;8.6;13.4;13.6;13.2;12.2;14.0;13.9;13.8;14.1;11.3;14.2
128;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;44.4;8.5;76.6;19.8;28.3;;8.0;61.3;;;;;;;;;;;;;;;;;;;;;;;
129;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;66.3;;;;79.7;;;;85.4;12.1;;;;;;;;74.9;29.9;;70.8;14.0;43.9;75.9;58.1;52.5;52.4;25.2;28.4;17.4;35.7
130;Age: 65 years or older;Percentage/average;Bonaire;2013;44.6;;;;30.6;;8.1;59.4;;;;;;;;;;;;;;;;;;;;;;;
131;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;64.6;;;;84.6;;;;92.8;6.9;;;;;;;;68.5;27.5;;82.6;8.4;51.6;75.7;52.7;45.0;48.2;27.9;30.1;18.4;25.1
132;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;62.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Age: 65 years or older;Percentage/average;Saba;2017/2018;79.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;8.5;7.2;11.0;10.3;7.7;;4.6;8.3;;;;;;;;;;;;;;;;;;;;;;;
137;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;6.0;;;;6.4;;;;6.3;5.8;;;;;;;;7.7;8.1;;8.1;6.2;8.8;7.6;8.8;8.9;8.9;7.7;8.0;6.7;8.6
138;Age: 65 years or older;Reliability margin;Bonaire;2013;9.8;;;;9.1;;5.4;9.7;;;;;;;;;;;;;;;;;;;;;;;
139;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;7.8;;;;7.4;;;;5.8;5.6;;;;;;;;10.3;9.9;;8.4;6.2;11.1;9.5;11.1;11.1;11.1;10.0;10.2;8.6;9.7
140;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Age: 65 years or older;Reliability margin;Saba;2017/2018;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;65.4;13.7;67.9;41.8;59.1;4.0;7.9;29.0;81.2;13.2;3.3;2.2;92.0;17.4;33.5;13.0;12.4;70.5;28.3;10.3;49.5;4.9;69.9;48.9;47.2;30.7;23.0;44.3;39.7;19.3;25.2
145;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;77.9;;;;90.7;;;;90.0;9.2;;;;;;;;57.0;31.3;;89.1;4.2;72.2;72.7;63.6;28.5;33.2;45.1;42.6;16.9;28.9
146;Level of education: Low;Percentage/average;Bonaire;2013;66.0;15.1;67.6;41.4;59.8;3.6;8.2;28.4;83.3;11.1;3.8;1.9;92.9;19.8;32.4;13.6;12.8;68.7;23.9;8.7;47.6;2.5;70.3;46.9;47.5;33.0;22.1;40.3;36.7;15.6;19.3
147;Level of education: Low;Percentage/average;Bonaire;2017/2018;78.1;;;;94.3;;;;94.9;4.5;;;;;;;;52.6;24.4;;91.5;1.1;74.8;79.8;54.7;24.9;31.8;43.8;40.2;16.0;21.4
148;Level of education: Low;Percentage/average;St. Eustatius;2013;61.4;7.4;66.6;47.1;54.3;6.2;7.9;31.6;;;;;;;;;;;;;;;;;;;;;;;
149;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;77.4;;;;85.1;;;;76.9;21.2;;;;;;;;63.8;41.3;;81.9;10.5;63.9;59.3;79.6;37.3;36.1;42.5;38.5;13.6;45.0
150;Level of education: Low;Percentage/average;Saba;2013;69.8;;;;64.6;;;28.0;;;;;;;;;;;;;;;;;;;;;;;
151;Level of education: Low;Percentage/average;Saba;2017/2018;77.9;;;;85.9;;;;92.9;7.1;;;;;;;;66.3;46.3;;92.5;7.1;77.1;64.6;76.5;28.2;34.1;58.2;65.9;29.7;34.0
152;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;3.9;3.4;4.7;5.0;4.0;1.6;2.2;3.7;4.1;3.6;1.9;1.5;2.9;4.0;5.0;3.5;3.5;4.8;4.7;3.2;5.3;2.3;4.8;5.3;5.3;4.9;4.5;5.3;5.2;4.2;4.6
153;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;2.7;;;;2.2;;;;2.4;2.3;;;;;;;;3.9;3.6;;2.5;1.6;3.5;3.5;3.8;3.5;3.7;3.9;3.9;2.9;3.6
154;Level of education: Low;Reliability margin;Bonaire;2013;4.5;4.2;5.5;5.7;4.6;1.8;2.6;4.3;4.6;3.8;2.3;1.7;3.1;4.9;5.7;4.2;4.1;5.7;5.2;3.4;6.1;1.9;5.6;6.1;6.2;5.8;5.1;6.1;6.0;4.5;4.8
155;Level of education: Low;Reliability margin;Bonaire;2017/2018;3.5;;;;2.2;;;;2.2;2.1;;;;;;;;4.9;4.3;;2.8;1.0;4.3;4.0;4.9;4.3;4.6;4.9;4.9;3.6;4.1
156;Level of education: Low;Reliability margin;St. Eustatius;2013;10.6;7.4;13.2;14.0;10.8;5.2;5.9;10.1;;;;;;;;;;;;;;;;;;;;;;;
157;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;5.2;;;;5.1;;;;6.5;6.3;;;;;;;;7.4;7.6;;5.9;4.7;7.4;7.6;6.2;7.4;7.4;7.6;7.5;5.3;7.7
158;Level of education: Low;Reliability margin;Saba;2013;11.2;;;;11.7;;;11.0;;;;;;;;;;;;;;;;;;;;;;;
159;Level of education: Low;Reliability margin;Saba;2017/2018;8.0;;;;7.6;;;;6.1;6.1;;;;;;;;11.1;11.7;;6.2;6.0;9.9;11.3;10.0;10.6;11.2;11.6;11.2;10.7;11.3
160;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2013;86.7;9.5;81.3;30.1;85.0;1.0;1.8;12.3;90.1;8.9;;;93.6;14.0;54.6;17.1;9.7;92.4;38.7;19.1;45.8;17.8;67.3;71.0;46.7;53.3;55.4;50.2;48.9;31.8;43.1
161;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2017/2018;93.8;;;;96.9;;;;96.2;3.1;;;;;;;;88.3;43.6;;91.3;22.1;74.7;81.2;75.8;54.8;72.3;52.7;55.5;31.6;57.9
162;Level of education: Intermediate/High;Percentage/average;Bonaire;2013;86.5;9.9;80.9;35.3;83.7;1.3;2.1;13.0;88.7;10.1;;;94.9;14.5;56.3;11.9;10.0;91.5;34.0;18.8;44.2;15.1;66.5;69.5;48.3;51.9;53.5;50.4;47.2;28.4;38.4
163;Level of education: Intermediate/High;Percentage/average;Bonaire;2017/2018;94.6;;;;97.8;;;;97.7;1.9;;;;;;;;85.2;40.7;;94.3;20.6;76.9;83.1;72.5;50.4;73.1;51.4;54.5;28.2;50.3
164;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2017/2018;85.8;;;;92.8;;;;88.6;8.9;;;;;;;;89.8;42.0;;80.2;20.2;61.4;75.5;77.7;61.0;71.5;53.7;44.2;28.0;65.9
166;Level of education: Intermediate/High;Percentage/average;Saba;2013;93.9;8.0;81.8;19.2;98.3;;;;92.2;6.7;;;93.0;16.2;30.1;48.4;7.3;97.7;53.8;21.4;61.1;31.6;74.5;85.6;56.6;57.5;59.5;51.7;59.2;40.3;61.0
167;Level of education: Intermediate/High;Percentage/average;Saba;2017/2018;98.1;;;;97.0;;;;96.7;;;;;;;;;96.3;53.6;;89.9;28.0;77.5;79.7;84.4;63.7;70.6;55.7;66.4;44.5;75.0
168;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2013;3.1;2.9;3.8;4.5;3.3;0.9;1.2;3.0;2.9;2.8;;;2.4;3.4;4.9;3.7;2.9;2.6;4.8;3.9;4.9;3.8;4.6;4.5;4.9;4.9;4.9;4.9;4.9;4.6;4.9
169;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2017/2018;1.8;;;;1.3;;;;1.5;1.4;;;;;;;;2.5;3.8;;2.2;3.2;3.4;3.0;3.3;3.8;3.4;3.9;3.8;3.6;3.8
170;Level of education: Intermediate/High;Reliability margin;Bonaire;2013;3.6;3.4;4.5;5.4;3.9;1.2;1.5;3.5;3.6;3.5;;;2.5;4.1;5.7;3.7;3.5;3.2;5.5;4.5;5.7;4.1;5.4;5.3;5.8;5.8;5.8;5.8;5.8;5.2;5.6
171;Level of education: Intermediate/High;Reliability margin;Bonaire;2017/2018;2.1;;;;1.4;;;;1.4;1.3;;;;;;;;3.4;4.8;;2.3;3.9;4.1;3.6;4.3;4.8;4.3;4.8;4.8;4.4;4.9
172;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2017/2018;6.2;;;;5.0;;;;6.4;5.7;;;;;;;;6.1;9.9;;8.0;8.1;9.8;8.6;8.4;9.8;9.1;10.0;10.0;9.0;9.6
174;Level of education: Intermediate/High;Reliability margin;Saba;2013;5.2;6.1;8.7;8.9;2.8;;;;5.9;5.5;;;5.6;8.0;10.0;10.9;5.7;3.3;11.0;9.0;10.7;10.2;9.6;7.7;10.9;10.8;10.8;11.0;10.8;10.8;10.6
175;Level of education: Intermediate/High;Reliability margin;Saba;2017/2018;2.2;;;;2.8;;;;3.0;;;;;;;;;3.2;8.4;;5.1;7.5;7.0;6.8;6.1;8.1;7.6;8.3;7.9;8.3;7.3
176;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;83.5;10.7;79.2;33.7;78.2;1.5;2.5;17.8;86.8;11.9;;;93.4;14.4;53.7;9.0;9.5;88.7;32.9;12.2;42.0;10.3;67.5;63.6;40.3;46.6;45.3;46.8;42.5;24.2;33.7
177;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;91.3;;;;94.9;;;;94.7;5.0;;;;;;;;82.2;41.4;;93.7;11.3;77.2;77.6;73.8;42.0;63.9;51.0;53.0;24.1;50.7
178;Level of education: Intermediate;Percentage/average;Bonaire;2013;82.3;10.2;79.4;38.0;77.0;1.9;3.0;18.1;86.1;12.5;;;94.8;16.0;53.4;9.7;10.0;88.5;31.8;13.1;43.3;9.4;68.7;64.6;44.9;46.2;45.8;48.6;43.0;22.9;30.6
179;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;92.7;;;;97.1;;;;97.3;2.7;;;;;;;;78.7;38.0;;95.3;12.0;79.1;81.6;69.6;38.4;67.2;50.0;52.7;22.1;43.3
180;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;82.4;;;;87.9;;;;84.4;13.1;;;;;;;;87.1;38.5;;83.5;12.1;65.1;70.0;77.6;49.6;64.1;47.8;40.8;22.0;58.9
182;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;Level of education: Intermediate;Percentage/average;Saba;2017/2018;95.7;;;;92.7;;;;92.9;7.1;;;;;;;;93.1;59.8;;96.7;7.6;80.7;66.7;89.0;50.3;48.9;59.1;66.3;35.5;76.5
184;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;4.3;3.9;5.1;6.0;4.8;1.4;1.8;4.4;4.4;4.2;;;3.3;4.6;6.5;3.7;3.8;4.1;6.2;4.3;6.5;4.0;6.1;6.3;6.4;6.5;6.5;6.5;6.5;5.6;6.2
185;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;2.7;;;;2.2;;;;2.4;2.3;;;;;;;;4.0;5.2;;2.5;3.3;4.4;4.4;4.6;5.2;5.0;5.2;5.2;4.5;5.3
186;Level of education: Intermediate;Reliability margin;Bonaire;2013;4.9;4.3;5.7;6.9;5.4;1.7;2.2;5.0;5.1;4.9;;;3.3;5.4;7.3;4.3;4.4;4.7;6.8;5.0;7.3;4.3;6.8;7.0;7.3;7.4;7.4;7.4;7.3;6.2;6.8
187;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;3.1;;;;2.1;;;;2.0;2.0;;;;;;;;5.1;6.1;;2.7;4.1;5.1;4.9;5.8;6.1;5.9;6.3;6.3;5.2;6.3
188;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;8.6;;;;8.2;;;;9.8;9.1;;;;;;;;9.0;13.1;;10.0;8.8;12.8;12.3;11.2;13.4;12.9;13.4;13.2;11.2;13.3
190;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Level of education: Intermediate;Reliability margin;Saba;2017/2018;5.1;;;;6.8;;;;6.9;6.9;;;;;;;;6.8;13.2;;4.8;7.2;10.6;12.7;8.4;13.5;13.5;13.2;12.7;12.9;11.5
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;91.9;7.7;84.5;24.9;96.0;;;3.2;94.6;4.9;;;93.8;13.5;55.7;27.9;10.0;97.3;46.5;28.3;50.8;27.9;67.1;80.8;55.2;62.2;68.7;54.6;57.6;41.9;55.8
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;97.3;;;;99.3;;;;98.0;;;;;;;;;95.6;46.3;;88.3;35.2;71.7;85.6;78.2;70.3;82.5;54.6;58.4;40.7;66.5
194;Level of education: High;Percentage/average;Bonaire;2013;95.1;9.2;83.8;30.7;97.5;;;;93.0;6.3;;;95.1;12.1;61.1;15.5;9.9;96.3;37.7;28.1;45.8;24.5;62.9;77.5;54.0;61.2;66.0;53.3;53.9;37.5;51.3
195;Level of education: High;Percentage/average;Bonaire;2017/2018;97.6;;;;98.8;;;;98.4;;;;;;;;;94.8;44.6;;92.8;33.3;73.6;85.2;76.7;68.0;81.8;53.5;57.0;37.1;60.6
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;91.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Level of education: High;Percentage/average;Saba;2013;91.9;;;;99.1;;;;96.3;;;;91.8;20.3;25.8;65.6;6.7;98.8;60.7;27.5;67.7;33.6;77.2;89.0;62.2;58.7;70.1;58.2;64.9;42.2;63.6
199;Level of education: High;Percentage/average;Saba;2017/2018;100.0;;;;100.0;;;;99.2;;;;;;;;;98.3;49.5;;85.5;41.1;75.4;88.1;81.4;72.4;84.6;53.5;66.4;50.4;74.0
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;4.0;4.1;5.6;6.7;2.9;;;2.6;3.4;3.3;;;3.6;5.2;7.5;6.8;4.5;2.5;7.5;6.8;7.6;6.8;7.1;6.0;7.5;7.3;7.0;7.5;7.5;7.5;7.5
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;1.8;;;;0.9;;;;1.6;;;;;;;;;2.4;5.7;;3.7;5.5;5.2;4.0;4.7;5.3;4.4;5.7;5.7;5.6;5.4
202;Level of education: High;Reliability margin;Bonaire;2013;4.0;5.5;7.0;8.8;2.9;;;;4.8;4.5;;;4.1;6.1;9.2;6.8;5.6;3.6;9.1;8.4;9.4;8.1;9.1;7.9;9.4;9.2;8.9;9.4;9.4;9.1;9.4
203;Level of education: High;Reliability margin;Bonaire;2017/2018;2.3;;;;1.6;;;;1.9;;;;;;;;;3.4;7.6;;3.9;7.2;6.7;5.4;6.4;7.1;5.9;7.6;7.5;7.4;7.4
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Level of education: High;Reliability margin;Saba;2013;7.0;;;;2.4;;;;4.9;;;;7.1;10.4;11.3;12.3;6.4;2.9;12.7;11.6;12.2;12.3;11.0;8.1;12.6;12.8;11.9;12.8;12.4;12.9;12.4
207;Level of education: High;Reliability margin;Saba;2017/2018;;;;;;;;;1.9;;;;;;;;;2.8;10.8;;7.6;10.6;9.3;7.0;8.4;9.7;7.8;10.8;10.2;10.8;9.5
