ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
461;Total;Population 6 years or older;Passenger car (driver);Value;Gelderland (PV);2023;18.05;24.89
462;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2018;20.62;26.49
463;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2019;22.39;28.93
464;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2020;18.75;25.27
465;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2021;18.68;25.42
466;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2022;18.73;25.82
467;Total;Population 6 years or older;Passenger car (driver);Value;Utrecht (PV);2023;19.72;27.1
468;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2018;20.37;28.25
469;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2019;19.67;28.46
470;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2020;16.01;23.84
471;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2021;17.89;26.58
472;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2022;18.42;26.41
473;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Holland (PV);2023;18.46;26.59
474;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2018;18.41;27.35
475;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2019;18.33;27.24
476;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2020;17.11;25.51
477;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2021;16.63;25.6
478;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2022;16.82;26.06
479;Total;Population 6 years or older;Passenger car (driver);Value;Zuid-Holland (PV);2023;17.36;27.08
480;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2018;18.42;22.68
481;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2019;20.31;25.49
482;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2020;15.99;21.47
483;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2021;19.43;24.37
484;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2022;16.83;22.3
485;Total;Population 6 years or older;Passenger car (driver);Value;Zeeland (PV);2023;20.26;24.56
486;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2018;17.88;24.35
487;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2019;17.59;23.8
488;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2020;14.45;21.06
489;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2021;15.74;22.76
490;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2022;16.4;23.21
491;Total;Population 6 years or older;Passenger car (driver);Value;Noord-Brabant (PV);2023;16.73;23.72
492;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2018;14.47;20.71
493;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2019;13.96;20.46
494;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2020;13.22;20.1
495;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2021;14.55;20.96
496;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2022;14.58;21.33
497;Total;Population 6 years or older;Passenger car (driver);Value;Limburg (PV);2023;13.26;19.78
498;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2018;20.49;29.54
499;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2019;20.05;29.28
500;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2020;17.84;26.83
501;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2021;17.91;27.55
502;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2022;17.92;27.36
503;Total;Population 6 years or older;Passenger car (driver);Value;Extremely urbanised;2023;18.4;28.26
504;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2018;19.17;25.86
505;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2019;18.85;25.93
506;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2020;16.5;23.55
507;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2021;17.03;24.43
508;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2022;17.64;25.15
509;Total;Population 6 years or older;Passenger car (driver);Value;Strongly urbanised;2023;17.55;25.2
510;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2018;17.56;23.97
511;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2019;18.39;24.94
512;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2020;15.26;21.64
513;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2021;16.26;23.31
514;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2022;16.64;23.69
515;Total;Population 6 years or older;Passenger car (driver);Value;Moderately urbanised;2023;16.98;23.69
516;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2018;18.76;24.48
517;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2019;18.47;24.28
518;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2020;15.74;21.76
519;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2021;16.38;22.8
520;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2022;17.3;23.43
521;Total;Population 6 years or older;Passenger car (driver);Value;Hardly urbanised;2023;17.52;23.66
522;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2018;18.79;24.04
523;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2019;20.22;25.66
524;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2020;16.82;22.25
525;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2021;19.36;24.19
526;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2022;17.89;23.6
527;Total;Population 6 years or older;Passenger car (driver);Value;Not urbanised;2023;18.59;23.77
528;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2018;18.6;25.26
529;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2019;18.6;25.46
530;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2020;15.99;22.8
531;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2021;16.73;23.94
532;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2022;17.1;24.35
533;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;The Netherlands;2023;17.34;24.57
534;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2018;19.31;24.1
535;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2019;19.71;24.35
536;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2020;16.18;21.44
537;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2021;16.84;22.36
538;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2022;17.87;24.16
539;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Nederland (LD);2023;17.72;22.91
540;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2018;18.92;24.58
541;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2019;18.81;24.79
542;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2020;16.44;22.52
543;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2021;16.84;23.38
544;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2022;17.21;23.65
545;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Oost-Nederland (LD);2023;17.52;23.95
546;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2018;18.85;26.7
547;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2019;18.96;27.22
548;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2020;16.48;24.17
549;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2021;17.06;25.28
550;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2022;17.18;25.4
551;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;West-Nederland (LD);2023;17.78;26.27
552;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;16.13;22.52
553;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;15.76;22.09
554;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;13.43;20.08
555;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;14.67;21.48
556;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;15.13;21.88
557;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;15.02;21.84
558;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2018;16.78;22.92
559;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2019;18.85;24.48
560;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2020;15.56;21.49
561;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2021;15.8;22.17
562;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2022;17.36;24.34
563;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Groningen (PV);2023;15.29;21.82
564;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2018;19.55;23.56
565;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2019;20.74;24.74
566;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2020;16.46;21.02
567;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2021;17.09;21.51
568;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2022;17.67;23.7
569;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Fryslân (PV);2023;17.74;22.21
570;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2018;18.63;23.3
571;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2019;16.05;20.83
572;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2020;13.65;19.27
573;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2021;14.75;20.94
574;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2022;15.56;21.51
575;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Drenthe (PV);2023;17.19;22.21
576;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2018;17.55;23.14
577;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2019;17.2;23.62
578;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2020;14.85;21.54
579;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2021;15.68;22.2
580;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2022;16.58;22.82
581;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Overijssel (PV);2023;16.02;22.11
582;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2018;20.62;25.23
583;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2019;19.32;23.94
584;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2020;17.98;21.82
585;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2021;18.44;23.48
586;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2022;19.33;24.47
587;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Flevoland (PV);2023;19.79;25.15
588;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2018;18.52;24.51
589;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2019;18.64;24.66
590;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2020;16.19;22.38
591;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2021;16.35;23.17
592;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2022;16.36;23.16
593;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Gelderland (PV);2023;17.09;23.93
594;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2018;19.25;25.4
595;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2019;20.82;27.48
596;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2020;17.78;24.32
597;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2021;17.79;24.55
598;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2022;17.84;24.91
599;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Utrecht (PV);2023;18.82;26.19
600;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2018;19.37;27.3
601;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2019;18.57;27.33
602;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2020;15.19;22.94
603;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2021;16.99;25.56
604;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2022;17.46;25.41
605;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Holland (PV);2023;17.49;25.67
606;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2018;17.59;26.5
607;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2019;17.52;26.41
608;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2020;16.36;24.71
609;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2021;15.92;24.82
610;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2022;16.11;25.29
611;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zuid-Holland (PV);2023;16.67;26.29
612;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2018;16.05;20.39
613;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2019;17.45;22.53
614;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2020;13.38;19.12
615;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2021;16.35;21.64
616;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2022;14.74;20.4
617;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Zeeland (PV);2023;16.99;21.9
618;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2018;17.04;23.49
619;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2019;16.74;23.02
620;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2020;13.69;20.25
621;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2021;14.93;21.84
622;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2022;15.54;22.29
623;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Noord-Brabant (PV);2023;15.94;22.91
624;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2018;13.44;19.73
625;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2019;12.9;19.32
626;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2020;12.12;18.89
627;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2021;13.13;19.77
628;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2022;13.39;20.1
629;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Limburg (PV);2023;12.28;18.78
630;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2018;19.53;28.59
631;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2019;19.06;28.26
632;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2020;17.03;25.93
633;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2021;17.11;26.63
634;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2022;17.13;26.51
635;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Extremely urbanised;2023;17.58;27.37
636;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2018;18.52;25.26
637;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2019;18.14;25.26
638;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2020;15.87;22.95
639;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2021;16.41;23.81
640;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2022;17.0;24.49
641;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Strongly urbanised;2023;16.94;24.59
642;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2018;16.79;23.25
643;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2019;17.5;24.08
644;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2020;14.51;20.91
645;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2021;15.45;22.41
646;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2022;15.88;22.85
647;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Moderately urbanised;2023;16.25;22.97
648;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2018;18.06;23.8
649;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2019;17.69;23.57
650;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2020;15.12;21.07
651;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2021;15.74;22.09
652;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2022;16.6;22.73
653;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Hardly urbanised;2023;16.89;23.04
654;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2018;17.63;22.96
655;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2019;18.66;24.16
656;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2020;15.6;21.0
657;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2021;17.85;22.92
658;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2022;16.64;22.42
659;Total;Population 6 years or older;Passenger car (driver);Lower bound 95% confidence interval;Not urbanised;2023;17.19;22.5
660;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2018;19.32;25.95
661;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2019;19.4;26.24
662;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2020;16.66;23.49
663;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2021;17.43;24.67
664;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2022;17.79;25.07
665;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;The Netherlands;2023;18.01;25.24
666;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2018;21.77;26.35
667;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2019;22.81;27.11
668;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2020;18.63;23.77
669;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2021;19.26;24.63
670;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2022;20.62;26.93
671;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Nederland (LD);2023;20.2;25.17
672;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2018;20.41;25.93
673;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2019;20.64;26.49
674;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2020;17.93;24.01
675;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2021;18.36;25.02
676;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2022;18.65;25.1
677;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Oost-Nederland (LD);2023;18.96;25.35
678;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2018;19.97;27.78
679;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2019;20.16;28.42
680;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2020;17.44;25.19
681;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2021;18.05;26.34
682;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2022;18.14;26.41
683;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;West-Nederland (LD);2023;18.78;27.29
684;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;17.45;23.85
685;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;17.12;23.38
686;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;14.68;21.43
687;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;16.09;22.95
688;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;16.53;23.36
689;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;16.26;23.12
690;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2018;21.03;27.04
691;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2019;25.24;29.92
692;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2020;20.2;26.42
693;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2021;20.32;26.41
694;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2022;23.71;30.5
695;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Groningen (PV);2023;18.91;25.33
696;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2018;23.84;27.13
697;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2019;26.19;29.32
698;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2020;20.83;24.81
699;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2021;21.17;25.25
700;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2022;21.96;28.21
701;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Fryslân (PV);2023;22.13;26.11
702;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2018;22.73;27.32
703;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2019;20.2;25.12
704;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2020;17.02;22.51
705;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2021;18.65;24.72
706;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2022;19.18;25.16
707;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Drenthe (PV);2023;21.69;26.39
708;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2018;20.15;25.3
709;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2019;20.33;26.82
710;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2020;17.46;24.29
711;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2021;18.5;25.17
712;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2022;19.47;25.47
713;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Overijssel (PV);2023;18.63;24.47
714;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2018;25.52;29.49
