ID;Periods;ConsumerConfidence_1;EconomicClimate_2;WillingnessToBuy_3;EconomicSituationLast12Months_4;EconomicSituationNext12Months_5;FinancialSituationLast12Months_6;FinancialSituationNext12Months_7;RightTimeToMakeLargePurchases_8;Total_9;GotALotBetter_10;GotALittleBetter_11;StayedTheSame_12;GotALittleWorse_13;GotALotWorse_14;DoNotKnow_15;Total_16;GotALotBetter_17;GotALittleBetter_18;StayedTheSame_19;GotALittleWorse_20;GotALotWorse_21;DoNotKnow_22;Total_23;GotALotBetter_24;GotALittleBetter_25;StayedTheSame_26;GotALittleWorse_27;GotALotWorse_28;DoNotKnow_29;Total_30;GotALotBetter_31;GotALittleBetter_32;StayedTheSame_33;GotALittleWorse_34;GotALotWorse_35;DoNotKnow_36;Total_37;YesItIsTheRightMomentNow_38;ItIsNeitherTheRightMomentNorTheW_39;NoItIsNotTheRightMomentNow_40;DoNotKnow_41;Total_42;RisenALot_43;RisenModerately_44;RisenSlightly_45;StayedAboutTheSame_46;Fallen_47;DonTKnow_48;Total_49;IncreaseMoreRapidly_50;IncreaseAtTheSameRate_51;IncreaseAtASlowerRate_52;StayAboutTheSame_53;Fall_54;DoNotKnow_55;Total_56;IncreaseSharply_57;IncreaseSlightly_58;RemainTheSame_59;FallSlightly_60;FallSharply_61;DoNotKnow_62;Total_63;RunningIntoDebt_64;HavingToDrawOnOurSavings_65;JustManagingToMakeEndsMeet_66;SavingALittle_67;SavingALot_68;DoNotKnow_69;Total_70;VeryLikely_71;FairlyLikely_72;NotLikely_73;NotAtAllLikely_74;DoNotKnow_75;Total_76;AVeryGoodMomentToSave_77;AFairlyGoodMomentToSave_78;NotAGoodMomentToSave_79;AVeryBadMomentToSave_80;DoNotKnow_81;Total_82;MuchMore_83;ALittleMore_84;AboutTheSame_85;ALittleLess_86;MuchLess_87;DoNotKnow_88;Total_89;VeryLikely_90;FairlyLikely_91;NotLikely_92;NotAtAllLikely_93;DoNotKnow_94;Total_95;YesDefinitely_96;Possibly_97;ProbablyNot_98;NoCertainlyNot_99;DoNotKnow_100;Total_101;VeryLikely_102;FairlyLikely_103;NotLikely_104;NotAtAllLikely_105;DoNotKnow_106;Total_107;FoodBeveragesTobacco_108;ClothingAndFootwear_109;CarAndTransportation_110;VacationCityTrips_111;CateringEntertainmentMembershipsCu_112;HousingEnergyInternetTelephone_113;EconomiseOnNothingParticularWillNo_114;DoNotKnow_115
48;2019 December;-4;-11;0;0;-22;-5;2;3;100;3;26;36;23;7;4;100;3;17;34;34;8;4;100;5;22;40;24;8;2;100;3;21;51;19;3;3;100;20;58;17;5;100;29;43;14;11;0;2;100;29;45;6;13;2;5;100;7;29;36;22;1;5;100;5;9;24;46;9;6;100;16;40;24;12;7;100;4;27;45;18;6;100;3;10;48;17;16;6;100;8;18;34;36;4;100;4;6;16;71;2;100;10;17;22;49;2;100;9;8;4;21;5;6;41;6
49;2019 4th quarter;-4;-9;0;3;-21;-6;1;4;100;4;27;36;22;6;5;100;3;17;35;33;8;5;100;4;21;42;25;6;1;100;4;19;52;18;3;4;100;21;57;16;6;100;31;42;15;9;0;3;100;27;45;7;14;1;6;100;6;26;36;24;2;6;100;4;10;25;46;9;6;100;17;39;26;13;6;100;4;28;41;20;7;100;3;12;46;16;17;6;100;7;18;35;37;4;100;4;7;16;71;2;100;10;18;22;48;3;100;8;7;4;22;5;5;42;6
50;2019;-1;-1;-1;9;-11;-7;1;4;100;5;31;33;21;6;4;100;3;20;38;28;7;5;100;4;20;42;25;6;1;100;3;19;52;19;3;3;100;21;57;17;6;100;34;42;14;8;0;2;100;26;42;11;16;1;4;100;3;18;37;34;3;5;100;3;11;26;45;10;5;100;17;40;26;12;5;100;5;35;38;16;7;100;3;11;46;16;17;6;100;7;17;34;38;4;100;4;6;17;71;2;100;10;18;22;49;2;100;8;7;4;22;6;5;42;5
51;2020 January;-1;-4;1;6;-13;-6;3;6;100;3;29;38;20;6;4;100;2;20;37;29;7;5;100;5;20;43;25;6;1;100;4;21;51;18;3;3;100;21;60;15;4;100;32;44;13;7;0;4;100;26;47;9;10;1;6;100;4;28;38;23;2;6;100;4;11;23;48;9;5;100;18;41;24;12;5;100;2;31;40;19;7;100;3;11;46;15;19;6;100;8;18;33;37;5;100;5;6;16;71;2;100;11;17;21;48;3;100;10;8;4;24;6;5;39;4
52;2020 February;-1;-4;1;4;-13;-4;5;3;100;4;28;36;22;6;4;100;4;18;39;28;7;5;100;5;22;42;24;6;2;100;3;21;53;17;2;4;100;19;58;16;7;100;33;41;13;9;0;3;100;21;48;8;15;2;6;100;3;23;39;25;2;7;100;3;9;25;46;11;6;100;17;43;23;11;5;100;3;29;39;22;7;100;3;13;50;13;15;6;100;7;16;35;38;5;100;3;9;18;69;2;100;8;19;23;46;3;100;8;6;4;23;5;7;42;6
53;2020 March;-3;-14;4;10;-37;5;7;0;100;5;30;36;19;6;5;100;2;14;27;38;15;5;100;6;25;43;21;5;1;100;4;22;53;16;3;3;100;17;58;18;7;100;25;44;17;11;0;3;100;33;39;7;14;2;5;100;7;30;36;21;2;4;100;3;8;24;48;12;5;100;22;40;22;11;6;100;5;33;37;18;7;100;4;13;46;15;17;4;100;9;18;35;35;3;100;4;7;16;71;2;100;10;19;22;46;3;100;7;6;3;27;5;4;43;5
54;2020 1st quarter;-2;-7;2;7;-21;-2;5;3;100;4;29;37;20;6;5;100;3;17;34;31;10;5;100;5;22;43;23;6;1;100;4;21;52;17;3;3;100;19;59;16;6;100;30;43;14;9;0;3;100;27;45;8;13;2;6;100;5;27;38;23;2;6;100;3;9;24;47;11;5;100;19;41;23;11;5;100;4;31;39;20;7;100;3;12;47;15;17;5;100;8;17;34;36;4;100;4;7;16;70;2;100;10;18;22;47;3;100;8;7;4;25;5;5;41;5
55;2020 April;-24;-36;-17;5;-76;8;-17;-40;100;7;29;29;19;12;4;100;1;6;5;26;58;3;100;6;24;46;17;5;1;100;2;13;47;26;7;5;100;9;37;49;5;100;18;40;19;20;1;4;100;46;14;2;19;11;9;100;63;22;4;4;4;3;100;3;9;25;46;11;5;100;15;39;27;13;5;100;12;47;26;9;6;100;3;9;39;18;23;8;100;6;17;33;40;3;100;3;7;17;71;2;100;9;17;22;49;3;100;6;8;3;24;6;5;43;6
56;2020 May;-30;-51;-16;-41;-61;3;-13;-38;100;3;14;19;30;28;5;100;1;13;6;27;49;4;100;6;22;47;18;6;2;100;2;14;51;24;5;4;100;8;42;46;4;100;15;37;18;24;0;5;100;53;16;3;17;5;7;100;67;21;4;4;3;2;100;3;9;21;49;12;5;100;20;41;23;10;6;100;12;52;21;6;8;100;3;10;44;18;20;6;100;6;15;36;38;4;100;4;8;17;69;3;100;11;18;21;47;3;100;6;7;3;26;7;4;42;5
57;2020 June;-25;-49;-10;-54;-44;4;-8;-26;100;2;9;18;38;28;5;100;2;20;8;31;34;4;100;5;21;51;17;5;1;100;1;15;55;20;4;4;100;10;49;36;5;100;18;35;18;25;0;4;100;54;19;3;15;3;6;100;57;28;4;6;2;2;100;2;7;23;48;14;6;100;19;42;22;10;7;100;10;53;23;6;7;100;3;11;46;16;18;5;100;7;16;32;40;5;100;3;8;18;68;2;100;11;18;20;49;2;100;7;8;3;22;7;4;44;5
58;2020 2nd quarter;-27;-45;-14;-30;-60;5;-13;-35;100;4;18;22;29;23;5;100;2;13;6;28;47;4;100;6;22;48;18;5;1;100;2;14;51;23;5;4;100;9;42;44;5;100;17;37;18;23;0;4;100;51;16;3;17;6;7;100;62;24;4;5;3;2;100;3;9;23;48;13;5;100;18;41;24;11;6;100;11;51;24;7;7;100;3;10;43;17;20;6;100;6;16;34;40;4;100;4;7;17;69;2;100;10;18;21;49;2;100;6;8;3;24;7;4;43;5
59;2020 July;-26;-50;-10;-65;-35;-5;-4;-21;100;1;5;18;43;28;4;100;3;22;12;34;25;3;100;4;18;50;21;7;0;100;2;17;54;20;4;3;100;11;54;32;4;100;21;35;20;19;1;4;100;45;24;5;17;3;6;100;54;31;5;5;2;2;100;3;8;24;49;12;5;100;20;43;22;9;6;100;11;53;24;5;7;100;3;11;46;18;17;5;100;7;19;33;38;3;100;4;6;16;72;2;100;11;18;22;47;2;100;7;8;3;23;8;5;43;5
60;2020 August;-27;-55;-8;-68;-43;0;0;-24;100;1;5;16;43;31;4;100;2;16;15;34;28;4;100;4;21;48;20;5;1;100;2;18;55;18;2;4;100;10;50;34;5;100;22;35;18;20;0;4;100;40;27;6;16;4;8;100;60;29;3;4;2;2;100;2;8;24;47;14;4;100;21;42;22;10;5;100;13;52;22;5;9;100;3;13;43;16;19;6;100;7;16;32;41;4;100;4;8;18;67;2;100;11;20;20;47;2;100;6;6;4;24;8;5;44;4
61;2020 September;-27;-54;-10;-71;-36;-5;-2;-23;100;1;4;16;45;31;3;100;2;20;18;34;24;3;100;4;17;51;20;7;1;100;2;17;57;16;5;3;100;9;56;32;4;100;18;33;19;25;0;4;100;34;25;6;22;4;8;100;54;31;5;6;2;2;100;3;8;23;50;12;5;100;21;42;23;9;5;100;8;54;24;5;9;100;4;9;47;15;19;6;100;7;16;34;38;5;100;4;8;18;68;2;100;10;19;23;46;2;100;7;8;3;23;7;5;42;6
62;2020 3rd quarter;-27;-53;-9;-68;-38;-3;-2;-23;100;1;5;17;44;30;4;100;2;19;15;34;26;4;100;4;19;50;20;6;1;100;2;17;55;18;4;3;100;10;53;32;4;100;20;34;19;22;0;4;100;40;25;6;18;4;7;100;56;31;4;5;2;2;100;3;8;24;49;13;5;100;21;42;22;9;5;100;10;53;23;5;8;100;3;11;46;16;18;6;100;7;17;33;39;4;100;4;7;18;69;2;100;11;19;22;46;2;100;6;7;3;23;7;5;43;5
63;2020 October;-33;-64;-13;-75;-54;-8;-4;-26;100;1;3;14;46;32;4;100;2;13;13;36;32;4;100;4;16;50;22;6;1;100;3;16;54;19;4;4;100;9;52;34;5;100;18;36;18;23;1;5;100;39;27;5;18;2;8;100;68;24;2;3;2;1;100;2;8;25;47;12;6;100;20;40;24;8;7;100;10;55;21;5;8;100;2;13;44;15;19;7;100;8;18;35;36;4;100;5;6;17;69;3;100;9;19;22;48;2;100;6;8;4;25;7;4;42;5
64;2020 November;-26;-54;-8;-71;-37;-6;0;-19;100;0;3;18;43;32;4;100;3;19;15;32;27;4;100;5;17;48;23;6;1;100;3;18;56;18;3;3;100;12;53;31;4;100;16;34;19;25;0;5;100;37;27;4;21;3;8;100;60;27;4;5;2;2;100;3;9;21;49;13;5;100;21;40;24;9;6;100;10;53;22;7;8;100;5;13;45;17;16;5;100;7;17;35;38;3;100;5;7;18;68;3;100;13;19;21;45;2;100;7;8;4;23;6;5;43;5
65;2020 December;-21;-40;-8;-72;-8;-8;2;-18;100;0;4;15;44;32;4;100;5;30;18;27;17;4;100;4;15;52;21;6;2;100;3;18;55;17;3;4;100;12;54;30;4;100;17;34;16;27;0;5;100;42;26;6;17;2;7;100;43;37;6;9;2;3;100;2;10;18;52;12;6;100;21;45;19;9;7;100;10;52;26;5;8;100;4;12;46;15;18;6;100;7;17;36;36;5;100;4;8;20;66;3;100;10;20;22;45;3;100;5;9;2;21;7;5;46;6
66;2020 4th quarter;-27;-53;-9;-73;-33;-7;-1;-21;100;1;3;16;44;32;4;100;3;21;15;31;25;4;100;4;16;50;22;6;1;100;3;18;55;18;3;4;100;11;53;32;4;100;17;35;18;25;0;5;100;40;27;5;19;2;7;100;57;29;4;6;2;2;100;2;9;21;49;12;6;100;21;42;22;8;7;100;10;53;23;6;8;100;4;12;45;16;17;6;100;7;17;35;36;4;100;5;7;18;67;3;100;11;19;22;46;3;100;6;9;3;23;6;4;43;5
67;2020;-20;-40;-8;-41;-38;-2;-3;-19;100;2;14;23;34;23;4;100;2;18;18;31;27;4;100;5;20;48;21;6;1;100;3;18;53;19;4;4;100;12;52;31;5;100;21;37;17;19;0;4;100;39;28;5;17;4;7;100;45;28;12;10;2;3;100;3;9;23;48;12;5;100;20;42;23;10;6;100;9;47;27;9;8;100;3;11;45;16;18;6;100;7;17;34;38;4;100;4;7;17;69;2;100;11;18;22;47;3;100;7;7;3;24;6;5;43;5
68;2021 January;-18;-39;-4;-70;-8;-1;7;-19;100;0;4;16;41;34;5;100;5;31;16;27;17;4;100;4;19;51;18;6;1;100;2;21;56;14;3;4;100;12;52;31;5;100;16;34;20;25;1;5;100;43;26;4;17;2;7;100;40;35;7;11;3;3;100;3;6;23;49;14;4;100;22;43;20;9;5;100;10;55;21;6;8;100;4;14;47;15;15;6;100;7;18;35;35;5;100;4;7;19;66;3;100;11;18;21;46;4;100;9;10;3;25;4;5;39;6
69;2021 February;-20;-42;-4;-74;-10;-3;7;-17;100;1;3;12;42;36;5;100;5;30;16;23;21;4;100;5;19;47;21;7;2;100;2;21;58;13;3;3;100;14;50;31;5;100;19;30;19;26;0;6;100;47;24;3;17;1;7;100;39;34;9;10;4;4;100;3;8;20;50;14;6;100;24;41;20;8;7;100;13;56;18;4;8;100;3;15;45;15;16;6;100;9;16;32;39;5;100;4;7;17;70;3;100;13;18;19;45;4;100;8;8;3;21;4;5;45;6
70;2021 March;-18;-39;-4;-80;2;-7;8;-15;100;0;2;11;41;41;4;100;6;36;15;21;18;3;100;5;16;49;20;8;1;100;4;20;56;14;2;3;100;13;55;28;4;100;21;35;16;21;0;7;100;44;27;4;16;2;6;100;36;34;8;15;3;4;100;3;7;21;50;15;4;100;23;41;21;8;6;100;10;55;22;6;7;100;4;18;46;12;14;6;100;8;18;34;37;4;100;5;7;19;67;2;100;13;18;22;44;2;100;8;7;4;19;6;4;47;5
71;2021 1st quarter;-19;-40;-4;-75;-6;-4;7;-17;100;1;3;13;41;37;5;100;5;32;16;24;19;4;100;5;18;49;20;7;1;100;3;21;57;14;2;3;100;13;52;30;5;100;19;33;18;24;0;6;100;45;26;4;17;2;7;100;38;34;8;12;3;4;100;3;7;21;49;15;5;100;23;42;20;9;6;100;11;55;20;6;8;100;4;16;46;14;15;6;100;8;17;33;37;4;100;4;7;19;68;3;100;12;18;21;45;3;100;8;8;3;22;5;5;44;6
72;2021 April;-11;-28;1;-67;11;2;9;-10;100;1;4;18;43;29;6;100;7;37;18;19;14;5;100;5;22;48;17;7;1;100;3;21;58;12;3;4;100;16;52;26;6;100;19;39;16;20;0;6;100;40;29;5;17;2;7;100;24;35;15;18;4;4;100;3;7;20;51;15;5;100;24;42;20;9;6;100;8;53;26;6;7;100;4;18;46;12;14;6;100;6;17;35;38;4;100;5;8;18;67;2;100;12;21;20;45;2;100;8;8;4;21;4;5;44;6
73;2021 May;-7;-21;2;-59;17;3;10;-7;100;1;7;20;42;25;5;100;10;38;16;20;11;5;100;5;21;48;17;8;1;100;5;19;58;11;3;3;100;18;53;25;4;100;24;39;17;16;0;4;100;41;29;5;17;2;5;100;17;31;15;29;5;3;100;2;8;20;50;15;4;100;23;44;20;8;5;100;8;47;28;9;7;100;4;16;50;12;14;4;100;8;17;33;37;4;100;4;7;20;67;2;100;12;17;20;49;2;100;8;9;3;24;6;4;42;4
74;2021 June;0;-8;5;-54;38;3;15;-3;100;1;9;22;45;19;5;100;14;44;17;14;6;4;100;8;20;46;18;7;1;100;5;24;55;13;1;2;100;19;55;22;5;100;33;39;14;10;0;3;100;41;32;7;14;2;4;100;7;26;18;38;8;4;100;2;7;21;50;15;5;100;26;43;20;6;5;100;7;49;29;8;7;100;4;19;48;12;13;4;100;7;18;35;35;5;100;5;7;20;66;3;100;12;21;22;42;2;100;7;9;3;26;7;4;40;4
75;2021 2nd quarter;-6;-19;3;-60;22;3;11;-6;100;1;7;20;43;24;5;100;10;40;17;17;11;5;100;6;21;47;17;7;1;100;4;21;57;12;2;3;100;18;54;24;5;100;26;39;16;15;0;4;100;41;30;6;16;2;5;100;16;31;16;28;6;3;100;2;7;21;50;15;5;100;24;43;20;7;5;100;8;50;28;8;7;100;4;18;48;12;14;5;100;7;17;35;37;4;100;4;8;19;67;2;100;12;20;21;46;2;100;8;9;3;24;6;5;42;5
76;2021 July;-7;-14;-3;-45;16;-3;6;-11;100;2;11;25;42;16;4;100;10;37;19;22;8;4;100;5;19;46;22;6;1;100;4;20;55;15;3;4;100;15;55;26;5;100;40;39;11;7;0;3;100;38;37;7;12;2;4;100;7;22;24;37;7;4;100;3;7;22;49;13;6;100;22;40;23;9;6;100;7;43;33;9;7;100;6;14;46;16;13;6;100;7;18;36;36;3;100;4;7;19;68;2;100;10;19;23;44;3;100;7;8;3;24;7;5;41;4
77;2021 August;-6;-12;-2;-35;11;-4;8;-11;100;2;15;28;37;14;4;100;7;34;25;22;8;4;100;5;19;47;23;5;1;100;4;21;56;15;2;3;100;14;57;25;4;100;37;40;14;6;0;3;100;38;37;8;12;2;4;100;7;22;25;36;7;4;100;2;7;24;47;15;4;100;22;44;22;7;6;100;8;48;28;9;7;100;4;15;43;16;15;6;100;9;18;35;36;3;100;4;8;19;67;2;100;12;18;27;41;2;100;10;9;4;21;7;4;42;3
78;2021 September;-5;-6;-4;-28;16;-7;7;-12;100;4;18;23;36;14;5;100;8;35;24;21;6;5;100;6;18;45;24;6;1;100;3;22;57;16;1;2;100;14;54;26;5;100;43;37;12;6;0;2;100;35;39;9;11;1;5;100;4;18;25;37;11;4;100;3;9;21;49;13;5;100;20;44;24;7;5;100;8;43;33;9;7;100;3;15;46;15;15;5;100;8;18;36;36;3;100;4;5;19;69;3;100;11;20;19;48;1;100;7;7;3;23;8;6;39;6
79;2021 3rd quarter;-6;-11;-3;-36;14;-5;7;-11;100;3;15;25;38;15;4;100;8;35;23;22;8;4;100;6;19;46;23;6;1;100;3;21;56;15;2;3;100;14;56;26;5;100;40;39;12;6;0;3;100;37;38;8;11;2;4;100;6;21;25;37;8;4;100;3;8;22;48;14;5;100;21;43;23;8;6;100;8;45;31;9;7;100;4;15;45;16;14;6;100;8;18;35;36;3;100;4;7;19;68;2;100;11;19;23;45;2;100;8;8;3;23;8;5;41;4
80;2021 October;-16;-21;-12;-34;-9;-12;-6;-19;100;4;16;22;37;17;4;100;6;28;20;27;16;4;100;3;18;45;24;8;1;100;3;18;50;22;4;3;100;13;50;32;5;100;48;36;9;4;0;3;100;49;32;8;6;1;3;100;5;17;31;36;6;4;100;5;9;22;47;12;5;100;18;44;22;11;5;100;7;45;32;10;7;100;4;15;45;16;16;5;100;7;17;33;39;4;100;4;7;19;68;2;100;11;18;21;47;3;100;6;8;4;24;6;6;41;4
81;2021 November;-27;-37;-21;-44;-30;-22;-10;-30;100;4;14;16;38;24;4;100;3;19;22;34;18;4;100;3;14;42;31;9;1;100;3;17;47;26;4;3;100;10;45;40;6;100;53;34;9;3;0;2;100;45;35;9;8;2;3;100;5;20;33;32;6;5;100;3;11;24;46;10;6;100;20;39;25;11;5;100;6;44;31;10;8;100;4;13;40;15;21;6;100;8;14;36;38;3;100;3;7;17;70;3;100;10;18;21;47;3;100;8;8;3;23;6;5;42;4
82;2021 December;-28;-43;-18;-55;-30;-18;-8;-28;100;2;10;17;44;23;3;100;2;18;23;35;16;5;100;4;15;43;28;9;1;100;2;17;50;23;4;4;100;9;47;38;5;100;55;33;7;2;0;2;100;33;41;11;10;2;4;100;6;20;35;29;5;5;100;3;10;25;46;11;4;100;19;40;25;10;6;100;5;46;32;10;7;100;4;15;42;15;18;6;100;6;15;38;37;4;100;3;5;18;71;2;100;11;18;21;47;2;100;8;9;4;20;6;4;44;5
83;2021 4th quarter;-24;-34;-17;-44;-23;-17;-8;-26;100;3;13;18;40;21;4;100;4;22;22;32;16;4;100;3;16;43;28;9;1;100;3;17;49;24;4;3;100;11;47;37;5;100;52;34;8;3;0;2;100;42;36;9;8;2;3;100;6;19;33;32;6;5;100;4;10;23;46;11;5;100;19;41;24;11;5;100;6;45;32;10;7;100;4;14;42;15;18;6;100;7;15;36;38;4;100;3;6;18;70;2;100;11;18;21;47;3;100;8;8;3;22;6;5;42;4
84;2021;-14;-26;-5;-54;2;-6;5;-15;100;2;9;19;41;24;4;100;7;32;19;24;13;4;100;5;18;46;22;7;1;100;3;20;55;16;3;3;100;14;52;29;5;100;34;36;14;12;0;4;100;41;32;7;13;2;5;100;16;26;20;27;6;4;100;3;8;22;48;14;5;100;22;42;22;9;6;100;8;49;28;8;7;100;4;16;45;14;15;6;100;8;17;35;37;4;100;4;7;19;68;2;100;12;19;21;46;3;100;8;8;3;23;6;5;42;5
85;2022 January;-24;-38;-14;-51;-24;-13;-4;-25;100;2;12;18;41;23;4;100;4;20;25;32;15;5;100;5;19;39;27;9;2;100;3;18;50;21;5;2;100;11;48;36;5;100;57;31;7;2;0;1;100;37;38;12;9;1;3;100;8;20;33;30;6;4;100;2;10;23;48;13;5;100;23;39;24;11;3;100;7;43;32;10;7;100;6;13;44;16;16;5;100;7;19;36;34;4;100;4;6;20;66;3;100;12;19;22;45;2;100;8;9;3;20;6;5;44;5
86;2022 February;-30;-44;-20;-62;-27;-23;-6;-31;100;2;7;15;42;30;3;100;5;19;22;32;18;4;100;3;17;37;31;11;1;100;3;18;48;23;4;3;100;9;47;40;4;100;66;25;4;3;0;2;100;32;37;15;10;3;3;100;6;16;32;35;7;4;100;2;11;23;48;12;5;100;18;40;25;11;5;100;6;40;35;11;9;100;3;14;41;17;20;5;100;6;15;34;41;3;100;3;7;17;72;1;100;10;21;21;46;2;100;6;7;3;20;8;6;45;5
87;2022 March;-40;-60;-27;-59;-61;-21;-20;-40;100;1;10;14;41;30;3;100;4;9;10;35;38;3;100;3;15;42;29;10;1;100;2;15;41;31;7;3;100;5;46;45;5;100;67;26;4;1;0;1;100;61;24;6;4;2;2;100;5;17;41;26;5;6;100;3;10;21;47;13;6;100;18;39;26;11;7;100;7;45;32;8;8;100;5;12;38;16;22;6;100;5;17;34;41;4;100;3;8;19;69;2;100;14;18;21;44;2;100;7;8;3;22;7;6;41;5
88;2022 1st quarter;-31;-47;-20;-58;-37;-19;-10;-32;100;2;10;16;42;28;3;100;4;16;19;33;24;4;100;3;17;39;29;10;1;100;3;17;47;25;5;3;100;8;47;40;5;100;63;28;5;2;0;1;100;43;33;11;8;2;3;100;6;18;35;30;6;5;100;3;10;22;47;13;5;100;20;39;25;11;5;100;6;43;33;10;8;100;5;13;41;17;19;5;100;6;17;35;39;4;100;3;7;19;69;2;100;12;19;21;45;2;100;7;8;3;20;7;5;44;5
89;2022 April;-48;-69;-35;-75;-62;-35;-22;-47;100;1;5;9;41;40;4;100;1;9;14;38;35;3;100;3;11;37;35;14;1;100;2;12;45;30;6;4;100;4;40;51;5;100;71;22;5;1;0;1;100;41;32;15;8;2;2;100;6;20;40;23;6;6;100;4;12;22;45;13;5;100;19;38;23;14;6;100;7;46;28;9;10;100;4;10;41;16;23;7;100;6;14;34;42;3;100;2;6;18;70;3;100;11;20;23;43;2;100;8;8;3;22;7;6;43;3
90;2022 May;-45;-64;-32;-76;-52;-31;-13;-52;100;2;6;7;42;41;3;100;2;12;16;37;29;4;100;3;14;34;37;11;1;100;3;15;48;28;3;3;100;4;38;55;3;100;73;22;4;0;0;0;100;30;36;19;9;2;3;100;3;16;41;28;6;6;100;2;12;24;46;11;5;100;16;45;24;10;5;100;6;48;30;8;9;100;5;10;38;18;23;6;100;5;14;37;42;2;100;4;6;17;71;2;100;11;21;19;46;3;100;8;7;4;24;8;5;41;4
91;2022 June;-48;-68;-35;-75;-61;-36;-21;-48;100;2;6;8;36;46;2;100;2;9;13;36;35;4;100;3;12;32;38;13;2;100;3;13;43;29;8;3;100;6;36;54;5;100;77;19;2;1;1;1;100;31;35;20;9;2;4;100;4;15;35;32;9;5;100;4;11;24;45;10;7;100;17;39;24;13;6;100;6;49;27;10;9;100;4;11;35;17;27;6;100;6;15;35;40;4;100;3;7;15;74;2;100;11;20;20;48;2;100;6;7;5;22;5;6;46;3
92;2022 2nd quarter;-47;-67;-34;-75;-59;-34;-19;-49;100;1;6;8;40;42;3;100;2;10;14;37;33;4;100;3;12;34;37;12;1;100;3;14;45;29;6;3;100;4;38;53;4;100;73;21;4;1;0;1;100;34;34;18;9;2;3;100;4;17;39;28;7;6;100;3;12;23;45;11;6;100;17;41;24;12;6;100;6;48;28;9;9;100;4;10;38;17;24;6;100;6;14;35;42;3;100;3;7;17;72;2;100;11;20;21;46;2;100;8;7;4;22;7;6;43;3
93;2022 July;-49;-70;-35;-80;-60;-33;-20;-52;100;1;4;7;38;48;2;100;1;9;18;36;33;3;100;3;12;34;35;14;2;100;1;13;49;27;7;3;100;4;36;56;3;100;79;18;2;0;0;1;100;25;39;22;9;2;3;100;3;15;39;30;8;5;100;3;13;21;49;9;4;100;18;43;24;11;4;100;7;50;28;8;7;100;4;12;38;17;24;5;100;6;13;36;41;4;100;3;7;16;72;2;100;11;17;21;48;2;100;7;8;4;19;8;5;44;4
94;2022 August;-52;-71;-39;-83;-60;-42;-24;-51;100;1;4;6;36;51;2;100;2;9;15;37;34;4;100;3;10;33;39;16;1;100;3;9;48;29;7;3;100;3;39;55;3;100;81;17;2;0;0;1;100;26;36;22;10;2;3;100;3;16;41;28;7;5;100;4;12;23;47;9;5;100;17;38;27;13;5;100;8;48;26;9;10;100;3;11;40;19;23;5;100;6;13;34;43;5;100;3;6;16;72;2;100;10;18;22;48;2;100;8;7;4;18;7;6;47;3
95;2022 September;-61;-78;-50;-88;-68;-52;-33;-63;100;1;3;3;28;64;2;100;1;7;12;30;47;3;100;3;8;24;45;19;1;100;2;11;38;34;13;2;100;3;28;66;3;100;85;13;1;0;0;1;100;29;33;22;10;3;3;100;8;20;38;25;5;5;100;5;18;22;42;9;4;100;14;36;30;16;4;100;8;44;31;9;8;100;4;11;30;18;32;5;100;5;14;33;44;3;100;3;4;16;75;2;100;11;18;20;49;2;100;8;7;3;22;7;6;45;3
96;2022 3rd quarter;-54;-73;-41;-84;-63;-42;-26;-55;100;1;4;5;34;54;2;100;1;8;15;34;38;3;100;3;10;30;39;16;1;100;2;11;45;30;9;3;100;4;34;59;3;100;81;16;2;0;0;1;100;27;36;22;10;2;3;100;5;17;39;28;7;5;100;4;14;22;46;9;4;100;16;39;27;13;4;100;8;47;28;9;8;100;3;11;36;18;26;5;100;6;13;35;43;4;100;3;6;16;73;2;100;11;18;21;48;2;100;8;7;3;20;7;6;45;3
97;2022 October;-59;-74;-48;-86;-63;-49;-33;-62;100;0;3;5;24;65;2;100;2;8;13;31;42;4;100;2;9;28;41;18;1;100;2;10;40;34;12;2;100;3;27;66;3;100;84;12;3;0;1;0;100;26;30;24;10;4;4;100;9;26;39;17;4;5;100;4;17;24;40;10;4;100;15;36;28;17;4;100;8;48;27;10;8;100;4;8;34;18;32;4;100;5;12;33;46;4;100;3;6;16;72;3;100;10;20;20;48;3;100;4;7;3;21;7;7;50;3
98;2022 November;-56;-74;-44;-89;-60;-46;-24;-63;100;0;2;4;31;61;1;100;1;9;17;33;37;2;100;3;10;28;42;17;1;100;2;13;44;30;8;3;100;3;27;67;3;100;85;12;2;0;1;0;100;22;34;25;13;4;3;100;10;30;33;19;3;5;100;4;16;24;43;9;4;100;16;37;28;14;4;100;7;52;25;8;8;100;4;9;32;21;29;6;100;5;14;33;45;3;100;3;6;17;72;2;100;10;19;20;49;2;100;6;8;3;22;8;6;44;4
99;2022 December;-51;-66;-41;-86;-46;-45;-17;-60;100;1;3;6;32;57;2;100;2;12;23;33;27;3;100;2;10;29;41;17;1;100;2;15;46;27;7;3;100;2;33;62;4;100;84;14;1;1;0;0;100;17;27;27;20;4;4;100;5;26;36;23;3;7;100;4;15;24;43;9;5;100;16;38;28;13;5;100;7;53;23;10;8;100;3;11;35;17;28;5;100;4;12;38;43;3;100;2;6;16;72;3;100;9;19;20;49;2;100;8;7;2;22;6;6;46;4
