ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
2390;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2011;144600;0.85
2391;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2012;130280;0.76
2392;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2013;126330;0.74
2393;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2014;127770;0.74
2394;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2015;117345;0.68
2395;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2016;115810;0.67
2396;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2017;112300;0.64
2397;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2018;126805;0.72
2398;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2019;140255;0.79
2399;Total male and female;10000;Total background and generation;D11 Other dermatological preparations;2020;141135;0.79
2400;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2006;144370;0.87
2401;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2007;154610;0.93
2402;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2008;148435;0.89
2403;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2009;149210;0.89
2404;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2010;153915;0.91
2405;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2011;144600;0.85
2406;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2012;130280;0.76
2407;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2013;126330;0.74
2408;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2014;127770;0.74
2409;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2015;117345;0.68
2410;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2016;115810;0.67
2411;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2017;112300;0.64
2412;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2018;126805;0.72
2413;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2019;140255;0.79
2414;Total male and female;10000;Total background and generation;D11A Other dermatological preparations;2020;141135;0.79
2415;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2006;2026590;12.18
2416;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2007;1532205;9.18
2417;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2008;2644430;15.78
2418;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2009;2659900;15.79
2419;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2010;2678280;15.82
2420;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2011;1703155;10.01
2421;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2012;1663225;9.74
2422;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2013;1412570;8.25
2423;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2014;1319970;7.67
2424;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2015;1294765;7.49
2425;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2016;1238305;7.12
2426;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2017;1258270;7.19
2427;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2018;1273150;7.23
2428;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2019;1288450;7.27
2429;Total male and female;10000;Total background and generation;G Genito urinary system and sex hormones;2020;1226645;6.89
2430;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2006;356455;2.14
2431;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2007;369025;2.21
2432;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2008;373305;2.23
2433;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2009;380810;2.26
2434;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2010;382460;2.26
2435;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2011;386165;2.27
2436;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2012;365150;2.14
2437;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2013;306035;1.79
2438;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2014;283480;1.65
2439;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2015;268140;1.55
2440;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2016;205180;1.18
2441;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2017;220825;1.26
2442;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2018;219945;1.25
2443;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2019;213705;1.21
2444;Total male and female;10000;Total background and generation;G01 Gynecological antiseptics/infectives;2020;199560;1.12
2445;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2006;356455;2.14
2446;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2007;369025;2.21
2447;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2008;373305;2.23
2448;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2009;380810;2.26
2449;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2010;382460;2.26
2450;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2011;386165;2.27
2451;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2012;365150;2.14
2452;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2013;306035;1.79
2453;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2014;283480;1.65
2454;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2015;268140;1.55
2455;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2016;205180;1.18
2456;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2017;220825;1.26
2457;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2018;219945;1.25
2458;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2019;213705;1.21
2459;Total male and female;10000;Total background and generation;G01A Antiinfectives/antisept.exc.cortico;2020;199560;1.12
2460;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2006;0;0.0
2461;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2007;0;0.0
2462;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2008;0;0.0
2463;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2009;0;0.0
2464;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2010;0;0.0
2465;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2011;0;0.0
2466;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2012;0;0.0
2467;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2013;0;0.0
2468;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2014;0;0.0
2469;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2015;0;0.0
2470;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2016;0;0.0
2471;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2017;0;0.0
2472;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2018;0;0.0
2473;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2019;0;0.0
2474;Total male and female;10000;Total background and generation;G01B Antiinfectives/antisept.inc.cortico;2020;0;0.0
2475;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2006;75810;0.46
2476;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2007;30245;0.18
2477;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2008;142895;0.85
2478;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2009;150420;0.89
2479;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2010;163465;0.97
2480;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2011;44505;0.26
2481;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2012;38820;0.23
2482;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2013;20280;0.12
2483;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2014;18055;0.1
2484;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2015;18260;0.11
2485;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2016;18835;0.11
2486;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2017;19980;0.11
2487;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2018;21640;0.12
2488;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2019;22260;0.13
2489;Total male and female;10000;Total background and generation;G02 Other gynecologicals;2020;23120;0.13
2490;Total male and female;10000;Total background and generation;G02A Oxytocics;2006;1425;0.01
2491;Total male and female;10000;Total background and generation;G02A Oxytocics;2007;255;0.0
2492;Total male and female;10000;Total background and generation;G02A Oxytocics;2008;70;0.0
2493;Total male and female;10000;Total background and generation;G02A Oxytocics;2009;35;0.0
2494;Total male and female;10000;Total background and generation;G02A Oxytocics;2010;20;0.0
2495;Total male and female;10000;Total background and generation;G02A Oxytocics;2011;15;0.0
2496;Total male and female;10000;Total background and generation;G02A Oxytocics;2012;5;0.0
2497;Total male and female;10000;Total background and generation;G02A Oxytocics;2013;10;0.0
2498;Total male and female;10000;Total background and generation;G02A Oxytocics;2014;30;0.0
2499;Total male and female;10000;Total background and generation;G02A Oxytocics;2015;30;0.0
2500;Total male and female;10000;Total background and generation;G02A Oxytocics;2016;45;0.0
2501;Total male and female;10000;Total background and generation;G02A Oxytocics;2017;55;0.0
2502;Total male and female;10000;Total background and generation;G02A Oxytocics;2018;40;0.0
2503;Total male and female;10000;Total background and generation;G02A Oxytocics;2019;55;0.0
2504;Total male and female;10000;Total background and generation;G02A Oxytocics;2020;65;0.0
2505;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2006;64370;0.39
2506;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2007;19610;0.12
2507;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2008;133420;0.8
2508;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2009;141210;0.84
2509;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2010;154190;0.91
2510;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2011;34995;0.21
2511;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2012;29915;0.18
2512;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2013;11875;0.07
2513;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2014;9920;0.06
2514;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2015;10415;0.06
2515;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2016;11080;0.06
2516;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2017;12280;0.07
2517;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2018;13905;0.08
2518;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2019;14505;0.08
2519;Total male and female;10000;Total background and generation;G02B Contraceptives for topical use;2020;15625;0.09
2520;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2006;10545;0.06
2521;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2007;10465;0.06
2522;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2008;10170;0.06
2523;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2009;9915;0.06
2524;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2010;10065;0.06
2525;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2011;9620;0.06
2526;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2012;8990;0.05
2527;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2013;8405;0.05
2528;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2014;8115;0.05
2529;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2015;7820;0.05
2530;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2016;7715;0.04
2531;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2017;7655;0.04
2532;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2018;7705;0.04
2533;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2019;7705;0.04
2534;Total male and female;10000;Total background and generation;G02C Other gynecologicals;2020;7440;0.04
2535;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2006;1458325;8.76
2536;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2007;906415;5.43
2537;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2008;2028350;12.1
2538;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2009;2024315;12.02
2539;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2010;2013410;11.89
2540;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2011;991725;5.83
2541;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2012;958745;5.61
2542;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2013;744265;4.34
2543;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2014;653220;3.8
2544;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2015;630970;3.65
2545;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2016;624630;3.59
2546;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2017;626525;3.58
2547;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2018;635750;3.61
2548;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2019;646255;3.65
2549;Total male and female;10000;Total background and generation;G03 Sex hormones, modulators genit.syst.;2020;597300;3.36
2550;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2006;988325;5.94
2551;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2007;418000;2.51
2552;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2008;1600250;9.55
2553;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2009;1609655;9.56
2554;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2010;1609310;9.51
2555;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2011;555565;3.27
2556;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2012;534360;3.13
2557;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2013;382425;2.23
2558;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2014;379595;2.21
2559;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2015;374760;2.17
2560;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2016;366920;2.11
2561;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2017;364775;2.09
2562;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2018;364375;2.07
2563;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2019;367435;2.07
2564;Total male and female;10000;Total background and generation;G03A Hormonal contraceptives system. use;2020;346015;1.94
2565;Total male and female;10000;Total background and generation;G03B Androgens;2006;9280;0.06
2566;Total male and female;10000;Total background and generation;G03B Androgens;2007;9900;0.06
2567;Total male and female;10000;Total background and generation;G03B Androgens;2008;10550;0.06
2568;Total male and female;10000;Total background and generation;G03B Androgens;2009;11290;0.07
2569;Total male and female;10000;Total background and generation;G03B Androgens;2010;11830;0.07
2570;Total male and female;10000;Total background and generation;G03B Androgens;2011;12705;0.07
2571;Total male and female;10000;Total background and generation;G03B Androgens;2012;13660;0.08
2572;Total male and female;10000;Total background and generation;G03B Androgens;2013;14710;0.09
2573;Total male and female;10000;Total background and generation;G03B Androgens;2014;15075;0.09
2574;Total male and female;10000;Total background and generation;G03B Androgens;2015;15760;0.09
2575;Total male and female;10000;Total background and generation;G03B Androgens;2016;16690;0.1
2576;Total male and female;10000;Total background and generation;G03B Androgens;2017;17940;0.1
2577;Total male and female;10000;Total background and generation;G03B Androgens;2018;19085;0.11
2578;Total male and female;10000;Total background and generation;G03B Androgens;2019;20365;0.11
2579;Total male and female;10000;Total background and generation;G03B Androgens;2020;21255;0.12
2580;Total male and female;10000;Total background and generation;G03C Estrogens;2006;162195;0.97
2581;Total male and female;10000;Total background and generation;G03C Estrogens;2007;156670;0.94
2582;Total male and female;10000;Total background and generation;G03C Estrogens;2008;149430;0.89
2583;Total male and female;10000;Total background and generation;G03C Estrogens;2009;144795;0.86
2584;Total male and female;10000;Total background and generation;G03C Estrogens;2010;142090;0.84
2585;Total male and female;10000;Total background and generation;G03C Estrogens;2011;141650;0.83
2586;Total male and female;10000;Total background and generation;G03C Estrogens;2012;138080;0.81
2587;Total male and female;10000;Total background and generation;G03C Estrogens;2013;131825;0.77
2588;Total male and female;10000;Total background and generation;G03C Estrogens;2014;129000;0.75
2589;Total male and female;10000;Total background and generation;G03C Estrogens;2015;123510;0.71
2590;Total male and female;10000;Total background and generation;G03C Estrogens;2016;123390;0.71
2591;Total male and female;10000;Total background and generation;G03C Estrogens;2017;124520;0.71
2592;Total male and female;10000;Total background and generation;G03C Estrogens;2018;128275;0.73
2593;Total male and female;10000;Total background and generation;G03C Estrogens;2019;132475;0.75
2594;Total male and female;10000;Total background and generation;G03C Estrogens;2020;129155;0.73
2595;Total male and female;10000;Total background and generation;G03D Progestogens;2006;116675;0.7
2596;Total male and female;10000;Total background and generation;G03D Progestogens;2007;118785;0.71
2597;Total male and female;10000;Total background and generation;G03D Progestogens;2008;115430;0.69
2598;Total male and female;10000;Total background and generation;G03D Progestogens;2009;112695;0.67
2599;Total male and female;10000;Total background and generation;G03D Progestogens;2010;111225;0.66
2600;Total male and female;10000;Total background and generation;G03D Progestogens;2011;110850;0.65
2601;Total male and female;10000;Total background and generation;G03D Progestogens;2012;108795;0.64
2602;Total male and female;10000;Total background and generation;G03D Progestogens;2013;105385;0.62
2603;Total male and female;10000;Total background and generation;G03D Progestogens;2014;103860;0.6
2604;Total male and female;10000;Total background and generation;G03D Progestogens;2015;102915;0.6
2605;Total male and female;10000;Total background and generation;G03D Progestogens;2016;102580;0.59
2606;Total male and female;10000;Total background and generation;G03D Progestogens;2017;102925;0.59
2607;Total male and female;10000;Total background and generation;G03D Progestogens;2018;106795;0.61
2608;Total male and female;10000;Total background and generation;G03D Progestogens;2019;108270;0.61
2609;Total male and female;10000;Total background and generation;G03D Progestogens;2020;83475;0.47
2610;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2006;0;0.0
2611;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2007;0;0.0
2612;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2008;0;0.0
2613;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2009;0;0.0
2614;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2010;0;0.0
2615;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2011;0;0.0
2616;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2012;0;0.0
2617;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2013;0;0.0
2618;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2014;0;0.0
2619;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2015;0;0.0
2620;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2016;0;0.0
2621;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2017;0;0.0
2622;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2018;0;0.0
2623;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2019;0;0.0
2624;Total male and female;10000;Total background and generation;G03E Androgens / female sex hormon.comb.;2020;0;0.0
2625;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2006;27570;0.17
2626;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2007;25105;0.15
2627;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2008;23815;0.14
2628;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2009;23325;0.14
2629;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2010;22250;0.13
2630;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2011;22080;0.13
2631;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2012;21375;0.13
2632;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2013;21555;0.13
2633;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2014;22215;0.13
2634;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2015;21595;0.12
2635;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2016;22420;0.13
2636;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2017;24920;0.14
2637;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2018;30085;0.17
2638;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2019;33530;0.19
2639;Total male and female;10000;Total background and generation;G03F Progestogens / estrogens combinat.;2020;34320;0.19
2640;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2006;16025;0.1
2641;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2007;23880;0.14
2642;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2008;28560;0.17
2643;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2009;30710;0.18
2644;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2010;31705;0.19
2645;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2011;32255;0.19
2646;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2012;32275;0.19
2647;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2013;31695;0.19
2648;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2014;30;0.0
2649;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2015;5;0.0
2650;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2016;5;0.0
2651;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2017;10;0.0
2652;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2018;10;0.0
2653;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2019;10;0.0
2654;Total male and female;10000;Total background and generation;G03G Gonadotropins/oth.ovulation stimul.;2020;10;0.0
2655;Total male and female;10000;Total background and generation;G03H Antiandrogens;2006;198840;1.19
2656;Total male and female;10000;Total background and generation;G03H Antiandrogens;2007;195715;1.17
2657;Total male and female;10000;Total background and generation;G03H Antiandrogens;2008;189720;1.13
2658;Total male and female;10000;Total background and generation;G03H Antiandrogens;2009;181310;1.08
2659;Total male and female;10000;Total background and generation;G03H Antiandrogens;2010;174485;1.03
2660;Total male and female;10000;Total background and generation;G03H Antiandrogens;2011;167150;0.98
2661;Total male and female;10000;Total background and generation;G03H Antiandrogens;2012;160375;0.94
2662;Total male and female;10000;Total background and generation;G03H Antiandrogens;2013;104040;0.61
2663;Total male and female;10000;Total background and generation;G03H Antiandrogens;2014;17530;0.1
2664;Total male and female;10000;Total background and generation;G03H Antiandrogens;2015;5230;0.03
2665;Total male and female;10000;Total background and generation;G03H Antiandrogens;2016;5115;0.03
2666;Total male and female;10000;Total background and generation;G03H Antiandrogens;2017;5110;0.03
2667;Total male and female;10000;Total background and generation;G03H Antiandrogens;2018;5025;0.03
2668;Total male and female;10000;Total background and generation;G03H Antiandrogens;2019;5035;0.03
2669;Total male and female;10000;Total background and generation;G03H Antiandrogens;2020;4725;0.03
2670;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2006;4550;0.03
2671;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2007;3985;0.02
2672;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2008;3530;0.02
2673;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2009;3135;0.02
2674;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2010;2815;0.02
2675;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2011;2420;0.01
2676;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2012;2125;0.01
2677;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2013;1835;0.01
2678;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2014;2605;0.02
2679;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2015;3155;0.02
2680;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2016;3965;0.02
2681;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2017;4490;0.03
2682;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2018;2190;0.01
2683;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2019;1710;0.01
2684;Total male and female;10000;Total background and generation;G03X Oth.sex horm./modulat.genital syst.;2020;1070;0.01
2685;Total male and female;10000;Total background and generation;G04 Urologicals;2006;297070;1.78
2686;Total male and female;10000;Total background and generation;G04 Urologicals;2007;323385;1.94
2687;Total male and female;10000;Total background and generation;G04 Urologicals;2008;341740;2.04
2688;Total male and female;10000;Total background and generation;G04 Urologicals;2009;352030;2.09
2689;Total male and female;10000;Total background and generation;G04 Urologicals;2010;374345;2.21
2690;Total male and female;10000;Total background and generation;G04 Urologicals;2011;397645;2.34
2691;Total male and female;10000;Total background and generation;G04 Urologicals;2012;410005;2.4
2692;Total male and female;10000;Total background and generation;G04 Urologicals;2013;416590;2.43
2693;Total male and female;10000;Total background and generation;G04 Urologicals;2014;428145;2.49
2694;Total male and female;10000;Total background and generation;G04 Urologicals;2015;435710;2.52
2695;Total male and female;10000;Total background and generation;G04 Urologicals;2016;438575;2.52
2696;Total male and female;10000;Total background and generation;G04 Urologicals;2017;442440;2.53
2697;Total male and female;10000;Total background and generation;G04 Urologicals;2018;449505;2.55
2698;Total male and female;10000;Total background and generation;G04 Urologicals;2019;459540;2.59
2699;Total male and female;10000;Total background and generation;G04 Urologicals;2020;457305;2.57
2700;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2006;100570;0.6
2701;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2007;108465;0.65
2702;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2008;111560;0.67
2703;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2009;109755;0.65
2704;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2010;119355;0.7
